대유(290380),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-14,21950,22200,20700,21000,680295,190100.0,9052400.0
2018-11-15,20750,21500,20450,21400,509389,193721.0,9052400.0
2018-11-16,21400,21600,20900,21000,349401,190100.0,9052400.0
2018-11-19,21550,21950,21300,21800,544598,197342.0,9052400.0
2018-11-20,21350,21700,21100,21250,295085,192364.0,9052400.0
2018-11-21,21250,22750,20900,21600,689088,195532.0,9052400.0
2018-11-22,22000,22100,20900,21100,272282,191006.0,9052400.0
2018-11-23,21350,22350,20700,20800,594946,188290.0,9052400.0
2018-11-26,21250,21450,20100,20100,370023,181953.0,9052400.0
2018-11-27,19650,20050,19100,19900,362737,180143.0,9052400.0
2018-11-28,20100,20350,18950,20000,470962,181048.0,9052400.0
2018-11-29,20250,20650,19500,19600,337934,177427.0,9052400.0
2018-11-30,19650,19850,19100,19400,181524,175617.0,9052400.0
2018-12-03,19950,20650,19500,20250,370241,183311.0,9052400.0
2018-12-04,20300,21800,20100,21150,809512,191458.0,9052400.0
2018-12-05,20650,21300,20350,20750,299233,187837.0,9052400.0
2018-12-06,20600,20750,19350,19600,238678,177427.0,9052400.0
2018-12-07,19950,21150,19950,21000,393065,190100.0,9052400.0
2018-12-10,20050,20450,19700,20000,316757,181048.0,9052400.0
2018-12-11,20100,20100,18800,18800,264563,170185.0,9052400.0
2018-12-12,18750,19050,17650,17950,255490,162491.0,9052400.0
2018-12-13,17950,18600,17700,18100,276119,163848.0,9052400.0
2018-12-14,18100,18150,17100,17350,177888,157059.0,9052400.0
2018-12-17,16900,17000,15850,15950,279919,144386.0,9052400.0
2018-12-18,15600,16600,15250,16000,247142,144838.0,9052400.0
2018-12-19,16200,16400,15900,16050,125626,145291.0,9052400.0
2018-12-20,18250,18550,16850,16850,636033,152533.0,9052400.0
2018-12-21,17300,17800,17300,17800,252731,161133.0,9052400.0
2018-12-24,18500,19700,18300,18500,473049,167469.0,9052400.0
2018-12-26,18150,18450,17350,17500,213639,158417.0,9052400.0
2018-12-27,17850,18100,17600,17800,132472,161133.0,9052400.0
2018-12-28,17650,18150,17650,18050,140154,163396.0,9052400.0
2019-01-02,18400,18500,16750,16950,210779,153438.0,9052400.0
2019-01-03,17100,19150,16500,17800,654227,161133.0,9052400.0
2019-01-04,17550,17700,16950,17700,184919,160227.0,9052400.0
2019-01-07,18050,18700,17700,18600,345077,168375.0,9052400.0
2019-01-08,18800,19500,18350,18850,437754,170638.0,9052400.0
2019-01-09,18850,19500,18600,19250,282787,174259.0,9052400.0
2019-01-10,19300,19650,18600,18600,202275,168375.0,9052400.0
2019-01-11,18750,20400,18600,20250,687913,183311.0,9052400.0
2019-01-14,21100,25100,20550,24100,4731454,218163.0,9052400.0
2019-01-15,23850,24700,23100,24150,1411060,218615.0,9052400.0
2019-01-16,24700,27900,24400,25050,4241038,226763.0,9052400.0
2019-01-17,25600,25700,24050,24900,805642,225405.0,9052400.0
2019-01-18,24950,26500,24250,24900,1640703,225405.0,9052400.0
2019-01-21,24900,25100,24000,24300,315373,219973.0,9052400.0
2019-01-22,24050,26100,24000,24000,975166,217258.0,9052400.0
2019-01-23,23600,24950,23550,24550,452778,222236.0,9052400.0
2019-01-24,26000,28000,24350,24850,2295809,224952.0,9052400.0
2019-01-25,24750,25300,24050,24200,422170,219068.0,9052400.0
2019-01-28,24050,24300,22900,23200,387483,210016.0,9052400.0
2019-01-29,23300,23650,22250,22650,346338,205037.0,9052400.0
2019-01-30,22600,23300,22600,22800,307376,206395.0,9052400.0
2019-01-31,23150,23450,22550,23200,266089,210016.0,9052400.0
2019-02-01,23600,24300,23150,23950,520916,216805.0,9052400.0
2019-02-07,24700,24700,23750,24300,287581,219973.0,9052400.0
2019-02-08,23900,24900,23800,24200,310352,219068.0,9052400.0
2019-02-11,24350,24400,22550,22550,277620,204132.0,9052400.0
2019-02-12,22800,23050,21650,21800,277963,197342.0,9052400.0
2019-02-13,22100,22150,21500,21750,237045,196890.0,9052400.0
2019-02-14,21900,21950,20750,21000,288172,190100.0,9052400.0
2019-02-15,20700,21400,20700,21400,147340,193721.0,9052400.0
2019-02-18,21650,21750,21300,21500,99985,194627.0,9052400.0
2019-02-19,21450,22400,21450,21550,213251,195079.0,9052400.0
2019-02-20,21800,21850,20800,20900,141296,189195.0,9052400.0
2019-02-21,20950,21100,19350,19900,301896,180143.0,9052400.0
2019-02-22,19750,21050,19750,20400,264663,184669.0,9052400.0
2019-02-25,20650,21050,19900,20050,123744,181501.0,9052400.0
2019-02-26,20150,20750,19600,20200,162692,182858.0,9052400.0
2019-02-27,20550,20600,20050,20250,87359,183311.0,9052400.0
2019-02-28,20000,20150,16500,16950,384486,153438.0,9052400.0
2019-03-04,15600,16750,15400,16350,402679,148007.0,9052400.0
2019-03-05,16150,17150,16050,16950,178335,153438.0,9052400.0
2019-03-06,17050,17250,16400,16700,111156,151175.0,9052400.0
2019-03-07,16600,16700,16100,16150,89785,146196.0,9052400.0
2019-03-08,15750,16400,15750,16050,82648,145291.0,9052400.0
2019-03-11,16100,16300,15750,16000,80238,144838.0,9052400.0
2019-03-12,16100,16700,16100,16250,90114,147102.0,9052400.0
2019-03-13,16200,16250,15800,15950,71449,144386.0,9052400.0
2019-03-14,15950,16200,15950,16100,49225,145744.0,9052400.0
2019-03-15,16100,16200,14600,15250,233008,138049.0,9052400.0
2019-03-18,15400,16000,15350,15650,124330,141670.0,9052400.0
2019-03-19,15750,17100,15650,16050,374560,145291.0,9052400.0
2019-03-20,16100,16100,15550,15650,76692,141670.0,9052400.0
2019-03-21,15550,15700,15350,15400,69827,139407.0,9052400.0
2019-03-22,15250,15500,14800,15100,85789,136691.0,9052400.0
2019-03-25,14600,15350,14600,15150,72560,137144.0,9052400.0
2019-03-26,15200,15450,14950,15250,62881,138049.0,9052400.0
2019-03-27,15250,15650,15100,15200,84456,137596.0,9052400.0
2019-03-28,15600,15750,15050,15050,90439,136239.0,9052400.0
2019-03-29,15000,16150,14900,15900,241990,143933.0,9052400.0
2019-04-01,16000,16250,15700,16000,93046,144838.0,9052400.0
2019-04-02,16050,16150,15800,15850,69452,143481.0,9052400.0
2019-04-03,16200,16250,15850,15950,65873,144386.0,9052400.0
2019-04-04,16150,16150,15650,15850,48145,143481.0,9052400.0
2019-04-05,15850,17150,15850,16700,434292,151175.0,9052400.0
2019-04-08,16700,16850,16300,16400,117006,148459.0,9052400.0
2019-04-09,16400,16550,16000,16200,85116,146649.0,9052400.0
2019-04-10,16200,16550,16000,16450,96731,148912.0,9052400.0
2019-04-11,16750,17300,16450,17050,328341,154343.0,9052400.0
2019-04-12,16500,17200,16000,16750,243754,151628.0,9052400.0
2019-04-15,16900,17100,16500,17000,155554,153891.0,9052400.0
2019-04-16,16800,17900,16600,16900,409837,152986.0,9052400.0
2019-04-17,16900,17250,16550,16600,114051,150270.0,9052400.0
2019-04-18,16500,16650,16100,16100,102858,145744.0,9052400.0
2019-04-19,16350,16750,16150,16250,94814,147102.0,9052400.0
2019-04-22,16400,16450,16050,16050,43512,145291.0,9052400.0
2019-04-23,16100,16350,15700,16000,58773,144838.0,9052400.0
2019-04-24,16150,16150,15350,15450,59736,139860.0,9052400.0
2019-04-25,15400,15550,15100,15200,65229,137596.0,9052400.0
2019-04-26,15300,15700,15250,15450,64929,139860.0,9052400.0
2019-04-29,15450,15450,14950,15100,44136,136691.0,9052400.0
2019-04-30,15000,15150,14850,14900,55016,134881.0,9052400.0
2019-05-02,15150,15350,15000,15100,45439,136691.0,9052400.0
2019-05-03,15200,15300,14950,15250,36486,138049.0,9052400.0
2019-05-07,14700,15950,14600,15350,132500,138954.0,9052400.0
2019-05-08,15950,17800,15800,16300,1470255,147554.0,9052400.0
2019-05-09,16650,16700,15500,15600,205094,141217.0,9052400.0
2019-05-10,15150,15300,14600,14800,179896,133976.0,9052400.0
2019-05-13,14450,14800,14000,14000,157628,126734.0,9052400.0
2019-05-14,13700,14150,13600,13750,119811,124470.0,9052400.0
2019-05-15,13750,13950,13600,13800,64914,124923.0,9052400.0
2019-05-16,14500,14600,13800,14000,93547,126734.0,9052400.0
2019-05-17,14000,15350,13950,14750,337615,133523.0,9052400.0
2019-05-20,14900,15100,14150,14150,94191,128091.0,9052400.0
2019-05-21,14050,14400,14000,14100,39761,127639.0,9052400.0
2019-05-22,14150,14850,14150,14400,76807,130355.0,9052400.0
2019-05-23,14550,14550,13850,13850,51385,125376.0,9052400.0
2019-05-24,13700,13900,13100,13300,77136,120397.0,9052400.0
2019-05-27,13150,13600,13150,13300,65881,120397.0,9052400.0
2019-05-28,13250,13750,13250,13500,44022,122207.0,9052400.0
2019-05-29,13350,13500,13100,13300,46529,120397.0,9052400.0
2019-05-30,13100,13400,13050,13100,51225,118586.0,9052400.0
2019-05-31,13000,13300,12800,13100,69475,118586.0,9052400.0
2019-06-03,13000,13100,12850,12850,68335,116323.0,9052400.0
2019-06-04,12800,13100,12800,12900,43202,116776.0,9052400.0
2019-06-05,12950,13250,12900,13150,69810,119039.0,9052400.0
2019-06-07,13200,13450,13100,13450,66810,121755.0,9052400.0
2019-06-10,13800,14400,13700,13900,129439,125828.0,9052400.0
2019-06-11,13950,14450,13950,14450,96793,130807.0,9052400.0
2019-06-12,15100,16800,14950,15100,892088,136691.0,9052400.0
2019-06-13,15200,15950,14800,15950,204917,144386.0,9052400.0
2019-06-14,16000,16100,15700,15950,160994,144386.0,9052400.0
2019-06-17,15750,15950,15050,15400,112010,139407.0,9052400.0
2019-06-18,15650,15800,14950,15050,101743,136239.0,9052400.0
2019-06-19,15300,16300,15100,16150,358479,146196.0,9052400.0
2019-06-20,16550,16700,15800,15900,192411,143933.0,9052400.0
2019-06-21,16000,16050,15250,15350,112944,138954.0,9052400.0
2019-06-24,15950,16250,15700,15800,144579,143028.0,9052400.0
2019-06-25,15800,15850,14950,15050,91463,136239.0,9052400.0
2019-06-26,15000,15050,14600,14800,80101,133976.0,9052400.0
2019-06-27,14850,15300,14450,14700,96399,133070.0,9052400.0
2019-06-28,14500,14750,13950,14400,115194,130355.0,9052400.0
2019-07-01,15300,15500,14600,14900,134550,134881.0,9052400.0
2019-07-02,14800,14950,14500,14750,97342,133523.0,9052400.0
2019-07-03,14700,14800,14150,14150,52987,128091.0,9052400.0
2019-07-04,14100,14350,13850,14100,45053,127639.0,9052400.0
2019-07-05,14100,14250,14000,14100,43148,127639.0,9052400.0
2019-07-08,13950,13950,13050,13150,75092,119039.0,9052400.0
2019-07-09,13000,13350,12650,12700,68174,114965.0,9052400.0
2019-07-10,12550,13000,12550,12850,39065,116323.0,9052400.0
2019-07-11,12850,13550,12850,13550,54684,122660.0,9052400.0
2019-07-12,13250,13650,13200,13600,38912,123113.0,9052400.0
2019-07-15,13500,13600,13100,13200,34479,119492.0,9052400.0
2019-07-16,13100,13350,12950,13000,37587,117681.0,9052400.0
2019-07-17,12850,13050,12650,12800,41231,115871.0,9052400.0
2019-07-18,12700,13150,12600,12800,35018,115871.0,9052400.0
2019-07-19,12700,13150,12700,12950,23981,117229.0,9052400.0
2019-07-22,13100,13200,12950,13000,15913,117681.0,9052400.0
2019-07-23,13100,13250,12850,13000,27495,117681.0,9052400.0
2019-07-24,12850,13100,12400,12400,73759,112250.0,9052400.0
2019-07-25,12200,12550,12100,12150,41210,109987.0,9052400.0
2019-07-26,12000,12250,11600,11650,69890,105460.0,9052400.0
2019-07-29,11500,11550,10750,10750,101327,97313.0,9052400.0
2019-07-30,10500,11500,10500,11250,95519,101840.0,9052400.0
2019-07-31,10950,11500,10950,11400,50479,103197.0,9052400.0
2019-08-01,11300,11400,11050,11150,26151,100934.0,9052400.0
2019-08-02,10900,11300,10650,11150,45194,100934.0,9052400.0
2019-08-05,10950,11050,9820,9820,147419,88895.0,9052400.0
2019-08-06,9010,10250,9010,9500,147429,85998.0,9052400.0
2019-08-07,9300,9900,9300,9790,75970,88623.0,9052400.0
2019-08-08,10100,10600,9920,10350,49359,93692.0,9052400.0
2019-08-09,10350,10650,10200,10450,22602,94598.0,9052400.0
2019-08-12,10600,11050,10500,10800,47809,97766.0,9052400.0
2019-08-13,10750,11000,10300,10950,32947,99124.0,9052400.0
2019-08-14,10950,11200,10800,10800,42645,97766.0,9052400.0
2019-08-16,10550,10750,10300,10600,30175,95955.0,9052400.0
2019-08-19,10650,11100,10650,11100,35731,100482.0,9052400.0
2019-08-20,11100,11800,11100,11400,46296,103197.0,9052400.0
2019-08-21,11400,11500,11200,11450,18632,103650.0,9052400.0
2019-08-22,11450,11550,11250,11450,25446,103650.0,9052400.0
2019-08-23,11300,11400,11050,11050,43950,100029.0,9052400.0
2019-08-26,10650,10950,10350,10400,33926,94145.0,9052400.0
2019-08-27,10700,10950,10600,10600,24024,95955.0,9052400.0
2019-08-28,10600,10950,10600,10900,14632,98671.0,9052400.0
2019-08-29,11000,11000,10800,10900,10406,98671.0,9052400.0
2019-08-30,10900,11350,10900,11350,18596,102745.0,9052400.0
2019-09-02,11300,11300,10950,11050,25067,100029.0,9052400.0
2019-09-03,11100,11350,11000,11150,21769,100934.0,9052400.0
2019-09-04,11100,11250,10950,11050,17403,100029.0,9052400.0
2019-09-05,11050,11400,11050,11300,28406,102292.0,9052400.0
2019-09-06,11400,11450,11100,11200,12650,101387.0,9052400.0
2019-09-09,11200,11350,11050,11050,22455,100029.0,9052400.0
2019-09-10,11500,12250,11250,12100,173902,109534.0,9052400.0
2019-09-11,12300,12550,11850,12400,98225,112250.0,9052400.0
2019-09-16,12900,15650,12600,14700,1742135,133070.0,9052400.0
2019-09-17,14450,14850,14300,14850,356200,134428.0,9052400.0
2019-09-18,14550,15100,14200,14900,401444,134881.0,9052400.0
2019-09-19,14800,15000,14550,14950,171635,135333.0,9052400.0
2019-09-20,14800,15550,14800,15500,456577,140312.0,9052400.0
2019-09-23,15800,15800,15150,15400,237576,139407.0,9052400.0
2019-09-24,15300,15350,14700,14850,165912,134428.0,9052400.0
2019-09-25,14850,14900,13700,13900,213453,125828.0,9052400.0
2019-09-26,14200,14400,13550,13900,99836,125828.0,9052400.0
2019-09-27,13650,14300,13650,14150,99647,128091.0,9052400.0
2019-09-30,14050,14050,13600,13850,53475,125376.0,9052400.0
2019-10-01,13850,14000,13600,13750,46231,124470.0,9052400.0
2019-10-02,14600,14650,13750,13750,141655,124470.0,9052400.0
2019-10-04,13900,13950,13150,13350,88042,120850.0,9052400.0
2019-10-07,12000,12200,11350,11900,194330,107724.0,9052400.0
