펩트론(087010),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-09-25,25850,25850,24774,25650,51451,300984.0,5867137.0
2015-09-30,24500,24500,23250,23975,73521,281329.0,5867137.0
2015-10-01,24350,24825,24125,24350,28222,285730.0,5867137.0
2015-10-02,24350,24925,23625,23850,27984,279862.0,5867137.0
2015-10-05,24250,24925,23900,23975,21504,281329.0,5867137.0
2015-10-06,23925,24325,22775,23050,43548,270475.0,5867137.0
2015-10-07,22900,22925,21200,21975,99935,257861.0,5867137.0
2015-10-08,22250,22675,20775,21550,53385,252874.0,5867137.0
2015-10-12,21350,21675,20250,20575,74253,241433.0,5867137.0
2015-10-13,20375,20575,18875,19500,148595,228818.0,5867137.0
2015-10-14,19700,19700,18600,18975,75339,222658.0,5867137.0
2015-10-15,19000,19250,17925,18375,201340,215617.0,5867137.0
2015-10-16,19100,21725,19100,20650,376080,242313.0,5867137.0
2015-10-19,20400,21050,20150,20575,67755,241433.0,5867137.0
2015-10-20,19750,23850,18125,21975,593747,257861.0,5867137.0
2015-10-21,21550,22950,21550,21700,82470,254634.0,5867137.0
2015-10-22,21575,21825,20375,21350,91772,250527.0,5867137.0
2015-10-23,21350,22175,20750,21400,80873,251113.0,5867137.0
2015-10-26,21250,21400,20450,20650,100612,242313.0,5867137.0
2015-10-27,20850,21225,19700,20350,80970,238792.0,5867137.0
2015-10-28,20000,20650,19950,20450,36349,239966.0,5867137.0
2015-10-29,20400,20450,19925,19975,63615,234392.0,5867137.0
2015-10-30,19775,20875,19650,19850,107386,232925.0,5867137.0
2015-11-02,19625,19875,18350,18700,95137,219431.0,5867137.0
2015-11-03,18725,20225,18600,20200,107481,237032.0,5867137.0
2015-11-04,20300,21950,19950,21950,124121,257567.0,5867137.0
2015-11-05,21975,22675,21775,22200,133222,260501.0,5867137.0
2015-11-06,26500,28850,25500,28850,1066843,338534.0,5867137.0
2015-11-09,27400,30449,26000,27550,834312,323279.0,5867137.0
2015-11-10,27950,33700,25500,32500,925581,381364.0,5867137.0
2015-11-11,31750,34550,31000,32550,373975,381951.0,5867137.0
2015-11-12,32050,32900,31200,32600,160051,382537.0,5867137.0
2015-11-13,31700,32850,30550,32700,144102,383711.0,5867137.0
2015-11-16,31350,32050,29500,29500,130158,346161.0,5867137.0
2015-11-17,29950,30999,29450,30700,115517,360242.0,5867137.0
2015-11-18,30700,34300,30300,32150,316273,377257.0,5867137.0
2015-11-19,32700,36150,31900,35500,404590,416567.0,5867137.0
2015-11-20,36250,37250,34600,34600,244569,406006.0,5867137.0
2015-11-23,34450,35850,34150,34600,158008,406006.0,5867137.0
2015-11-24,35000,35000,32900,33000,173755,387231.0,5867137.0
2015-11-25,33500,35150,33500,34500,161154,404832.0,5867137.0
2015-11-26,34450,34950,34000,34950,75839,410113.0,5867137.0
2015-11-27,35200,35200,33950,34050,66431,399552.0,5867137.0
2015-11-30,33650,34000,31300,31500,123158,369630.0,5867137.0
2015-12-01,32000,32500,31200,31200,91924,366109.0,5867137.0
2015-12-02,31700,32100,30700,30700,78491,360242.0,5867137.0
2015-12-03,30650,32450,30500,32100,112003,376670.0,5867137.0
2015-12-04,31700,32450,31400,32250,60477,378430.0,5867137.0
2015-12-07,32750,33500,32200,32700,93019,383711.0,5867137.0
2015-12-08,32950,33000,31400,32400,92102,380190.0,5867137.0
2015-12-09,32399,32850,30550,30850,86273,362002.0,5867137.0
2015-12-10,31000,31900,28050,29700,153620,348508.0,5867137.0
2015-12-11,29300,29550,28600,28800,55324,337947.0,5867137.0
2015-12-14,28050,29500,27250,28050,100617,329146.0,5867137.0
2015-12-15,28800,30350,27850,29600,112606,347335.0,5867137.0
2015-12-16,30350,30550,29350,29650,80007,347921.0,5867137.0
2015-12-17,29850,29950,27900,28300,153912,332080.0,5867137.0
2015-12-18,28000,29650,27900,29050,82628,340881.0,5867137.0
2015-12-21,28950,28950,27800,28000,76216,328560.0,5867137.0
2015-12-22,28300,30000,27050,30000,135956,352028.0,5867137.0
2015-12-23,29999,31900,29500,30750,121760,360829.0,5867137.0
2015-12-24,30750,31250,29600,29950,107086,351442.0,5867137.0
2015-12-28,29950,31250,29600,30900,135571,362589.0,5867137.0
2015-12-29,31400,33150,31400,32750,137475,384297.0,5867137.0
2015-12-30,33100,33800,32650,33750,96840,396032.0,5867137.0
2016-01-04,33550,33750,31500,31500,118807,369630.0,5867137.0
2016-01-05,30600,32350,30500,31250,94570,366696.0,5867137.0
2016-01-06,31550,32850,31150,32000,107046,375497.0,5867137.0
2016-01-07,32000,33100,31600,33000,105629,387231.0,5867137.0
2016-01-08,32250,37250,31750,36500,365691,428301.0,5867137.0
2016-01-11,36650,38000,35000,35500,241790,416567.0,5867137.0
2016-01-12,35650,35750,34250,34950,159532,410113.0,5867137.0
2016-01-13,35250,36050,34700,35150,123009,412460.0,5867137.0
2016-01-14,34000,34500,32550,34250,154540,401899.0,5867137.0
2016-01-15,34350,36000,33000,33300,180967,390751.0,5867137.0
2016-01-18,32850,35600,32449,35550,164046,417153.0,5867137.0
2016-01-19,35350,35800,34500,35800,123784,420087.0,5867137.0
2016-01-20,35500,35950,33250,34600,138233,406006.0,5867137.0
2016-01-21,34750,35000,33150,33500,117973,393098.0,5867137.0
2016-01-22,33800,34000,31799,32700,133195,383711.0,5867137.0
2016-01-25,32800,34000,32400,33500,78958,393098.0,5867137.0
2016-01-26,33200,34900,33150,34400,99430,403659.0,5867137.0
2016-01-27,34650,35100,32700,33150,96102,388991.0,5867137.0
2016-01-28,33150,33900,31950,33550,106473,393685.0,5867137.0
2016-01-29,33150,33600,32000,33400,77560,391925.0,5867137.0
2016-02-01,33550,35700,33150,35650,175132,418327.0,5867137.0
2016-02-02,35450,36350,35100,35200,113960,413046.0,5867137.0
2016-02-03,34850,35150,33500,34350,83930,403072.0,5867137.0
2016-02-04,34650,34650,32850,33200,85988,389578.0,5867137.0
2016-02-05,32950,33399,32000,32600,80014,382537.0,5867137.0
2016-02-11,30750,31650,28300,29250,147688,343228.0,5867137.0
2016-02-12,28400,28950,23600,24925,343215,292477.0,5867137.0
2016-02-15,25400,26100,24500,25400,114905,298051.0,5867137.0
2016-02-16,25400,26849,25400,26000,116080,305091.0,5867137.0
2016-02-17,26000,26300,23750,23900,105529,280449.0,5867137.0
2016-02-18,24499,24674,22950,24275,175096,284850.0,5867137.0
2016-02-19,24100,25300,23600,24700,82323,289837.0,5867137.0
2016-02-22,24700,25750,24175,25150,70577,295117.0,5867137.0
2016-02-23,25250,25450,24000,24250,84052,284556.0,5867137.0
2016-02-24,24000,24649,23800,24425,65926,286610.0,5867137.0
2016-02-25,24450,26450,24275,26150,148554,306851.0,5867137.0
2016-02-26,26000,26500,25000,26150,123642,306851.0,5867137.0
2016-02-29,26350,26400,25000,25650,84826,300984.0,5867137.0
2016-03-02,26200,28049,25900,27600,208232,323866.0,5867137.0
2016-03-03,27700,29100,27250,28950,144578,339707.0,5867137.0
2016-03-04,28750,29700,28200,29500,122585,346161.0,5867137.0
2016-03-07,29050,29500,28550,28850,78247,338534.0,5867137.0
2016-03-08,29000,29000,28000,28400,51652,333253.0,5867137.0
2016-03-09,28200,29250,27800,28750,92344,337360.0,5867137.0
2016-03-10,28750,30250,28500,30100,139872,353202.0,5867137.0
2016-03-11,30199,31950,29750,31500,164327,369630.0,5867137.0
2016-03-14,31500,31800,30350,31300,74626,367283.0,5867137.0
2016-03-15,31450,31700,30750,31150,39450,365523.0,5867137.0
2016-03-16,30950,31350,29800,30150,83518,353788.0,5867137.0
2016-03-17,30150,30400,29400,30100,80480,353202.0,5867137.0
2016-03-18,30350,30400,29450,30400,107035,356722.0,5867137.0
2016-03-21,30850,31650,30600,30850,87764,362002.0,5867137.0
2016-03-22,30900,31250,29850,30200,62212,354375.0,5867137.0
2016-03-23,30050,30300,29500,30000,38314,352028.0,5867137.0
2016-03-24,30050,30050,27599,28850,102944,338534.0,5867137.0
2016-03-25,28850,29350,28650,29250,34481,343228.0,5867137.0
2016-03-28,29300,29650,28200,28400,51815,333253.0,5867137.0
2016-03-29,28500,29200,27800,29200,68638,342641.0,5867137.0
2016-03-30,29400,29400,28250,28400,42374,333253.0,5867137.0
2016-03-31,28399,28399,27050,27950,96733,327973.0,5867137.0
2016-04-01,27700,29000,27599,28850,75709,338534.0,5867137.0
2016-04-04,28800,29300,28050,28700,48354,336774.0,5867137.0
2016-04-05,28500,29600,28199,29300,55169,343814.0,5867137.0
2016-04-06,29300,29300,28250,28600,65292,335600.0,5867137.0
2016-04-07,28650,28699,27850,28600,53461,335600.0,5867137.0
2016-04-08,28500,28600,27800,28400,37614,333253.0,5867137.0
2016-04-11,28400,28600,27550,27600,43140,323866.0,5867137.0
2016-04-12,27500,29150,27150,28750,74263,337360.0,5867137.0
2016-04-14,28750,28900,27950,28250,37729,331493.0,5867137.0
2016-04-15,28500,29100,28200,29100,55262,341467.0,5867137.0
2016-04-18,29150,29600,28500,28500,49248,334427.0,5867137.0
2016-04-19,28700,29100,28450,29000,42465,340294.0,5867137.0
2016-04-20,29150,29199,28200,29050,57022,340881.0,5867137.0
2016-04-21,30200,30350,27950,28750,171368,337360.0,5867137.0
2016-04-22,28600,28750,28000,28000,58357,328560.0,5867137.0
2016-04-25,28000,28300,27550,28150,44087,330320.0,5867137.0
2016-04-26,28250,28350,27700,27800,40038,326213.0,5867137.0
2016-04-27,27799,28000,26350,26700,52176,313305.0,5867137.0
2016-04-28,26550,27500,25600,25950,91187,304504.0,5867137.0
2016-04-29,26000,26300,24999,26100,37871,306265.0,5867137.0
2016-05-02,26100,26350,25000,25100,36051,294530.0,5867137.0
2016-05-03,25000,25850,24975,25200,63777,295704.0,5867137.0
2016-05-04,25400,25400,24650,24725,40500,290130.0,5867137.0
2016-05-09,24675,24675,23824,24250,66310,284556.0,5867137.0
2016-05-10,24250,25350,24250,24725,49243,290130.0,5867137.0
2016-05-11,24925,24975,24325,24475,40724,287196.0,5867137.0
2016-05-12,24475,24700,24050,24625,32143,288956.0,5867137.0
2016-05-13,24500,25750,24450,25500,50336,299224.0,5867137.0
2016-05-16,25600,25750,25100,25350,26091,297464.0,5867137.0
2016-05-17,25500,25600,24850,25050,36574,293944.0,5867137.0
2016-05-18,25050,25100,24525,25050,49479,293944.0,5867137.0
2016-05-19,25300,25300,23525,24500,38531,287490.0,5867137.0
2016-05-20,24250,25750,24199,25700,50675,301571.0,5867137.0
2016-05-23,25800,26550,25400,26350,49793,309198.0,5867137.0
2016-05-24,26150,26350,25350,25350,34536,297464.0,5867137.0
2016-05-25,25750,25750,24900,24900,34875,292183.0,5867137.0
2016-05-26,24900,25100,24500,24900,19807,292183.0,5867137.0
2016-05-27,24650,24975,24225,24650,57949,289250.0,5867137.0
2016-05-30,24950,24950,24250,24575,34732,288370.0,5867137.0
2016-05-31,24575,25099,24250,24925,77257,292477.0,5867137.0
2016-06-01,24975,25250,24775,25000,21384,293357.0,5867137.0
2016-06-02,25250,26300,24725,26250,70433,308025.0,5867137.0
2016-06-03,26000,26150,25449,26000,42789,305091.0,5867137.0
2016-06-07,25849,26249,25500,26000,38406,305091.0,5867137.0
2016-06-08,25650,27000,25500,26550,71130,311545.0,5867137.0
2016-06-09,26950,28200,26400,27600,127449,323866.0,5867137.0
2016-06-10,27550,27799,26850,27500,74928,335453.0,6099137.0
2016-06-13,27200,28450,26900,27800,122473,339112.0,6099137.0
2016-06-14,27750,28250,27300,27650,54833,337282.0,6099137.0
2016-06-15,27650,27850,26650,26650,61113,325084.0,6099137.0
2016-06-16,26800,27050,24825,24900,101886,303737.0,6099137.0
2016-06-17,25050,25750,24750,25000,74938,304957.0,6099137.0
2016-06-20,26000,26100,25250,25300,47844,308616.0,6099137.0
2016-06-21,25650,26050,24950,25250,54803,308006.0,6099137.0
2016-06-22,25400,25700,25100,25250,31482,308006.0,6099137.0
2016-06-23,25200,25200,24425,24900,36259,303737.0,6099137.0
2016-06-24,25250,25350,21850,23750,169305,289709.0,6099137.0
2016-06-27,22999,23975,22575,23900,52244,291539.0,6099137.0
2016-06-28,23500,24075,23400,23900,54072,291539.0,6099137.0
2016-06-29,24100,24475,23924,24300,42742,296418.0,6099137.0
2016-06-30,24325,25650,24325,24875,80603,303432.0,6099137.0
2016-07-01,24925,25400,24775,25200,32676,307397.0,6099137.0
2016-07-04,25400,26250,25100,26250,87294,320205.0,6099137.0
2016-07-05,26250,26299,25600,26200,57973,319595.0,6099137.0
2016-07-06,25950,26150,25150,25550,45222,311666.0,6099137.0
2016-07-07,25750,26400,25500,26300,55172,320815.0,6099137.0
2016-07-08,26300,27350,26200,26600,93241,324474.0,6099137.0
2016-07-11,27000,27300,26250,26500,59282,323254.0,6099137.0
2016-07-12,26600,27400,26300,26750,71631,326304.0,6099137.0
2016-07-13,27000,27100,26350,26500,36622,323254.0,6099137.0
2016-07-14,26499,26499,25350,25800,82287,314715.0,6099137.0
2016-07-15,25650,25950,25350,25500,40366,311056.0,6099137.0
2016-07-18,25350,25550,24725,25000,54635,304957.0,6099137.0
2016-07-19,25050,25650,24875,25650,36735,312886.0,6099137.0
2016-07-20,25350,25800,24924,25100,52872,306177.0,6099137.0
2016-07-21,25199,25300,24550,24550,60550,299468.0,6099137.0
2016-07-22,24375,25200,24300,24975,70934,304652.0,6099137.0
2016-07-25,25000,25850,24875,25500,73780,311056.0,6099137.0
2016-07-26,25600,25850,25000,25450,44533,310446.0,6099137.0
2016-07-27,25250,25500,25049,25350,30597,309226.0,6099137.0
2016-07-28,25450,25550,24725,25100,37886,306177.0,6099137.0
2016-07-29,25050,25350,24800,25250,23244,308006.0,6099137.0
2016-08-01,25249,25300,24650,24750,39922,301907.0,6099137.0
2016-08-02,24750,25150,24525,24575,30419,299773.0,6099137.0
2016-08-03,24575,24600,23875,23950,48499,292149.0,6099137.0
2016-08-04,24000,24600,23924,24550,34054,299468.0,6099137.0
2016-08-05,24600,24950,24000,24750,36779,301907.0,6099137.0
2016-08-08,24500,25250,24500,24850,21437,303127.0,6099137.0
2016-08-09,24800,25700,24800,25200,40806,307397.0,6099137.0
2016-08-10,25200,25799,24974,25700,69056,321403.0,6252983.0
2016-08-11,25700,25750,24975,25100,40001,313900.0,6252983.0
2016-08-12,25250,25250,24750,25000,28513,312649.0,6252983.0
2016-08-16,25000,25000,24650,24650,16771,308272.0,6252983.0
2016-08-17,24525,24799,24325,24375,20432,304833.0,6252983.0
2016-08-18,24400,24650,24150,24500,19607,306396.0,6252983.0
2016-08-19,24625,24650,24175,24200,13593,302644.0,6252983.0
2016-08-22,24199,24275,23800,24100,25414,301394.0,6252983.0
2016-08-23,24150,24375,24000,24225,24822,302957.0,6252983.0
2016-08-24,24225,24275,22950,22950,60572,287012.0,6252983.0
2016-08-25,22675,23025,21700,22975,121373,287325.0,6252983.0
2016-08-26,23075,23400,22600,22600,31367,282635.0,6252983.0
2016-08-29,22600,22900,21725,21825,36414,272943.0,6252983.0
2016-08-30,21825,22100,21700,22100,30576,276382.0,6252983.0
2016-08-31,22000,22600,21275,22500,46018,281384.0,6252983.0
2016-09-01,22600,22600,21900,22400,19540,280134.0,6252983.0
2016-09-02,22500,22750,22400,22500,21820,281384.0,6252983.0
2016-09-05,22425,22550,22075,22150,22653,277007.0,6252983.0
2016-09-06,22050,22200,21800,21800,25236,272630.0,6252983.0
2016-09-07,21900,22175,21125,22050,61015,275757.0,6252983.0
2016-09-08,22050,22750,21525,22475,57179,281072.0,6252983.0
2016-09-09,22475,22725,22000,22300,28602,278883.0,6252983.0
2016-09-12,21750,22050,21150,21950,53516,274506.0,6252983.0
2016-09-13,22050,22250,21150,22125,47839,276694.0,6252983.0
2016-09-19,22050,22050,21400,21675,37931,271067.0,6252983.0
2016-09-20,21675,22225,21200,22000,30981,275131.0,6252983.0
2016-09-21,22250,22250,21650,21900,23774,273881.0,6252983.0
2016-09-22,21975,22600,21850,22400,38000,280134.0,6252983.0
2016-09-23,22350,24100,22325,24100,104707,301394.0,6252983.0
2016-09-26,23875,25350,23875,24900,105990,311399.0,6252983.0
2016-09-27,24549,25400,24400,25200,60441,315150.0,6252983.0
2016-09-28,25200,25350,24600,24925,31441,311711.0,6252983.0
2016-09-29,24950,25050,24600,24750,27659,309523.0,6252983.0
2016-09-30,24925,24925,23200,23700,75413,296391.0,6252983.0
2016-10-04,23050,25299,22850,25000,100681,312649.0,6252983.0
2016-10-05,25000,25250,24500,25150,38125,314525.0,6252983.0
2016-10-06,25149,25400,24675,24850,28433,310773.0,6252983.0
2016-10-07,24900,25300,23575,23600,67308,295141.0,6252983.0
2016-10-10,23650,24725,23600,24650,45716,308272.0,6252983.0
2016-10-11,24675,24675,24100,24450,21537,305771.0,6252983.0
2016-10-12,24175,24650,23850,24625,29013,307959.0,6252983.0
2016-10-13,24650,24650,23550,24375,59661,304833.0,6252983.0
2016-10-14,23900,24125,23225,23600,81458,295141.0,6252983.0
2016-10-17,23400,23600,22350,22450,41179,280759.0,6252983.0
2016-10-18,22275,22975,21875,22650,35670,283260.0,6252983.0
2016-10-19,22500,22950,21975,22500,24774,281384.0,6252983.0
2016-10-20,22550,22875,21725,21725,44903,271692.0,6252983.0
2016-10-21,21875,22175,21525,21925,14500,274193.0,6252983.0
2016-10-24,21775,22250,21675,22025,13070,275444.0,6252983.0
2016-10-25,21600,22250,21325,21775,27732,272317.0,6252983.0
2016-10-26,21775,21875,21350,21775,25687,272317.0,6252983.0
2016-10-27,21600,22575,21600,22425,22509,280446.0,6252983.0
2016-10-28,22425,22475,21775,21775,12737,272317.0,6252983.0
2016-10-31,22075,22075,20125,20900,46182,261375.0,6252983.0
2016-11-01,20775,21425,20700,21425,19284,267940.0,6252983.0
2016-11-02,21050,21075,19900,20000,43163,250119.0,6252983.0
2016-11-03,19600,20375,18450,19300,55440,241365.0,6252983.0
2016-11-04,19075,19500,18575,18950,31504,236988.0,6252983.0
2016-11-07,19025,19250,18750,19225,16221,240427.0,6252983.0
2016-11-08,19325,19900,19225,19900,28070,248869.0,6252983.0
2016-11-09,19950,20100,17500,18525,67560,231673.0,6252983.0
2016-11-10,19450,20525,19250,20000,62648,250119.0,6252983.0
2016-11-11,20025,20775,19750,20325,34974,254184.0,6252983.0
2016-11-14,20325,20425,19650,19675,14379,246055.0,6252983.0
2016-11-15,19675,19875,19050,19375,18083,242303.0,6252983.0
2016-11-16,19525,19800,19250,19700,13793,246368.0,6252983.0
2016-11-17,19500,20250,19100,20150,19678,251995.0,6252983.0
2016-11-18,20150,20150,19200,19550,16200,244492.0,6252983.0
2016-11-21,19450,19450,18625,18750,15204,234487.0,6252983.0
2016-11-22,19050,19050,18400,18525,18719,231673.0,6252983.0
2016-11-23,18400,18500,17900,17900,22948,223857.0,6252983.0
2016-11-24,18000,18250,17150,17500,22773,218854.0,6252983.0
2016-11-25,17500,18025,17375,17625,10520,220418.0,6252983.0
2016-11-28,17825,17925,17450,17650,11034,220730.0,6252983.0
2016-11-29,17650,18000,17200,17700,17061,221356.0,6252983.0
2016-11-30,17525,18350,17225,18350,25954,229484.0,6252983.0
2016-12-01,18225,18325,17675,18225,19726,227921.0,6252983.0
2016-12-02,17900,18150,17650,17800,18074,222606.0,6252983.0
2016-12-05,17600,17700,16725,16975,20268,212289.0,6252983.0
2016-12-06,16925,17150,16675,16825,16396,210413.0,6252983.0
2016-12-07,16850,17025,15900,16400,36529,205098.0,6252983.0
2016-12-08,16450,17250,16450,16900,19239,211351.0,6252983.0
2016-12-09,16750,17575,16750,17550,30557,219480.0,6252983.0
2016-12-12,17850,17850,17050,17500,20015,218854.0,6252983.0
2016-12-13,17500,18275,17500,18200,26324,227609.0,6252983.0
2016-12-14,18550,18750,17925,18225,30555,227921.0,6252983.0
2016-12-15,18050,18625,17650,18625,19453,232924.0,6252983.0
2016-12-16,18650,18850,18250,18850,21319,235737.0,6252983.0
2016-12-19,18750,18875,18200,18600,14780,232611.0,6252983.0
2016-12-20,18500,18500,17750,17950,21806,224482.0,6252983.0
2016-12-21,17900,18200,17250,18150,23656,226983.0,6252983.0
2016-12-22,17850,18075,17625,17875,16469,223544.0,6252983.0
2016-12-23,17875,18125,17625,17750,9094,221981.0,6252983.0
2016-12-26,17750,17875,17375,17450,20189,218229.0,6252983.0
2016-12-27,17450,17825,17275,17750,15487,221981.0,6252983.0
2016-12-28,17750,18800,17600,18775,30789,234800.0,6252983.0
2016-12-29,18300,20050,18300,19575,69778,244804.0,6252983.0
2017-01-02,19550,19925,19500,19900,13093,248869.0,6252983.0
2017-01-03,19750,20925,19750,20825,64831,260437.0,6252983.0
2017-01-04,20850,21625,20650,21600,51844,270129.0,6252983.0
2017-01-05,21600,21850,20750,21050,28945,263251.0,6252983.0
2017-01-06,21500,21500,20550,21100,33269,263876.0,6252983.0
2017-01-09,21450,21450,20550,20725,17014,259186.0,6252983.0
2017-01-10,20500,20725,20050,20700,35822,258873.0,6252983.0
2017-01-11,20700,20700,20100,20500,25719,256372.0,6252983.0
2017-01-12,20500,20550,19475,20500,36950,256372.0,6252983.0
2017-01-13,20300,21250,20300,20750,15175,259499.0,6252983.0
2017-01-16,20575,21550,20575,21500,30046,268878.0,6252983.0
2017-01-17,21125,22200,21125,21750,38825,272005.0,6252983.0
2017-01-18,21875,21875,21250,21750,13831,272005.0,6252983.0
2017-01-19,22050,22050,21025,21125,19525,264189.0,6252983.0
2017-01-20,20750,21150,20475,20750,17025,259499.0,6252983.0
2017-01-23,20650,20900,20200,20350,16266,254496.0,6252983.0
2017-01-24,20400,20750,19950,20325,16736,254184.0,6252983.0
2017-01-25,20725,20725,20000,20375,11330,254809.0,6252983.0
2017-01-26,20200,20750,20025,20300,8594,253871.0,6252983.0
2017-01-31,20050,20450,20050,20200,7224,252621.0,6252983.0
2017-02-01,20175,20575,19950,20525,10889,256685.0,6252983.0
2017-02-02,20600,21000,20200,20875,11362,261062.0,6252983.0
2017-02-03,20850,20950,20425,20950,13259,262000.0,6252983.0
2017-02-06,20750,21050,20725,21050,14726,263251.0,6252983.0
2017-02-07,21050,21525,20750,20800,30680,260124.0,6252983.0
2017-02-08,21000,21275,20800,21000,11629,262625.0,6252983.0
2017-02-09,21000,21025,20625,21000,8708,262625.0,6252983.0
2017-02-10,21000,21000,20450,20975,15795,262313.0,6252983.0
2017-02-13,20975,21000,20575,20975,9368,262313.0,6252983.0
2017-02-14,21050,21050,19925,20000,31269,250119.0,6252983.0
2017-02-15,20350,20525,20000,20200,13510,252621.0,6252983.0
2017-02-16,20325,20375,19900,20175,13815,252308.0,6252983.0
2017-02-17,20175,20375,19800,19900,16745,248869.0,6252983.0
2017-02-20,19900,20225,19800,19975,22399,249807.0,6252983.0
2017-02-21,19975,20275,19750,20050,22339,250745.0,6252983.0
2017-02-22,19850,20150,19575,19950,27790,249494.0,6252983.0
2017-02-23,19950,20500,19625,19900,34547,248869.0,6252983.0
2017-02-24,20100,20100,19550,19750,18436,246993.0,6252983.0
2017-02-27,19650,19800,19350,19500,22819,243866.0,6252983.0
2017-02-28,19525,19525,18900,19050,30661,238239.0,6252983.0
2017-03-02,19050,19300,18525,18600,26382,232611.0,6252983.0
2017-03-03,18525,18975,18175,18250,18472,228234.0,6252983.0
2017-03-06,17775,18350,17775,18225,25629,227921.0,6252983.0
2017-03-07,18025,18225,17800,18000,28494,225107.0,6252983.0
2017-03-08,18125,18350,17750,17850,29390,223231.0,6252983.0
2017-03-09,18000,19025,17950,18925,41082,236675.0,6252983.0
2017-03-10,19200,19250,18400,19250,24211,240740.0,6252983.0
2017-03-13,19025,19425,18900,19425,21701,242928.0,6252983.0
2017-03-14,19400,19600,19200,19450,17095,243241.0,6252983.0
2017-03-15,19050,19700,19050,19600,32176,245117.0,6252983.0
2017-03-16,19625,19875,19325,19500,30778,243866.0,6252983.0
2017-03-17,19450,20300,19250,20175,33389,252308.0,6252983.0
2017-03-20,20000,20075,19450,19575,27243,244804.0,6252983.0
2017-03-21,19800,19800,19200,19500,10230,243866.0,6252983.0
2017-03-22,19475,19475,18925,19000,11866,237613.0,6252983.0
2017-03-23,19025,19075,18250,18550,22329,231986.0,6252983.0
2017-03-24,18650,18825,18275,18650,20637,233236.0,6252983.0
2017-03-27,18725,19000,18300,18625,14660,232924.0,6252983.0
2017-03-28,18650,19075,18625,19075,21850,238551.0,6252983.0
2017-03-29,19225,19250,18800,19225,17473,240427.0,6252983.0
2017-03-30,19225,21250,19200,20900,79473,261375.0,6252983.0
2017-03-31,20900,21375,20900,21250,54025,265752.0,6252983.0
2017-04-03,21400,21575,20975,21450,48453,268253.0,6252983.0
2017-04-04,21450,21450,21125,21200,13859,265126.0,6252983.0
