네오팜(092730),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-05-09,9265,9498,8723,9033,251172,60062.0,5155579.0
2007-05-10,9072,9421,8917,9110,202000,60578.0,5155579.0
2007-05-11,8994,9498,8878,9498,179000,63156.0,5155579.0
2007-05-14,9614,9614,9149,9149,104428,60836.0,5155579.0
2007-05-15,9110,9808,9033,9731,264026,64703.0,5155579.0
2007-05-16,9731,10002,9653,9963,201356,66249.0,5155579.0
2007-05-17,10157,10157,9653,9731,159859,64703.0,5155579.0
2007-05-18,9731,10118,9653,9963,118182,66249.0,5155579.0
2007-05-21,10002,10002,9614,9731,93149,64703.0,5155579.0
2007-05-22,9808,9925,9653,9731,127093,64703.0,5155579.0
2007-05-23,9808,10545,9731,10506,333905,69858.0,5155579.0
2007-05-25,10390,10777,10273,10467,153695,69600.0,5155579.0
2007-05-28,10623,10623,10157,10351,109277,68827.0,5155579.0
2007-05-29,10467,10584,10157,10235,98143,68054.0,5155579.0
2007-05-30,10390,10622,10157,10584,191182,70374.0,5155579.0
2007-05-31,10661,10777,10351,10467,144003,69600.0,5155579.0
2007-06-01,10661,11165,10545,10739,260644,71405.0,5155579.0
2007-06-04,11204,11398,10700,10739,235855,71405.0,5155579.0
2007-06-05,10816,10816,10390,10545,106602,70116.0,5155579.0
2007-06-07,10545,10932,10467,10622,133937,70631.0,5155579.0
2007-06-08,10545,10816,10506,10584,81521,70374.0,5155579.0
2007-06-11,10700,11204,10700,10816,159351,71920.0,5155579.0
2007-06-12,10855,10971,10467,10584,110734,70374.0,5155579.0
2007-06-13,10661,11088,10545,11088,128492,73725.0,5155579.0
2007-06-14,11243,12677,11165,12444,325850,82747.0,5155579.0
2007-06-15,12638,13026,12212,12212,213721,81200.0,5155579.0
2007-06-18,12444,12910,12212,12793,172142,85067.0,5155579.0
2007-06-19,13181,14150,12910,13142,186519,87387.0,5155579.0
2007-06-20,13181,13336,12018,12173,136484,80943.0,5155579.0
2007-06-21,12096,12561,11863,12406,126964,82489.0,5155579.0
2007-06-22,12251,12406,11436,11708,128930,77849.0,5155579.0
2007-06-25,11320,11669,11243,11398,44774,75787.0,5155579.0
2007-06-26,11320,11863,10739,11785,124363,78365.0,5155579.0
2007-06-27,11630,12212,11630,11979,71766,79654.0,5155579.0
2007-06-28,12134,12251,11979,11979,68099,79654.0,5155579.0
2007-06-29,12018,12483,12018,12057,91137,80169.0,5155579.0
2007-07-02,12367,12367,12018,12134,45269,80685.0,5155579.0
2007-07-03,12328,12406,12018,12057,68308,80169.0,5155579.0
2007-07-04,12406,12948,12096,12328,164748,81974.0,5155579.0
2007-07-05,12328,12755,12289,12600,64537,83778.0,5155579.0
2007-07-06,12755,12755,12173,12251,77941,81458.0,5155579.0
2007-07-09,12251,12677,12018,12251,87683,81458.0,5155579.0
2007-07-10,12483,12600,12251,12600,116533,83778.0,5155579.0
2007-07-11,12638,12910,12483,12638,105097,84036.0,5155579.0
2007-07-12,12677,13297,12677,13297,86212,88418.0,5155579.0
2007-07-13,13569,13724,12948,13569,161845,90223.0,5155579.0
2007-07-16,13724,13995,13491,13724,115713,91254.0,5155579.0
2007-07-18,13879,13995,13375,13840,100850,92027.0,5155579.0
2007-07-19,13801,15158,13724,14654,287574,97440.0,5155579.0
2007-07-20,14964,14964,14305,14615,100261,97183.0,5155579.0
2007-07-23,14538,14732,14267,14267,60704,94863.0,5155579.0
2007-07-24,14422,15352,14267,14499,121445,96409.0,5155579.0
2007-07-25,14267,14887,14267,14422,47593,95894.0,5155579.0
2007-07-26,14693,14693,14228,14344,73498,95378.0,5155579.0
2007-07-27,14189,14383,13918,13956,58385,92800.0,5155579.0
2007-07-30,14111,14577,13763,14111,128538,93832.0,5155579.0
2007-07-31,14111,14615,14111,14267,54583,94863.0,5155579.0
2007-08-01,14228,14538,13763,13763,61952,91512.0,5155579.0
2007-08-02,13879,14228,13879,14189,25344,94347.0,5155579.0
2007-08-03,14034,14693,14034,14344,54428,95378.0,5155579.0
2007-08-06,14034,14267,13956,14267,28781,94863.0,5155579.0
2007-08-07,14305,14577,14228,14460,36589,96152.0,5155579.0
2007-08-08,14615,14615,14111,14383,50914,95636.0,5155579.0
2007-08-09,14383,14383,14073,14189,28681,94347.0,5155579.0
2007-08-10,13840,13956,13181,13414,54679,89192.0,5155579.0
2007-08-13,13530,13685,13181,13414,24536,89192.0,5155579.0
2007-08-14,13569,13569,12406,12677,43570,84294.0,5155579.0
2007-08-16,11630,12096,10777,11514,52875,76560.0,5155579.0
2007-08-17,11281,11979,11281,11592,30047,77076.0,5155579.0
2007-08-20,12212,12948,11863,12406,86830,82489.0,5155579.0
2007-08-21,12793,12987,12134,12212,58644,81200.0,5155579.0
2007-08-22,12212,12444,12096,12212,11691,81200.0,5155579.0
2007-08-23,12328,12444,12212,12212,28883,81200.0,5155579.0
2007-08-24,12251,12406,12018,12057,12014,80169.0,5155579.0
2007-08-27,12289,12444,12096,12367,12080,82231.0,5155579.0
2007-08-28,12367,12367,12134,12328,15160,81974.0,5155579.0
2007-08-29,11747,12173,11747,12173,15752,80943.0,5155579.0
2007-08-30,12173,12444,12057,12057,24628,80169.0,5155579.0
2007-08-31,12251,12328,12134,12251,54254,81458.0,5155579.0
2007-09-03,12289,12444,11979,12406,26991,82489.0,5155579.0
2007-09-04,12406,12406,12134,12289,22253,81716.0,5155579.0
2007-09-05,12367,12406,12173,12289,21248,81716.0,5155579.0
2007-09-06,12328,12522,12173,12522,28925,83263.0,5155579.0
2007-09-07,12406,12522,12173,12328,11498,81974.0,5155579.0
2007-09-10,12252,12252,11747,12018,17752,79911.0,5155579.0
2007-09-11,11863,12173,11553,11630,16859,77334.0,5155579.0
2007-09-12,11514,11902,11359,11553,15626,76818.0,5155579.0
2007-09-13,11592,11824,10777,11553,34316,76818.0,5155579.0
2007-09-14,11475,11630,11165,11475,36867,76303.0,5155579.0
2007-09-17,11320,11592,11281,11514,25159,76560.0,5155579.0
2007-09-18,11281,11514,11165,11243,18301,74756.0,5155579.0
2007-09-19,11553,11553,11204,11243,17253,74756.0,5155579.0
2007-09-20,11475,11475,11010,11243,18641,74756.0,5155579.0
2007-09-21,11243,12018,10971,11940,37603,79396.0,5155579.0
2007-09-27,11940,12290,11669,12018,12436,79911.0,5155579.0
2007-09-28,12096,12096,11630,11863,8304,78880.0,5155579.0
2007-10-01,11514,11902,11398,11398,16266,75787.0,5155579.0
2007-10-02,11398,11708,11359,11592,21148,77076.0,5155579.0
2007-10-04,11747,11747,11320,11553,10114,76818.0,5155579.0
2007-10-05,11359,11553,11243,11359,13573,75529.0,5155579.0
2007-10-08,11592,11592,11165,11359,18080,75529.0,5155579.0
2007-10-09,11165,11359,11088,11243,17148,74756.0,5155579.0
2007-10-10,11126,11785,11126,11630,27000,77334.0,5155579.0
2007-10-11,11630,11824,11553,11785,20083,78365.0,5155579.0
2007-10-12,11785,12018,11630,12018,23868,79911.0,5155579.0
2007-10-15,11863,13491,11863,12173,67455,80943.0,5155579.0
2007-10-16,11902,11979,11398,11708,19614,77849.0,5155579.0
2007-10-17,11475,11785,11165,11475,15785,76303.0,5155579.0
2007-10-18,11553,11708,11281,11708,13381,77849.0,5155579.0
2007-10-19,11475,11785,11398,11630,11110,77334.0,5155579.0
2007-10-22,10816,11436,10816,11359,15864,75529.0,5155579.0
2007-10-23,11398,11475,11126,11398,22336,75787.0,5155579.0
2007-10-24,11592,11630,11010,11359,12874,75529.0,5155579.0
2007-10-25,11126,11359,10894,11204,11793,74498.0,5155579.0
2007-10-26,11204,11204,10816,11204,14485,74498.0,5155579.0
2007-10-29,11475,11475,10855,11049,21354,73467.0,5155579.0
2007-10-30,11204,11204,10777,10971,19681,72951.0,5155579.0
2007-10-31,10777,11049,10700,10855,15318,72178.0,5155579.0
2007-11-01,10932,11010,10545,10777,20454,71663.0,5155579.0
2007-11-02,10546,10856,10312,10351,26073,68827.0,5155579.0
2007-11-05,10080,10430,9692,9692,40646,64445.0,5155579.0
2007-11-06,9692,9847,9304,9614,30642,63929.0,5155579.0
2007-11-07,9537,9847,9537,9731,87963,64703.0,5155579.0
2007-11-08,9459,9459,8606,9304,18391,61867.0,5155579.0
2007-11-09,9188,9382,9149,9304,11039,61867.0,5155579.0
2007-11-12,9110,9343,8917,9072,15982,60320.0,5155579.0
2007-11-13,9304,9692,9227,9576,14391,63671.0,5155579.0
2007-11-14,9692,9808,9459,9692,69705,64445.0,5155579.0
2007-11-15,9692,9925,9614,9886,43076,65734.0,5155579.0
2007-11-16,10041,10041,9498,9692,58354,64445.0,5155579.0
2007-11-19,9576,9925,9576,9576,12723,63671.0,5155579.0
2007-11-20,9304,9653,9304,9576,13770,63671.0,5155579.0
2007-11-21,9498,9886,9498,9731,10276,64703.0,5155579.0
2007-11-22,9459,9847,9382,9847,13396,65476.0,5155579.0
2007-11-23,9847,10080,9692,9886,22608,65734.0,5155579.0
2007-11-26,10002,10312,9886,10235,16560,68054.0,5155579.0
2007-11-27,9886,10312,9886,10312,9549,68569.0,5155579.0
2007-11-28,10467,10467,9653,10080,10871,67023.0,5155579.0
2007-11-29,9925,10235,9769,9963,17050,66249.0,5155579.0
2007-11-30,10002,10700,10002,10622,23601,70631.0,5155579.0
2007-12-03,10700,10971,10584,10622,12254,70631.0,5155579.0
2007-12-04,10816,10816,10312,10506,6882,69858.0,5155579.0
2007-12-05,10312,10467,10041,10118,6723,67280.0,5155579.0
2007-12-06,10700,10700,9925,10196,14042,67796.0,5155579.0
2007-12-07,10351,10351,10002,10080,8259,67023.0,5155579.0
2007-12-10,10312,10312,9576,9576,10288,63671.0,5155579.0
2007-12-11,9614,9808,9576,9576,8993,63671.0,5155579.0
2007-12-12,9808,9808,9537,9576,2691,63671.0,5155579.0
2007-12-13,9808,9925,9498,9808,4609,65218.0,5155579.0
2007-12-14,9576,9808,9537,9769,6928,64960.0,5155579.0
2007-12-17,9808,9808,9498,9653,5529,64187.0,5155579.0
2007-12-18,9382,9653,9382,9576,3110,63671.0,5155579.0
2007-12-20,9459,9692,8258,9421,5260,62640.0,5155579.0
2007-12-21,9188,9576,9033,9188,7925,61094.0,5155579.0
2007-12-24,9421,9421,9033,9149,7803,60836.0,5155579.0
2007-12-26,8878,9188,8878,9149,3746,60836.0,5155579.0
2007-12-27,8917,9149,8839,9110,2669,60578.0,5155579.0
2007-12-28,8955,9188,8800,9033,5260,60062.0,5155579.0
2008-01-02,8917,8917,8606,8839,15374,58774.0,5155579.0
2008-01-03,8762,8955,8645,8917,4701,59289.0,5155579.0
2008-01-04,9188,9188,8762,8839,6079,58774.0,5155579.0
2008-01-07,9072,9072,8141,8490,6249,56454.0,5155579.0
2008-01-08,8335,8762,8296,8296,3853,55165.0,5155579.0
2008-01-09,7792,8335,7792,7909,15621,52587.0,5155579.0
2008-01-10,7947,8296,7754,8219,11660,54649.0,5155579.0
2008-01-11,8451,8451,8141,8296,6898,55165.0,5155579.0
2008-01-14,8529,8568,7831,7870,11055,52329.0,5155579.0
2008-01-15,7909,8102,7730,7754,4684,51556.0,5155579.0
2008-01-16,7211,7645,7211,7211,11280,47947.0,5155579.0
2008-01-17,7521,7521,7180,7288,4889,48462.0,5155579.0
2008-01-18,6707,7343,6707,7149,25308,47534.0,5155579.0
2008-01-21,7366,7366,6978,6978,4591,46400.0,5155579.0
2008-01-22,6986,7094,6242,6242,11633,41502.0,5155579.0
2008-01-23,6280,6738,6280,6552,16302,43565.0,5155579.0
2008-01-24,6591,7327,6591,7211,18751,47947.0,5155579.0
2008-01-25,7366,7366,7102,7157,5220,47586.0,5155579.0
2008-01-28,7203,7366,7102,7250,3638,48205.0,5155579.0
2008-01-29,7405,7513,7126,7133,7994,47431.0,5155579.0
2008-01-30,7521,7521,6746,7102,7382,47225.0,5155579.0
2008-01-31,6598,7250,6598,6901,6222,45885.0,5155579.0
2008-02-01,7133,7746,6939,7482,13181,49751.0,5155579.0
2008-02-04,7536,7909,7498,7754,9881,51556.0,5155579.0
2008-02-05,7986,8219,7676,8219,4820,54649.0,5155579.0
2008-02-11,8141,8413,7947,8258,8576,54907.0,5155579.0
2008-02-12,8219,8413,7909,8413,9607,55938.0,5155579.0
2008-02-13,8451,8529,8296,8529,9040,56711.0,5155579.0
2008-02-14,8606,8762,8296,8296,7343,55165.0,5155579.0
2008-02-15,8568,8839,8141,8839,7881,58774.0,5155579.0
2008-02-18,8839,9073,8335,8684,3356,57742.0,5155579.0
2008-02-19,8684,9033,8529,8994,6632,59805.0,5155579.0
2008-02-20,8839,9188,8762,9033,5161,60062.0,5155579.0
2008-02-21,8839,9072,8529,8529,13044,56711.0,5155579.0
2008-02-22,8296,8529,8258,8258,2960,54907.0,5155579.0
2008-02-25,8529,8645,8258,8645,12718,57485.0,5155579.0
2008-02-26,8645,8955,8529,8878,5503,59031.0,5155579.0
2008-02-27,8994,9072,8645,9072,8369,60320.0,5155579.0
2008-02-28,9149,9149,8723,8994,196,59805.0,5155579.0
2008-02-29,8723,9072,8451,8451,7795,56196.0,5155579.0
2008-03-03,8296,8878,8219,8529,1433,56711.0,5155579.0
2008-03-04,8529,8606,8335,8451,2850,56196.0,5155579.0
2008-03-05,8529,8568,8374,8568,5210,56969.0,5155579.0
2008-03-06,8529,8529,8258,8529,6091,56711.0,5155579.0
2008-03-07,8296,8490,8296,8490,1925,56454.0,5155579.0
2008-03-10,8490,8490,8180,8335,1784,55422.0,5155579.0
2008-03-11,8374,8374,8064,8374,5734,55680.0,5155579.0
2008-03-12,8451,8451,8219,8451,2206,56196.0,5155579.0
2008-03-13,8180,8335,8102,8335,3554,55422.0,5155579.0
2008-03-14,8180,8296,7986,8102,6901,53876.0,5155579.0
2008-03-17,7870,8141,7730,8102,6288,53876.0,5155579.0
2008-03-18,8141,8141,7870,8064,3232,53618.0,5155579.0
2008-03-19,8451,8451,7986,8335,1675,55422.0,5155579.0
2008-03-20,8451,8451,7986,8064,172632,53618.0,5155579.0
2008-03-21,7986,8102,7909,8064,877,53618.0,5155579.0
2008-03-24,8064,8064,7831,7831,6393,52071.0,5155579.0
2008-03-25,7831,8064,7792,7986,6638,53102.0,5155579.0
2008-03-26,7986,7986,7730,7730,6117,51401.0,5155579.0
2008-03-27,7622,7909,7622,7792,5925,51814.0,5155579.0
2008-03-28,7645,7986,7637,7831,2904,52071.0,5155579.0
2008-03-31,7832,7832,7645,7645,2253,50834.0,5155579.0
2008-04-01,7754,7754,7637,7668,5538,50989.0,5155579.0
2008-04-02,7598,7676,7544,7661,6154,50937.0,5155579.0
2008-04-03,7661,7661,7467,7552,3759,50215.0,5155579.0
2008-04-04,7552,7552,7288,7521,6674,50009.0,5155579.0
2008-04-07,7521,7521,7211,7250,12036,48205.0,5155579.0
2008-04-08,7110,7265,6939,6978,13223,46400.0,5155579.0
2008-04-10,7094,7715,7056,7250,27778,48205.0,5155579.0
2008-04-11,7288,7389,6994,6994,5152,46503.0,5155579.0
2008-04-14,7157,7157,6901,6901,6833,45885.0,5155579.0
2008-04-15,6908,6978,6823,6932,4577,46091.0,5155579.0
2008-04-16,6908,7172,6908,7126,3056,47380.0,5155579.0
2008-04-17,7288,7288,7048,7172,726,47689.0,5155579.0
2008-04-18,7172,7172,7017,7133,3298,47431.0,5155579.0
2008-04-21,7211,7211,6963,7001,17402,46555.0,5155579.0
2008-04-22,7001,7133,6986,7126,13426,47380.0,5155579.0
2008-04-23,7133,7133,6986,7110,3203,47277.0,5155579.0
2008-04-24,7040,7327,7040,7327,16431,48720.0,5155579.0
2008-04-25,7482,7482,7063,7327,8199,48720.0,5155579.0
2008-04-28,7250,7327,7126,7172,5312,47689.0,5155579.0
2008-04-29,7172,7172,7025,7025,4527,46710.0,5155579.0
2008-04-30,7025,7087,6854,6885,18104,45782.0,5155579.0
2008-05-02,6885,6885,6707,6854,8495,45575.0,5155579.0
2008-05-06,6854,7133,6854,6901,10046,45885.0,5155579.0
2008-05-07,6870,6901,6738,6784,9632,45111.0,5155579.0
2008-05-08,6784,6862,6753,6862,6770,45627.0,5155579.0
2008-05-09,6846,6916,6808,6893,6147,45833.0,5155579.0
2008-05-13,6901,6901,6777,6901,5934,45885.0,5155579.0
2008-05-14,6839,7056,6777,6784,6033,45111.0,5155579.0
2008-05-15,6645,6908,6637,6893,26372,45833.0,5155579.0
2008-05-16,6916,6978,6839,6901,4907,45885.0,5155579.0
2008-05-19,6901,6916,6815,6901,8907,45885.0,5155579.0
2008-05-20,6901,6901,6823,6901,11389,45885.0,5155579.0
2008-05-21,6893,6893,6746,6877,5198,45730.0,5155579.0
2008-05-22,6877,6901,6784,6901,3878,45885.0,5155579.0
2008-05-23,6893,6978,6846,6862,15958,45627.0,5155579.0
2008-05-26,6862,6862,6777,6854,4285,45575.0,5155579.0
2008-05-27,6862,6893,6823,6877,915,45730.0,5155579.0
2008-05-28,6870,7754,6870,7133,101418,47431.0,5155579.0
2008-05-29,7017,7141,6947,7063,23979,46967.0,5155579.0
2008-05-30,7149,7149,7063,7133,11913,47431.0,5155579.0
2008-06-02,7436,7436,7188,7288,30232,48462.0,5155579.0
2008-06-03,7288,7288,7110,7110,22527,47277.0,5155579.0
2008-06-04,7133,7141,7110,7110,18716,47277.0,5155579.0
2008-06-05,7094,7157,7071,7118,15446,47328.0,5155579.0
2008-06-09,7094,7110,7062,7110,10827,47277.0,5155579.0
2008-06-10,7110,7157,7032,7102,23430,47225.0,5155579.0
2008-06-11,7056,7202,7017,7110,38318,47277.0,5155579.0
2008-06-12,7410,7410,6800,7050,15433,36347.0,5155579.0
2008-06-13,7100,7100,6650,6800,12954,35058.0,5155579.0
2008-06-16,6800,6800,6150,6150,56423,31707.0,5155579.0
2008-06-17,6180,6230,6140,6190,4412,31913.0,5155579.0
2008-06-18,6190,6450,6100,6170,27006,31810.0,5155579.0
2008-06-19,6200,6250,5950,6150,17858,31707.0,5155579.0
2008-06-20,6110,6400,6110,6400,6991,32996.0,5155579.0
2008-06-23,6400,6550,6250,6420,10522,33099.0,5155579.0
2008-06-24,6320,6420,6240,6420,4339,33099.0,5155579.0
2008-06-25,6560,6890,6420,6890,16019,35522.0,5155579.0
2008-06-26,6990,7050,6850,7030,4637,36244.0,5155579.0
2008-06-27,7040,7040,6800,6990,4494,36037.0,5155579.0
2008-06-30,7040,7040,6800,6800,8796,35058.0,5155579.0
2008-07-01,6900,6900,6780,6800,10442,35058.0,5155579.0
2008-07-02,6750,7130,6750,6850,8461,35316.0,5155579.0
2008-07-03,6600,6800,6050,6800,26223,45235.0,6652186.0
2008-07-04,6810,6820,6740,6820,10033,45368.0,6652186.0
2008-07-07,6840,6840,6660,6820,4872,45368.0,6652186.0
2008-07-08,6800,6830,6300,6700,13161,44570.0,6652186.0
2008-07-09,6800,6800,6650,6690,5430,44503.0,6652186.0
2008-07-10,6700,6700,6550,6670,6024,44370.0,6652186.0
2008-07-11,6680,6700,6550,6700,5433,44570.0,6652186.0
2008-07-14,6700,6750,6520,6700,7073,44570.0,6652186.0
2008-07-15,6600,6690,6500,6660,1560,44304.0,6652186.0
2008-07-16,6600,6650,6450,6650,1747,44237.0,6652186.0
2008-07-17,6500,6790,6490,6590,6117,43838.0,6652186.0
2008-07-18,6550,6640,6370,6400,3166,42574.0,6652186.0
2008-07-21,6580,6580,6300,6450,2929,42907.0,6652186.0
2008-07-22,6230,6560,6200,6560,3383,43638.0,6652186.0
2008-07-23,6590,6590,6360,6420,4220,42707.0,6652186.0
2008-07-24,6410,6600,6400,6400,2548,42574.0,6652186.0
2008-07-25,6300,6500,6300,6470,4031,43040.0,6652186.0
2008-07-28,6400,6550,6180,6220,12946,41377.0,6652186.0
2008-07-29,6180,6340,6000,6200,10036,41244.0,6652186.0
2008-07-30,6350,6350,6090,6280,6544,41776.0,6652186.0
2008-07-31,6490,6490,6180,6250,6555,41576.0,6652186.0
2008-08-01,6200,6400,6150,6280,5791,41776.0,6652186.0
2008-08-04,6290,6290,6100,6220,3165,41377.0,6652186.0
2008-08-05,6100,6250,6090,6140,2965,40844.0,6652186.0
2008-08-06,6200,6240,6140,6190,1846,41177.0,6652186.0
2008-08-07,6100,6230,6100,6180,1019,41111.0,6652186.0
2008-08-08,6200,6200,6080,6170,3246,41044.0,6652186.0
2008-08-11,6150,6200,5970,6110,7317,40645.0,6652186.0
2008-08-12,6150,6150,5990,6050,5041,40246.0,6652186.0
2008-08-13,6110,6110,5970,6000,3823,39913.0,6652186.0
2008-08-14,6000,6030,5970,5990,2924,39847.0,6652186.0
2008-08-18,6000,6000,5800,5880,4606,39115.0,6652186.0
2008-08-19,5750,5840,5650,5700,4134,37917.0,6652186.0
2008-08-20,5650,5700,5400,5600,19072,37252.0,6652186.0
2008-08-21,5410,6000,5330,5330,38321,35456.0,6652186.0
2008-08-22,5210,5220,4960,5000,18303,33261.0,6652186.0
2008-08-25,4925,5190,4925,4990,10385,33194.0,6652186.0
2008-08-26,4960,4960,4845,4945,11192,32895.0,6652186.0
2008-08-27,4850,4980,4850,4925,5445,32762.0,6652186.0
2008-08-28,4855,4950,4820,4855,12394,32296.0,6652186.0
2008-08-29,4830,4870,4760,4800,9613,31930.0,6652186.0
2008-09-01,4630,4690,4350,4350,10480,28937.0,6652186.0
2008-09-02,4350,4480,4160,4160,5034,27673.0,6652186.0
2008-09-03,4160,4300,4110,4300,6607,28604.0,6652186.0
2008-09-04,4190,4500,4190,4500,7533,29935.0,6652186.0
2008-09-05,4330,4445,4290,4445,3445,29569.0,6652186.0
2008-09-08,4500,4530,4470,4480,16942,29802.0,6652186.0
2008-09-09,4425,4455,4250,4390,5559,29203.0,6652186.0
2008-09-10,4360,4970,4180,4230,78313,28139.0,6652186.0
2008-09-11,4210,4210,4150,4170,27158,27740.0,6652186.0
2008-09-12,4150,4290,4150,4190,16510,27873.0,6652186.0
2008-09-16,3990,4000,3800,3885,15197,25844.0,6652186.0
2008-09-17,3855,4005,3855,3965,11781,26376.0,6652186.0
2008-09-18,3885,4085,3810,4000,6252,26609.0,6652186.0
2008-09-19,4100,4100,3905,3980,30703,26476.0,6652186.0
2008-09-22,3980,3980,3820,3900,17311,25944.0,6652186.0
2008-09-23,3880,3880,3700,3750,23544,24946.0,6652186.0
2008-09-24,3780,3790,3675,3710,23920,24680.0,6652186.0
2008-09-25,3710,3750,3680,3695,24420,24580.0,6652186.0
2008-09-26,3695,3775,3685,3740,18824,24879.0,6652186.0
2008-09-29,3740,3750,3635,3670,16967,24414.0,6652186.0
2008-09-30,3450,3500,3310,3395,42246,22584.0,6652186.0
2008-10-01,3450,3510,3350,3355,38229,22318.0,6652186.0
2008-10-02,3355,3380,3290,3290,12036,21886.0,6652186.0
2008-10-06,3240,3240,3070,3135,18022,20855.0,6652186.0
2008-10-07,2935,3030,2910,3030,19588,20156.0,6652186.0
2008-10-08,2975,3030,2805,2805,14481,18659.0,6652186.0
2008-10-09,2770,2850,2750,2750,7485,18294.0,6652186.0
2008-10-10,2510,2670,2490,2625,19601,17462.0,6652186.0
2008-10-13,2700,2960,2650,2960,14616,19690.0,6652186.0
2008-10-14,3005,3390,3000,3390,25095,22551.0,6652186.0
2008-10-15,3280,3450,3035,3200,22596,21287.0,6652186.0
