피앤이솔루션(131390),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-02-13,4925,5050,4815,5025,202805,71757.0,7140000.0
2012-02-14,4965,5025,4900,4925,136287,70329.0,7140000.0
2012-02-15,4925,5125,4900,4925,236817,70329.0,7140000.0
2012-02-16,4945,4945,4760,4790,109405,68401.0,7140000.0
2012-02-17,4850,4985,4805,4900,135760,69972.0,7140000.0
2012-02-20,4965,5250,4925,5175,304465,73899.0,7140000.0
2012-02-21,5225,5275,5000,5150,237532,73542.0,7140000.0
2012-02-22,5175,5200,5000,5000,97698,71400.0,7140000.0
2012-02-23,5000,5225,4975,5050,231380,72114.0,7140000.0
2012-02-24,5075,5125,4925,5000,128727,71400.0,7140000.0
2012-02-27,5025,5050,4910,4910,84298,70115.0,7140000.0
2012-02-28,4925,5200,4915,5200,248424,74256.0,7140000.0
2012-02-29,5200,5200,5000,5125,171633,73185.0,7140000.0
2012-03-02,5150,5300,5075,5200,160561,74256.0,7140000.0
2012-03-05,5250,5250,4965,4985,145280,71186.0,7140000.0
2012-03-06,4985,5000,4690,4750,207164,67830.0,7140000.0
2012-03-07,4615,4795,4615,4750,75924,67830.0,7140000.0
2012-03-08,4705,4770,4625,4670,114239,66688.0,7140000.0
2012-03-09,4705,4720,4630,4705,64727,67187.0,7140000.0
2012-03-12,4705,4735,4625,4625,82155,66045.0,7140000.0
2012-03-13,4635,4695,4625,4625,49416,66045.0,7140000.0
2012-03-14,4650,4810,4625,4710,85980,67259.0,7140000.0
2012-03-15,4710,4790,4595,4620,59825,65974.0,7140000.0
2012-03-16,4620,4755,4600,4655,51130,66473.0,7140000.0
2012-03-19,4725,4725,4600,4675,52957,66759.0,7140000.0
2012-03-20,4675,4720,4550,4555,76665,65045.0,7140000.0
2012-03-21,4555,4560,4425,4435,87959,63332.0,7140000.0
2012-03-22,4405,4470,4325,4375,62259,62475.0,7140000.0
2012-03-23,4310,4440,4310,4440,32986,63403.0,7140000.0
2012-03-26,4450,4450,4290,4290,39412,61261.0,7140000.0
2012-03-27,4365,4365,4100,4125,45527,58905.0,7140000.0
2012-03-28,4065,4190,4065,4105,41557,58619.0,7140000.0
2012-03-29,4050,4100,3925,3925,87112,56049.0,7140000.0
2012-03-30,3925,4145,3870,4100,50310,58548.0,7140000.0
2012-04-02,4080,4225,3925,4080,71044,58262.0,7140000.0
2012-04-03,4075,4145,4020,4075,47589,58191.0,7140000.0
2012-04-04,4035,4035,3900,3925,75831,56049.0,7140000.0
2012-04-05,3900,3970,3800,3935,23948,56192.0,7140000.0
2012-04-06,4015,4015,3905,3935,18360,56192.0,7140000.0
2012-04-09,3965,3965,3750,3760,25627,53693.0,7140000.0
2012-04-10,3675,3870,3675,3725,25062,53193.0,7140000.0
2012-04-12,3660,3725,3625,3625,35921,51765.0,7140000.0
2012-04-13,3650,3775,3650,3760,33069,53693.0,7140000.0
2012-04-16,3770,3790,3685,3685,27791,52622.0,7140000.0
2012-04-17,3725,3880,3700,3760,53798,53693.0,7140000.0
2012-04-18,3870,4045,3870,3905,95253,55763.0,7140000.0
2012-04-19,3910,4150,3910,4080,92549,58262.0,7140000.0
2012-04-20,4095,4095,3975,4050,39227,57834.0,7140000.0
2012-04-23,4115,4115,4040,4075,23104,58191.0,7140000.0
2012-04-24,4035,4035,3870,3970,20723,56692.0,7140000.0
2012-04-25,3965,4020,3725,3725,59315,53193.0,7140000.0
2012-04-26,3750,3845,3440,3475,123106,49623.0,7140000.0
2012-04-27,3500,3890,3460,3680,174590,52550.0,7140000.0
2012-04-30,3680,3835,3640,3680,54611,52550.0,7140000.0
2012-05-02,3700,3790,3670,3705,39164,52907.0,7140000.0
2012-05-03,3630,3800,3630,3690,43367,52693.0,7140000.0
2012-05-04,3740,3845,3690,3800,39007,54264.0,7140000.0
2012-05-07,3760,3760,3690,3745,26644,53479.0,7140000.0
2012-05-08,3760,3825,3690,3760,44612,53693.0,7140000.0
2012-05-09,3795,3920,3775,3775,49404,53907.0,7140000.0
2012-05-10,3825,3850,3750,3840,22900,54835.0,7140000.0
2012-05-11,3880,3880,3655,3660,53825,52265.0,7140000.0
2012-05-14,3635,3665,3495,3525,41156,50337.0,7140000.0
2012-05-15,3440,3515,3375,3455,51624,49337.0,7140000.0
2012-05-16,3450,3485,3340,3370,17693,48124.0,7140000.0
2012-05-17,3355,3415,3310,3375,29084,48195.0,7140000.0
2012-05-18,3345,3345,3170,3170,44213,45268.0,7140000.0
2012-05-21,3150,3225,3000,3050,72333,43554.0,7140000.0
2012-05-22,3150,3195,3130,3175,38642,45339.0,7140000.0
2012-05-23,3135,3220,3135,3200,20553,45696.0,7140000.0
2012-05-24,3205,3450,3200,3380,44264,48266.0,7140000.0
2012-05-25,3380,3475,3335,3415,23170,48766.0,7140000.0
2012-05-29,3365,3415,3310,3330,22574,47552.0,7140000.0
2012-05-30,3330,3355,3260,3275,27642,46767.0,7140000.0
2012-05-31,3205,3260,3175,3225,20796,46053.0,7140000.0
2012-06-01,3250,3300,3210,3275,20305,46767.0,7140000.0
2012-06-04,3200,3215,2965,2985,85513,42626.0,7140000.0
2012-06-05,2975,3085,2975,3085,19851,44054.0,7140000.0
2012-06-07,3125,3210,3125,3175,34148,45339.0,7140000.0
2012-06-08,3220,3220,3060,3085,23838,44054.0,7140000.0
2012-06-11,3105,3280,3100,3240,49574,46267.0,7140000.0
2012-06-12,3235,3665,3235,3455,266415,49337.0,7140000.0
2012-06-13,3575,3575,3400,3425,89977,48909.0,7140000.0
2012-06-14,3400,3440,3345,3405,47815,48623.0,7140000.0
2012-06-15,3385,3420,3305,3410,38342,48695.0,7140000.0
2012-06-18,3545,3600,3465,3520,95059,50266.0,7140000.0
2012-06-19,3575,3685,3475,3550,124005,50694.0,7140000.0
2012-06-20,3575,3625,3535,3535,45338,50480.0,7140000.0
2012-06-21,3635,3850,3605,3695,191429,52765.0,7140000.0
2012-06-22,3675,3780,3630,3750,70958,53550.0,7140000.0
2012-06-25,3740,3755,3615,3620,30818,51694.0,7140000.0
2012-06-26,3575,3610,3520,3555,46112,50765.0,7140000.0
2012-06-27,3560,3670,3540,3565,41449,50908.0,7140000.0
2012-06-28,3565,3700,3555,3560,41655,50837.0,7140000.0
2012-06-29,3650,3750,3600,3750,61737,53550.0,7140000.0
2012-07-02,3750,3795,3710,3745,55988,53479.0,7140000.0
2012-07-03,3750,3750,3625,3625,60832,51765.0,7140000.0
2012-07-04,3635,3680,3610,3610,33052,51551.0,7140000.0
2012-07-05,3650,3700,3605,3630,54310,51836.0,7140000.0
2012-07-06,3635,3780,3635,3750,38464,53550.0,7140000.0
2012-07-09,3745,3785,3690,3710,43149,52979.0,7140000.0
2012-07-10,3715,3785,3630,3710,44183,52979.0,7140000.0
2012-07-11,3710,3875,3680,3850,66197,54978.0,7140000.0
2012-07-12,3760,3925,3760,3805,70694,54335.0,7140000.0
2012-07-13,3850,3875,3650,3850,68980,54978.0,7140000.0
2012-07-16,3900,3965,3835,3845,50154,54907.0,7140000.0
2012-07-17,3840,3840,3725,3800,68410,54264.0,7140000.0
2012-07-18,3825,3825,3610,3630,55690,51836.0,7140000.0
2012-07-19,3675,3690,3600,3605,40374,51479.0,7140000.0
2012-07-20,3685,3720,3585,3630,50285,51836.0,7140000.0
2012-07-23,3480,3595,3350,3415,47210,48766.0,7140000.0
2012-07-24,3360,3415,3215,3335,62383,47624.0,7140000.0
2012-07-25,3210,3300,3210,3210,41170,45839.0,7140000.0
2012-07-26,3250,3365,3210,3325,63790,47481.0,7140000.0
2012-07-27,3490,3490,3355,3400,36500,48552.0,7140000.0
2012-07-30,3450,3465,3385,3425,14332,48909.0,7140000.0
2012-07-31,3425,3470,3390,3450,19711,49266.0,7140000.0
2012-08-01,3450,3475,3220,3225,112821,46053.0,7140000.0
2012-08-02,3225,3265,3155,3155,37708,45053.0,7140000.0
2012-08-03,3115,3225,3115,3150,11505,44982.0,7140000.0
2012-08-06,3150,3200,3125,3125,48318,44625.0,7140000.0
2012-08-07,3130,3245,3130,3245,39952,46339.0,7140000.0
2012-08-08,3250,3300,3200,3230,40480,46124.0,7140000.0
2012-08-09,3215,3350,3215,3275,44381,46767.0,7140000.0
2012-08-10,3320,3375,3265,3295,28708,47053.0,7140000.0
2012-08-13,3325,3340,3270,3300,26769,47124.0,7140000.0
2012-08-14,3275,3380,3195,3315,102330,47338.0,7140000.0
2012-08-16,3365,3375,3280,3360,44916,47981.0,7140000.0
2012-08-17,3370,3405,3310,3340,45222,47695.0,7140000.0
2012-08-20,3380,3410,3325,3385,45777,48338.0,7140000.0
2012-08-21,3340,3385,3325,3340,22157,47695.0,7140000.0
2012-08-22,3315,3350,3245,3290,31147,46981.0,7140000.0
2012-08-23,3300,3385,3300,3335,32210,47624.0,7140000.0
2012-08-24,3370,3370,3215,3215,64022,45910.0,7140000.0
2012-08-27,3250,3270,3175,3205,29476,45767.0,7140000.0
2012-08-28,3205,3265,3180,3265,20892,46624.0,7140000.0
2012-08-29,3240,3305,3240,3300,19206,47124.0,7140000.0
2012-08-30,3300,3315,3215,3225,30315,46053.0,7140000.0
2012-08-31,3190,3260,3150,3200,54508,45696.0,7140000.0
2012-09-03,3220,3290,3160,3280,53090,46838.0,7140000.0
2012-09-04,3295,3295,3200,3235,31887,46196.0,7140000.0
2012-09-05,3255,3265,3190,3190,25315,45553.0,7140000.0
2012-09-06,3205,3245,3185,3195,24721,45625.0,7140000.0
2012-09-07,3250,3290,3170,3285,39985,46910.0,7140000.0
2012-09-10,3365,3670,3355,3530,204268,50408.0,7140000.0
2012-09-11,3545,3630,3485,3610,85630,51551.0,7140000.0
2012-09-12,3640,3705,3570,3655,72145,52193.0,7140000.0
2012-09-13,3695,3770,3615,3675,92019,52479.0,7140000.0
2012-09-14,3700,3725,3605,3605,42848,51479.0,7140000.0
2012-09-17,3605,3770,3560,3670,87991,52408.0,7140000.0
2012-09-18,3700,3835,3615,3790,95320,54121.0,7140000.0
2012-09-19,3800,3815,3740,3810,48956,54407.0,7140000.0
2012-09-20,3810,3830,3670,3800,85983,54264.0,7140000.0
2012-09-21,3800,3825,3740,3750,46971,53550.0,7140000.0
2012-09-24,3800,3945,3750,3835,160813,54764.0,7140000.0
2012-09-25,3880,3945,3765,3870,206393,55264.0,7140000.0
2012-09-26,3870,3905,3680,3690,130098,52693.0,7140000.0
2012-09-27,3690,3725,3595,3595,57851,51337.0,7140000.0
2012-09-28,3620,3740,3595,3680,31905,52550.0,7140000.0
2012-10-02,3680,3740,3565,3655,25699,52193.0,7140000.0
2012-10-04,3675,3700,3625,3675,42011,52479.0,7140000.0
2012-10-05,3725,3725,3540,3555,73590,50765.0,7140000.0
2012-10-08,3575,3610,3510,3560,50730,50837.0,7140000.0
2012-10-09,3560,3705,3560,3655,33351,52193.0,7140000.0
2012-10-10,3665,3685,3565,3660,38200,52265.0,7140000.0
2012-10-11,3660,3690,3555,3565,50012,50908.0,7140000.0
2012-10-12,3565,3610,3530,3585,37867,51194.0,7140000.0
2012-10-15,3585,3645,3500,3550,102447,50694.0,7140000.0
2012-10-16,3550,3550,3370,3405,95151,48623.0,7140000.0
2012-10-17,3410,3525,3410,3465,43269,49480.0,7140000.0
2012-10-18,3500,3580,3315,3360,82721,47981.0,7140000.0
2012-10-19,3345,3420,3300,3400,45429,48552.0,7140000.0
2012-10-22,3390,3400,3325,3390,32507,48409.0,7140000.0
2012-10-23,3410,3415,3350,3365,37214,48052.0,7140000.0
2012-10-24,3305,3320,3265,3265,45086,46624.0,7140000.0
2012-10-25,3265,3350,3250,3275,26420,46767.0,7140000.0
2012-10-26,3265,3300,3175,3215,31256,45910.0,7140000.0
2012-10-29,3175,3250,3055,3060,69282,43697.0,7140000.0
2012-10-30,3080,3125,3050,3100,24583,44268.0,7140000.0
2012-10-31,3135,3165,3115,3130,19691,44696.0,7140000.0
2012-11-01,3165,3165,3050,3085,15828,44054.0,7140000.0
2012-11-02,3115,3175,3110,3175,18854,45339.0,7140000.0
2012-11-05,3135,3225,3135,3210,16289,45839.0,7140000.0
2012-11-06,3245,3250,3180,3235,15336,46196.0,7140000.0
2012-11-07,3235,3240,3175,3220,11891,45982.0,7140000.0
2012-11-08,3155,3195,3085,3095,33929,44197.0,7140000.0
2012-11-09,3110,3110,3010,3080,42603,43982.0,7140000.0
2012-11-12,3095,3195,3090,3150,19803,44982.0,7140000.0
2012-11-13,3110,3150,3085,3085,20280,44054.0,7140000.0
2012-11-14,3080,3135,3030,3040,21378,43411.0,7140000.0
2012-11-15,3000,3075,2825,3000,101649,42840.0,7140000.0
2012-11-16,2975,3030,2915,2915,37725,41626.0,7140000.0
2012-11-19,2955,3040,2900,3040,30803,43411.0,7140000.0
2012-11-20,3075,3190,3010,3175,46169,45339.0,7140000.0
2012-11-21,3175,3250,3175,3175,42786,45339.0,7140000.0
2012-11-22,3175,3255,3155,3220,15660,45982.0,7140000.0
2012-11-23,3210,3255,3195,3230,23763,46124.0,7140000.0
2012-11-26,3230,3290,3200,3260,29930,46553.0,7140000.0
2012-11-27,3275,3320,3255,3270,19723,46696.0,7140000.0
2012-11-28,3245,3340,3245,3335,25519,47624.0,7140000.0
2012-11-29,3350,3350,3195,3205,41757,45767.0,7140000.0
2012-11-30,3225,3260,3185,3250,11115,46410.0,7140000.0
2012-12-03,3260,3330,3250,3250,27138,46410.0,7140000.0
2012-12-04,3215,3280,3115,3180,33272,45410.0,7140000.0
2012-12-05,3180,3225,3155,3185,17303,45482.0,7140000.0
2012-12-06,3155,3265,3155,3240,37276,46267.0,7140000.0
2012-12-07,3240,3275,3170,3180,38479,45410.0,7140000.0
2012-12-10,3215,3225,3155,3220,18795,45982.0,7140000.0
2012-12-11,3295,3295,3175,3200,23622,45696.0,7140000.0
2012-12-12,3225,3225,3120,3160,42967,45125.0,7140000.0
2012-12-13,3160,3175,3105,3130,20710,44696.0,7140000.0
2012-12-14,3160,3160,3090,3120,17591,44554.0,7140000.0
2012-12-17,3140,3150,3100,3135,20315,44768.0,7140000.0
2012-12-18,3165,3165,3100,3100,7916,44268.0,7140000.0
2012-12-20,3130,3155,3080,3120,7465,44554.0,7140000.0
2012-12-21,3155,3200,3020,3200,22461,45696.0,7140000.0
2012-12-24,3200,3220,3150,3170,16865,45268.0,7140000.0
2012-12-26,3160,3200,3150,3180,9661,45410.0,7140000.0
2012-12-27,3180,3180,3115,3135,13571,44768.0,7140000.0
2012-12-28,3150,3170,3085,3145,16753,44911.0,7140000.0
2013-01-02,3205,3390,3205,3240,52549,46267.0,7140000.0
2013-01-03,3270,3270,3210,3260,13948,46553.0,7140000.0
2013-01-04,3250,3275,3205,3220,15731,45982.0,7140000.0
2013-01-07,3235,3350,3205,3230,56864,46124.0,7140000.0
2013-01-08,3230,3410,3210,3350,76912,47838.0,7140000.0
2013-01-09,3385,3605,3350,3550,146150,50694.0,7140000.0
2013-01-10,3550,3585,3470,3475,51465,49623.0,7140000.0
2013-01-11,3505,3640,3505,3550,51168,50694.0,7140000.0
2013-01-14,3550,3570,3450,3460,34333,49409.0,7140000.0
2013-01-15,3455,3495,3335,3350,59777,47838.0,7140000.0
2013-01-16,3345,3420,3305,3345,25199,47767.0,7140000.0
2013-01-17,3345,3410,3280,3335,21096,47624.0,7140000.0
2013-01-18,3350,3415,3335,3335,25367,47624.0,7140000.0
2013-01-21,3380,3510,3335,3490,69707,49837.0,7140000.0
2013-01-22,3500,3520,3450,3495,23993,49909.0,7140000.0
2013-01-23,3530,3650,3485,3485,126185,49766.0,7140000.0
2013-01-24,3485,3650,3485,3505,53579,50051.0,7140000.0
2013-01-25,3510,3525,3350,3385,63244,48338.0,7140000.0
2013-01-28,3375,3385,3265,3295,51767,47053.0,7140000.0
2013-01-29,3295,3340,3240,3315,23927,47338.0,7140000.0
2013-01-30,3340,3370,3290,3290,23383,46981.0,7140000.0
2013-01-31,3315,3330,3280,3300,12142,47124.0,7140000.0
2013-02-01,3315,3320,3230,3245,23807,46339.0,7140000.0
2013-02-04,3295,3295,3160,3165,29999,45196.0,7140000.0
2013-02-05,3165,3185,3100,3180,18074,45410.0,7140000.0
2013-02-06,3165,3205,3155,3200,11269,45696.0,7140000.0
2013-02-07,3220,3235,3200,3200,9349,45696.0,7140000.0
2013-02-08,3225,3225,3165,3225,5697,46053.0,7140000.0
2013-02-12,3245,3245,3130,3200,15835,45696.0,7140000.0
2013-02-13,3205,3335,3180,3310,25410,47267.0,7140000.0
2013-02-14,3310,3340,3270,3325,17512,47481.0,7140000.0
2013-02-15,3285,3355,3285,3355,21057,47909.0,7140000.0
2013-02-18,3380,3420,3350,3350,39687,47838.0,7140000.0
2013-02-19,3375,3435,3350,3400,28966,48552.0,7140000.0
2013-02-20,3425,3435,3370,3400,31396,48552.0,7140000.0
2013-02-21,3385,3425,3385,3425,25924,48909.0,7140000.0
2013-02-22,3420,3485,3405,3420,42803,48838.0,7140000.0
2013-02-25,3425,3700,3400,3650,165354,52122.0,7140000.0
2013-02-26,3650,3705,3570,3600,79313,51408.0,7140000.0
2013-02-27,3595,3640,3550,3565,44592,50908.0,7140000.0
2013-02-28,3560,3600,3530,3575,29854,51051.0,7140000.0
2013-03-04,3555,3595,3455,3455,49999,49337.0,7140000.0
2013-03-05,3460,3560,3460,3530,28746,50408.0,7140000.0
2013-03-06,3530,3545,3335,3390,124499,48409.0,7140000.0
2013-03-07,3390,3465,3350,3465,53918,49480.0,7140000.0
2013-03-08,3465,3700,3465,3700,241481,52836.0,7140000.0
2013-03-11,3700,3835,3670,3780,235548,53978.0,7140000.0
2013-03-12,3780,3825,3715,3750,115771,53550.0,7140000.0
2013-03-13,3750,4175,3720,4030,332653,57548.0,7140000.0
2013-03-14,4020,4050,3950,4050,119033,57834.0,7140000.0
2013-03-15,4020,4190,4020,4025,169684,57477.0,7140000.0
2013-03-18,4025,4065,3825,3890,141793,55549.0,7140000.0
2013-03-19,3925,4250,3925,4200,863860,59976.0,7140000.0
2013-03-20,4235,4375,4180,4265,380984,60904.0,7140000.0
2013-03-21,4265,4310,4135,4165,130816,59476.0,7140000.0
2013-03-22,4155,4240,4105,4200,124633,59976.0,7140000.0
2013-03-25,4285,4285,4075,4120,155254,58834.0,7140000.0
2013-03-26,4095,4100,3985,4075,148457,58191.0,7140000.0
2013-03-27,4075,4085,3950,4015,112621,57334.0,7140000.0
2013-03-28,4015,4090,3920,4050,148389,57834.0,7140000.0
2013-03-29,4075,4105,4010,4020,66005,57406.0,7140000.0
2013-04-01,4065,4090,3970,4020,74458,57406.0,7140000.0
2013-04-02,4020,4075,3820,3850,146962,54978.0,7140000.0
2013-04-03,3895,3960,3845,3910,110456,55835.0,7140000.0
2013-04-04,3875,3925,3790,3900,77964,55692.0,7140000.0
2013-04-05,3900,4150,3900,4135,295441,59048.0,7140000.0
2013-04-08,4090,4135,3940,3980,111907,56834.0,7140000.0
2013-04-09,3920,4020,3755,4000,133824,57120.0,7140000.0
2013-04-10,4000,4015,3925,4000,64638,57120.0,7140000.0
2013-04-11,4025,4130,3975,4110,136985,58691.0,7140000.0
2013-04-12,4150,4290,4015,4050,225521,57834.0,7140000.0
2013-04-15,4060,4125,4040,4095,89452,58477.0,7140000.0
2013-04-16,4045,4125,3980,4025,88527,57477.0,7140000.0
2013-04-17,4035,4070,3925,4000,70038,57120.0,7140000.0
2013-04-18,3965,4105,3930,4025,70839,57477.0,7140000.0
2013-04-19,4045,4300,4035,4050,203779,57834.0,7140000.0
2013-04-22,4075,4330,4075,4330,256891,61832.0,7140000.0
2013-04-23,4350,4455,4285,4375,147182,62475.0,7140000.0
2013-04-24,4425,4455,4335,4355,89649,62189.0,7140000.0
2013-04-25,4375,4475,4325,4365,112233,62332.0,7140000.0
2013-04-26,4365,4470,4355,4360,94447,62261.0,7140000.0
2013-04-29,4340,4405,4255,4295,87672,61333.0,7140000.0
2013-04-30,4320,4325,4175,4285,80007,61190.0,7140000.0
2013-05-02,4265,4425,4265,4315,80646,61618.0,7140000.0
2013-05-03,4315,4335,4270,4285,69225,61190.0,7140000.0
2013-05-06,4315,4340,4250,4250,111993,60690.0,7140000.0
2013-05-07,4235,4325,4200,4290,96754,61261.0,7140000.0
2013-05-08,4350,4405,4270,4290,110760,61261.0,7140000.0
2013-05-09,4385,4385,4250,4280,83831,61118.0,7140000.0
2013-05-10,4320,4465,4285,4385,154004,62618.0,7140000.0
2013-05-13,4400,4550,4390,4435,222228,63332.0,7140000.0
2013-05-14,4470,4500,4130,4150,270304,59262.0,7140000.0
2013-05-15,4155,4245,4050,4070,183644,58120.0,7140000.0
2013-05-16,4075,4130,3990,3995,179812,57049.0,7140000.0
2013-05-20,3970,4055,3905,3985,125126,56906.0,7140000.0
2013-05-21,4000,4050,3925,3935,66862,56192.0,7140000.0
2013-05-22,3935,4010,3935,4010,53839,57263.0,7140000.0
2013-05-23,4010,4100,3780,3890,137032,55549.0,7140000.0
2013-05-24,3880,3890,3740,3780,82245,53978.0,7140000.0
2013-05-27,3780,3915,3780,3860,75016,55121.0,7140000.0
2013-05-28,3835,4045,3835,4015,151719,57334.0,7140000.0
2013-05-29,4020,4150,4010,4020,414418,57406.0,7140000.0
2013-05-30,4025,4165,3995,4090,255943,58405.0,7140000.0
2013-05-31,4120,4120,4000,4040,103830,57691.0,7140000.0
2013-06-03,4030,4205,3975,4205,348878,60047.0,7140000.0
2013-06-04,4225,4240,4094,4215,219176,60190.0,7140000.0
