아이디스홀딩스(054800),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-03-27,21718,23298,20928,22666,412087,275520.0,9600000.0
2002-03-28,22113,23258,21639,21679,453616,263520.0,9600000.0
2002-03-29,21718,22034,20771,21126,355843,256800.0,9600000.0
2002-04-01,20968,21086,18954,19191,379162,233280.0,9600000.0
2002-04-02,18441,19981,18204,19349,419887,235200.0,9600000.0
2002-04-03,19112,20771,18717,19744,421297,240000.0,9600000.0
2002-04-04,19744,21205,19744,20613,537829,250560.0,9600000.0
2002-04-08,20928,21718,20455,20613,312756,250560.0,9600000.0
2002-04-09,20692,21165,18875,19270,349490,234240.0,9600000.0
2002-04-10,18559,19586,17375,19428,408417,236160.0,9600000.0
2002-04-11,19744,20297,18480,19231,356121,233760.0,9600000.0
2002-04-12,18520,18954,17769,18165,255725,220800.0,9600000.0
2002-04-15,18164,18638,17848,18283,182780,222240.0,9600000.0
2002-04-16,18164,19467,18164,19191,339496,233280.0,9600000.0
2002-04-17,19744,20060,18875,19270,361228,234240.0,9600000.0
2002-04-18,19270,19744,19191,19626,208228,238560.0,9600000.0
2002-04-19,19665,19744,18520,18560,137241,225600.0,9600000.0
2002-04-22,18322,18875,16348,17651,396647,214560.0,9600000.0
2002-04-23,17217,18164,16901,17967,206497,218400.0,9600000.0
2002-04-24,17769,18283,16901,17099,138414,207840.0,9600000.0
2002-04-25,16190,18954,15913,17533,359343,213120.0,9600000.0
2002-04-26,18164,18480,17690,17888,182123,217440.0,9600000.0
2002-04-29,17098,18085,17059,17375,177475,211200.0,9600000.0
2002-04-30,17769,18046,17217,18046,157690,219360.0,9600000.0
2002-05-02,18322,19270,18322,18797,245320,228480.0,9600000.0
2002-05-03,18559,20376,18559,18955,754579,230400.0,9600000.0
2002-05-06,18954,19744,18559,18560,613459,225600.0,9600000.0
2002-05-07,18243,18954,17769,18244,308893,221760.0,9600000.0
2002-05-08,18638,19744,18401,19744,542155,240000.0,9600000.0
2002-05-09,20534,20692,19349,19823,408507,240960.0,9600000.0
2002-05-10,19546,19902,19073,19113,185268,232320.0,9600000.0
2002-05-13,18954,19230,18520,18757,213072,228000.0,9600000.0
2002-05-14,19033,19902,18796,18797,343364,228480.0,9600000.0
2002-05-15,19270,19823,19112,19784,330482,240480.0,9600000.0
2002-05-16,19744,20218,19428,19428,182821,236160.0,9600000.0
2002-05-17,19507,19783,19270,19784,178012,240480.0,9600000.0
2002-05-20,20060,20613,19744,19744,349204,240000.0,9600000.0
2002-05-21,20020,20297,19349,19349,276699,235200.0,9600000.0
2002-05-22,19349,19507,18638,18955,188153,230400.0,9600000.0
2002-05-23,19191,19428,17414,17533,312170,213120.0,9600000.0
2002-05-24,17809,18125,17414,18007,210640,218880.0,9600000.0
2002-05-27,18164,18480,17532,17533,107110,213120.0,9600000.0
2002-05-28,17375,17651,16269,17138,187727,208320.0,9600000.0
2002-05-29,16743,17572,16427,17572,143122,213600.0,9600000.0
2002-05-30,17019,17375,16624,17257,117756,209760.0,9600000.0
2002-05-31,17335,17690,17059,17533,200870,213120.0,9600000.0
2002-06-03,17611,17651,16901,17296,68171,210240.0,9600000.0
2002-06-04,16585,17217,16585,17059,87885,207360.0,9600000.0
2002-06-05,17217,18283,17217,17612,289081,214080.0,9600000.0
2002-06-07,17217,17730,16940,17059,79479,207360.0,9600000.0
2002-06-10,17296,17611,17217,17533,84932,213120.0,9600000.0
2002-06-11,17375,17572,17138,17296,57027,210240.0,9600000.0
2002-06-12,17493,17848,17217,17612,78828,214080.0,9600000.0
2002-06-14,17453,17690,16901,16980,108389,206400.0,9600000.0
2002-06-17,16664,17138,16664,17059,55166,207360.0,9600000.0
2002-06-18,17296,17611,17138,17296,205590,210240.0,9600000.0
2002-06-19,16782,17059,15242,15243,150202,185280.0,9600000.0
2002-06-20,15321,15400,14373,15282,171055,185760.0,9600000.0
2002-06-21,15282,15282,14650,14887,88363,180960.0,9600000.0
2002-06-24,14255,14452,13149,13347,222340,162240.0,9600000.0
2002-06-25,13347,13623,12280,12320,165427,149760.0,9600000.0
2002-06-26,11846,11846,10859,10859,318217,132000.0,9600000.0
2002-06-27,11293,12162,11293,12163,308051,147840.0,9600000.0
2002-06-28,12636,13584,12478,13584,294864,165120.0,9600000.0
2002-07-02,13228,14373,12873,13703,197289,166560.0,9600000.0
2002-07-03,13821,14097,13307,13821,171417,168000.0,9600000.0
2002-07-04,14097,15084,13860,14571,332988,177120.0,9600000.0
2002-07-05,14610,14966,14057,14413,189231,175200.0,9600000.0
2002-07-08,15005,15242,13821,14216,275294,172800.0,9600000.0
2002-07-09,14610,14768,14136,14769,208627,179520.0,9600000.0
2002-07-10,14531,15637,14373,15401,369549,187200.0,9600000.0
2002-07-11,15005,15203,14531,14611,217910,177600.0,9600000.0
2002-07-12,14926,16348,14926,16348,790834,198720.0,9600000.0
2002-07-15,16664,18204,15637,17375,726152,211200.0,9600000.0
2002-07-16,17651,18638,17611,17928,520364,217920.0,9600000.0
2002-07-18,18559,18638,17414,17651,258349,214560.0,9600000.0
2002-07-19,17375,17414,16269,16664,188215,202560.0,9600000.0
2002-07-22,15242,15992,14729,15085,179451,183360.0,9600000.0
2002-07-23,14847,16861,14610,16585,411616,201600.0,9600000.0
2002-07-24,15874,16545,15716,15716,253998,191040.0,9600000.0
2002-07-25,17138,17217,15953,15953,269733,193920.0,9600000.0
2002-07-26,15716,16190,14689,15401,185191,187200.0,9600000.0
2002-07-29,15795,15953,14966,15203,185450,184800.0,9600000.0
2002-07-30,15795,16743,15795,16388,316254,199200.0,9600000.0
2002-07-31,16585,18322,16387,18323,508232,222720.0,9600000.0
2002-08-01,18283,19704,17730,18797,575254,228480.0,9600000.0
2002-08-02,18322,18559,17532,17533,192366,213120.0,9600000.0
2002-08-05,17532,17532,16348,16822,162807,204480.0,9600000.0
2002-08-06,16190,17611,16032,17257,241230,209760.0,9600000.0
2002-08-07,17769,18441,16940,17296,249070,210240.0,9600000.0
2002-08-08,17375,17690,16861,17138,122844,208320.0,9600000.0
2002-08-09,17414,18954,17414,17849,433181,216960.0,9600000.0
2002-08-12,17927,18401,17493,17612,183424,214080.0,9600000.0
2002-08-13,17769,18006,17532,17691,156176,215040.0,9600000.0
2002-08-14,17453,18401,17375,17730,197132,215520.0,9600000.0
2002-08-16,18638,19349,18243,18797,407627,228480.0,9600000.0
2002-08-19,18875,19270,18362,19191,235478,233280.0,9600000.0
2002-08-20,19349,19902,19033,19310,356298,234720.0,9600000.0
2002-08-21,19112,19507,19033,19270,221963,234240.0,9600000.0
2002-08-22,19546,19586,18599,18876,267265,229440.0,9600000.0
2002-08-23,19033,19349,18125,18244,289318,221760.0,9600000.0
2002-08-26,17888,18480,17848,18007,185215,218880.0,9600000.0
2002-08-27,18006,18362,17967,18046,178176,219360.0,9600000.0
2002-08-28,17927,18164,15913,16941,472678,205920.0,9600000.0
2002-08-29,16585,17059,16308,16862,209398,204960.0,9600000.0
2002-08-30,17256,17256,16743,16901,221774,205440.0,9600000.0
2002-09-02,16703,18164,16703,18086,259308,219840.0,9600000.0
2002-09-03,18164,18836,17888,18165,296639,220800.0,9600000.0
2002-09-04,18006,18559,17493,18560,180570,225600.0,9600000.0
2002-09-05,18717,19586,18638,19034,531606,231360.0,9600000.0
2002-09-06,19033,19112,18046,18125,329929,220320.0,9600000.0
2002-09-09,18283,18401,16743,16901,261575,205440.0,9600000.0
2002-09-10,17019,17375,16743,17138,120028,208320.0,9600000.0
2002-09-11,17296,17769,17296,17375,151652,211200.0,9600000.0
2002-09-12,17453,17769,17296,17414,105547,211680.0,9600000.0
2002-09-13,17059,17177,16782,16901,82653,205440.0,9600000.0
2002-09-16,17217,17493,16743,16783,107572,204000.0,9600000.0
2002-09-17,17059,17611,17019,17612,177434,214080.0,9600000.0
2002-09-18,16585,16980,16466,16546,188137,201120.0,9600000.0
2002-09-19,16585,16901,16269,16506,134686,200640.0,9600000.0
2002-09-23,16032,16348,15676,16072,108762,195360.0,9600000.0
2002-09-24,15676,16269,15598,15795,187319,192000.0,9600000.0
2002-09-25,15479,15874,13900,14216,247927,172800.0,9600000.0
2002-09-26,14531,14887,12675,12952,310097,157440.0,9600000.0
2002-09-27,12952,14492,12952,14492,326082,176160.0,9600000.0
2002-09-30,13821,15598,13584,14334,312689,174240.0,9600000.0
2002-10-01,13860,14887,13860,14769,155844,179520.0,9600000.0
2002-10-02,15321,15558,14373,14413,171234,175200.0,9600000.0
2002-10-04,14097,14847,14097,14690,98238,178560.0,9600000.0
2002-10-07,14689,14768,13702,13782,115150,167520.0,9600000.0
2002-10-08,13505,14492,13505,14216,304975,172800.0,9600000.0
2002-10-09,14413,14452,13584,13584,192042,165120.0,9600000.0
2002-10-10,13465,13821,13110,13268,166857,161280.0,9600000.0
2002-10-11,13742,13900,12794,13031,161206,158400.0,9600000.0
2002-10-14,13465,13978,13465,13900,228320,168960.0,9600000.0
2002-10-15,13900,14531,13781,14374,237270,174720.0,9600000.0
2002-10-16,14571,15084,14018,14097,364527,171360.0,9600000.0
2002-10-17,14531,15755,14373,15756,586882,191520.0,9600000.0
2002-10-18,16506,17177,15953,16506,491141,200640.0,9600000.0
2002-10-21,16506,16901,15834,16111,203040,195840.0,9600000.0
2002-10-22,16466,16664,15005,15361,225900,186720.0,9600000.0
2002-10-23,15361,15953,15321,15874,159462,192960.0,9600000.0
2002-10-24,15992,16782,15637,16111,306868,195840.0,9600000.0
2002-10-25,15755,16703,15676,15716,156007,191040.0,9600000.0
2002-10-28,16150,16506,16032,16348,132608,198720.0,9600000.0
2002-10-29,16190,16506,16032,16032,123540,194880.0,9600000.0
2002-10-30,16150,16585,15440,15638,133568,190080.0,9600000.0
2002-10-31,15716,16150,15716,15795,150640,192000.0,9600000.0
2002-11-01,15558,15874,15163,15440,80503,187680.0,9600000.0
2002-11-04,15953,16150,15598,15874,110716,192960.0,9600000.0
2002-11-05,15953,16664,15637,16269,232109,197760.0,9600000.0
2002-11-06,16664,17217,16348,17217,295958,209280.0,9600000.0
2002-11-07,17453,18164,17059,17296,405377,210240.0,9600000.0
2002-11-08,16980,17611,16901,17572,98962,213600.0,9600000.0
2002-11-11,17690,18441,17611,18086,400043,219840.0,9600000.0
2002-11-12,17769,18441,17335,17612,254118,214080.0,9600000.0
2002-11-13,17927,17967,16940,16980,138735,206400.0,9600000.0
2002-11-14,17138,17335,16664,17138,82531,208320.0,9600000.0
2002-11-15,17532,17769,17217,17612,174078,214080.0,9600000.0
2002-11-18,17375,17690,16743,16901,225724,205440.0,9600000.0
2002-11-19,16822,17098,16743,16941,130494,205920.0,9600000.0
2002-11-20,16822,17651,16822,17296,179876,210240.0,9600000.0
2002-11-21,17572,17927,17256,17493,259600,212640.0,9600000.0
2002-11-22,17809,18085,17572,17809,258640,216480.0,9600000.0
2002-11-25,17848,18164,17572,17967,219983,218400.0,9600000.0
2002-11-26,17888,18125,17375,17454,196888,212160.0,9600000.0
2002-11-27,17296,17690,17059,17257,218777,209760.0,9600000.0
2002-11-28,17611,17769,17217,17533,221166,213120.0,9600000.0
2002-11-29,17375,17927,17296,17888,215737,217440.0,9600000.0
2002-12-02,18006,18599,17809,18165,289722,220800.0,9600000.0
2002-12-03,18125,18717,17769,18718,339342,227520.0,9600000.0
2002-12-04,18283,18401,17572,17572,234130,213600.0,9600000.0
2002-12-05,17375,17690,16980,17651,195369,214560.0,9600000.0
2002-12-06,17256,17651,17059,17375,170727,211200.0,9600000.0
2002-12-09,17256,17532,16822,16822,140843,204480.0,9600000.0
2002-12-10,16348,17059,16348,17059,143381,207360.0,9600000.0
2002-12-11,17138,17493,16822,17217,230771,209280.0,9600000.0
2002-12-12,17019,17927,17019,17651,271565,214560.0,9600000.0
2002-12-13,17453,17927,17177,17217,133441,209280.0,9600000.0
2002-12-16,16901,17098,16624,16625,85730,202080.0,9600000.0
2002-12-17,16861,17019,16545,16585,192221,201600.0,9600000.0
2002-12-18,16190,16506,16150,16269,198755,197760.0,9600000.0
2002-12-20,16190,16466,15321,15795,256257,192000.0,9600000.0
2002-12-23,15637,15913,14215,14492,251996,176160.0,9600000.0
2002-12-24,14215,14808,13821,14611,294062,177600.0,9600000.0
2002-12-26,14531,14926,14215,14374,182527,174720.0,9600000.0
2002-12-27,13821,14334,12991,13268,255172,161280.0,9600000.0
2002-12-30,13189,13584,11925,12715,336971,154560.0,9600000.0
2003-01-02,13268,14097,13149,13979,607568,169920.0,9600000.0
2003-01-03,14334,15163,14294,14848,664543,180480.0,9600000.0
2003-01-06,15321,15400,14729,15124,278365,183840.0,9600000.0
2003-01-07,15479,15558,13900,13979,376388,169920.0,9600000.0
2003-01-08,13860,14373,13505,14216,537479,172800.0,9600000.0
2003-01-09,13900,14926,13860,14848,389208,180480.0,9600000.0
2003-01-10,15005,15163,13663,14374,392472,174720.0,9600000.0
2003-01-13,14136,14926,14136,14927,177757,181440.0,9600000.0
2003-01-14,14847,15479,14610,15164,259837,184320.0,9600000.0
2003-01-15,15361,15716,15084,15085,202605,183360.0,9600000.0
2003-01-16,15045,15084,14610,15045,68234,182880.0,9600000.0
2003-01-17,14689,15440,14057,14611,165140,177600.0,9600000.0
2003-01-20,14215,14492,13978,14216,62039,172800.0,9600000.0
2003-01-21,14215,14255,13781,14216,63771,172800.0,9600000.0
2003-01-22,13821,14097,13742,14058,72195,170880.0,9600000.0
2003-01-23,14057,14610,13821,14611,159796,177600.0,9600000.0
2003-01-24,14650,14808,13900,14532,129361,176640.0,9600000.0
2003-01-27,13900,14373,13900,14216,91951,172800.0,9600000.0
2003-01-28,13939,14689,13939,14532,62932,176640.0,9600000.0
2003-01-29,14689,14729,14136,14216,74031,175320.0,9740000.0
2003-01-30,14373,14531,14215,14295,50253,176294.0,9740000.0
2003-02-03,14057,14452,14057,14374,49714,177268.0,9740000.0
2003-02-04,14531,15163,14176,14729,237520,181651.0,9740000.0
2003-02-05,14571,15084,14492,14611,166000,180190.0,9740000.0
2003-02-06,14847,14887,14097,14216,84955,175320.0,9740000.0
2003-02-07,14294,14452,13821,14216,131482,175320.0,9740000.0
2003-02-10,14018,14452,14018,14018,71307,172885.0,9740000.0
2003-02-11,14176,14413,13268,13900,104271,171424.0,9740000.0
2003-02-12,13663,14215,13663,14176,72065,174833.0,9740000.0
2003-02-13,14097,14215,13860,13861,46272,170937.0,9740000.0
2003-02-14,13702,13900,13702,13742,30578,169476.0,9740000.0
2003-02-17,14215,15045,14136,14848,242568,183112.0,9740000.0
2003-02-18,15084,15084,14610,15006,111062,185060.0,9740000.0
2003-02-19,15400,15400,14571,14729,101003,181651.0,9740000.0
2003-02-20,14452,14847,14018,14216,284743,175320.0,9740000.0
2003-02-21,14176,14176,13663,13821,351627,170450.0,9740000.0
2003-02-24,13900,14492,13900,14216,307262,175320.0,9740000.0
2003-02-25,14057,14413,13900,14216,157229,175320.0,9740000.0
2003-02-26,14294,14808,14294,14611,217189,180190.0,9740000.0
2003-02-27,14294,14847,14176,14848,148167,183112.0,9740000.0
2003-02-28,14966,14966,14373,14374,146413,177268.0,9740000.0
2003-03-03,14373,14729,14215,14453,61171,178242.0,9740000.0
2003-03-04,14334,14373,13781,14216,48051,175320.0,9740000.0
2003-03-05,14057,14057,13426,13663,83870,168502.0,9740000.0
2003-03-06,13465,13663,12399,12794,115875,157788.0,9740000.0
2003-03-07,12478,13663,12241,12636,250986,155840.0,9740000.0
2003-03-10,13031,13149,12478,12636,65517,155840.0,9740000.0
2003-03-11,12241,12636,12162,12281,69693,151457.0,9740000.0
2003-03-12,12280,13070,12241,13071,115811,161197.0,9740000.0
2003-03-13,13149,13268,12478,12913,70900,159249.0,9740000.0
2003-03-14,13505,13900,12991,13031,328414,160710.0,9740000.0
2003-03-17,12873,12952,12438,12636,135495,155840.0,9740000.0
2003-03-18,13228,13426,13070,13189,207329,162658.0,9740000.0
2003-03-19,12991,13465,12833,13347,254884,164606.0,9740000.0
2003-03-20,13584,14057,13465,13979,277153,172398.0,9740000.0
2003-03-21,13978,14136,13663,14058,107443,173372.0,9740000.0
2003-03-24,14215,14215,13623,13663,112601,168502.0,9740000.0
2003-03-25,13110,13347,12991,13071,76893,161197.0,9740000.0
2003-03-26,13268,13544,13031,13071,134315,161197.0,9740000.0
2003-03-27,12794,12952,12517,12676,198554,156327.0,9740000.0
2003-03-28,12912,13505,12873,13229,268485,163145.0,9740000.0
2003-03-31,12991,13228,12794,13229,102116,163145.0,9740000.0
2003-04-01,12991,13347,12991,13268,84503,163632.0,9740000.0
2003-04-02,13426,13860,13228,13782,289598,169963.0,9740000.0
2003-04-03,14136,14176,13505,13505,228645,166554.0,9740000.0
2003-04-04,13426,13939,13347,13821,153314,170450.0,9740000.0
2003-04-07,14176,14452,14018,14453,185369,178242.0,9740000.0
2003-04-08,14057,14531,14057,14453,158558,178242.0,9740000.0
2003-04-09,14294,14571,14018,14216,132665,175320.0,9740000.0
2003-04-10,14215,14334,14018,14216,130316,175320.0,9740000.0
2003-04-11,14097,14334,14018,14176,148929,174833.0,9740000.0
2003-04-14,14294,14334,14097,14137,65961,174346.0,9740000.0
2003-04-15,14373,14689,14255,14374,140267,177268.0,9740000.0
2003-04-16,14610,15084,14334,14927,463417,184086.0,9740000.0
2003-04-17,14610,14729,13149,13150,1213504,162171.0,9740000.0
2003-04-18,12715,13149,12399,12992,1202326,160223.0,9740000.0
2003-04-21,12912,13149,12636,13031,499826,160710.0,9740000.0
2003-04-22,12952,13347,12833,12873,566795,158762.0,9740000.0
2003-04-23,13031,13189,12517,12557,395804,154866.0,9740000.0
2003-04-24,12557,12715,12083,12163,355613,149996.0,9740000.0
2003-04-25,12083,12162,11175,11373,397420,140256.0,9740000.0
2003-04-28,10898,11491,10898,11136,223679,137334.0,9740000.0
2003-04-29,11372,12438,11372,12439,707743,153405.0,9740000.0
2003-04-30,12715,12991,12162,12163,610627,149996.0,9740000.0
2003-05-02,12557,12557,12201,12439,235281,153405.0,9740000.0
2003-05-06,12675,12794,12162,12163,339953,149996.0,9740000.0
2003-05-07,12280,12675,12280,12399,311786,152918.0,9740000.0
2003-05-09,12201,12280,12004,12163,240567,149996.0,9740000.0
2003-05-12,12320,12478,12201,12241,363150,150970.0,9740000.0
2003-05-13,12320,12359,11767,12044,327107,148535.0,9740000.0
2003-05-14,11965,12162,11688,11728,212409,144639.0,9740000.0
2003-05-15,11767,12833,11767,12715,668303,156814.0,9740000.0
2003-05-16,12715,13149,12280,12360,677093,152431.0,9740000.0
2003-05-19,12359,12794,11886,11886,393709,146587.0,9740000.0
2003-05-20,11609,11965,11530,11926,278092,147074.0,9740000.0
2003-05-21,11807,12162,11767,11926,328287,147074.0,9740000.0
2003-05-22,11965,12517,11925,11965,405398,147561.0,9740000.0
2003-05-23,12241,12557,12123,12399,397002,152918.0,9740000.0
2003-05-26,12517,12794,12320,12636,482684,155840.0,9740000.0
2003-05-27,12912,13268,12478,12794,823840,157788.0,9740000.0
2003-05-28,13426,13939,13031,13229,1251477,163145.0,9740000.0
2003-05-29,13505,13584,12991,13466,457205,166067.0,9740000.0
2003-05-30,13228,13623,13228,13426,349610,165580.0,9740000.0
2003-06-02,13742,13821,12952,12992,381122,160223.0,9740000.0
2003-06-03,12873,13465,12754,12794,376100,157788.0,9740000.0
2003-06-04,13070,13465,12912,13387,520345,165093.0,9740000.0
2003-06-05,13505,13663,13110,13426,651776,165580.0,9740000.0
2003-06-09,14018,15005,14018,14769,1219161,182138.0,9740000.0
2003-06-10,14729,15598,14531,15480,1192395,190904.0,9740000.0
2003-06-11,15795,15795,14808,14966,484785,184573.0,9740000.0
2003-06-12,15163,15282,14689,14966,454350,184573.0,9740000.0
2003-06-13,14966,15282,14452,14887,412915,183599.0,9740000.0
2003-06-16,14650,15084,14334,14492,418513,178729.0,9740000.0
2003-06-17,14966,15005,14492,14492,376055,178729.0,9740000.0
