신라젠(215600),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-03-15,11550,11750,11350,11350,392031,717852.0,63246889.0
2017-03-16,11400,11500,11300,11350,198057,717852.0,63246889.0
2017-03-17,11450,12100,11350,11700,1373230,739989.0,63246889.0
2017-03-20,11900,12200,11700,11800,563145,746313.0,63246889.0
2017-03-21,11950,11950,11600,11750,470251,743151.0,63246889.0
2017-03-22,11700,12150,11550,12150,510329,768450.0,63246889.0
2017-03-23,12200,12400,12000,12400,813043,784261.0,63246889.0
2017-03-24,12450,12700,12250,12350,670430,781099.0,63246889.0
2017-03-27,12100,12150,11800,11900,605507,752638.0,63246889.0
2017-03-28,11750,12050,11600,11850,509316,749476.0,63246889.0
2017-03-29,11850,11900,11600,11700,339206,739989.0,63246889.0
2017-03-30,11700,11900,11600,11700,296624,739989.0,63246889.0
2017-03-31,11550,11850,11350,11800,577525,746313.0,63246889.0
2017-04-03,11850,12250,11800,12150,464801,768450.0,63246889.0
2017-04-04,12300,12300,11950,12050,369120,762125.0,63246889.0
2017-04-05,12050,12100,11850,11950,302046,755800.0,63246889.0
2017-04-06,11850,11900,11600,11800,272724,746313.0,63246889.0
2017-04-07,11800,12300,11700,12150,640225,768450.0,63246889.0
2017-04-10,12050,12150,11850,11950,324863,755800.0,63246889.0
2017-04-11,11900,12000,11650,11800,303892,746313.0,63246889.0
2017-04-12,11550,11800,11550,11650,200789,736826.0,63246889.0
2017-04-13,11600,11900,11600,11700,221511,739989.0,63246889.0
2017-04-14,11750,11900,11550,11550,301539,730502.0,63246889.0
2017-04-17,11550,11750,11500,11650,208238,736826.0,63246889.0
2017-04-18,11650,11800,11550,11650,256150,736826.0,63246889.0
2017-04-19,11650,11650,11450,11500,231327,735115.0,63923031.0
2017-04-20,11550,11650,11400,11450,194714,731919.0,63923031.0
2017-04-21,11550,11750,11450,11550,226195,738311.0,63923031.0
2017-04-24,11500,11500,11250,11300,240902,722330.0,63923031.0
2017-04-25,11750,12300,11550,11600,1870204,741507.0,63923031.0
2017-04-26,11700,11800,11350,11400,445483,728723.0,63923031.0
2017-04-27,11450,11500,11300,11350,229431,725526.0,63923031.0
2017-04-28,11300,11450,11250,11350,257647,725526.0,63923031.0
2017-05-02,11350,11400,11150,11150,179237,712742.0,63923031.0
2017-05-04,11150,11350,11100,11350,190648,725526.0,63923031.0
2017-05-08,11600,12050,11500,11500,1085552,735646.0,63969245.0
2017-05-10,11700,11700,11100,11250,573139,719654.0,63969245.0
2017-05-11,11250,11300,11050,11250,270209,719654.0,63969245.0
2017-05-12,11200,11250,10950,11000,439544,703662.0,63969245.0
2017-05-15,10950,10950,10400,10650,770179,681272.0,63969245.0
2017-05-16,10700,10700,10200,10650,386014,681384.0,63979745.0
2017-05-17,10700,10900,10600,10750,463670,687782.0,63979745.0
2017-05-18,10600,10850,10550,10800,276167,690981.0,63979745.0
2017-05-19,10800,10950,10750,10850,242553,694180.0,63979745.0
2017-05-22,10850,10900,10650,10750,203245,687782.0,63979745.0
2017-05-23,10800,11250,10800,11250,806246,719772.0,63979745.0
2017-05-24,11300,11350,11000,11350,427629,726170.0,63979745.0
2017-05-25,11350,11450,11200,11450,364916,732568.0,63979745.0
2017-05-26,11450,11900,11450,11600,637411,743905.0,64129745.0
2017-05-29,11700,11900,11600,11600,383367,743905.0,64129745.0
2017-05-30,11550,12100,11550,12100,645727,775970.0,64129745.0
2017-05-31,12350,12500,12100,12500,1382369,801622.0,64129745.0
2017-06-01,12450,12750,12150,12700,761397,814448.0,64129745.0
2017-06-02,12950,14300,12800,13700,3696920,878578.0,64129745.0
2017-06-05,13700,14500,13600,14250,1725538,913849.0,64129745.0
2017-06-07,14500,15100,13750,14200,2718029,910642.0,64129745.0
2017-06-08,14350,16350,14150,15900,4148400,1019663.0,64129745.0
2017-06-09,16050,16350,15600,16050,2165709,1029282.0,64129745.0
2017-06-12,15800,16150,15150,16000,1541656,1026076.0,64129745.0
2017-06-13,15950,19850,15800,18500,7514045,1186400.0,64129745.0
2017-06-14,18300,19700,18300,18900,2883750,1212052.0,64129745.0
2017-06-15,19000,19600,18500,19250,1873865,1234498.0,64129745.0
2017-06-16,19600,24450,19450,23700,12899547,1519875.0,64129745.0
2017-06-19,24500,27450,23900,27000,6736787,1731503.0,64129745.0
2017-06-20,26850,26900,22700,24000,7282571,1539114.0,64129745.0
2017-06-21,23500,25750,22100,22950,6487536,1471778.0,64129745.0
2017-06-22,21350,22250,20250,21500,5297005,1378790.0,64129745.0
2017-06-23,21300,21950,19300,19900,5740193,1276182.0,64129745.0
2017-06-26,19600,20400,19300,19950,2538247,1279388.0,64129745.0
2017-06-27,20150,21200,19950,20700,3075765,1327486.0,64129745.0
2017-06-28,21000,21550,19400,19750,2355050,1266562.0,64129745.0
2017-06-29,20200,20700,19000,20600,2025240,1321073.0,64129745.0
2017-06-30,20150,20800,19950,20050,1262725,1285801.0,64129745.0
2017-07-03,20100,20250,19350,20100,1338332,1289008.0,64129745.0
2017-07-04,20100,22250,19950,22200,6473469,1423680.0,64129745.0
2017-07-05,22500,24200,21700,21950,5625307,1437449.0,65487436.0
2017-07-06,22100,23150,21550,23050,2808435,1509485.0,65487436.0
2017-07-07,23550,24000,22850,23100,3464336,1512760.0,65487436.0
2017-07-10,23700,24050,23200,24000,1945816,1571698.0,65487436.0
2017-07-11,24200,24250,23000,23550,1834363,1542229.0,65487436.0
2017-07-12,23300,23450,21750,21800,2674384,1427626.0,65487436.0
2017-07-13,22400,23100,21800,22850,1883771,1496388.0,65487436.0
2017-07-14,22650,23200,22550,22750,768379,1489839.0,65487436.0
2017-07-17,23000,23750,22800,23650,1229903,1548778.0,65487436.0
2017-07-18,23850,24550,23100,23300,1354068,1525857.0,65487436.0
2017-07-19,23150,23450,22400,23200,990775,1519309.0,65487436.0
2017-07-20,23450,25600,22850,23650,4851296,1548778.0,65487436.0
2017-07-21,23950,24150,23400,23400,1006838,1532406.0,65487436.0
2017-07-24,23450,23550,22800,22800,924851,1493114.0,65487436.0
2017-07-25,22950,23600,22650,22850,965583,1496388.0,65487436.0
2017-07-26,23050,23350,22750,22900,620022,1499662.0,65487436.0
2017-07-27,23100,24250,22950,23900,1669657,1565150.0,65487436.0
2017-07-28,24250,24500,23500,24100,1607694,1578247.0,65487436.0
2017-07-31,23850,24800,23400,24800,1349443,1624088.0,65487436.0
2017-08-01,24850,26350,24700,25700,3246676,1683027.0,65487436.0
2017-08-02,25900,26200,23800,24100,3115525,1578247.0,65487436.0
2017-08-03,24400,25100,23500,23900,1326922,1570030.0,65691614.0
2017-08-04,24250,24800,24050,24350,841851,1599591.0,65691614.0
2017-08-07,24300,25400,24000,25300,1064671,1661998.0,65691614.0
2017-08-08,25450,25800,24850,24900,939028,1635721.0,65691614.0
2017-08-09,24950,25500,24300,25300,1056578,1661998.0,65691614.0
2017-08-10,25150,25500,24500,24550,1106578,1612729.0,65691614.0
2017-08-11,24000,24250,23400,23500,1531297,1543753.0,65691614.0
2017-08-14,23750,24150,23550,23750,534843,1560176.0,65691614.0
2017-08-16,24050,24450,23900,24050,610998,1579883.0,65691614.0
2017-08-17,24400,25450,24350,24650,1168239,1619298.0,65691614.0
2017-08-18,24150,24700,24100,24400,443722,1602875.0,65691614.0
2017-08-21,24500,24800,24200,24300,433589,1596306.0,65691614.0
2017-08-22,24350,24550,23600,23750,767168,1560176.0,65691614.0
2017-08-23,23650,23750,23100,23150,875556,1520761.0,65691614.0
2017-08-24,23150,23950,22200,23700,1302342,1556891.0,65691614.0
2017-08-25,23400,23900,23100,23250,582657,1536708.0,66094972.0
2017-08-28,23150,23600,22700,23250,571629,1536708.0,66094972.0
2017-08-29,22950,23400,22950,23050,448930,1523489.0,66094972.0
2017-08-30,22950,23400,22850,22950,463854,1516880.0,66094972.0
2017-08-31,23300,25450,23000,24950,4906317,1649070.0,66094972.0
2017-09-01,25800,27450,25550,26500,4948432,1751517.0,66094972.0
2017-09-04,25600,28150,25600,28100,3656774,1857269.0,66094972.0
2017-09-05,29200,30000,26850,26950,4746801,1781259.0,66094972.0
2017-09-06,27100,31500,26850,31500,5786759,2081992.0,66094972.0
2017-09-07,32850,33900,31300,31850,6897450,2105125.0,66094972.0
2017-09-08,31750,37900,31500,36800,10974646,2432295.0,66094972.0
2017-09-11,39300,45600,36800,39400,19133146,2604142.0,66094972.0
2017-09-12,41050,41250,37500,39450,8078353,2607447.0,66094972.0
2017-09-13,38600,39800,37050,38700,5882305,2557875.0,66094972.0
2017-09-14,37700,46500,37300,46500,12189816,3073416.0,66094972.0
2017-09-15,45600,50100,44900,45800,13273554,3027150.0,66094972.0
2017-09-18,47400,47950,45150,45500,3671991,3007321.0,66094972.0
2017-09-19,45900,48000,45400,48000,5001155,3172559.0,66094972.0
2017-09-20,47700,47950,42850,42850,4609488,2832170.0,66094972.0
2017-09-21,42300,44850,39350,42000,6640429,2775989.0,66094972.0
2017-09-22,43350,43400,40300,41000,3451781,2709894.0,66094972.0
2017-09-25,41200,50400,39600,48500,7825058,3205606.0,66094972.0
2017-09-26,47900,49350,43950,44000,5917162,2908179.0,66094972.0
2017-09-27,43200,45900,41550,43500,4624472,2875131.0,66094972.0
2017-09-28,43800,44450,42900,42900,1948589,2835474.0,66094972.0
2017-09-29,43400,46750,43050,44700,5009584,2954445.0,66094972.0
2017-10-10,45200,46300,44750,45200,2020505,2987493.0,66094972.0
2017-10-11,46000,48150,44700,47000,3615637,3106464.0,66094972.0
2017-10-12,47450,49500,46800,47450,4613273,3136206.0,66094972.0
2017-10-13,47300,48400,46400,46400,2820283,3068523.0,66131969.0
2017-10-16,46900,48800,46450,47000,2197900,3108203.0,66131969.0
2017-10-17,47600,50400,47100,50400,5003481,3333051.0,66131969.0
2017-10-18,49800,54300,49650,50600,6300947,3346278.0,66131969.0
2017-10-19,51200,52400,48600,52000,3071595,3438862.0,66131969.0
2017-10-20,51500,56500,51000,56500,6080851,3755782.0,66474021.0
2017-10-23,57300,61000,56400,60200,6282286,4001736.0,66474021.0
2017-10-24,60900,66600,58400,58400,8654347,3882083.0,66474021.0
2017-10-25,59500,63000,59200,62700,5388853,4167921.0,66474021.0
2017-10-26,63500,64500,60500,61800,3892965,4108094.0,66474021.0
2017-10-27,62000,63200,60900,63000,2491862,4187863.0,66474021.0
2017-10-30,63400,67000,62000,67000,4421223,4453759.0,66474021.0
2017-10-31,66500,69700,65400,67500,3805973,4486996.0,66474021.0
2017-11-01,68000,69500,67200,68800,2076643,4573413.0,66474021.0
2017-11-02,69500,79200,69100,76700,7894441,5098557.0,66474021.0
2017-11-03,78100,84200,77600,81800,8257721,5437575.0,66474021.0
2017-11-06,83000,84500,74800,80600,4380703,5357806.0,66474021.0
2017-11-07,82000,82700,71700,74900,5847662,4978904.0,66474021.0
2017-11-08,73300,78600,68500,78000,7779991,5184974.0,66474021.0
2017-11-09,77500,80800,76000,76000,2735257,5054040.0,66500521.0
2017-11-10,74800,77000,73800,75600,2270451,5027439.0,66500521.0
2017-11-13,73400,80700,73100,80600,3941332,5359942.0,66500521.0
2017-11-14,81400,89600,80600,89400,6650916,5945147.0,66500521.0
2017-11-15,91200,100800,90100,96900,8936953,6443900.0,66500521.0
2017-11-16,99500,102000,91300,98000,4726419,6517051.0,66500521.0
2017-11-17,99200,99800,96600,98000,2020544,6517051.0,66500521.0
2017-11-20,98900,127400,98500,127400,8232400,8472166.0,66500521.0
2017-11-21,127700,152300,127700,131000,14822693,8711568.0,66500521.0
2017-11-22,136100,137500,113000,113500,10674533,7547809.0,66500521.0
2017-11-23,109200,124300,103300,124300,12349294,8266015.0,66500521.0
2017-11-24,122900,128000,107000,107000,5778947,7115556.0,66500521.0
2017-11-27,101700,113000,100200,108500,7546820,7377831.0,67998447.0
2017-11-28,110800,111000,91200,92300,7651700,6276257.0,67998447.0
2017-11-29,94900,100300,86100,98000,12555630,6663848.0,67998447.0
2017-11-30,100200,110500,96900,110500,12047443,7513828.0,67998447.0
2017-12-01,116100,119900,107400,108400,6059822,7371032.0,67998447.0
2017-12-04,105000,111200,103500,108200,4043288,7357432.0,67998447.0
2017-12-05,109000,109000,88700,90000,8028477,6119860.0,67998447.0
2017-12-06,93000,99600,89900,98300,9918547,6684542.0,68001447.0
2017-12-07,98900,102400,94500,96600,5598464,6568940.0,68001447.0
2017-12-08,97800,98800,88800,91200,3754637,6201732.0,68001447.0
2017-12-11,91200,93700,83300,89700,5224245,6099730.0,68001447.0
2017-12-12,90200,91700,85600,88000,3802042,5984127.0,68001447.0
2017-12-13,89400,92400,88200,89100,3566029,6058929.0,68001447.0
2017-12-14,90500,90500,84500,84900,4352875,5773323.0,68001447.0
2017-12-15,84700,89100,82000,87600,5484558,5956927.0,68001447.0
2017-12-18,89000,89300,81100,82500,3058705,5610119.0,68001447.0
2017-12-19,82200,84400,76200,84400,7379031,5739322.0,68001447.0
2017-12-20,83400,85300,79500,79500,4343480,5406115.0,68001447.0
2017-12-21,79200,81400,75600,75600,4274996,5140909.0,68001447.0
2017-12-22,75200,81700,73200,81000,9468489,5508117.0,68001447.0
2017-12-26,81300,85400,78500,79000,7671506,5372114.0,68001447.0
2017-12-27,90000,90200,83500,84700,8818567,5759723.0,68001447.0
2017-12-28,84800,94300,83000,93500,7303047,6358135.0,68001447.0
2018-01-02,95900,104000,93300,102500,6824281,6970148.0,68001447.0
2018-01-03,102600,104900,99500,103000,4760150,7004149.0,68001447.0
2018-01-04,102600,104000,92200,92200,6538665,6269733.0,68001447.0
2018-01-05,85800,101200,85700,100000,8318372,6802345.0,68023447.0
2018-01-08,98000,98400,92500,93800,6352776,6380599.0,68023447.0
2018-01-09,96500,119200,93800,109000,12734902,7414556.0,68023447.0
2018-01-10,105000,107300,97800,98000,6588397,6666298.0,68023447.0
2018-01-11,97600,100600,95200,96700,4115386,6577867.0,68023447.0
2018-01-12,99800,103300,97100,98100,6806596,6673100.0,68023447.0
2018-01-15,101400,107500,99000,103900,7308122,7067636.0,68023447.0
2018-01-16,113200,114700,102500,102900,6163319,6999613.0,68023447.0
2018-01-17,103400,108500,100100,106900,4786797,7271706.0,68023447.0
2018-01-18,106900,108800,104900,105200,2975280,7156067.0,68023447.0
2018-01-19,106300,109600,100200,103000,3473985,7006415.0,68023447.0
2018-01-22,102600,106900,100000,104100,2103216,7081241.0,68023447.0
2018-01-23,106900,115000,105400,115000,6011029,7822696.0,68023447.0
2018-01-24,115500,116600,110000,110500,4417311,7516591.0,68023447.0
2018-01-25,110700,112800,107600,111500,2508539,7584614.0,68023447.0
2018-01-26,110300,112500,109000,110000,1882386,7488079.0,68073447.0
2018-01-29,110300,112800,109600,110000,1844918,7488079.0,68073447.0
2018-01-30,110500,114600,110100,110100,2989244,7494887.0,68073447.0
2018-01-31,109000,110700,105700,105900,2340061,7208978.0,68073447.0
2018-02-01,106600,107400,99800,100300,2669463,6827767.0,68073447.0
2018-02-02,100000,105700,98600,104200,2460966,7093253.0,68073447.0
2018-02-05,101200,102100,97400,97500,1780924,6637161.0,68073447.0
2018-02-06,92000,96200,89700,93700,4164230,6378482.0,68073447.0
2018-02-07,97000,97800,87500,87500,2749858,5956427.0,68073447.0
2018-02-08,88400,96900,86600,95300,3514752,6487399.0,68073447.0
2018-02-09,90300,93200,89400,91400,2756852,6221913.0,68073447.0
2018-02-12,92300,93400,88500,88500,1873886,6024500.0,68073447.0
2018-02-13,90400,91200,84500,84500,2159744,5752206.0,68073447.0
2018-02-14,86000,87900,84200,85400,2163727,5813472.0,68073447.0
2018-02-19,88700,95000,87800,94600,4257215,6439748.0,68073447.0
2018-02-20,94600,94900,90200,91000,1736078,6194684.0,68073447.0
2018-02-21,91500,95600,90500,94900,2016696,6460170.0,68073447.0
2018-02-22,94100,97200,93400,94800,1813086,6453363.0,68073447.0
2018-02-23,107000,108500,98800,98800,5435343,6725657.0,68073447.0
2018-02-26,99000,101200,98100,99100,1688989,6746079.0,68073447.0
2018-02-27,100500,103000,99900,100300,2153382,6827767.0,68073447.0
2018-02-28,99400,102900,99400,102400,2398496,6980961.0,68173447.0
2018-03-02,101300,107000,100700,105600,3074091,7199116.0,68173447.0
2018-03-05,106400,110800,105700,108500,3253202,7396819.0,68173447.0
2018-03-06,110300,110800,105800,108900,2151649,7424088.0,68173447.0
2018-03-07,108000,110200,103000,104300,2119904,7110491.0,68173447.0
2018-03-08,105500,108000,104500,107400,1247864,7321828.0,68173447.0
2018-03-09,107400,108400,104400,105700,1445862,7205933.0,68173447.0
2018-03-12,106300,109800,104800,109800,1714449,7485444.0,68173447.0
2018-03-13,110000,118000,109400,117300,5072706,7996745.0,68173447.0
2018-03-14,116600,120000,115100,119900,2155459,8173996.0,68173447.0
2018-03-15,119700,125600,112200,116900,4172322,7969476.0,68173447.0
2018-03-16,117900,119800,116100,119100,2661831,8119458.0,68173447.0
2018-03-19,118200,121900,116700,119000,2006712,8112640.0,68173447.0
2018-03-20,117900,121500,117500,121500,1597397,8283074.0,68173447.0
2018-03-21,122100,131200,121300,125700,4004740,8571892.0,68193256.0
2018-03-22,128000,128100,110000,113300,4951295,7726296.0,68193256.0
2018-03-23,110500,114500,99500,100300,6014015,6839784.0,68193256.0
2018-03-26,101800,108800,98600,108800,3181206,7419426.0,68193256.0
2018-03-27,110500,112800,103400,104200,2757220,7105737.0,68193256.0
2018-03-28,102500,104200,99800,103000,2095212,7023905.0,68193256.0
2018-03-29,103200,107500,102500,107100,1446609,7303498.0,68193256.0
2018-03-30,108200,108900,106600,107000,1034497,7296678.0,68193256.0
2018-04-02,107400,107400,104100,104800,959711,7146653.0,68193256.0
2018-04-03,103200,105800,102300,105100,850873,7167111.0,68193256.0
2018-04-04,106100,110700,104800,107100,2290914,7303498.0,68193256.0
2018-04-05,108900,110000,105600,106200,1189198,7242124.0,68193256.0
2018-04-06,105600,107100,101400,103000,1635256,7023905.0,68193256.0
2018-04-09,103000,106600,101000,104400,1787585,7119376.0,68193256.0
2018-04-10,104100,107100,103600,104100,1234625,7098918.0,68193256.0
2018-04-11,105500,105800,103700,104000,795819,7092099.0,68193256.0
2018-04-12,105700,110900,104500,104700,2977579,7139834.0,68193256.0
2018-04-13,105000,105400,100300,104100,1380896,7098918.0,68193256.0
2018-04-16,104100,105100,102600,102800,976644,7010267.0,68193256.0
2018-04-17,103600,105900,103400,104500,1087658,7126195.0,68193256.0
2018-04-18,105400,106700,103000,103800,1276698,7155560.0,68936033.0
2018-04-19,103000,105600,100500,100800,2014582,6948752.0,68936033.0
2018-04-20,101200,102200,95200,97600,2185643,6728157.0,68936033.0
2018-04-23,94500,95700,87600,87900,3855868,6059477.0,68936033.0
2018-04-24,87400,89700,83200,83300,3150133,5742372.0,68936033.0
2018-04-25,82800,84600,79600,82800,3496542,5745164.0,69386033.0
2018-04-26,84700,88600,83900,86500,2837188,6001892.0,69386033.0
2018-04-27,87300,89100,85900,88600,1516785,6147603.0,69386033.0
2018-04-30,87000,87700,83300,84100,1613698,5835365.0,69386033.0
2018-05-02,82000,88300,80200,85800,2033543,5953322.0,69386033.0
2018-05-03,86200,86800,82200,82200,1083164,5703532.0,69386033.0
2018-05-04,82000,83500,75100,75300,3066872,5224768.0,69386033.0
2018-05-08,75100,78300,65700,65700,4398823,4558662.0,69386033.0
2018-05-09,66100,70300,64000,69900,5941010,4850084.0,69386033.0
2018-05-10,70300,71200,67700,68800,2045440,4773759.0,69386033.0
2018-05-11,67800,74400,67300,72200,3404548,5009672.0,69386033.0
2018-05-14,72300,73100,68700,70200,1779496,4870900.0,69386033.0
2018-05-15,72000,73400,70800,71900,1485813,4988856.0,69386033.0
2018-05-16,73200,76500,72400,75000,2775889,5203952.0,69386033.0
2018-05-17,76000,78500,73700,76700,2125813,5321909.0,69386033.0
2018-05-18,77400,79400,76300,76700,1547616,5321909.0,69386033.0
2018-05-21,77400,78700,76800,76900,903245,5335786.0,69386033.0
2018-05-23,77500,78100,74300,74400,1255645,5162321.0,69386033.0
2018-05-24,73600,80500,73500,80400,2492807,5578637.0,69386033.0
2018-05-25,80500,83900,80400,82000,2386808,5689655.0,69386033.0
2018-05-28,79800,82400,78200,80500,1828545,5585576.0,69386033.0
2018-05-29,82200,84100,77900,78000,1801035,5412111.0,69386033.0
2018-05-30,79700,81700,78100,81400,1418513,5648023.0,69386033.0
2018-05-31,82800,83100,79700,80500,1491376,5585576.0,69386033.0
2018-06-01,80500,83500,80400,82000,1209685,5689655.0,69386033.0
2018-06-04,81500,82300,77400,78500,1343836,5446804.0,69386033.0
2018-06-05,83100,83900,79300,80500,2110623,5585576.0,69386033.0
2018-06-07,80800,82800,80500,81700,1391767,5668839.0,69386033.0
2018-06-08,81700,82500,80000,80300,1033078,5571698.0,69386033.0
2018-06-11,79400,80600,78000,78200,1022693,5425988.0,69386033.0
2018-06-12,78500,81400,78200,78500,1433531,5446804.0,69386033.0
2018-06-14,78500,79500,77900,78600,986008,5453742.0,69386033.0
2018-06-15,78900,81600,78000,81400,1602932,5648023.0,69386033.0
2018-06-18,81100,82300,78000,78900,1239998,5474558.0,69386033.0
2018-06-19,78800,79000,72600,72700,2036481,5044365.0,69386033.0
2018-06-20,75800,76200,73500,74800,1073113,5192768.0,69422033.0
2018-06-21,75200,75700,70900,71100,1010057,4935907.0,69422033.0
2018-06-22,70500,72600,68900,72000,993932,4998386.0,69422033.0
2018-06-25,72500,77800,71800,75300,1461095,5227479.0,69422033.0
2018-06-26,74100,78400,73600,77000,1015256,5345497.0,69422033.0
2018-06-27,77600,78000,74900,74900,700671,5199710.0,69422033.0
2018-06-28,74300,74900,72000,72000,671455,4998386.0,69422033.0
2018-06-29,72600,73400,71000,73300,592266,5088635.0,69422033.0
2018-07-02,73300,73900,68700,69100,1026229,4797062.0,69422033.0
2018-07-03,69600,70500,66400,67900,990329,4713756.0,69422033.0
2018-07-04,68100,69600,67100,69000,819749,4790120.0,69422033.0
2018-07-05,68300,77500,68200,74500,1573024,5171941.0,69422033.0
2018-07-06,74400,74500,71200,73200,931255,5081693.0,69422033.0
2018-07-09,73900,76000,72700,72800,1039642,5053924.0,69422033.0
2018-07-10,73700,74500,73100,73200,482704,5081693.0,69422033.0
2018-07-11,72000,73000,70000,70000,719789,4864792.0,69497033.0
2018-07-12,70000,71300,69700,70500,504728,4899541.0,69497033.0
2018-07-13,70000,71600,69700,70400,507211,4892591.0,69497033.0
2018-07-16,71000,72200,70000,70300,550516,4885641.0,69497033.0
2018-07-17,70700,70900,68600,68700,741515,4774446.0,69497033.0
2018-07-18,69300,69900,66700,67100,854073,4663251.0,69497033.0
2018-07-19,67400,67700,58100,62200,3812932,4322715.0,69497033.0
2018-07-20,61900,65200,61100,61800,2038993,4294917.0,69497033.0
2018-07-23,61300,62000,53300,53600,2667093,3725041.0,69497033.0
2018-07-24,53800,54700,50300,50300,3424127,3495701.0,69497033.0
2018-07-25,50300,50800,45300,46300,7419416,3217713.0,69497033.0
2018-07-26,47300,50200,45600,48900,5990446,3398405.0,69497033.0
2018-07-27,49200,51800,48100,49400,4038471,3433153.0,69497033.0
2018-07-30,48800,51000,47550,50200,2050824,3488751.0,69497033.0
2018-07-31,49900,52700,49750,52200,1991424,3627745.0,69497033.0
