보라티알(250000),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-11-08,14000,14000,13600,13600,18770,91810.0,6750733.0
2017-11-09,13500,14050,13500,13950,37310,94173.0,6750733.0
2017-11-10,14400,15050,14150,14350,123098,96873.0,6750733.0
2017-11-13,14350,14700,13800,14150,37080,95523.0,6750733.0
2017-11-14,14150,14350,13750,14200,39307,95860.0,6750733.0
2017-11-15,14400,15100,14400,14750,201476,99573.0,6750733.0
2017-11-16,14850,15200,14450,14950,63500,100923.0,6750733.0
2017-11-17,14950,15150,14450,14550,64412,98223.0,6750733.0
2017-11-20,14550,14550,14050,14250,66580,96198.0,6750733.0
2017-11-21,14100,14350,13800,13850,63829,93498.0,6750733.0
2017-11-22,13850,14200,13600,14100,44998,95185.0,6750733.0
2017-11-23,14150,14300,13550,14100,43573,95185.0,6750733.0
2017-11-24,14300,14900,13900,14450,122114,97548.0,6750733.0
2017-11-27,14550,14850,14200,14550,53927,98223.0,6750733.0
2017-11-28,14550,14650,14200,14400,33032,97211.0,6750733.0
2017-11-29,14250,14700,13900,13900,38835,93835.0,6750733.0
2017-11-30,13700,14500,13500,13950,86025,94173.0,6750733.0
2017-12-01,13950,14350,13750,14350,59197,96873.0,6750733.0
2017-12-04,14700,14700,14150,14400,62029,97211.0,6750733.0
2017-12-05,14500,14500,14200,14500,31036,97886.0,6750733.0
2017-12-06,14500,14500,13800,13900,58110,93835.0,6750733.0
2017-12-07,13800,13950,13150,13400,50311,90460.0,6750733.0
2017-12-08,13450,13550,12600,13400,60782,90460.0,6750733.0
2017-12-11,13200,13350,13000,13100,24063,88435.0,6750733.0
2017-12-12,13250,13350,13050,13100,25728,88435.0,6750733.0
2017-12-13,13100,13350,13000,13250,12708,89447.0,6750733.0
2017-12-14,13250,13350,13100,13100,12348,88435.0,6750733.0
2017-12-15,13050,13250,13000,13050,18598,88097.0,6750733.0
2017-12-18,13300,14500,13050,14400,93268,97211.0,6750733.0
2017-12-19,14500,14500,13300,13850,61392,93498.0,6750733.0
2017-12-20,14000,14000,13300,13500,28595,91135.0,6750733.0
2017-12-21,13650,13650,13300,13450,13763,90797.0,6750733.0
2017-12-22,13400,13450,12850,13100,43123,88435.0,6750733.0
2017-12-26,13200,14300,13050,14100,85578,95185.0,6750733.0
2017-12-27,13900,14150,13500,14050,47964,94848.0,6750733.0
2017-12-28,14150,14300,13900,14150,28105,95523.0,6750733.0
2018-01-02,14400,14400,13750,13800,30292,93160.0,6750733.0
2018-01-03,13900,13900,13350,13650,47198,92148.0,6750733.0
2018-01-04,13700,14100,13000,13700,146363,92485.0,6750733.0
2018-01-05,13800,15150,13500,15000,244737,101261.0,6750733.0
2018-01-08,15300,15850,14750,15550,172582,104974.0,6750733.0
2018-01-09,15550,16200,15450,15850,144016,106999.0,6750733.0
2018-01-10,15900,16450,15400,16400,189810,110712.0,6750733.0
2018-01-11,16200,16250,15300,15650,121359,105649.0,6750733.0
2018-01-12,15650,15650,14750,14950,111298,100923.0,6750733.0
2018-01-15,14950,15150,14400,15150,69732,102274.0,6750733.0
2018-01-16,15250,15500,14750,15250,84660,102949.0,6750733.0
2018-01-17,15250,15550,15100,15200,39252,102611.0,6750733.0
2018-01-18,15200,15300,14750,14750,47183,99573.0,6750733.0
2018-01-19,14800,15300,14600,15100,38186,101936.0,6750733.0
2018-01-22,15200,16200,15000,16100,151674,108687.0,6750733.0
2018-01-23,16100,16150,15600,15850,49335,106999.0,6750733.0
2018-01-24,15850,16000,15400,15600,38687,105311.0,6750733.0
2018-01-25,15750,15750,15200,15350,51431,103624.0,6750733.0
2018-01-26,15400,15650,15250,15550,39529,104974.0,6750733.0
2018-01-29,15550,15750,15300,15400,38498,103961.0,6750733.0
2018-01-30,15400,15750,15300,15350,35516,103624.0,6750733.0
2018-01-31,15350,15450,14850,14900,36918,100586.0,6750733.0
2018-02-01,15000,15400,14650,14950,45770,100923.0,6750733.0
2018-02-02,15100,15150,14500,14750,29181,99573.0,6750733.0
2018-02-05,14350,14500,13800,14000,93973,94510.0,6750733.0
2018-02-06,13400,13600,12500,13250,147499,89447.0,6750733.0
2018-02-07,13500,13550,12600,12600,49391,85059.0,6750733.0
2018-02-08,12950,13650,12600,13650,37549,92148.0,6750733.0
2018-02-09,13050,13600,13000,13050,39640,88097.0,6750733.0
2018-02-12,13250,13250,13000,13100,16544,88435.0,6750733.0
2018-02-13,13150,13250,12800,12850,30993,86747.0,6750733.0
2018-02-14,12950,13000,12700,12900,9732,87084.0,6750733.0
2018-02-19,12950,13700,12950,13650,31683,92148.0,6750733.0
2018-02-20,13300,13550,13250,13350,12490,90122.0,6750733.0
2018-02-21,13200,13850,13200,13500,13722,91135.0,6750733.0
2018-02-22,13350,13600,13150,13200,29247,89110.0,6750733.0
2018-02-23,13350,13350,12950,13200,25251,89110.0,6750733.0
2018-02-26,13300,13600,13200,13500,24982,91135.0,6750733.0
2018-02-27,13500,13700,13150,13250,20280,89447.0,6750733.0
2018-02-28,13150,13250,13050,13150,12565,88772.0,6750733.0
2018-03-02,12750,13050,12750,13050,12785,88097.0,6750733.0
2018-03-05,13050,13200,12900,13100,14421,88435.0,6750733.0
2018-03-06,13250,13300,12900,13050,13560,88097.0,6750733.0
2018-03-07,12950,13050,12700,12750,16762,86072.0,6750733.0
2018-03-08,13000,13450,12950,13450,36249,90797.0,6750733.0
2018-03-09,13250,13400,13100,13200,24679,89110.0,6750733.0
2018-03-12,13200,13550,13150,13400,17989,90460.0,6750733.0
2018-03-13,13400,13500,13150,13200,17123,89110.0,6750733.0
2018-03-14,14100,14550,13500,13600,169452,91810.0,6750733.0
2018-03-15,13850,14000,13250,13600,44735,91810.0,6750733.0
2018-03-16,13800,13900,13400,13400,20579,90460.0,6750733.0
2018-03-19,13400,13400,13200,13300,19233,89785.0,6750733.0
2018-03-20,13100,13700,13100,13500,15010,91135.0,6750733.0
2018-03-21,13400,13650,13250,13450,18448,90797.0,6750733.0
2018-03-22,13650,13650,13250,13250,27688,89447.0,6750733.0
2018-03-23,13000,13550,12850,13450,59043,90797.0,6750733.0
2018-03-26,13400,14450,13050,14250,147325,96198.0,6750733.0
2018-03-27,14300,14300,13500,13950,88577,94173.0,6750733.0
2018-03-28,13750,13800,13400,13700,47348,92485.0,6750733.0
2018-03-29,13600,14050,13500,13700,25942,92485.0,6750733.0
2018-03-30,13800,13850,13450,13700,37158,92485.0,6750733.0
2018-04-02,13900,14300,13600,13800,102103,93160.0,6750733.0
2018-04-03,13800,14050,13600,14050,41453,94848.0,6750733.0
2018-04-04,14450,14450,13850,14000,49863,94510.0,6750733.0
2018-04-05,14050,14300,13850,13900,25877,93835.0,6750733.0
2018-04-06,13900,14000,13400,13450,59904,90797.0,6750733.0
2018-04-09,13400,13950,13400,13900,53498,93835.0,6750733.0
2018-04-10,13950,15400,13700,15400,250116,103961.0,6750733.0
2018-04-11,15500,15750,14900,15250,131293,102949.0,6750733.0
2018-04-12,15500,15500,14700,15350,81223,103624.0,6750733.0
2018-04-13,15100,15550,15000,15200,73315,102611.0,6750733.0
2018-04-16,15050,15300,14500,14900,93129,100586.0,6750733.0
2018-04-17,14900,15100,14500,14650,49323,98898.0,6750733.0
2018-04-18,14650,14750,14200,14250,41860,96198.0,6750733.0
2018-04-19,14200,14500,13850,13950,62341,94173.0,6750733.0
2018-04-20,13900,14400,13900,14400,47311,97211.0,6750733.0
2018-04-23,14500,14600,13950,14550,81092,98223.0,6750733.0
2018-04-24,14500,14650,14000,14000,54221,94510.0,6750733.0
2018-04-25,13800,14050,13600,13650,36239,92148.0,6750733.0
2018-04-26,13700,14250,13550,13700,23315,92485.0,6750733.0
2018-04-27,13800,13900,13550,13600,29034,91810.0,6750733.0
2018-04-30,13550,13750,13150,13200,79167,89110.0,6750733.0
2018-05-02,13300,13300,12900,13000,41593,87760.0,6750733.0
2018-05-03,12950,13300,12950,13200,17314,89110.0,6750733.0
2018-05-04,13200,13250,12900,13000,20654,87760.0,6750733.0
2018-05-08,13050,13150,12700,12750,41963,86072.0,6750733.0
2018-05-09,12900,13300,12500,13150,48382,88772.0,6750733.0
2018-05-10,13150,13300,12900,13150,14996,88772.0,6750733.0
2018-05-11,13200,13300,13000,13100,12589,88435.0,6750733.0
2018-05-14,13200,13600,13100,13250,22917,89447.0,6750733.0
2018-05-15,13250,13350,12900,13000,24878,87760.0,6750733.0
2018-05-16,12950,13150,12800,13050,22394,88097.0,6750733.0
2018-05-17,13050,13150,12800,12850,14578,86747.0,6750733.0
2018-05-18,12850,13100,12850,13050,8796,88097.0,6750733.0
2018-05-21,13100,13200,12900,13050,9653,88097.0,6750733.0
2018-05-23,13050,13100,12850,13000,18852,87760.0,6750733.0
2018-05-24,13000,13150,12800,12950,18041,87422.0,6750733.0
2018-05-25,12850,12950,12700,12850,17982,86747.0,6750733.0
2018-05-28,12700,12950,12600,12800,19064,86409.0,6750733.0
2018-05-29,12800,12900,12650,12850,17919,86747.0,6750733.0
2018-05-30,12850,12850,12500,12700,23601,85734.0,6750733.0
2018-05-31,12600,12600,11800,12000,97620,81009.0,6750733.0
2018-06-01,12150,12150,11950,11950,16857,80671.0,6750733.0
2018-06-04,12100,12100,11650,11900,22086,80334.0,6750733.0
2018-06-05,11800,12100,11800,11950,9446,80671.0,6750733.0
2018-06-07,11850,12100,11850,12100,8627,81684.0,6750733.0
2018-06-08,12150,12200,11900,12050,12164,81346.0,6750733.0
2018-06-11,11900,12100,11900,11950,7788,80671.0,6750733.0
2018-06-12,12000,12050,11750,11750,21749,79321.0,6750733.0
2018-06-14,11900,11900,11350,11650,30279,78646.0,6750733.0
2018-06-15,11600,11750,11500,11650,17039,78646.0,6750733.0
2018-06-18,11700,11750,10650,11350,46484,76621.0,6750733.0
2018-06-19,11300,11300,10700,10800,25045,72908.0,6750733.0
2018-06-20,10500,11050,10500,10900,21701,73583.0,6750733.0
2018-06-21,10900,10900,10650,10750,18654,72570.0,6750733.0
2018-06-22,10650,10850,10150,10800,39516,72908.0,6750733.0
2018-06-25,10650,11450,10500,10800,20292,72908.0,6750733.0
2018-06-26,10800,11150,10700,10900,16905,73583.0,6750733.0
2018-06-27,11000,11000,10550,10850,19321,73245.0,6750733.0
2018-06-28,10800,11050,10550,11000,16347,74258.0,6750733.0
2018-06-29,11050,11050,10800,11050,13288,74596.0,6750733.0
2018-07-02,11050,11100,10750,10850,15302,73245.0,6750733.0
2018-07-03,10850,11000,10800,10900,17806,73583.0,6750733.0
2018-07-04,11000,11800,10950,11250,12996,75946.0,6750733.0
2018-07-05,11150,11350,10950,11300,21189,76283.0,6750733.0
2018-07-06,11350,11450,11150,11300,8909,76283.0,6750733.0
2018-07-09,11300,11400,11200,11300,12090,76283.0,6750733.0
2018-07-10,11550,11550,11200,11400,10383,76958.0,6750733.0
2018-07-11,11250,11550,11250,11550,8825,77971.0,6750733.0
2018-07-12,11550,11900,11450,11500,9194,77633.0,6750733.0
2018-07-13,11600,11600,11350,11550,12310,77971.0,6750733.0
2018-07-16,11600,11750,11450,11750,11797,79321.0,6750733.0
2018-07-17,11800,11850,11600,11800,2534,79659.0,6750733.0
2018-07-18,11850,12500,11650,11700,11205,78984.0,6750733.0
2018-07-19,11800,11800,11550,11550,21403,77971.0,6750733.0
2018-07-20,11600,11700,11500,11700,17008,78984.0,6750733.0
2018-07-23,11750,12200,11250,11750,23102,79321.0,6750733.0
2018-07-24,11750,11900,11500,11700,9292,78984.0,6750733.0
2018-07-25,11600,11850,11550,11600,18569,78309.0,6750733.0
2018-07-26,11600,12000,11450,11800,13219,79659.0,6750733.0
2018-07-27,11800,11900,11550,11800,9943,79659.0,6750733.0
2018-07-30,11750,11900,11600,11900,3917,80334.0,6750733.0
2018-07-31,11850,12000,11850,11950,8767,80671.0,6750733.0
2018-08-01,12050,12050,11900,11900,7447,80334.0,6750733.0
2018-08-02,11900,12000,11850,12000,6922,81009.0,6750733.0
2018-08-03,12050,12050,11800,12050,8472,81346.0,6750733.0
2018-08-06,12050,12050,11700,11900,17612,80334.0,6750733.0
2018-08-07,12000,12000,11650,11900,11471,80334.0,6750733.0
2018-08-08,11800,11900,11700,11900,4139,80334.0,6750733.0
2018-08-09,11900,11900,11600,11700,5270,78984.0,6750733.0
2018-08-10,11600,11650,11050,11150,32802,75271.0,6750733.0
2018-08-13,11050,11050,10150,10150,46187,68520.0,6750733.0
2018-08-14,10200,10350,9700,9910,27155,66900.0,6750733.0
2018-08-16,9890,10250,9480,10250,39826,69195.0,6750733.0
2018-08-17,10250,10250,10050,10250,3531,69195.0,6750733.0
2018-08-20,10050,10150,9820,9860,9181,66562.0,6750733.0
2018-08-21,9860,10100,9850,10050,5481,67845.0,6750733.0
2018-08-22,10050,10050,9920,9990,5675,67440.0,6750733.0
2018-08-23,9880,9990,9800,9910,8999,66900.0,6750733.0
2018-08-24,9910,10200,9850,10200,9888,68857.0,6750733.0
2018-08-27,10200,10750,10000,10050,9133,67845.0,6750733.0
2018-08-28,10150,10150,9980,10050,4192,67845.0,6750733.0
2018-08-29,10000,10100,9660,9730,28260,65685.0,6750733.0
2018-08-30,9790,9860,9680,9730,17479,65685.0,6750733.0
2018-08-31,9730,9840,9400,9400,45045,63457.0,6750733.0
2018-09-03,9400,9500,9310,9370,13356,63254.0,6750733.0
2018-09-04,9370,9460,9310,9380,6899,63322.0,6750733.0
2018-09-05,9330,9510,9310,9480,12488,63997.0,6750733.0
2018-09-06,9500,9500,9210,9390,7644,63389.0,6750733.0
2018-09-07,9500,9500,9300,9300,5530,62782.0,6750733.0
2018-09-10,9300,9390,9150,9250,9175,62444.0,6750733.0
2018-09-11,9250,9300,9140,9230,9328,62309.0,6750733.0
2018-09-12,9230,9230,9170,9210,6154,62174.0,6750733.0
2018-09-13,9210,9270,9020,9100,11931,61432.0,6750733.0
2018-09-14,9040,9190,9000,9000,41752,60757.0,6750733.0
2018-09-17,7200,7300,6920,7290,652477,49213.0,6750733.0
2018-09-18,7400,7400,7140,7230,119682,48808.0,6750733.0
2018-09-19,7200,7270,7010,7060,127015,47660.0,6750733.0
2018-09-20,7140,7140,6780,6940,131389,46850.0,6750733.0
2018-09-21,6950,7100,6750,7010,170433,47323.0,6750733.0
2018-09-27,6980,7080,6930,7000,72647,47255.0,6750733.0
2018-09-28,7030,7030,6960,7020,42073,47390.0,6750733.0
2018-10-01,7080,7080,6950,7030,70439,47458.0,6750733.0
2018-10-02,6990,7060,6970,6970,40506,47053.0,6750733.0
2018-10-04,6970,7030,6900,6900,42528,46580.0,6750733.0
2018-10-05,6950,6950,6850,6890,27372,46513.0,6750733.0
2018-10-08,6800,6980,6800,6860,28016,46310.0,6750733.0
2018-10-10,6890,6890,6750,6770,72621,45702.0,6750733.0
2018-10-11,6600,6710,6400,6400,57984,43205.0,6750733.0
2018-10-12,6310,6680,6310,6680,50401,45095.0,6750733.0
2018-10-15,6880,7070,6660,6790,19419,45837.0,6750733.0
2018-10-16,6790,6900,6660,6850,12254,46243.0,6750733.0
2018-10-17,6860,7000,6820,6950,25708,46918.0,6750733.0
2018-10-18,0,0,0,6950,0,46918.0,6750733.0
2018-10-19,6900,7070,6710,6970,15525,47053.0,6750733.0
2018-10-22,6970,6980,6880,6930,9519,46783.0,6750733.0
2018-10-23,6970,6970,6770,6870,20374,46378.0,6750733.0
2018-10-24,6870,6990,6660,6790,15699,45837.0,6750733.0
2018-10-25,6700,6790,6530,6750,20296,45567.0,6750733.0
2018-10-26,6750,6800,6350,6350,20843,42867.0,6750733.0
2018-10-29,6140,6350,5950,5950,23493,40167.0,6750733.0
2018-10-30,5710,6120,5690,6100,31283,41179.0,6750733.0
2018-10-31,6050,6410,6050,6310,13410,42597.0,6750733.0
2018-11-01,6420,6800,6400,6780,26878,45770.0,6750733.0
2018-11-02,6750,6980,6750,6820,30824,46040.0,6750733.0
2018-11-05,6800,6940,6790,6890,13389,46513.0,6750733.0
2018-11-06,6890,7000,6890,6950,14441,46918.0,6750733.0
2018-11-07,7000,7020,6890,6950,36714,46918.0,6750733.0
2018-11-08,6960,7070,6950,7020,26617,47390.0,6750733.0
2018-11-09,7030,7050,6900,7020,6781,47390.0,6750733.0
2018-11-12,6940,7020,6810,6900,8018,46580.0,6750733.0
2018-11-13,6810,6940,6770,6830,5019,46108.0,6750733.0
2018-11-14,6870,6870,6750,6780,8552,45770.0,6750733.0
2018-11-15,6750,6910,6740,6900,18680,46580.0,6750733.0
2018-11-16,7000,7020,6870,6960,1947,46985.0,6750733.0
2018-11-19,6990,7040,6860,7000,3758,47255.0,6750733.0
2018-11-20,7000,7000,6850,6920,2296,46715.0,6750733.0
2018-11-21,6930,6930,6770,6870,4459,46378.0,6750733.0
2018-11-22,6870,6900,6710,6800,3990,45905.0,6750733.0
2018-11-23,6680,6870,6680,6830,13229,46108.0,6750733.0
2018-11-26,6900,6920,6740,6780,4568,45770.0,6750733.0
2018-11-27,6800,6800,6650,6710,5769,45297.0,6750733.0
2018-11-28,6710,6840,6650,6710,6599,45297.0,6750733.0
2018-11-29,6780,6780,6610,6700,10026,45230.0,6750733.0
2018-11-30,6700,6710,6620,6690,6991,45162.0,6750733.0
2018-12-03,6700,6740,6590,6660,11658,44960.0,6750733.0
2018-12-04,6660,6670,6440,6470,23732,43677.0,6750733.0
2018-12-05,6300,6480,6290,6400,10137,43205.0,6750733.0
2018-12-06,6400,6400,6200,6340,7340,42800.0,6750733.0
2018-12-07,6340,6530,6280,6520,11644,44015.0,6750733.0
2018-12-10,6520,6550,6320,6550,14946,44217.0,6750733.0
2018-12-11,6660,8390,6660,7750,1619522,52318.0,6750733.0
2018-12-12,7810,8110,7550,8110,322896,54748.0,6750733.0
2018-12-13,8180,8300,7730,7930,164829,53533.0,6750733.0
2018-12-14,7870,7980,7490,7560,113383,51036.0,6750733.0
2018-12-17,7460,7570,7160,7300,86570,49280.0,6750733.0
2018-12-18,7300,7300,6990,7270,55038,49078.0,6750733.0
2018-12-19,7320,7340,7110,7160,53709,48335.0,6750733.0
2018-12-20,7080,7100,6800,6800,51592,45905.0,6750733.0
2018-12-21,6720,7040,6700,6800,32504,45905.0,6750733.0
2018-12-24,6670,6770,6420,6420,52690,43340.0,6750733.0
2018-12-26,6370,6390,6080,6180,37874,41720.0,6750733.0
2018-12-27,6210,6290,6090,6090,36191,41112.0,6750733.0
2018-12-28,6190,6460,6110,6390,22967,43137.0,6750733.0
2019-01-02,6490,6490,6250,6250,11722,42192.0,6750733.0
2019-01-03,6250,6350,6130,6170,11879,41652.0,6750733.0
2019-01-04,6170,6170,5860,6090,44077,41112.0,6750733.0
2019-01-07,6090,6250,6090,6150,9362,41517.0,6750733.0
2019-01-08,6280,6280,6100,6160,9178,41585.0,6750733.0
2019-01-09,6170,6360,6140,6350,22681,42867.0,6750733.0
2019-01-10,6350,6700,6350,6470,27345,43677.0,6750733.0
2019-01-11,6470,6680,6420,6580,12844,44420.0,6750733.0
2019-01-14,6580,6750,6560,6700,16941,45230.0,6750733.0
2019-01-15,6610,6840,6600,6690,15523,45162.0,6750733.0
2019-01-16,6780,6780,6350,6580,37251,44420.0,6750733.0
2019-01-17,6650,6650,6500,6540,9122,44150.0,6750733.0
2019-01-18,6690,6780,6460,6760,19951,45635.0,6750733.0
2019-01-21,6760,6830,6740,6810,11105,45972.0,6750733.0
2019-01-22,6800,6910,6620,6870,21624,46378.0,6750733.0
2019-01-23,6760,6900,6760,6800,12122,45905.0,6750733.0
2019-01-24,6890,6890,6700,6800,5509,45905.0,6750733.0
2019-01-25,6730,6860,6700,6830,9026,46108.0,6750733.0
2019-01-28,6880,6920,6760,6880,13252,46445.0,6750733.0
2019-01-29,6800,6970,6800,6880,15349,46445.0,6750733.0
2019-01-30,6800,7000,6800,7000,16409,47255.0,6750733.0
2019-01-31,7000,7000,6880,6880,8504,46445.0,6750733.0
2019-02-01,6950,7000,6820,6890,5779,46513.0,6750733.0
2019-02-07,7010,7010,6820,6920,5169,46715.0,6750733.0
2019-02-08,6900,7020,6870,6980,9735,47120.0,6750733.0
2019-02-11,7040,7100,6810,7090,14053,47863.0,6750733.0
2019-02-12,7000,7120,6970,7120,10650,48065.0,6750733.0
2019-02-13,7120,7220,7000,7140,12410,48200.0,6750733.0
2019-02-14,7200,7200,7060,7170,8384,48403.0,6750733.0
2019-02-15,7170,7210,7090,7180,23600,48470.0,6750733.0
2019-02-18,7190,7240,7130,7240,17355,48875.0,6750733.0
2019-02-19,7450,9180,7410,8650,2102203,58394.0,6750733.0
2019-02-20,8450,8570,8270,8470,331886,57179.0,6750733.0
2019-02-21,8640,9130,8050,8350,630315,56369.0,6750733.0
2019-02-22,8210,8370,8090,8340,93673,56301.0,6750733.0
2019-02-25,8400,8400,7940,7970,120201,53803.0,6750733.0
2019-02-26,8000,8310,7880,8300,123428,56031.0,6750733.0
2019-02-27,8300,8400,8150,8180,66668,55221.0,6750733.0
2019-02-28,8180,8250,7600,7800,65569,52656.0,6750733.0
