아이디스(143160),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-11-29,10281,10281,10023,10153,2074,97845.0,3106200.0
2011-11-30,10313,10410,9685,9686,10742,93341.0,3106200.0
2011-12-01,9669,10571,9669,10314,14463,99398.0,3106200.0
2011-12-02,10523,10523,10039,10121,2841,97535.0,3106200.0
2011-12-05,10265,10265,9991,10201,4286,98311.0,3106200.0
2011-12-06,10265,10265,10023,10056,1954,96913.0,3106200.0
2011-12-07,10329,10329,10072,10137,1996,97690.0,3106200.0
2011-12-08,10023,10136,9749,9911,4126,95516.0,3106200.0
2011-12-09,9749,10007,9685,9976,4970,96137.0,3106200.0
2011-12-12,9894,10217,9862,9863,1299,95050.0,3106200.0
2011-12-13,9959,9959,9701,9702,2185,93497.0,3106200.0
2011-12-14,9685,9975,9572,9831,3190,94739.0,3106200.0
2011-12-15,10152,10781,9524,9831,6268,94739.0,3106200.0
2011-12-16,9830,10297,9637,9798,3208,94428.0,3106200.0
2011-12-19,9669,9798,8831,9476,8817,91322.0,3106200.0
2011-12-20,9927,9927,9572,9782,2884,94273.0,3106200.0
2011-12-21,9975,9975,9653,9750,5871,93963.0,3106200.0
2011-12-22,9556,9862,9556,9863,566,95050.0,3106200.0
2011-12-23,9927,10104,9830,10040,1835,96758.0,3106200.0
2011-12-26,10458,10458,10023,10153,1268,97845.0,3106200.0
2011-12-27,10217,10217,9943,10056,4771,96913.0,3106200.0
2011-12-28,10765,11554,10410,10636,31869,102505.0,3106200.0
2011-12-29,10926,11732,10539,11249,15430,108406.0,3106200.0
2012-01-02,11748,12392,11248,11490,22943,110736.0,3106200.0
2012-01-03,11506,11716,10684,10959,10193,105611.0,3106200.0
2012-01-04,10829,10861,10571,10572,9896,101883.0,3106200.0
2012-01-05,10475,10620,10201,10540,14469,101573.0,3106200.0
2012-01-06,10442,11055,10394,10942,7704,105455.0,3106200.0
2012-01-09,10942,11280,10668,11104,5471,107009.0,3106200.0
2012-01-10,11103,11232,10894,11233,3564,108251.0,3106200.0
2012-01-11,11345,11345,10974,11216,3541,108096.0,3106200.0
2012-01-12,10990,11377,10845,11362,4472,109494.0,3106200.0
2012-01-13,11361,11393,11022,11362,3515,109494.0,3106200.0
2012-01-16,11280,11635,11152,11442,5493,110270.0,3106200.0
2012-01-17,11619,11619,11442,11474,3940,110581.0,3106200.0
2012-01-18,11409,11635,11377,11378,3104,109649.0,3106200.0
2012-01-19,11393,11764,11393,11668,6371,112444.0,3106200.0
2012-01-20,11538,11828,11538,11700,6180,112755.0,3106200.0
2012-01-25,11603,11957,11570,11926,5210,114929.0,3106200.0
2012-01-26,11925,13472,11925,12248,16854,118036.0,3106200.0
2012-01-27,12247,12860,12070,12377,9969,119278.0,3106200.0
2012-01-30,12167,12714,12102,12683,5350,122229.0,3106200.0
2012-01-31,12811,13182,12682,12828,8174,123627.0,3106200.0
2012-02-01,12844,13101,12844,13021,6610,125490.0,3106200.0
2012-02-02,13085,13182,12489,12925,11300,124559.0,3106200.0
2012-02-03,13005,13311,12602,13167,10725,126888.0,3106200.0
2012-02-06,13182,14246,13037,13489,12214,129994.0,3106200.0
2012-02-07,13682,13795,13375,13795,5730,132945.0,3106200.0
2012-02-08,13665,14342,13601,14262,15357,137449.0,3106200.0
2012-02-09,14052,14278,13875,13940,8962,134343.0,3106200.0
2012-02-10,13730,14052,13327,13859,4845,133567.0,3106200.0
2012-02-13,13859,14020,12940,13344,8022,128597.0,3106200.0
2012-02-14,13504,13504,12747,12925,12536,124559.0,3106200.0
2012-02-15,12860,13214,12698,13151,7438,126733.0,3106200.0
2012-02-16,13214,13214,12956,13021,4299,125490.0,3106200.0
2012-02-17,13005,13182,12876,13086,7458,126112.0,3106200.0
2012-02-20,13085,13408,13053,13183,8419,127044.0,3106200.0
2012-02-21,13214,13472,12892,13473,4364,129839.0,3106200.0
2012-02-22,13408,13601,13279,13537,4075,130460.0,3106200.0
2012-02-23,13665,14004,13472,13859,2464,133567.0,3106200.0
2012-02-24,13891,14052,13746,14005,2868,134964.0,3106200.0
2012-02-27,14052,14503,13875,14133,3727,136207.0,3106200.0
2012-02-28,13891,14342,13891,13956,2394,134498.0,3106200.0
2012-02-29,13891,14085,13698,14085,1882,135741.0,3106200.0
2012-03-02,14310,14665,13665,14504,3849,139779.0,3106200.0
2012-03-05,14503,14697,14407,14649,2606,141177.0,3106200.0
2012-03-06,14649,14713,14262,14617,1088,140866.0,3106200.0
2012-03-07,13327,14633,13327,14311,1368,137915.0,3106200.0
2012-03-08,14359,14503,14069,14279,312,137605.0,3106200.0
2012-03-09,14246,14278,13875,13876,3135,133722.0,3106200.0
2012-03-12,13923,14729,13923,14182,4042,136673.0,3106200.0
2012-03-13,14342,14987,14342,14955,6196,144128.0,3106200.0
2012-03-14,14955,15422,14697,15149,4247,145991.0,3106200.0
2012-03-15,14987,15277,14955,15262,660,147079.0,3106200.0
2012-03-16,15148,17114,15148,16406,16615,158106.0,3106200.0
2012-03-19,16695,17759,16180,17727,11984,170841.0,3106200.0
2012-03-20,17823,18210,17243,17534,4540,168977.0,3106200.0
2012-03-21,17662,17662,16921,17566,3289,169288.0,3106200.0
2012-03-22,17276,18532,17179,18307,17322,176432.0,3106200.0
2012-03-23,18307,18307,16099,16180,20252,155931.0,3106200.0
2012-03-26,16244,16889,15487,16019,5489,154378.0,3106200.0
2012-03-27,15793,16438,15664,16084,2938,154999.0,3106200.0
2012-03-28,15889,16180,15889,15955,4381,153757.0,3106200.0
2012-03-29,15825,16051,15712,15794,4750,152204.0,3106200.0
2012-03-30,15648,15922,15648,15761,6496,151893.0,3106200.0
2012-04-02,15761,15793,15341,15520,3777,149564.0,3106200.0
2012-04-03,15535,15793,15535,15777,9256,152048.0,3106200.0
2012-04-04,15777,15793,15245,15616,1103,150495.0,3106200.0
2012-04-05,15309,15793,15309,15568,413,150029.0,3106200.0
2012-04-06,15761,15793,15470,15568,4723,150029.0,3106200.0
2012-04-09,15777,15777,15374,15471,2415,149098.0,3106200.0
2012-04-10,15132,15470,14939,14955,3024,144128.0,3106200.0
2012-04-12,15132,15132,14842,15036,183,144904.0,3106200.0
2012-04-13,15148,16115,14987,15149,737,145991.0,3106200.0
2012-04-16,15261,15309,15003,15149,215,145991.0,3106200.0
2012-04-17,15148,15148,14503,15149,529,145991.0,3106200.0
2012-04-18,15213,15277,15003,15165,998,146147.0,3106200.0
2012-04-19,15164,15164,15035,15133,3309,145836.0,3106200.0
2012-04-20,15132,15132,15067,15133,762,145836.0,3106200.0
2012-04-23,14987,15422,14906,15310,1989,147544.0,3106200.0
2012-04-24,15309,15309,15116,15181,2822,146302.0,3106200.0
2012-04-25,15180,15712,15180,15487,5943,149253.0,3106200.0
2012-04-26,15503,15599,15422,15423,1034,148632.0,3106200.0
2012-04-27,15422,15454,15051,15149,2130,145991.0,3106200.0
2012-04-30,15148,15438,14665,14955,2933,144128.0,3106200.0
2012-05-02,14955,15164,14906,15036,1450,144904.0,3106200.0
2012-05-03,15051,15567,15035,15568,5066,150029.0,3106200.0
2012-05-04,15551,15567,15277,15536,3438,149719.0,3106200.0
2012-05-07,15535,15535,15051,15246,1479,146923.0,3106200.0
2012-05-08,15084,15857,15084,15681,1457,151117.0,3106200.0
2012-05-09,16244,16244,15374,15391,2305,148321.0,3106200.0
2012-05-10,15470,15470,15051,15052,1473,145060.0,3106200.0
2012-05-11,15148,15309,14842,15278,2650,147234.0,3106200.0
2012-05-14,15261,15261,15003,15020,185,144749.0,3106200.0
2012-05-15,15245,15245,14197,14665,3806,141332.0,3106200.0
2012-05-16,14181,15132,14020,14262,1947,137449.0,3106200.0
2012-05-17,13956,15197,13956,14730,564,141953.0,3106200.0
2012-05-18,14407,14890,14181,14407,419,138847.0,3106200.0
2012-05-21,14375,14487,13069,13070,6330,125956.0,3106200.0
2012-05-22,12892,13537,11168,13521,20752,130305.0,3106200.0
2012-05-23,13843,13843,13327,13698,1068,132014.0,3106200.0
2012-05-24,13440,14310,13392,14069,946,135586.0,3106200.0
2012-05-25,13827,14649,13827,14246,130,137294.0,3106200.0
2012-05-29,13795,14262,13795,14214,1310,136983.0,3106200.0
2012-05-30,14213,14342,13859,13940,237,134343.0,3106200.0
2012-05-31,14213,14213,13795,14117,28,136052.0,3106200.0
2012-06-01,14117,14117,13537,13956,80591,134498.0,3106200.0
2012-06-04,13859,14181,13537,14085,6549,135741.0,3106200.0
2012-06-05,14181,15132,13827,15133,2729,145836.0,3106200.0
2012-06-07,15390,15390,14777,15068,922,145215.0,3106200.0
2012-06-08,15438,15438,14342,14343,1482,138226.0,3106200.0
2012-06-11,15084,15406,14213,14359,903,138381.0,3106200.0
2012-06-12,14681,14745,13859,14472,5916,139468.0,3106200.0
2012-06-13,14503,15067,14310,14311,2829,137915.0,3106200.0
2012-06-14,14085,14536,14085,14536,1525,140090.0,3106200.0
2012-06-15,14955,14987,14375,14536,552,140090.0,3106200.0
2012-06-18,14536,14536,14229,14343,845,138226.0,3106200.0
2012-06-19,14697,14697,14181,14488,1722,139624.0,3106200.0
2012-06-20,14391,14633,14117,14488,13020,139624.0,3106200.0
2012-06-21,14568,14568,14165,14166,4306,136517.0,3106200.0
2012-06-22,13827,14149,13537,13650,11402,131548.0,3106200.0
2012-06-25,13714,14052,13375,13989,4872,134809.0,3106200.0
2012-06-26,13875,14052,13504,13956,5908,134498.0,3106200.0
2012-06-27,13956,13956,13537,13811,5212,133101.0,3106200.0
2012-06-28,13875,14342,13537,14343,7496,138226.0,3106200.0
2012-06-29,14342,14761,14294,14762,2872,142264.0,3106200.0
2012-07-02,14665,15084,14552,14762,381,142264.0,3106200.0
2012-07-03,14777,15148,14665,14955,1114,144128.0,3106200.0
2012-07-04,14955,15100,14471,14472,720,139468.0,3106200.0
2012-07-05,14536,14536,14197,14440,248,139158.0,3106200.0
2012-07-06,14310,14503,14310,14440,324,139158.0,3106200.0
2012-07-09,14439,14439,14149,14391,191,138692.0,3106200.0
2012-07-10,14503,14503,14181,14391,3432,138692.0,3106200.0
2012-07-11,14391,14423,13859,14295,2102,137760.0,3106200.0
2012-07-12,13988,14423,13988,14407,435,138847.0,3106200.0
2012-07-13,13972,14149,13746,13811,7837,133101.0,3106200.0
2012-07-16,13811,14213,13537,14182,4251,136673.0,3106200.0
2012-07-17,14181,14213,13762,14021,6030,135120.0,3106200.0
2012-07-18,14181,14310,13923,14295,3372,137760.0,3106200.0
2012-07-19,15309,15309,14052,14295,1459,137760.0,3106200.0
2012-07-20,14278,14407,13972,14391,907,138692.0,3106200.0
2012-07-23,14246,14391,14181,14343,1089,138226.0,3106200.0
2012-07-24,14342,14455,13923,14440,1937,139158.0,3106200.0
2012-07-25,14342,14471,14101,14423,981,139002.0,3106200.0
2012-07-26,14503,14503,14181,14423,2025,139002.0,3106200.0
2012-07-27,14423,14793,14342,14649,3579,141177.0,3106200.0
2012-07-30,14600,14600,14536,14536,89,140090.0,3106200.0
2012-07-31,14633,14923,14487,14827,13475,142885.0,3106200.0
2012-08-01,14906,14906,14584,14585,808,140556.0,3106200.0
2012-08-02,14503,14810,14503,14504,137,139779.0,3106200.0
2012-08-03,14359,14503,14359,14488,476,139624.0,3106200.0
2012-08-06,14455,14503,14294,14440,501,139158.0,3106200.0
2012-08-07,14697,14697,14342,14504,2082,139779.0,3106200.0
2012-08-08,14633,14745,14503,14665,1286,141332.0,3106200.0
2012-08-09,14503,14665,14391,14601,812,140711.0,3106200.0
2012-08-10,15067,15067,14262,14488,1279,139624.0,3106200.0
2012-08-13,14487,14487,14342,14472,437,139468.0,3106200.0
2012-08-14,14455,14503,14375,14472,1059,139468.0,3106200.0
2012-08-16,14503,14503,14246,14359,57,138381.0,3106200.0
2012-08-17,14359,14503,14246,14504,8242,139779.0,3106200.0
2012-08-20,14665,14665,14294,14504,8240,139779.0,3106200.0
2012-08-21,14503,14503,14278,14423,4538,139002.0,3106200.0
2012-08-22,14536,14536,14213,14472,5365,139468.0,3106200.0
2012-08-23,14616,14633,14262,14472,2682,139468.0,3106200.0
2012-08-24,14471,14649,14262,14279,3415,137605.0,3106200.0
2012-08-27,14342,14649,14294,14601,2472,140711.0,3106200.0
2012-08-28,14600,14665,14407,14601,982,140711.0,3106200.0
2012-08-29,14971,14971,14600,14617,202,140866.0,3106200.0
2012-08-30,14439,14633,14439,14536,328,140090.0,3106200.0
2012-08-31,14761,14761,14375,14665,716,141332.0,3106200.0
2012-09-03,14503,14987,14503,14859,4283,143196.0,3106200.0
2012-09-04,14858,16438,14858,15020,5154,144749.0,3106200.0
2012-09-05,14826,15357,14826,15358,1382,148010.0,3106200.0
2012-09-06,15357,16002,15357,15794,2373,152204.0,3106200.0
2012-09-07,15793,16051,15535,16003,2012,154223.0,3106200.0
2012-09-10,16244,16244,15954,16068,931,154844.0,3106200.0
2012-09-11,16067,16760,15793,16470,4485,158727.0,3106200.0
2012-09-12,16438,17308,16438,17083,4430,164629.0,3106200.0
2012-09-13,17372,17372,16599,16889,1786,162765.0,3106200.0
2012-09-14,16889,17211,16792,16889,3157,162765.0,3106200.0
2012-09-17,16824,17243,16824,17083,3441,164629.0,3106200.0
2012-09-18,17404,17501,16760,17469,2359,168356.0,3106200.0
2012-09-19,17533,17727,17340,17663,2094,170220.0,3106200.0
2012-09-20,18307,18339,17598,18179,1917,175190.0,3106200.0
2012-09-21,18210,19338,18210,18437,3292,177675.0,3106200.0
2012-09-24,18790,19177,18371,19145,3323,184508.0,3106200.0
2012-09-25,19338,19338,18404,18404,1871,177364.0,3106200.0
2012-09-26,18113,18565,17791,18146,1052,174879.0,3106200.0
2012-09-27,18146,18371,17888,18307,1709,176432.0,3106200.0
2012-09-28,18371,18855,18371,18694,1099,180160.0,3106200.0
2012-10-02,18694,18790,18307,18404,1178,177364.0,3106200.0
2012-10-04,18436,18694,18049,18630,2230,179538.0,3106200.0
2012-10-05,18629,19789,18049,19758,5907,190410.0,3106200.0
2012-10-08,19983,20885,19338,19403,4182,186993.0,3106200.0
2012-10-09,19371,20079,19338,19983,765,192584.0,3106200.0
2012-10-10,20144,20144,19306,19468,1121,187614.0,3106200.0
2012-10-11,19048,19499,19048,19500,1218,187925.0,3106200.0
2012-10-12,19499,19661,19306,19500,931,187925.0,3106200.0
2012-10-15,19403,19789,19145,19468,4439,187614.0,3106200.0
2012-10-16,19241,20789,19177,20660,88838,199107.0,3106200.0
2012-10-17,20756,21562,20466,20628,3926,198797.0,3106200.0
2012-10-18,20627,20660,20112,20564,2814,198176.0,3106200.0
2012-10-19,20595,20595,20112,20564,1302,198176.0,3106200.0
2012-10-22,20531,20563,20241,20564,586,198176.0,3106200.0
2012-10-23,21240,21240,20531,20564,931,198176.0,3106200.0
2012-10-24,20563,20627,20112,20564,2231,198176.0,3106200.0
2012-10-25,20563,20853,20402,20757,3590,200039.0,3106200.0
2012-10-26,21594,22561,20853,22562,30357,217434.0,3106200.0
2012-10-29,22400,22561,21594,21660,6276,208737.0,3106200.0
2012-10-30,21272,22014,21014,21627,5696,208426.0,3106200.0
2012-10-31,21691,22400,21272,22304,12555,214949.0,3106200.0
2012-11-01,22304,23367,21659,21660,7086,208737.0,3106200.0
2012-11-02,21756,22916,21756,22530,9877,217123.0,3106200.0
2012-11-05,23174,23174,22175,22852,3962,220230.0,3106200.0
2012-11-06,23303,23818,22594,23561,14372,227063.0,3106200.0
2012-11-07,23270,23528,22948,23174,3572,223336.0,3106200.0
2012-11-08,23174,23593,22755,22755,2989,219298.0,3106200.0
2012-11-09,23174,23238,22271,22465,6264,216502.0,3106200.0
2012-11-12,22465,22529,21788,21918,7055,211222.0,3106200.0
2012-11-13,21949,22207,21111,21434,8054,206562.0,3106200.0
2012-11-14,21208,21369,20144,20596,6165,198486.0,3106200.0
2012-11-15,19919,21433,19919,21370,10702,205941.0,3106200.0
2012-11-16,21369,21433,20627,21176,4190,204077.0,3106200.0
2012-11-19,21401,21401,21014,21402,2717,206252.0,3106200.0
2012-11-20,21272,21788,21272,21724,17527,209358.0,3106200.0
2012-11-21,21691,21852,21014,21015,6444,202524.0,3106200.0
2012-11-22,21369,22336,21143,22175,6304,213707.0,3106200.0
2012-11-23,22271,23174,22046,22884,11786,220540.0,3106200.0
2012-11-26,22465,24463,22465,23078,5876,222404.0,3106200.0
2012-11-27,23915,23915,22400,23110,3566,222715.0,3106200.0
2012-11-28,23142,23560,22658,23271,2292,224268.0,3106200.0
2012-11-29,23270,23496,22722,22981,1344,221472.0,3106200.0
2012-11-30,22980,23206,21917,22981,14096,221472.0,3106200.0
2012-12-03,23206,24012,22884,23658,2020,227995.0,3106200.0
2012-12-04,23109,23851,23109,23658,5661,227995.0,3106200.0
2012-12-05,23690,23851,23174,23787,4559,229238.0,3106200.0
2012-12-06,23528,24141,23045,23529,1746,226753.0,3106200.0
2012-12-07,22755,23657,22755,23368,4533,225200.0,3106200.0
2012-12-10,23013,23851,22980,23368,3183,225200.0,3106200.0
2012-12-11,23303,23947,23045,23110,2718,222715.0,3106200.0
2012-12-12,23270,23528,23045,23400,1617,225510.0,3106200.0
2012-12-13,23399,23851,23045,23561,4544,227063.0,3106200.0
2012-12-14,23980,23980,23303,23819,1299,229548.0,3106200.0
2012-12-17,23432,23947,23432,23916,1131,230480.0,3106200.0
2012-12-18,23625,24495,23303,23948,2207,230791.0,3106200.0
2012-12-20,23883,24334,23657,24013,2424,231412.0,3106200.0
2012-12-21,24012,24270,23980,24045,1293,231723.0,3106200.0
2012-12-24,24108,24141,23238,23948,2135,230791.0,3106200.0
2012-12-26,23593,23980,23206,23400,4879,225510.0,3106200.0
2012-12-27,23754,23754,23174,23529,1377,226753.0,3106200.0
2012-12-28,23754,23980,23528,23980,2134,231101.0,3106200.0
2013-01-02,23980,24173,23947,24045,2733,231723.0,3106200.0
2013-01-03,24237,24431,23947,23980,5309,231101.0,3106200.0
2013-01-04,23786,24141,23786,24045,2879,231723.0,3106200.0
2013-01-07,24044,24431,23883,24238,2965,233586.0,3106200.0
2013-01-08,24237,24560,23690,23883,3658,230169.0,3106200.0
2013-01-09,23818,24399,23657,24303,1921,234207.0,3106200.0
2013-01-10,24624,24624,23851,23916,2200,230480.0,3106200.0
2013-01-11,23786,24141,23367,23626,2767,227684.0,3106200.0
2013-01-14,23690,24366,23367,24367,8402,234829.0,3106200.0
2013-01-15,24495,24495,23657,23948,9540,230791.0,3106200.0
2013-01-16,24108,24366,24012,24045,3006,231723.0,3106200.0
2013-01-17,24173,24689,24108,24367,8641,234829.0,3106200.0
2013-01-18,24463,24850,24237,24786,19628,238867.0,3106200.0
2013-01-21,26010,27074,24592,24754,39543,238556.0,3106200.0
2013-01-22,24818,25108,24399,24528,9700,236382.0,3106200.0
2013-01-23,24366,24495,23238,24206,16277,233276.0,3106200.0
2013-01-24,24076,24205,23690,23723,5383,228616.0,3106200.0
2013-01-25,23625,24173,23625,23851,7378,229859.0,3106200.0
2013-01-28,23915,24012,23367,23690,5810,228306.0,3106200.0
2013-01-29,23560,23851,23206,23690,6975,228306.0,3106200.0
2013-01-30,23915,23915,23432,23723,3010,228616.0,3106200.0
2013-01-31,23722,24044,23593,24013,5538,231412.0,3106200.0
2013-02-01,23915,24302,23722,23883,8433,230169.0,3106200.0
2013-02-04,24141,24141,23690,23787,3301,229238.0,3106200.0
2013-02-05,23915,23915,23528,23819,1690,229548.0,3106200.0
2013-02-06,23625,23980,23560,23787,1907,229238.0,3106200.0
2013-02-07,23851,23851,23303,23787,7210,229238.0,3106200.0
2013-02-08,23560,23915,23560,23851,2670,229859.0,3106200.0
2013-02-12,23947,24527,23625,24335,9187,234518.0,3106200.0
2013-02-13,24721,25043,24205,24431,11232,235450.0,3106200.0
2013-02-14,24785,24979,23786,24174,21900,232965.0,3106200.0
2013-02-15,24366,25752,24076,25592,12969,246632.0,3106200.0
2013-02-18,26429,26751,25623,26333,23248,253777.0,3106200.0
2013-02-19,26566,26566,25164,25365,19449,236071.0,3106200.0
2013-02-20,25365,25365,24731,24831,11620,231101.0,3106200.0
2013-02-21,24697,25064,24697,24931,3671,232033.0,3106200.0
2013-02-22,24797,25365,24697,25365,5087,236071.0,3106200.0
2013-02-25,25665,26299,25532,25966,11823,241662.0,3106200.0
2013-02-26,26166,26733,25999,26600,7772,247564.0,3106200.0
2013-02-27,26933,26933,26366,26500,2344,246632.0,3106200.0
2013-02-28,26299,26867,26299,26667,2300,248185.0,3106200.0
2013-03-04,26600,26700,25832,25999,4696,241973.0,3106200.0
2013-03-05,26032,26232,25632,25999,3714,241973.0,3106200.0
2013-03-06,26032,26166,25365,25565,8273,237935.0,3106200.0
2013-03-07,25365,25565,24931,25198,8924,234518.0,3106200.0
2013-03-08,25231,25598,25198,25499,2856,237314.0,3106200.0
2013-03-11,25265,25598,25031,25132,4030,233897.0,3106200.0
2013-03-12,25431,25465,25131,25265,1566,235139.0,3106200.0
2013-03-13,25198,25532,25098,25365,4063,236071.0,3106200.0
2013-03-14,25565,25965,25465,25933,5888,241352.0,3106200.0
2013-03-15,26099,26867,26032,26700,71080,248496.0,3106200.0
2013-03-18,27167,27200,26399,26433,8963,246011.0,3106200.0
2013-03-19,26433,26566,26232,26500,11568,246632.0,3106200.0
2013-03-20,26566,27167,26433,26767,8708,249117.0,3106200.0
2013-03-21,26533,27167,26533,26800,4176,249428.0,3106200.0
2013-03-22,26800,28001,26767,27568,13629,256572.0,3106200.0
2013-03-25,27868,27901,27401,27802,4091,258746.0,3106200.0
2013-03-26,27801,28035,27467,27702,3937,257815.0,3106200.0
2013-03-27,27935,27935,27134,27635,3432,257193.0,3106200.0
2013-03-28,27668,27835,27301,27368,4549,254708.0,3106200.0
2013-03-29,27200,27367,26800,26867,7392,250049.0,3106200.0
2013-04-01,26867,27267,26366,26667,6888,248185.0,3106200.0
2013-04-02,26566,26733,26399,26533,6800,246943.0,3106200.0
2013-04-03,26700,27167,26566,27034,7081,251602.0,3106200.0
2013-04-04,27267,27267,26199,26533,9559,246943.0,3106200.0
2013-04-05,26800,26800,26199,26533,4007,246943.0,3106200.0
2013-04-08,26600,26900,26366,26567,14315,247254.0,3106200.0
2013-04-09,26733,30371,25532,25766,11646,239799.0,3106200.0
2013-04-10,25632,26299,25632,26033,3951,242284.0,3106200.0
2013-04-11,25999,26266,25899,25999,8815,241973.0,3106200.0
2013-04-12,25999,26333,25865,26200,8203,243837.0,3106200.0
2013-04-15,26299,26700,26132,26700,7077,248496.0,3106200.0
2013-04-16,26500,27034,26299,26667,9895,248185.0,3106200.0
2013-04-17,26967,26967,26399,26634,4467,247875.0,3106200.0
2013-04-18,26633,26700,26466,26700,6852,248496.0,3106200.0
2013-04-19,26733,26767,25832,26233,11772,244147.0,3106200.0
2013-04-22,26166,26900,26166,26700,14831,248496.0,3106200.0
2013-04-23,26700,27267,26299,26533,36630,246943.0,3106200.0
2013-04-24,26767,26900,26366,26500,35420,246632.0,3106200.0
2013-04-25,28000,28500,26250,26400,197014,82004.0,3106200.0
2013-04-26,26400,26600,24950,25100,93295,77966.0,3106200.0
2013-04-29,24900,25100,23800,24000,138867,74549.0,3106200.0
2013-04-30,24000,24650,23900,24350,78535,75636.0,3106200.0
2013-05-02,24400,24500,23850,24100,45067,74859.0,3106200.0
2013-05-03,24200,24300,23950,23950,31250,74393.0,3106200.0
2013-05-06,24100,24350,23950,24100,27009,74859.0,3106200.0
2013-05-07,23950,24250,23650,24250,51915,75325.0,3106200.0
2013-05-08,24350,26050,24300,26050,78202,80917.0,3106200.0
2013-05-09,27000,27950,26300,26900,115218,96090.0,3572130.0
2013-05-10,26900,26900,25900,25900,42289,92518.0,3572130.0
2013-05-13,25600,26300,24950,25950,38653,92697.0,3572130.0
2013-05-14,25400,25900,24850,25650,37981,91625.0,3572130.0
2013-05-15,25050,26200,25050,25900,21056,92518.0,3572130.0
2013-05-16,25500,26150,25350,26050,43789,93054.0,3572130.0
2013-05-20,26050,26400,25400,25500,27917,91089.0,3572130.0
2013-05-21,24750,25200,24100,25000,157534,267910.0,10716390.0
2013-05-22,25000,25250,24800,25000,48580,267910.0,10716390.0
2013-05-23,25150,26150,25050,25850,77959,277019.0,10716390.0
2013-05-24,25900,26350,25500,25650,38629,274875.0,10716390.0
2013-05-27,25450,25700,24900,25200,51331,270053.0,10716390.0
2013-05-28,25200,26550,25200,26400,49398,282913.0,10716390.0
2013-05-29,26600,27100,26350,26850,72755,287735.0,10716390.0
2013-05-30,26450,27300,26000,26000,42393,278626.0,10716390.0
2013-05-31,25850,27000,25200,27000,69624,289343.0,10716390.0
2013-06-03,26850,26850,26050,26200,33524,280769.0,10716390.0
2013-06-04,26250,26450,25600,26400,38245,282913.0,10716390.0
2013-06-05,26600,26600,25750,25750,21766,275947.0,10716390.0
