에이피티씨(089970),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-04-25,7100,7560,7020,7120,389464,165430.0,23234595.0
2019-04-26,7000,7120,6530,6770,449600,157298.0,23234595.0
2019-04-29,6840,6840,6570,6740,120926,156601.0,23234595.0
2019-04-30,6650,6830,6500,6780,226800,157531.0,23234595.0
2019-05-02,6730,7020,6550,7000,272223,162642.0,23234595.0
2019-05-03,6900,7120,6900,7090,129151,164733.0,23234595.0
2019-05-07,6800,7130,6770,7060,121331,164036.0,23234595.0
2019-05-08,7000,7000,6860,6880,105794,159854.0,23234595.0
2019-05-09,6990,6990,6470,6610,206367,153581.0,23234595.0
2019-05-10,6500,6680,6360,6510,134483,151257.0,23234595.0
2019-05-13,6470,6710,6270,6340,184215,147307.0,23234595.0
2019-05-14,6280,6550,6170,6540,134435,151954.0,23234595.0
2019-05-15,6580,6830,6470,6670,217729,154975.0,23234595.0
2019-05-16,6700,6730,6400,6410,125572,148934.0,23234595.0
2019-05-17,6410,6580,6250,6300,83362,146378.0,23234595.0
2019-05-20,6250,6250,5910,5930,194421,137781.0,23234595.0
2019-05-21,5930,6050,5810,6000,89745,139408.0,23234595.0
2019-05-22,6010,6040,5750,5840,123125,135690.0,23234595.0
2019-05-23,5840,5840,5600,5620,92235,130578.0,23234595.0
2019-05-24,5600,5650,5420,5490,86838,127558.0,23234595.0
2019-05-27,5440,5560,5360,5490,53336,127558.0,23234595.0
2019-05-28,5430,5590,5430,5580,56689,129649.0,23234595.0
2019-05-29,5590,5590,5300,5340,82780,124073.0,23234595.0
2019-05-30,5300,5420,5250,5390,59075,125234.0,23234595.0
2019-05-31,5400,5600,5340,5490,84535,127558.0,23234595.0
2019-06-03,5490,6030,5360,5690,356675,132205.0,23234595.0
2019-06-04,5700,6110,5700,5890,299728,136852.0,23234595.0
2019-06-05,6000,6110,5880,5960,280484,138478.0,23234595.0
2019-06-07,6020,6260,6020,6200,320068,144054.0,23234595.0
2019-06-10,6270,6300,6080,6190,78689,143822.0,23234595.0
2019-06-11,6190,6230,6110,6180,96647,143590.0,23234595.0
2019-06-12,6240,6320,6080,6170,186785,143357.0,23234595.0
2019-06-13,6280,6430,6160,6410,237904,148934.0,23234595.0
2019-06-14,6370,6450,6280,6380,75552,148237.0,23234595.0
2019-06-17,6460,6530,6320,6450,165658,149863.0,23234595.0
2019-06-18,6450,6650,6410,6560,231783,152419.0,23234595.0
2019-06-19,6630,6720,6510,6590,132632,153116.0,23234595.0
2019-06-20,6560,6660,6550,6590,49303,153116.0,23234595.0
2019-06-21,6600,6660,6560,6560,52879,152419.0,23234595.0
2019-06-24,6550,6550,6290,6400,79071,148701.0,23234595.0
2019-06-25,6440,6450,6350,6360,45430,147772.0,23234595.0
2019-06-26,6360,6740,6290,6700,150912,155672.0,23234595.0
2019-06-27,6700,6840,6300,6580,146304,152884.0,23234595.0
2019-06-28,6560,6740,6560,6650,119530,154510.0,23234595.0
2019-07-01,6630,6690,6510,6620,72917,153813.0,23234595.0
2019-07-02,6640,6660,6530,6640,65119,154278.0,23234595.0
2019-07-03,6600,7540,6560,7100,2070938,164966.0,23234595.0
2019-07-04,7060,7080,6740,7010,490900,162875.0,23234595.0
2019-07-05,7010,7020,6750,6780,190908,157531.0,23234595.0
2019-07-08,6780,6780,6170,6210,205812,144287.0,23234595.0
2019-07-09,6210,6310,6010,6300,154310,146378.0,23234595.0
2019-07-10,6210,6390,6150,6280,96378,145913.0,23234595.0
2019-07-11,6230,6610,6230,6440,165193,149631.0,23234595.0
2019-07-12,6520,6680,6410,6600,74725,153348.0,23234595.0
2019-07-15,6510,6880,6510,6880,137507,159854.0,23234595.0
2019-07-16,6780,6950,6700,6850,143147,159157.0,23234595.0
2019-07-17,6890,6920,6700,6900,89108,160319.0,23234595.0
2019-07-18,7190,7500,6800,6800,496350,157995.0,23234595.0
2019-07-19,6800,6840,6620,6800,85579,157995.0,23234595.0
2019-07-22,6830,6880,6660,6710,37306,155904.0,23234595.0
2019-07-23,6670,6830,6650,6650,79426,154510.0,23234595.0
2019-07-24,6600,6710,6420,6500,47678,151025.0,23234595.0
2019-07-25,6390,6580,6380,6550,45684,152187.0,23234595.0
2019-07-26,6500,6750,6500,6650,54735,154510.0,23234595.0
2019-07-29,6650,6660,6030,6250,110516,145216.0,23234595.0
2019-07-30,6110,6330,6110,6320,51804,146843.0,23234595.0
2019-07-31,6070,6370,5850,6200,149861,144054.0,23234595.0
2019-08-01,6200,6200,5950,6040,69767,140337.0,23234595.0
2019-08-02,5800,6200,5750,6200,64000,144054.0,23234595.0
2019-08-05,6020,6150,5850,6100,116196,141731.0,23234595.0
2019-08-06,5850,6370,5700,6100,153770,141731.0,23234595.0
2019-08-07,5870,6200,5810,6200,102688,144054.0,23234595.0
2019-08-08,6270,6270,6100,6200,55490,144054.0,23234595.0
2019-08-09,6260,6560,6200,6390,98663,148469.0,23234595.0
2019-08-12,6400,6560,6370,6500,31064,151025.0,23234595.0
2019-08-13,6500,6650,6470,6600,71024,153348.0,23234595.0
2019-08-14,6600,6660,6540,6630,45750,154045.0,23234595.0
2019-08-16,6500,6600,6350,6600,49665,153348.0,23234595.0
2019-08-19,6660,6710,6530,6600,50882,153348.0,23234595.0
2019-08-20,6680,6680,6410,6580,56442,152884.0,23234595.0
2019-08-21,6510,6660,6400,6570,158288,152651.0,23234595.0
2019-08-22,6570,6630,6210,6500,142126,151025.0,23234595.0
2019-08-23,6460,6560,6200,6560,103901,152419.0,23234595.0
2019-08-26,6480,6480,6310,6450,63308,149863.0,23234595.0
2019-08-27,6540,6800,6450,6700,176642,155672.0,23234595.0
2019-08-28,6660,6760,6600,6750,145899,156834.0,23234595.0
2019-08-29,6750,6800,6580,6800,103666,157995.0,23234595.0
2019-08-30,6820,6820,6700,6820,69439,158460.0,23234595.0
2019-09-02,6820,6880,6720,6850,49951,159157.0,23234595.0
2019-09-03,6870,6870,6750,6840,26424,158925.0,23234595.0
2019-09-04,6700,7000,6700,6900,123877,160319.0,23234595.0
2019-09-05,6900,6960,6840,6870,51920,159622.0,23234595.0
2019-09-06,6870,7160,6830,7160,220734,166360.0,23234595.0
2019-09-09,7230,7350,6750,6810,349506,158228.0,23234595.0
2019-09-10,6810,7130,6810,6950,88630,161480.0,23234595.0
2019-09-11,6950,7060,6720,6980,84597,162177.0,23234595.0
2019-09-16,6980,6980,6800,6870,46960,159622.0,23234595.0
2019-09-17,7000,7000,6630,6680,89208,155207.0,23234595.0
2019-09-18,6530,6800,6530,6720,68361,156136.0,23234595.0
2019-09-19,6720,6920,6620,6770,173868,157298.0,23234595.0
2019-09-20,6800,6800,6550,6650,280328,154510.0,23234595.0
2019-09-23,6610,6690,6530,6550,47441,152187.0,23234595.0
2019-09-24,6500,6630,6450,6580,48555,152884.0,23234595.0
2019-09-25,6580,6650,6450,6600,75431,153348.0,23234595.0
2019-09-26,6620,6640,6460,6620,107822,153813.0,23234595.0
2019-09-27,6510,6650,6470,6600,27163,153348.0,23234595.0
2019-09-30,6560,6600,6350,6440,56590,149631.0,23234595.0
2019-10-01,6440,6540,6320,6540,43002,151954.0,23234595.0
2019-10-02,6450,6590,6350,6470,39598,150328.0,23234595.0
2019-10-04,6490,6500,6360,6450,17276,149863.0,23234595.0
2019-10-07,6470,6490,6090,6250,79569,,
