이지웰페어(090850),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-03-07,14300,14400,13650,13700,255447,135534.0,9893000.0
2014-03-10,13550,14750,13200,14650,450351,144932.0,9893000.0
2014-03-11,14900,15500,14400,14500,374575,143448.0,9893000.0
2014-03-12,14500,14800,13950,14450,173950,142954.0,9893000.0
2014-03-13,14750,14750,14250,14550,109041,143943.0,9893000.0
2014-03-14,14300,14950,14100,14250,136528,140975.0,9893000.0
2014-03-17,14400,14600,13950,13950,85539,138007.0,9893000.0
2014-03-18,13950,14200,13400,13600,198802,134545.0,9893000.0
2014-03-19,13850,14300,13500,14200,220813,140481.0,9893000.0
2014-03-20,14300,15050,13950,14800,363092,146416.0,9893000.0
2014-03-21,14900,15100,14450,14550,181279,143943.0,9893000.0
2014-03-24,14550,14800,14000,14550,177329,143943.0,9893000.0
2014-03-25,14600,15200,13700,14100,323771,139491.0,9893000.0
2014-03-26,14050,14100,13050,13300,272707,131577.0,9893000.0
2014-03-27,13350,13700,12900,13400,138080,132566.0,9893000.0
2014-03-28,13600,13750,12950,13300,143305,131577.0,9893000.0
2014-03-31,13350,13400,12200,12500,287680,123662.0,9893000.0
2014-04-01,12550,13000,12200,12900,162629,127620.0,9893000.0
2014-04-02,12800,12900,12450,12900,129675,127620.0,9893000.0
2014-04-03,13150,13200,12500,12600,144908,124652.0,9893000.0
2014-04-04,12700,12850,12250,12500,106889,123662.0,9893000.0
2014-04-07,12450,12650,12150,12250,71840,121189.0,9893000.0
2014-04-08,12150,12600,12100,12350,87913,122179.0,9893000.0
2014-04-09,12450,12450,11650,11900,173849,117727.0,9893000.0
2014-04-10,12100,12400,11900,12200,61344,120695.0,9893000.0
2014-04-11,11850,12650,11800,12300,68927,121684.0,9893000.0
2014-04-14,12250,12500,12000,12400,52992,122673.0,9893000.0
2014-04-15,12500,12850,12200,12650,136669,125146.0,9893000.0
2014-04-16,12650,12650,12050,12500,95599,123662.0,9893000.0
2014-04-17,12350,12850,12300,12600,68872,124652.0,9893000.0
2014-04-18,12850,13600,12600,13450,370392,133061.0,9893000.0
2014-04-21,13600,14000,13300,13750,279020,136029.0,9893000.0
2014-04-22,13800,14200,13500,13500,195382,133556.0,9893000.0
2014-04-23,13550,14000,13400,13700,155403,135534.0,9893000.0
2014-04-24,13850,14150,13250,13700,112683,135534.0,9893000.0
2014-04-25,13700,13800,12950,13600,139428,134545.0,9893000.0
2014-04-28,13350,13600,13100,13400,73235,132566.0,9893000.0
2014-04-29,13500,13500,12900,13100,63508,129598.0,9893000.0
2014-04-30,12950,13400,12900,13100,99443,129598.0,9893000.0
2014-05-02,13250,13650,13200,13550,119976,134050.0,9893000.0
2014-05-07,13700,13700,13350,13600,53501,134545.0,9893000.0
2014-05-08,13600,13700,13250,13400,52791,132566.0,9893000.0
2014-05-09,13400,13650,13250,13500,123945,133556.0,9893000.0
2014-05-12,13650,14250,13550,14200,555419,140481.0,9893000.0
2014-05-13,14000,14050,13750,13750,160859,136029.0,9893000.0
2014-05-14,13800,13850,13300,13600,230929,134545.0,9893000.0
2014-05-15,13800,14050,13550,13700,187860,135534.0,9893000.0
2014-05-16,13700,13750,12400,12600,346571,124652.0,9893000.0
2014-05-19,12600,12650,11200,11550,525291,114264.0,9893000.0
2014-05-20,11550,11600,11000,11250,226448,111296.0,9893000.0
2014-05-21,11200,11600,11050,11400,156284,112780.0,9893000.0
2014-05-22,11500,11550,11250,11250,108013,111296.0,9893000.0
2014-05-23,11400,11850,11250,11750,289974,116243.0,9893000.0
2014-05-26,11900,11900,11200,11300,135930,111791.0,9893000.0
2014-05-27,11700,11850,11250,11400,260766,112780.0,9893000.0
2014-05-28,11450,11550,10750,10950,256176,108328.0,9893000.0
2014-05-29,11050,11100,10700,10800,132741,106844.0,9893000.0
2014-05-30,10800,11700,10500,11400,332415,112780.0,9893000.0
2014-06-02,11550,11750,11250,11300,161432,111791.0,9893000.0
2014-06-03,11200,11500,10950,11400,94633,112780.0,9893000.0
2014-06-05,11400,11500,10900,11000,92203,108823.0,9893000.0
2014-06-09,11200,11400,10700,11400,91239,112780.0,9893000.0
2014-06-10,11500,11700,11300,11400,124921,112780.0,9893000.0
2014-06-11,11500,11500,11150,11150,85097,110307.0,9893000.0
2014-06-12,11150,11250,10750,10900,119837,107834.0,9893000.0
2014-06-13,10950,11250,10800,11050,60841,109318.0,9893000.0
2014-06-16,11150,11700,11050,11350,192412,112286.0,9893000.0
2014-06-17,11250,11550,11150,11350,87906,112286.0,9893000.0
2014-06-18,11400,11800,11350,11750,199716,116243.0,9893000.0
2014-06-19,11800,12150,11700,11950,230380,118221.0,9893000.0
2014-06-20,12050,12050,11700,11700,97188,115748.0,9893000.0
2014-06-23,11800,12200,11650,11750,142594,116243.0,9893000.0
2014-06-24,11700,11850,11450,11650,125234,115253.0,9893000.0
2014-06-25,11600,12100,11600,11750,76230,116243.0,9893000.0
2014-06-26,11850,11950,11600,11600,106612,114759.0,9893000.0
2014-06-27,11700,11900,11650,11700,81215,115748.0,9893000.0
2014-06-30,11900,12050,11600,11600,69901,114759.0,9893000.0
2014-07-01,11750,12300,11600,12250,187239,121189.0,9893000.0
2014-07-02,12350,12400,11900,12250,160379,121189.0,9893000.0
2014-07-03,12150,12400,11900,12400,162273,122673.0,9893000.0
2014-07-04,12500,12550,12250,12350,79637,122179.0,9893000.0
2014-07-07,12350,12500,11950,11950,72530,118221.0,9893000.0
2014-07-08,12000,12200,11800,12000,104520,118716.0,9893000.0
2014-07-09,12000,12000,11500,11850,136789,117232.0,9893000.0
2014-07-10,12000,12550,11800,12550,274213,124157.0,9893000.0
2014-07-11,12500,12950,12300,12800,242962,126630.0,9893000.0
2014-07-14,12800,13150,12750,13000,157863,128609.0,9893000.0
2014-07-15,13150,13150,12550,12700,147551,125641.0,9893000.0
2014-07-16,12750,12750,12350,12500,93090,123662.0,9893000.0
2014-07-17,12500,13100,12300,13100,144789,129598.0,9893000.0
2014-07-18,12900,13600,12900,13450,268959,133061.0,9893000.0
2014-07-21,13550,13650,13300,13600,107194,134545.0,9893000.0
2014-07-22,13650,13650,13250,13400,85361,132566.0,9893000.0
2014-07-23,13400,13600,13150,13350,84291,132072.0,9893000.0
2014-07-24,13250,13400,13000,13050,61956,129104.0,9893000.0
2014-07-25,13050,13550,12850,13500,98347,133556.0,9893000.0
2014-07-28,13600,13600,13050,13050,84631,129104.0,9893000.0
2014-07-29,13100,13150,12150,12200,210405,120695.0,9893000.0
2014-07-30,12050,12350,11600,11700,129360,115748.0,9893000.0
2014-07-31,11750,11950,11050,11650,142554,115253.0,9893000.0
2014-08-01,11350,11900,11300,11650,38171,115253.0,9893000.0
2014-08-04,11700,13150,11650,12900,262829,127620.0,9893000.0
2014-08-05,13200,13200,12300,12300,120568,121684.0,9893000.0
2014-08-06,12250,12350,12050,12200,35143,120695.0,9893000.0
2014-08-07,12300,12400,11800,11850,88662,117232.0,9893000.0
2014-08-08,11850,12150,11750,11750,49506,116243.0,9893000.0
2014-08-11,11850,12250,11850,12050,20996,119211.0,9893000.0
2014-08-12,12300,12300,11700,12000,37021,118716.0,9893000.0
2014-08-13,11950,12150,11750,12000,37510,118716.0,9893000.0
2014-08-14,12000,12250,11850,11950,86313,118221.0,9893000.0
2014-08-18,11950,12150,11850,12100,45933,119705.0,9893000.0
2014-08-19,12100,12850,11750,12700,120228,125641.0,9893000.0
2014-08-20,12800,12800,12300,12500,36509,123662.0,9893000.0
2014-08-21,12400,12500,11850,12000,47279,118716.0,9893000.0
2014-08-22,12200,12500,11950,12400,66701,122673.0,9893000.0
2014-08-25,12400,12600,11900,12300,55919,121684.0,9893000.0
2014-08-26,12250,12550,12200,12500,39295,123662.0,9893000.0
2014-08-27,12650,12650,12050,12200,64677,120695.0,9893000.0
2014-08-28,12200,12300,11750,11850,87754,117232.0,9893000.0
2014-08-29,11800,11950,11750,11850,20528,117232.0,9893000.0
2014-09-01,11850,11900,11500,11650,53551,115253.0,9893000.0
2014-09-02,11650,11900,11500,11750,21295,116243.0,9893000.0
2014-09-03,11800,11950,11650,11800,16215,116737.0,9893000.0
2014-09-04,11700,11800,11600,11800,46855,116737.0,9893000.0
2014-09-05,11700,12000,11650,11950,32985,118221.0,9893000.0
2014-09-11,12050,12050,11700,11950,33207,118221.0,9893000.0
2014-09-12,12050,12100,11750,12050,27037,119211.0,9893000.0
2014-09-15,12000,12150,11700,11700,28651,115748.0,9893000.0
2014-09-16,11600,12000,11600,11900,36581,117727.0,9893000.0
2014-09-17,11950,12050,11750,11850,20949,117232.0,9893000.0
2014-09-18,11700,11950,11700,11800,18140,116737.0,9893000.0
2014-09-19,12100,12100,11550,11700,56458,115748.0,9893000.0
2014-09-22,11800,11800,11150,11150,94054,110307.0,9893000.0
2014-09-23,11150,11350,10950,11300,38848,111791.0,9893000.0
2014-09-24,11300,11300,11050,11150,28714,110307.0,9893000.0
2014-09-25,11150,11300,10700,10750,65607,106350.0,9893000.0
2014-09-26,10500,10700,10300,10500,66734,103876.0,9893000.0
2014-09-29,10650,11000,10400,10750,52859,106350.0,9893000.0
2014-09-30,10750,11050,10750,10950,17985,108328.0,9893000.0
2014-10-01,10950,10950,10500,10500,25352,103876.0,9893000.0
2014-10-02,10350,10950,10350,10850,39837,107339.0,9893000.0
2014-10-06,11000,11450,10800,11350,63083,112286.0,9893000.0
2014-10-07,11200,11600,11100,11500,52278,113770.0,9893000.0
2014-10-08,11450,11500,11250,11300,40506,111791.0,9893000.0
2014-10-10,11300,11350,11050,11100,41800,109812.0,9893000.0
2014-10-13,10850,11150,10600,10800,61842,106844.0,9893000.0
2014-10-14,10600,10850,10600,10750,26433,106350.0,9893000.0
2014-10-15,10850,11250,10750,10950,28185,108328.0,9893000.0
2014-10-16,10800,11050,10600,10900,38573,107834.0,9893000.0
2014-10-17,10800,11150,10800,10950,31321,108328.0,9893000.0
2014-10-20,11150,11300,10800,10950,28880,108328.0,9893000.0
2014-10-21,11000,11150,10750,10750,41732,106350.0,9893000.0
2014-10-22,10800,11000,10650,10750,46559,106350.0,9893000.0
2014-10-23,10800,10900,10550,10700,42552,105855.0,9893000.0
2014-10-24,10700,10950,10650,10800,59414,106844.0,9893000.0
2014-10-27,11000,11000,10650,10650,36723,105360.0,9893000.0
2014-10-28,10650,10800,10150,10350,108807,102393.0,9893000.0
2014-10-29,10350,10550,10300,10450,64307,103382.0,9893000.0
2014-10-30,10550,10550,10050,10150,58991,100414.0,9893000.0
2014-10-31,10200,10350,10050,10100,27128,99919.0,9893000.0
2014-11-03,10100,10200,9560,9650,108929,95467.0,9893000.0
2014-11-04,9650,9820,9250,9390,39651,92895.0,9893000.0
2014-11-05,9300,9470,9190,9250,58216,91510.0,9893000.0
2014-11-06,9300,9330,9000,9100,81278,90026.0,9893000.0
2014-11-07,9110,9320,9020,9270,24649,91708.0,9893000.0
2014-11-10,9330,9330,9120,9280,28125,91807.0,9893000.0
2014-11-11,9280,9350,9180,9220,39180,91213.0,9893000.0
2014-11-12,9280,9580,9020,9530,45844,94280.0,9893000.0
2014-11-13,9430,9720,9250,9260,31425,91609.0,9893000.0
2014-11-14,9270,9360,9120,9160,51068,90620.0,9893000.0
2014-11-17,9210,9480,9000,9090,51824,89927.0,9893000.0
2014-11-18,9240,9240,9030,9030,39861,89334.0,9893000.0
2014-11-19,9070,9130,8800,8860,40591,87652.0,9893000.0
2014-11-20,8840,8840,7600,7770,286236,76869.0,9893000.0
2014-11-21,7830,8720,7640,8420,231969,83299.0,9893000.0
2014-11-24,8520,8950,8350,8660,77728,85673.0,9893000.0
2014-11-25,8870,9560,8720,9310,74935,92104.0,9893000.0
2014-11-26,9480,9720,9110,9530,77535,94280.0,9893000.0
2014-11-27,9290,9600,9160,9360,78570,92598.0,9893000.0
2014-11-28,9870,9870,9360,9630,49874,95270.0,9893000.0
2014-12-01,9520,9860,9520,9710,44944,96061.0,9893000.0
2014-12-02,9560,9760,9410,9740,52688,96358.0,9893000.0
2014-12-03,9740,9780,9370,9640,49693,95369.0,9893000.0
2014-12-04,9580,9780,9410,9450,34705,93489.0,9893000.0
2014-12-05,9630,9630,9220,9290,26573,91906.0,9893000.0
2014-12-08,9280,9750,9230,9300,51598,92005.0,9893000.0
2014-12-09,9440,9580,9180,9250,48436,91510.0,9893000.0
2014-12-10,9270,9490,9230,9430,24215,93291.0,9893000.0
2014-12-11,9430,9560,9310,9420,29037,93192.0,9893000.0
2014-12-12,9490,9490,9190,9300,34351,92005.0,9893000.0
2014-12-15,9580,9630,9280,9630,44665,95270.0,9893000.0
2014-12-16,9620,9660,9490,9560,36435,94577.0,9893000.0
2014-12-17,9560,9590,9250,9300,63478,92005.0,9893000.0
2014-12-18,9300,9320,9110,9160,52039,90620.0,9893000.0
2014-12-19,9300,9450,9000,9280,16981,91807.0,9893000.0
2014-12-22,9200,9620,9200,9560,20722,94577.0,9893000.0
2014-12-23,9730,9730,9580,9700,36680,95962.0,9893000.0
2014-12-24,9760,10150,9630,10150,62756,100414.0,9893000.0
2014-12-26,10350,11050,10250,10650,172077,105360.0,9893000.0
2014-12-29,10650,10900,10300,10450,57544,103382.0,9893000.0
2014-12-30,10450,10450,9790,10250,149319,101403.0,9893000.0
2015-01-02,10250,10350,9980,10000,55227,98930.0,9893000.0
2015-01-05,10150,10750,10000,10550,100523,104371.0,9893000.0
2015-01-06,10500,10550,10150,10350,43935,102393.0,9893000.0
2015-01-07,10350,10700,10100,10600,40272,104866.0,9893000.0
2015-01-08,10600,10750,10450,10700,21946,105855.0,9893000.0
2015-01-09,10800,11000,10350,10400,64561,102887.0,9893000.0
2015-01-12,10350,10550,10350,10450,14436,103382.0,9893000.0
2015-01-13,10600,10600,10300,10400,21407,102887.0,9893000.0
2015-01-14,10650,10650,10350,10600,11516,104866.0,9893000.0
2015-01-15,10500,10750,10400,10500,23097,103876.0,9893000.0
2015-01-16,10450,10550,10100,10250,36450,101403.0,9893000.0
2015-01-19,10250,10350,10050,10250,17831,101403.0,9893000.0
2015-01-20,10350,10550,10250,10500,15811,103876.0,9893000.0
2015-01-21,10500,10600,10250,10550,36645,104371.0,9893000.0
2015-01-22,10650,10650,9990,10300,93370,101898.0,9893000.0
2015-01-23,10500,10650,10300,10400,31076,102887.0,9893000.0
2015-01-26,10500,10600,10300,10350,21051,102393.0,9893000.0
2015-01-27,10500,10500,10250,10350,13693,102393.0,9893000.0
2015-01-28,10400,10400,10150,10200,48899,100909.0,9893000.0
2015-01-29,10200,10250,9890,10000,63177,98930.0,9893000.0
2015-01-30,9960,10050,9600,9680,62549,95764.0,9893000.0
2015-02-02,9610,9620,9340,9350,77773,92500.0,9893000.0
2015-02-03,9450,9450,9120,9350,47829,92500.0,9893000.0
2015-02-04,9310,9680,9310,9600,19698,94973.0,9893000.0
2015-02-05,9650,9760,9460,9640,37717,95369.0,9893000.0
2015-02-06,9650,9930,9640,9880,27861,97743.0,9893000.0
2015-02-09,9980,10450,9670,10150,74569,100414.0,9893000.0
2015-02-10,10050,10100,9860,10050,18234,99425.0,9893000.0
2015-02-11,9990,10150,9950,9980,9490,98732.0,9893000.0
2015-02-12,10100,10250,9910,10050,33617,99425.0,9893000.0
2015-02-13,10050,10050,9880,9900,18063,97941.0,9893000.0
2015-02-16,9860,9970,9610,9610,35994,95072.0,9893000.0
2015-02-17,9550,9700,9500,9510,15438,94082.0,9893000.0
2015-02-23,9480,9630,9480,9560,5773,94577.0,9893000.0
2015-02-24,9700,9750,9550,9700,9356,95962.0,9893000.0
2015-02-25,9700,9740,9660,9690,7753,95863.0,9893000.0
2015-02-26,9840,9840,9580,9630,28053,95270.0,9893000.0
2015-02-27,9680,9770,9530,9600,34606,94973.0,9893000.0
2015-03-02,9670,9670,9350,9400,32205,92994.0,9893000.0
2015-03-03,9550,9550,9350,9400,18653,92994.0,9893000.0
2015-03-04,9480,9500,9360,9460,10692,93588.0,9893000.0
2015-03-05,9500,9500,9400,9410,10432,93093.0,9893000.0
2015-03-06,9450,9450,9140,9200,27088,91016.0,9893000.0
2015-03-09,9260,9260,8960,9080,33061,89828.0,9893000.0
2015-03-10,9090,9190,8820,8820,18428,87256.0,9893000.0
2015-03-11,8800,8800,8520,8560,31767,84684.0,9893000.0
2015-03-12,8540,8940,8540,8940,18835,88443.0,9893000.0
2015-03-13,8850,8970,8760,8820,17870,87256.0,9893000.0
2015-03-16,8890,8890,8600,8600,52666,85080.0,9893000.0
2015-03-17,8660,8750,8580,8750,25576,86564.0,9893000.0
2015-03-18,8750,8770,8620,8660,21084,85673.0,9893000.0
2015-03-19,8700,8700,8460,8570,31353,84783.0,9893000.0
2015-03-20,8570,8590,8440,8580,47692,84882.0,9893000.0
2015-03-23,8600,8770,8480,8520,13584,84288.0,9893000.0
2015-03-24,8470,8650,8350,8580,28903,84882.0,9893000.0
2015-03-25,8430,8550,8380,8420,39702,83299.0,9893000.0
2015-03-26,8380,8380,8150,8290,50502,82013.0,9893000.0
2015-03-27,8220,8320,8150,8320,32553,82310.0,9893000.0
2015-03-30,8270,8410,8230,8350,17123,82607.0,9893000.0
2015-03-31,8390,8400,8180,8310,21599,82211.0,9893000.0
2015-04-01,8320,8380,8140,8200,31738,81123.0,9893000.0
2015-04-02,8210,8340,8170,8300,25724,82112.0,9893000.0
2015-04-03,8270,8660,8260,8490,44885,83992.0,9893000.0
2015-04-06,8640,9000,8500,8740,66913,86465.0,9893000.0
2015-04-07,8800,8830,8510,8650,51121,85574.0,9893000.0
2015-04-08,8670,9040,8560,8950,63142,88542.0,9893000.0
2015-04-09,8950,9200,8900,8920,78651,88246.0,9893000.0
2015-04-10,8900,9070,8700,8790,41399,86959.0,9893000.0
2015-04-13,8790,8940,8490,8530,44858,84387.0,9893000.0
2015-04-14,8570,8570,8380,8440,34805,83497.0,9893000.0
2015-04-15,8540,8780,8420,8760,22683,86663.0,9893000.0
2015-04-16,8800,9170,8720,9100,84351,90026.0,9893000.0
2015-04-17,9100,9350,9080,9110,50863,90125.0,9893000.0
2015-04-20,9020,9080,8760,8760,54418,86663.0,9893000.0
2015-04-21,8760,10050,8710,10050,335379,99425.0,9893000.0
2015-04-22,11500,11550,11000,11550,392901,114264.0,9893000.0
2015-04-23,12150,12300,11100,11800,770305,116737.0,9893000.0
2015-04-24,11900,12300,10950,11850,417658,117232.0,9893000.0
2015-04-27,0,0,0,11850,0,117232.0,9893000.0
2015-04-28,12500,12700,11600,12200,172659,120695.0,9893000.0
2015-04-29,12200,12200,11450,11900,134063,117727.0,9893000.0
2015-04-30,11900,11900,11350,11400,68152,112780.0,9893000.0
2015-05-04,11400,11650,9790,9850,274881,97446.0,9893000.0
2015-05-06,9840,10350,9800,9950,172394,98435.0,9893000.0
2015-05-07,9990,10450,9960,10350,99918,102393.0,9893000.0
2015-05-08,10350,11900,10150,11900,307296,117727.0,9893000.0
2015-05-11,12000,12450,11550,11900,417533,117727.0,9893000.0
2015-05-12,12200,13500,12000,12600,623358,124652.0,9893000.0
2015-05-13,12850,13350,12650,12900,224504,127620.0,9893000.0
2015-05-14,13050,14100,12500,13150,396530,130093.0,9893000.0
2015-05-15,13200,13950,13000,13450,261691,133061.0,9893000.0
2015-05-18,13600,13650,12900,13300,161911,131577.0,9893000.0
2015-05-19,13350,14000,13100,13600,224122,134545.0,9893000.0
2015-05-20,13650,13850,13050,13450,158901,133061.0,9893000.0
2015-05-21,13300,13600,12550,13550,224746,134050.0,9893000.0
2015-05-22,13550,13800,13000,13150,128060,130093.0,9893000.0
2015-05-26,13000,13300,12800,13150,80643,130093.0,9893000.0
2015-05-27,13350,13350,12950,13100,98877,129598.0,9893000.0
2015-05-28,13400,14650,13350,13500,426229,133556.0,9893000.0
2015-05-29,13400,14200,13100,14050,147356,138997.0,9893000.0
2015-06-01,14150,14150,12950,13300,186353,131577.0,9893000.0
2015-06-02,13150,13400,12350,12500,136676,123662.0,9893000.0
2015-06-03,12550,13150,12100,12900,126641,127620.0,9893000.0
2015-06-04,13050,13500,12600,12850,166153,127125.0,9893000.0
2015-06-05,13000,13150,12700,13100,81274,129598.0,9893000.0
2015-06-08,13100,13100,12700,12850,89271,127125.0,9893000.0
2015-06-09,12950,12950,12550,12800,89651,126630.0,9893000.0
2015-06-10,12950,12950,12400,12500,53581,123662.0,9893000.0
2015-06-11,12550,13200,12450,13000,192795,128609.0,9893000.0
2015-06-12,12850,13050,12600,12700,50269,125641.0,9893000.0
2015-06-15,12600,12950,12150,12900,78652,127620.0,9893000.0
2015-06-16,12900,13100,12500,13000,50282,128609.0,9893000.0
2015-06-17,13050,14500,12900,13700,280074,135534.0,9893000.0
2015-06-18,13800,14100,13700,14000,102253,138502.0,9893000.0
2015-06-19,13900,14400,13800,14050,94544,138997.0,9893000.0
2015-06-22,14100,15400,13950,15400,377201,152352.0,9893000.0
2015-06-23,15400,15650,14900,15400,215444,152352.0,9893000.0
2015-06-24,15650,15950,15150,15500,223178,153342.0,9893000.0
2015-06-25,15500,16450,15300,16200,200522,160267.0,9893000.0
2015-06-26,16300,17400,15900,17350,181520,171644.0,9893000.0
2015-06-29,17150,18400,16750,17700,205781,175106.0,9893000.0
2015-06-30,17700,17750,16500,17650,116096,174611.0,9893000.0
2015-07-01,17650,17800,16850,16850,133332,166697.0,9893000.0
2015-07-02,16800,17900,16100,17500,238637,173128.0,9893000.0
2015-07-03,17500,19200,17250,18200,189667,180053.0,9893000.0
2015-07-06,18000,18300,16550,16800,188143,166202.0,9893000.0
2015-07-07,16800,17250,14600,15750,176725,155815.0,9893000.0
2015-07-08,15950,16800,15450,16800,85861,166202.0,9893000.0
2015-07-09,16400,16550,15500,16500,80687,163234.0,9893000.0
2015-07-10,16700,17350,16400,17000,64293,168181.0,9893000.0
2015-07-13,17150,17150,16200,16650,69116,164718.0,9893000.0
2015-07-14,16900,17550,16250,17400,90895,172138.0,9893000.0
2015-07-15,17600,17650,16750,17100,60410,169170.0,9893000.0
2015-07-16,17100,17650,16900,17400,81545,172138.0,9893000.0
2015-07-17,17400,17450,16700,16800,104712,166202.0,9893000.0
2015-07-20,17100,19600,16900,19400,339313,191924.0,9893000.0
2015-07-21,19050,19200,18400,18800,304170,185988.0,9893000.0
2015-07-22,18800,19550,18400,18500,111377,183020.0,9893000.0
2015-07-23,18850,19000,18400,18650,55056,184504.0,9893000.0
2015-07-24,18750,21000,18500,19700,270695,194892.0,9893000.0
2015-07-27,19800,19800,17600,17750,322212,175601.0,9893000.0
2015-07-28,17350,18200,17000,18050,122012,178569.0,9893000.0
2015-07-29,18250,18250,16500,16500,189154,163234.0,9893000.0
2015-07-30,16700,17100,15800,16000,73041,158288.0,9893000.0
2015-07-31,15700,16950,15500,16600,60593,164224.0,9893000.0
2015-08-03,16250,16900,15650,15950,55152,157793.0,9893000.0
2015-08-04,15650,16850,15650,16650,41043,164718.0,9893000.0
2015-08-05,16600,17200,16500,16900,41550,167192.0,9893000.0
2015-08-06,17000,17500,16900,17250,42902,170654.0,9893000.0
2015-08-07,17350,17400,16400,16800,49887,166202.0,9893000.0
2015-08-10,16900,16950,15850,16200,62954,160267.0,9893000.0
2015-08-11,16200,16300,15650,15750,47618,155815.0,9893000.0
2015-08-12,15500,15650,14050,15100,70965,149384.0,9893000.0
2015-08-13,15100,16450,14950,16150,47950,159772.0,9893000.0
2015-08-17,16350,16650,15850,16200,26437,160267.0,9893000.0
2015-08-18,16050,16350,14800,15100,63295,149384.0,9893000.0
2015-08-19,14600,14700,11750,12650,323081,125146.0,9893000.0
2015-08-20,13150,13600,12250,12550,125231,124157.0,9893000.0
2015-08-21,11600,12600,11500,12300,88070,121684.0,9893000.0
2015-08-24,12300,12700,11950,12150,29081,120200.0,9893000.0
2015-08-25,12250,14000,11850,13450,113097,133061.0,9893000.0
2015-08-26,13800,14000,13300,13950,24914,138007.0,9893000.0
2015-08-27,14250,14600,13700,13900,55457,137513.0,9893000.0
2015-08-28,14000,14250,13500,13800,41131,136523.0,9893000.0
2015-08-31,13600,14200,13550,13700,21422,135534.0,9893000.0
2015-09-01,13450,14000,12600,12700,83428,125641.0,9893000.0
2015-09-02,12250,12950,12100,12900,65387,127620.0,9893000.0
2015-09-03,13100,13800,13000,13250,47842,131082.0,9893000.0
2015-09-04,13550,14000,13200,13550,63744,134050.0,9893000.0
2015-09-07,13300,13750,12900,13150,31284,130093.0,9893000.0
2015-09-08,13300,13750,12550,13250,43116,131082.0,9893000.0
2015-09-09,13300,13700,12900,13100,37410,129598.0,9893000.0
2015-09-10,13100,15700,13050,14100,329419,139491.0,9893000.0
2015-09-11,14100,14750,14000,14150,87354,139986.0,9893000.0
