인터플렉스(051370),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-04-15,10217,10307,9816,9863,639579,135915.0,12300000.0
2003-04-16,10173,11021,9995,10532,1738364,145140.0,12300000.0
2003-04-17,10307,10932,10263,10711,875108,147600.0,12300000.0
2003-04-18,11021,11244,10530,11246,875839,154980.0,12300000.0
2003-04-21,11557,11735,11155,11246,833452,154980.0,12300000.0
2003-04-22,11200,11200,10575,10978,700636,151290.0,12300000.0
2003-04-23,11244,11289,9682,9684,2839645,133455.0,12300000.0
2003-04-24,9816,10084,9326,9640,854828,132840.0,12300000.0
2003-04-25,9370,9460,8522,8524,1055863,117465.0,12300000.0
2003-04-28,8219,8746,8219,8657,621947,119310.0,12300000.0
2003-04-29,8835,9415,8754,9237,1446267,127305.0,12300000.0
2003-04-30,9192,9415,8879,9059,497730,124845.0,12300000.0
2003-05-02,9192,10128,9058,10041,1258711,138375.0,12300000.0
2003-05-06,10307,10664,9861,10309,1055585,142065.0,12300000.0
2003-05-07,10575,10976,10485,10666,974443,146985.0,12300000.0
2003-05-09,10620,11200,10307,11156,736805,153750.0,12300000.0
2003-05-12,11334,11334,9995,10532,1587057,145140.0,12300000.0
2003-05-13,10798,11066,10620,10711,987617,147600.0,12300000.0
2003-05-14,10976,11468,10887,11468,864590,158055.0,12300000.0
2003-05-15,11735,11735,11244,11424,719449,157440.0,12300000.0
2003-05-16,11647,11647,10798,11379,571765,156825.0,12300000.0
2003-05-19,11111,11289,10485,10711,900341,147600.0,12300000.0
2003-05-20,10441,10843,10263,10844,852715,149445.0,12300000.0
2003-05-21,10798,10976,9816,10085,914298,138990.0,12300000.0
2003-05-22,10217,10441,9772,9773,1015310,134685.0,12300000.0
2003-05-23,9995,10575,9727,10398,735259,143295.0,12300000.0
2003-05-26,10396,11200,10173,11111,1039564,153135.0,12300000.0
2003-05-27,11423,11780,10709,11111,952081,153135.0,12300000.0
2003-05-28,11468,11468,10709,10978,609425,151290.0,12300000.0
2003-05-29,10976,12271,10976,12272,2016824,169125.0,12300000.0
2003-05-30,12450,12717,11869,12272,1582572,169125.0,12300000.0
2003-06-02,12584,12939,12137,12138,1499062,167280.0,12300000.0
2003-06-03,12003,12539,11824,12317,946715,169740.0,12300000.0
2003-06-04,12584,13029,12092,12406,1090133,170970.0,12300000.0
2003-06-05,12628,12761,11780,11870,662394,163590.0,12300000.0
2003-06-09,11824,12137,11647,11826,466200,162975.0,12300000.0
2003-06-10,11647,12539,11647,12272,819502,169125.0,12300000.0
2003-06-11,12495,13743,12360,13389,2157591,184500.0,12300000.0
2003-06-12,13565,13922,13253,13656,1431780,188190.0,12300000.0
2003-06-13,13788,14413,13654,13924,1307944,191880.0,12300000.0
2003-06-16,13698,14234,13475,14236,595765,196185.0,12300000.0
2003-06-17,14636,14770,14101,14102,1278308,194340.0,12300000.0
2003-06-18,14190,14190,13118,13566,596186,186960.0,12300000.0
2003-06-19,13475,14011,13342,13924,753581,191880.0,12300000.0
2003-06-20,13788,14725,13654,14280,1564843,196800.0,12300000.0
2003-06-23,14369,15172,14324,14727,1504299,202950.0,12300000.0
2003-06-24,14814,15082,14369,14816,865871,204180.0,12300000.0
2003-06-25,14993,15217,14546,14637,738897,201720.0,12300000.0
2003-06-26,14457,14681,13654,13879,751976,191265.0,12300000.0
2003-06-27,14101,14234,13743,14146,425272,194955.0,12300000.0
2003-06-30,14190,15261,14190,15262,1061477,210330.0,12300000.0
2003-07-01,15306,15395,14904,15173,497580,209100.0,12300000.0
2003-07-02,15529,15840,15038,15619,886335,215250.0,12300000.0
2003-07-03,15752,16376,15172,15173,749738,209100.0,12300000.0
2003-07-04,15440,15930,15306,15797,391280,217710.0,12300000.0
2003-07-07,15529,15707,14546,15396,1134372,212175.0,12300000.0
2003-07-08,15529,15708,14949,15084,600787,207870.0,12300000.0
2003-07-09,15082,15172,13966,13969,702743,192495.0,12300000.0
2003-07-10,13966,14636,13966,14369,716006,198030.0,12300000.0
2003-07-11,14011,14279,13609,13701,339147,188805.0,12300000.0
2003-07-14,13833,14145,13833,13924,389304,191880.0,12300000.0
2003-07-15,14234,15217,14234,14905,1345945,205410.0,12300000.0
2003-07-16,15217,15350,14592,15173,578632,209100.0,12300000.0
2003-07-18,14725,15618,14546,15173,880587,209100.0,12300000.0
2003-07-21,15484,15752,14814,14905,725875,205410.0,12300000.0
2003-07-22,14681,14904,13118,14146,746196,194955.0,12300000.0
2003-07-23,14369,14770,14234,14592,643449,201105.0,12300000.0
2003-07-24,14369,14636,13922,13924,483014,191880.0,12300000.0
2003-07-25,13698,14413,13698,13834,389880,190650.0,12300000.0
2003-07-28,14011,14457,13922,14459,410532,199260.0,12300000.0
2003-07-29,14324,14860,14324,14816,429440,204180.0,12300000.0
2003-07-30,14457,14681,13698,13701,661724,188805.0,12300000.0
2003-07-31,13654,13966,13654,13969,232570,192495.0,12300000.0
2003-08-01,13966,14101,13609,13969,413648,192495.0,12300000.0
2003-08-04,13609,13966,13386,13478,249001,185730.0,12300000.0
2003-08-05,13475,14190,13475,14146,329186,194955.0,12300000.0
2003-08-06,13743,13922,13520,13701,179385,188805.0,12300000.0
2003-08-07,13698,13788,13342,13701,287253,188805.0,12300000.0
2003-08-08,13698,14546,13698,14325,618944,197415.0,12300000.0
2003-08-11,14546,14770,14279,14727,401958,202950.0,12300000.0
2003-08-12,14949,15306,14592,14727,848772,202950.0,12300000.0
2003-08-13,15128,16465,14949,16467,787550,226935.0,12300000.0
2003-08-14,17850,18206,16778,17939,1559151,247230.0,12300000.0
2003-08-18,18474,20080,18206,20082,909823,276750.0,12300000.0
2003-08-19,20884,21062,18920,19725,857736,271830.0,12300000.0
2003-08-20,19724,21062,19098,20350,714089,280440.0,12300000.0
2003-08-21,20705,21196,19277,19814,396013,273060.0,12300000.0
2003-08-22,19634,19901,18162,18921,384493,260760.0,12300000.0
2003-08-25,18563,19813,18385,19189,275384,264450.0,12300000.0
2003-08-26,19232,19946,18742,18921,307845,260760.0,12300000.0
2003-08-27,19277,19410,18385,18921,251403,260760.0,12300000.0
2003-08-28,18920,19321,18430,18833,257984,259530.0,12300000.0
2003-08-29,19545,20304,19232,19993,344089,275520.0,12300000.0
2003-09-01,20527,21152,19857,21019,324899,289665.0,12300000.0
2003-09-02,21017,21553,20705,21555,219164,297045.0,12300000.0
2003-09-03,21553,22132,20616,20617,279922,284130.0,12300000.0
2003-09-04,20616,21062,19188,19189,300092,264450.0,12300000.0
2003-09-05,19456,19724,18742,19502,149670,268755.0,12300000.0
2003-09-08,19277,19456,17179,18430,286761,253995.0,12300000.0
2003-09-09,18430,18964,18340,18743,157945,258300.0,12300000.0
2003-09-15,18430,19277,18430,18743,98397,258300.0,12300000.0
2003-09-16,18698,18964,18295,18743,185533,258300.0,12300000.0
2003-09-17,18920,19188,17671,18118,343089,249690.0,12300000.0
2003-09-18,18117,18117,16644,17314,467326,238620.0,12300000.0
2003-09-19,17671,18742,17403,17493,750005,241080.0,12300000.0
2003-09-22,17046,17582,15618,16423,223140,226320.0,12300000.0
2003-09-23,15529,17135,15529,17136,494788,236160.0,12300000.0
2003-09-24,16867,17224,16555,16959,257293,233700.0,12300000.0
2003-09-25,16197,16465,15975,16467,175712,226935.0,12300000.0
2003-09-26,16108,16599,15038,15530,342942,214020.0,12300000.0
2003-09-29,15350,15796,14993,15753,282115,217095.0,12300000.0
2003-09-30,16153,17626,16064,17627,480280,242925.0,12300000.0
2003-10-01,17492,19678,17224,19189,853965,264450.0,12300000.0
2003-10-02,19366,20437,18831,20037,538039,276135.0,12300000.0
2003-10-06,20616,20795,19724,19725,316341,271830.0,12300000.0
2003-10-07,19813,20437,18920,19278,344226,265680.0,12300000.0
2003-10-08,19366,19724,18474,18698,233414,257685.0,12300000.0
2003-10-09,18698,20080,18295,20082,318801,276750.0,12300000.0
2003-10-10,20527,20973,19991,20082,913666,276750.0,12300000.0
2003-10-13,20482,20973,17671,17671,1735139,243540.0,12300000.0
2003-10-14,17135,18295,15708,18029,2229392,248460.0,12300000.0
2003-10-15,17850,18117,17447,17582,362607,242310.0,12300000.0
2003-10-16,17850,19678,17850,19457,938407,268140.0,12300000.0
2003-10-17,19724,21776,19634,21778,791242,300120.0,12300000.0
2003-10-20,22222,23695,20705,21063,1034218,290280.0,12300000.0
2003-10-21,21776,23471,21687,22447,379845,309345.0,12300000.0
2003-10-22,23026,23606,22000,22046,430957,303810.0,12300000.0
2003-10-23,21420,22758,21420,21420,304501,295200.0,12300000.0
2003-10-24,21420,21821,20661,21108,145876,290895.0,12300000.0
2003-10-27,21017,21241,20259,20884,281676,287820.0,12300000.0
2003-10-28,20795,21776,20616,21331,299663,293970.0,12300000.0
2003-10-29,22311,23874,22044,23874,757244,329025.0,12300000.0
2003-10-30,24186,24275,22891,23295,302313,321030.0,12300000.0
2003-10-31,23785,25703,23294,25258,750492,348090.0,12300000.0
2003-11-03,24990,26864,24409,25884,445027,356700.0,12300000.0
2003-11-04,25613,27801,25613,26285,716869,362235.0,12300000.0
2003-11-05,25748,26864,24588,25794,354869,355470.0,12300000.0
2003-11-06,26417,27712,25659,25794,412475,355470.0,12300000.0
2003-11-07,26775,26775,24677,25080,234924,345630.0,12300000.0
2003-11-10,25079,25524,23918,24365,170357,335790.0,12300000.0
2003-11-11,24365,26149,23338,24410,367534,336405.0,12300000.0
2003-11-12,24498,25256,24007,25169,217853,346860.0,12300000.0
2003-11-13,25659,26328,25168,25884,324100,356700.0,12300000.0
2003-11-14,25881,26239,24901,24946,151484,343785.0,12300000.0
2003-11-17,24633,25703,24097,24410,186690,336405.0,12300000.0
2003-11-18,24722,25345,24722,25036,223359,345015.0,12300000.0
2003-11-19,25256,25391,24633,25036,218984,345015.0,12300000.0
2003-11-20,24990,25256,24454,24455,93501,337020.0,12300000.0
2003-11-21,23650,24365,23471,23562,165895,324720.0,12300000.0
2003-11-24,23561,23918,22132,22358,139715,308115.0,12300000.0
2003-11-25,23115,23159,21955,22314,261493,307500.0,12300000.0
2003-11-26,22356,24990,22356,24991,391645,344400.0,12300000.0
2003-11-27,24990,25837,24498,24812,212912,341940.0,12300000.0
2003-11-28,25079,27488,25079,25705,268690,354240.0,12300000.0
2003-12-01,25703,26819,25435,25884,155329,356700.0,12300000.0
2003-12-02,26775,28961,26507,28962,438544,399135.0,12300000.0
2003-12-03,28693,29050,27488,28471,339403,392370.0,12300000.0
2003-12-04,27891,29318,27891,28739,198060,396060.0,12300000.0
2003-12-05,28649,29005,26328,26329,203337,362850.0,12300000.0
2003-12-08,25659,27578,25569,26508,189725,365310.0,12300000.0
2003-12-09,27131,27712,26417,26864,186140,370230.0,12300000.0
2003-12-10,25971,27533,25971,26553,145545,365925.0,12300000.0
2003-12-11,26551,27310,26462,26954,149061,371460.0,12300000.0
2003-12-12,27667,28024,27087,27935,169481,384990.0,12300000.0
2003-12-15,28559,28871,26953,27935,165918,384990.0,12300000.0
2003-12-16,27578,28203,27220,27490,96222,378840.0,12300000.0
2003-12-17,27935,28335,27042,27043,86993,372690.0,12300000.0
2003-12-18,27042,27578,26507,27222,88955,375150.0,12300000.0
2003-12-19,27220,27578,25971,26151,148587,360390.0,12300000.0
2003-12-22,25435,25524,23561,23874,279816,329025.0,12300000.0
2003-12-23,24543,24990,24007,24410,163826,336405.0,12300000.0
2003-12-24,24543,24945,23115,23652,191848,325950.0,12300000.0
2003-12-26,23249,24231,22936,23385,172654,322260.0,12300000.0
2003-12-29,23739,25613,23739,25169,110167,346860.0,12300000.0
2003-12-30,26283,27667,25345,26775,221152,369000.0,12300000.0
2004-01-02,27176,27176,25703,26508,111820,365310.0,12300000.0
2004-01-05,26775,26775,25792,26062,79444,359160.0,12300000.0
2004-01-06,26328,26417,25034,25169,123918,346860.0,12300000.0
2004-01-07,24990,25971,24588,25437,107620,350550.0,12300000.0
2004-01-08,25435,26997,25435,26329,194790,362850.0,12300000.0
2004-01-09,26819,29452,26775,29454,555449,405900.0,12300000.0
2004-01-12,29050,30434,28292,30345,242677,418200.0,12300000.0
2004-01-13,30300,30657,29005,29899,102674,412050.0,12300000.0
2004-01-14,29497,29720,28470,29007,84775,399750.0,12300000.0
2004-01-15,29898,30256,27846,28114,211563,387450.0,12300000.0
2004-01-16,28203,28559,27533,27623,97289,380685.0,12300000.0
2004-01-19,27846,28203,27488,27623,115778,380685.0,12300000.0
2004-01-20,27220,28114,26596,28114,146243,387450.0,12300000.0
2004-01-26,28068,28203,26775,26775,104940,369000.0,12300000.0
2004-01-27,26462,29362,26016,28114,472270,387450.0,12300000.0
2004-01-28,28203,29273,27087,27847,174537,383760.0,12300000.0
2004-01-29,27488,28336,27042,27891,133171,384375.0,12300000.0
2004-01-30,28114,28738,27712,28203,127349,388680.0,12300000.0
2004-02-02,28916,29050,27846,27935,112335,384990.0,12300000.0
2004-02-03,28292,29184,27712,28338,277884,390525.0,12300000.0
2004-02-04,28649,28693,26729,26731,234013,368385.0,12300000.0
2004-02-05,25881,26328,25123,25258,391069,348090.0,12300000.0
2004-02-06,25524,27220,25435,26775,310941,369000.0,12300000.0
2004-02-09,26775,27131,26417,26775,101369,369000.0,12300000.0
2004-02-10,26417,27176,26417,26775,132332,369000.0,12300000.0
2004-02-11,27131,27399,26775,26775,113368,369000.0,12300000.0
2004-02-12,27310,27310,26551,26775,83649,369000.0,12300000.0
2004-02-13,26819,27176,26596,26775,87363,369000.0,12300000.0
2004-02-16,26775,27935,26417,27400,214697,377610.0,12300000.0
2004-02-17,27667,27756,26685,26999,126020,372075.0,12300000.0
2004-02-18,26819,27087,25212,25884,244760,356700.0,12300000.0
2004-02-19,25524,25659,25124,25616,209817,353010.0,12300000.0
2004-02-20,25435,25792,24811,24857,104869,342555.0,12300000.0
2004-02-23,24856,25613,24856,24991,127416,344400.0,12300000.0
2004-02-24,24543,24856,24053,24723,144139,340710.0,12300000.0
2004-02-25,24722,25613,24097,24098,159277,332100.0,12300000.0
2004-02-26,24498,24811,23739,23741,142953,327180.0,12300000.0
2004-02-27,23561,24007,23159,23206,179858,319800.0,12300000.0
2004-03-02,23249,23650,22267,22759,546386,313650.0,12300000.0
2004-03-03,22668,24275,22446,23429,407793,322875.0,12300000.0
2004-03-04,23650,24945,23561,24946,295574,343785.0,12300000.0
2004-03-05,25524,25792,24543,24544,210670,338250.0,12300000.0
2004-03-08,24633,24901,24275,24544,89851,338250.0,12300000.0
2004-03-09,24275,25212,24142,24500,125836,337635.0,12300000.0
2004-03-10,24320,25079,23383,23474,217611,323490.0,12300000.0
2004-03-11,23204,23294,22534,22938,159480,316110.0,12300000.0
2004-03-12,22490,23026,20304,21331,233020,293970.0,12300000.0
2004-03-15,21420,22222,21420,21599,218591,297660.0,12300000.0
2004-03-16,20973,21330,20304,20884,226658,287820.0,12300000.0
2004-03-17,21062,21509,20839,21063,393355,290280.0,12300000.0
2004-03-18,21420,21598,20348,20439,316790,281670.0,12300000.0
2004-03-19,20125,20572,19768,20394,501838,281055.0,12300000.0
2004-03-22,20393,20839,20080,20082,349857,276750.0,12300000.0
2004-03-23,19724,20214,18831,19234,418948,265065.0,12300000.0
2004-03-24,19232,19946,19232,19948,355225,274905.0,12300000.0
2004-03-25,20214,21062,20169,20528,477738,282900.0,12300000.0
2004-03-26,21196,21241,20393,20572,219883,283515.0,12300000.0
2004-03-29,21062,23026,20661,22403,618191,308730.0,12300000.0
2004-03-30,22758,23159,22222,22804,315930,314265.0,12300000.0
2004-03-31,23070,23739,22490,23741,240795,327180.0,12300000.0
2004-04-01,23294,23829,23026,23652,167313,325950.0,12300000.0
2004-04-02,23561,24231,23561,23696,231888,326565.0,12300000.0
2004-04-06,24543,25613,24320,25437,362942,350550.0,12300000.0
2004-04-07,25837,26596,25435,26329,302942,362850.0,12300000.0
2004-04-08,26328,26507,25034,25303,245018,348705.0,12300000.0
2004-04-09,24811,25301,24097,24098,168681,332100.0,12300000.0
2004-04-12,24677,25435,24275,24857,187112,342555.0,12300000.0
2004-04-13,24856,25613,23963,24098,159478,332100.0,12300000.0
2004-04-14,23650,24320,23561,23830,80087,328410.0,12300000.0
2004-04-16,23606,26239,23606,26196,388931,361005.0,12300000.0
2004-04-19,25881,26417,25124,26285,196979,362235.0,12300000.0
2004-04-20,26596,27355,26149,26151,233814,360390.0,12300000.0
2004-04-21,26507,27801,26194,26775,370191,369000.0,12300000.0
2004-04-22,27087,27310,25881,25884,149489,356700.0,12300000.0
2004-04-23,27131,28961,26775,28962,657203,399135.0,12300000.0
2004-04-26,30345,31372,29407,30524,820709,420660.0,12300000.0
2004-04-27,30166,30345,28916,29454,168129,405900.0,12300000.0
2004-04-28,30701,31327,29942,30345,320100,418200.0,12300000.0
2004-04-29,29229,30568,26775,26775,475307,369000.0,12300000.0
2004-04-30,26775,27444,25569,26820,396621,369615.0,12300000.0
2004-05-03,26596,27310,26462,26775,194907,369000.0,12300000.0
2004-05-04,27265,28425,27265,28025,199713,386220.0,12300000.0
2004-05-06,28203,28292,26462,26775,221552,369000.0,12300000.0
2004-05-07,26596,26775,25124,26329,133327,362850.0,12300000.0
2004-05-10,25524,27220,23294,24991,227649,344400.0,12300000.0
2004-05-11,23829,24901,22668,23162,398200,319185.0,12300000.0
2004-05-12,24454,25926,24007,25928,265959,357315.0,12300000.0
2004-05-13,25881,26596,25435,26062,206338,359160.0,12300000.0
2004-05-14,27042,27220,23918,24455,242528,337020.0,12300000.0
2004-05-17,24097,25256,21643,21911,285005,301965.0,12300000.0
2004-05-18,22222,22668,20973,22314,308128,307500.0,12300000.0
2004-05-19,22758,24186,22758,23652,360351,325950.0,12300000.0
2004-05-20,22847,23427,21598,22314,178571,307500.0,12300000.0
2004-05-21,23204,23963,22802,23652,247697,325950.0,12300000.0
2004-05-24,24186,25079,23874,24723,216682,340710.0,12300000.0
2004-05-25,24454,24454,23561,23874,102044,329025.0,12300000.0
2004-05-27,24990,24990,24320,24321,98862,335175.0,12300000.0
2004-05-28,24409,25837,24409,25481,237184,351165.0,12300000.0
2004-05-31,25881,25971,24722,25884,133973,356700.0,12300000.0
2004-06-01,26328,26953,25524,26642,158010,367155.0,12300000.0
2004-06-02,26328,29362,26328,28249,275456,389295.0,12300000.0
2004-06-03,28559,30613,28514,29007,368420,399750.0,12300000.0
2004-06-04,29005,30077,27935,28293,143407,389910.0,12300000.0
2004-06-07,28425,28916,28247,28739,75635,396060.0,12300000.0
2004-06-08,28738,29005,27712,28203,79276,388680.0,12300000.0
2004-06-09,29005,29005,28114,28203,57616,388680.0,12300000.0
2004-06-10,27935,28871,27935,28293,119246,389910.0,12300000.0
2004-06-11,28114,28470,26775,26775,195086,369000.0,12300000.0
2004-06-14,25881,27042,25569,26775,96790,369000.0,12300000.0
2004-06-15,26864,27176,25926,26553,65247,365925.0,12300000.0
2004-06-16,26551,27444,26551,27043,136476,372690.0,12300000.0
2004-06-17,26775,27220,26328,26508,89694,365310.0,12300000.0
2004-06-18,26417,26417,25301,25437,50216,350550.0,12300000.0
2004-06-21,25480,27087,25480,26240,133250,361620.0,12300000.0
2004-06-22,25971,26417,25659,26062,49553,359160.0,12300000.0
2004-06-23,26507,27042,26149,26375,131162,363465.0,12300000.0
2004-06-24,26640,27220,26640,26999,126074,372075.0,12300000.0
2004-06-25,26953,27265,26239,26553,94499,365925.0,12300000.0
2004-06-28,26729,26775,25480,25616,109712,353010.0,12300000.0
2004-06-29,25659,25971,25256,25660,57746,353625.0,12300000.0
2004-06-30,25881,26507,25703,25928,110204,357315.0,12300000.0
2004-07-01,25971,26283,25613,25749,153157,354855.0,12300000.0
2004-07-02,24990,25168,24409,24544,90211,338250.0,12300000.0
2004-07-05,24097,24811,23874,24544,66677,338250.0,12300000.0
2004-07-06,24766,25524,24543,24812,161241,341940.0,12300000.0
2004-07-07,23829,24811,23650,24768,52018,341325.0,12300000.0
2004-07-08,24275,24990,23606,23830,92108,328410.0,12300000.0
2004-07-09,23650,24186,23249,23785,102114,327795.0,12300000.0
2004-07-12,24901,25524,24543,24946,159433,343785.0,12300000.0
2004-07-13,24633,24990,23650,24410,123984,336405.0,12300000.0
2004-07-14,23739,24320,23204,23206,147022,319800.0,12300000.0
2004-07-15,23115,23204,20795,21599,247500,297660.0,12300000.0
2004-07-16,21152,21776,20259,21732,312075,299505.0,12300000.0
2004-07-19,21152,21687,20973,21376,141441,294585.0,12300000.0
2004-07-20,20884,21643,20214,20305,146008,279825.0,12300000.0
2004-07-21,20705,21285,20393,20572,145210,283515.0,12300000.0
2004-07-22,19946,20348,19366,19993,220783,275520.0,12300000.0
2004-07-23,19857,20214,19053,19278,345182,265680.0,12300000.0
2004-07-26,18831,19410,18831,18966,145910,261375.0,12300000.0
2004-07-27,18964,19724,18474,19457,250053,268140.0,12300000.0
2004-07-28,19991,20839,19991,20127,365090,277365.0,12300000.0
2004-07-29,20036,21062,20036,20439,398119,281670.0,12300000.0
2004-07-30,20973,21821,20437,21287,369645,293355.0,12300000.0
2004-08-02,21509,22132,21420,22000,155369,303195.0,12300000.0
2004-08-03,22088,24633,22043,24098,292589,332100.0,12300000.0
2004-08-04,23650,24454,23026,23474,210054,323490.0,12300000.0
2004-08-05,23338,23829,23026,23385,139678,322260.0,12300000.0
2004-08-06,22981,23159,22490,22670,93669,312420.0,12300000.0
2004-08-09,22132,22847,22088,22581,94590,311190.0,12300000.0
2004-08-10,22936,23338,22490,22983,182323,316725.0,12300000.0
2004-08-11,23294,23471,22891,22983,157438,316725.0,12300000.0
2004-08-12,23159,23249,22311,22983,100048,316725.0,12300000.0
2004-08-13,22802,23561,22668,23385,150385,322260.0,12300000.0
2004-08-16,23204,23471,22668,22759,89595,313650.0,12300000.0
2004-08-17,22891,23294,22311,22314,91551,307500.0,12300000.0
2004-08-18,22132,22400,21955,22224,72632,306270.0,12300000.0
2004-08-19,22446,23606,22446,22759,158458,313650.0,12300000.0
2004-08-20,22579,22936,21955,22179,84516,305655.0,12300000.0
2004-08-23,22490,23561,22178,23251,147573,320415.0,12300000.0
2004-08-24,23471,23606,22713,23606,221725,325335.0,12300000.0
2004-08-25,23338,24543,23338,23874,279295,329025.0,12300000.0
2004-08-26,24007,24901,23561,24188,170997,333330.0,12300000.0
2004-08-27,24454,24766,23829,24277,159083,334560.0,12300000.0
2004-08-30,24097,24498,23070,23340,110874,321645.0,12300000.0
2004-08-31,23204,23383,22400,22581,96819,311190.0,12300000.0
2004-09-01,22758,23204,22490,22715,148446,313035.0,12300000.0
2004-09-02,22713,22758,21598,21599,265720,297660.0,12300000.0
2004-09-03,21553,22132,21464,22000,187426,303195.0,12300000.0
2004-09-06,22222,22891,22222,22314,140207,307500.0,12300000.0
2004-09-07,22356,22534,21598,21599,131319,297660.0,12300000.0
2004-09-08,21643,21911,20348,20528,170397,282900.0,12300000.0
2004-09-09,20080,21553,19678,21108,282838,290895.0,12300000.0
2004-09-10,21017,21285,20437,20751,172006,285975.0,12300000.0
2004-09-13,21375,23204,21152,22670,357710,312420.0,12300000.0
2004-09-14,22981,23294,22222,23027,175857,317340.0,12300000.0
2004-09-15,23026,23561,22400,22403,161077,308730.0,12300000.0
2004-09-16,22222,22222,21643,21822,71288,300735.0,12300000.0
2004-09-17,21865,22623,21865,22135,67025,305040.0,12300000.0
2004-09-20,22534,22534,21776,22090,63444,304425.0,12300000.0
2004-09-21,22534,23026,22400,23027,241846,317340.0,12300000.0
2004-09-22,23383,23918,22490,23117,284577,318570.0,12300000.0
2004-09-23,23115,23427,22490,22715,100885,313035.0,12300000.0
2004-09-24,22579,23115,21999,22268,76463,306885.0,12300000.0
2004-09-30,21865,21865,21152,21420,112015,295200.0,12300000.0
2004-10-01,21375,22044,21241,21688,104960,298890.0,12300000.0
2004-10-04,22178,23471,22088,23340,240877,321645.0,12300000.0
2004-10-05,23338,23829,23026,23429,163782,322875.0,12300000.0
