네오펙트(290660),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-03-27,6870,7130,6830,6950,110999,82521.0,11873545.0
2019-03-28,6900,7000,6750,6780,74245,80503.0,11873545.0
2019-03-29,6780,6910,6590,6910,88532,82046.0,11873545.0
2019-04-01,6910,7040,6850,7000,56277,83115.0,11873545.0
2019-04-02,7090,7090,6940,7000,65989,83115.0,11873545.0
2019-04-03,7000,7200,6970,7140,86983,84777.0,11873545.0
2019-04-04,7190,7250,7010,7030,73608,83471.0,11873545.0
2019-04-05,7120,7120,6920,7010,58359,83234.0,11873545.0
2019-04-08,6940,7630,6940,7490,337510,88933.0,11873545.0
2019-04-09,7490,7580,7270,7390,158048,87745.0,11873545.0
2019-04-10,7520,8150,7410,7810,609191,92732.0,11873545.0
2019-04-11,7810,7810,7510,7570,208039,89883.0,11873545.0
2019-04-12,7630,7930,7440,7440,254108,88339.0,11873545.0
2019-04-15,7460,7780,7300,7660,182103,90951.0,11873545.0
2019-04-16,7660,7750,7510,7740,86826,91901.0,11873545.0
2019-04-17,7700,7760,7500,7510,81621,89170.0,11873545.0
2019-04-18,7630,7630,7260,7310,89948,86796.0,11873545.0
2019-04-19,7300,7490,7280,7460,56536,88577.0,11873545.0
2019-04-22,7410,7660,7410,7630,71170,90595.0,11873545.0
2019-04-23,7630,7670,7510,7520,42600,89289.0,11873545.0
2019-04-24,7620,8100,7520,7530,225626,89408.0,11873545.0
2019-04-25,7510,7570,7300,7390,74456,87745.0,11873545.0
2019-04-26,7340,7430,7090,7210,98094,85608.0,11873545.0
2019-04-29,7180,7340,7120,7240,33233,85964.0,11873545.0
2019-04-30,7320,7340,7130,7300,35725,86677.0,11873545.0
2019-05-02,7340,7340,7180,7280,26993,86439.0,11873545.0
2019-05-03,7340,7360,7110,7200,47215,85490.0,11873545.0
2019-05-07,7110,7400,7070,7150,30405,84896.0,11873545.0
2019-05-08,7110,7280,7100,7200,21346,85490.0,11873545.0
2019-05-09,7150,7200,6810,6930,96223,82284.0,11873545.0
2019-05-10,6900,7040,6720,6970,65644,82759.0,11873545.0
2019-05-13,6970,7130,6770,6870,57124,81571.0,11873545.0
2019-05-14,7000,7000,6520,6750,71784,80146.0,11873545.0
2019-05-15,6750,6990,6700,6940,31235,82801.0,11931045.0
2019-05-16,7040,7040,6600,6750,45824,80535.0,11931045.0
2019-05-17,6650,6840,6650,6800,41563,81131.0,11931045.0
2019-05-20,6800,6860,6540,6560,43929,78268.0,11931045.0
2019-05-21,6560,6640,6510,6640,14637,79222.0,11931045.0
2019-05-22,6790,7090,6720,6720,75597,80177.0,11931045.0
2019-05-23,6800,6800,6520,6550,35965,78148.0,11931045.0
2019-05-24,6500,6650,6210,6270,88194,74808.0,11931045.0
2019-05-27,6280,6600,6240,6430,28753,76717.0,11931045.0
2019-05-28,6530,6610,6350,6600,22336,78745.0,11931045.0
2019-05-29,6680,6680,6340,6590,26548,78626.0,11931045.0
2019-05-30,6590,6650,6430,6600,18732,78745.0,11931045.0
2019-05-31,6500,6640,6370,6470,36257,77194.0,11931045.0
2019-06-03,6390,6510,6250,6300,47460,75166.0,11931045.0
2019-06-04,6300,6360,6170,6220,49538,74211.0,11931045.0
2019-06-05,6300,6300,5870,6000,354222,71586.0,11931045.0
2019-06-07,6050,6250,5960,6070,137481,72421.0,11931045.0
2019-06-10,6140,6390,6070,6370,57861,76001.0,11931045.0
2019-06-11,6400,6470,6320,6390,23977,76239.0,11931045.0
2019-06-12,6390,6420,6270,6380,17875,76120.0,11931045.0
2019-06-13,6380,6540,6250,6440,33380,76836.0,11931045.0
2019-06-14,6600,6600,6400,6450,23713,76955.0,11931045.0
2019-06-17,6380,6380,6120,6250,32704,74569.0,11931045.0
2019-06-18,6250,6310,5990,6030,42038,71944.0,11931045.0
2019-06-19,6130,6240,6040,6190,16025,73853.0,11931045.0
2019-06-20,6140,6350,6140,6350,21413,75762.0,11931045.0
2019-06-21,6360,6510,6300,6460,22450,77075.0,11931045.0
2019-06-24,6510,6520,6210,6300,25187,75166.0,11931045.0
2019-06-25,6210,6400,5970,6020,51160,71825.0,11931045.0
2019-06-26,6020,6210,5990,6110,31483,72899.0,11931045.0
2019-06-27,6140,6360,5970,6060,49571,72302.0,11931045.0
2019-06-28,6010,6110,5950,6090,72917,72660.0,11931045.0
2019-07-01,6090,6310,5940,6040,118006,72064.0,11931045.0
2019-07-02,6110,6110,6000,6080,48704,72541.0,11931045.0
2019-07-03,6120,6120,5970,6030,59814,71944.0,11931045.0
2019-07-04,6160,6330,5870,6170,136410,73615.0,11931045.0
2019-07-05,6190,6430,6130,6280,142411,74927.0,11931045.0
2019-07-08,6280,6390,5980,6060,84454,72302.0,11931045.0
2019-07-09,5980,6170,5980,6070,47750,72421.0,11931045.0
2019-07-10,6070,6210,5930,6070,73691,72421.0,11931045.0
2019-07-11,6120,6570,6110,6440,453105,76836.0,11931045.0
2019-07-12,6410,6430,6060,6090,153233,72660.0,11931045.0
2019-07-15,6080,6320,6070,6170,122234,73615.0,11931045.0
2019-07-16,6170,6450,6130,6450,165661,76955.0,11931045.0
2019-07-17,6520,6520,6140,6200,188924,73972.0,11931045.0
2019-07-18,6200,6210,6080,6170,29477,73615.0,11931045.0
2019-07-19,6170,6340,6100,6320,70921,75404.0,11931045.0
2019-07-22,6440,6440,6270,6330,54687,75524.0,11931045.0
2019-07-23,6330,6410,6260,6340,63105,75643.0,11931045.0
2019-07-24,6350,6420,6190,6240,42329,74450.0,11931045.0
2019-07-25,6240,6360,6050,6120,38157,73018.0,11931045.0
2019-07-26,6080,6290,6000,6080,44747,72541.0,11931045.0
2019-07-29,6100,6210,5810,5820,64126,69439.0,11931045.0
2019-07-30,5670,5820,5630,5650,60475,67410.0,11931045.0
2019-07-31,5510,5650,5060,5370,163445,64070.0,11931045.0
2019-08-01,5370,5370,5140,5140,43008,61326.0,11931045.0
2019-08-02,5000,5100,4875,5040,74628,60132.0,11931045.0
2019-08-05,5040,5080,4200,4300,211668,51303.0,11931045.0
2019-08-06,4100,4970,4000,4525,234300,53988.0,11931045.0
2019-08-07,4520,4715,4390,4520,76331,53928.0,11931045.0
2019-08-08,4685,4685,4520,4675,23202,55778.0,11931045.0
2019-08-09,4760,4760,4600,4680,23688,55837.0,11931045.0
2019-08-12,4750,4750,4530,4710,26200,56195.0,11931045.0
2019-08-13,4790,4790,4610,4715,17655,56255.0,11931045.0
2019-08-14,4760,4770,4635,4700,26739,56076.0,11931045.0
2019-08-16,4700,4805,4485,4515,41753,53869.0,11931045.0
2019-08-19,4535,4645,4515,4605,23559,54942.0,11931045.0
2019-08-20,4670,4840,4520,4745,56251,56613.0,11931045.0
2019-08-21,4810,4810,4700,4770,19763,56911.0,11931045.0
2019-08-22,4840,4845,4705,4795,15568,57209.0,11931045.0
2019-08-23,4810,4810,4620,4750,39280,56672.0,11931045.0
2019-08-26,4675,4675,4285,4305,81249,51363.0,11931045.0
2019-08-27,4490,4490,4210,4285,82270,51125.0,11931045.0
2019-08-28,4285,4385,4250,4385,27550,52318.0,11931045.0
2019-08-29,4350,4435,4305,4315,37083,51482.0,11931045.0
2019-08-30,4415,4415,4290,4320,49100,51542.0,11931045.0
2019-09-02,4390,4400,4315,4395,28991,52437.0,11931045.0
2019-09-03,4355,4565,4355,4555,42289,54346.0,11931045.0
2019-09-04,4475,4650,4475,4600,20126,54883.0,11931045.0
2019-09-05,4650,5400,4570,4825,300501,57567.0,11931045.0
2019-09-06,4790,4875,4715,4860,32925,57985.0,11931045.0
2019-09-09,4890,5650,4785,5190,178353,61922.0,11931045.0
2019-09-10,5190,5310,5110,5190,66860,61922.0,11931045.0
2019-09-11,5180,5190,5040,5100,34477,60848.0,11931045.0
2019-09-16,5100,5260,5040,5050,20485,60252.0,11931045.0
2019-09-17,4980,5810,4970,5300,289621,63235.0,11931045.0
2019-09-18,5240,5570,5240,5400,67449,64428.0,11931045.0
2019-09-19,5400,5520,5370,5450,24895,65024.0,11931045.0
2019-09-20,5450,5570,5270,5270,34827,62877.0,11931045.0
2019-09-23,5390,5420,5240,5400,27259,64428.0,11931045.0
2019-09-24,5430,5500,5250,5300,168501,63235.0,11931045.0
2019-09-25,5350,5350,5110,5180,51225,61803.0,11931045.0
2019-09-26,5120,5200,4975,4975,47274,59357.0,11931045.0
2019-09-27,4905,5290,4905,5200,82143,62041.0,11931045.0
2019-09-30,5250,5250,5000,5010,50285,59775.0,11931045.0
2019-10-01,4990,5030,4800,4835,85084,57687.0,11931045.0
2019-10-02,4780,4950,4730,4805,35734,57329.0,11931045.0
2019-10-04,4730,4865,4730,4815,15078,57448.0,11931045.0
2019-10-07,4720,4890,4720,4875,20081,58164.0,11931045.0
