케이비17호스팩(317030),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-05-21,2055,2060,2050,2060,13828,11250.0,5461000.0
2019-05-22,2060,2070,2055,2070,10483,11304.0,5461000.0
2019-05-23,2065,2070,2050,2070,8302,11304.0,5461000.0
2019-05-24,2065,2075,2065,2075,6192,11332.0,5461000.0
2019-05-27,2075,2280,2060,2135,1017145,11659.0,5461000.0
2019-05-28,2135,2145,2055,2060,616500,11250.0,5461000.0
2019-05-29,2075,2075,2055,2060,139368,11250.0,5461000.0
2019-05-30,2055,2060,2055,2060,78667,11250.0,5461000.0
2019-05-31,2060,2065,2055,2060,53247,11250.0,5461000.0
2019-06-03,2080,2090,2065,2075,37561,11332.0,5461000.0
2019-06-04,2085,2085,2075,2075,24217,11332.0,5461000.0
2019-06-05,2080,2085,2075,2085,27939,11386.0,5461000.0
2019-06-07,2090,2095,2080,2090,21034,11413.0,5461000.0
2019-06-10,2095,2095,2075,2095,19280,11441.0,5461000.0
2019-06-11,2080,2095,2080,2095,15690,11441.0,5461000.0
2019-06-12,2100,2105,2080,2095,14287,11441.0,5461000.0
2019-06-13,2105,2105,2085,2100,15202,11468.0,5461000.0
2019-06-14,2105,2110,2090,2095,16673,11441.0,5461000.0
2019-06-17,2110,2115,2095,2100,30806,11468.0,5461000.0
2019-06-18,2095,2120,2095,2120,11664,11577.0,5461000.0
2019-06-19,2125,2130,2110,2130,24375,11632.0,5461000.0
2019-06-20,2130,2135,2120,2130,17139,11632.0,5461000.0
2019-06-21,2130,2150,2125,2145,33845,11714.0,5461000.0
2019-06-24,2145,2165,2105,2130,56539,11632.0,5461000.0
2019-06-25,2140,2140,2090,2130,67478,11632.0,5461000.0
2019-06-26,2110,2125,2105,2120,41486,11577.0,5461000.0
2019-06-27,2130,2130,2120,2130,4081,11632.0,5461000.0
2019-06-28,2130,2130,2115,2125,18569,11605.0,5461000.0
2019-07-01,2165,2165,2115,2135,2522,11659.0,5461000.0
2019-07-02,2120,2145,2115,2140,11256,11687.0,5461000.0
2019-07-03,2130,2130,2110,2125,986,11605.0,5461000.0
2019-07-04,2140,2140,2100,2115,22114,11550.0,5461000.0
2019-07-05,2100,2125,2100,2125,10643,11605.0,5461000.0
2019-07-08,2095,2125,2095,2125,4957,11605.0,5461000.0
2019-07-09,2100,2125,2090,2110,11984,11523.0,5461000.0
2019-07-10,2115,2115,2105,2105,558,11495.0,5461000.0
2019-07-11,2105,2105,2100,2105,5292,11495.0,5461000.0
2019-07-12,2105,2105,2100,2105,7807,11495.0,5461000.0
2019-07-15,2105,2110,2095,2110,7253,11523.0,5461000.0
2019-07-16,2110,2115,2080,2110,12229,11523.0,5461000.0
2019-07-17,2085,2105,2080,2100,2032,11468.0,5461000.0
2019-07-18,2100,2100,2100,2100,604,11468.0,5461000.0
2019-07-19,2095,2100,2090,2095,6230,11441.0,5461000.0
2019-07-22,2095,2100,2095,2100,3930,11468.0,5461000.0
2019-07-23,2100,2110,2100,2110,508,11523.0,5461000.0
2019-07-24,2115,2125,2110,2120,1808,11577.0,5461000.0
2019-07-25,2130,2135,2105,2120,4679,11577.0,5461000.0
2019-07-26,2120,2125,2100,2100,2593,11468.0,5461000.0
2019-07-29,2125,2135,2080,2110,2923,11523.0,5461000.0
2019-07-30,2100,2125,2080,2120,10730,11577.0,5461000.0
2019-07-31,2135,2135,2090,2115,4858,11550.0,5461000.0
2019-08-01,2140,2145,2095,2125,1103,11605.0,5461000.0
2019-08-02,2140,2140,2105,2120,11189,11577.0,5461000.0
2019-08-05,2095,2095,2075,2095,11632,11441.0,5461000.0
2019-08-06,2055,2115,2055,2095,11428,11441.0,5461000.0
2019-08-07,2095,2100,2090,2100,3471,11468.0,5461000.0
2019-08-08,2115,2115,2105,2105,19,11495.0,5461000.0
2019-08-09,2100,2100,2090,2100,13021,11468.0,5461000.0
2019-08-12,2115,2115,2095,2100,10711,11468.0,5461000.0
2019-08-13,2110,2110,2100,2105,1191,11495.0,5461000.0
2019-08-14,2110,2120,2100,2110,6804,11523.0,5461000.0
2019-08-16,2115,2115,2100,2100,1218,11468.0,5461000.0
2019-08-19,2120,2120,2100,2100,15806,11468.0,5461000.0
2019-08-20,2115,2115,2080,2110,2161,11523.0,5461000.0
2019-08-21,2105,2120,2090,2090,32752,11413.0,5461000.0
2019-08-22,2110,2110,2105,2105,2,11495.0,5461000.0
2019-08-23,2105,2105,2095,2100,3985,11468.0,5461000.0
2019-08-26,2110,2110,2100,2105,20444,11495.0,5461000.0
2019-08-27,2115,2115,2105,2105,5435,11495.0,5461000.0
2019-08-28,2105,2115,2105,2110,600,11523.0,5461000.0
2019-08-29,2120,2120,2105,2115,7347,11550.0,5461000.0
2019-08-30,2110,2110,2090,2095,8915,11441.0,5461000.0
2019-09-02,2110,2115,2090,2090,2410,11413.0,5461000.0
2019-09-03,2110,2110,2075,2080,6135,11359.0,5461000.0
2019-09-04,2080,2100,2080,2095,5439,11441.0,5461000.0
2019-09-05,2110,2110,2080,2105,126,11495.0,5461000.0
2019-09-06,2095,2100,2095,2100,195,11468.0,5461000.0
2019-09-09,2115,2115,2100,2110,11138,11523.0,5461000.0
2019-09-10,2130,2130,2100,2125,12958,11605.0,5461000.0
2019-09-11,2130,2130,2130,2130,143,11632.0,5461000.0
2019-09-16,2125,2125,2100,2120,3663,11577.0,5461000.0
2019-09-17,2105,2120,2100,2120,5856,11577.0,5461000.0
2019-09-18,2115,2130,2110,2120,8342,11577.0,5461000.0
2019-09-19,2125,2125,2125,2125,11,11605.0,5461000.0
2019-09-20,2125,2125,2125,2125,1,11605.0,5461000.0
2019-09-23,2105,2130,2105,2125,3123,11605.0,5461000.0
2019-09-24,2130,2130,2120,2120,1991,11577.0,5461000.0
2019-09-25,2120,2130,2115,2120,2564,11577.0,5461000.0
2019-09-26,2115,2115,2105,2115,12543,11550.0,5461000.0
2019-09-27,2125,2130,2125,2130,111,11632.0,5461000.0
2019-09-30,2150,2210,2130,2180,31725,11905.0,5461000.0
2019-10-01,2195,2195,2130,2155,4676,11768.0,5461000.0
2019-10-02,2070,2165,2070,2150,4749,11741.0,5461000.0
2019-10-04,2160,2160,2155,2155,11,11768.0,5461000.0
2019-10-07,2090,2155,2090,2095,12185,11441.0,5461000.0
