바이온(032980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-05-28,425416,456566,425416,456557,114390,13780.0,400000.0
1999-05-31,509577,510897,463856,509568,101270,15380.0,400000.0
1999-06-01,462519,489028,448609,457220,48790,13800.0,400000.0
1999-06-02,463849,463849,410839,437341,65530,13200.0,400000.0
1999-06-03,410844,424094,388314,410835,43190,12400.0,400000.0
1999-06-04,409511,424091,384331,397583,42170,12000.0,400000.0
1999-06-07,424090,445291,417461,445293,151870,13440.0,400000.0
1999-06-08,498302,498302,477101,498304,246380,15040.0,400000.0
1999-06-09,496982,551322,463851,523484,200990,15800.0,400000.0
1999-06-10,523487,585777,523487,569868,523790,17200.0,400000.0
1999-06-11,583118,634807,556617,632819,608580,19100.0,400000.0
1999-06-14,707706,707706,707706,707697,117120,21360.0,400000.0
1999-06-15,792522,792522,663962,792515,402480,23920.0,400000.0
1999-06-16,792518,886609,768659,886609,288990,26760.0,400000.0
1999-06-17,992631,992631,992631,992631,47640,29960.0,400000.0
1999-06-18,1110580,1110580,1110580,1110581,33770,33520.0,400000.0
1999-06-21,1243108,1243108,1243108,1243108,57340,37520.0,400000.0
1999-06-22,1391542,1391542,1101310,1191423,423110,35960.0,400000.0
1999-06-23,1060220,1325280,1049620,1309372,583630,39520.0,400000.0
1999-06-24,1312026,1365036,1166237,1192748,569280,36000.0,400000.0
1999-06-25,1126494,1232515,1049625,1137086,551170,34320.0,400000.0
1999-06-28,1192751,1192751,1020462,1045642,351540,31560.0,400000.0
1999-06-29,995282,995282,921071,925042,374050,27920.0,400000.0
1999-06-30,993959,1035040,954199,1035040,254940,31240.0,400000.0
1999-07-01,1126489,1158290,1099980,1158291,372650,34960.0,400000.0
1999-07-02,1158293,1252393,1101313,1179495,450730,35600.0,400000.0
1999-07-05,1194076,1232506,1166237,1192748,224480,36000.0,400000.0
1999-07-06,1192752,1221911,1172872,1194073,138360,36040.0,400000.0
1999-07-07,1191432,1312032,1170222,1269614,348040,38320.0,400000.0
1999-07-08,1206001,1331902,1206001,1312023,221570,39600.0,400000.0
1999-07-09,1312032,1338532,1272271,1292143,229490,39000.0,400000.0
1999-07-12,1285519,1444550,1274919,1444550,487880,43600.0,400000.0
1999-07-13,1457813,1616843,1457813,1616836,496400,48800.0,400000.0
1999-07-14,1643346,1749375,1457814,1524067,456990,46000.0,400000.0
1999-07-15,1484309,1577078,1371659,1517440,602290,45800.0,400000.0
1999-07-16,1693075,1693075,1517438,1545541,332960,26400.0,400000.0
1999-07-19,1522125,1590041,1451876,1463580,284160,25000.0,400000.0
1999-07-20,1428463,1522129,1416751,1451872,242300,24800.0,400000.0
1999-07-21,1487006,1510422,1311369,1355861,179980,23160.0,400000.0
1999-07-22,1334783,1334783,1217700,1287951,274570,22000.0,400000.0
1999-07-23,1381624,1442503,1323079,1393329,362350,23800.0,400000.0
1999-07-26,1440165,1522126,1229409,1276242,220500,21800.0,400000.0
1999-07-27,1194287,1344156,1147446,1304343,157940,22280.0,400000.0
1999-07-28,1304342,1304342,1241121,1276242,89090,21800.0,400000.0
1999-07-29,1243462,1405043,1241119,1334785,239870,22800.0,400000.0
1999-07-30,1358203,1416748,1252825,1276242,154700,21800.0,400000.0
1999-08-02,1231754,1276254,1170875,1215357,98340,20760.0,400000.0
1999-08-03,1135746,1241125,1135746,1213016,80260,20720.0,400000.0
1999-08-04,1264535,1334784,1217703,1309026,193620,22360.0,400000.0
1999-08-05,1287951,1311367,1257508,1257508,85140,21480.0,400000.0
1999-08-06,1264542,1287958,1205996,1238775,136390,21160.0,400000.0
1999-08-09,1287954,1287954,1205992,1222382,111810,20880.0,400000.0
1999-08-10,1217708,1217708,1170875,1189598,116950,20320.0,400000.0
1999-08-11,1173202,1194284,1124027,1156814,161530,19760.0,400000.0
1999-08-12,1159163,1168534,1124034,1159156,112960,19800.0,400000.0
1999-08-13,1147446,1173205,1053780,1095929,116090,18720.0,400000.0
1999-08-16,1079539,1217704,1011632,1124030,167470,19200.0,400000.0
1999-08-17,1124036,1147453,989389,989380,93490,16900.0,400000.0
1999-08-18,871132,889863,871132,871123,118020,14880.0,400000.0
1999-08-19,800875,913272,796190,864098,227930,14760.0,400000.0
1999-08-20,878156,913276,831314,854731,177860,14600.0,400000.0
1999-08-23,798537,887518,798537,852389,145750,14560.0,400000.0
1999-08-24,878153,954254,866440,954254,214910,16300.0,400000.0
1999-08-25,1067828,1067828,1067828,1067828,45750,18240.0,400000.0
1999-08-26,1194289,1194289,962449,1093587,361090,18680.0,400000.0
1999-08-27,1051441,1091255,1018655,1035044,132360,17680.0,400000.0
1999-08-30,1065493,1077197,1006947,1018652,141340,17400.0,400000.0
1999-08-31,983535,1018655,939035,983526,130060,16800.0,400000.0
1999-09-01,866438,948400,866438,866440,419620,29600.0,800000.0
1999-09-02,866441,901570,779794,835997,387460,28560.0,800000.0
1999-09-03,836001,935528,819612,935521,512340,31960.0,800000.0
1999-09-06,948404,1018653,901571,960109,377220,32800.0,800000.0
1999-09-07,960119,960119,868787,878148,261750,30000.0,800000.0
1999-09-08,889861,908592,838343,878148,289670,30000.0,800000.0
1999-09-09,878157,878157,878157,878148,0,30000.0,800000.0
1999-09-10,878157,878157,878157,878148,0,,
1999-09-13,782140,838343,772779,772770,250915,26400.0,8000000.0
1999-09-14,754035,772776,681443,754037,391294,25760.0,8000000.0
1999-09-15,770433,831312,721258,805555,359817,27520.0,8000000.0
1999-09-16,805554,826637,709546,725936,295928,24800.0,8000000.0
1999-09-17,709545,721257,653342,702519,230092,24000.0,8000000.0
1999-09-20,695502,728280,653345,667393,198235,22800.0,8000000.0
1999-09-21,655684,702517,608851,625242,233935,21360.0,8000000.0
1999-09-22,643981,700175,578408,700177,638646,23920.0,8000000.0
1999-09-27,700178,744677,625243,641634,277822,21920.0,8000000.0
1999-09-28,639295,643980,569037,576065,201974,19680.0,8000000.0
1999-09-29,545621,599482,526890,545623,232085,18640.0,8000000.0
1999-09-30,545620,573722,482399,498788,321565,17040.0,8000000.0
1999-10-01,498795,510507,440248,451954,336644,15440.0,8000000.0
1999-10-04,426202,487081,426202,477713,397798,16320.0,8000000.0
1999-10-05,501136,533923,487080,533914,499775,18240.0,8000000.0
1999-10-06,543279,597139,543279,597141,525240,20400.0,8000000.0
1999-10-07,608855,667400,585438,667393,647715,22800.0,8000000.0
1999-10-08,725937,747020,679104,747011,475094,25520.0,8000000.0
1999-10-11,779794,835997,779794,835997,201531,28560.0,8000000.0
1999-10-12,934357,934357,934357,934350,23223,31920.0,8000000.0
1999-10-13,1044411,1044411,901570,1044411,2355919,35680.0,8000000.0
1999-10-14,936688,1077194,920299,920299,1425607,31440.0,8000000.0
1999-10-15,889861,1030368,854740,1030361,2059410,35200.0,8000000.0
1999-10-18,936694,1121692,924990,1030361,2042134,35200.0,8000000.0
1999-10-19,1053785,1098275,908592,929666,1021004,31760.0,8000000.0
1999-10-20,983532,995235,913274,936692,696913,32000.0,8000000.0
1999-10-21,971823,1002268,913278,924983,555276,31600.0,8000000.0
1999-10-22,889861,995240,878157,950742,894629,32480.0,8000000.0
1999-10-25,995237,1063153,964793,1063145,1533009,36320.0,8000000.0
1999-10-26,1088913,1189606,1088913,1189598,836324,40640.0,8000000.0
1999-10-27,1330106,1330106,1135746,1213016,1829407,41440.0,8000000.0
1999-10-28,1205995,1273910,1147449,1189598,1536217,40640.0,8000000.0
1999-10-29,1262194,1330101,1205991,1330102,1479322,45440.0,8000000.0
1999-11-01,1423774,1489339,1416747,1489340,974409,50880.0,8000000.0
1999-11-02,1489337,1667315,1454218,1545541,1811471,52800.0,8000000.0
1999-11-03,1592381,1625159,1498707,1519782,1518601,51920.0,8000000.0
1999-11-04,1545543,1697763,1451877,1615793,1404271,55200.0,8000000.0
1999-11-05,1627508,1697765,1451880,1580667,1512976,54000.0,8000000.0
1999-11-08,1606430,1770354,1592384,1721171,2237424,58800.0,8000000.0
1999-11-09,1686047,1709464,1515096,1545541,1478985,52800.0,8000000.0
1999-11-10,1454218,1592383,1435478,1515099,1554932,51760.0,8000000.0
1999-11-11,1545538,1671989,1498706,1524465,1346382,52080.0,8000000.0
1999-11-12,1559593,1592380,1341810,1341811,1166868,45840.0,8000000.0
1999-11-15,1383964,1501057,1241123,1501048,1197712,51280.0,8000000.0
1999-11-16,1545546,1679025,1522130,1580667,1352041,54000.0,8000000.0
1999-11-17,1580668,1580668,1390986,1390987,788905,47520.0,8000000.0
1999-11-18,1264536,1327766,1224722,1255167,643606,42880.0,8000000.0
1999-11-19,1285611,1405045,1285611,1405037,749202,48000.0,8000000.0
1999-11-22,1498706,1573641,1428457,1573642,936663,53760.0,8000000.0
1999-11-23,1547889,1636879,1475297,1475289,1002425,50400.0,8000000.0
1999-11-24,1501051,1639216,1405043,1592376,1403606,54400.0,8000000.0
1999-11-25,1639214,1782055,1639214,1782056,856957,60880.0,8000000.0
1999-11-26,1896809,1962374,1568962,1580667,2512788,54000.0,8000000.0
1999-11-29,1615800,1695420,1463581,1615793,1317568,55200.0,8000000.0
1999-11-30,1648578,1648578,1423776,1433138,1561206,48960.0,8000000.0
1999-12-01,1433145,1480828,1272506,1327723,775890,42320.0,8000000.0
1999-12-02,1335256,1458245,1267485,1287565,526219,41040.0,8000000.0
1999-12-03,1179645,1312663,1134467,1302625,596494,41520.0,8000000.0
1999-12-06,1330237,1430631,1257446,1387960,840230,44240.0,8000000.0
1999-12-07,1390473,1390473,1232347,1237368,569016,39440.0,8000000.0
1999-12-08,1154545,1237366,1147011,1152032,581909,36720.0,8000000.0
1999-12-09,1079253,1290084,1061680,1290075,911458,41120.0,8000000.0
1999-12-10,1355335,1443186,1229842,1443178,1260146,46000.0,8000000.0
1999-12-13,1505932,1528526,1282549,1325213,1061648,42240.0,8000000.0
1999-12-14,1292589,1430636,1254945,1305134,938539,41600.0,8000000.0
1999-12-15,1254945,1405538,1242391,1280036,799554,40800.0,8000000.0
1999-12-16,1330232,1405527,1280035,1355332,841606,43200.0,8000000.0
1999-12-17,1355340,1355340,1194708,1194700,483733,38080.0,8000000.0
1999-12-20,1116898,1229847,1086779,1154542,310188,36800.0,8000000.0
1999-12-21,1154550,1252431,1104352,1174621,432439,37440.0,8000000.0
1999-12-22,1174629,1315181,1104352,1315174,1204441,41920.0,8000000.0
1999-12-23,1340276,1470788,1257446,1257447,819791,40080.0,8000000.0
1999-12-24,1254940,1267484,1129447,1136973,499972,36240.0,8000000.0
1999-12-27,1104352,1232352,1001444,1019009,479949,32480.0,8000000.0
1999-12-28,941201,1001438,898538,901045,383555,28720.0,8000000.0
2000-01-04,793129,901049,793129,853357,247269,27200.0,8000000.0
2000-01-05,875950,953761,853366,953752,404360,30400.0,8000000.0
2000-01-06,978854,1029051,906064,976341,492491,31120.0,8000000.0
2000-01-07,865906,953756,860886,875946,225232,27920.0,8000000.0
2000-01-10,903559,928657,880965,911084,199361,29040.0,8000000.0
2000-01-11,1001438,1001438,928656,941203,236348,30000.0,8000000.0
2000-01-12,906064,906064,833282,835788,174748,26640.0,8000000.0
2000-01-13,803163,810688,745432,755472,230210,24080.0,8000000.0
2000-01-14,803168,828267,765516,788100,196729,25120.0,8000000.0
2000-01-17,788105,880965,788105,850847,232103,27120.0,8000000.0
2000-01-18,853365,878463,808187,838298,250661,26720.0,8000000.0
2000-01-19,828266,850850,737911,737903,331507,23520.0,8000000.0
2000-01-20,667625,715317,650060,682686,193531,21760.0,8000000.0
2000-01-21,690218,727871,677664,702765,151303,22400.0,8000000.0
2000-01-24,715313,785589,715313,785591,351595,31300.0,10000000.0
2000-01-25,785594,838305,727871,778061,267195,31000.0,10000000.0
2000-01-26,778065,818223,742927,790610,146606,31500.0,10000000.0
2000-01-27,757990,788109,755476,768021,161902,30600.0,10000000.0
2000-01-28,752970,798147,752970,778061,150172,31000.0,10000000.0
2000-01-31,752966,858380,752966,840808,245614,33500.0,10000000.0
2000-02-01,878459,941201,855866,941203,631061,37500.0,10000000.0
2000-02-02,991399,1054151,968816,1016499,945423,40500.0,10000000.0
2000-02-03,1046576,1112746,995456,1025521,662823,34100.0,10000000.0
2000-02-07,1052584,1139801,1043566,1121758,1032582,37300.0,10000000.0
2000-02-08,1112746,1112746,989441,989432,680649,32900.0,10000000.0
2000-02-09,998452,1019508,932291,962366,776043,32000.0,10000000.0
2000-02-10,947341,947341,884182,890188,610144,29600.0,10000000.0
2000-02-11,896209,995456,872151,995447,1411932,33100.0,10000000.0
2000-02-14,1076647,1112744,1040559,1112736,706947,37000.0,10000000.0
2000-02-15,1245069,1245069,1245069,1245061,212534,41400.0,10000000.0
2000-02-16,1392429,1392429,1097702,1112736,3481708,37000.0,10000000.0
2000-02-17,1112739,1187918,1055596,1133787,1525774,37700.0,10000000.0
2000-02-18,1145817,1248066,1145817,1199950,1688278,39900.0,10000000.0
2000-02-21,1106731,1257096,1085675,1184913,1277644,39400.0,10000000.0
2000-02-22,1211976,1326263,1148828,1293179,2310115,43000.0,10000000.0
2000-02-23,1296190,1308220,1139802,1139802,821964,37900.0,10000000.0
2000-02-24,1145820,1242055,1142817,1142809,1498433,38000.0,10000000.0
2000-02-25,1145817,1193935,1007480,1022514,1164609,34000.0,10000000.0
2000-02-28,1082662,1142817,1067630,1142809,392538,38000.0,10000000.0
2000-02-29,1278151,1278151,1208978,1278142,732473,42500.0,10000000.0
2000-03-02,1431527,1431527,1431527,1431519,188051,47600.0,10000000.0
2000-03-03,1602948,1602948,1566861,1602941,2328392,63960.0,12000000.0
2000-03-06,1792415,1792415,1792415,1792406,366217,71520.0,12000000.0
2000-03-07,1654067,1852558,1578888,1702185,3488942,67920.0,12000000.0
2000-03-08,1623995,1903687,1566859,1903680,1417615,75960.0,12000000.0
2000-03-09,2129243,2129243,1981878,2129235,877148,84960.0,12000000.0
2000-03-10,2129240,2381863,2075109,2375841,2683706,94800.0,12000000.0
2000-03-13,2168333,2496144,2105184,2129235,2380436,84960.0,12000000.0
2000-03-14,2105183,2372837,1906691,2270582,3420582,90600.0,12000000.0
2000-03-15,2135250,2496136,1999917,2042020,3219382,81480.0,12000000.0
2000-03-16,1954804,2039017,1798424,1948791,2727754,77760.0,12000000.0
2000-03-17,2039019,2063078,1717224,1819473,1528528,72600.0,12000000.0
2000-03-20,1750311,1759329,1602948,1602941,663975,63960.0,12000000.0
2000-03-21,1413483,1533775,1413483,1413475,1613948,56400.0,12000000.0
2000-03-22,1476631,1578887,1413480,1518734,1884868,60600.0,12000000.0
2000-03-23,1548811,1575881,1338298,1338290,1059379,53400.0,12000000.0
2000-03-24,1356338,1434528,1248065,1353327,1599385,54000.0,12000000.0
2000-03-27,1368367,1515729,1311222,1500689,2505343,59880.0,12000000.0
2000-03-28,1515729,1557832,1413481,1500689,1548942,59880.0,12000000.0
2000-03-29,1443557,1500691,1326267,1473623,833500,58800.0,12000000.0
2000-03-30,1353328,1443557,1323255,1443549,516882,57600.0,12000000.0
2000-03-31,1353327,1440543,1326266,1383401,520409,55200.0,12000000.0
2000-04-03,1383400,1425512,1217994,1217994,488708,48600.0,12000000.0
2000-04-04,1073648,1082665,1073648,1073639,196342,42840.0,12000000.0
2000-04-06,1076645,1148830,995453,1052588,1020638,42000.0,12000000.0
2000-04-07,1085675,1178906,1082663,1178898,1325119,47040.0,12000000.0
2000-04-10,1263110,1320253,1233036,1320246,1109178,52680.0,12000000.0
2000-04-11,1166872,1196945,1163861,1163861,370697,46440.0,12000000.0
2000-04-12,1082665,1118762,1025530,1067625,1137616,42600.0,12000000.0
2000-04-14,947333,1007479,941318,950336,871853,37920.0,12000000.0
2000-04-17,839061,839061,839061,839063,65049,33480.0,12000000.0
2000-04-18,887183,914254,757864,805981,1089939,32160.0,12000000.0
2000-04-19,845082,902225,812006,872144,1509151,34800.0,12000000.0
2000-04-20,815008,848093,781932,836055,760018,33360.0,12000000.0
2000-04-21,872150,935299,845079,935299,1410361,37320.0,12000000.0
2000-04-24,1046570,1046570,950336,974395,1739934,38880.0,12000000.0
2000-04-25,914253,974399,911241,959358,634954,39556.0,12400000.0
2000-04-26,1022519,1025531,857111,872144,808336,35960.0,12400000.0
2000-04-27,815007,929286,815007,854100,537568,35216.0,12400000.0
2000-04-28,857111,887185,818021,872144,495576,35960.0,12400000.0
2000-05-02,902226,947340,878167,908233,609888,37448.0,12400000.0
2000-05-03,899208,899208,848088,869137,395437,35836.0,12400000.0
2000-05-04,860123,920269,854108,884174,524998,36456.0,12400000.0
2000-05-08,899212,989441,899212,989432,1132973,40796.0,12400000.0
2000-05-09,962371,1091690,935300,1031536,1685900,42532.0,12400000.0
2000-05-10,1022517,1031544,980415,1019506,1263659,42036.0,12400000.0
2000-05-12,1034542,1061612,992440,1022514,1339651,42160.0,12400000.0
2000-05-15,1022513,1133789,1007482,1058602,2193474,43648.0,12400000.0
2000-05-16,1094701,1097703,932296,941314,1057921,38812.0,12400000.0
2000-05-17,956356,968385,830048,830041,842282,34224.0,12400000.0
2000-05-18,751851,778922,730804,730797,578654,30132.0,12400000.0
2000-05-19,646595,706741,643583,703730,516140,29016.0,12400000.0
2000-05-22,664646,727796,619532,619523,415619,25544.0,12400000.0
2000-05-23,556372,601487,550358,583434,419353,24056.0,12400000.0
2000-05-24,544338,631555,526294,616516,488734,25420.0,12400000.0
2000-05-25,634570,688702,631558,688693,449520,28396.0,12400000.0
2000-05-26,748844,763876,661627,697715,1316119,28768.0,12400000.0
2000-05-29,676672,778921,616516,724782,989082,29884.0,12400000.0
2000-05-30,739818,763877,712757,727789,1515135,30008.0,12400000.0
2000-05-31,766890,799975,754860,781922,1462839,32240.0,12400000.0
2000-06-01,751846,778916,697714,715760,955317,29512.0,12400000.0
2000-06-02,748848,769895,706745,724782,929347,29884.0,12400000.0
2000-06-05,754860,784933,739819,775907,1087178,31992.0,12400000.0
2000-06-07,775909,866138,745836,866129,1455011,35712.0,12400000.0
2000-06-08,845080,920268,781922,824026,1673788,33976.0,12400000.0
2000-06-09,824033,824033,766890,781922,727868,32240.0,12400000.0
2000-06-12,812005,851095,796963,848085,619016,34968.0,12400000.0
2000-06-13,796964,842078,754861,811996,507677,33480.0,12400000.0
2000-06-14,796963,824033,751849,781922,372104,32240.0,12400000.0
2000-06-15,778922,778922,688702,688693,344646,28396.0,12400000.0
2000-06-16,688702,739822,646599,712752,287059,29388.0,12400000.0
2000-06-19,646594,733802,646594,667641,314622,27528.0,12400000.0
2000-06-20,691704,712760,667646,688693,318274,28396.0,12400000.0
2000-06-21,706746,724790,691705,706737,416073,29140.0,12400000.0
2000-06-22,712756,733803,673656,703730,354746,29016.0,12400000.0
2000-06-23,691699,691699,667640,679671,260762,28024.0,12400000.0
2000-06-26,661627,706741,661627,697715,404225,28768.0,12400000.0
2000-06-27,715762,727792,676671,694708,293076,28644.0,12400000.0
2000-06-28,679675,703734,679675,688693,271825,28396.0,12400000.0
2000-06-29,691705,718776,667646,718767,474491,29636.0,12400000.0
2000-06-30,709749,712761,682687,712752,256475,29388.0,12400000.0
2000-07-03,706746,736820,691705,718767,400955,29636.0,12400000.0
2000-07-04,730804,730804,694716,700723,278709,28892.0,12400000.0
2000-07-05,691698,697712,619522,649597,399017,26784.0,12400000.0
2000-07-06,616510,649595,601478,631553,317054,26040.0,12400000.0
2000-07-07,625536,649595,613507,631553,314261,26040.0,12400000.0
2000-07-10,622525,649595,601478,631553,438631,26040.0,12400000.0
2000-07-11,619526,634567,601482,610501,340132,25172.0,12400000.0
2000-07-12,586437,631551,586437,625538,258216,25792.0,12400000.0
2000-07-13,628553,628553,601482,616516,199989,25420.0,12400000.0
2000-07-14,601484,688702,601484,688693,1471021,28396.0,12400000.0
2000-07-18,715757,742827,637567,643582,1439302,26536.0,12400000.0
2000-07-19,643584,646596,577423,586442,514212,24180.0,12400000.0
2000-07-20,556368,613512,547351,592456,332976,24428.0,12400000.0
2000-07-21,604484,616513,586440,586442,174846,24180.0,12400000.0
2000-07-24,556371,586444,535324,565390,251526,23312.0,12400000.0
2000-07-25,541340,562386,532313,553360,175370,22816.0,12400000.0
2000-07-26,544337,574410,544337,556368,282565,22940.0,12400000.0
2000-07-27,556371,595471,541339,571405,380392,23560.0,12400000.0
2000-07-28,571414,592460,529311,583434,369216,24056.0,12400000.0
2000-07-31,568400,577427,553368,565390,185197,23312.0,12400000.0
2000-08-01,574412,625541,559380,592456,1108102,24428.0,12400000.0
2000-08-02,592455,598469,571408,580427,424744,23932.0,12400000.0
2000-08-03,580427,649600,580427,622530,1722953,25668.0,12400000.0
2000-08-04,637570,679673,616515,640575,1415769,26412.0,12400000.0
2000-08-07,646596,658626,601482,610501,372653,25172.0,12400000.0
2000-08-08,616518,628557,586445,595464,262713,24552.0,12400000.0
2000-08-09,589453,610500,577424,598471,283665,24676.0,12400000.0
2000-08-10,598475,598475,580431,589449,197126,24304.0,12400000.0
2000-08-11,580431,610505,580431,589449,230826,24304.0,12400000.0
2000-08-14,589452,607496,577423,586442,300314,24180.0,12400000.0
2000-08-16,586442,607497,580427,604486,336045,24924.0,12400000.0
2000-08-17,610504,616518,592460,595464,223513,24552.0,12400000.0
2000-08-18,595467,601481,577423,586442,153166,24180.0,12400000.0
2000-08-21,577427,580430,565397,565390,166545,23312.0,12400000.0
2000-08-22,565394,577423,559379,568397,134553,23436.0,12400000.0
2000-08-23,577428,577428,544342,553360,149258,22816.0,12400000.0
2000-08-24,541335,559379,526294,544338,155725,22444.0,12400000.0
2000-08-25,550351,553363,538322,550353,355416,22692.0,12400000.0
