파크시스템스(140860),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-05-17,12200,12550,11650,12550,108783,81618.0,6503455.0
2016-05-18,12550,12600,12050,12300,46062,79992.0,6503455.0
2016-05-19,12150,13350,12100,13150,181693,85520.0,6503455.0
2016-05-20,13100,13850,13000,13000,157685,84545.0,6503455.0
2016-05-23,13000,13750,13000,13450,120013,87471.0,6503455.0
2016-05-24,13450,14350,13250,14350,138191,93468.0,6513455.0
2016-05-25,14150,15150,14150,15100,303591,98353.0,6513455.0
2016-05-26,15050,15400,14650,15000,114840,97702.0,6513455.0
2016-05-27,15000,15500,14850,15250,84563,99330.0,6513455.0
2016-05-30,15300,15300,14850,15100,48943,98353.0,6513455.0
2016-05-31,15150,15200,14550,14700,102553,95748.0,6513455.0
2016-06-01,14700,14800,14400,14750,76585,96073.0,6513455.0
2016-06-02,14650,15950,14650,15650,224251,101936.0,6513455.0
2016-06-03,16000,16250,15050,16200,87175,105518.0,6513455.0
2016-06-07,16200,16850,16100,16700,101516,108775.0,6513455.0
2016-06-08,16700,17000,16400,17000,74156,110729.0,6513455.0
2016-06-09,17050,17350,16600,16900,119577,110077.0,6513455.0
2016-06-10,16850,16900,16450,16800,56339,109426.0,6513455.0
2016-06-13,16650,16900,16150,16800,73319,109426.0,6513455.0
2016-06-14,16600,16800,16250,16800,62946,109429.0,6513655.0
2016-06-15,16750,18000,16450,17750,153002,115617.0,6513655.0
2016-06-16,17800,18000,16650,17500,82399,113989.0,6513655.0
2016-06-17,17600,18400,17050,18200,122609,118549.0,6513655.0
2016-06-20,18300,18700,18050,18650,127104,121480.0,6513655.0
2016-06-21,18550,18850,17700,18400,96787,119851.0,6513655.0
2016-06-22,18400,18400,17700,18050,64670,117571.0,6513655.0
2016-06-23,17900,17900,16950,17450,130862,113663.0,6513655.0
2016-06-24,17450,17700,15750,16400,257942,106824.0,6513655.0
2016-06-27,16000,16650,15650,16350,127659,106498.0,6513655.0
2016-06-28,15850,16700,15850,16300,95315,106173.0,6513655.0
2016-06-29,16500,17200,16450,16800,152783,109429.0,6513655.0
2016-06-30,17100,17800,16900,17500,133204,113989.0,6513655.0
2016-07-01,17500,18500,17500,18000,146019,117246.0,6513655.0
2016-07-04,18150,18650,17700,17800,120068,115943.0,6513655.0
2016-07-05,17750,18650,17600,18550,66143,120828.0,6513655.0
2016-07-06,18500,18850,18200,18550,81504,120828.0,6513655.0
2016-07-07,18500,19650,18500,19400,129447,126365.0,6513655.0
2016-07-08,19400,19850,19000,19200,80107,125062.0,6513655.0
2016-07-11,19300,19500,18800,19050,62846,124085.0,6513655.0
2016-07-12,19050,19050,18400,18750,101761,122131.0,6513655.0
2016-07-13,18750,19500,18650,19250,62030,125388.0,6513655.0
2016-07-14,19250,19950,19050,19750,63273,128645.0,6513655.0
2016-07-15,20000,20000,19350,19600,37319,127760.0,6518355.0
2016-07-18,19600,19750,19000,19000,38327,123849.0,6518355.0
2016-07-19,18600,19100,18300,18750,83630,122219.0,6518355.0
2016-07-20,18750,19000,18500,18550,32381,120915.0,6518355.0
2016-07-21,18800,18800,18150,18500,59288,120590.0,6518355.0
2016-07-22,18350,19050,18300,18700,51177,121893.0,6518355.0
2016-07-25,18600,18600,18100,18450,49267,120264.0,6518355.0
2016-07-26,18900,18900,18250,18300,30764,119286.0,6518355.0
2016-07-27,18300,18350,17500,17800,68191,116027.0,6518355.0
2016-07-28,17650,18150,17500,17750,35266,115701.0,6518355.0
2016-07-29,17750,17900,17450,17850,29195,116353.0,6518355.0
2016-08-01,17800,18000,17400,17900,43156,116679.0,6518355.0
2016-08-02,17700,18450,17650,18300,80534,119286.0,6518355.0
2016-08-03,17950,19000,17850,19000,89209,123849.0,6518355.0
2016-08-04,19000,19000,18300,18850,57074,122871.0,6518355.0
2016-08-05,18700,19150,17950,18300,69296,119286.0,6518355.0
2016-08-08,18300,18500,17700,17800,20389,116027.0,6518355.0
2016-08-09,17550,18000,17500,18000,40750,117330.0,6518355.0
2016-08-10,17800,18250,17650,18250,28414,118960.0,6518355.0
2016-08-11,18050,18350,17650,18200,18054,118634.0,6518355.0
2016-08-12,18150,18150,17650,17700,28270,115375.0,6518355.0
2016-08-16,17850,18050,17600,17750,24831,115701.0,6518355.0
2016-08-17,17600,17800,16700,17550,112284,114397.0,6518355.0
2016-08-18,17550,17700,16950,17100,42476,111464.0,6518355.0
2016-08-19,16950,18550,16850,18200,87579,118634.0,6518355.0
2016-08-22,18150,18500,17950,18100,36356,117982.0,6518355.0
2016-08-23,17900,18500,17900,18150,63189,118308.0,6518355.0
2016-08-24,18100,19900,18000,19800,194041,129063.0,6518355.0
2016-08-25,19600,19950,19500,19800,70169,129063.0,6518355.0
2016-08-26,19700,19850,18750,18750,84091,122219.0,6518355.0
2016-08-29,18500,18750,17950,17950,48855,117004.0,6518355.0
2016-08-30,18150,18300,17800,17800,34018,116027.0,6518355.0
2016-08-31,17800,18000,17200,17400,31408,113419.0,6518355.0
2016-09-01,17250,17800,17250,17450,33195,113745.0,6518355.0
2016-09-02,17500,17550,16750,17200,60340,112116.0,6518355.0
2016-09-05,17050,17650,17050,17350,28115,113093.0,6518355.0
2016-09-06,17100,17350,16450,16700,59340,108857.0,6518355.0
2016-09-07,16550,17150,16500,16550,22857,107879.0,6518355.0
2016-09-08,16600,16650,15700,15800,81692,102990.0,6518355.0
2016-09-09,15600,16200,15500,16150,20364,105271.0,6518355.0
2016-09-12,15500,15850,15500,15850,19291,103316.0,6518355.0
2016-09-13,15950,16350,15750,16150,19130,105271.0,6518355.0
2016-09-19,16150,16400,15650,16300,16718,106249.0,6518355.0
2016-09-20,16050,17250,15950,17150,40982,111790.0,6518355.0
2016-09-21,16850,17300,16750,16900,15078,110160.0,6518355.0
2016-09-22,16750,17350,16650,17200,33259,112116.0,6518355.0
2016-09-23,17100,17750,17100,17750,30196,115701.0,6518355.0
2016-09-26,17800,17800,16900,17000,26736,110812.0,6518355.0
2016-09-27,16750,17450,16750,17450,20084,113745.0,6518355.0
2016-09-28,17450,17450,16650,16950,33262,110486.0,6518355.0
2016-09-29,16750,17100,16500,16900,30204,110160.0,6518355.0
2016-09-30,16900,17250,16450,17050,28214,111138.0,6518355.0
2016-10-04,17000,17050,16500,16600,25592,108205.0,6518355.0
2016-10-05,16650,16850,16100,16650,27958,108531.0,6518355.0
2016-10-06,16650,16900,15900,16100,29910,104946.0,6518355.0
2016-10-07,16050,16050,15550,15700,20376,102338.0,6518355.0
2016-10-10,15700,15850,14800,15000,50813,97775.0,6518355.0
2016-10-11,15000,15150,14250,14450,91988,94190.0,6518355.0
2016-10-12,14250,14900,14100,14600,37930,95168.0,6518355.0
2016-10-13,14600,15000,14350,15000,35229,97775.0,6518355.0
2016-10-14,14800,14950,14500,14650,25695,95494.0,6518355.0
2016-10-17,14650,14650,14100,14200,20881,92681.0,6526855.0
2016-10-18,13950,14300,13200,13800,99298,90071.0,6526855.0
2016-10-19,13600,14300,13600,14250,34030,93008.0,6526855.0
2016-10-20,14150,14400,14050,14150,17151,92355.0,6526855.0
2016-10-21,14150,14850,13600,14600,31273,95292.0,6526855.0
2016-10-24,14800,15300,14600,15150,90130,98882.0,6526855.0
2016-10-25,14750,16100,14750,15650,68534,102145.0,6526855.0
2016-10-26,15750,16450,15400,16200,66833,105735.0,6526855.0
2016-10-27,16200,16400,15900,16400,37509,107040.0,6526855.0
2016-10-28,16200,16400,15600,15850,19653,103451.0,6526855.0
2016-10-31,15500,15550,14700,15150,22738,98882.0,6526855.0
2016-11-01,14600,15650,14600,15650,46821,102145.0,6526855.0
2016-11-02,15300,15650,14800,15000,15824,97903.0,6526855.0
2016-11-03,14800,15150,14700,14950,12976,97576.0,6526855.0
2016-11-04,14700,15000,14600,15000,6235,97903.0,6526855.0
2016-11-07,15050,15100,14700,14800,16948,96597.0,6526855.0
2016-11-08,14900,14900,14450,14750,14991,96271.0,6526855.0
2016-11-09,14750,15300,13350,14150,68674,92355.0,6526855.0
2016-11-10,14400,15100,14350,14900,27887,97250.0,6526855.0
2016-11-11,14900,15150,14650,15100,8938,98556.0,6526855.0
2016-11-14,15200,15250,14500,14500,13831,94639.0,6526855.0
2016-11-15,14450,15050,14000,14600,43193,95292.0,6526855.0
2016-11-16,14600,14900,14300,14600,26949,95292.0,6526855.0
2016-11-17,14600,14600,14150,14600,25979,95292.0,6526855.0
2016-11-18,14600,14600,14350,14400,8376,93987.0,6526855.0
2016-11-21,14400,15000,13850,14100,25844,92029.0,6526855.0
2016-11-22,14200,14400,13700,14200,16680,92681.0,6526855.0
2016-11-23,14300,14500,13700,13950,18945,91050.0,6526855.0
2016-11-24,13750,13950,13250,13300,37838,86807.0,6526855.0
2016-11-25,13300,13400,13100,13150,17863,85828.0,6526855.0
2016-11-28,12950,13250,12700,12850,23142,83870.0,6526855.0
2016-11-29,13150,13600,12850,13300,20019,86807.0,6526855.0
2016-11-30,13300,14300,12950,14000,70965,91376.0,6526855.0
2016-12-01,13850,15250,13800,15200,73797,99208.0,6526855.0
2016-12-02,15200,15250,14700,15100,27000,98556.0,6526855.0
2016-12-05,15100,15150,14750,14750,34680,96271.0,6526855.0
2016-12-06,14450,15000,14450,14700,26716,95945.0,6526855.0
2016-12-07,15150,15150,14650,14850,44808,96924.0,6526855.0
2016-12-08,14800,15850,14800,15300,57415,99861.0,6526855.0
2016-12-09,15350,16300,15300,16100,73798,105082.0,6526855.0
2016-12-12,16100,16450,15850,16000,31710,104430.0,6526855.0
2016-12-13,16000,17150,15900,16850,107498,109978.0,6526855.0
2016-12-14,16950,17350,16650,17100,68169,111609.0,6526855.0
2016-12-15,16950,17200,16700,17100,48425,111609.0,6526855.0
2016-12-16,17200,17250,16600,17250,48425,112588.0,6526855.0
2016-12-19,17250,17250,16750,16750,24578,109325.0,6526855.0
2016-12-20,16750,16900,16650,16750,31731,109325.0,6526855.0
2016-12-21,16750,16750,16400,16600,24748,108346.0,6526855.0
2016-12-22,16600,17450,16350,17250,71190,112588.0,6526855.0
2016-12-23,17300,17300,16850,17050,18272,111283.0,6526855.0
2016-12-26,16900,17150,16750,16800,27627,109651.0,6526855.0
2016-12-27,16650,17150,16600,17150,34407,111936.0,6526855.0
2016-12-28,16800,17450,16800,17200,29729,112262.0,6526855.0
2016-12-29,17200,18050,17000,17800,115143,116178.0,6526855.0
2017-01-02,18100,20150,18100,19900,282417,129884.0,6526855.0
2017-01-03,19850,19850,19300,19300,51293,125968.0,6526855.0
2017-01-04,19150,19500,18600,18750,78042,122379.0,6526855.0
2017-01-05,18750,19000,18200,18800,39809,122705.0,6526855.0
2017-01-06,19100,19800,18900,19500,102939,127274.0,6526855.0
2017-01-09,19500,19750,18900,19300,34362,125968.0,6526855.0
2017-01-10,19400,19750,19150,19600,27677,127926.0,6526855.0
2017-01-11,19650,19700,19150,19400,19677,126621.0,6526855.0
2017-01-12,19500,19500,18400,19200,69953,125316.0,6526855.0
2017-01-13,19200,19300,18350,18600,45209,121400.0,6526855.0
2017-01-16,18600,18650,17900,18100,25610,118136.0,6526855.0
2017-01-17,18200,19300,18100,18800,40441,122705.0,6526855.0
2017-01-18,18850,19450,18800,19050,77507,124337.0,6526855.0
2017-01-19,18950,20800,18950,20350,171231,132821.0,6526855.0
2017-01-20,20300,20650,20150,20400,63465,133148.0,6526855.0
2017-01-23,20400,21850,20400,21050,99039,137390.0,6526855.0
2017-01-24,21250,21450,20600,21000,35777,137064.0,6526855.0
2017-01-25,21350,21700,20700,20950,37778,136738.0,6526855.0
2017-01-26,21150,21150,20500,20500,25927,133801.0,6526855.0
2017-01-31,20250,21650,20250,21450,52084,140001.0,6526855.0
2017-02-01,21450,22200,21400,21750,65874,141959.0,6526855.0
2017-02-02,21700,21900,20400,20700,43194,135116.0,6527355.0
2017-02-03,20500,21000,20100,20450,37973,133484.0,6527355.0
2017-02-06,20450,20600,20250,20400,14363,133158.0,6527355.0
2017-02-07,20200,20600,19200,20000,62619,130547.0,6527355.0
2017-02-08,19800,20250,19500,19700,30276,128589.0,6527355.0
2017-02-09,19700,20350,19200,20000,26994,130547.0,6527355.0
2017-02-10,20000,20400,19300,19600,37213,127936.0,6527355.0
2017-02-13,19600,19750,18000,18200,299352,118798.0,6527355.0
2017-02-14,18500,18900,18100,18800,110428,122714.0,6527355.0
2017-02-15,18800,19100,18300,18850,77855,123041.0,6527355.0
2017-02-16,18850,19150,18500,19100,62829,124672.0,6527355.0
2017-02-17,18800,19200,18200,18700,73722,122062.0,6527355.0
2017-02-20,18700,19100,18350,18550,40691,121082.0,6527355.0
2017-02-21,18600,18700,18200,18700,51405,122062.0,6527355.0
2017-02-22,18700,18700,18350,18700,22892,122062.0,6527355.0
2017-02-23,18700,18700,18350,18400,10394,120103.0,6527355.0
2017-02-24,18200,18300,17450,17850,55080,116513.0,6527355.0
2017-02-27,17850,17900,17500,17900,20644,116840.0,6527355.0
2017-02-28,17900,18100,17500,17850,25873,116513.0,6527355.0
2017-03-02,17900,17950,17500,17850,10528,116513.0,6527355.0
2017-03-03,17550,17800,17300,17450,13755,113902.0,6527355.0
2017-03-06,17350,18000,17350,17600,12573,114881.0,6527355.0
2017-03-07,17600,18250,17350,18250,28884,119124.0,6527355.0
2017-03-08,18250,18250,17950,18100,7865,118145.0,6527355.0
2017-03-09,18250,18250,17600,17650,10911,115208.0,6527355.0
2017-03-10,17350,18050,17350,18000,13861,117492.0,6527355.0
2017-03-13,17950,18300,17700,18000,16734,117492.0,6527355.0
2017-03-14,18100,18100,17500,17650,11423,115208.0,6527355.0
2017-03-15,17650,17700,17350,17500,12496,114229.0,6527355.0
2017-03-16,17300,17700,17300,17500,10547,114229.0,6527355.0
2017-03-17,17500,17650,17150,17500,10001,114229.0,6527355.0
2017-03-20,17500,17950,17400,17600,15020,114881.0,6527355.0
2017-03-21,17800,17800,17100,17300,22721,112923.0,6527355.0
2017-03-22,17250,17300,16600,16800,31185,109660.0,6527355.0
2017-03-23,16750,17400,16400,17300,45576,112923.0,6527355.0
2017-03-24,17050,18300,17050,18000,42766,117492.0,6527355.0
2017-03-27,18000,18250,17700,18000,28773,117492.0,6527355.0
2017-03-28,17800,18500,17750,18350,59970,119777.0,6527355.0
2017-03-29,18350,18350,17900,18050,26143,117819.0,6527355.0
2017-03-30,18050,18150,17750,18100,18559,118145.0,6527355.0
2017-03-31,18200,18250,17950,18050,17741,117819.0,6527355.0
2017-04-03,18050,18700,18000,18350,35605,119777.0,6527355.0
2017-04-04,18450,18450,17900,18300,33515,119451.0,6527355.0
2017-04-05,18250,18350,18050,18200,29725,118798.0,6527355.0
2017-04-06,18400,18400,18000,18200,12750,118798.0,6527355.0
2017-04-07,18000,18600,17750,17900,24206,116840.0,6527355.0
2017-04-10,17900,17950,17250,17250,41814,112597.0,6527355.0
2017-04-11,17200,17450,17050,17050,16423,111291.0,6527355.0
2017-04-12,17300,17550,17050,17450,24749,113902.0,6527355.0
2017-04-13,17550,18350,17500,18050,39321,117819.0,6527355.0
2017-04-14,17850,18200,17500,17500,35493,114229.0,6527355.0
2017-04-17,17700,18500,17700,18500,72934,120756.0,6527355.0
2017-04-18,18750,18750,18200,18500,20619,120756.0,6527355.0
2017-04-19,18600,18650,18150,18450,28348,120430.0,6527355.0
2017-04-20,18500,18550,18050,18300,16440,119451.0,6527355.0
2017-04-21,18400,18450,17950,18200,24091,118798.0,6527355.0
2017-04-24,18050,18500,17950,18500,22719,120756.0,6527355.0
2017-04-25,18500,18500,18050,18050,16378,117819.0,6527355.0
2017-04-26,18250,18250,17700,18150,23303,118471.0,6527355.0
2017-04-27,18150,18250,17750,17800,12359,116187.0,6527355.0
2017-04-28,17800,17950,17550,17600,19548,114881.0,6527355.0
2017-05-02,17600,17800,17300,17300,17958,112923.0,6527355.0
2017-05-04,17300,18150,17300,17600,47387,114881.0,6527355.0
2017-05-08,17600,17950,17500,17600,10391,114881.0,6527355.0
2017-05-10,17750,18400,17600,18300,27398,119451.0,6527355.0
2017-05-11,18550,18550,17850,18000,19963,117492.0,6527355.0
2017-05-12,18000,18000,17300,17950,36052,117166.0,6527355.0
2017-05-15,17600,17950,17500,17750,16936,115861.0,6527355.0
2017-05-16,17550,17950,16850,17150,68374,111944.0,6527355.0
2017-05-17,17050,17300,16900,17300,22890,112923.0,6527355.0
2017-05-18,17400,18400,16850,18200,44086,118798.0,6527355.0
2017-05-19,17900,18450,17850,17850,22696,116513.0,6527355.0
2017-05-22,18000,18700,18000,18700,66564,122062.0,6527355.0
2017-05-23,18700,18700,18000,18450,56155,120430.0,6527355.0
2017-05-24,18600,19250,18350,19200,65241,125325.0,6527355.0
2017-05-25,19250,19450,18850,19000,38044,124020.0,6527355.0
2017-05-26,19200,19750,18950,19300,41392,125978.0,6527355.0
2017-05-29,19500,19700,18850,19500,53421,127283.0,6527355.0
2017-05-30,19650,20450,19500,20400,123668,133158.0,6527355.0
2017-05-31,20350,20700,20100,20650,42229,134790.0,6527355.0
2017-06-01,20650,20650,19850,20300,63168,132505.0,6527355.0
2017-06-02,20500,20500,19700,20150,35772,131526.0,6527355.0
2017-06-05,20200,20300,19750,20100,11079,131200.0,6527355.0
2017-06-07,20100,20850,19750,20850,50344,136095.0,6527355.0
2017-06-08,21000,21650,20650,21650,62608,141317.0,6527355.0
2017-06-09,21900,21950,21300,21600,26996,140991.0,6527355.0
2017-06-12,21900,22350,21350,22100,46210,144255.0,6527355.0
2017-06-13,22250,22350,21650,22000,34546,143602.0,6527355.0
2017-06-14,22000,22000,21600,21700,20382,141644.0,6527355.0
2017-06-15,21800,22050,21250,21700,29451,141644.0,6527355.0
2017-06-16,21700,21800,21000,21700,14532,141644.0,6527355.0
2017-06-19,21700,21800,21300,21800,28462,142296.0,6527355.0
2017-06-20,21800,22100,21500,21750,28701,141970.0,6527355.0
2017-06-21,21400,21750,21000,21400,32007,139685.0,6527355.0
2017-06-22,21200,21600,21200,21500,36823,140338.0,6527355.0
2017-06-23,21400,22750,21400,22750,67396,148497.0,6527355.0
2017-06-26,22750,23550,22600,23350,60739,152414.0,6527355.0
2017-06-27,23350,24550,23350,23800,72641,155351.0,6527355.0
2017-06-28,23500,25200,23500,25200,67152,164489.0,6527355.0
2017-06-29,25500,25800,24550,24800,38900,161878.0,6527355.0
2017-06-30,24800,24800,23800,24250,41164,158288.0,6527355.0
2017-07-03,23850,24250,23150,23400,47148,152740.0,6527355.0
2017-07-04,23150,24000,23000,23650,28792,154372.0,6527355.0
2017-07-05,23650,24050,23350,23600,18187,154046.0,6527355.0
2017-07-06,23600,23800,23150,23600,20816,154046.0,6527355.0
2017-07-07,23200,23850,23200,23400,9350,152740.0,6527355.0
2017-07-10,23400,24500,23050,24300,40591,158615.0,6527355.0
2017-07-11,24650,25400,24400,25300,56352,165142.0,6527355.0
2017-07-12,25400,25400,24750,25200,21609,164489.0,6527355.0
2017-07-13,24950,26950,24900,26500,80917,172975.0,6527355.0
2017-07-14,26200,26750,25950,26000,21536,169711.0,6527355.0
2017-07-17,26500,26500,25400,25800,30441,168824.0,6543555.0
2017-07-18,26000,26000,25100,25400,37501,166206.0,6543555.0
2017-07-19,25700,26300,25200,26250,34636,171768.0,6543555.0
2017-07-20,26750,26750,26000,26700,28133,174713.0,6543555.0
2017-07-21,26850,27300,26500,27000,21110,176676.0,6543555.0
2017-07-24,27000,27400,26750,26750,24191,175040.0,6543555.0
2017-07-25,26750,27000,25800,26000,22516,170132.0,6543555.0
2017-07-26,26600,26600,25050,25700,17149,168169.0,6543555.0
2017-07-27,25700,26000,24450,25700,14814,168169.0,6543555.0
2017-07-28,25600,25600,24300,24500,21136,160317.0,6543555.0
2017-07-31,24100,24750,23700,24350,18831,159336.0,6543555.0
2017-08-01,24350,24850,24250,24500,9038,160317.0,6543555.0
2017-08-02,24250,24550,24050,24050,14787,157372.0,6543555.0
2017-08-03,24050,24550,23100,24550,46222,160644.0,6543555.0
2017-08-04,24550,25150,24300,24950,31037,163262.0,6543555.0
2017-08-07,25200,25200,24700,25000,12467,163589.0,6543555.0
2017-08-08,25250,25250,24650,24800,5659,162280.0,6543555.0
2017-08-09,24800,25250,24150,24650,20554,161299.0,6543555.0
2017-08-10,24650,24950,23750,24500,10981,160317.0,6543555.0
2017-08-11,23950,24150,22650,23300,26337,152465.0,6543555.0
2017-08-14,23550,24000,23100,23800,15408,155737.0,6543555.0
2017-08-16,24050,25550,24000,25500,29452,166861.0,6543555.0
2017-08-17,25500,26200,25250,25750,19657,168497.0,6543555.0
2017-08-18,25550,25900,25300,25700,9834,168169.0,6543555.0
2017-08-21,25700,25900,25200,25450,8240,166533.0,6543555.0
2017-08-22,25050,25650,25000,25150,9436,164570.0,6543555.0
2017-08-23,25150,25350,24700,25150,12344,164570.0,6543555.0
2017-08-24,25100,25700,24450,24700,24408,161626.0,6543555.0
2017-08-25,24750,25450,24250,25100,40333,164243.0,6543555.0
2017-08-28,25200,26000,25100,25900,25298,169478.0,6543555.0
2017-08-29,26000,26500,25750,26450,20200,173077.0,6543555.0
2017-08-30,26450,27250,26400,27000,43039,176676.0,6543555.0
2017-08-31,27200,27200,26600,27000,9442,176676.0,6543555.0
2017-09-01,27000,27300,26650,27000,12769,176676.0,6543555.0
