유테크(178780),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-04-19,6930,7450,6920,7260,556750,73766.0,10160600.0
2016-04-20,7280,7470,7260,7350,256997,74680.0,10160600.0
2016-04-21,7350,7380,7010,7380,264038,74985.0,10160600.0
2016-04-22,7310,7590,7310,7570,357078,76916.0,10160600.0
2016-04-25,7600,7760,7450,7740,290353,78643.0,10160600.0
2016-04-26,7740,7830,7640,7700,238967,78237.0,10160600.0
2016-04-27,7640,7910,7640,7790,219443,79151.0,10160600.0
2016-04-28,7830,8160,7790,8060,407130,81894.0,10160600.0
2016-04-29,8060,8310,8000,8140,318130,82707.0,10160600.0
2016-05-02,8230,8300,7790,8160,253893,82910.0,10160600.0
2016-05-03,7940,8300,7870,8300,253749,84333.0,10160600.0
2016-05-04,8350,8560,8270,8480,387521,86162.0,10160600.0
2016-05-09,8460,8460,7990,7990,293094,81183.0,10160600.0
2016-05-10,7910,8390,7910,8000,218701,81285.0,10160600.0
2016-05-11,8150,8540,7490,8540,629461,86772.0,10160600.0
2016-05-12,8540,8900,8450,8740,486286,88804.0,10160600.0
2016-05-13,8800,9400,7840,7880,1445298,80066.0,10160600.0
2016-05-16,7880,8090,7420,7760,392007,78846.0,10160600.0
2016-05-17,8050,8070,7450,7560,240248,76814.0,10160600.0
2016-05-18,7490,7560,7230,7240,202470,73563.0,10160600.0
2016-05-19,7280,7530,7120,7180,100819,72953.0,10160600.0
2016-05-20,7100,7450,7020,7340,164319,74579.0,10160600.0
2016-05-23,7300,8290,7300,8070,614867,81996.0,10160600.0
2016-05-24,8180,8220,8000,8070,294221,81996.0,10160600.0
2016-05-25,8100,8200,7950,8050,242935,81793.0,10160600.0
2016-05-26,8100,8590,7900,7960,501209,80878.0,10160600.0
2016-05-27,7970,8880,7960,8580,1080257,87178.0,10160600.0
2016-05-30,8650,9330,8350,8950,1128408,90937.0,10160600.0
2016-05-31,8800,9250,8700,9170,404736,93173.0,10160600.0
2016-06-01,9210,9410,8990,9100,406896,92461.0,10160600.0
2016-06-02,9080,9300,8860,9250,316696,93986.0,10160600.0
2016-06-03,9180,9310,8850,9060,211443,92055.0,10160600.0
2016-06-07,9090,9090,8650,8790,352837,89312.0,10160600.0
2016-06-08,8850,9050,8540,8950,263361,90937.0,10160600.0
2016-06-09,8950,8950,8550,8700,269147,88397.0,10160600.0
2016-06-10,8650,8870,8610,8870,238947,90125.0,10160600.0
2016-06-13,8760,9110,8500,8680,461576,88194.0,10160600.0
2016-06-14,8660,9200,8660,9180,504715,93274.0,10160600.0
2016-06-15,9270,9530,8970,9000,430717,91445.0,10160600.0
2016-06-16,9000,9110,8490,8650,263292,87889.0,10160600.0
2016-06-17,8650,8950,8540,8580,184363,87178.0,10160600.0
2016-06-20,8490,8690,8470,8690,145468,88296.0,10160600.0
2016-06-21,8690,8800,8220,8330,273174,84638.0,10160600.0
2016-06-22,8330,8990,8280,8860,372496,90023.0,10160600.0
2016-06-23,8900,8930,8610,8700,233891,88397.0,10160600.0
2016-06-24,8720,8780,7200,7790,972184,79151.0,10160600.0
2016-06-27,7790,8300,7610,7850,642625,79761.0,10160600.0
2016-06-28,7500,7920,7460,7840,767013,79659.0,10160600.0
2016-06-29,7870,8050,7680,7750,355348,78745.0,10160600.0
2016-06-30,7770,8140,7560,7940,372562,80675.0,10160600.0
2016-07-01,7990,8080,7890,7950,183997,80777.0,10160600.0
2016-07-04,7980,8900,7960,8470,906664,86060.0,10160600.0
2016-07-05,8550,8950,8380,8860,805781,90023.0,10160600.0
2016-07-06,8800,9190,8600,9090,630374,92360.0,10160600.0
2016-07-07,9100,9180,8950,9100,444420,92461.0,10160600.0
2016-07-08,9200,9920,9200,9920,1991108,100793.0,10160600.0
2016-07-11,10100,12400,9830,11300,5734865,114815.0,10160600.0
2016-07-12,11250,11300,10400,10650,1704708,108210.0,10160600.0
2016-07-13,10550,11000,10250,10700,824245,108718.0,10160600.0
2016-07-14,10550,11000,8370,8960,2196162,91039.0,10160600.0
2016-07-15,9000,9440,8840,9280,1221696,94290.0,10160600.0
2016-07-18,9280,9340,8900,8900,491040,90429.0,10160600.0
2016-07-19,8830,9480,8820,9140,371989,92868.0,10160600.0
2016-07-20,9050,9290,9020,9190,285308,93376.0,10160600.0
2016-07-21,8980,10000,8500,8810,1969992,89515.0,10160600.0
2016-07-22,8810,9240,8790,9100,382430,92461.0,10160600.0
2016-07-25,9150,9500,8800,8990,588293,91344.0,10160600.0
2016-07-26,9000,9200,9000,9140,254000,92868.0,10160600.0
2016-07-27,9150,9480,9140,9480,513034,96322.0,10160600.0
2016-07-28,9530,9720,9380,9390,492197,95408.0,10160600.0
2016-07-29,9300,9450,9160,9240,283164,93884.0,10160600.0
2016-08-01,9250,9330,9050,9210,196586,93579.0,10160600.0
2016-08-02,9200,9600,9170,9600,292508,97542.0,10160600.0
2016-08-03,0,0,0,9600,0,97542.0,10160600.0
2016-08-04,9900,10250,9610,10100,850043,102622.0,10160600.0
2016-08-05,10200,10350,9970,10000,410793,101606.0,10160600.0
2016-08-08,10000,10350,9920,10200,344251,103638.0,10160600.0
2016-08-09,10200,10450,9990,10300,322025,104654.0,10160600.0
2016-08-10,10300,10500,10000,10000,256063,101606.0,10160600.0
2016-08-11,10100,10250,9960,10100,223090,102622.0,10160600.0
2016-08-12,10200,11000,10200,11000,1044387,111767.0,10160600.0
2016-08-16,11200,11650,10800,11100,606877,112783.0,10160600.0
2016-08-17,11050,11200,9990,10300,911741,104654.0,10160600.0
2016-08-18,10150,10850,10150,10450,337089,106178.0,10160600.0
2016-08-19,10400,10800,10400,10550,198797,107194.0,10160600.0
2016-08-22,10500,10600,10000,10150,232205,103130.0,10160600.0
2016-08-23,10150,10700,10050,10500,270014,106686.0,10160600.0
2016-08-24,10250,10550,10200,10350,185730,105162.0,10160600.0
2016-08-25,10400,10500,10150,10250,179638,104146.0,10160600.0
2016-08-26,10300,10950,10300,10800,448431,109734.0,10160600.0
2016-08-29,10900,11000,10200,10250,256754,104146.0,10160600.0
2016-08-30,10300,10500,10100,10250,161130,104146.0,10160600.0
2016-08-31,10250,10450,9990,10350,194257,105162.0,10160600.0
2016-09-01,10350,10350,10000,10050,166093,102114.0,10160600.0
2016-09-02,10200,10400,10000,10150,175637,103130.0,10160600.0
2016-09-05,10200,10350,10050,10300,144311,104654.0,10160600.0
2016-09-06,10300,10650,10200,10200,306992,103638.0,10160600.0
2016-09-07,10200,10400,9990,9990,128753,101504.0,10160600.0
2016-09-08,9900,10100,9250,9520,297498,96729.0,10160600.0
2016-09-09,9530,9740,9140,9150,221993,92969.0,10160600.0
2016-09-12,9150,9390,8900,8900,164856,90429.0,10160600.0
2016-09-13,8930,9380,8930,9170,109161,93173.0,10160600.0
2016-09-19,9210,9350,9030,9070,111691,92157.0,10160600.0
2016-09-20,9000,9200,8770,8850,162042,89921.0,10160600.0
2016-09-21,9040,9940,8990,9820,429917,99777.0,10160600.0
2016-09-22,9950,10000,9670,9820,160117,99777.0,10160600.0
2016-09-23,9990,10250,9750,10100,228294,102622.0,10160600.0
2016-09-26,10000,10250,9780,10050,192000,102114.0,10160600.0
2016-09-27,10000,10000,9580,9700,192045,98558.0,10160600.0
2016-09-28,9700,10050,9660,9890,136877,100488.0,10160600.0
2016-09-29,9890,10050,9800,9920,94056,100793.0,10160600.0
2016-09-30,9950,10450,9600,10200,337450,103638.0,10160600.0
2016-10-04,10250,10250,9920,9920,183393,100793.0,10160600.0
2016-10-05,9920,10050,9890,10000,99119,101606.0,10160600.0
2016-10-06,10000,10100,9930,10050,74021,102114.0,10160600.0
2016-10-07,9980,9980,9620,9620,137668,97745.0,10160600.0
2016-10-10,9620,9970,9550,9550,77030,97034.0,10160600.0
2016-10-11,9550,9700,9400,9700,84736,98558.0,10160600.0
2016-10-12,9480,10100,9480,9820,155850,99777.0,10160600.0
2016-10-13,9850,9950,9650,9770,73268,99269.0,10160600.0
2016-10-14,9850,9850,9580,9700,88520,98558.0,10160600.0
2016-10-17,9730,9760,9580,9720,46973,98761.0,10160600.0
2016-10-18,9720,9720,9420,9480,86677,96322.0,10160600.0
2016-10-19,9460,9680,9300,9500,75688,96526.0,10160600.0
2016-10-20,9580,9590,9000,9250,149868,93986.0,10160600.0
2016-10-21,9150,9260,9000,9010,56721,91547.0,10160600.0
2016-10-24,9170,9360,9050,9090,89842,92360.0,10160600.0
2016-10-25,9070,9170,8880,8950,79563,90937.0,10160600.0
2016-10-26,8920,9100,8670,9090,125132,92360.0,10160600.0
2016-10-27,9130,9150,9020,9100,28917,92461.0,10160600.0
2016-10-28,9010,9180,8960,8960,42010,91039.0,10160600.0
2016-10-31,8950,9000,8470,8560,92598,86975.0,10160600.0
2016-11-01,8480,8720,8480,8660,35257,87991.0,10160600.0
2016-11-02,8520,8660,8060,8160,125042,82910.0,10160600.0
2016-11-03,8030,8900,8030,8900,119731,90429.0,10160600.0
2016-11-04,8900,9000,8610,8880,55853,90226.0,10160600.0
2016-11-07,8840,8980,8380,8380,82962,85146.0,10160600.0
2016-11-08,8310,8660,8310,8350,58255,84841.0,10160600.0
2016-11-09,8370,8990,7790,8610,203893,87483.0,10160600.0
2016-11-10,8620,9310,8620,9290,166123,94392.0,10160600.0
2016-11-11,9200,9550,9180,9440,89320,95916.0,10160600.0
2016-11-14,9580,9580,9170,9360,91295,95103.0,10160600.0
2016-11-15,9240,9360,9050,9190,42343,93376.0,10160600.0
2016-11-16,9170,9370,9050,9170,63639,93173.0,10160600.0
2016-11-17,9170,9260,9020,9170,67024,93173.0,10160600.0
2016-11-18,9170,9170,8950,8970,61499,91141.0,10160600.0
2016-11-21,8860,9040,8650,8730,38692,88702.0,10160600.0
2016-11-22,8730,9200,8680,8800,104003,89413.0,10160600.0
2016-11-23,8700,8830,8280,8500,63157,86365.0,10160600.0
2016-11-24,8490,8590,7960,8100,158291,82301.0,10160600.0
2016-11-25,8000,8590,8000,8430,119157,85654.0,10160600.0
2016-11-28,8400,8490,8150,8410,92347,85451.0,10160600.0
2016-11-29,8410,8590,8260,8330,77393,84638.0,10160600.0
2016-11-30,8300,8450,8180,8330,46945,84638.0,10160600.0
2016-12-01,8340,8530,8240,8420,63507,85552.0,10160600.0
2016-12-02,8380,8520,8300,8520,73735,86568.0,10160600.0
2016-12-05,8500,8860,8400,8580,99266,87178.0,10160600.0
2016-12-06,8580,9000,8490,8570,101249,87076.0,10160600.0
2016-12-07,8650,8650,8310,8310,83924,84435.0,10160600.0
2016-12-08,8360,8840,8360,8500,176022,86365.0,10160600.0
2016-12-09,8500,8590,8340,8500,32090,86365.0,10160600.0
2016-12-12,8510,8580,8410,8540,46975,86772.0,10160600.0
2016-12-13,8600,8630,8440,8540,23990,86772.0,10160600.0
2016-12-14,8550,8600,8320,8400,25265,85349.0,10160600.0
2016-12-15,8340,8510,8310,8500,63911,86365.0,10160600.0
2016-12-16,8460,8650,8430,8490,63880,86263.0,10160600.0
2016-12-19,8400,8500,8380,8460,28414,85959.0,10160600.0
2016-12-20,8450,8600,8370,8510,72145,86467.0,10160600.0
2016-12-21,8430,8500,8310,8450,37982,85857.0,10160600.0
2016-12-22,8440,8460,8030,8200,92839,83317.0,10160600.0
2016-12-23,8120,8320,8090,8260,60390,83927.0,10160600.0
2016-12-26,8280,8580,8280,8480,202365,86162.0,10160600.0
2016-12-27,8430,8540,8420,8470,99513,86060.0,10160600.0
2016-12-28,8530,8630,8460,8600,166325,87381.0,10160600.0
2016-12-29,8630,8840,8600,8840,210821,89820.0,10160600.0
2017-01-02,8900,9150,8810,9150,219959,92969.0,10160600.0
2017-01-03,9100,9360,9100,9340,327759,94900.0,10160600.0
2017-01-04,9350,9410,9220,9360,183754,95103.0,10160600.0
2017-01-05,9400,9400,9300,9390,105157,95408.0,10160600.0
2017-01-06,9390,9630,9360,9620,232089,97745.0,10160600.0
2017-01-09,9860,10200,9810,9900,832127,100590.0,10160600.0
2017-01-10,9940,9950,9730,9840,177819,99980.0,10160600.0
2017-01-11,9920,9920,9780,9800,138189,99574.0,10160600.0
2017-01-12,9800,9880,9580,9790,153917,99472.0,10160600.0
2017-01-13,9820,9950,9630,9820,191922,99777.0,10160600.0
2017-01-16,9860,9860,9530,9630,140231,97847.0,10160600.0
2017-01-17,9630,9830,9440,9620,254956,97745.0,10160600.0
2017-01-18,9620,9810,9540,9700,160192,98558.0,10160600.0
2017-01-19,9770,9830,9600,9680,114290,98355.0,10160600.0
2017-01-20,9680,9750,9540,9680,120773,98355.0,10160600.0
2017-01-23,9750,9750,9610,9610,100440,97643.0,10160600.0
2017-01-24,9710,9710,9390,9520,152756,96729.0,10160600.0
2017-01-25,9400,9500,9140,9300,123398,94494.0,10160600.0
2017-01-26,9300,9520,9160,9490,76323,96424.0,10160600.0
2017-01-31,9480,9490,9230,9300,66098,94494.0,10160600.0
2017-02-01,9390,9540,9260,9540,88007,96932.0,10160600.0
2017-02-02,9540,9590,9300,9300,124080,94494.0,10160600.0
2017-02-03,9300,9340,9050,9050,74910,91953.0,10160600.0
2017-02-06,9100,9100,8790,8950,68440,90937.0,10160600.0
2017-02-07,8880,9020,8800,8800,56363,89413.0,10160600.0
2017-02-08,8800,8830,8550,8620,72615,87584.0,10160600.0
2017-02-09,8540,8720,8500,8710,33896,88499.0,10160600.0
2017-02-10,8710,8720,8600,8610,39752,87483.0,10160600.0
2017-02-13,8470,8630,8460,8500,29763,86365.0,10160600.0
2017-02-14,8480,8730,8450,8700,93026,88397.0,10160600.0
2017-02-15,8770,9050,8740,8960,90299,91039.0,10160600.0
2017-02-16,8920,9000,8790,8840,52806,89820.0,10160600.0
2017-02-17,8710,8850,8570,8580,78406,87178.0,10160600.0
2017-02-20,8600,8670,8450,8590,43165,87280.0,10160600.0
2017-02-21,8590,8760,8570,8690,47203,88296.0,10160600.0
2017-02-22,8680,8860,8490,8860,107177,90023.0,10160600.0
2017-02-23,8760,8870,8690,8720,85924,88600.0,10160600.0
2017-02-24,8670,8770,8530,8570,70775,87076.0,10160600.0
2017-02-27,8580,8620,8510,8570,21554,87076.0,10160600.0
2017-02-28,8500,8760,8300,8730,134530,88702.0,10160600.0
2017-03-02,8730,8830,8640,8730,41712,88702.0,10160600.0
2017-03-03,8680,8800,8610,8750,54382,92042.0,10519109.0
2017-03-06,8830,8830,8670,8670,77845,91201.0,10519109.0
2017-03-07,8680,8750,8590,8680,38251,91306.0,10519109.0
2017-03-08,8680,8680,8540,8640,38393,90885.0,10519109.0
2017-03-09,8580,8640,8500,8510,73211,89518.0,10519109.0
2017-03-10,8470,8600,8410,8440,31902,88781.0,10519109.0
2017-03-13,8440,8520,8250,8250,47459,86783.0,10519109.0
