인크로스(216050),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-02-15,18387,18567,17867,18148,11463,133285.0,2939035.0
2017-02-16,17967,18167,17467,17768,13011,130493.0,2939035.0
2017-02-17,17587,18387,17587,18388,32320,135049.0,2939035.0
2017-02-20,18387,19348,18207,19068,40269,140045.0,2939035.0
2017-02-21,18807,19068,18687,19008,7350,139604.0,2939035.0
2017-02-22,19008,19208,18067,18648,26702,136959.0,2939035.0
2017-02-23,18727,18727,17807,18128,15936,133138.0,2939035.0
2017-02-24,18127,18207,17507,17647,16267,129611.0,2939035.0
2017-02-27,17547,17707,17047,17507,12605,128583.0,2939035.0
2017-02-28,17567,18007,17407,17968,9681,131963.0,2939035.0
2017-03-02,17967,18167,17407,17687,8470,129905.0,2939035.0
2017-03-03,17487,17767,16727,17267,18713,126819.0,2939035.0
2017-03-06,16887,17767,16827,17647,9313,129611.0,2939035.0
2017-03-07,17787,18047,17347,17968,19384,131963.0,2939035.0
2017-03-08,18087,18307,17667,17968,10816,131963.0,2939035.0
2017-03-09,17967,19068,17927,18608,33465,136665.0,2939035.0
2017-03-10,18607,18847,18327,18808,10454,138135.0,2939035.0
2017-03-13,18787,19188,18627,19008,14546,139604.0,2939035.0
2017-03-14,19008,19008,18587,18648,9717,136959.0,2939035.0
2017-03-15,18567,18747,17907,18368,11589,134902.0,2939035.0
2017-03-16,18267,18607,17807,18488,12886,135783.0,2939035.0
2017-03-17,18487,18507,17907,18428,17393,135343.0,2939035.0
2017-03-20,18427,18427,17987,18228,9159,133873.0,2939035.0
2017-03-21,18027,18227,17727,18048,11065,132550.0,2939035.0
2017-03-22,17887,18087,17727,17988,7557,132110.0,2939035.0
2017-03-23,17807,18087,17647,17968,8880,131963.0,2939035.0
2017-03-24,17947,19088,17827,19088,31484,147570.0,3093721.0
2017-03-27,19328,19608,19048,19228,29586,148653.0,3093721.0
2017-03-28,19228,20088,19068,19528,46899,150974.0,3093721.0
2017-03-29,19528,19908,19408,19728,21731,152520.0,3093721.0
2017-03-30,19728,19968,19528,19928,11675,154067.0,3093721.0
2017-03-31,20128,20128,19348,19888,25896,153758.0,3093721.0
2017-04-03,19608,19908,19588,19868,19233,153603.0,3093721.0
2017-04-04,19808,19828,19368,19568,16523,151283.0,3093721.0
2017-04-05,19568,19988,19148,19528,19490,150974.0,3093721.0
2017-04-06,19388,19668,19068,19268,18597,148963.0,3093721.0
2017-04-07,19088,19248,18747,19088,21038,147570.0,3093721.0
2017-04-10,19088,19108,18687,18708,12996,144631.0,3093721.0
2017-04-11,18547,18988,18007,18808,29875,145405.0,3093721.0
2017-04-12,18487,18807,18207,18748,23444,144941.0,3093721.0
2017-04-13,18747,21809,18727,20809,147378,160873.0,3093721.0
2017-04-14,20928,22009,20488,21369,61823,165205.0,3093721.0
2017-04-17,21769,23089,21088,23050,60649,178198.0,3093721.0
2017-04-18,23049,23169,22089,22770,22340,176033.0,3093721.0
2017-04-19,22769,23770,22369,23530,37729,181911.0,3093721.0
2017-04-20,23009,23449,22809,23170,24074,179126.0,3093721.0
2017-04-21,23249,23289,22169,22409,29486,173248.0,3093721.0
2017-04-24,22409,22569,21809,22409,23601,173248.0,3093721.0
2017-04-25,22409,23569,22049,23530,30184,181911.0,3093721.0
2017-04-26,23489,23690,23129,23610,20741,182530.0,3093721.0
2017-04-27,23609,23890,23329,23650,26699,182839.0,3093721.0
2017-04-28,23650,23890,23409,23610,16001,182530.0,3093721.0
2017-05-02,23609,23810,22809,23370,19370,180673.0,3093721.0
2017-05-04,23569,23850,23209,23530,11104,181911.0,3093721.0
2017-05-08,23690,23770,22529,23210,52739,179436.0,3093721.0
2017-05-10,23129,23369,22489,22530,25293,174176.0,3093721.0
2017-05-11,22289,22489,20848,21929,113680,169536.0,3093721.0
2017-05-12,21929,21929,20928,21209,43433,163967.0,3093721.0
2017-05-15,21609,21609,20808,20969,192674,162111.0,3093721.0
2017-05-16,21128,21529,20888,21369,47056,165205.0,3093721.0
2017-05-17,21729,21849,21248,21489,33230,166133.0,3093721.0
2017-05-18,21248,21248,20368,20729,51187,160255.0,3093721.0
2017-05-19,20728,21489,20328,21369,44463,165205.0,3093721.0
2017-05-22,21248,21569,20688,21209,17779,163967.0,3093721.0
2017-05-23,20928,21449,20808,21049,22367,162730.0,3093721.0
2017-05-24,20928,21208,20808,20969,10611,162111.0,3093721.0
2017-05-25,20848,21048,20408,20689,17806,159945.0,3093721.0
2017-05-26,20688,21048,20488,20929,11199,161802.0,3093721.0
2017-05-29,20928,21128,20568,20849,16146,161183.0,3093721.0
2017-05-30,20928,20968,20568,20969,17954,162111.0,3093721.0
2017-05-31,20968,21649,20968,21329,36796,164895.0,3093721.0
2017-06-01,21449,21489,20888,21209,19657,163967.0,3093721.0
2017-06-02,21369,21369,20688,20729,32480,160255.0,3093721.0
2017-06-05,20888,21088,20408,20449,16829,158089.0,3093721.0
2017-06-07,20648,20648,19848,19848,30180,153449.0,3093721.0
2017-06-08,20008,20568,19968,20088,17777,155305.0,3093721.0
2017-06-09,20088,20448,19888,20088,23623,156546.0,3118451.0
2017-06-12,20088,20088,19528,19988,16762,155767.0,3118451.0
2017-06-13,19948,20168,19168,19408,44698,151245.0,3118451.0
2017-06-14,19408,19688,18687,18688,43001,145632.0,3118451.0
2017-06-15,18707,18887,17807,17888,54734,139395.0,3118451.0
2017-06-16,18067,18447,17627,18388,24323,143293.0,3118451.0
2017-06-19,18247,19028,18107,18748,24290,146099.0,3118451.0
2017-06-20,18747,18847,18187,18568,23630,144696.0,3118451.0
2017-06-21,18267,18547,17967,18108,17601,141110.0,3118451.0
2017-06-22,18307,18307,17267,18048,27152,140642.0,3118451.0
2017-06-23,18247,18567,17827,18568,13394,144696.0,3118451.0
2017-06-26,18227,18567,18167,18488,5662,144072.0,3118451.0
2017-06-27,18287,18827,18287,18468,9444,143917.0,3118451.0
2017-06-28,18707,19188,18487,19188,23026,150077.0,3129861.0
2017-06-29,19148,20368,19148,20289,66554,158684.0,3129861.0
2017-06-30,20368,21008,20328,20769,49429,162440.0,3129861.0
2017-07-03,20848,21008,20248,20249,16885,158371.0,3129861.0
2017-07-04,20168,20408,19848,19888,13076,155554.0,3129861.0
2017-07-05,19888,20048,19588,19848,13549,155241.0,3129861.0
2017-07-06,19888,20088,19348,19428,37789,151955.0,3129861.0
2017-07-07,19428,20528,19408,20369,24853,159310.0,3129861.0
2017-07-10,20528,20928,20168,20489,19154,160249.0,3129861.0
2017-07-11,20808,21248,20448,21169,46514,165570.0,3129861.0
2017-07-12,21329,21409,20448,20689,30898,161814.0,3129861.0
2017-07-13,21008,21008,20008,20129,26774,157432.0,3129861.0
2017-07-14,20128,20808,20128,20729,10264,162127.0,3129861.0
2017-07-17,20768,21168,19928,20048,26720,156806.0,3129861.0
2017-07-18,20208,20208,19368,19668,44335,153833.0,3129861.0
2017-07-19,19868,20248,19528,20088,13877,157119.0,3129861.0
2017-07-20,20288,20648,20048,20209,22452,158058.0,3129861.0
2017-07-21,20128,20328,20008,20088,10199,157119.0,3129861.0
2017-07-24,20008,20088,19548,19688,25336,153989.0,3129861.0
2017-07-25,19868,19888,19008,19448,31830,152111.0,3129861.0
2017-07-26,19608,19608,19108,19348,13651,151329.0,3129861.0
2017-07-27,19348,19588,19328,19528,8554,152737.0,3129861.0
2017-07-28,19528,19628,19248,19248,7253,150546.0,3129861.0
2017-07-31,19248,19248,18487,19048,19673,148981.0,3129861.0
2017-08-01,19048,19048,18407,18708,30087,146321.0,3129861.0
2017-08-02,18907,19008,18687,18968,7963,148355.0,3129861.0
2017-08-03,19028,19688,18968,19548,23864,152894.0,3129861.0
2017-08-04,19668,20288,19528,20129,17790,157432.0,3129861.0
2017-08-07,20048,20208,19968,20048,9263,156806.0,3129861.0
2017-08-08,20048,20168,19608,20048,13506,156806.0,3129861.0
2017-08-09,20208,20208,19688,19888,6374,155554.0,3129861.0
2017-08-10,19548,19608,18287,18388,82522,143817.0,3129861.0
2017-08-11,18027,18207,17687,17868,29991,139748.0,3129861.0
2017-08-14,17787,18367,17687,18028,10200,141514.0,3141261.0
2017-08-16,18007,18207,17887,17928,12379,140728.0,3141261.0
2017-08-17,18087,18887,17927,18828,13436,147796.0,3141261.0
2017-08-18,18727,18887,18407,18828,4658,147796.0,3141261.0
2017-08-21,18787,18968,18667,18908,3773,148425.0,3141261.0
2017-08-22,18907,19008,18607,18748,2739,147168.0,3141261.0
2017-08-23,18867,18867,18227,18408,4295,144498.0,3141261.0
2017-08-24,18327,18607,18127,18588,5838,145912.0,3141261.0
2017-08-25,18747,18747,18327,18508,2605,145283.0,3141261.0
2017-08-28,18807,18807,18287,18528,3292,145440.0,3141261.0
2017-08-29,18527,18727,18247,18708,4361,146854.0,3141261.0
2017-08-30,18447,18667,18327,18508,4021,145283.0,3141261.0
2017-08-31,18507,18647,18207,18428,4619,144655.0,3141261.0
2017-09-01,18427,18447,18127,18208,4693,142927.0,3141261.0
2017-09-04,17787,18427,17787,18328,6817,143870.0,3141261.0
2017-09-05,18087,18527,17907,18088,7028,141985.0,3141261.0
2017-09-06,17967,18607,17967,18548,8018,145597.0,3141261.0
2017-09-07,18547,18667,18387,18608,8110,146069.0,3141261.0
2017-09-08,18767,18787,18447,18788,8470,147482.0,3141261.0
2017-09-11,18687,18787,18487,18688,10394,146697.0,3141261.0
2017-09-12,18687,18687,18287,18288,6067,143556.0,3141261.0
2017-09-13,18407,18607,17847,18008,9156,141357.0,3141261.0
2017-09-14,18167,18167,17447,17948,15332,140886.0,3141261.0
2017-09-15,17927,18087,17647,17848,4188,140100.0,3141261.0
2017-09-18,18007,18007,17647,17788,10084,139629.0,3141261.0
2017-09-19,17727,17947,17607,17808,5928,139786.0,3141261.0
2017-09-20,17807,18027,17287,17287,15740,135702.0,3141261.0
2017-09-21,17327,17567,16707,17027,11238,133661.0,3141261.0
2017-09-22,17007,17667,16767,17407,15383,136645.0,3141261.0
2017-09-25,17327,17647,16907,17067,9109,133975.0,3141261.0
2017-09-26,17087,17507,16927,17167,4886,134760.0,3141261.0
2017-09-27,17127,17687,17067,17567,13223,137901.0,3141261.0
2017-09-28,17887,17927,17667,17748,10965,139315.0,3141261.0
2017-09-29,17987,18107,17607,18028,9594,141514.0,3141261.0
2017-10-10,18067,18227,17967,18088,13690,141985.0,3141261.0
2017-10-11,18007,18207,17967,18128,10084,142299.0,3141261.0
2017-10-12,18067,18547,18007,18488,13132,145727.0,3154261.0
2017-10-13,18487,18887,18267,18388,11304,144938.0,3154261.0
2017-10-16,18307,18607,18247,18248,5445,143834.0,3154261.0
2017-10-17,18267,18427,18207,18368,4460,144781.0,3154261.0
2017-10-18,18407,18627,18347,18528,9495,146042.0,3154261.0
2017-10-19,18547,18747,18547,18668,4753,147146.0,3154261.0
2017-10-20,18607,18687,18467,18548,6538,146200.0,3154261.0
2017-10-23,18487,18928,18427,18548,2518,146200.0,3154261.0
2017-10-24,18567,18807,18487,18568,4272,146358.0,3154261.0
2017-10-25,18567,18607,18487,18588,5142,146515.0,3154261.0
2017-10-26,18747,19288,18587,19228,28081,151562.0,3154261.0
2017-10-27,19508,19968,19248,19928,24638,157082.0,3154261.0
2017-10-30,19968,20288,19808,20169,12487,158975.0,3154261.0
2017-10-31,20168,20288,19808,20289,17349,159921.0,3154261.0
2017-11-01,23970,24370,20648,21289,453870,167807.0,3154261.0
2017-11-02,20808,21609,20688,20929,56348,164968.0,3154261.0
2017-11-03,21128,21969,20888,21969,42243,173169.0,3154261.0
2017-11-06,21969,23409,21609,23170,82815,182632.0,3154261.0
2017-11-07,23409,23409,22289,22650,58624,178531.0,3154261.0
2017-11-08,22409,22929,22049,22409,31221,176639.0,3154261.0
2017-11-09,22449,22889,22049,22730,22897,179162.0,3154261.0
2017-11-10,23049,24010,22569,23290,52990,183578.0,3154261.0
2017-11-13,23369,24410,23209,23650,98258,186417.0,3154261.0
2017-11-14,26000,27600,24250,24700,274599,77910.0,3154261.0
2017-11-15,24800,25400,24350,24350,54859,76806.0,3154261.0
2017-11-16,24800,25900,24400,25450,70609,80276.0,3154261.0
2017-11-17,25400,25400,24200,24800,36093,78226.0,3154261.0
2017-11-20,24800,25200,24300,24350,24885,76806.0,3154261.0
2017-11-21,24350,24700,23600,23650,32304,74598.0,3154261.0
2017-11-22,23650,24300,23600,23950,13038,75545.0,3154261.0
2017-11-23,23850,24650,23850,24300,14658,76649.0,3154261.0
2017-11-24,23950,24600,23950,24500,8821,77279.0,3154261.0
2017-11-27,24500,24850,24300,24550,20454,77437.0,3154261.0
2017-11-28,24550,24600,23650,23650,14225,74598.0,3154261.0
2017-11-29,23650,23900,23350,23750,13289,74914.0,3154261.0
2017-11-30,23050,23800,22750,23550,26487,74283.0,3154261.0
2017-12-01,23700,28600,23450,26450,140890,83430.0,3154261.0
2017-12-04,25600,25750,24050,24450,151655,192804.0,7885652.0
2017-12-05,24800,25050,23050,23300,96989,183736.0,7885652.0
2017-12-06,23300,23600,22350,22700,59958,179004.0,7885652.0
2017-12-07,22300,22950,22100,22700,43581,179004.0,7885652.0
2017-12-08,22600,23650,22550,23050,35863,181764.0,7885652.0
2017-12-11,22900,23150,22400,22800,52355,179793.0,7885652.0
2017-12-12,23050,23150,22400,22550,27528,177821.0,7885652.0
2017-12-13,22750,22750,21800,22050,51814,173879.0,7885652.0
2017-12-14,22100,22350,21550,21800,48963,171907.0,7885652.0
2017-12-15,22000,22100,21300,21750,53952,171513.0,7885652.0
2017-12-18,21750,21950,21300,21600,45685,170330.0,7885652.0
2017-12-19,21800,21800,21000,21100,26408,166387.0,7885652.0
2017-12-20,21000,22400,20900,22050,56599,173879.0,7885652.0
2017-12-21,22050,22200,21250,21400,35493,168753.0,7885652.0
2017-12-22,21300,21950,21150,21400,26471,168753.0,7885652.0
2017-12-26,21550,22350,21000,21250,48480,167570.0,7885652.0
2017-12-27,21300,22450,21300,22300,35304,175850.0,7885652.0
2017-12-28,22400,23150,22100,22950,37608,180976.0,7885652.0
2018-01-02,22950,23000,22300,22650,30726,178610.0,7885652.0
2018-01-03,22650,22750,22050,22250,41975,175456.0,7885652.0
2018-01-04,22350,23500,22350,22800,129216,179793.0,7885652.0
2018-01-05,23050,23200,22450,23000,48930,181370.0,7885652.0
2018-01-08,23200,26850,22450,22550,755283,177821.0,7885652.0
2018-01-09,22650,23600,22450,22800,141241,179793.0,7885652.0
2018-01-10,23150,23400,22550,22650,80672,178610.0,7885652.0
2018-01-11,22400,23450,22400,22850,75625,180187.0,7885652.0
2018-01-12,22850,23500,22750,23250,72218,183341.0,7885652.0
2018-01-15,23350,24250,23000,24200,107752,190833.0,7885652.0
2018-01-16,24100,24750,23600,24400,96713,192410.0,7885652.0
2018-01-17,24500,25250,24350,24850,97879,195958.0,7885652.0
2018-01-18,25700,26650,25500,25900,213701,204238.0,7885652.0
2018-01-19,26600,26700,25900,26350,100529,207787.0,7885652.0
2018-01-22,26800,28150,25850,25900,119666,204238.0,7885652.0
2018-01-23,26000,27000,25900,26900,81539,212124.0,7885652.0
2018-01-24,26600,27300,26350,27150,50262,214095.0,7885652.0
2018-01-25,27500,27550,26400,26900,38114,212124.0,7885652.0
2018-01-26,26900,27350,25450,26350,57984,207787.0,7885652.0
2018-01-29,26100,27000,25950,26400,54031,208181.0,7885652.0
2018-01-30,26100,26200,25350,25600,56182,201873.0,7885652.0
2018-01-31,25350,26400,24900,25800,55696,203450.0,7885652.0
2018-02-01,25650,28950,25450,28000,250329,220798.0,7885652.0
2018-02-02,28950,29300,27800,28100,94378,221587.0,7885652.0
2018-02-05,27400,27650,26000,26650,89000,210153.0,7885652.0
2018-02-06,25500,26700,24400,26250,94913,206998.0,7885652.0
2018-02-07,26500,27700,24800,25400,103085,200296.0,7885652.0
2018-02-08,25200,25400,24550,24900,110197,196353.0,7885652.0
2018-02-09,24200,24750,23500,24250,75156,191227.0,7885652.0
2018-02-12,25100,25400,24100,24750,83129,195170.0,7885652.0
2018-02-13,25050,25050,23450,23450,84483,184919.0,7885652.0
2018-02-14,23650,23850,22500,22950,85064,180976.0,7885652.0
2018-02-19,22750,24300,22750,23550,83860,185707.0,7885652.0
2018-02-20,23800,23950,23100,23400,22486,184524.0,7885652.0
2018-02-21,23200,24050,23200,23900,19754,188467.0,7885652.0
2018-02-22,23950,24300,23500,23950,20361,188861.0,7885652.0
2018-02-23,24400,25750,24250,25400,82129,200296.0,7885652.0
2018-02-26,25400,26250,25250,26100,71915,205816.0,7885652.0
2018-02-27,26000,26500,25750,26100,64734,205816.0,7885652.0
2018-02-28,26050,26050,25150,25700,36917,202661.0,7885652.0
2018-03-02,25600,26100,24900,25700,39577,202661.0,7885652.0
2018-03-05,26200,27700,26100,27100,118509,213701.0,7885652.0
2018-03-06,27450,27650,26250,27050,478015,213307.0,7885652.0
2018-03-07,27050,28200,26550,27300,91327,215278.0,7885652.0
2018-03-08,27250,27750,26400,27200,72331,214490.0,7885652.0
2018-03-09,26900,27400,26300,26550,53051,209364.0,7885652.0
2018-03-12,26900,27250,26350,26550,39321,209364.0,7885652.0
2018-03-13,26600,27850,26350,26550,82427,209364.0,7885652.0
2018-03-14,26850,26850,26250,26550,45329,209364.0,7885652.0
2018-03-15,26700,27750,26150,27700,72309,218433.0,7885652.0
2018-03-16,27900,27900,26650,27200,47170,214490.0,7885652.0
2018-03-19,27250,28050,27000,27750,46185,218827.0,7885652.0
2018-03-20,27550,29300,27550,29000,133677,228684.0,7885652.0
2018-03-21,29200,31050,29000,30450,188611,240118.0,7885652.0
2018-03-22,30450,30800,30150,30600,96985,241301.0,7885652.0
2018-03-23,30050,30950,29500,30300,115838,238935.0,7885652.0
2018-03-26,30300,31700,29500,31700,156725,249975.0,7885652.0
2018-03-27,32000,32350,31500,31750,99113,250369.0,7885652.0
2018-03-28,31500,32800,30600,32200,123339,253918.0,7885652.0
2018-03-29,32000,32900,31100,32800,66695,258649.0,7885652.0
2018-03-30,32800,33350,31700,32500,80918,256284.0,7885652.0
2018-04-02,32550,32550,30300,31050,109204,244849.0,7885652.0
2018-04-03,30900,31250,29900,30250,73017,238541.0,7885652.0
2018-04-04,30650,30650,28900,29600,59931,233415.0,7885652.0
2018-04-05,29950,31450,29800,31100,68840,245244.0,7885652.0
2018-04-06,30800,30850,28550,29350,545258,231444.0,7885652.0
2018-04-09,29150,30950,29150,29850,72561,235387.0,7885652.0
2018-04-10,29800,29800,28500,29350,36689,231444.0,7885652.0
2018-04-11,29100,29700,28850,28900,38874,227895.0,7885652.0
2018-04-12,28650,29850,28300,29550,51967,233021.0,7885652.0
2018-04-13,29500,29500,28600,29200,52426,230261.0,7885652.0
2018-04-16,29150,30500,27800,27900,61642,220010.0,7885652.0
2018-04-17,27900,28950,27850,28600,48974,225530.0,7885652.0
2018-04-18,29400,30300,28600,29750,113031,234598.0,7885652.0
2018-04-19,29800,30100,28000,28600,81157,225530.0,7885652.0
2018-04-20,28800,28800,27950,28550,27721,225135.0,7885652.0
2018-04-23,28350,28350,26750,26800,100772,211335.0,7885652.0
2018-04-24,26800,27600,26750,27000,39939,212913.0,7885652.0
2018-04-25,27000,28850,26700,28450,72831,224347.0,7885652.0
2018-04-26,28550,28650,27800,28100,29343,221587.0,7885652.0
2018-04-27,28150,28500,27800,28350,27904,223558.0,7885652.0
2018-04-30,28200,28450,27050,28050,68705,221193.0,7885652.0
2018-05-02,27500,27600,26300,26550,102420,209364.0,7885652.0
2018-05-03,26550,27300,26250,27150,58500,214095.0,7885652.0
2018-05-04,27000,27400,26400,27200,37795,215713.0,7930618.0
2018-05-08,27500,27550,26600,27000,42011,214127.0,7930618.0
2018-05-09,27250,29400,26550,28600,85148,226816.0,7930618.0
2018-05-10,29700,30300,29350,29800,125073,236332.0,7930618.0
2018-05-11,30300,30300,28800,29300,68374,232367.0,7930618.0
2018-05-14,29300,30050,28400,28850,63686,228798.0,7930618.0
2018-05-15,29150,29150,27400,28100,48642,222850.0,7930618.0
2018-05-16,27850,28900,27300,28900,44902,229195.0,7930618.0
2018-05-17,28650,28850,27600,27700,50384,219678.0,7930618.0
2018-05-18,27800,28350,27450,27950,24836,221661.0,7930618.0
2018-05-21,28600,28600,27450,27600,33084,218885.0,7930618.0
2018-05-23,27550,28600,27200,28400,33228,225984.0,7957193.0
2018-05-24,28400,28850,28250,28350,24468,225586.0,7957193.0
2018-05-25,28350,28350,27300,28200,12244,224393.0,7957193.0
2018-05-28,28600,28600,27300,28600,26583,227576.0,7957193.0
2018-05-29,28600,28600,26800,26800,90231,213253.0,7957193.0
2018-05-30,27200,28550,26800,28450,81549,226382.0,7957193.0
2018-05-31,28400,29950,28250,29700,82343,236329.0,7957193.0
2018-06-01,30100,30100,28650,29400,43067,233941.0,7957193.0
2018-06-04,29400,31150,29400,30700,158148,244286.0,7957193.0
2018-06-05,31100,31100,29600,30200,60793,240307.0,7957193.0
2018-06-07,29850,30150,28850,29000,73393,230759.0,7957193.0
2018-06-08,29000,29000,27850,28600,61454,227576.0,7957193.0
2018-06-11,28450,30700,28100,30500,89997,242694.0,7957193.0
2018-06-12,30500,30500,29250,29250,49273,232748.0,7957193.0
2018-06-14,29300,29300,28300,28800,18514,229167.0,7957193.0
2018-06-15,28800,29150,27750,27900,71266,222006.0,7957193.0
2018-06-18,27750,27900,26550,27050,37703,215242.0,7957193.0
2018-06-19,27200,27350,25750,26900,63700,214048.0,7957193.0
2018-06-20,27650,27650,26900,27300,18866,217231.0,7957193.0
2018-06-21,27650,27650,25950,26350,68029,209798.0,7961973.0
2018-06-22,26350,27750,26200,27550,42927,219352.0,7961973.0
2018-06-25,27500,27500,26250,26800,443768,213381.0,7961973.0
2018-06-26,26750,26750,25700,26250,58905,209002.0,7961973.0
2018-06-27,26250,27300,26250,27050,83893,215371.0,7961973.0
2018-06-28,26950,27550,26250,27000,75322,214973.0,7961973.0
2018-06-29,27000,27250,26000,26950,44229,214575.0,7961973.0
2018-07-02,27300,27300,26450,26700,29104,212585.0,7961973.0
2018-07-03,26950,26950,25600,26200,26226,208604.0,7961973.0
2018-07-04,26200,26250,25650,25750,16357,205021.0,7961973.0
2018-07-05,25750,26150,25600,26100,14635,207807.0,7961973.0
2018-07-06,26450,26600,25800,26450,22682,211165.0,7983536.0
2018-07-09,26450,26500,25850,26450,18504,211165.0,7983536.0
2018-07-10,26450,26600,25700,25900,31872,206774.0,7983536.0
2018-07-11,25900,27000,25600,27000,60373,215555.0,7983536.0
2018-07-12,27000,27000,26000,26350,69898,210366.0,7983536.0
2018-07-13,26650,26650,25150,25500,91130,203580.0,7983536.0
2018-07-16,25700,25800,24100,24350,88153,194399.0,7983536.0
2018-07-17,24500,25450,24350,24800,50546,197992.0,7983536.0
2018-07-18,25050,25450,24350,25150,35297,200786.0,7983536.0
