하나마이크론(067310),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-03-29,6161,6300,6161,6200,49224,85531.0,10625000.0
2006-03-30,6230,6353,6230,6262,60783,86381.0,10625000.0
2006-03-31,6276,6468,6276,6439,64622,88825.0,10625000.0
2006-04-03,6437,6638,6414,6624,57719,91375.0,10625000.0
2006-04-04,6677,6677,6477,6508,44598,89781.0,10625000.0
2006-04-05,6622,6645,6507,6547,47309,90312.0,10625000.0
2006-04-06,6592,6592,6491,6524,48011,89994.0,10625000.0
2006-04-07,6476,6522,6322,6393,106925,88188.0,10625000.0
2006-04-10,6422,6422,6214,6393,169459,88188.0,10625000.0
2006-04-11,6415,6415,6238,6354,57945,87656.0,10625000.0
2006-04-12,6268,6345,6237,6347,58549,87550.0,10625000.0
2006-04-13,6354,6492,6354,6477,94940,89356.0,10625000.0
2006-04-14,6545,6653,6515,6655,116405,91800.0,10625000.0
2006-04-17,6708,6731,6546,6608,69310,91162.0,10625000.0
2006-04-18,6554,6739,6554,6716,103038,92650.0,10625000.0
2006-04-19,6769,6792,6453,6547,130516,90312.0,10625000.0
2006-04-20,6485,6623,6277,6354,148804,87656.0,10625000.0
2006-04-21,6353,6407,6283,6347,74317,87550.0,10625000.0
2006-04-24,6430,6430,6253,6316,83248,87125.0,10625000.0
2006-04-25,6315,6315,6007,6092,226221,84044.0,10625000.0
2006-04-26,6083,6260,6045,6262,156189,86381.0,10625000.0
2006-04-27,6314,6314,6160,6162,57043,85000.0,10625000.0
2006-04-28,6061,6277,6007,6146,56437,84788.0,10625000.0
2006-05-02,6092,6161,6084,6092,16660,84044.0,10625000.0
2006-05-03,6091,6314,6083,6193,75640,85425.0,10625000.0
2006-05-04,6130,6323,6115,6323,34039,87231.0,10625000.0
2006-05-08,6430,6568,6291,6547,94545,90312.0,10625000.0
2006-05-09,6623,6623,6469,6508,31935,89781.0,10625000.0
2006-05-10,6399,6599,6353,6570,73100,90631.0,10625000.0
2006-05-11,6492,6693,6469,6685,55484,92225.0,10625000.0
2006-05-12,6684,6699,6491,6701,76214,92438.0,10625000.0
2006-05-15,6546,6723,6492,6670,61164,92012.0,10625000.0
2006-05-16,6653,6776,6522,6524,32061,89994.0,10625000.0
2006-05-17,6530,6722,6530,6724,37754,92756.0,10625000.0
2006-05-18,6592,6799,6430,6801,138617,93819.0,10625000.0
2006-05-19,6776,6930,6699,6855,119967,94562.0,10625000.0
2006-05-22,7008,7008,6785,6793,52378,93712.0,10625000.0
2006-05-23,6793,6893,6677,6878,41614,94881.0,10625000.0
2006-05-24,6955,6955,6777,6901,51470,95200.0,10625000.0
2006-05-25,6924,6924,6747,6770,58931,93394.0,10625000.0
2006-05-26,6700,6847,6623,6847,48352,94456.0,10625000.0
2006-05-29,6739,6847,6716,6739,42030,92969.0,10625000.0
2006-05-30,6738,6776,6553,6647,31151,91694.0,10625000.0
2006-06-01,6692,6715,6553,6655,16213,91800.0,10625000.0
2006-06-02,6700,6700,6246,6385,14602,88081.0,10625000.0
2006-06-05,6384,6391,6083,6085,43312,83938.0,10625000.0
2006-06-07,6007,6007,5391,5584,60108,77031.0,10625000.0
2006-06-08,5429,5690,5274,5692,38358,78519.0,10625000.0
2006-06-09,5545,5699,5537,5584,12948,77031.0,10625000.0
2006-06-12,5476,5691,5391,5607,8741,77350.0,10625000.0
2006-06-13,5406,5545,5376,5376,20983,74162.0,10625000.0
2006-06-14,5237,5483,5237,5368,19023,74056.0,10625000.0
2006-06-15,5430,5522,5175,5299,49750,73100.0,10625000.0
2006-06-16,5383,5522,5345,5391,48576,74375.0,10625000.0
2006-06-19,5367,5390,5120,5307,46831,73206.0,10625000.0
2006-06-20,5236,5328,5082,5276,67147,72781.0,10625000.0
2006-06-21,5121,5291,4967,5214,48122,71931.0,10625000.0
2006-06-22,5168,5198,4621,4929,289613,68000.0,10625000.0
2006-06-23,4859,4889,4504,4506,114259,62156.0,10625000.0
2006-06-26,4505,4621,4413,4544,76542,62688.0,10625000.0
2006-06-27,4620,4758,4612,4660,52731,64281.0,10625000.0
2006-06-28,4513,4729,4513,4698,19997,64812.0,10625000.0
2006-06-29,4697,4843,4658,4845,31754,66831.0,10625000.0
2006-06-30,5006,5037,4929,5029,31527,69381.0,10625000.0
2006-07-03,4997,5113,4966,5107,13062,70444.0,10625000.0
2006-07-04,5028,5852,5028,5469,53025,75438.0,10625000.0
2006-07-05,5351,5690,5251,5484,48070,75650.0,10625000.0
2006-07-06,5429,5721,5429,5469,15254,75438.0,10625000.0
2006-07-07,5483,5576,5391,5430,20288,74906.0,10625000.0
2006-07-10,5314,5430,5237,5430,10198,74906.0,10625000.0
2006-07-11,5314,5391,5314,5391,14156,74375.0,10625000.0
2006-07-12,5521,5521,5328,5330,33944,73525.0,10625000.0
2006-07-13,5298,5429,5182,5284,23978,72888.0,10625000.0
2006-07-14,5359,5359,5013,5230,12464,72144.0,10625000.0
2006-07-18,5306,5306,5160,5160,41856,71188.0,10625000.0
2006-07-19,5083,5260,4860,5160,25653,71188.0,10625000.0
2006-07-20,5314,5337,5068,5160,21398,71188.0,10625000.0
2006-07-21,5082,5197,5005,5153,23071,71081.0,10625000.0
2006-07-24,5159,5159,4997,5153,27351,71081.0,10625000.0
2006-07-25,5152,5191,5129,5137,22813,70869.0,10625000.0
2006-07-26,5275,5537,5206,5237,48493,72250.0,10625000.0
2006-07-27,5183,5391,5183,5237,14374,72250.0,10625000.0
2006-07-28,5267,5267,5159,5199,17599,71719.0,10625000.0
2006-07-31,5274,5313,5197,5199,19380,71719.0,10625000.0
2006-08-01,5275,5376,5152,5214,28729,71931.0,10625000.0
2006-08-02,5268,5306,5145,5299,17646,73100.0,10625000.0
2006-08-03,5360,5391,5245,5314,11488,73312.0,10625000.0
2006-08-04,5321,5467,5267,5353,32574,73844.0,10625000.0
2006-08-07,5406,5614,5252,5391,18512,74375.0,10625000.0
2006-08-08,5352,5468,5283,5391,15817,74375.0,10625000.0
2006-08-09,5391,5468,5283,5391,42925,74375.0,10625000.0
2006-08-10,5544,5544,5328,5415,34462,74694.0,10625000.0
2006-08-11,5413,5413,5305,5415,45898,74694.0,10625000.0
2006-08-14,5405,5405,5328,5384,12479,74269.0,10625000.0
2006-08-16,5399,5468,5345,5391,31037,74375.0,10625000.0
2006-08-17,5405,5467,5336,5415,14655,74694.0,10625000.0
2006-08-18,5352,5430,5337,5391,36478,74375.0,10625000.0
2006-08-21,5328,5467,5328,5384,17546,74269.0,10625000.0
2006-08-22,5444,5444,5274,5384,48940,74269.0,10625000.0
2006-08-23,5445,5445,5314,5391,46156,74375.0,10625000.0
2006-08-24,5391,5391,5352,5368,3976,74056.0,10625000.0
2006-08-25,5391,5614,5360,5376,14076,74162.0,10625000.0
2006-08-28,5391,5391,5275,5376,23290,74162.0,10625000.0
2006-08-29,5391,5399,5291,5376,38644,74162.0,10625000.0
2006-08-30,5391,5491,5376,5430,81301,74906.0,10625000.0
2006-08-31,5467,5506,5429,5492,23444,75756.0,10625000.0
2006-09-01,5459,5806,5459,5777,40292,79688.0,10625000.0
2006-09-04,5852,6122,5798,6085,110945,83938.0,10625000.0
2006-09-05,5998,6299,5998,6239,475437,86062.0,10625000.0
2006-09-06,6261,6492,6238,6462,81348,89144.0,10625000.0
2006-09-07,6322,6437,6291,6424,61101,88612.0,10625000.0
2006-09-08,6477,6523,6338,6477,37297,89356.0,10625000.0
2006-09-11,6477,6616,6223,6331,34728,87338.0,10625000.0
2006-09-12,6260,6384,6091,6262,42937,86381.0,10625000.0
2006-09-13,6184,6323,6177,6177,11301,85212.0,10625000.0
2006-09-14,6237,6237,6068,6208,27105,85638.0,10625000.0
2006-09-15,6123,6516,6123,6508,68066,89781.0,10625000.0
2006-09-18,6391,6776,6391,6709,116217,92544.0,10625000.0
2006-09-19,6645,6776,6645,6778,69054,93500.0,10625000.0
2006-09-20,6700,6777,6546,6639,44702,91588.0,10625000.0
2006-09-21,6561,6776,6561,6709,23842,92544.0,10625000.0
2006-09-22,6662,6662,6254,6308,83880,87019.0,10625000.0
2006-09-25,6585,6585,6277,6323,33095,87231.0,10625000.0
2006-09-26,6315,6508,6084,6323,93017,87231.0,10625000.0
2006-09-27,6330,6330,6206,6316,20743,87125.0,10625000.0
2006-09-28,6238,6323,6231,6323,22194,87231.0,10625000.0
2006-09-29,6238,6539,6238,6331,21409,87338.0,10625000.0
2006-10-02,6283,6360,6206,6208,48620,85638.0,10625000.0
2006-10-04,6300,6300,6084,6246,6579,86169.0,10625000.0
2006-10-09,6283,6283,5490,5854,61842,80750.0,10625000.0
2006-10-10,5622,5838,5622,5730,51718,79050.0,10625000.0
2006-10-11,5699,5699,5391,5530,62723,76288.0,10625000.0
2006-10-12,5468,5622,5468,5584,27057,77031.0,10625000.0
2006-10-13,5661,5815,5622,5738,41856,79156.0,10625000.0
2006-10-16,5853,5853,5661,5738,21370,79156.0,10625000.0
2006-10-17,5784,5830,5584,5738,14764,79156.0,10625000.0
2006-10-18,5714,5753,5614,5753,16695,79369.0,10625000.0
2006-10-19,5753,5876,5699,5753,13171,79369.0,10625000.0
2006-10-20,5807,5853,5661,5753,43312,79369.0,10625000.0
2006-10-23,5776,5853,5707,5815,33003,80219.0,10625000.0
2006-10-24,5853,5884,5730,5761,33501,79475.0,10625000.0
2006-10-25,5644,5798,5644,5746,34285,79262.0,10625000.0
2006-10-26,5768,5776,5661,5761,34752,79475.0,10625000.0
2006-10-27,5691,5915,5537,5761,105498,79475.0,10625000.0
2006-10-30,5792,5792,5591,5738,26273,79156.0,10625000.0
2006-10-31,5806,5806,5675,5777,34819,79688.0,10625000.0
2006-11-01,5791,5791,5683,5769,65298,79581.0,10625000.0
2006-11-02,5737,5775,5660,5777,39142,79688.0,10625000.0
2006-11-03,5775,5798,5706,5769,34472,79581.0,10625000.0
2006-11-06,6160,6160,5767,5800,71718,80006.0,10625000.0
2006-11-07,5891,5891,5744,5800,29727,80006.0,10625000.0
2006-11-08,5792,5792,5661,5784,41415,79794.0,10625000.0
2006-11-09,5768,5768,5661,5738,61422,79156.0,10625000.0
2006-11-10,5698,5744,5652,5723,24372,78944.0,10625000.0
2006-11-13,5722,5722,5576,5599,81338,77244.0,10625000.0
2006-11-14,5630,5714,5607,5607,86887,77350.0,10625000.0
2006-11-15,5613,5660,5575,5623,77319,77562.0,10625000.0
2006-11-16,5622,5630,5337,5599,131214,77244.0,10625000.0
2006-11-17,5591,5599,5391,5391,138879,74375.0,10625000.0
2006-11-20,5352,5391,5198,5314,42764,73312.0,10625000.0
2006-11-21,5245,5329,5152,5314,50417,73312.0,10625000.0
2006-11-22,5237,5453,5237,5391,51736,74375.0,10625000.0
2006-11-23,5468,5522,5314,5430,19466,74906.0,10625000.0
2006-11-24,5352,5445,5329,5445,21908,75119.0,10625000.0
2006-11-27,5368,5445,5368,5422,10891,74800.0,10625000.0
2006-11-28,5391,5391,5291,5391,33539,74375.0,10625000.0
2006-11-29,5259,5390,5259,5384,17065,74269.0,10625000.0
2006-11-30,5322,5391,5291,5391,28736,74375.0,10625000.0
2006-12-01,5367,5513,5328,5330,34297,73525.0,10625000.0
2006-12-04,5282,5382,5282,5361,17818,73950.0,10625000.0
2006-12-05,5460,5460,5237,5314,122664,73312.0,10625000.0
2006-12-06,5275,5314,4860,4929,109581,68000.0,10625000.0
2006-12-07,4929,4983,4759,4875,61132,67256.0,10625000.0
2006-12-08,4798,4890,4690,4706,68111,64919.0,10625000.0
2006-12-11,4697,4843,4697,4737,39260,65344.0,10625000.0
2006-12-12,4712,4805,4651,4714,33060,65025.0,10625000.0
2006-12-13,4643,4751,4643,4745,23456,65450.0,10625000.0
2006-12-14,4759,4852,4713,4798,23235,66194.0,10625000.0
2006-12-15,4812,4997,4812,4922,122297,67894.0,10625000.0
2006-12-18,4852,4998,4852,4906,29298,67681.0,10625000.0
2006-12-19,4966,4974,4820,4822,21004,66512.0,10625000.0
2006-12-20,4821,4913,4698,4829,24762,66619.0,10625000.0
2006-12-21,4759,4821,4682,4752,26835,65896.0,10680000.0
2006-12-22,4751,4789,4604,4660,31043,64614.0,10680000.0
2006-12-26,4698,4698,4544,4644,31757,64400.0,10680000.0
2006-12-27,4658,5020,4620,4945,57419,68566.0,10680000.0
2006-12-28,5005,5151,4928,5153,47484,71449.0,10680000.0
2007-01-02,5114,5160,4852,4852,18764,67284.0,10680000.0
2007-01-03,4860,4990,4783,4875,14246,67604.0,10680000.0
2007-01-04,4805,5067,4805,5053,101313,70061.0,10680000.0
2007-01-05,5074,5090,4912,4968,38431,68886.0,10680000.0
2007-01-08,5029,5029,4790,4806,18366,66643.0,10680000.0
2007-01-09,4882,4951,4820,4891,26329,67818.0,10680000.0
2007-01-10,4860,4867,4698,4775,32709,66216.0,10680000.0
2007-01-11,4844,4952,4752,4783,11887,66323.0,10680000.0
2007-01-12,4852,4875,4790,4852,28391,67284.0,10680000.0
2007-01-15,4860,4967,4852,4960,35425,68779.0,10680000.0
2007-01-16,4960,5268,4890,5083,117621,70488.0,10680000.0
2007-01-17,5090,5090,4966,5053,36377,70061.0,10680000.0
2007-01-18,5052,5114,4975,5083,35788,70488.0,10680000.0
2007-01-19,5037,5075,4698,4852,55543,67284.0,10680000.0
2007-01-22,4705,4851,4705,4714,20695,65362.0,10680000.0
2007-01-23,4666,5005,4666,4891,114639,67818.0,10680000.0
2007-01-24,4889,4897,4774,4899,32872,67925.0,10680000.0
2007-01-25,4929,4929,4752,4798,32040,66536.0,10680000.0
2007-01-26,4720,4797,4720,4791,23609,66430.0,10680000.0
2007-01-29,4852,4852,4729,4775,5373,66216.0,10680000.0
2007-01-30,4774,4774,4697,4768,22389,66109.0,10680000.0
2007-01-31,4797,4797,4743,4791,34285,66430.0,10680000.0
2007-02-01,4735,4774,4643,4760,50389,66002.0,10680000.0
2007-02-02,4689,4758,4689,4760,21984,66002.0,10680000.0
2007-02-05,4758,4774,4689,4760,38480,66002.0,10680000.0
2007-02-06,4712,4758,4697,4714,29112,65362.0,10680000.0
2007-02-07,4712,4751,4674,4737,43153,65682.0,10680000.0
2007-02-08,4720,4735,4581,4637,67597,64294.0,10680000.0
2007-02-09,4682,4682,4490,4490,77534,62264.0,10680000.0
2007-02-12,4490,4521,4313,4390,113904,60876.0,10680000.0
2007-02-13,4351,4451,4351,4413,27747,61196.0,10680000.0
2007-02-14,4312,4566,4235,4506,73669,62478.0,10680000.0
2007-02-15,4528,4528,4405,4467,62262,61944.0,10680000.0
2007-02-16,4536,4536,4374,4521,37911,62692.0,10680000.0
2007-02-20,4512,4612,4427,4614,21887,63973.0,10680000.0
2007-02-21,4543,4658,4543,4614,12014,63973.0,10680000.0
2007-02-22,4559,4652,4559,4598,37531,63760.0,10680000.0
2007-02-23,4604,4658,4597,4629,23840,64187.0,10680000.0
2007-02-26,4627,4689,4558,4614,21197,63973.0,10680000.0
2007-02-27,4597,4658,4574,4606,18726,63866.0,10680000.0
2007-02-28,4389,4612,4373,4529,66164,62798.0,10680000.0
2007-03-02,4444,4621,4444,4544,26911,63012.0,10680000.0
2007-03-05,4473,4566,4435,4452,45051,61730.0,10680000.0
2007-03-06,4389,4543,4389,4529,31115,62798.0,10680000.0
2007-03-07,4527,4574,4466,4529,31438,62798.0,10680000.0
2007-03-08,4544,4575,4467,4575,13782,63439.0,10680000.0
2007-03-09,4605,4605,4544,4567,17606,63332.0,10680000.0
2007-03-12,4697,4697,4566,4637,30755,64294.0,10680000.0
2007-03-13,4604,4658,4581,4629,10855,64187.0,10680000.0
2007-03-14,4544,4644,4544,4621,6294,64080.0,10680000.0
2007-03-15,4590,4713,4590,4675,42975,64828.0,10680000.0
2007-03-16,4675,4767,4675,4729,26178,65575.0,10680000.0
2007-03-19,4766,4859,4704,4814,40237,66750.0,10680000.0
2007-03-20,4828,4843,4758,4814,40522,66750.0,10680000.0
2007-03-21,4836,4875,4759,4806,138313,66643.0,10680000.0
2007-03-22,4851,4851,4735,4737,64719,65682.0,10680000.0
2007-03-23,4674,4797,4674,4737,26243,65682.0,10680000.0
2007-03-26,4705,4797,4697,4760,34405,66002.0,10680000.0
2007-03-27,4775,4806,4729,4775,26933,66216.0,10680000.0
2007-03-28,4743,4805,4697,4760,44717,66002.0,10680000.0
2007-03-29,4736,4759,4713,4752,35316,65896.0,10680000.0
2007-03-30,4752,4983,4659,4952,571897,68672.0,10680000.0
2007-04-02,5029,5106,4952,5083,149709,70488.0,10680000.0
2007-04-03,5159,5174,5005,5022,72631,69634.0,10680000.0
2007-04-04,5043,5120,5020,5122,72673,71022.0,10680000.0
2007-04-05,5120,5136,5043,5130,62910,71129.0,10680000.0
2007-04-06,5174,5298,5128,5261,102845,72944.0,10680000.0
2007-04-09,5305,5305,5167,5253,68305,72838.0,10680000.0
2007-04-10,5237,5237,5083,5214,79753,72304.0,10680000.0
2007-04-11,5168,5237,5168,5237,41015,72624.0,10680000.0
2007-04-12,5237,5345,5160,5214,39448,72304.0,10680000.0
2007-04-13,5213,5290,5159,5276,87235,73158.0,10680000.0
2007-04-16,5336,5359,5236,5261,93424,72944.0,10680000.0
2007-04-17,5390,5390,5236,5261,57021,72944.0,10680000.0
2007-04-18,5191,5345,5191,5268,28504,73051.0,10680000.0
2007-04-19,5244,5344,5197,5261,49540,72944.0,10680000.0
2007-04-20,5267,5305,5251,5284,52028,73265.0,10680000.0
2007-04-23,5359,5721,5336,5546,334099,76896.0,10680000.0
2007-04-24,5575,5598,5506,5546,174018,76896.0,10680000.0
2007-04-25,5660,5683,5490,5515,100522,76469.0,10680000.0
2007-04-26,5467,5575,5351,5469,84524,75828.0,10680000.0
2007-04-27,5436,5575,5398,5415,56086,75080.0,10680000.0
2007-04-30,5421,5536,5375,5407,54671,74974.0,10680000.0
2007-05-02,5337,5445,5337,5368,254915,74440.0,10680000.0
2007-05-03,5507,5507,5337,5368,59707,74440.0,10680000.0
2007-05-04,5367,5390,5159,5207,144651,72197.0,10680000.0
2007-05-07,5159,5351,5159,5284,82986,73265.0,10680000.0
2007-05-08,5282,5328,5221,5253,68751,72838.0,10680000.0
2007-05-09,5205,5421,5167,5338,85816,74012.0,10680000.0
2007-05-10,5351,5613,5351,5538,300890,76789.0,10680000.0
2007-05-11,5468,5545,5430,5499,86430,76255.0,10680000.0
2007-05-14,5544,5544,5413,5461,59915,75721.0,10680000.0
2007-05-15,5459,5490,5359,5361,34541,74333.0,10680000.0
2007-05-16,5298,5452,5282,5415,74169,75080.0,10680000.0
2007-05-17,5444,5506,5336,5407,35995,74974.0,10680000.0
2007-05-18,5445,5445,5237,5314,40441,73692.0,10680000.0
2007-05-21,5206,5306,5098,5160,64537,71556.0,10680000.0
2007-05-22,5159,5228,5120,5230,47305,72517.0,10680000.0
2007-05-23,5083,5260,5083,5222,22995,72410.0,10680000.0
2007-05-25,5137,5222,5083,5160,62226,71556.0,10680000.0
2007-05-28,5244,5244,5120,5184,44371,71876.0,10680000.0
2007-05-29,5182,5197,5128,5184,40696,71876.0,10680000.0
2007-05-30,5191,5191,4983,5083,77034,70488.0,10680000.0
2007-05-31,5036,5082,4966,4999,59016,69313.0,10680000.0
2007-06-01,5052,5306,5052,5222,130442,72410.0,10680000.0
2007-06-04,5221,5313,5174,5307,61887,73585.0,10680000.0
2007-06-05,5291,5391,5198,5314,63725,73692.0,10680000.0
2007-06-07,5222,5476,5222,5422,99210,75187.0,10680000.0
2007-06-08,5421,5529,5228,5438,123326,75401.0,10680000.0
2007-06-11,5507,5799,5507,5661,188595,78498.0,10680000.0
2007-06-12,5661,5768,5468,5507,110237,76362.0,10680000.0
2007-06-13,5406,5607,5406,5476,66510,75935.0,10680000.0
2007-06-14,5567,5621,5475,5515,100830,76469.0,10680000.0
2007-06-15,5645,5699,5545,5576,95217,77323.0,10680000.0
2007-06-18,5760,5875,5621,5831,192564,80848.0,10680000.0
2007-06-19,5929,5983,5791,5900,142031,81809.0,10680000.0
