켐트로닉스(089010),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-04-03,6967,7088,6820,6848,439470,58697.0,4177750.0
2007-04-04,6918,6941,6699,6897,207969,59115.0,4177750.0
2007-04-05,6917,6917,6600,6630,158894,56817.0,4177750.0
2007-04-06,6626,6673,6407,6508,162057,55773.0,4177750.0
2007-04-09,6456,6601,6237,6434,125521,55146.0,4177750.0
2007-04-10,6382,6577,6333,6580,104341,56400.0,4177750.0
2007-04-11,6553,6771,6455,6678,192865,57235.0,4177750.0
2007-04-12,6600,6699,6503,6678,111250,57235.0,4177750.0
2007-04-13,6795,6795,6503,6727,106172,57653.0,4177750.0
2007-04-16,6649,6992,6601,6897,293652,59115.0,4177750.0
2007-04-17,6917,6966,6625,6630,184721,56817.0,4177750.0
2007-04-18,6600,6747,6503,6678,129626,57235.0,4177750.0
2007-04-19,6673,6796,6333,6555,125186,56191.0,4177750.0
2007-04-20,6503,6771,6455,6703,164440,57444.0,4177750.0
2007-04-23,6771,6795,6553,6630,85212,56817.0,4177750.0
2007-04-24,6625,6625,6236,6312,157880,54102.0,4177750.0
2007-04-25,6406,6503,6089,6288,224153,53893.0,4177750.0
2007-04-26,6381,6479,6211,6264,76384,53684.0,4177750.0
2007-04-27,6186,6381,6186,6240,84858,53475.0,4177750.0
2007-04-30,6211,6381,6162,6312,37602,54102.0,4177750.0
2007-05-02,6308,6795,6308,6727,218007,57653.0,4177750.0
2007-05-03,6820,7064,6673,7043,337544,60368.0,4177750.0
2007-05-04,7185,7381,6893,7118,287914,60995.0,4177750.0
2007-05-07,7234,7381,7064,7288,184455,62457.0,4177750.0
2007-05-08,7309,7309,6894,6994,235453,59951.0,4177750.0
2007-05-09,6992,7064,6796,6970,87951,59742.0,4177750.0
2007-05-10,7015,7381,6941,7288,294395,62457.0,4177750.0
2007-05-11,7161,7844,7113,7653,302704,65591.0,4177750.0
2007-05-14,7796,7892,7406,7458,158423,63920.0,4177750.0
2007-05-15,7552,7698,7406,7506,122582,64337.0,4177750.0
2007-05-16,7405,7624,7381,7581,73031,64964.0,4177750.0
2007-05-17,7599,7941,7599,7751,141728,66426.0,4177750.0
2007-05-18,7821,7869,7552,7776,46576,66635.0,4177750.0
2007-05-21,7698,7821,7552,7822,109383,67053.0,4177750.0
2007-05-22,7991,8427,7892,8190,225691,70186.0,4177750.0
2007-05-23,8282,8623,8086,8555,152903,73320.0,4177750.0
2007-05-25,8478,8771,8283,8676,79315,74364.0,4177750.0
2007-05-28,8771,8794,8404,8482,92695,72693.0,4177750.0
2007-05-29,8380,8478,8063,8383,165088,71857.0,4177750.0
2007-05-30,8355,8355,7965,8190,123271,70186.0,4177750.0
2007-05-31,8209,8427,7868,8043,119135,68933.0,4177750.0
2007-06-01,8160,8235,7796,7945,124781,68097.0,4177750.0
2007-06-04,7942,8087,7698,7945,91450,68097.0,4177750.0
2007-06-05,7844,8086,7844,7996,59083,68515.0,4177750.0
2007-06-07,7942,7966,7576,7776,165514,66635.0,4177750.0
2007-06-08,7697,8112,7551,8115,97268,69560.0,4177750.0
2007-06-11,8185,9282,8113,9140,281591,78333.0,4177750.0
2007-06-12,9014,9257,8819,9091,132689,77915.0,4177750.0
2007-06-13,9136,9233,8916,9140,140740,78333.0,4177750.0
2007-06-14,9332,9746,9161,9651,217323,82719.0,4177750.0
2007-06-15,9745,9939,9549,9896,175311,84808.0,4177750.0
2007-06-18,10256,10914,9989,10626,239385,91075.0,4177750.0
2007-06-19,10792,10842,9939,10432,164429,89404.0,4177750.0
2007-06-20,10573,10573,9501,9676,182988,82928.0,4177750.0
2007-06-21,9403,9939,8963,9944,96363,85226.0,4177750.0
2007-06-22,10233,10331,9746,10090,120304,86479.0,4177750.0
2007-06-25,9939,10426,9672,9969,116444,85435.0,4177750.0
2007-06-26,9892,9989,9136,9602,137145,82302.0,4177750.0
2007-06-27,9599,9842,9501,9701,101220,83137.0,4177750.0
2007-06-28,9892,9892,9550,9773,42643,83764.0,4177750.0
2007-06-29,9820,9964,9696,9797,41314,83973.0,4177750.0
2007-07-02,9915,11136,9915,11065,144222,94835.0,4177750.0
2007-07-03,11206,11695,10793,11479,130910,98386.0,4177750.0
2007-07-04,11646,11646,11353,11405,93186,97759.0,4177750.0
2007-07-05,11353,12183,11329,11943,182437,102355.0,4177750.0
2007-07-06,11840,12476,11817,11893,97973,101937.0,4177750.0
2007-07-09,11939,12084,11451,11846,131907,101519.0,4177750.0
2007-07-10,12232,12644,11840,12430,103841,106533.0,4177750.0
2007-07-11,12426,12549,12085,12430,42198,106533.0,4177750.0
2007-07-12,12523,13718,12328,13649,167909,116977.0,4177750.0
2007-07-13,13642,14034,13328,13599,77240,116559.0,4177750.0
2007-07-16,13790,13790,12717,13039,102080,111755.0,4177750.0
2007-07-18,13035,13256,12476,12503,94836,107159.0,4177750.0
2007-07-19,12914,13059,12476,13014,114053,111546.0,4177750.0
2007-07-20,13328,13426,12816,12820,76300,109875.0,4177750.0
2007-07-23,12669,13108,12571,12601,94860,107995.0,4177750.0
2007-07-24,12524,13012,12353,13014,60928,111546.0,4177750.0
2007-07-25,12768,13377,12768,13014,71407,111546.0,4177750.0
2007-07-26,13035,13156,12475,12723,60162,109039.0,4177750.0
2007-07-27,12377,12622,11792,12187,82433,104444.0,4177750.0
2007-07-30,11939,12669,11939,12674,37053,108622.0,4177750.0
2007-07-31,12888,12888,12548,12674,38620,108622.0,4177750.0
2007-08-01,12743,12815,12084,12187,37156,104444.0,4177750.0
2007-08-02,12571,12571,11111,11699,65906,100266.0,4177750.0
2007-08-03,11839,12156,11597,11797,29813,101102.0,4177750.0
2007-08-06,11499,11671,11085,11359,43843,97342.0,4177750.0
2007-08-07,11452,11671,10671,11089,117225,95044.0,4177750.0
2007-08-08,11305,11549,10914,11016,63738,94417.0,4177750.0
2007-08-09,11159,11572,11012,11309,51045,96924.0,4177750.0
2007-08-10,11060,11085,10427,11065,89964,94835.0,4177750.0
2007-08-13,11159,11159,10549,11016,26738,94417.0,4177750.0
2007-08-14,10768,10842,9988,10334,63800,88568.0,4177750.0
2007-08-16,9623,9769,8794,8969,118851,76871.0,4177750.0
2007-08-17,8820,9649,8478,9261,84215,79377.0,4177750.0
2007-08-20,9307,10648,9307,10650,105919,91284.0,4177750.0
2007-08-21,10719,10914,10305,10382,47451,88986.0,4177750.0
2007-08-22,10331,10696,10159,10650,38261,91284.0,4177750.0
2007-08-23,10964,11305,10891,11016,77634,94417.0,4177750.0
2007-08-24,11013,11184,10769,11138,19425,95462.0,4177750.0
2007-08-27,11353,11429,11085,11089,40131,95044.0,4177750.0
2007-08-28,11059,11159,10695,10943,20866,93790.0,4177750.0
2007-08-29,10379,10648,10256,10650,33341,91284.0,4177750.0
2007-08-30,10964,11206,10572,11213,36745,96088.0,4177750.0
2007-08-31,11159,11499,10818,11505,46879,98595.0,4177750.0
2007-09-03,11499,11499,11159,11186,77869,95879.0,4177750.0
2007-09-04,11328,11328,10817,10846,50374,92955.0,4177750.0
2007-09-05,10914,10989,10233,10626,25115,91075.0,4177750.0
2007-09-06,10477,10624,10256,10529,39139,90239.0,4177750.0
2007-09-07,10550,10891,10427,10601,45456,90866.0,4177750.0
2007-09-10,10233,10477,9696,9749,96894,83555.0,4177750.0
2007-09-11,9819,10159,9672,9822,34999,84182.0,4177750.0
2007-09-12,9989,9989,9550,9651,42210,82719.0,4177750.0
2007-09-13,9525,9988,9451,9847,28828,84391.0,4177750.0
2007-09-14,9842,10207,9769,9994,27889,85644.0,4177750.0
2007-09-17,10184,10207,9842,9847,28405,84391.0,4177750.0
2007-09-18,9842,9842,9331,9408,70136,80631.0,4177750.0
2007-09-19,9963,10549,9842,9919,131714,85017.0,4177750.0
2007-09-20,9964,9964,9575,9726,42371,83346.0,4177750.0
2007-09-21,9599,9819,9281,9554,46804,81884.0,4177750.0
2007-09-27,9599,9793,9477,9481,46412,81257.0,4177750.0
2007-09-28,9550,9770,9501,9726,38499,83346.0,4177750.0
2007-10-01,9793,9939,9745,9822,43144,84182.0,4177750.0
2007-10-02,9866,10013,9746,9773,39091,83764.0,4177750.0
2007-10-04,9696,9842,9282,9285,60294,79586.0,4177750.0
2007-10-05,9233,9282,8356,8701,122219,74573.0,4177750.0
2007-10-08,8698,8698,7941,7996,224023,68515.0,4177750.0
2007-10-09,7844,7965,7258,7653,284762,65591.0,4177750.0
2007-10-10,7845,8528,7796,8311,162505,71231.0,4177750.0
2007-10-11,8721,9501,8551,8823,169207,75617.0,4177750.0
2007-10-12,8771,8868,8087,8238,92634,70604.0,4177750.0
2007-10-15,8283,8674,8113,8263,109396,70813.0,4177750.0
2007-10-16,8185,8283,7747,7848,90604,67262.0,4177750.0
2007-10-17,7698,7698,6820,7018,214632,60160.0,4177750.0
2007-10-18,7136,7625,6382,7531,97417,64546.0,4177750.0
2007-10-19,7673,8039,7551,7653,61469,65591.0,4177750.0
2007-10-22,7381,7381,7040,7093,78423,60786.0,4177750.0
2007-10-23,7308,7697,7209,7555,107601,64755.0,4177750.0
2007-10-24,7673,8086,7478,7676,98345,65800.0,4177750.0
2007-10-25,7720,7844,7478,7605,28237,65173.0,4177750.0
2007-10-26,7599,7892,7527,7727,43835,66217.0,4177750.0
2007-10-29,7795,7892,7551,7629,54722,65382.0,4177750.0
2007-10-30,7551,7697,7209,7215,75049,61831.0,4177750.0
2007-10-31,7309,7406,7162,7335,42458,62875.0,4177750.0
2007-11-01,7357,7869,7357,7798,97756,66844.0,4177750.0
2007-11-02,7528,8040,7406,7897,82880,67680.0,4177750.0
2007-11-05,7917,8039,7428,7605,52904,65173.0,4177750.0
2007-11-06,7600,7674,6699,7018,180337,60160.0,4177750.0
2007-11-07,7041,7309,6967,7018,82979,60160.0,4177750.0
2007-11-08,6966,7381,6917,7215,53756,61831.0,4177750.0
2007-11-09,7234,7478,7088,7335,54895,62875.0,4177750.0
2007-11-12,7113,7308,7064,7190,40696,61622.0,4177750.0
2007-11-13,7136,7357,7088,7311,32507,62666.0,4177750.0
2007-11-14,7503,7673,7209,7215,41818,61831.0,4177750.0
2007-11-15,7259,7259,7016,7018,39312,60160.0,4177750.0
2007-11-16,7015,7333,7015,7288,24141,62457.0,4177750.0
2007-11-19,7453,7453,7113,7141,21188,61204.0,4177750.0
2007-11-20,6918,7064,6479,6873,47535,58906.0,4177750.0
2007-11-21,6871,6967,6723,6848,19548,58697.0,4177750.0
2007-11-22,6795,6795,6479,6655,39087,57026.0,4177750.0
2007-11-23,6649,6967,6187,6434,69882,55146.0,4177750.0
2007-11-26,6479,6626,6479,6508,27474,55773.0,4177750.0
2007-11-27,6332,6503,5844,6191,53818,53057.0,4177750.0
2007-11-28,6332,6479,6137,6240,44622,53475.0,4177750.0
2007-11-29,6236,6332,6137,6191,43027,53057.0,4177750.0
2007-11-30,6186,6259,6137,6215,32623,53266.0,4177750.0
2007-12-03,6236,6308,6186,6288,56310,53893.0,4177750.0
2007-12-04,6284,7064,6284,6897,56132,59115.0,4177750.0
2007-12-05,6992,7209,6820,7043,40737,60368.0,4177750.0
2007-12-06,7064,7259,6967,7068,40528,60577.0,4177750.0
2007-12-07,7259,7259,6918,6994,18863,59951.0,4177750.0
2007-12-10,6941,7040,6722,6751,24446,57862.0,4177750.0
2007-12-11,6870,6870,6699,6800,6270,58280.0,4177750.0
2007-12-12,6771,6819,6553,6751,20903,57862.0,4177750.0
2007-12-13,6870,6917,6625,6824,13310,58488.0,4177750.0
2007-12-14,6820,7113,6820,6994,26427,59951.0,4177750.0
2007-12-17,6991,7040,6699,6776,14623,58071.0,4177750.0
2007-12-18,6648,7015,6648,6776,12525,58071.0,4177750.0
2007-12-20,6648,6870,6503,6655,22280,57026.0,4177750.0
2007-12-21,6554,6723,6309,6411,14284,54937.0,4177750.0
2007-12-24,6406,6553,6283,6288,14351,53893.0,4177750.0
2007-12-26,6284,6456,6284,6411,27095,54937.0,4177750.0
2007-12-27,6577,6577,6284,6411,18318,54937.0,4177750.0
2007-12-28,6407,6430,6284,6411,14614,54937.0,4177750.0
2008-01-02,6407,6479,6089,6167,34004,52849.0,4177750.0
2008-01-03,5992,6308,5992,6312,9292,54102.0,4177750.0
2008-01-04,6211,6429,6211,6264,5562,53684.0,4177750.0
2008-01-07,6113,6332,6089,6264,31468,53684.0,4177750.0
2008-01-08,6237,6504,6237,6508,18703,55773.0,4177750.0
2008-01-09,6479,6626,6260,6482,24518,55564.0,4177750.0
2008-01-10,6577,6649,6333,6434,13289,55146.0,4177750.0
2008-01-11,6528,6528,6089,6094,63020,52222.0,4177750.0
2008-01-14,6137,6237,5676,5995,48344,51386.0,4177750.0
2008-01-15,5992,6113,5601,5654,26599,48462.0,4177750.0
2008-01-16,5506,5554,4992,5215,82654,44702.0,4177750.0
2008-01-17,5138,5529,4943,5215,121787,44702.0,4177750.0
2008-01-18,5016,5381,5016,5362,32842,45955.0,4177750.0
2008-01-21,5358,5455,5091,5215,25364,44702.0,4177750.0
2008-01-22,4968,5189,4466,4776,68609,40942.0,4177750.0
2008-01-23,4809,4968,4528,4596,98962,39396.0,4177750.0
2008-01-24,4676,4784,4623,4631,40922,39689.0,4177750.0
2008-01-25,4742,4820,4577,4827,35827,41360.0,4177750.0
2008-01-28,4870,5042,4738,4797,23385,41109.0,4177750.0
2008-01-29,4841,4921,4685,4756,34233,40775.0,4177750.0
2008-01-30,4724,4754,4198,4275,75658,36639.0,4177750.0
2008-01-31,4275,4866,4275,4869,56065,41736.0,4177750.0
2008-02-01,4705,4866,4622,4791,54694,41067.0,4177750.0
2008-02-04,4724,5042,4724,4996,36267,42822.0,4177750.0
2008-02-05,5016,5307,4920,5264,48187,45120.0,4177750.0
2008-02-11,5065,5357,4967,5290,26033,45329.0,4177750.0
2008-02-12,5333,5505,5307,5411,23657,46373.0,4177750.0
2008-02-13,5505,5505,5188,5314,24103,45537.0,4177750.0
2008-02-14,5431,5431,5163,5338,33758,45746.0,4177750.0
2008-02-15,5307,5381,5090,5386,24626,46164.0,4177750.0
2008-02-18,5284,5381,5090,5264,61278,45120.0,4177750.0
2008-02-19,5261,5554,5138,5507,36361,47209.0,4177750.0
2008-02-20,5601,5749,5431,5556,49627,47626.0,4177750.0
2008-02-21,5601,5700,5407,5531,22024,47417.0,4177750.0
2008-02-22,5553,5553,5261,5436,13674,46582.0,4177750.0
2008-02-25,5553,5553,5261,5362,17584,45955.0,4177750.0
2008-02-26,5357,5381,5188,5362,25963,45955.0,4177750.0
2008-02-27,5307,5431,5261,5436,33282,46582.0,4177750.0
2008-02-28,5454,5454,5284,5411,24045,46373.0,4177750.0
2008-02-29,5407,5700,5358,5704,24431,48880.0,4177750.0
2008-03-03,5554,5724,5407,5677,18262,48671.0,4177750.0
2008-03-04,5771,5771,5649,5728,10599,49089.0,4177750.0
2008-03-05,5844,5942,5626,5825,28244,49924.0,4177750.0
2008-03-06,5894,6113,5797,6094,41815,52222.0,4177750.0
2008-03-07,6016,6237,5943,6094,25474,52222.0,4177750.0
2008-03-10,6065,6309,5797,6020,148864,51595.0,4177750.0
2008-03-11,6016,6089,5919,6043,28759,51804.0,4177750.0
2008-03-12,6187,6212,5894,5971,20380,51177.0,4177750.0
2008-03-13,5992,5992,5797,5948,15952,50969.0,4177750.0
2008-03-14,5943,5992,5649,5875,17513,50342.0,4177750.0
2008-03-17,5724,5845,5358,5556,21594,47626.0,4177750.0
2008-03-18,5676,5676,5407,5411,15196,46373.0,4177750.0
2008-03-19,5578,5601,5506,5556,7969,47626.0,4177750.0
2008-03-20,5554,5578,5358,5483,5130,47000.0,4177750.0
2008-03-21,5529,5772,5529,5704,8827,48880.0,4177750.0
2008-03-24,5626,5844,5626,5825,7009,49924.0,4177750.0
2008-03-25,5894,5894,5650,5677,10730,48671.0,4177750.0
2008-03-26,5700,5797,5506,5606,18484,48044.0,4177750.0
2008-03-27,5506,5627,5506,5631,11351,48253.0,4177750.0
2008-03-28,5554,5700,5481,5507,11898,47209.0,4177750.0
2008-03-31,5554,5601,5455,5606,9872,48044.0,4177750.0
2008-04-01,5650,5650,5506,5583,9466,47835.0,4177750.0
2008-04-02,5699,5771,5431,5460,25276,46791.0,4177750.0
2008-04-03,5407,5553,5407,5460,15231,46791.0,4177750.0
2008-04-04,5407,5528,5357,5460,13330,46791.0,4177750.0
2008-04-07,5454,5454,5211,5362,46776,45955.0,4177750.0
2008-04-08,5358,5358,4895,5119,135650,43866.0,4177750.0
2008-04-10,5017,5163,4871,5119,18695,43866.0,4177750.0
2008-04-11,5138,5138,4870,4923,23500,42195.0,4177750.0
2008-04-14,4845,4967,4820,4850,21804,41569.0,4177750.0
2008-04-15,4841,4967,4841,4948,12745,42404.0,4177750.0
2008-04-16,4943,4967,4855,4899,13154,41986.0,4177750.0
2008-04-17,4968,5163,4895,5167,18717,44284.0,4177750.0
2008-04-18,5212,5212,5042,5167,9598,44284.0,4177750.0
2008-04-21,5188,5307,5188,5314,18470,45537.0,4177750.0
2008-04-22,5357,5407,5163,5314,20791,45537.0,4177750.0
2008-04-23,5334,5334,5163,5190,20942,44493.0,4177750.0
2008-04-24,5113,5113,4967,4996,36497,42822.0,4177750.0
2008-04-25,4967,5016,4860,4923,23897,42195.0,4177750.0
2008-04-28,4967,4967,4808,4875,32856,41778.0,4177750.0
2008-04-29,4895,5016,4870,4875,19647,41778.0,4177750.0
2008-04-30,4895,5017,4433,4451,88015,38143.0,4177750.0
2008-05-02,4392,4519,4320,4518,77971,38728.0,4177750.0
2008-05-06,4466,4788,4466,4791,30751,41067.0,4177750.0
2008-05-07,4820,4920,4778,4923,25564,42195.0,4177750.0
2008-05-08,4967,4967,4841,4850,24014,41569.0,4177750.0
2008-05-09,4845,4967,4724,4899,47807,41986.0,4177750.0
2008-05-13,4968,5237,4866,5215,51672,44702.0,4177750.0
2008-05-14,5236,5480,5211,5362,47054,45955.0,4177750.0
2008-05-15,5454,5505,5113,5314,189815,45537.0,4177750.0
2008-05-16,5407,5431,5211,5362,17061,45955.0,4177750.0
2008-05-19,5454,5454,5163,5338,18899,45746.0,4177750.0
2008-05-20,5236,5333,5065,5290,21907,45329.0,4177750.0
2008-05-21,5114,5284,4943,5143,15343,44075.0,4177750.0
2008-05-22,5138,5138,4861,5070,39017,43449.0,4177750.0
2008-05-23,5138,5212,4968,5095,13008,43657.0,4177750.0
2008-05-26,5042,5163,4967,5020,9528,43031.0,4177750.0
2008-05-27,4943,5090,4920,5020,7684,43031.0,4177750.0
2008-05-28,5042,5065,4866,4923,20307,42195.0,4177750.0
2008-05-29,4967,4991,4820,4875,23337,41778.0,4177750.0
2008-05-30,4870,4943,4866,4869,21644,41736.0,4177750.0
2008-06-02,4870,4943,4831,4875,21836,41778.0,4177750.0
2008-06-03,4801,4895,4709,4875,75949,41778.0,4177750.0
2008-06-04,4870,4895,4845,4875,30937,41778.0,4177750.0
2008-06-05,4870,4943,4820,4827,8579,41360.0,4177750.0
2008-06-09,4730,4871,4111,4727,22212,40524.0,4177750.0
2008-06-10,4724,4773,4627,4719,3970,40441.0,4177750.0
2008-06-11,4627,4742,4627,4695,16983,40232.0,4177750.0
2008-06-12,4767,4767,4611,4768,5513,40858.0,4177750.0
2008-06-13,4749,4773,4627,4684,3882,40148.0,4177750.0
2008-06-16,4622,4627,4143,4436,46233,38018.0,4177750.0
2008-06-17,4446,4528,4285,4470,19650,38310.0,4177750.0
2008-06-18,4393,4504,4384,4470,5130,38310.0,4177750.0
2008-06-19,4432,4466,4194,4436,17766,38018.0,4177750.0
2008-06-20,4383,4476,4285,4387,12581,37600.0,4177750.0
2008-06-23,4310,4330,4182,4266,25386,36555.0,4177750.0
2008-06-24,4262,4358,4140,4216,9035,36138.0,4177750.0
2008-06-25,4213,4282,4048,4133,10966,35427.0,4177750.0
2008-06-26,4115,4177,3846,3875,19509,33213.0,4177750.0
2008-06-27,3861,3901,3749,3822,23099,32754.0,4177750.0
2008-06-30,3770,3890,3540,3543,29266,30372.0,4177750.0
2008-07-01,3599,3750,3536,3577,53367,30665.0,4177750.0
2008-07-02,3578,3667,3456,3496,17571,29954.0,4177750.0
2008-07-03,3286,3501,3286,3315,52268,28409.0,4177750.0
2008-07-04,3341,3491,3264,3315,21124,28409.0,4177750.0
2008-07-07,3408,3408,3286,3359,2158,28785.0,4177750.0
2008-07-08,3360,3448,3264,3410,14746,29244.0,4177750.0
2008-07-09,3409,3491,3355,3446,12726,29537.0,4177750.0
2008-07-10,3385,3437,3305,3441,7599,29495.0,4177750.0
2008-07-11,3481,3569,3360,3573,6869,30623.0,4177750.0
2008-07-14,3530,3774,3530,3778,7140,32378.0,4177750.0
2008-07-15,3750,3867,3725,3851,13446,33004.0,4177750.0
2008-07-16,3846,3959,3798,3949,23169,33840.0,4177750.0
2008-07-17,3997,4140,3943,4046,14174,34675.0,4177750.0
2008-07-18,4120,4120,3993,4084,9306,35010.0,4177750.0
2008-07-21,4140,4189,4041,4133,18593,35427.0,4177750.0
2008-07-22,4090,4189,4017,4118,7376,35302.0,4177750.0
2008-07-23,4089,4135,4041,4046,7912,34675.0,4177750.0
2008-07-24,4101,4101,4022,4037,2298,34592.0,4177750.0
2008-07-25,4087,4087,3901,4056,2032,34759.0,4177750.0
2008-07-28,4009,4130,3803,3807,8378,32628.0,4177750.0
2008-07-29,3882,3882,3604,3724,5178,31918.0,4177750.0
2008-07-30,3798,3798,3415,3651,6343,31291.0,4177750.0
2008-07-31,3585,3671,3585,3671,2625,31458.0,4177750.0
2008-08-01,3794,3794,3618,3704,1745,31751.0,4177750.0
2008-08-04,3712,3712,3555,3704,1396,31751.0,4177750.0
2008-08-05,3700,3700,3467,3642,4721,31208.0,4177750.0
2008-08-06,3559,3783,3559,3621,2068,31041.0,4177750.0
2008-08-07,3652,3652,3315,3607,16315,30915.0,4177750.0
2008-08-08,3510,3667,3505,3607,6958,30915.0,4177750.0
2008-08-11,3607,3750,3565,3596,35912,30832.0,4177750.0
2008-08-12,3652,3691,3505,3539,5289,30330.0,4177750.0
2008-08-13,3603,3603,3408,3554,37589,30456.0,4177750.0
2008-08-14,3623,3623,3414,3533,15481,30289.0,4177750.0
2008-08-18,3422,3529,3184,3228,21525,27657.0,4177750.0
2008-08-19,3174,3415,3174,3363,14279,28826.0,4177750.0
2008-08-20,3360,3360,3247,3344,1603,28659.0,4177750.0
2008-08-21,3456,3456,3238,3330,65485,28534.0,4177750.0
2008-08-22,3505,3505,3160,3315,1114,28409.0,4177750.0
2008-08-25,3316,3390,3189,3236,5617,27740.0,4177750.0
2008-08-26,3151,3355,3038,3232,13802,27698.0,4177750.0
2008-08-27,3140,3227,2945,3095,20559,26529.0,4177750.0
2008-08-28,3010,3092,2927,3002,13926,25735.0,4177750.0
2008-08-29,2934,3116,2934,3047,14461,26111.0,4177750.0
2008-09-01,3066,3131,2808,2974,4298,25484.0,4177750.0
2008-09-02,2871,2970,2802,2919,5891,25025.0,4177750.0
2008-09-03,2536,2916,2536,2784,7020,23855.0,4177750.0
2008-09-04,2676,2920,2676,2793,4845,23939.0,4177750.0
2008-09-05,2637,2779,2541,2598,10898,22267.0,4177750.0
2008-09-08,2536,2803,2536,2803,16340,24022.0,4177750.0
2008-09-09,2823,2881,2715,2808,7759,24064.0,4177750.0
2008-09-10,2721,2916,2721,2812,4404,24106.0,4177750.0
2008-09-11,2726,2823,2726,2827,6568,24231.0,4177750.0
2008-09-12,2921,3117,2823,3026,16317,25944.0,4177750.0
2008-09-16,2819,2868,2687,2778,8262,23813.0,4177750.0
2008-09-17,2759,2993,2759,2919,2178,25025.0,4177750.0
2008-09-18,2716,2799,2668,2798,10726,23980.0,4177750.0
2008-09-19,2852,2970,2759,2817,13449,24147.0,4177750.0
2008-09-22,2823,2828,2726,2749,3773,23563.0,4177750.0
2008-09-23,2668,2745,2613,2749,8739,23563.0,4177750.0
2008-09-24,2769,2823,2677,2754,3477,23604.0,4177750.0
2008-09-25,2823,2823,2677,2778,4023,23813.0,4177750.0
2008-09-26,2906,2906,2736,2827,1560,24231.0,4177750.0
2008-09-29,2940,2940,2676,2764,17961,23688.0,4177750.0
2008-09-30,2585,2769,2497,2773,5838,23771.0,4177750.0
2008-10-01,2691,2848,2667,2740,4578,23479.0,4177750.0
