아바코(083930),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-01-13,4474,4535,4390,4429,99062,47642.0,8200000.0
2006-01-16,4428,4665,4420,4665,127040,50184.0,8200000.0
2006-01-17,4573,4665,4459,4459,103613,47970.0,8200000.0
2006-01-18,4466,4466,4192,4246,156961,45674.0,8200000.0
2006-01-19,4192,4306,4154,4269,75049,45920.0,8200000.0
2006-01-20,4306,4344,4085,4086,101159,43952.0,8200000.0
2006-01-23,3910,3963,3475,3476,106876,37392.0,8200000.0
2006-01-24,3430,3544,2957,3358,254768,36121.0,8200000.0
2006-01-25,3330,3582,3277,3354,240204,36080.0,8200000.0
2006-01-26,3354,3772,3293,3522,109970,37884.0,8200000.0
2006-01-27,3567,3826,3567,3811,73048,41000.0,8200000.0
2006-01-31,3872,3872,3720,3735,44251,40180.0,8200000.0
2006-02-01,3700,3704,3354,3503,90146,37679.0,8200000.0
2006-02-02,3544,3620,3395,3545,34164,38130.0,8200000.0
2006-02-03,3354,3532,3354,3430,32060,36900.0,8200000.0
2006-02-06,3354,3456,3330,3389,64763,36449.0,8200000.0
2006-02-07,3430,3467,3361,3404,45777,36613.0,8200000.0
2006-02-08,3369,3506,3354,3389,63822,36449.0,8200000.0
2006-02-09,3410,3586,3410,3503,47285,37679.0,8200000.0
2006-02-10,3460,3593,3460,3530,39880,37966.0,8200000.0
2006-02-13,3529,3658,3506,3530,44850,37966.0,8200000.0
2006-02-14,3506,3582,3475,3568,47849,38376.0,8200000.0
2006-02-15,3590,3605,3487,3545,31385,38130.0,8200000.0
2006-02-16,3582,3612,3506,3606,31029,38786.0,8200000.0
2006-02-17,3575,3811,3575,3735,45958,40180.0,8200000.0
2006-02-20,3849,3849,3735,3774,29914,40590.0,8200000.0
2006-02-21,3833,3910,3780,3804,48662,40918.0,8200000.0
2006-02-22,3753,3799,3658,3674,38858,39524.0,8200000.0
2006-02-23,3704,3796,3620,3629,39630,39032.0,8200000.0
2006-02-24,3632,3692,3597,3621,19827,38950.0,8200000.0
2006-02-27,3620,3681,3536,3640,39438,39155.0,8200000.0
2006-02-28,3616,3658,3563,3606,32860,38786.0,8200000.0
2006-03-02,3590,3685,3590,3659,35637,39360.0,8200000.0
2006-03-03,3655,3696,3109,3510,36458,37761.0,8200000.0
2006-03-06,3460,3460,3277,3373,48820,36285.0,8200000.0
2006-03-07,3315,3384,3235,3270,59228,35178.0,8200000.0
2006-03-08,3174,3308,3155,3221,64982,34645.0,8200000.0
2006-03-09,3201,3315,3185,3270,30623,35178.0,8200000.0
2006-03-10,3213,3354,3213,3282,23158,35301.0,8200000.0
2006-03-13,3243,3536,3243,3538,31900,38048.0,8200000.0
2006-03-14,3475,3563,3354,3393,17251,36490.0,8200000.0
2006-03-15,3346,3418,3277,3304,11325,35547.0,8200000.0
2006-03-16,3285,3372,3201,3373,41731,36285.0,8200000.0
2006-03-17,3426,3426,3262,3354,15274,36080.0,8200000.0
2006-03-20,3304,3357,3277,3332,17589,35834.0,8200000.0
2006-03-21,3315,3369,3277,3362,18779,36162.0,8200000.0
2006-03-22,3304,3567,3209,3301,17392,35506.0,8200000.0
2006-03-23,3250,3544,3216,3324,83345,35752.0,8200000.0
2006-03-24,3384,3384,3201,3270,18303,35178.0,8200000.0
2006-03-27,3213,3270,3133,3133,48227,33702.0,8200000.0
2006-03-28,3071,3185,2945,2985,49788,32103.0,8200000.0
2006-03-29,2972,2995,2904,2988,42807,32144.0,8200000.0
2006-03-30,2995,3391,2995,3172,31131,34112.0,8200000.0
2006-03-31,3209,3430,3170,3354,134944,36080.0,8200000.0
2006-04-03,3354,3502,3285,3332,68140,35834.0,8200000.0
2006-04-04,3289,3430,3285,3328,49597,35793.0,8200000.0
2006-04-05,3293,3422,3281,3335,38949,35875.0,8200000.0
2006-04-06,3296,3391,3296,3324,48619,35752.0,8200000.0
2006-04-07,3315,3387,3243,3289,52549,35383.0,8200000.0
2006-04-10,3224,3338,3224,3285,23275,35342.0,8200000.0
2006-04-11,3270,3308,3231,3293,50791,35424.0,8200000.0
2006-04-12,3270,3289,3231,3274,19864,35219.0,8200000.0
2006-04-13,3235,3285,3235,3274,24412,35219.0,8200000.0
2006-04-14,3246,3311,3246,3248,58034,34932.0,8200000.0
2006-04-17,3270,3274,3224,3248,22887,34932.0,8200000.0
2006-04-18,3224,3250,3185,3224,31668,34686.0,8200000.0
2006-04-19,3193,3262,3193,3202,59945,34440.0,8200000.0
2006-04-20,3201,3231,3064,3064,58098,32964.0,8200000.0
2006-04-21,3052,3094,3010,3072,22919,33046.0,8200000.0
2006-04-24,3048,3071,2995,3003,17109,32308.0,8200000.0
2006-04-25,2881,3452,2881,3072,131549,33046.0,8200000.0
2006-04-26,3033,3185,3022,3144,28593,33825.0,8200000.0
2006-04-27,3136,3201,3052,3057,50104,32882.0,8200000.0
2006-04-28,2984,3079,2984,3003,29690,32308.0,8200000.0
2006-05-02,2957,3029,2934,2958,15963,31816.0,8200000.0
2006-05-03,2927,3025,2904,2958,40238,31816.0,8200000.0
2006-05-04,2927,3018,2919,3019,19227,32472.0,8200000.0
2006-05-08,3025,3125,3014,3126,34008,33620.0,8200000.0
2006-05-09,3087,3231,3087,3152,51444,33907.0,8200000.0
2006-05-10,3151,3193,3056,3144,23595,33825.0,8200000.0
2006-05-11,3117,3266,3056,3156,64148,33948.0,8200000.0
2006-05-12,3117,3155,3090,3156,37212,33948.0,8200000.0
2006-05-15,3151,3151,3083,3095,19703,33292.0,8200000.0
2006-05-16,3094,3155,3094,3103,32143,33374.0,8200000.0
2006-05-17,3048,3140,3048,3061,33095,32923.0,8200000.0
2006-05-18,3010,3033,2819,2893,37180,31119.0,8200000.0
2006-05-19,2767,3007,2767,2905,29721,31242.0,8200000.0
2006-05-22,2858,2930,2819,2890,23819,31078.0,8200000.0
2006-05-23,2873,2904,2682,2855,20222,30709.0,8200000.0
2006-05-24,2763,2881,2759,2843,49141,30586.0,8200000.0
2006-05-25,2819,2827,2591,2828,71346,30422.0,8200000.0
2006-05-26,2888,3201,2819,3202,101333,34440.0,8200000.0
2006-05-29,3159,3250,3148,3179,45570,34194.0,8200000.0
2006-05-30,3087,3201,2934,2988,42654,32144.0,8200000.0
2006-06-01,2934,3003,2751,2828,19438,30422.0,8200000.0
2006-06-02,2827,2972,2827,2973,47522,31980.0,8200000.0
2006-06-05,3087,3094,2942,3031,23696,32595.0,8200000.0
2006-06-07,2915,3018,2743,2821,15648,30340.0,8200000.0
2006-06-08,2812,2865,2717,2763,21569,29725.0,8200000.0
2006-06-09,2767,2858,2755,2790,21275,30012.0,8200000.0
2006-06-12,2770,3029,2667,2966,62775,31898.0,8200000.0
2006-06-13,2964,2964,2812,2882,46518,30996.0,8200000.0
2006-06-14,2881,2896,2778,2874,29096,30914.0,8200000.0
2006-06-15,2930,2930,2743,2786,22365,29971.0,8200000.0
2006-06-16,2759,2816,2751,2817,26769,30299.0,8200000.0
2006-06-19,2816,2816,2686,2706,14784,29110.0,8200000.0
2006-06-20,2618,2675,2492,2493,84771,26814.0,8200000.0
2006-06-21,2477,2568,2438,2493,38695,26814.0,8200000.0
2006-06-22,2530,2553,2416,2416,21131,25994.0,8200000.0
2006-06-23,2362,2469,2171,2333,60530,25092.0,8200000.0
2006-06-26,2324,2405,2214,2405,31413,25871.0,8200000.0
2006-06-27,2397,2453,2377,2431,16453,26158.0,8200000.0
2006-06-28,2431,2591,2381,2592,19191,27880.0,8200000.0
2006-06-29,2591,2622,2522,2580,13089,27757.0,8200000.0
2006-06-30,2553,2606,2522,2561,9824,27552.0,8200000.0
2006-07-03,2549,2549,2294,2355,32421,25338.0,8200000.0
2006-07-04,2397,2401,2309,2310,51635,24846.0,8200000.0
2006-07-05,2260,2286,2119,2287,151109,24600.0,8200000.0
2006-07-06,2305,2305,2184,2210,17812,23780.0,8200000.0
2006-07-07,2171,2393,2134,2210,54441,23780.0,8200000.0
2006-07-10,2141,2240,2141,2226,9974,23944.0,8200000.0
2006-07-11,2191,2248,2184,2226,28095,23944.0,8200000.0
2006-07-12,2244,2264,2210,2226,19729,23944.0,8200000.0
2006-07-13,2225,2553,2202,2287,40672,24600.0,8200000.0
2006-07-14,2316,2316,2134,2249,21416,24190.0,8200000.0
2006-07-18,2240,2240,2095,2097,16940,22550.0,8200000.0
2006-07-19,2065,2160,2058,2093,22286,22509.0,8200000.0
2006-07-20,2103,2134,2042,2066,46165,22222.0,8200000.0
2006-07-21,2069,2069,1905,2013,29555,21648.0,8200000.0
2006-07-24,1935,2008,1867,1940,42448,20869.0,8200000.0
2006-07-25,1946,2000,1935,1940,38120,20869.0,8200000.0
2006-07-26,1939,1974,1890,1898,79281,20418.0,8200000.0
2006-07-27,1943,1974,1878,1917,81576,20623.0,8200000.0
2006-07-28,1916,1958,1874,1925,47025,20705.0,8200000.0
2006-07-31,1966,2107,1928,2017,100265,21689.0,8200000.0
2006-08-01,1985,2046,1966,1989,24862,21402.0,8200000.0
2006-08-02,1966,2019,1935,1993,40428,21443.0,8200000.0
2006-08-03,1993,2027,1950,1967,20490,21156.0,8200000.0
2006-08-04,1950,2031,1874,1967,85122,21156.0,8200000.0
2006-08-07,1981,2039,1905,1974,42085,21238.0,8200000.0
2006-08-08,1978,2035,1954,1986,25419,21361.0,8200000.0
2006-08-09,2004,2035,1943,2028,80564,21812.0,8200000.0
2006-08-10,1950,1950,1779,1913,189894,20582.0,8200000.0
2006-08-11,1985,2199,1878,1879,1008424,20213.0,8200000.0
2006-08-14,1905,1905,1749,1761,75272,18942.0,8200000.0
2006-08-16,1760,1760,1669,1692,46686,18204.0,8200000.0
2006-08-17,1680,1684,1623,1655,59442,17794.0,8200000.0
2006-08-18,1638,1669,1634,1639,45860,17630.0,8200000.0
2006-08-21,1642,1673,1630,1635,25632,17589.0,8200000.0
2006-08-22,1615,1714,1615,1670,49650,17958.0,8200000.0
2006-08-23,1657,1753,1642,1658,82775,17835.0,8200000.0
2006-08-24,1646,1680,1612,1651,56430,17753.0,8200000.0
2006-08-25,1665,1680,1634,1655,37984,17794.0,8200000.0
2006-08-28,1638,1714,1638,1700,32493,18286.0,8200000.0
2006-08-29,1729,1768,1680,1731,31054,18614.0,8200000.0
2006-08-30,1710,1753,1703,1734,28431,18655.0,8200000.0
2006-08-31,1737,1741,1699,1707,33385,18368.0,8200000.0
2006-09-01,1729,1852,1710,1811,64565,19475.0,8200000.0
2006-09-04,1890,2050,1829,1982,95623,21320.0,8200000.0
2006-09-05,1920,1974,1863,1864,67433,20049.0,8200000.0
2006-09-06,1870,1931,1840,1872,58814,20131.0,8200000.0
2006-09-07,1844,1886,1794,1860,58280,20008.0,8200000.0
2006-09-08,1829,1935,1829,1898,30980,20418.0,8200000.0
2006-09-11,1946,1946,1882,1891,18216,20336.0,8200000.0
2006-09-12,1924,1935,1829,1906,28270,20500.0,8200000.0
2006-09-13,1890,1935,1890,1921,16558,20664.0,8200000.0
2006-09-14,1966,1966,1905,1937,46955,20828.0,8200000.0
2006-09-15,1962,2035,1920,1956,54212,21033.0,8200000.0
2006-09-18,1978,2042,1928,2043,75643,21976.0,8200000.0
2006-09-19,2039,2156,2035,2089,53023,22468.0,8200000.0
2006-09-20,2084,2122,2023,2082,27131,22386.0,8200000.0
2006-09-21,2061,2122,1981,2093,17387,22509.0,8200000.0
2006-09-22,2080,2080,1970,1971,34147,21197.0,8200000.0
2006-09-25,1931,2050,1931,1982,14443,21320.0,8200000.0
2006-09-26,2073,2073,1943,1978,20074,21279.0,8200000.0
2006-09-27,2019,2023,1931,2009,21258,21607.0,8200000.0
2006-09-28,2095,2126,1981,2069,56361,22263.0,8200000.0
2006-09-29,2069,2248,2069,2207,95190,23739.0,8200000.0
2006-10-02,2206,2286,2134,2192,84229,23575.0,8200000.0
2006-10-04,2111,2184,2054,2054,28567,22099.0,8200000.0
2006-10-09,1996,2050,1753,1776,53005,19106.0,8200000.0
2006-10-10,1753,1898,1753,1876,13949,20172.0,8200000.0
2006-10-11,1874,1898,1836,1860,20398,20008.0,8200000.0
2006-10-12,1859,2130,1859,2039,59796,21935.0,8200000.0
2006-10-13,2134,2164,2000,2097,70552,22550.0,8200000.0
2006-10-16,2172,2172,2061,2104,66105,22632.0,8200000.0
2006-10-17,2187,2187,1981,2069,35175,22263.0,8200000.0
2006-10-18,2111,2111,1966,2097,41526,22550.0,8200000.0
2006-10-19,2095,2095,2004,2058,36428,22140.0,8200000.0
2006-10-20,2019,2119,2000,2009,142568,21607.0,8200000.0
2006-10-23,2111,2199,1985,2001,342098,21525.0,8200000.0
2006-10-24,2019,2027,1954,2001,161717,21525.0,8200000.0
2006-10-25,1989,2000,1901,1948,138132,20951.0,8200000.0
2006-10-26,1916,1954,1790,1792,157288,19270.0,8200000.0
2006-10-27,1783,1805,1600,1692,318341,18204.0,8200000.0
2006-10-30,1714,1714,1638,1677,92732,18040.0,8200000.0
2006-10-31,1692,1753,1657,1658,124539,17835.0,8200000.0
2006-11-01,1673,1710,1653,1677,166169,18040.0,8200000.0
2006-11-02,1680,1722,1661,1681,77405,18081.0,8200000.0
2006-11-03,1692,1718,1680,1715,109079,18450.0,8200000.0
2006-11-06,1741,1741,1684,1723,71469,18532.0,8200000.0
2006-11-07,1729,1753,1688,1692,72218,18204.0,8200000.0
2006-11-08,1692,1695,1649,1685,160639,18122.0,8200000.0
2006-11-09,1680,1772,1669,1711,382342,18409.0,8200000.0
2006-11-10,1680,1699,1677,1688,76520,18163.0,8200000.0
2006-11-13,1665,1729,1657,1696,130857,18245.0,8200000.0
2006-11-14,1692,1692,1661,1670,133242,17958.0,8200000.0
2006-11-15,1722,1913,1718,1876,1089856,20172.0,8200000.0
2006-11-16,1882,1916,1805,1906,263033,20500.0,8200000.0
2006-11-17,1898,1898,1825,1837,173079,19762.0,8200000.0
2006-11-20,1805,1859,1775,1860,149345,20008.0,8200000.0
2006-11-21,1859,1898,1818,1822,97004,19598.0,8200000.0
2006-11-22,1844,1855,1818,1837,91825,19762.0,8200000.0
2006-11-23,1833,1935,1833,1894,136787,20377.0,8200000.0
2006-11-24,1894,1920,1802,1814,84693,19516.0,8200000.0
2006-11-27,1825,1825,1768,1814,85114,19516.0,8200000.0
2006-11-28,1798,1809,1768,1792,17098,19270.0,8200000.0
2006-11-29,1787,1829,1753,1829,58765,19680.0,8200000.0
2006-11-30,1814,1863,1764,1807,111135,19434.0,8200000.0
2006-12-01,1805,1833,1764,1765,54438,18983.0,8200000.0
2006-12-04,1768,1821,1699,1746,100524,18778.0,8200000.0
2006-12-05,1753,1753,1699,1731,34884,18614.0,8200000.0
2006-12-06,1707,1733,1623,1662,92759,17876.0,8200000.0
2006-12-07,1649,1657,1615,1655,74012,17794.0,8200000.0
2006-12-08,1630,1714,1596,1715,125406,18450.0,8200000.0
2006-12-11,1707,1753,1604,1647,90785,17712.0,8200000.0
2006-12-12,1573,1653,1562,1593,37597,17138.0,8200000.0
2006-12-13,1623,1623,1566,1582,18096,17015.0,8200000.0
2006-12-14,1581,1596,1558,1593,35061,17138.0,8200000.0
2006-12-15,1592,1638,1569,1639,31983,17630.0,8200000.0
2006-12-18,1612,1634,1592,1635,42964,17589.0,8200000.0
2006-12-19,1612,1642,1600,1631,37018,17548.0,8200000.0
2006-12-20,1619,1657,1600,1647,65722,17712.0,8200000.0
2006-12-21,1692,1692,1600,1616,35771,17384.0,8200000.0
2006-12-22,1600,1638,1584,1616,15677,17384.0,8200000.0
2006-12-26,1547,1612,1497,1502,48958,16154.0,8200000.0
2006-12-27,1524,1524,1489,1525,44839,16400.0,8200000.0
2006-12-28,1532,1604,1508,1597,43037,17179.0,8200000.0
2007-01-02,1584,1642,1584,1643,31918,17671.0,8200000.0
2007-01-03,1615,1669,1615,1647,29694,17712.0,8200000.0
2007-01-04,1646,1665,1612,1631,14392,17548.0,8200000.0
2007-01-05,1673,1699,1596,1616,92900,17384.0,8200000.0
2007-01-08,1584,1673,1584,1673,40715,17999.0,8200000.0
2007-01-09,1657,1673,1608,1608,34361,17302.0,8200000.0
2007-01-10,1608,1608,1535,1567,50595,16851.0,8200000.0
2007-01-11,1566,1737,1543,1655,102329,17794.0,8200000.0
2007-01-12,1677,1677,1608,1647,39830,17712.0,8200000.0
2007-01-15,1684,1890,1642,1891,216214,20336.0,8200000.0
2007-01-16,1920,2156,1874,1898,778897,20418.0,8200000.0
2007-01-17,1874,1905,1753,1829,214005,19680.0,8200000.0
2007-01-18,1829,1935,1764,1811,156843,19475.0,8200000.0
2007-01-19,1775,1821,1733,1792,76162,19270.0,8200000.0
2007-01-22,1790,1996,1775,1876,253594,20172.0,8200000.0
2007-01-23,1878,1882,1753,1792,81601,19270.0,8200000.0
2007-01-24,1787,1870,1775,1796,73596,19311.0,8200000.0
2007-01-25,1794,1829,1775,1818,51248,19557.0,8200000.0
2007-01-26,1818,1974,1818,1906,174680,20500.0,8200000.0
2007-01-29,1958,2172,1954,2043,660371,21976.0,8200000.0
2007-01-30,2057,2057,1829,1829,374918,19680.0,8200000.0
2007-01-31,1829,1867,1684,1685,254914,18122.0,8200000.0
2007-02-01,1703,1772,1703,1746,127043,18778.0,8200000.0
2007-02-02,1825,1825,1745,1746,89416,18778.0,8200000.0
2007-02-05,1745,1805,1729,1746,110715,18778.0,8200000.0
2007-02-06,1737,1829,1737,1818,55703,19557.0,8200000.0
2007-02-07,1818,1890,1798,1844,82034,19844.0,8200000.0
2007-02-08,1844,1878,1805,1844,57029,19844.0,8200000.0
2007-02-09,1867,2119,1867,1929,569345,20746.0,8200000.0
2007-02-12,1905,1989,1870,1982,110677,21320.0,8200000.0
2007-02-13,1981,2031,1852,1852,110110,19926.0,8200000.0
2007-02-14,1840,1894,1836,1852,51795,19926.0,8200000.0
2007-02-15,1859,1943,1852,1944,46951,20910.0,8200000.0
2007-02-16,1928,2015,1894,1967,41277,21156.0,8200000.0
2007-02-20,1958,2019,1905,1974,90880,21238.0,8200000.0
2007-02-21,1981,2073,1890,1982,525070,21320.0,8200000.0
2007-02-22,1981,1996,1913,1974,83114,21238.0,8200000.0
2007-02-23,1946,1974,1882,1921,123282,20664.0,8200000.0
2007-02-26,1909,1924,1886,1925,47152,20705.0,8200000.0
2007-02-27,1920,2115,1920,1982,291349,21320.0,8200000.0
2007-02-28,1890,1966,1729,1967,94889,21156.0,8200000.0
2007-03-02,1916,2088,1913,2082,183343,22386.0,8200000.0
2007-03-05,2058,2355,2058,2207,563607,23739.0,8200000.0
2007-03-06,2324,2324,2156,2169,161491,23329.0,8200000.0
2007-03-07,2168,2221,2073,2115,148067,22755.0,8200000.0
2007-03-08,2122,2248,2099,2249,179995,24190.0,8200000.0
2007-03-09,2297,2583,2221,2222,766988,23903.0,8200000.0
2007-03-12,2176,2214,2103,2112,270081,22714.0,8200000.0
2007-03-13,2111,2263,2061,2245,241319,24149.0,8200000.0
2007-03-14,2210,2389,2160,2253,286500,24231.0,8200000.0
2007-03-15,2260,2358,2214,2226,123903,23944.0,8200000.0
2007-03-16,2225,2401,2225,2279,228819,24518.0,8200000.0
2007-03-19,2279,2450,2279,2439,213332,26240.0,8200000.0
2007-03-20,2503,2511,2256,2303,176091,24764.0,8200000.0
2007-03-21,2324,2355,2252,2329,121809,25051.0,8200000.0
2007-03-22,2336,2423,2309,2310,96016,24846.0,8200000.0
2007-03-23,2358,2358,2248,2303,81609,24764.0,8200000.0
2007-03-26,2252,2297,2236,2256,47166,24272.0,8200000.0
2007-03-27,2271,2393,2240,2314,72724,24887.0,8200000.0
2007-03-28,2301,2362,2290,2325,46704,25010.0,8200000.0
2007-03-29,2336,2401,2279,2379,80757,25584.0,8200000.0
2007-03-30,2377,2427,2324,2390,49573,25707.0,8200000.0
2007-04-02,2389,2405,2340,2359,70951,25379.0,8200000.0
2007-04-03,2370,2435,2358,2394,70944,25748.0,8200000.0
2007-04-04,2401,2453,2393,2435,68074,26199.0,8200000.0
2007-04-05,2438,2438,2324,2325,103731,25010.0,8200000.0
2007-04-06,2324,2324,2221,2303,104466,24764.0,8200000.0
2007-04-09,2438,2477,2156,2173,380736,23370.0,8200000.0
2007-04-10,2141,2210,2141,2180,70994,23452.0,8200000.0
2007-04-11,2191,2214,2095,2162,137002,23247.0,8200000.0
2007-04-12,2103,2168,2088,2142,107469,23042.0,8200000.0
2007-04-13,2152,2168,2080,2134,80220,22960.0,8200000.0
2007-04-16,2164,2164,2115,2154,65052,23165.0,8200000.0
2007-04-17,2152,2164,2084,2138,77168,23001.0,8200000.0
2007-04-18,2088,2160,2058,2119,57619,22796.0,8200000.0
2007-04-19,2134,2145,1996,2047,69848,22017.0,8200000.0
2007-04-20,2046,2065,1958,2020,70080,21730.0,8200000.0
2007-04-23,2000,2035,1974,2001,64648,21525.0,8200000.0
2007-04-24,2000,2008,1950,1989,39690,21402.0,8200000.0
2007-04-25,1989,2019,1974,2001,47182,21525.0,8200000.0
2007-04-26,1974,2187,1966,2013,172998,21648.0,8200000.0
2007-04-27,2023,2080,1981,2013,142144,21648.0,8200000.0
2007-04-30,2035,2035,1946,1978,43665,21279.0,8200000.0
2007-05-02,1950,1981,1935,1963,57427,21115.0,8200000.0
2007-05-03,1962,2011,1958,1982,73851,21320.0,8200000.0
2007-05-04,1989,1989,1920,1959,92990,21074.0,8200000.0
2007-05-07,1974,2004,1935,1982,64281,21320.0,8200000.0
2007-05-08,1970,2050,1970,1982,81946,21320.0,8200000.0
2007-05-09,1981,2035,1981,2020,51144,21730.0,8200000.0
2007-05-10,2027,2042,1954,1989,60426,21402.0,8200000.0
2007-05-11,1928,1978,1928,1963,56879,21115.0,8200000.0
2007-05-14,1954,1985,1928,1929,43129,20746.0,8200000.0
2007-05-15,1928,1974,1886,1913,75945,20582.0,8200000.0
2007-05-16,1905,1924,1829,1868,88522,20090.0,8200000.0
2007-05-17,1870,1886,1833,1860,32731,20008.0,8200000.0
2007-05-18,1855,1935,1787,1852,211401,19926.0,8200000.0
2007-05-21,1836,1874,1805,1860,21627,20008.0,8200000.0
2007-05-22,1836,1878,1833,1868,33545,20090.0,8200000.0
2007-05-23,1844,1859,1802,1807,70569,19434.0,8200000.0
2007-05-25,1818,1863,1814,1837,56677,19762.0,8200000.0
2007-05-28,1836,1886,1836,1841,25577,19803.0,8200000.0
2007-05-29,1844,1870,1825,1844,46428,19844.0,8200000.0
2007-05-30,1848,1859,1805,1829,60528,19680.0,8200000.0
2007-05-31,1844,1851,1814,1829,64008,19680.0,8200000.0
2007-06-01,1829,1848,1805,1841,44539,19803.0,8200000.0
2007-06-04,1836,1886,1805,1833,86706,19721.0,8200000.0
2007-06-05,1829,1829,1794,1799,29469,19352.0,8200000.0
2007-06-07,1802,1818,1745,1761,147487,18942.0,8200000.0
2007-06-08,1772,1863,1710,1829,123642,19680.0,8200000.0
2007-06-11,1852,2035,1852,2001,303868,21525.0,8200000.0
2007-06-12,2088,2297,2000,2173,740680,23370.0,8200000.0
2007-06-13,2141,2279,2095,2210,240216,23780.0,8200000.0
2007-06-14,2244,2503,2168,2462,527359,26486.0,8200000.0
2007-06-15,2477,2511,2290,2462,293950,26486.0,8200000.0
2007-06-18,2492,2583,2370,2462,156630,26486.0,8200000.0
2007-06-19,2473,2500,2401,2431,125431,26158.0,8200000.0
