노랑풍선(104620),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-03-28,27200,27600,27100,27200,30583,129626.0,4765650.0
2019-03-29,27400,27500,27050,27500,27830,131055.0,4765650.0
2019-04-01,27500,27900,27150,27750,35666,132247.0,4765650.0
2019-04-02,28000,28050,27700,27750,34028,132247.0,4765650.0
2019-04-03,27950,27950,27550,27700,27876,132009.0,4765650.0
2019-04-04,27750,27750,27350,27600,21891,131532.0,4765650.0
2019-04-05,27600,28100,27300,27600,48912,131532.0,4765650.0
2019-04-08,27500,27850,27300,27350,34870,130341.0,4765650.0
2019-04-09,27000,27550,27000,27400,25037,130579.0,4765650.0
2019-04-10,27550,27950,27150,27950,34962,133200.0,4765650.0
2019-04-11,28050,28150,27700,27850,24932,132723.0,4765650.0
2019-04-12,27850,28000,27500,27800,23522,132485.0,4765650.0
2019-04-15,27950,29200,27800,28850,142937,137489.0,4765650.0
2019-04-16,29200,29300,28550,29100,83529,138680.0,4765650.0
2019-04-17,29250,29350,28100,28750,96416,137012.0,4765650.0
2019-04-18,28750,29300,28150,28400,53635,135344.0,4765650.0
2019-04-19,28400,28700,28100,28700,25116,136774.0,4765650.0
2019-04-22,28750,28750,28150,28300,26772,134868.0,4765650.0
2019-04-23,28200,28200,27650,27800,21802,132485.0,4765650.0
2019-04-24,27950,28350,27650,27850,19113,132723.0,4765650.0
2019-04-25,27800,27800,27450,27800,16809,132485.0,4765650.0
2019-04-26,27700,27700,27300,27300,23503,130102.0,4765650.0
2019-04-29,27050,27650,27050,27450,17323,130817.0,4765650.0
2019-04-30,27000,27350,26950,27250,38057,129864.0,4765650.0
2019-05-02,27250,27500,27100,27200,25692,129626.0,4765650.0
2019-05-03,27550,27650,27200,27250,30159,129864.0,4765650.0
2019-05-07,27000,27300,26800,27200,31691,129626.0,4765650.0
2019-05-08,27000,27350,26800,27250,31507,129864.0,4765650.0
2019-05-09,27100,27300,26300,26300,45139,125337.0,4765650.0
2019-05-10,26000,26500,23750,24700,111312,117712.0,4765650.0
2019-05-13,24700,24750,23200,23650,52721,112708.0,4765650.0
2019-05-14,22650,23650,22650,23500,18897,111993.0,4765650.0
2019-05-15,23500,24000,23350,23500,19593,111993.0,4765650.0
2019-05-16,23750,24250,23400,23850,15260,113661.0,4765650.0
2019-05-17,23650,23850,23500,23500,8958,111993.0,4765650.0
2019-05-20,24000,24000,22700,22950,16084,109372.0,4765650.0
2019-05-21,22700,23900,22600,23650,15280,112708.0,4765650.0
2019-05-22,23650,23750,22950,23200,7521,110563.0,4765650.0
2019-05-23,23200,23250,22050,22400,21971,106751.0,4765650.0
2019-05-24,21850,22500,21300,21500,16860,102461.0,4765650.0
2019-05-27,21500,22050,20750,20800,17489,99126.0,4765650.0
2019-05-28,20900,21100,20700,21050,11901,100317.0,4765650.0
2019-05-29,21000,21550,20400,20400,13088,97219.0,4765650.0
2019-05-30,20400,20600,19150,19350,45807,92215.0,4765650.0
2019-05-31,19450,19750,19100,19600,18499,93407.0,4765650.0
2019-06-03,19450,21800,19450,20300,31085,96743.0,4765650.0
2019-06-04,20300,20500,20050,20300,9211,96743.0,4765650.0
2019-06-05,20350,20750,20350,20600,9953,98172.0,4765650.0
2019-06-07,20750,21350,20500,21250,12946,101270.0,4765650.0
2019-06-10,21250,21400,20900,21150,6641,100793.0,4765650.0
2019-06-11,21000,21150,20850,21100,8845,100555.0,4765650.0
2019-06-12,20950,21200,20600,21050,11097,100317.0,4765650.0
2019-06-13,21050,21200,20950,21150,6031,100793.0,4765650.0
2019-06-14,21000,21150,20750,21100,4532,100555.0,4765650.0
2019-06-17,20800,21100,20300,20300,9160,96743.0,4765650.0
2019-06-18,20600,20650,19500,19800,21953,94360.0,4765650.0
2019-06-19,19850,20200,19850,20000,13012,95313.0,4765650.0
2019-06-20,20000,20550,19950,20550,14585,97934.0,4765650.0
2019-06-21,20600,20900,20200,20600,9336,98172.0,4765650.0
2019-06-24,20900,20900,20250,20400,4780,97219.0,4765650.0
2019-06-25,20400,20400,20100,20350,6522,96981.0,4765650.0
2019-06-26,20050,20500,19900,20100,10121,95790.0,4765650.0
2019-06-27,19950,20200,19650,20100,12405,95790.0,4765650.0
2019-06-28,19900,20100,19700,19800,7352,94360.0,4765650.0
2019-07-01,19750,20200,19750,20000,4268,95313.0,4765650.0
2019-07-02,20000,20200,19450,19850,7341,94598.0,4765650.0
2019-07-03,19850,20000,19350,19450,13913,92692.0,4765650.0
2019-07-04,19450,19750,19000,19600,22174,93407.0,4765650.0
2019-07-05,19700,19700,19300,19550,4421,93168.0,4765650.0
2019-07-08,19550,19550,18850,18850,15142,89833.0,4765650.0
2019-07-09,18450,18850,18300,18450,10300,87926.0,4765650.0
2019-07-10,18500,18800,18250,18800,3975,89594.0,4765650.0
2019-07-11,19000,19050,18600,18950,5779,90309.0,4765650.0
2019-07-12,19200,19200,18050,18900,5030,90071.0,4765650.0
2019-07-15,18900,19350,18500,19300,6720,91977.0,4765650.0
2019-07-16,19300,19300,18150,19000,4353,90547.0,4765650.0
2019-07-17,18900,18900,18350,18750,7626,89356.0,4765650.0
2019-07-18,18750,18900,18250,18800,7885,89594.0,4765650.0
2019-07-19,19000,19000,18600,18850,6370,89833.0,4765650.0
2019-07-22,18600,19000,18500,19000,3597,90547.0,4765650.0
2019-07-23,19000,19150,18500,18750,5006,89356.0,4765650.0
2019-07-24,19050,19050,18450,18800,7286,89594.0,4765650.0
2019-07-25,18800,18950,18300,18550,7080,88403.0,4765650.0
2019-07-26,18200,18650,18000,18250,6713,86973.0,4765650.0
2019-07-29,18050,18150,17100,17150,13393,81731.0,4765650.0
2019-07-30,17400,17450,16450,17100,20550,81493.0,4765650.0
2019-07-31,16800,16850,16350,16700,11052,79586.0,4765650.0
2019-08-01,16700,17100,16550,16950,7398,80778.0,4765650.0
2019-08-02,16600,18000,16050,17900,23591,85305.0,4765650.0
2019-08-05,17450,17450,15750,15750,27690,75059.0,4765650.0
2019-08-06,15100,15400,14550,15200,29860,72438.0,4765650.0
2019-08-07,15200,15850,14700,15300,9605,72914.0,4765650.0
2019-08-08,15500,15750,15150,15450,12640,73629.0,4765650.0
2019-08-09,15450,16200,15400,16000,14637,76250.0,4765650.0
2019-08-12,16100,16100,15450,15800,6108,75297.0,4765650.0
2019-08-13,15900,15900,15450,15800,3812,75297.0,4765650.0
2019-08-14,15950,15950,15100,15350,13773,73153.0,4765650.0
2019-08-16,15100,15450,15000,15200,6784,72438.0,4765650.0
2019-08-19,15350,15400,15100,15300,4711,72914.0,4765650.0
2019-08-20,15300,15550,15200,15550,3389,74106.0,4765650.0
2019-08-21,15600,16150,15350,16150,14037,76965.0,4765650.0
2019-08-22,16000,16350,15800,16000,5723,76250.0,4765650.0
2019-08-23,15950,16000,15500,15950,6723,76012.0,4765650.0
2019-08-26,15900,15900,15100,15100,17434,71961.0,4765650.0
2019-08-27,15200,15400,15100,15350,9930,73153.0,4765650.0
2019-08-28,15100,15700,15100,15650,5227,74582.0,4765650.0
2019-08-29,15350,15650,15350,15550,1558,74106.0,4765650.0
2019-08-30,15550,15750,15500,15700,5022,74821.0,4765650.0
2019-09-02,15650,15900,15500,15800,5010,75297.0,4765650.0
2019-09-03,15800,16050,15650,15950,7772,76012.0,4765650.0
2019-09-04,16050,16050,15600,15950,5649,76012.0,4765650.0
2019-09-05,15950,16100,15600,16100,5496,76727.0,4765650.0
2019-09-06,16150,16150,15750,16050,3733,76489.0,4765650.0
2019-09-09,16050,16100,15750,15950,3084,76012.0,4765650.0
2019-09-10,15800,16300,15400,16200,8122,77204.0,4765650.0
2019-09-11,16050,16150,15750,16000,5712,76250.0,4765650.0
2019-09-16,16050,16200,15800,16050,6593,76489.0,4765650.0
2019-09-17,16100,16150,15800,16100,6038,76727.0,4765650.0
2019-09-18,16100,16200,15900,16000,5490,76250.0,4765650.0
2019-09-19,16000,16200,15900,16200,5807,77204.0,4765650.0
2019-09-20,16150,16200,15900,16150,4558,76965.0,4765650.0
2019-09-23,16100,16150,15800,16100,3921,76727.0,4765650.0
2019-09-24,16100,16150,15800,16050,3693,76489.0,4765650.0
2019-09-25,16050,16100,15450,15650,14602,74582.0,4765650.0
2019-09-26,15750,15750,15400,15750,6876,75059.0,4765650.0
2019-09-27,15500,15750,15300,15700,9283,74821.0,4765650.0
2019-09-30,15450,15650,15200,15650,3434,74582.0,4765650.0
2019-10-01,15650,15750,15400,15700,7744,74821.0,4765650.0
2019-10-02,15500,15700,15200,15600,4476,74344.0,4765650.0
2019-10-04,15400,15600,15050,15450,9018,73629.0,4765650.0
2019-10-07,15400,15650,15100,15500,6443,73868.0,4765650.0
