유틸렉스(263050),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-03-14,131500,134400,125000,129400,183016,939907.0,7263578.0
2019-03-15,129600,131000,121600,125600,222124,912305.0,7263578.0
2019-03-18,128000,144500,126000,136500,530018,991478.0,7263578.0
2019-03-19,139300,139700,118600,122500,411595,889788.0,7263578.0
2019-03-20,122900,124700,117200,124000,265073,900684.0,7263578.0
2019-03-21,125300,125600,116500,116900,191011,849112.0,7263578.0
2019-03-22,115900,119500,113900,116200,105200,844028.0,7263578.0
2019-03-25,113600,115200,110300,111300,168200,808436.0,7263578.0
2019-03-26,113000,121800,113000,118600,227412,861460.0,7263578.0
2019-03-27,119200,120100,110500,110900,125563,808489.0,7290255.0
2019-03-28,111100,117300,107900,113300,158272,825986.0,7290255.0
2019-03-29,115500,117100,108500,116900,161148,852231.0,7290255.0
2019-04-01,114000,121500,113500,119900,131807,874102.0,7290255.0
2019-04-02,120600,122300,114900,116800,100183,851502.0,7290255.0
2019-04-03,116400,119900,115500,117000,72476,852960.0,7290255.0
2019-04-04,118500,118700,113400,115400,63000,841295.0,7290255.0
2019-04-05,116200,122600,115100,122500,134111,893056.0,7290255.0
2019-04-08,122900,127200,114000,117000,236904,852960.0,7290255.0
2019-04-09,119000,120400,116100,120200,75675,876289.0,7290255.0
2019-04-10,120300,121400,117700,119600,61636,871914.0,7290255.0
2019-04-11,119600,125500,118800,124100,102155,904721.0,7290255.0
2019-04-12,123700,130900,121700,128300,146883,935340.0,7290255.0
2019-04-15,129700,129800,122100,122800,92944,895243.0,7290255.0
2019-04-16,120500,122100,114300,117400,166667,855876.0,7290255.0
2019-04-17,118000,118000,113600,113900,89913,830360.0,7290255.0
2019-04-18,113800,113800,108400,110200,112718,803386.0,7290255.0
2019-04-19,110800,114600,110200,110500,60126,805573.0,7290255.0
2019-04-22,102000,106800,99500,106100,248764,773496.0,7290255.0
2019-04-23,105000,106500,101500,102300,90358,745793.0,7290255.0
2019-04-24,102600,103800,95700,99700,214833,726838.0,7290255.0
2019-04-25,100000,102300,97500,100000,72953,729026.0,7290255.0
2019-04-26,100000,100800,97900,98300,42177,716632.0,7290255.0
2019-04-29,98400,103500,97100,102900,65221,750167.0,7290255.0
2019-04-30,102500,106000,99500,102900,70385,750167.0,7290255.0
2019-05-02,102900,103800,100500,100900,36241,735587.0,7290255.0
2019-05-03,100600,103300,100600,102100,34268,744335.0,7290255.0
2019-05-07,99100,103300,99100,103100,31874,751625.0,7290255.0
2019-05-08,100600,103800,100500,102100,28141,744335.0,7290255.0
2019-05-09,101000,102100,98000,99400,40329,724651.0,7290255.0
2019-05-10,99000,100400,96800,98100,35863,715174.0,7290255.0
2019-05-13,96100,98800,92200,92200,55677,672162.0,7290255.0
2019-05-14,89500,92700,89000,90400,77796,659039.0,7290255.0
2019-05-15,90600,96300,90600,95600,53403,696948.0,7290255.0
2019-05-16,95800,96500,92000,93500,34501,681639.0,7290255.0
2019-05-17,93800,95400,93000,93100,24217,678723.0,7290255.0
2019-05-20,92100,93000,88100,88900,36071,648104.0,7290255.0
2019-05-21,88100,90900,86200,88900,42999,648104.0,7290255.0
2019-05-22,91800,100900,91100,98700,199723,719548.0,7290255.0
2019-05-23,98700,105000,96700,103100,156748,751625.0,7290255.0
2019-05-24,103100,106000,99900,102000,86145,743606.0,7290255.0
2019-05-27,103000,105800,102000,105100,99971,766206.0,7290255.0
2019-05-28,105100,105400,100700,104300,126949,760374.0,7290255.0
2019-05-29,102500,104100,92500,96500,114607,703510.0,7290255.0
2019-05-30,97000,98400,90500,92400,99717,673620.0,7290255.0
2019-05-31,93000,95600,92600,94300,47985,687471.0,7290255.0
2019-06-03,93100,98700,92200,95000,40579,692574.0,7290255.0
2019-06-04,95300,96700,92100,93000,54536,677994.0,7290255.0
2019-06-05,94800,94900,91000,91200,68899,664871.0,7290255.0
2019-06-07,92400,93200,89500,92300,68084,672891.0,7290255.0
2019-06-10,92400,93000,91000,91800,36422,669245.0,7290255.0
2019-06-11,91200,93700,91200,93500,44884,681639.0,7290255.0
2019-06-12,93500,97100,92300,96800,82165,705697.0,7290255.0
2019-06-13,97400,97600,94900,95100,238182,693303.0,7290255.0
2019-06-14,94600,94600,90700,90700,83123,661226.0,7290255.0
2019-06-17,90400,90700,86900,87100,79553,634981.0,7290255.0
2019-06-18,87100,89100,83700,84400,58559,615298.0,7290255.0
2019-06-19,85400,87200,84000,86800,52006,632794.0,7290255.0
2019-06-20,86200,90200,85200,90000,51273,656123.0,7290255.0
2019-06-21,90100,92400,87900,88700,167745,646646.0,7290255.0
2019-06-24,89700,89700,85100,86000,31423,626962.0,7290255.0
2019-06-25,86000,87500,80000,80900,84170,589782.0,7290255.0
2019-06-26,81200,83200,79700,80000,46022,583220.0,7290255.0
2019-06-27,79600,81000,74000,74800,90442,545311.0,7290255.0
2019-06-28,72500,75500,67800,69100,135177,503757.0,7290255.0
2019-07-01,69200,74400,69200,72000,78892,524898.0,7290255.0
2019-07-02,72000,73000,70200,71000,31193,517608.0,7290255.0
2019-07-03,71300,73000,70000,72300,25159,527085.0,7290255.0
2019-07-04,71600,72000,66300,68600,98982,500111.0,7290255.0
2019-07-05,68600,71300,67600,71300,42767,519795.0,7290255.0
2019-07-08,71000,71900,67700,68000,33995,495737.0,7290255.0
2019-07-09,68800,69400,64600,65000,46174,473867.0,7290255.0
2019-07-10,66800,70900,66100,68800,70089,501570.0,7290255.0
2019-07-11,68700,70600,68200,69800,27874,508860.0,7290255.0
2019-07-12,69700,69700,67400,68000,26256,495737.0,7290255.0
2019-07-15,67500,69600,67200,68300,27987,497924.0,7290255.0
2019-07-16,68300,73500,67600,72900,78681,531460.0,7290255.0
2019-07-17,72900,72900,69500,70400,57371,513234.0,7290255.0
2019-07-18,70000,70400,68100,69200,25825,504486.0,7290255.0
2019-07-19,69100,71200,68900,70200,25427,511776.0,7290255.0
2019-07-22,70200,71400,69200,70300,19014,512505.0,7290255.0
2019-07-23,70000,71000,68900,70000,21638,510318.0,7290255.0
2019-07-24,69800,71400,69400,70700,33895,515421.0,7290255.0
2019-07-25,70300,72100,69800,70600,43548,514692.0,7290255.0
2019-07-26,70100,70800,65200,67300,62086,490634.0,7290255.0
2019-07-29,66100,67200,61400,61800,46580,450538.0,7290255.0
2019-07-30,61200,62700,59600,59800,69569,435957.0,7290255.0
2019-07-31,58900,59900,52400,58500,148252,426480.0,7290255.0
2019-08-01,58600,61400,57700,58100,70490,423564.0,7290255.0
2019-08-02,54500,58400,53500,57000,84699,415545.0,7290255.0
2019-08-05,57000,57400,50600,50800,107561,370345.0,7290255.0
2019-08-06,50000,52900,48000,49800,87271,363055.0,7290255.0
2019-08-07,50500,55500,50500,53700,110057,391487.0,7290255.0
2019-08-08,53500,57400,53500,56700,66574,413357.0,7290255.0
2019-08-09,56300,56600,54600,55100,38375,401693.0,7290255.0
2019-08-12,55100,56500,54600,55200,18739,402422.0,7290255.0
2019-08-13,55000,55000,52100,52100,35740,379822.0,7290255.0
2019-08-14,53900,54400,52100,53900,27704,392945.0,7290255.0
2019-08-16,53300,57600,53100,56100,42105,408983.0,7290255.0
2019-08-19,56900,57000,54500,55500,28758,404609.0,7290255.0
2019-08-20,55100,57800,53900,57500,38614,419190.0,7290255.0
2019-08-21,57100,57600,55700,57400,81033,418461.0,7290255.0
2019-08-22,58200,60400,57300,58000,73684,422835.0,7290255.0
2019-08-23,56800,58500,55200,55200,47649,402422.0,7290255.0
2019-08-26,52500,53700,49500,49850,63709,363419.0,7290255.0
2019-08-27,50800,51900,49000,50200,41296,365971.0,7290255.0
2019-08-28,50200,56800,49650,55800,110682,406796.0,7290255.0
2019-08-29,55900,60300,55100,59500,168507,433770.0,7290255.0
2019-08-30,60500,61300,58400,58800,63411,428667.0,7290255.0
2019-09-02,58400,60500,57100,60300,48769,439602.0,7290255.0
2019-09-03,60300,61200,58600,59000,53082,430125.0,7290255.0
2019-09-04,58900,59900,58100,58600,30519,427209.0,7290255.0
2019-09-05,58700,59100,56100,56900,43780,414816.0,7290255.0
2019-09-06,57100,58000,56400,56800,36138,414086.0,7290255.0
2019-09-09,57000,58900,56100,56700,55557,413357.0,7290255.0
2019-09-10,57200,57500,54700,54800,41847,399506.0,7290255.0
2019-09-11,55700,58400,54500,55900,67000,407525.0,7290255.0
2019-09-16,56500,57200,55700,56900,40491,414816.0,7290255.0
2019-09-17,57100,62800,56500,61500,127258,448351.0,7290255.0
2019-09-18,62000,62300,59600,60200,61186,438873.0,7290255.0
2019-09-19,60200,61600,58100,58300,67827,425022.0,7290255.0
2019-09-20,58900,58900,57300,57700,33521,420648.0,7290255.0
2019-09-23,57700,58200,55400,55400,40528,403880.0,7290255.0
2019-09-24,52300,56100,52200,53800,60225,392216.0,7290255.0
2019-09-25,54200,54800,52800,53700,36584,391487.0,7290255.0
2019-09-26,53900,55000,52600,53400,44097,389300.0,7290255.0
2019-09-27,53400,53500,50600,51300,51051,373990.0,7290255.0
2019-09-30,52100,52700,50800,51000,36290,371803.0,7290255.0
2019-10-01,51000,53000,50000,52700,68158,384196.0,7290255.0
2019-10-02,51500,51900,50200,50500,59108,368158.0,7290255.0
2019-10-04,53800,58800,51500,52300,301107,381280.0,7290255.0
2019-10-07,53000,59500,52700,58300,217420,425022.0,7290255.0
