수산아이앤티(050960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-11-23,8730,8790,8270,8540,177301,57654.0,6751000.0
2016-11-24,8510,8710,8310,8360,80413,56438.0,6751000.0
2016-11-25,8360,8540,8360,8400,64113,56708.0,6751000.0
2016-11-28,8470,8900,8470,8550,117665,57721.0,6751000.0
2016-11-29,8550,8780,8410,8640,77904,58329.0,6751000.0
2016-11-30,8660,8730,8510,8520,45092,57519.0,6751000.0
2016-12-01,8510,8520,8210,8450,68587,57046.0,6751000.0
2016-12-02,8430,8490,8290,8450,46636,57046.0,6751000.0
2016-12-05,8460,8470,8240,8250,41455,55696.0,6751000.0
2016-12-06,8260,8490,8260,8490,94524,57316.0,6751000.0
2016-12-07,8480,8700,8330,8570,57827,57856.0,6751000.0
2016-12-08,8510,8780,8510,8770,67088,59206.0,6751000.0
2016-12-09,8780,8780,8550,8700,44758,58734.0,6751000.0
2016-12-12,8800,9140,8680,9110,87768,61502.0,6751000.0
2016-12-13,9250,9800,9060,9410,146578,63527.0,6751000.0
2016-12-14,9500,9750,9410,9500,119634,64134.0,6751000.0
2016-12-15,9560,9760,9520,9640,76239,65080.0,6751000.0
2016-12-16,9690,9740,9580,9640,48128,65080.0,6751000.0
2016-12-19,9770,9770,9460,9460,36490,63864.0,6751000.0
2016-12-20,9460,9460,9160,9180,55709,61974.0,6751000.0
2016-12-21,9360,9700,9200,9550,61585,64472.0,6751000.0
2016-12-22,9640,9700,9450,9450,41561,63797.0,6751000.0
2016-12-23,9500,9500,9270,9340,28862,63054.0,6751000.0
2016-12-26,9400,9560,9270,9480,28312,63999.0,6751000.0
2016-12-27,9480,9600,9350,9390,19625,63392.0,6751000.0
2016-12-28,9300,9480,9300,9320,10398,62919.0,6751000.0
2016-12-29,9300,9400,9200,9200,18215,62109.0,6751000.0
2017-01-02,9380,9380,9110,9170,15262,61907.0,6751000.0
2017-01-03,9150,9490,9150,9490,128701,64067.0,6751000.0
2017-01-04,10400,10450,9540,9560,353553,64540.0,6751000.0
2017-01-05,9550,9950,9510,9790,87965,66092.0,6751000.0
2017-01-06,9770,9860,9600,9790,49068,66092.0,6751000.0
2017-01-09,9810,10050,9790,9950,67851,67172.0,6751000.0
2017-01-10,10050,10050,9790,9850,34933,66497.0,6751000.0
2017-01-11,9850,9950,9690,9750,23231,65822.0,6751000.0
2017-01-12,9860,11350,9850,10250,1831342,69198.0,6751000.0
2017-01-13,10150,10450,10050,10250,189206,69198.0,6751000.0
2017-01-16,10250,10350,9660,9660,252089,65215.0,6751000.0
2017-01-17,9700,9790,9470,9470,94454,63932.0,6751000.0
2017-01-18,9480,9560,9380,9390,45934,63392.0,6751000.0
2017-01-19,9350,9510,9350,9470,29829,63932.0,6751000.0
2017-01-20,9430,9560,9120,9210,67343,62177.0,6751000.0
2017-01-23,9200,9360,9050,9050,58108,61097.0,6751000.0
2017-01-24,8970,9050,8830,8950,56546,60421.0,6751000.0
2017-01-25,8900,9100,8890,9010,34125,60827.0,6751000.0
2017-01-26,9010,9280,9000,9150,39294,61772.0,6751000.0
2017-01-31,9150,9220,9000,9060,34454,61164.0,6751000.0
2017-02-01,9010,9300,9010,9290,41741,62717.0,6751000.0
2017-02-02,9200,9290,9070,9090,29797,61367.0,6751000.0
2017-02-03,9090,9200,8830,8920,67457,60219.0,6751000.0
2017-02-06,8920,9030,8860,8960,22880,60489.0,6751000.0
2017-02-07,8910,9080,8810,9050,29169,61097.0,6751000.0
2017-02-08,9030,9090,8820,9040,25381,61029.0,6751000.0
2017-02-09,9020,9100,8920,9050,19694,61097.0,6751000.0
2017-02-10,9010,9140,8850,9020,32508,60894.0,6751000.0
2017-02-13,8820,9080,8820,9020,14183,60894.0,6751000.0
2017-02-14,9000,9050,8910,9000,25974,60759.0,6751000.0
2017-02-15,8920,9150,8910,9080,23011,61299.0,6751000.0
2017-02-16,9100,9280,9050,9140,23789,61704.0,6751000.0
2017-02-17,9110,9270,9110,9250,13702,62447.0,6751000.0
2017-02-20,9240,9400,9200,9270,34932,62582.0,6751000.0
2017-02-21,9260,9340,9200,9220,26512,62244.0,6751000.0
2017-02-22,9210,9320,9050,9180,18755,61974.0,6751000.0
2017-02-23,9100,9200,9020,9100,5599,61434.0,6751000.0
2017-02-24,9100,9190,8900,9000,22257,60759.0,6751000.0
2017-02-27,8960,9100,8850,9010,7351,60827.0,6751000.0
2017-02-28,9010,9100,8860,9080,12071,61299.0,6751000.0
2017-03-02,9080,9210,9000,9000,9632,60759.0,6751000.0
2017-03-03,8980,9090,8860,8970,11466,60556.0,6751000.0
2017-03-06,8970,9050,8760,9010,18580,60827.0,6751000.0
2017-03-07,8960,9080,8960,9010,23446,60827.0,6751000.0
2017-03-08,9000,9190,9000,9130,46112,61637.0,6751000.0
2017-03-09,9130,9180,9000,9090,48291,61367.0,6751000.0
2017-03-10,9200,9200,8920,9090,17725,61367.0,6751000.0
2017-03-13,9090,9130,8990,9080,15072,61299.0,6751000.0
2017-03-14,9020,9190,9010,9100,25384,61434.0,6751000.0
2017-03-15,9060,9350,9000,9230,64701,62312.0,6751000.0
2017-03-16,9270,9270,9140,9190,35584,62042.0,6751000.0
2017-03-17,9150,9710,9100,9600,131947,64810.0,6751000.0
2017-03-20,9600,9750,9510,9630,85167,65012.0,6751000.0
2017-03-21,9670,9810,9510,9640,97337,65080.0,6751000.0
2017-03-22,9560,10100,9450,9580,201990,64675.0,6751000.0
2017-03-23,9540,9650,9150,9380,64724,63324.0,6751000.0
2017-03-24,9450,9450,9220,9400,32086,63459.0,6751000.0
2017-03-27,9400,9400,9200,9200,29836,62109.0,6751000.0
2017-03-28,9280,9390,9200,9250,29165,62447.0,6751000.0
2017-03-29,9330,9450,9240,9450,40720,63797.0,6751000.0
2017-03-30,9500,9620,9430,9520,53168,64270.0,6751000.0
2017-03-31,9600,9650,9480,9620,61771,64945.0,6751000.0
2017-04-03,9690,9700,9570,9650,41704,65147.0,6751000.0
2017-04-04,9650,9700,9500,9590,34813,64742.0,6751000.0
2017-04-05,9550,9930,9490,9860,81739,66565.0,6751000.0
2017-04-06,9900,10050,9770,9780,66452,66025.0,6751000.0
2017-04-07,9900,9900,9740,9770,42784,65957.0,6751000.0
2017-04-10,9770,9830,9450,9580,54453,64675.0,6751000.0
2017-04-11,9470,9630,9440,9570,51553,64607.0,6751000.0
2017-04-12,9550,9680,9500,9580,33504,64675.0,6751000.0
2017-04-13,9520,9750,9520,9720,49879,65620.0,6751000.0
2017-04-14,9670,9720,9510,9530,64067,64337.0,6751000.0
2017-04-17,9650,9810,9510,9810,91775,66227.0,6751000.0
2017-04-18,10200,10400,9700,9760,344122,65890.0,6751000.0
2017-04-19,9800,9950,9650,9930,91444,67037.0,6751000.0
2017-04-20,9960,9980,9810,9960,46288,67240.0,6751000.0
2017-04-21,9960,10350,9870,10300,181403,69535.0,6751000.0
2017-04-24,10250,10550,10150,10350,143459,69873.0,6751000.0
2017-04-25,10500,10700,10300,10350,107295,69873.0,6751000.0
2017-04-26,10450,10950,10200,10750,213074,72573.0,6751000.0
2017-04-27,10850,10850,10500,10800,66774,72911.0,6751000.0
2017-04-28,10800,10850,10450,10450,97049,70548.0,6751000.0
2017-05-02,10500,10550,10150,10200,47724,68860.0,6751000.0
2017-05-04,10400,10600,10350,10450,32969,70548.0,6751000.0
2017-05-08,10600,10800,10200,10250,68992,69198.0,6751000.0
2017-05-10,10350,10450,10200,10300,25989,69535.0,6751000.0
2017-05-11,10250,10400,10000,10300,88908,69535.0,6751000.0
2017-05-12,10300,10400,10150,10400,27333,70210.0,6751000.0
2017-05-15,10850,12450,10100,10150,1851480,68523.0,6751000.0
2017-05-16,10250,10250,9570,9570,391262,64607.0,6751000.0
2017-05-17,9600,9680,9470,9500,154257,64134.0,6751000.0
2017-05-18,9320,9560,9320,9400,82447,63459.0,6751000.0
2017-05-19,9360,9790,9360,9720,85388,65620.0,6751000.0
2017-05-22,9740,9790,9660,9710,42149,65552.0,6751000.0
2017-05-23,9740,9850,9650,9800,61213,66160.0,6751000.0
2017-05-24,9850,9850,9720,9750,24959,65822.0,6751000.0
2017-05-25,9810,9890,9730,9760,43044,65890.0,6751000.0
2017-05-26,9770,9860,9650,9700,30400,65485.0,6751000.0
2017-05-29,9700,9700,9530,9560,37503,64540.0,6751000.0
2017-05-30,9560,9740,9510,9610,56523,64877.0,6751000.0
2017-05-31,9570,9770,9520,9660,32320,65215.0,6751000.0
2017-06-01,9750,9760,9600,9650,35046,65147.0,6751000.0
2017-06-02,9650,9730,9600,9720,43469,65620.0,6751000.0
2017-06-05,9720,9950,9680,9730,66894,65687.0,6751000.0
2017-06-07,9790,9790,9600,9770,35800,65957.0,6751000.0
2017-06-08,9840,9840,9620,9700,23785,65485.0,6751000.0
2017-06-09,9700,9750,9590,9590,52621,64742.0,6751000.0
2017-06-12,9590,9630,9520,9540,20566,64405.0,6751000.0
2017-06-13,9540,9640,9540,9580,27663,64675.0,6751000.0
2017-06-14,9520,9630,9480,9550,56641,64472.0,6751000.0
2017-06-15,9590,9650,9480,9490,26272,64067.0,6751000.0
2017-06-16,9490,9650,9430,9650,40833,65147.0,6751000.0
2017-06-19,9600,9790,9590,9710,57593,65552.0,6751000.0
2017-06-20,9670,9710,9490,9670,47016,65282.0,6751000.0
2017-06-21,9600,9650,9510,9600,44389,64810.0,6751000.0
2017-06-22,9600,9750,9590,9630,58871,65012.0,6751000.0
2017-06-23,9610,9700,9610,9670,21351,65282.0,6751000.0
2017-06-26,9690,9690,9470,9510,36944,64202.0,6751000.0
2017-06-27,9510,9570,9480,9490,21450,64067.0,6751000.0
2017-06-28,9500,9540,9410,9480,28701,63999.0,6751000.0
2017-06-29,9490,9530,9330,9400,47168,63459.0,6751000.0
2017-06-30,9400,9600,9380,9590,45623,64742.0,6751000.0
2017-07-03,9540,9710,9520,9630,41552,65012.0,6751000.0
2017-07-04,9640,9730,9590,9590,56894,64742.0,6751000.0
2017-07-05,9690,10100,9610,10000,143358,67510.0,6751000.0
2017-07-06,10150,10250,9920,9990,63078,67442.0,6751000.0
2017-07-07,9990,10250,9890,10250,64756,69198.0,6751000.0
2017-07-10,10250,10250,9980,10050,70546,67848.0,6751000.0
2017-07-11,9980,10250,9970,10100,45525,68185.0,6751000.0
2017-07-12,10100,10450,10000,10350,85001,69873.0,6751000.0
2017-07-13,10250,10450,10000,10350,89195,69873.0,6751000.0
2017-07-14,10300,10300,9960,9990,48090,67442.0,6751000.0
2017-07-17,9950,9990,9830,9880,19351,66700.0,6751000.0
2017-07-18,9860,9960,9590,9690,75953,65417.0,6751000.0
2017-07-19,9690,10200,9690,10050,60586,67848.0,6751000.0
2017-07-20,10050,10050,9880,10000,27671,67510.0,6751000.0
2017-07-21,10000,10000,9900,9980,22070,67375.0,6751000.0
2017-07-24,10050,10400,9980,10150,99689,68523.0,6751000.0
2017-07-25,10200,10300,10050,10200,47337,68860.0,6751000.0
2017-07-26,10300,10350,9970,10000,61587,67510.0,6751000.0
2017-07-27,9960,10100,9960,10000,24227,67510.0,6751000.0
2017-07-28,10050,10050,9750,9870,45688,66632.0,6751000.0
2017-07-31,9700,10150,9640,10000,39461,67510.0,6751000.0
2017-08-01,10000,10100,9870,10100,45974,68185.0,6751000.0
2017-08-02,10700,11350,10050,10050,683217,67848.0,6751000.0
2017-08-03,10000,10000,9730,9730,99370,65687.0,6751000.0
2017-08-04,9700,9830,9700,9780,21155,66025.0,6751000.0
2017-08-07,9750,9940,9740,9870,15640,66632.0,6751000.0
2017-08-08,9870,10100,9710,9990,24214,67442.0,6751000.0
2017-08-09,9980,9980,9670,9700,29464,65485.0,6751000.0
2017-08-10,9700,9760,9590,9680,26439,65350.0,6751000.0
2017-08-11,9500,9570,9330,9500,54458,64134.0,6751000.0
2017-08-14,9380,9620,9230,9340,36817,63054.0,6751000.0
2017-08-16,9330,9440,9280,9280,15375,62649.0,6751000.0
2017-08-17,9280,9340,9100,9340,15888,63054.0,6751000.0
2017-08-18,9340,9490,9260,9470,10519,63932.0,6751000.0
2017-08-21,9510,9510,9360,9490,11605,64067.0,6751000.0
2017-08-22,9490,9530,9280,9320,28156,62919.0,6751000.0
2017-08-23,9320,9320,9200,9210,19061,62177.0,6751000.0
2017-08-24,9210,9270,8970,9090,38861,61367.0,6751000.0
2017-08-25,9090,9190,9000,9180,9475,61974.0,6751000.0
2017-08-28,9280,9280,9130,9200,8635,62109.0,6751000.0
2017-08-29,9080,9240,9080,9230,15332,62312.0,6751000.0
2017-08-30,9130,9760,9130,9670,50541,65282.0,6751000.0
2017-08-31,9600,9700,9520,9590,10310,64742.0,6751000.0
2017-09-01,9680,9750,9510,9600,19207,64810.0,6751000.0
2017-09-04,9210,9600,9210,9500,13680,64134.0,6751000.0
2017-09-05,9500,9690,9280,9380,19671,63324.0,6751000.0
2017-09-06,9380,9600,9270,9390,18756,63392.0,6751000.0
2017-09-07,9350,9490,9300,9400,15790,63459.0,6751000.0
2017-09-08,9400,9500,9240,9390,10669,63392.0,6751000.0
2017-09-11,9390,9440,9260,9300,14438,62784.0,6751000.0
2017-09-12,9300,9450,9250,9390,15678,63392.0,6751000.0
2017-09-13,9390,9440,9200,9300,12357,62784.0,6751000.0
2017-09-14,9300,9300,9090,9200,24035,62109.0,6751000.0
2017-09-15,9090,9200,8990,9160,27688,61839.0,6751000.0
2017-09-18,9160,9320,9160,9240,19715,62379.0,6751000.0
2017-09-19,9240,9310,9180,9280,10935,62649.0,6751000.0
2017-09-20,9300,9350,8980,9080,14153,61299.0,6751000.0
2017-09-21,9080,9160,8910,9030,16253,60962.0,6751000.0
2017-09-22,9030,9060,8700,8770,28050,59206.0,6751000.0
2017-09-25,8660,8800,8350,8390,24757,56641.0,6751000.0
2017-09-26,8400,8600,8380,8450,15950,57046.0,6751000.0
2017-09-27,8450,8810,8450,8760,10515,59139.0,6751000.0
2017-09-28,8790,8840,8620,8810,10766,59476.0,6751000.0
2017-09-29,8890,8990,8710,8940,10343,60354.0,6751000.0
2017-10-10,8990,9030,8780,8950,8989,60421.0,6751000.0
2017-10-11,8950,9050,8840,8980,5344,60624.0,6751000.0
2017-10-12,8980,9030,8890,9020,6169,60894.0,6751000.0
2017-10-13,9020,9030,8860,8980,8471,60624.0,6751000.0
2017-10-16,9010,9010,8880,8960,1444,60489.0,6751000.0
2017-10-17,8960,9010,8500,8940,4887,60354.0,6751000.0
2017-10-18,8940,8940,8460,8910,25936,60151.0,6751000.0
2017-10-19,8910,9430,8730,9430,49562,63662.0,6751000.0
2017-10-20,9490,10200,9210,9900,420591,66835.0,6751000.0
2017-10-23,9950,10200,9780,9990,183772,67442.0,6751000.0
2017-10-24,9990,9990,9700,9780,52399,66025.0,6751000.0
2017-10-25,9780,9780,9430,9470,40368,63932.0,6751000.0
2017-10-26,9430,9950,9430,9810,41764,66227.0,6751000.0
2017-10-27,9910,9970,9760,9800,33781,66160.0,6751000.0
2017-10-30,9800,9990,9790,9920,26092,66970.0,6751000.0
2017-10-31,9850,10050,9850,9990,18770,67442.0,6751000.0
2017-11-01,10100,10100,9900,9960,18073,67240.0,6751000.0
2017-11-02,10000,10000,9840,9950,17231,67172.0,6751000.0
2017-11-03,9950,10000,9700,9910,12774,66902.0,6751000.0
2017-11-06,9880,9950,9700,9910,11726,66902.0,6751000.0
2017-11-07,9910,9920,9800,9920,17569,66970.0,6751000.0
2017-11-08,9920,9980,9760,9880,23749,66700.0,6751000.0
2017-11-09,9960,9960,9780,9930,14533,67037.0,6751000.0
2017-11-10,9930,10450,9900,10350,172229,69873.0,6751000.0
2017-11-13,10450,10450,10150,10150,54024,68523.0,6751000.0
2017-11-14,10200,10300,9860,9920,79957,66970.0,6751000.0
2017-11-15,9990,10050,9380,9380,96835,63324.0,6751000.0
2017-11-16,9410,9500,9370,9490,16682,64067.0,6751000.0
2017-11-17,9500,9550,9300,9360,21179,63189.0,6751000.0
2017-11-20,9280,9350,9220,9280,24268,62649.0,6751000.0
2017-11-21,9280,9500,9200,9290,17181,62717.0,6751000.0
2017-11-22,9210,9400,9210,9300,9468,62784.0,6751000.0
2017-11-23,9300,9340,9160,9310,15229,62852.0,6751000.0
2017-11-24,9350,9350,9190,9280,15789,62649.0,6751000.0
2017-11-27,9280,9340,9120,9150,15335,61772.0,6751000.0
2017-11-28,9150,9150,8990,9060,26141,61164.0,6751000.0
2017-11-29,9070,9130,8970,9090,13918,61367.0,6751000.0
2017-11-30,9050,9100,8970,8970,8489,60556.0,6751000.0
2017-12-01,9000,9120,8800,8940,24261,60354.0,6751000.0
2017-12-04,8980,9030,8830,8930,16959,60286.0,6751000.0
2017-12-05,8990,8990,8880,8940,7990,60354.0,6751000.0
2017-12-06,8940,8950,8840,8920,10283,60219.0,6751000.0
2017-12-07,8900,8900,8660,8850,31236,59746.0,6751000.0
2017-12-08,8850,8890,8630,8730,19235,58936.0,6751000.0
2017-12-11,8620,8840,8620,8790,9571,59341.0,6751000.0
2017-12-12,8790,8880,8650,8740,8775,59004.0,6751000.0
2017-12-13,8700,8830,8600,8800,20780,59409.0,6751000.0
2017-12-14,8800,9170,8670,9170,49284,61907.0,6751000.0
2017-12-15,9210,9430,9070,9200,29655,62109.0,6751000.0
2017-12-18,9200,9540,9040,9510,57299,64202.0,6751000.0
2017-12-19,9510,9540,9150,9480,26087,63999.0,6751000.0
2017-12-20,9480,9480,9160,9180,9188,61974.0,6751000.0
2017-12-21,9180,9390,9120,9260,10944,62514.0,6751000.0
2017-12-22,9260,9450,9160,9390,7398,63392.0,6751000.0
2017-12-26,9470,9470,9100,9340,13322,63054.0,6751000.0
2017-12-27,9330,9450,9100,9250,7885,62447.0,6751000.0
2017-12-28,9240,9250,9050,9150,7164,61772.0,6751000.0
2018-01-02,9140,9310,8910,9140,6871,61704.0,6751000.0
2018-01-03,9140,9140,9020,9100,6658,61434.0,6751000.0
2018-01-04,9100,9100,8930,9000,10833,60759.0,6751000.0
2018-01-05,9000,9070,8730,8990,10860,60691.0,6751000.0
2018-01-08,9000,9050,8840,8920,8955,60219.0,6751000.0
2018-01-09,8920,8940,8800,8820,13691,59544.0,6751000.0
2018-01-10,8820,9040,8680,8880,13164,59949.0,6751000.0
2018-01-11,8880,8890,8730,8810,11527,59476.0,6751000.0
2018-01-12,8960,8960,8710,8820,13444,59544.0,6751000.0
2018-01-15,8820,8900,8800,8850,8167,59746.0,6751000.0
2018-01-16,8820,8890,8730,8840,13785,59679.0,6751000.0
2018-01-17,8730,8900,8730,8900,17868,60084.0,6751000.0
2018-01-18,8900,9340,8850,9120,51815,61569.0,6751000.0
2018-01-19,9220,9480,9100,9360,58855,63189.0,6751000.0
2018-01-22,9450,9970,9400,9690,104257,65417.0,6751000.0
2018-01-23,9690,9880,9620,9680,32643,65350.0,6751000.0
2018-01-24,9750,9850,9070,9580,29196,64675.0,6751000.0
2018-01-25,9780,10200,9660,9990,111420,67442.0,6751000.0
2018-01-26,9990,10250,9900,10200,75075,68860.0,6751000.0
2018-01-29,10450,10450,9940,9940,67735,67105.0,6751000.0
2018-01-30,10000,12050,9600,10000,1219134,67510.0,6751000.0
2018-01-31,9620,9980,9390,9870,126786,66632.0,6751000.0
2018-02-01,9730,9990,9730,9860,78488,66565.0,6751000.0
2018-02-02,9890,9930,9520,9600,90613,64810.0,6751000.0
2018-02-05,9400,9480,9170,9220,68064,62244.0,6751000.0
2018-02-06,9020,9050,8800,9010,92030,60827.0,6751000.0
2018-02-07,9030,9450,8900,9230,58546,62312.0,6751000.0
2018-02-08,9390,9570,9230,9440,33642,63729.0,6751000.0
2018-02-09,9240,9580,9100,9460,29263,63864.0,6751000.0
2018-02-12,9430,9830,9430,9600,33123,64810.0,6751000.0
2018-02-13,9730,9780,9450,9540,31988,64405.0,6751000.0
2018-02-14,9540,9600,9340,9400,22588,63459.0,6751000.0
2018-02-19,9430,9530,9270,9390,33691,63392.0,6751000.0
2018-02-20,9390,9600,9390,9560,27139,64540.0,6751000.0
2018-02-21,9640,9930,9560,9930,63273,67037.0,6751000.0
2018-02-22,9950,10200,9930,9930,83013,67037.0,6751000.0
2018-02-23,9930,10200,9920,9990,35385,67442.0,6751000.0
2018-02-26,10100,10150,9810,10050,25110,67848.0,6751000.0
2018-02-27,10050,10050,9570,9640,56174,65080.0,6751000.0
2018-02-28,9550,9640,9350,9350,42954,63122.0,6751000.0
2018-03-02,9350,9510,9320,9510,26774,64202.0,6751000.0
2018-03-05,9510,9510,9130,9130,29462,61637.0,6751000.0
2018-03-06,9150,9420,9150,9390,11096,63392.0,6751000.0
2018-03-07,9390,9600,9160,9320,33237,62919.0,6751000.0
2018-03-08,9320,9460,9160,9330,39792,62987.0,6751000.0
2018-03-09,9330,9500,9320,9430,24337,63662.0,6751000.0
2018-03-12,9440,9900,9440,9840,83457,66430.0,6751000.0
2018-03-13,9850,9930,9730,9930,27340,67037.0,6751000.0
2018-03-14,9820,9940,9720,9830,21299,66362.0,6751000.0
2018-03-15,9900,9900,9500,9650,42170,65147.0,6751000.0
2018-03-16,9640,9730,9580,9720,9681,65620.0,6751000.0
2018-03-19,9680,9890,9600,9650,19995,65147.0,6751000.0
2018-03-20,9560,9660,9390,9660,19553,65215.0,6751000.0
2018-03-21,9650,9700,9330,9640,45165,65080.0,6751000.0
2018-03-22,9640,9650,9360,9390,34591,63392.0,6751000.0
2018-03-23,9350,9390,9080,9280,46212,62649.0,6751000.0
2018-03-26,9260,9280,9040,9250,14431,62447.0,6751000.0
2018-03-27,9260,9450,9210,9250,13715,62447.0,6751000.0
2018-03-28,9250,9300,9090,9120,11436,61569.0,6751000.0
2018-03-29,9110,9200,9070,9200,16255,62109.0,6751000.0
2018-03-30,9200,9350,9080,9350,12896,63122.0,6751000.0
2018-04-02,9350,9490,9170,9270,5626,62582.0,6751000.0
2018-04-03,9270,9270,9020,9190,19343,62042.0,6751000.0
2018-04-04,9100,9190,8870,8890,53558,60016.0,6751000.0
2018-04-05,8950,9090,8920,9000,27565,60759.0,6751000.0
2018-04-06,9100,9160,9000,9000,18424,60759.0,6751000.0
2018-04-09,8930,9120,8930,9100,7310,61434.0,6751000.0
2018-04-10,9130,9130,8810,8810,39450,59476.0,6751000.0
2018-04-11,8890,9130,8850,9120,25523,61569.0,6751000.0
2018-04-12,9040,9250,9040,9180,16795,61974.0,6751000.0
2018-04-13,9260,9260,9080,9200,10604,62109.0,6751000.0
2018-04-16,9340,9340,9180,9190,27504,62042.0,6751000.0
2018-04-17,9280,9280,9080,9220,26301,62244.0,6751000.0
2018-04-18,9220,9290,9200,9280,22483,62649.0,6751000.0
2018-04-19,9330,9330,9150,9280,16076,62649.0,6751000.0
2018-04-20,9290,9290,9090,9280,33099,62649.0,6751000.0
2018-04-23,9280,9360,9120,9210,27672,62177.0,6751000.0
2018-04-24,9210,9370,9210,9260,24521,62514.0,6751000.0
2018-04-25,9250,9340,9210,9340,30570,63054.0,6751000.0
2018-04-26,9370,9540,9350,9440,63490,63729.0,6751000.0
2018-04-27,9440,9520,9340,9390,32279,63392.0,6751000.0
2018-04-30,9340,9580,9330,9410,33516,63527.0,6751000.0
2018-05-02,9410,9730,9340,9600,78233,64810.0,6751000.0
2018-05-03,9600,9710,9600,9640,26111,65080.0,6751000.0
2018-05-04,9650,9650,9440,9520,33102,64270.0,6751000.0
2018-05-08,9530,9640,9350,9410,24835,63527.0,6751000.0
2018-05-09,9360,9460,9100,9340,36964,63054.0,6751000.0
2018-05-10,9340,9470,9160,9470,29372,63932.0,6751000.0
2018-05-11,9500,9600,9290,9540,17557,64405.0,6751000.0
2018-05-14,9540,9620,9440,9550,39078,64472.0,6751000.0
2018-05-15,9550,9730,9550,9700,42397,65485.0,6751000.0
2018-05-16,9640,9640,9130,9320,62456,62919.0,6751000.0
2018-05-17,9310,9310,9000,9170,63251,61907.0,6751000.0
2018-05-18,9120,9150,9000,9100,29493,61434.0,6751000.0
2018-05-21,9100,9200,9020,9100,23638,61434.0,6751000.0
2018-05-23,9100,9170,9010,9170,32698,61907.0,6751000.0
2018-05-24,9170,9200,9030,9130,13711,61637.0,6751000.0
2018-05-25,9000,9000,8850,8990,34249,60691.0,6751000.0
2018-05-28,9160,9160,8870,8930,29912,60286.0,6751000.0
2018-05-29,8930,8930,8750,8770,27981,59206.0,6751000.0
2018-05-30,8770,8770,8600,8650,20820,58396.0,6751000.0
2018-05-31,8700,8730,8590,8680,16455,58599.0,6751000.0
2018-06-01,8680,8680,8470,8640,47167,58329.0,6751000.0
2018-06-04,8640,8700,8500,8540,28880,57654.0,6751000.0
2018-06-05,8500,8720,8500,8720,15533,58869.0,6751000.0
2018-06-07,8800,8800,8690,8760,7242,59139.0,6751000.0
2018-06-08,8780,8780,8580,8740,18835,59004.0,6751000.0
2018-06-11,8620,8750,8590,8680,11837,58599.0,6751000.0
2018-06-12,8680,8680,8520,8640,7178,58329.0,6751000.0
2018-06-14,8690,8740,8560,8720,12446,58869.0,6751000.0
2018-06-15,8640,8820,8640,8810,11238,59476.0,6751000.0
2018-06-18,8720,8810,8690,8780,23638,59274.0,6751000.0
2018-06-19,8770,8810,8590,8740,17865,59004.0,6751000.0
2018-06-20,8730,9140,8620,9070,100242,61232.0,6751000.0
2018-06-21,9070,9190,8910,8910,36711,60151.0,6751000.0
2018-06-22,8920,9060,8620,9060,27680,61164.0,6751000.0
2018-06-25,9060,9060,8890,9000,17974,60759.0,6751000.0
2018-06-26,8850,8980,8770,8850,10200,59746.0,6751000.0
2018-06-27,8850,8940,8770,8770,22262,59206.0,6751000.0
2018-06-28,8670,9000,8670,8730,10836,58936.0,6751000.0
