휴메딕스(200670),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-06-19,73590,81498,73590,81499,756184,724197.0,6506710.0
2015-06-22,84060,86256,80765,81791,394661,726800.0,6506710.0
2015-06-23,83109,84645,81791,82377,229330,732005.0,6506710.0
2015-06-24,83401,87868,80765,84282,398670,748922.0,6506710.0
2015-06-25,85232,87868,83035,87650,293582,778853.0,6506710.0
2015-06-26,88307,88747,84573,84648,257765,752176.0,6506710.0
2015-06-29,81423,83181,77397,78497,250404,697519.0,6506710.0
2015-06-30,77030,79887,74908,78937,175214,701423.0,6506710.0
2015-07-01,80180,82377,79155,81279,139141,722245.0,6506710.0
2015-07-02,82889,82889,81131,81353,95624,722895.0,6506710.0
2015-07-03,81863,82596,78348,80181,126445,712485.0,6506710.0
2015-07-06,77470,81570,77470,77912,125772,692314.0,6506710.0
2015-07-07,79960,79960,70587,73224,242778,650671.0,6506710.0
2015-07-08,73223,74322,68830,71028,155402,631151.0,6506710.0
2015-07-09,68903,71465,66046,71394,171219,634404.0,6506710.0
2015-07-10,72125,74908,70294,70955,135785,630500.0,6506710.0
2015-07-13,70075,73515,69196,73444,98465,652623.0,6506710.0
2015-07-14,74249,77543,73076,75276,140614,668890.0,6506710.0
2015-07-15,75859,76958,74249,75128,61921,667588.0,6506710.0
2015-07-16,75567,76372,74175,74323,77570,660431.0,6506710.0
2015-07-17,74322,74322,72125,72639,89980,645466.0,6506710.0
2015-07-20,73223,75493,72197,75422,71629,670191.0,6506710.0
2015-07-21,76738,77984,74469,75788,74080,673444.0,6506710.0
2015-07-22,75347,75493,72857,73811,76017,655876.0,6506710.0
2015-07-23,73296,75347,73004,75055,52048,666938.0,6506710.0
2015-07-24,74614,75712,73736,73958,48444,657178.0,6506710.0
2015-07-27,75054,77397,73004,73372,125915,651972.0,6506710.0
2015-07-28,71173,76811,71173,76447,125965,679301.0,6506710.0
2015-07-29,78993,79433,72491,74074,121352,548516.0,6506710.0
2015-07-30,73809,75391,68976,68978,87584,510777.0,6506710.0
2015-07-31,68976,70559,64846,70384,83771,521187.0,6506710.0
2015-08-03,70382,70470,65461,65726,76649,486702.0,6506710.0
2015-08-04,64583,66691,63705,66342,73316,491257.0,6506710.0
2015-08-05,66867,69503,65198,69241,57523,512729.0,6506710.0
2015-08-06,69855,78642,68801,77326,361466,572590.0,6506710.0
2015-08-07,75127,76005,73457,74074,94207,548516.0,6506710.0
2015-08-10,72930,74336,70997,71175,88555,527044.0,6506710.0
2015-08-11,72404,74512,67746,69330,110519,513379.0,6506710.0
2015-08-12,67658,69503,60014,63442,299357,520000.0,7202217.0
2015-08-13,63265,65726,61420,64496,95562,528643.0,7202217.0
2015-08-17,64495,66340,61683,61685,104685,505596.0,7202217.0
2015-08-18,61683,62913,58519,58609,148855,576465.0,8642660.0
2015-08-19,57378,58344,50788,52019,281531,511645.0,8642660.0
2015-08-20,51403,61507,50436,54128,485028,532388.0,8642660.0
2015-08-21,50523,56939,50523,54128,249558,532388.0,8642660.0
2015-08-24,54126,56235,52106,52106,158885,512510.0,8642660.0
2015-08-25,53686,56499,52456,55358,180745,544488.0,8642660.0
2015-08-26,55709,60277,55444,59663,283865,586837.0,8642660.0
2015-08-27,61947,62474,58959,59400,170973,584244.0,8642660.0
2015-08-28,60805,62035,59837,59840,88525,592896.0,8706260.0
2015-08-31,60189,60277,58080,58697,98129,581578.0,8706260.0
2015-09-01,58872,59750,56235,56237,100274,557201.0,8706260.0
2015-09-02,54829,56762,54829,56237,162084,557201.0,8706260.0
2015-09-03,56939,57992,55444,55534,86229,550236.0,8706260.0
2015-09-04,55796,56411,51666,51844,176426,513669.0,8706260.0
2015-09-07,51841,53599,50348,51755,122952,512799.0,8706260.0
2015-09-08,51754,52896,49381,50086,122027,496257.0,8706260.0
2015-09-09,51841,54214,50876,53424,130650,529341.0,8706260.0
2015-09-10,52545,54742,52017,54216,110902,537176.0,8706260.0
2015-09-11,53599,54566,52721,54216,57099,537176.0,8706260.0
2015-09-14,54478,54478,52369,53601,53017,531082.0,8706260.0
2015-09-15,53599,54917,52808,53162,63939,526729.0,8706260.0
2015-09-16,54302,55356,53686,55269,88869,547624.0,8706260.0
2015-09-17,56323,56674,54917,55358,70652,548494.0,8706260.0
2015-09-18,56060,59223,55620,58961,169114,584190.0,8706260.0
2015-09-21,57729,58257,56587,57379,87562,568519.0,8706260.0
2015-09-22,57114,57289,56060,57027,58935,565036.0,8706260.0
2015-09-23,55884,56411,52984,53073,154336,525858.0,8706260.0
2015-09-24,54126,55709,53424,54304,101778,538047.0,8706260.0
2015-09-25,55181,55620,52808,54919,63983,544141.0,8706260.0
2015-09-30,52721,53951,52721,53249,60714,527599.0,8706260.0
2015-10-01,53775,54390,53160,53424,49263,529341.0,8706260.0
2015-10-02,53511,54126,53248,53337,43282,528470.0,8706260.0
2015-10-05,54214,57465,53951,56677,161220,561554.0,8706260.0
2015-10-06,58959,59310,56762,56764,129306,562424.0,8706260.0
2015-10-07,56235,56674,53775,53776,96309,532823.0,8706260.0
2015-10-08,54478,55005,53248,53513,59924,530211.0,8706260.0
2015-10-12,53511,54302,52281,52898,60414,524117.0,8706260.0
2015-10-13,52545,53335,51403,52106,75942,516281.0,8706260.0
2015-10-14,51666,52369,51403,51931,39550,514540.0,8706260.0
2015-10-15,51666,53424,51666,53249,44883,530035.0,8746460.0
2015-10-16,54390,55181,53424,54216,80393,539657.0,8746460.0
2015-10-19,54653,54917,53775,54743,50176,544904.0,8746460.0
2015-10-20,55093,55709,54653,55709,59320,554526.0,8746460.0
2015-10-21,55444,56235,54478,54567,53098,543155.0,8746460.0
2015-10-22,54126,54742,53424,53513,52155,532659.0,8746460.0
2015-10-23,54214,54390,52808,53513,84380,532659.0,8746460.0
2015-10-26,53775,55093,53424,55007,59356,547528.0,8746460.0
2015-10-27,55093,56587,54742,55007,87888,547528.0,8746460.0
2015-10-28,56674,59837,56060,59575,331998,593010.0,8746460.0
2015-10-29,60453,60629,58344,60542,193696,602631.0,8746460.0
2015-10-30,60102,60541,58432,58609,116511,583389.0,8746460.0
2015-11-02,57992,58344,56762,56852,69287,565896.0,8746460.0
2015-11-03,57817,57905,55444,57203,84372,569395.0,8746460.0
2015-11-04,56939,59135,56674,58961,85139,586887.0,8746460.0
2015-11-05,59135,63441,58344,62563,317080,622748.0,8746460.0
2015-11-06,63792,65286,62913,63706,201377,634118.0,8746460.0
2015-11-09,63265,63616,59135,59752,181399,594759.0,8746460.0
2015-11-10,58872,63265,56235,61158,191205,608754.0,8746460.0
2015-11-11,62563,62913,61420,61948,78691,616625.0,8746460.0
2015-11-12,62123,66165,61947,64146,294216,638492.0,8746460.0
2015-11-13,63441,64846,62298,64584,143404,642865.0,8746460.0
2015-11-16,62563,64320,60893,60893,112929,606130.0,8746460.0
2015-11-17,62035,62825,61245,61420,65889,611378.0,8746460.0
2015-11-18,61507,62386,60014,61597,72182,613127.0,8746460.0
2015-11-19,62474,62738,60805,62388,61397,620999.0,8746460.0
2015-11-20,62386,65901,61947,64935,159103,646363.0,8746460.0
2015-11-23,65110,65638,64056,64673,73324,643739.0,8746460.0
2015-11-24,64670,64935,63441,64673,47251,643739.0,8746460.0
2015-11-25,64846,64935,62211,62915,78774,626247.0,8746460.0
2015-11-26,63352,63616,61683,61948,77232,616625.0,8746460.0
2015-11-27,62035,63792,61595,62036,65765,617500.0,8746460.0
2015-11-30,60980,62123,59310,62123,87276,618375.0,8746460.0
2015-12-01,61947,62563,60893,61070,58542,607879.0,8746460.0
2015-12-02,61155,61771,59575,59575,71675,593010.0,8746460.0
2015-12-03,58959,60629,57817,59137,91442,588637.0,8746460.0
2015-12-04,58519,59575,57905,59313,38702,590386.0,8746460.0
2015-12-07,59399,59750,57554,57730,54270,574642.0,8746460.0
2015-12-08,56850,57729,52545,52986,210207,527412.0,8746460.0
2015-12-09,52721,54478,52633,53073,76719,528286.0,8746460.0
2015-12-10,52721,54478,52721,54128,82009,538782.0,8746460.0
2015-12-11,54214,54214,51841,51844,86042,516041.0,8746460.0
2015-12-14,50611,50876,47713,47713,127590,474933.0,8746460.0
2015-12-15,47800,49645,47448,49383,97045,491551.0,8746460.0
2015-12-16,50260,51051,49381,49998,60344,497674.0,8746460.0
2015-12-17,50611,51403,50085,50526,46174,502921.0,8746460.0
2015-12-18,49996,52281,49470,52019,60450,517790.0,8746460.0
2015-12-21,51666,52721,51138,51141,49930,509044.0,8746460.0
2015-12-22,51666,51666,50260,50965,33849,507295.0,8746460.0
2015-12-23,51315,51315,49996,49998,39984,497674.0,8746460.0
2015-12-24,51138,51138,50172,50174,35216,499423.0,8746460.0
2015-12-28,49820,50523,49381,49558,37299,493300.0,8746460.0
2015-12-29,49293,54302,49293,54304,99062,540531.0,8746460.0
2015-12-30,54566,55796,53599,54304,53112,540531.0,8746460.0
2016-01-04,55181,55181,52281,52283,57931,520414.0,8746460.0
2016-01-05,51490,53424,51315,53337,64458,530910.0,8746460.0
2016-01-06,53686,55181,52896,54304,118841,540531.0,8746460.0
2016-01-07,53951,55620,52896,53337,122637,530910.0,8746460.0
2016-01-08,52369,54302,51490,54304,108596,540531.0,8746460.0
2016-01-11,53863,55093,53072,53073,80398,528286.0,8746460.0
2016-01-12,53335,54126,52633,52898,53599,526537.0,8746460.0
2016-01-13,53160,54478,53160,54128,73661,538782.0,8746460.0
2016-01-14,53072,54390,52017,54391,78553,541406.0,8746460.0
2016-01-15,55269,58257,54829,56852,286347,565896.0,8746460.0
2016-01-18,57289,58432,56499,56852,183381,565896.0,8746460.0
2016-01-19,56939,59575,55971,59313,204881,590386.0,8746460.0
2016-01-20,60102,60893,56939,59224,171157,589511.0,8746460.0
2016-01-21,59135,59487,56587,57115,108648,568520.0,8746460.0
2016-01-22,57817,57992,55709,56588,79992,563272.0,8746460.0
2016-01-25,58344,60189,57641,60191,153967,599133.0,8746460.0
2016-01-26,59837,61420,59662,61245,189256,609628.0,8746460.0
2016-01-27,61947,62211,59399,60893,181250,606130.0,8746460.0
2016-01-28,61947,61947,59926,60631,92790,603506.0,8746460.0
2016-01-29,61155,62563,60189,60454,145809,601756.0,8746460.0
2016-02-01,61068,61245,58872,58873,145534,586013.0,8746460.0
2016-02-02,59135,59837,58608,59224,54520,589511.0,8746460.0
2016-02-03,58959,60541,58519,60454,69941,601756.0,8746460.0
2016-02-04,60805,61068,58784,59048,81249,587762.0,8746460.0
2016-02-05,58872,59662,57641,57818,63064,575517.0,8746460.0
2016-02-11,55796,55796,52545,52722,166429,524788.0,8746460.0
2016-02-12,51138,51841,44812,45428,353802,452192.0,8746460.0
2016-02-15,45603,48063,45076,46220,168392,460064.0,8746460.0
2016-02-16,46921,49293,46570,48856,124433,486303.0,8746460.0
2016-02-17,48678,49470,46218,46395,111243,461813.0,8746460.0
2016-02-18,47097,48063,46395,47450,66050,472309.0,8746460.0
2016-02-19,47360,47888,46657,47888,42829,476682.0,8746460.0
2016-02-22,47888,48854,47888,48504,37933,482805.0,8746460.0
2016-02-23,48854,49206,46833,47186,61002,469685.0,8746460.0
2016-02-24,46482,47448,46218,46483,47689,462688.0,8746460.0
2016-02-25,46657,47360,45779,46043,95275,458315.0,8746460.0
2016-02-26,46833,47624,46218,47273,47143,470560.0,8746460.0
2016-02-29,47888,48327,46657,48240,60078,480181.0,8746460.0
2016-03-02,48854,48942,47888,48328,54975,481055.0,8746460.0
2016-03-03,48766,48766,47713,48416,49354,481930.0,8746460.0
2016-03-04,48678,49381,48151,48943,69354,487178.0,8746460.0
2016-03-07,49118,49645,47888,48153,60393,479306.0,8746460.0
2016-03-08,48591,48591,46745,47713,46226,474933.0,8746460.0
2016-03-09,47624,48854,47360,48153,52636,479306.0,8746460.0
2016-03-10,48327,50436,48327,50261,127082,500298.0,8746460.0
2016-03-11,50172,50348,49206,50086,62057,498548.0,8746460.0
2016-03-14,50260,50348,49645,50261,35378,500298.0,8746460.0
2016-03-15,50348,51227,49733,49910,50418,496799.0,8746460.0
2016-03-16,49996,50348,49381,49734,40332,495050.0,8746460.0
2016-03-17,49820,50876,49820,50261,43197,500298.0,8746460.0
2016-03-18,52193,53072,51138,51492,150962,512543.0,8746460.0
2016-03-21,52456,52456,50172,50261,66209,500298.0,8746460.0
2016-03-22,50611,51227,50260,50613,46971,503796.0,8746460.0
2016-03-23,50611,50788,49381,49471,47388,492426.0,8746460.0
2016-03-24,49820,49909,48854,49119,35356,488927.0,8746460.0
2016-03-25,48678,49470,48063,48592,63142,483679.0,8746460.0
2016-03-28,48502,48766,47624,47888,42655,476682.0,8746460.0
2016-03-29,47624,48591,47536,48240,49685,480181.0,8746460.0
2016-03-30,48415,48591,47975,48153,40554,479306.0,8746460.0
2016-03-31,48502,48591,47975,48592,33442,483679.0,8746460.0
2016-04-01,48766,49820,48327,49031,46206,488052.0,8746460.0
2016-04-04,49645,50700,49206,50526,72330,502921.0,8746460.0
2016-04-05,50523,50523,49558,50086,37385,498548.0,8746460.0
2016-04-06,50172,50260,48591,48680,75194,484554.0,8746460.0
2016-04-07,49206,50523,49206,49998,90102,497674.0,8746460.0
2016-04-08,49645,49996,48854,49471,34229,492426.0,8746460.0
2016-04-11,49470,49558,48502,48504,34907,482805.0,8746460.0
2016-04-12,48240,48591,47097,47273,89668,470560.0,8746460.0
2016-04-14,47536,47888,47009,47186,54078,469685.0,8746460.0
2016-04-15,47448,47713,46570,46747,59828,465312.0,8746460.0
2016-04-18,47184,48063,46833,47538,42106,473183.0,8746460.0
2016-04-19,47448,47800,46833,47186,43539,469685.0,8746460.0
2016-04-20,47184,47713,47097,47362,38744,471434.0,8746460.0
2016-04-21,47888,47888,47273,47713,47569,474933.0,8746460.0
2016-04-22,47800,48063,46745,47186,57426,469685.0,8746460.0
2016-04-25,47184,47448,46570,47450,59622,472309.0,8746460.0
2016-04-26,47536,47800,46833,47010,46301,467936.0,8746460.0
2016-04-27,47273,47273,46395,46747,45940,465312.0,8746460.0
2016-04-28,46921,47273,46218,46220,34130,460064.0,8746460.0
2016-04-29,46043,46218,45252,45517,55041,453067.0,8746460.0
2016-05-02,45515,45867,44109,44198,62817,439947.0,8746460.0
2016-05-03,44109,47448,44109,47273,103470,470560.0,8746460.0
2016-05-04,47448,48240,46833,47713,111050,474933.0,8746460.0
2016-05-09,48327,48327,46833,47713,41988,474933.0,8746460.0
2016-05-10,48151,49118,47888,48680,86138,484554.0,8746460.0
2016-05-11,49118,49206,48415,48856,74009,486303.0,8746460.0
2016-05-12,48678,49381,48327,49119,45970,488927.0,8746460.0
2016-05-13,48766,49118,47800,48240,46358,480181.0,8746460.0
2016-05-16,47800,50260,47536,49998,135307,497674.0,8746460.0
2016-05-17,49909,49909,45690,46043,275952,458315.0,8746460.0
2016-05-18,45603,45690,44021,44287,171422,440822.0,8746460.0
2016-05-19,44021,44549,42045,42353,173952,421579.0,8746460.0
2016-05-20,41868,43845,41693,43803,92957,436011.0,8746460.0
2016-05-23,43319,44198,43186,43672,65984,434699.0,8746460.0
2016-05-24,43669,43890,42440,42705,70261,425078.0,8746460.0
2016-05-25,43055,43582,42791,43451,44873,432512.0,8746460.0
2016-05-26,43845,44285,43055,43145,36684,429451.0,8746460.0
2016-05-27,43845,44021,43098,43540,31811,433387.0,8746460.0
2016-05-30,43582,43626,42967,43101,33623,429014.0,8746460.0
2016-05-31,43011,43626,42880,42880,45549,426827.0,8746460.0
2016-06-01,42967,44637,42967,44287,55354,440822.0,8746460.0
2016-06-02,44637,45164,43934,45165,80223,449568.0,8746460.0
2016-06-03,45427,45427,43186,44463,151238,442571.0,8746460.0
2016-06-07,44109,44460,42835,43101,133888,429014.0,8746460.0
2016-06-08,42835,44021,42835,43891,85847,436886.0,8746460.0
2016-06-09,44460,44460,43319,43934,83271,437323.0,8746460.0
2016-06-10,44109,44987,43802,44725,81286,445195.0,8746460.0
2016-06-13,44373,44460,43363,43540,60708,433387.0,8746460.0
2016-06-14,43363,43451,42704,43056,45218,428577.0,8746460.0
2016-06-15,42791,43713,42791,43364,39760,431638.0,8746460.0
2016-06-16,43363,43582,41912,41958,58508,417643.0,8746460.0
2016-06-17,42351,42835,41868,42133,44411,419393.0,8746460.0
2016-06-20,42264,43319,42264,42968,36865,427702.0,8746460.0
2016-06-21,43142,44198,43055,43716,71868,435136.0,8746460.0
2016-06-22,43802,43934,43055,43056,37228,428577.0,8746460.0
2016-06-23,42880,43230,42000,42265,41849,420705.0,8746460.0
2016-06-24,42571,42791,37783,38839,159302,386594.0,8746460.0
2016-06-27,37035,38530,36904,38223,120143,380471.0,8746460.0
2016-06-28,37519,39276,37256,38663,56666,384844.0,8746460.0
2016-06-29,39057,40199,38836,39848,50225,396652.0,8746460.0
2016-06-30,40244,40682,39540,39630,41498,394465.0,8746460.0
2016-07-01,39979,40375,39804,40069,36489,398839.0,8746460.0
2016-07-04,40550,40594,39848,39981,33048,397964.0,8746460.0
2016-07-05,39804,40375,39716,40113,35429,399276.0,8746460.0
2016-07-06,40288,40375,39365,39541,34701,393591.0,8746460.0
2016-07-07,39584,41473,39584,41167,65424,409772.0,8746460.0
2016-07-08,41693,42133,40770,40859,49238,406710.0,8746460.0
2016-07-11,40946,41341,39716,39937,56335,397527.0,8746460.0
2016-07-12,40419,40419,38925,39541,50601,393591.0,8746460.0
2016-07-13,39672,40244,39540,39848,33164,396652.0,8746460.0
2016-07-14,39759,40111,38880,38883,45009,387031.0,8746460.0
2016-07-15,38661,39189,38265,38399,45707,382220.0,8746460.0
2016-07-18,38574,38574,37695,38179,45592,380034.0,8746460.0
2016-07-19,38265,38661,37695,38223,36785,380471.0,8746460.0
2016-07-20,38222,38442,37914,37960,32431,377847.0,8746460.0
2016-07-21,37958,38002,37080,37256,74770,370850.0,8746460.0
2016-07-22,37343,38442,37124,38136,45180,379596.0,8746460.0
2016-07-25,38442,38442,37606,37652,29934,374786.0,8746460.0
2016-07-26,37431,38134,37431,38048,30166,378722.0,8746460.0
2016-07-27,38046,38222,37519,37740,29478,375660.0,8746460.0
2016-07-28,37783,38090,37606,38003,35010,378284.0,8746460.0
2016-07-29,38090,38222,37783,38136,24262,379596.0,8746460.0
2016-08-01,38222,38354,37606,37696,28830,375223.0,8746460.0
2016-08-02,37431,37827,37256,37344,26588,371725.0,8746460.0
2016-08-03,37167,37343,35982,36158,71927,359917.0,8746460.0
2016-08-04,36420,36509,35761,35938,32859,357730.0,8746460.0
2016-08-05,36026,36026,34708,34708,71046,345485.0,8746460.0
2016-08-08,34268,35366,34268,35368,34244,352045.0,8746460.0
2016-08-09,35322,36288,35279,35720,41514,355544.0,8746460.0
2016-08-10,35498,36640,35498,36378,43760,362103.0,8746460.0
2016-08-11,36244,37212,36201,36994,47599,368226.0,8746460.0
2016-08-12,37080,37256,36201,36334,38298,361666.0,8746460.0
2016-08-16,36157,36509,35366,35807,34514,356418.0,8746460.0
2016-08-17,35498,36596,34970,35016,59204,348546.0,8746460.0
2016-08-18,34970,35761,34970,35763,30842,355981.0,8746460.0
2016-08-19,35805,35894,35322,35499,19583,353357.0,8746460.0
2016-08-22,35235,35586,34970,35280,23946,351170.0,8746460.0
2016-08-23,35102,35761,35059,35060,25198,348984.0,8746460.0
2016-08-24,35542,35542,34883,34973,16222,348109.0,8746460.0
2016-08-25,34839,35146,34356,34402,32775,342424.0,8746460.0
2016-08-26,34356,34883,34137,34358,25312,341987.0,8746460.0
2016-08-29,33916,34356,33125,33128,73762,329742.0,8746460.0
2016-08-30,33125,33697,32686,32863,37224,327118.0,8746460.0
2016-08-31,32906,33390,31807,33390,67979,332365.0,8746460.0
2016-09-01,33390,34180,33038,33390,36525,332365.0,8746460.0
2016-09-02,33697,34664,33521,34358,47844,341987.0,8746460.0
2016-09-05,34356,34620,33828,34006,53175,338488.0,8746460.0
2016-09-06,34399,34443,33433,34006,45790,338488.0,8746460.0
2016-09-07,34004,34443,33390,33610,32795,334552.0,8746460.0
2016-09-08,33477,34004,33125,33303,42429,331491.0,8746460.0
