안랩(053800),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-11-13,40385,42961,40006,42961,903221,406807.0,7174720.0
2001-11-14,42961,43416,41825,42430,494574,401784.0,7174720.0
2001-11-15,43946,44173,40233,40460,1027557,383130.0,7174720.0
2001-11-16,40158,40461,39400,40081,244706,379543.0,7174720.0
2001-11-19,39779,40612,39703,40006,217368,378825.0,7174720.0
2001-11-20,39779,40461,39021,39096,311972,370216.0,7174720.0
2001-11-21,38642,39552,38642,39021,169323,369498.0,7174720.0
2001-11-22,39097,39400,38491,38642,226561,365911.0,7174720.0
2001-11-23,38263,38945,37733,37808,364208,358019.0,7174720.0
2001-11-26,38263,39779,37619,37619,588373,356225.0,7174720.0
2001-11-27,37506,38491,35839,36141,408008,342234.0,7174720.0
2001-11-28,36369,37051,34096,34437,336638,326091.0,7174720.0
2001-11-29,34058,35195,32846,34702,325539,328602.0,7174720.0
2001-11-30,34702,35157,34172,34171,253631,323580.0,7174720.0
2001-12-03,33338,33983,33111,33414,233360,316405.0,7174720.0
2001-12-04,34020,36369,33945,35914,660520,340082.0,7174720.0
2001-12-05,35915,36218,35005,35611,344480,337212.0,7174720.0
2001-12-06,35839,36634,34361,34664,369593,328243.0,7174720.0
2001-12-07,33907,35763,33907,34399,279611,325732.0,7174720.0
2001-12-10,34399,35574,34134,35005,312648,331472.0,7174720.0
2001-12-11,34551,35422,34551,34550,182916,327167.0,7174720.0
2001-12-12,34134,35005,34058,34626,192529,327885.0,7174720.0
2001-12-13,34930,35346,34323,34778,233474,329320.0,7174720.0
2001-12-14,34627,34664,34096,34096,112475,322862.0,7174720.0
2001-12-17,34096,34172,32353,32808,184798,310665.0,7174720.0
2001-12-18,32581,33187,30990,31254,233843,295957.0,7174720.0
2001-12-19,31293,32732,29171,31330,522091,296675.0,7174720.0
2001-12-20,31293,31634,30383,30686,203422,290576.0,7174720.0
2001-12-21,29702,30383,29247,29398,242157,278379.0,7174720.0
2001-12-24,29171,29815,28413,28905,187596,276615.0,7250720.0
2001-12-26,29550,29550,28641,28716,173320,274802.0,7250720.0
2001-12-27,28451,29626,28451,29246,327392,279878.0,7250720.0
2001-12-28,29171,30459,29133,30042,372173,287491.0,7250720.0
2002-01-02,31065,32050,30687,31292,319875,299455.0,7250720.0
2002-01-03,31293,32050,30535,30762,313053,294379.0,7250720.0
2002-01-04,31141,32808,31065,31860,531407,304893.0,7250720.0
2002-01-07,32202,32429,31255,31406,158707,300542.0,7250720.0
2002-01-08,31520,32467,31444,31823,238721,304530.0,7250720.0
2002-01-09,32278,32353,31141,31444,207292,300905.0,7250720.0
2002-01-10,31331,31444,30573,30724,224881,294017.0,7250720.0
2002-01-11,30724,31217,29474,29701,180919,284228.0,7250720.0
2002-01-14,29247,29967,29247,29474,140287,282053.0,7250720.0
2002-01-15,29702,31255,29626,30231,293067,289304.0,7250720.0
2002-01-16,31028,32543,30762,31747,549036,303805.0,7250720.0
2002-01-17,31141,31672,30459,31254,190677,299092.0,7250720.0
2002-01-18,31823,32391,30762,31065,343173,297280.0,7250720.0
2002-01-21,30800,31823,30762,31595,200198,302355.0,7250720.0
2002-01-22,31444,31747,30952,31216,190516,298730.0,7250720.0
2002-01-23,30838,31672,30838,31027,158259,296917.0,7250720.0
2002-01-24,31141,31975,30838,31860,262841,304893.0,7250720.0
2002-01-25,31899,35649,31899,35649,909914,341146.0,7250720.0
2002-01-28,37733,39855,37278,39854,593562,381388.0,7250720.0
2002-01-29,41673,42658,38491,38642,1722498,369787.0,7250720.0
2002-01-30,37127,40233,36521,40233,744321,385013.0,7250720.0
2002-01-31,41673,45007,41067,42430,1901527,406040.0,7250720.0
2002-02-01,43264,43946,40537,40612,849660,388639.0,7250720.0
2002-02-04,40612,41522,39930,40157,382126,384288.0,7250720.0
2002-02-05,40158,42431,39779,41673,659361,398790.0,7250720.0
2002-02-06,40991,41825,40385,40460,434041,387188.0,7250720.0
2002-02-07,40082,41143,36975,37505,460953,358911.0,7250720.0
2002-02-08,37960,39476,37657,38642,354542,369787.0,7250720.0
2002-02-14,39097,39779,38263,38718,351582,370512.0,7250720.0
2002-02-15,38870,41143,38870,39021,410539,373412.0,7250720.0
2002-02-18,39021,39552,38339,38490,268019,368337.0,7250720.0
2002-02-19,38263,38870,38188,38339,170849,366886.0,7250720.0
2002-02-20,37960,40158,37960,40157,314035,384288.0,7250720.0
2002-02-21,40915,41900,39476,40157,472625,384288.0,7250720.0
2002-02-22,40537,40840,39248,40006,297070,382838.0,7250720.0
2002-02-25,40537,41597,39930,41597,366963,398065.0,7250720.0
2002-02-26,41900,42431,39855,40460,533499,387188.0,7250720.0
2002-02-27,39930,40915,39021,39021,391077,373412.0,7250720.0
2002-02-28,39097,39476,38567,38945,279670,372687.0,7250720.0
2002-03-04,39400,43567,39400,43567,1036599,416916.0,7250720.0
2002-03-05,45840,46750,43264,43643,961455,417641.0,7250720.0
2002-03-06,43946,44931,42431,44173,451414,422717.0,7250720.0
2002-03-07,44173,46371,42128,42430,534525,406040.0,7250720.0
2002-03-08,41673,42658,40915,41900,295948,400965.0,7250720.0
2002-03-11,42431,43643,41446,42127,408448,403140.0,7250720.0
2002-03-12,41673,42582,40915,41370,254504,395889.0,7250720.0
2002-03-13,41218,42203,41067,41521,219125,397339.0,7250720.0
2002-03-14,40991,41294,40385,40688,258276,389364.0,7250720.0
2002-03-15,40991,42128,40840,41370,278981,395889.0,7250720.0
2002-03-18,42203,44022,41976,43188,496990,413291.0,7250720.0
2002-03-19,43188,43340,42355,42733,285910,408941.0,7250720.0
2002-03-20,43340,44477,43188,43264,433174,414016.0,7250720.0
2002-03-21,42658,43719,42431,43264,183443,414016.0,7250720.0
2002-03-22,43567,46068,43264,44173,590076,422717.0,7250720.0
2002-03-25,44325,45083,42203,42279,274899,404590.0,7250720.0
2002-03-26,42279,42658,40915,40991,207312,392264.0,7250720.0
2002-03-27,41067,41446,40537,41142,181271,393714.0,7250720.0
2002-03-28,41143,41749,40537,40536,212489,387914.0,7250720.0
2002-03-29,40233,40915,39400,39551,266958,378488.0,7250720.0
2002-04-01,39173,39400,35990,36520,247283,349485.0,7250720.0
2002-04-02,36672,37278,35915,36748,129318,351660.0,7250720.0
2002-04-03,35990,36710,35725,36066,173895,345134.0,7250720.0
2002-04-04,36066,37241,36028,36634,149280,350572.0,7250720.0
2002-04-08,36369,36900,36066,36066,114385,345134.0,7250720.0
2002-04-09,36142,36369,34399,34437,164124,329545.0,7250720.0
2002-04-10,34096,34286,31217,32656,190836,312506.0,7250720.0
2002-04-11,32960,33604,32657,33149,118334,317219.0,7250720.0
2002-04-12,31293,32846,31293,32580,90662,311781.0,7250720.0
2002-04-15,32581,33111,32429,32883,78576,314681.0,7250720.0
2002-04-16,33338,34589,33338,33793,122157,323382.0,7250720.0
2002-04-17,34096,34627,33831,33906,86905,324470.0,7250720.0
2002-04-18,33907,33982,33111,33300,91276,318669.0,7250720.0
2002-04-19,33263,34210,32353,32580,163755,311781.0,7250720.0
2002-04-22,32808,32960,31103,32580,159319,311781.0,7250720.0
2002-04-23,32581,33528,31520,33452,143348,320119.0,7250720.0
2002-04-24,34096,35687,33793,35460,396828,339334.0,7250720.0
2002-04-25,35233,35233,32202,32201,165036,308156.0,7250720.0
2002-04-26,32960,33263,31823,32126,137074,307431.0,7250720.0
2002-04-29,30535,31255,29929,30080,129357,287854.0,7250720.0
2002-04-30,29550,30687,29550,30194,102395,288941.0,7250720.0
2002-05-02,30308,31823,30308,31482,99558,301267.0,7250720.0
2002-05-03,31065,31482,30270,30838,59708,295104.0,7250720.0
2002-05-06,30573,33073,30308,31292,142731,299455.0,7250720.0
2002-05-07,31065,32581,30383,31444,129402,300905.0,7250720.0
2002-05-08,32505,32770,31899,32012,141840,306343.0,7250720.0
2002-05-09,32505,32732,31217,31444,98157,300905.0,7250720.0
2002-05-10,30914,32088,30838,31065,72280,297280.0,7250720.0
2002-05-13,30687,31065,30535,30762,41086,294379.0,7250720.0
2002-05-14,31065,31520,30800,30838,52247,295104.0,7250720.0
2002-05-15,31444,31444,30952,30989,63457,296554.0,7250720.0
2002-05-16,30687,31179,30421,30610,72726,292929.0,7250720.0
2002-05-17,30459,32884,30459,32542,204495,311418.0,7250720.0
2002-05-20,32202,32581,31709,31709,138949,303443.0,7250720.0
2002-05-21,31520,31634,30687,30686,76165,293654.0,7250720.0
2002-05-22,30611,32013,30611,30913,111687,295829.0,7250720.0
2002-05-23,31141,31747,30156,30307,101471,290029.0,7250720.0
2002-05-24,30308,31065,30005,30231,137852,289304.0,7250720.0
2002-05-27,29929,30270,29361,29474,124353,282053.0,7250720.0
2002-05-28,28868,29739,28868,29171,73317,279153.0,7250720.0
2002-05-29,28792,29020,28262,28451,89479,272265.0,7250720.0
2002-05-30,27694,28186,27694,27883,65973,266826.0,7250720.0
2002-05-31,28035,28451,27580,27580,63365,263926.0,7250720.0
2002-06-03,26747,27353,26595,26822,77873,256675.0,7250720.0
2002-06-04,26292,26671,25913,26595,78820,254500.0,7250720.0
2002-06-05,26898,28338,26898,27428,105811,262476.0,7250720.0
2002-06-07,26898,26974,26292,26519,56972,253775.0,7250720.0
2002-06-10,26519,27656,26519,27276,76218,261026.0,7250720.0
2002-06-11,27050,27504,27050,27239,27866,260663.0,7250720.0
2002-06-12,27277,27504,26747,27087,36935,259213.0,7250720.0
2002-06-14,26747,27353,26519,26784,91951,256313.0,7250720.0
2002-06-17,27277,27277,26557,26557,34370,254138.0,7250720.0
2002-06-18,26784,26974,25572,25685,135081,245799.0,7250720.0
2002-06-19,25004,25383,22617,22655,222629,216797.0,7250720.0
2002-06-20,22655,22655,21215,22276,174223,213171.0,7250720.0
2002-06-21,21594,22276,21518,22276,77652,213171.0,7250720.0
2002-06-24,21518,21746,20306,20798,104383,199032.0,7250720.0
2002-06-25,20874,21367,19245,19396,125641,185618.0,7250720.0
2002-06-26,18639,18867,17086,17123,142082,163866.0,7250720.0
2002-06-27,17806,18336,17275,17578,133688,168217.0,7250720.0
2002-06-28,18260,19132,18109,18487,211571,176918.0,7250720.0
2002-07-02,17806,18677,17578,18146,134956,173655.0,7250720.0
2002-07-03,18033,19738,17465,19396,463616,185618.0,7250720.0
2002-07-04,19700,19927,18829,19700,264256,188519.0,7250720.0
2002-07-05,20079,20533,19738,19737,266191,188881.0,7250720.0
2002-07-08,20533,20912,19132,19700,233586,188519.0,7250720.0
2002-07-09,19927,21405,19776,21404,342559,204833.0,7250720.0
2002-07-10,21367,23943,20950,23943,498496,229123.0,7250720.0
2002-07-11,24398,25383,22958,23223,574133,222235.0,7250720.0
2002-07-12,23602,24057,22807,22958,221850,219697.0,7250720.0
2002-07-15,22428,23261,21784,21935,193807,209908.0,7250720.0
2002-07-16,21632,22352,20344,20609,183424,197220.0,7250720.0
2002-07-18,20533,21291,20533,20685,108371,197945.0,7250720.0
2002-07-19,20458,20458,19397,19813,107711,189606.0,7250720.0
2002-07-22,18185,18791,17503,17654,190653,168942.0,7250720.0
2002-07-23,17200,18753,16821,18677,209324,178730.0,7250720.0
2002-07-24,17654,18033,17351,17767,129870,170029.0,7250720.0
2002-07-25,18942,19018,17806,17843,123111,170754.0,7250720.0
2002-07-26,17616,18260,17465,17767,143204,170029.0,7250720.0
2002-07-29,17957,18488,17275,17426,105925,166767.0,7250720.0
2002-07-30,18185,18601,17957,18411,151849,176192.0,7250720.0
2002-07-31,18412,18563,17768,17767,79287,170029.0,7250720.0
2002-08-01,17806,18147,17275,17578,67593,168217.0,7250720.0
2002-08-02,17048,17427,17048,17389,47483,166404.0,7250720.0
2002-08-05,16897,17200,16518,16593,73693,158791.0,7250720.0
2002-08-06,15571,16290,15571,16063,96968,153715.0,7250720.0
2002-08-07,16442,17048,16290,16366,203441,156616.0,7250720.0
2002-08-08,16669,16745,16215,16404,66732,156978.0,7250720.0
2002-08-09,16669,16821,16215,16252,106527,155528.0,7250720.0
2002-08-12,16366,16631,15912,16025,67139,153353.0,7250720.0
2002-08-13,16025,16215,15874,16138,67366,154440.0,7250720.0
2002-08-14,15760,16480,15760,16252,112694,155528.0,7250720.0
2002-08-16,16669,17768,16442,16555,185745,158428.0,7250720.0
2002-08-19,16821,17048,16290,16328,81786,156253.0,7250720.0
2002-08-20,16442,16934,16442,16820,159205,160966.0,7250720.0
2002-08-21,17124,17730,16934,17654,241090,168942.0,7250720.0
2002-08-22,17995,18109,17275,17313,159276,165679.0,7250720.0
2002-08-23,17465,17541,16934,16972,99997,162416.0,7250720.0
2002-08-26,17200,18412,17124,17275,337816,165316.0,7250720.0
2002-08-27,17427,17541,16972,17010,76821,162779.0,7250720.0
2002-08-28,16669,16972,16442,16517,90727,158066.0,7250720.0
2002-08-29,16215,16442,16215,16366,49981,156616.0,7250720.0
2002-08-30,16215,16669,16215,16479,59566,157703.0,7250720.0
2002-09-02,16518,17010,16404,17010,80097,162779.0,7250720.0
2002-09-03,17427,19018,17275,19018,425986,181993.0,7250720.0
2002-09-04,19321,20079,18488,19207,1135042,183806.0,7250720.0
2002-09-05,19624,19927,18526,19055,470969,182356.0,7250720.0
2002-09-06,19018,19018,16934,17199,408687,164591.0,7250720.0
2002-09-09,17427,17692,15608,15684,347990,150090.0,7250720.0
2002-09-10,15912,16745,15798,15911,246553,152265.0,7250720.0
2002-09-11,16101,16518,15987,16063,159425,153715.0,7250720.0
2002-09-12,15949,16897,15836,16896,219202,161691.0,7250720.0
2002-09-13,16669,16669,16063,16214,99462,155165.0,7250720.0
2002-09-16,16215,16518,16101,16100,74043,154078.0,7250720.0
2002-09-17,16177,16669,16177,16631,98139,159153.0,7250720.0
2002-09-18,16101,16290,15874,15873,64237,151903.0,7250720.0
2002-09-19,15760,16177,15760,16063,66723,153715.0,7250720.0
2002-09-23,14396,15836,14396,15002,93014,143564.0,7250720.0
2002-09-24,14623,14813,14358,14585,88343,139576.0,7250720.0
2002-09-25,14434,14548,13638,13827,83809,132326.0,7250720.0
2002-09-26,14017,14396,13676,13676,61306,130875.0,7250720.0
2002-09-27,13335,13828,13032,13297,88339,127250.0,7250720.0
2002-09-30,12729,12881,12237,12274,91436,117462.0,7250720.0
2002-10-01,11858,12957,11782,12956,128451,123987.0,7250720.0
2002-10-02,13260,13563,12653,12767,184541,122175.0,7250720.0
2002-10-04,12350,12729,12312,12350,64314,118187.0,7250720.0
2002-10-07,12123,12350,11668,11668,76159,111661.0,7250720.0
2002-10-08,11479,11858,11479,11857,94338,116796.0,7463023.0
2002-10-09,11896,12085,11365,11516,80617,113438.0,7463023.0
2002-10-10,11327,11631,10873,10910,73092,107468.0,7463023.0
2002-10-11,11327,11441,10646,10645,80976,104855.0,7463023.0
2002-10-14,11138,11517,10949,11289,109315,111199.0,7463023.0
2002-10-15,11290,12275,11214,11971,182083,117916.0,7463023.0
2002-10-16,12502,12502,11517,11744,121015,115677.0,7463023.0
2002-10-17,11631,12578,11593,12426,181448,122394.0,7463023.0
2002-10-18,12805,13298,12691,13183,267283,129857.0,7463023.0
2002-10-21,12994,13222,12426,12426,159995,122394.0,7463023.0
2002-10-22,12729,12881,11782,12047,134771,118662.0,7463023.0
2002-10-23,11972,12767,11972,12615,145512,124554.0,7480734.0
2002-10-24,12881,13752,12691,12691,340246,125302.0,7480734.0
2002-10-25,12691,12767,12313,12464,109068,123058.0,7480734.0
2002-10-28,12881,13070,12691,12956,103958,127921.0,7480734.0
2002-10-29,12691,12957,12691,12691,94269,125302.0,7480734.0
2002-10-30,12653,12767,12161,12236,79030,120814.0,7480734.0
2002-10-31,12313,12502,12123,12198,85132,120440.0,7480734.0
2002-11-01,12009,12275,11972,12047,52688,118944.0,7480734.0
2002-11-04,12199,12313,12085,12236,68629,120814.0,7480734.0
2002-11-05,12275,12729,12275,12274,138288,121188.0,7480734.0
2002-11-06,12653,12653,12313,12464,71881,123058.0,7480734.0
2002-11-07,12464,13942,12388,12994,626433,128295.0,7480734.0
2002-11-08,12805,12957,12502,12956,186241,127921.0,7480734.0
2002-11-11,13222,13335,12616,12653,144074,124928.0,7480734.0
2002-11-12,12426,12729,12009,12198,165575,120440.0,7480734.0
2002-11-13,12275,12350,11858,11895,114752,117448.0,7480734.0
2002-11-14,11593,11934,11593,11630,86873,114829.0,7480734.0
2002-11-15,11820,11896,11668,11706,86091,115577.0,7480734.0
2002-11-18,11441,11555,11214,11251,117354,111089.0,7480734.0
2002-11-19,11062,11441,11062,11403,77395,112585.0,7480734.0
2002-11-20,11365,11479,11214,11403,64147,112585.0,7480734.0
2002-11-21,11517,11668,11403,11403,93038,112585.0,7480734.0
2002-11-22,11631,11896,11441,11782,137903,116325.0,7480734.0
2002-11-25,12085,13146,11972,12767,504783,126050.0,7480734.0
2002-11-26,12881,13146,12426,12539,199657,123806.0,7480734.0
2002-11-27,12275,12881,12275,12842,116723,126798.0,7480734.0
2002-11-28,13108,13790,12994,13449,285387,132783.0,7480734.0
2002-11-29,13222,13904,13146,13790,189347,136149.0,7480734.0
2002-12-02,14169,15230,14093,14888,527842,146996.0,7480734.0
2002-12-03,15268,15305,14586,15002,203324,148119.0,7480734.0
2002-12-04,14699,14737,13752,13865,157868,136897.0,7480734.0
2002-12-05,13714,14737,13714,14623,203769,144378.0,7480734.0
2002-12-06,14396,15533,14093,15267,237283,150737.0,7480734.0
2002-12-09,15608,16859,15608,16138,428352,159340.0,7480734.0
2002-12-10,15608,16442,15343,15684,234804,154851.0,7480734.0
2002-12-11,15912,16139,15457,15684,249199,154851.0,7480734.0
2002-12-12,15495,16025,15230,15760,252709,155599.0,7480734.0
2002-12-13,16063,16366,15722,15722,202006,155225.0,7480734.0
2002-12-16,15343,15533,14813,14812,159025,146248.0,7480734.0
2002-12-17,15192,15305,14737,14812,99268,146248.0,7480734.0
2002-12-18,14169,14510,13866,13979,204033,138020.0,7480734.0
2002-12-20,13942,13942,13298,13449,128001,132783.0,7480734.0
2002-12-23,12994,13942,12994,13486,312707,133157.0,7480734.0
2002-12-24,13032,13866,12199,12653,124068,124928.0,7480734.0
2002-12-26,12388,12843,12047,12047,149326,118944.0,7480734.0
2002-12-27,11517,12237,11517,11782,98054,116325.0,7480734.0
2002-12-30,11782,11782,10721,11024,130004,108845.0,7480734.0
2003-01-02,11176,12313,11176,12312,128480,121562.0,7480734.0
2003-01-03,12881,13487,12653,12956,158762,127921.0,7480734.0
2003-01-06,13487,13487,12653,13108,70992,129417.0,7480734.0
2003-01-07,13487,13638,12502,12501,98027,123432.0,7480734.0
2003-01-08,12578,13108,12578,12653,67853,124928.0,7480734.0
2003-01-09,12502,12729,12123,12501,82528,123432.0,7480734.0
2003-01-10,12881,13411,11896,12691,252778,125302.0,7480734.0
2003-01-13,12881,13335,12616,13259,118675,130913.0,7480734.0
2003-01-14,13373,13487,12881,13183,104151,130165.0,7480734.0
2003-01-15,13563,14093,13335,13600,303645,134279.0,7480734.0
2003-01-16,13146,13298,12994,13032,104730,128669.0,7480734.0
2003-01-17,12767,13032,12161,12312,109537,121562.0,7480734.0
2003-01-20,11820,12275,11820,12123,46184,119692.0,7480734.0
2003-01-21,12009,12313,12009,12312,46293,121562.0,7480734.0
2003-01-22,12123,12237,11744,11933,67566,117822.0,7480734.0
2003-01-23,11972,12275,11896,12047,58078,118944.0,7480734.0
2003-01-24,12123,12350,11365,11516,58382,113707.0,7480734.0
2003-01-27,12881,12881,12881,12880,46200,127172.0,7480734.0
2003-01-28,14017,14169,12881,12918,1030641,127547.0,7480734.0
2003-01-29,13032,13070,11593,11668,504549,115203.0,7480734.0
2003-01-30,12123,12957,11820,12501,653119,123432.0,7480734.0
2003-02-03,12312,12653,11744,12123,407327,119692.0,7480734.0
2003-02-04,12199,12350,11858,11895,193940,117448.0,7480734.0
2003-02-05,11706,12578,11706,12047,438325,118944.0,7480734.0
2003-02-06,12123,13487,11668,13486,709154,133157.0,7480734.0
2003-02-07,13373,14510,12994,13373,2492005,132035.0,7480734.0
2003-02-10,13222,13373,12426,12426,427922,122684.0,7480734.0
2003-02-11,12578,13449,11896,12501,1186244,123432.0,7480734.0
2003-02-12,12426,13335,12388,12767,968538,126050.0,7480734.0
2003-02-13,12729,13108,12502,12501,603959,123432.0,7480734.0
2003-02-14,12426,12843,12275,12501,316392,123432.0,7480734.0
2003-02-17,12805,12994,12691,12842,272614,126798.0,7480734.0
2003-02-18,12957,13866,12919,13790,831125,136149.0,7480734.0
2003-02-19,14131,14169,13222,13221,502180,130539.0,7480734.0
2003-02-20,13298,13487,12919,13032,277396,128669.0,7480734.0
2003-02-21,13108,13184,12767,12767,168620,126050.0,7480734.0
2003-02-24,12540,13108,12540,12729,455693,125676.0,7480734.0
2003-02-25,12502,12805,12123,12350,466841,121936.0,7480734.0
2003-02-26,12426,12578,11934,11933,224896,117822.0,7480734.0
2003-02-27,11593,12123,11593,11820,180743,116699.0,7480734.0
2003-02-28,11820,12123,11668,11668,102903,115203.0,7480734.0
2003-03-03,11555,11858,11555,11820,108285,116699.0,7480734.0
2003-03-04,11668,12047,11555,11554,140676,114081.0,7480734.0
2003-03-05,11365,11403,10873,10986,133060,108471.0,7480734.0
2003-03-06,10949,11062,10532,10531,93255,103982.0,7480734.0
2003-03-07,10002,10153,9623,9774,123256,96501.0,7480734.0
2003-03-10,9395,10380,9395,9812,329325,96876.0,7480734.0
2003-03-11,9623,9736,9395,9509,108694,93883.0,7480734.0
2003-03-12,9471,10418,9471,10380,355398,102486.0,7480734.0
2003-03-13,10456,11100,9774,10266,430827,101364.0,7480734.0
2003-03-14,10835,10987,10305,10304,193446,101738.0,7480734.0
2003-03-17,10153,10456,9092,9092,196352,89769.0,7480734.0
2003-03-18,9736,9964,9547,9774,214589,96501.0,7480734.0
2003-03-19,9698,10153,9698,9774,226327,96501.0,7480734.0
2003-03-20,10002,10683,10002,10607,274658,104730.0,7480734.0
2003-03-21,10949,11441,10835,11175,381127,110341.0,7480734.0
2003-03-24,11365,11555,10835,10872,236066,107349.0,7480734.0
2003-03-25,10115,11668,10115,10607,421924,104730.0,7480734.0
2003-03-26,10987,11744,10835,11251,613217,111089.0,7480734.0
2003-03-27,11365,11593,11024,11024,234780,108845.0,7480734.0
2003-03-28,11214,12313,11062,12312,511060,121562.0,7480734.0
2003-03-31,12881,13298,11631,11744,1146620,115951.0,7480734.0
2003-04-01,11668,12767,11668,12691,1041123,125302.0,7480734.0
2003-04-02,12957,13752,12388,12805,1084167,126424.0,7480734.0
2003-04-03,13298,13373,12009,12047,711231,118944.0,7480734.0
2003-04-04,11782,12123,11517,11857,356063,117073.0,7480734.0
2003-04-07,12085,12616,12085,12312,333329,122230.0,7521834.0
2003-04-08,11934,12616,11934,12236,275132,121478.0,7521834.0
2003-04-09,13676,13676,13487,13676,247749,135769.0,7521834.0
2003-04-10,14245,14510,13032,13183,951907,130880.0,7521834.0
2003-04-11,13032,13525,12578,12653,482966,125615.0,7521834.0
2003-04-14,12729,13108,12653,12729,266499,126367.0,7521834.0
2003-04-15,12919,13601,12805,13183,642886,130880.0,7521834.0
2003-04-16,13297,13411,13032,13145,301970,130504.0,7521834.0
2003-04-17,13146,13601,12994,13259,379271,131632.0,7521834.0
2003-04-18,13487,13752,13260,13486,349071,133889.0,7521834.0
2003-04-21,13487,14017,13335,13827,447795,137273.0,7521834.0
2003-04-22,13638,14017,13032,13032,261237,129376.0,7521834.0
2003-04-23,13260,13979,13108,13486,676309,133889.0,7521834.0
2003-04-24,13752,13942,12805,12880,244368,127871.0,7521834.0
2003-04-25,12502,13032,11972,12123,242818,120349.0,7521834.0
2003-04-28,12009,12502,11896,11971,136640,118845.0,7521834.0
2003-04-29,12199,12729,12199,12691,261761,125991.0,7521834.0
2003-04-30,12729,12994,12388,12539,191204,124486.0,7521834.0
2003-05-02,12729,13184,12616,13070,235541,129752.0,7521834.0
2003-05-06,13449,13487,12919,13032,138468,129376.0,7521834.0
2003-05-07,13184,13411,13032,13183,161717,130880.0,7521834.0
2003-05-09,13108,13184,12957,12994,99711,128999.0,7521834.0
2003-05-12,13146,14207,13146,13827,439897,137273.0,7521834.0
2003-05-13,13676,14434,13184,13941,1397127,138402.0,7521834.0
2003-05-14,13828,13866,13184,13259,395194,131632.0,7521834.0
2003-05-15,13297,13487,12237,12388,312410,123021.0,7524234.0
2003-05-16,12123,12578,12123,12388,169230,123021.0,7524234.0
2003-05-19,12123,12502,12123,12198,106243,121140.0,7524234.0
2003-05-20,11744,12275,11744,12198,159414,121140.0,7524234.0
2003-05-21,12199,12691,12161,12426,148693,123397.0,7524234.0
2003-05-22,12464,12957,12388,12464,225148,123774.0,7524234.0
2003-05-23,12653,13070,12540,12729,206481,126407.0,7524234.0
2003-05-26,12881,13828,12881,13449,505216,133555.0,7524234.0
2003-05-27,13904,14169,13032,13449,412632,133555.0,7524234.0
2003-05-28,13942,13942,13070,13411,281213,133179.0,7524234.0
2003-05-29,13184,13601,13108,13183,114070,130922.0,7524234.0
2003-05-30,13184,13260,12881,12994,150075,129041.0,7524234.0
2003-06-02,13108,13601,13070,13335,185647,132427.0,7524234.0
