노바렉스(194700),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-02-26,17800,19250,17800,19150,294672,172422.0,9003740.0
2019-02-27,19450,19450,18750,19100,145867,171971.0,9003740.0
2019-02-28,19150,20250,18800,19200,376642,172872.0,9003740.0
2019-03-04,19900,20650,19500,19700,243273,177374.0,9003740.0
2019-03-05,19700,20100,19400,19800,81109,178274.0,9003740.0
2019-03-06,20200,20500,19250,19650,110209,176923.0,9003740.0
2019-03-07,19400,20400,19400,19750,144751,177824.0,9003740.0
2019-03-08,19750,20550,19350,19850,138594,178724.0,9003740.0
2019-03-11,20250,22650,20100,22650,1075934,203935.0,9003740.0
2019-03-12,22600,22900,22100,22700,398856,204385.0,9003740.0
2019-03-13,23700,25000,22850,23250,838069,209337.0,9003740.0
2019-03-14,23300,24150,23050,23900,253843,215189.0,9003740.0
2019-03-15,24000,24050,23200,23350,262455,210237.0,9003740.0
2019-03-18,23450,25700,23250,25700,717307,231396.0,9003740.0
2019-03-19,26300,27250,25400,26550,574839,239049.0,9003740.0
2019-03-20,27050,27100,24350,25500,490396,229595.0,9003740.0
2019-03-21,25400,25500,23900,24550,344847,221042.0,9003740.0
2019-03-22,24550,24900,23750,24500,186225,220592.0,9003740.0
2019-03-25,24000,24800,23750,23800,166200,214289.0,9003740.0
2019-03-26,23900,26150,23900,25850,335591,232747.0,9003740.0
2019-03-27,25850,25950,24950,25150,139731,226444.0,9003740.0
2019-03-28,25200,25400,23950,24300,146321,218791.0,9003740.0
2019-03-29,24000,24200,22650,23400,174784,210688.0,9003740.0
2019-04-01,23250,24300,23250,23800,145022,214289.0,9003740.0
2019-04-02,23800,24150,22700,23000,140733,207086.0,9003740.0
2019-04-03,23200,23250,22450,23000,90845,207086.0,9003740.0
2019-04-04,23200,23900,23050,23850,117451,214739.0,9003740.0
2019-04-05,24000,24000,22750,23600,91235,212488.0,9003740.0
2019-04-08,23750,24000,23050,23800,94053,214289.0,9003740.0
2019-04-09,24000,24000,23200,23300,50961,209787.0,9003740.0
2019-04-10,23100,24500,23050,24350,119916,219241.0,9003740.0
2019-04-11,24500,24600,23700,23750,89323,213839.0,9003740.0
2019-04-12,23500,23750,23250,23600,56441,212488.0,9003740.0
2019-04-15,23600,24200,22950,23150,106422,208437.0,9003740.0
2019-04-16,23150,23150,22250,22650,108965,203935.0,9003740.0
2019-04-17,22850,25250,22850,24900,599414,224193.0,9003740.0
2019-04-18,25100,26000,24500,24900,479052,224193.0,9003740.0
2019-04-19,25350,26250,25250,25850,260004,232747.0,9003740.0
2019-04-22,26250,26250,24950,26000,176602,234097.0,9003740.0
2019-04-23,25750,25900,24850,24900,210010,224193.0,9003740.0
2019-04-24,25350,25450,24300,24300,104199,218791.0,9003740.0
2019-04-25,24600,25400,24500,25350,145536,228245.0,9003740.0
2019-04-26,25150,25400,24200,24350,120102,219241.0,9003740.0
2019-04-29,24800,24800,23250,24350,126031,219241.0,9003740.0
2019-04-30,24350,24400,23550,24100,89119,216990.0,9003740.0
2019-05-02,23950,24600,23850,24500,91511,220592.0,9003740.0
2019-05-03,24400,25600,24200,24900,220230,224193.0,9003740.0
2019-05-07,24500,25400,24000,24500,98131,220592.0,9003740.0
2019-05-08,24050,24400,23800,24000,130193,216090.0,9003740.0
2019-05-09,23800,24100,22750,22750,94401,204835.0,9003740.0
2019-05-10,22800,23350,22200,22700,76098,204385.0,9003740.0
2019-05-13,22800,22850,22150,22350,38134,201234.0,9003740.0
2019-05-14,21700,22800,21700,22600,36771,203485.0,9003740.0
2019-05-15,22650,24450,21800,24400,143489,219691.0,9003740.0
2019-05-16,24450,24800,23650,24400,95536,219691.0,9003740.0
2019-05-17,24700,24900,23500,23850,48998,214739.0,9003740.0
2019-05-20,23700,24300,23250,23600,64565,212488.0,9003740.0
2019-05-21,23600,24100,23300,23450,32494,211138.0,9003740.0
2019-05-22,23850,23850,23100,23450,20826,211138.0,9003740.0
2019-05-23,23350,23650,23300,23300,23073,209787.0,9003740.0
2019-05-24,23000,23200,22000,22600,62456,203485.0,9003740.0
2019-05-27,22800,22800,21650,21650,42605,194931.0,9003740.0
2019-05-28,21650,22350,21150,22250,36332,200333.0,9003740.0
2019-05-29,22300,22450,21350,21400,29521,192680.0,9003740.0
2019-05-30,21250,21700,20350,20450,73883,184126.0,9003740.0
2019-05-31,20600,22250,20500,21600,76322,194481.0,9003740.0
2019-06-03,21700,21900,21150,21550,23866,194031.0,9003740.0
2019-06-04,21250,21750,21000,21400,26062,192680.0,9003740.0
2019-06-05,22250,22250,21050,21300,25287,191780.0,9003740.0
2019-06-07,21150,21450,21050,21100,31332,189979.0,9003740.0
2019-06-10,21250,21800,21000,21700,30760,195381.0,9003740.0
2019-06-11,21650,23000,21350,22550,58333,203034.0,9003740.0
2019-06-12,23150,24300,22950,23700,163407,213389.0,9003740.0
2019-06-13,23600,25000,23600,24550,203191,221042.0,9003740.0
2019-06-14,24750,24900,23850,24100,70555,216990.0,9003740.0
2019-06-17,24450,24450,22650,23200,89241,208887.0,9003740.0
2019-06-18,22900,23100,22450,22600,31021,203485.0,9003740.0
2019-06-19,22950,24450,22600,23550,101698,212038.0,9003740.0
2019-06-20,23900,23900,22700,23100,70231,207986.0,9003740.0
2019-06-21,23200,23850,23050,23450,55234,211138.0,9003740.0
2019-06-24,23500,23950,22500,23000,51045,207086.0,9003740.0
2019-06-25,22900,23350,22000,22500,47728,202584.0,9003740.0
2019-06-26,22400,22700,21500,21850,65183,196732.0,9003740.0
2019-06-27,21900,21950,20900,21450,112109,193130.0,9003740.0
2019-06-28,21450,22900,21400,22250,129620,200333.0,9003740.0
2019-07-01,22400,23250,22400,23050,108086,207536.0,9003740.0
2019-07-02,23300,23950,22800,23050,95787,207536.0,9003740.0
2019-07-03,23050,23500,22750,23500,40256,211588.0,9003740.0
2019-07-04,23650,24250,23350,23900,64129,215189.0,9003740.0
2019-07-05,23700,24300,23000,23950,51163,215640.0,9003740.0
2019-07-08,23950,24000,22300,22950,58399,206636.0,9003740.0
2019-07-09,23450,23600,22350,22850,70312,205735.0,9003740.0
2019-07-10,23050,23800,22750,23500,76677,211588.0,9003740.0
2019-07-11,23950,24150,23500,23900,51438,215189.0,9003740.0
2019-07-12,23900,24100,23450,24000,33813,216090.0,9003740.0
2019-07-15,24000,24000,23150,23450,24968,211138.0,9003740.0
2019-07-16,23300,24200,23100,24200,92917,217891.0,9003740.0
2019-07-17,24050,24100,23200,23600,44135,212488.0,9003740.0
2019-07-18,23750,23750,23100,23300,32426,209787.0,9003740.0
2019-07-19,23150,23650,23150,23200,30739,208887.0,9003740.0
2019-07-22,23050,23650,23000,23550,24947,212038.0,9003740.0
2019-07-23,23400,23750,22850,23450,34251,211138.0,9003740.0
2019-07-24,23200,23600,22700,22700,45322,204385.0,9003740.0
2019-07-25,22450,22900,21400,21800,79775,196282.0,9003740.0
2019-07-26,21500,21700,20800,21600,73361,194481.0,9003740.0
2019-07-29,21200,21400,20550,20750,48410,186828.0,9003740.0
2019-07-30,20200,22150,20200,22000,59892,198082.0,9003740.0
2019-07-31,21800,22150,21100,22150,50440,199433.0,9003740.0
2019-08-01,21500,22350,21450,21750,29544,195831.0,9003740.0
2019-08-02,21350,21800,21050,21400,26467,192680.0,9003740.0
2019-08-05,21300,21650,19650,20450,39573,184126.0,9003740.0
2019-08-06,19250,21100,19150,19600,72542,176473.0,9003740.0
2019-08-07,19600,20500,19100,19400,78253,174673.0,9003740.0
2019-08-08,20000,20950,19850,20450,72148,184126.0,9003740.0
2019-08-09,20750,21150,20500,20700,34592,186377.0,9003740.0
2019-08-12,21150,21150,20000,20450,58799,184126.0,9003740.0
2019-08-13,20450,20500,19600,19900,81355,179174.0,9003740.0
2019-08-14,20200,21400,18500,19550,149650,176023.0,9003740.0
2019-08-16,19800,19800,17950,18600,244939,167470.0,9003740.0
2019-08-19,18850,19000,17850,18150,108814,163418.0,9003740.0
2019-08-20,18800,19750,18500,19650,110247,176923.0,9003740.0
2019-08-21,19650,20400,19450,19950,75909,179625.0,9003740.0
2019-08-22,19950,21100,19750,19800,132177,178274.0,9003740.0
2019-08-23,19500,19950,19300,19500,32081,175573.0,9003740.0
2019-08-26,18950,19450,18600,18850,41269,169720.0,9003740.0
2019-08-27,19150,19300,18200,18400,57699,165669.0,9003740.0
2019-08-28,18500,18700,18000,18500,66077,166569.0,9003740.0
2019-08-29,18300,18750,17750,18050,80620,162518.0,9003740.0
2019-08-30,18700,18850,18350,18650,74346,167920.0,9003740.0
2019-09-02,18650,19950,18550,19850,104100,178724.0,9003740.0
2019-09-03,19850,20150,19500,19850,55834,178724.0,9003740.0
2019-09-04,19700,20200,19450,20200,78678,181876.0,9003740.0
2019-09-05,20700,20700,19600,20050,87283,180525.0,9003740.0
2019-09-06,20200,20400,19700,20100,39581,180975.0,9003740.0
2019-09-09,20200,20600,19600,19750,51610,177824.0,9003740.0
2019-09-10,19650,19900,19000,19100,68604,171971.0,9003740.0
2019-09-11,19200,19550,18950,19450,42360,175123.0,9003740.0
2019-09-16,19600,19750,19150,19500,43260,175573.0,9003740.0
2019-09-17,19350,19950,18950,19900,73064,179174.0,9003740.0
2019-09-18,20350,21100,19950,20750,190150,186828.0,9003740.0
2019-09-19,20800,21400,20300,20350,100085,183226.0,9003740.0
2019-09-20,20350,20900,20150,20550,50590,185027.0,9003740.0
2019-09-23,20400,20500,20050,20050,27478,180525.0,9003740.0
2019-09-24,20050,20300,19700,20100,30760,180975.0,9003740.0
2019-09-25,20050,20100,19350,19500,40367,175573.0,9003740.0
2019-09-26,19700,19700,18950,19350,74418,174222.0,9003740.0
2019-09-27,19150,19500,19150,19200,24608,172872.0,9003740.0
2019-09-30,19200,19550,18950,19300,41963,173772.0,9003740.0
2019-10-01,19100,19700,19100,19700,25755,177374.0,9003740.0
2019-10-02,19300,19700,19050,19350,26959,174222.0,9003740.0
2019-10-04,19250,19350,18900,18900,18724,170171.0,9003740.0
2019-10-07,19000,19400,18850,19300,18740,173772.0,9003740.0
