하이제4호스팩(317240),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-07-12,2120,2120,2120,2120,2520,9328.0,4400000.0
2019-07-15,2120,2120,2105,2115,6673,9306.0,4400000.0
2019-07-16,2105,2115,2105,2110,9119,9284.0,4400000.0
2019-07-17,2100,2120,2100,2120,8001,9328.0,4400000.0
2019-07-18,2120,2120,2090,2090,22056,9196.0,4400000.0
2019-07-19,2090,2120,2090,2120,6684,9328.0,4400000.0
2019-07-22,2120,2120,2100,2115,14790,9306.0,4400000.0
2019-07-23,2120,2120,2100,2115,9576,9306.0,4400000.0
2019-07-24,2100,2120,2100,2120,5122,9328.0,4400000.0
2019-07-25,2115,2120,2105,2115,2059,9306.0,4400000.0
2019-07-26,2105,2105,2090,2105,16363,9262.0,4400000.0
2019-07-29,2115,2115,2095,2100,13943,9240.0,4400000.0
2019-07-30,2100,2105,2100,2105,9125,9262.0,4400000.0
2019-07-31,2100,2140,2100,2130,29068,9372.0,4400000.0
2019-08-01,2130,2135,2110,2130,1122,9372.0,4400000.0
2019-08-02,2105,2120,2100,2105,2991,9262.0,4400000.0
2019-08-05,2125,2125,2085,2105,9132,9262.0,4400000.0
2019-08-06,2080,2150,2070,2085,8729,9174.0,4400000.0
2019-08-07,2085,2115,2070,2100,890,9240.0,4400000.0
2019-08-08,2115,2115,2090,2105,6229,9262.0,4400000.0
2019-08-09,2110,2110,2075,2100,1114,9240.0,4400000.0
2019-08-12,2080,2115,2080,2100,2332,9240.0,4400000.0
2019-08-13,2100,2100,2095,2095,11058,9218.0,4400000.0
2019-08-14,2110,2110,2100,2105,5297,9262.0,4400000.0
2019-08-16,2120,2120,2095,2105,2666,9262.0,4400000.0
2019-08-19,2150,2150,2095,2100,10557,9240.0,4400000.0
2019-08-20,2100,2100,2085,2085,26947,9174.0,4400000.0
2019-08-21,2095,2095,2090,2095,1393,9218.0,4400000.0
2019-08-22,2095,2100,2085,2100,14936,9240.0,4400000.0
2019-08-23,2100,2100,2100,2100,1,9240.0,4400000.0
2019-08-26,2105,2105,2085,2095,10961,9218.0,4400000.0
2019-08-27,2100,2100,2100,2100,528,9240.0,4400000.0
2019-08-28,2070,2095,2070,2095,16212,9218.0,4400000.0
2019-08-29,2095,2100,2085,2095,1299,9218.0,4400000.0
2019-08-30,2095,2095,2075,2095,60478,9218.0,4400000.0
2019-09-02,2090,2095,2080,2095,915,9218.0,4400000.0
2019-09-03,2090,2095,2090,2095,2925,9218.0,4400000.0
2019-09-04,2090,2090,2080,2090,4046,9196.0,4400000.0
2019-09-05,2080,2090,2075,2080,11683,9152.0,4400000.0
2019-09-06,2080,2090,2080,2085,3546,9174.0,4400000.0
2019-09-09,2080,2090,2075,2090,3034,9196.0,4400000.0
2019-09-10,2090,2100,2090,2095,13343,9218.0,4400000.0
2019-09-11,2090,2095,2090,2095,14234,9218.0,4400000.0
2019-09-16,2100,2100,2085,2085,1484,9174.0,4400000.0
2019-09-17,2100,2100,2100,2100,10,9240.0,4400000.0
2019-09-18,2100,2105,2100,2105,23018,9262.0,4400000.0
2019-09-19,2080,2100,2075,2100,11647,9240.0,4400000.0
2019-09-20,2095,2100,2095,2100,1114,9240.0,4400000.0
2019-09-23,2100,2105,2100,2105,13090,9262.0,4400000.0
2019-09-24,2100,2100,2100,2100,4283,9240.0,4400000.0
2019-09-25,2095,2095,2090,2090,1305,9196.0,4400000.0
2019-09-26,2080,2090,2080,2090,6770,9196.0,4400000.0
2019-09-27,2090,2100,2085,2100,56729,9240.0,4400000.0
2019-09-30,2100,2160,2095,2105,53841,9262.0,4400000.0
2019-10-01,2120,2150,2100,2125,29651,9350.0,4400000.0
2019-10-02,2135,2135,2105,2110,11659,9284.0,4400000.0
2019-10-04,2140,2140,2100,2110,7136,9284.0,4400000.0
2019-10-07,2115,2115,2100,2110,3775,9284.0,4400000.0
