삼영이엔씨(065570),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2003-03-28,2230,2430,2230,2339,4289,20560.0,8000000.0
2003-03-31,2248,2412,2239,2375,21437,20880.0,8000000.0
2003-04-01,2267,2640,2267,2639,6766,23200.0,8000000.0
2003-04-02,2640,2640,2367,2366,8456,20800.0,8000000.0
2003-04-03,2367,2449,2321,2421,38894,21280.0,8000000.0
2003-04-04,2321,2613,2312,2612,17661,22960.0,8000000.0
2003-04-07,2558,2694,2467,2676,12897,23520.0,8000000.0
2003-04-08,2576,2640,2430,2448,10345,21520.0,8000000.0
2003-04-09,2421,2576,2285,2430,24085,21360.0,8000000.0
2003-04-10,2321,2522,2321,2521,34961,22160.0,8000000.0
2003-04-11,2549,2594,2430,2548,11378,22400.0,8000000.0
2003-04-14,2531,2622,2403,2494,6894,21920.0,8000000.0
2003-04-15,2458,2549,2440,2476,13681,21760.0,8000000.0
2003-04-16,2421,2676,2412,2476,104470,21760.0,8000000.0
2003-04-17,2585,2585,2412,2412,16885,21200.0,8000000.0
2003-04-18,2503,2503,2385,2430,18366,21360.0,8000000.0
2003-04-21,2276,2449,2276,2284,191086,20080.0,8000000.0
2003-04-22,2303,2349,2239,2248,58521,19760.0,8000000.0
2003-04-23,2312,2312,2230,2275,43252,20000.0,8000000.0
2003-04-24,2239,2303,2221,2230,24849,19600.0,8000000.0
2003-04-25,2212,2230,2139,2139,17954,18800.0,8000000.0
2003-04-28,2003,2185,2003,2184,17620,19200.0,8000000.0
2003-04-29,2194,2349,2185,2312,22301,20320.0,8000000.0
2003-04-30,2321,2440,2248,2257,35973,19840.0,8000000.0
2003-05-02,2330,2512,2276,2384,76160,20960.0,8000000.0
2003-05-06,2376,2503,2358,2366,64465,20800.0,8000000.0
2003-05-07,2394,2522,2276,2357,91634,20720.0,8000000.0
2003-05-09,2294,2421,2221,2266,122323,19920.0,8000000.0
2003-05-12,2267,2303,2185,2193,138085,19280.0,8000000.0
2003-05-13,2167,2221,2094,2093,101880,18400.0,8000000.0
2003-05-14,2112,2130,2003,2002,162000,17600.0,8000000.0
2003-05-15,2021,2176,1957,2093,684788,18400.0,8000000.0
2003-05-16,2176,2339,2139,2312,706762,20320.0,8000000.0
2003-05-19,2294,2376,2267,2312,198395,20320.0,8000000.0
2003-05-20,2230,2303,2230,2257,155059,19840.0,8000000.0
2003-05-21,2312,2522,2285,2457,491844,21600.0,8000000.0
2003-05-22,2412,2622,2385,2494,379872,21920.0,8000000.0
2003-05-23,2512,2540,2421,2494,172973,21920.0,8000000.0
2003-05-26,2549,2549,2430,2430,223985,21360.0,8000000.0
2003-05-27,2458,2494,2367,2421,196605,21280.0,8000000.0
2003-05-28,2449,2704,2430,2703,760706,23760.0,8000000.0
2003-05-29,2749,2968,2622,2776,919026,24400.0,8000000.0
2003-05-30,2776,2776,2631,2721,124089,23920.0,8000000.0
2003-06-02,2694,2776,2631,2639,136856,23200.0,8000000.0
2003-06-03,2594,2622,2458,2603,180499,22880.0,8000000.0
2003-06-04,2567,2913,2558,2903,146961,25520.0,8000000.0
2003-06-05,2776,2858,2722,2721,156313,23920.0,8000000.0
2003-06-09,2685,2704,2576,2594,100767,22800.0,8000000.0
2003-06-10,2594,2694,2549,2548,62752,22400.0,8000000.0
2003-06-11,2567,2694,2549,2612,174236,22960.0,8000000.0
2003-06-12,2649,2704,2540,2585,82065,22720.0,8000000.0
2003-06-13,2613,2740,2558,2630,206330,23120.0,8000000.0
2003-06-16,2685,2795,2640,2712,272803,23840.0,8000000.0
2003-06-17,2776,2822,2640,2712,204561,23840.0,8000000.0
2003-06-18,2713,2758,2649,2648,89214,23280.0,8000000.0
2003-06-19,2758,2758,2531,2603,118043,22880.0,8000000.0
2003-06-20,2603,2704,2485,2512,238154,22080.0,8000000.0
2003-06-23,2467,2540,2458,2485,60655,21840.0,8000000.0
2003-06-24,2394,2567,2394,2503,68171,22000.0,8000000.0
2003-06-25,2567,2567,2476,2548,27288,22400.0,8000000.0
2003-06-26,2494,2576,2467,2476,20965,21760.0,8000000.0
2003-06-27,2476,2549,2458,2521,14288,22160.0,8000000.0
2003-06-30,2476,2531,2458,2466,25771,21680.0,8000000.0
2003-07-01,2467,2512,2412,2412,32498,21200.0,8000000.0
2003-07-02,2394,2449,2376,2448,75315,21520.0,8000000.0
2003-07-03,2503,2512,2430,2439,55023,21440.0,8000000.0
2003-07-04,2412,2458,2394,2457,37730,21600.0,8000000.0
2003-07-07,2458,2522,2430,2439,53539,21440.0,8000000.0
2003-07-08,2467,2585,2385,2539,144709,22320.0,8000000.0
2003-07-09,2558,2722,2512,2603,594746,22880.0,8000000.0
2003-07-10,2649,2676,2558,2639,89872,23200.0,8000000.0
2003-07-11,2576,2631,2540,2603,81914,22880.0,8000000.0
2003-07-14,2603,2649,2449,2448,150215,21520.0,8000000.0
2003-07-15,2458,2594,2412,2503,148087,22000.0,8000000.0
2003-07-16,2503,2549,2458,2476,77480,21760.0,8000000.0
2003-07-18,2458,2531,2403,2421,27298,21280.0,8000000.0
2003-07-21,2449,2512,2385,2394,49547,21040.0,8000000.0
2003-07-22,2349,2467,2349,2366,60332,20800.0,8000000.0
2003-07-23,2394,2512,2394,2503,58341,22000.0,8000000.0
2003-07-24,2512,2690,2512,2626,311133,23080.0,8000000.0
2003-07-25,2622,2749,2617,2667,209459,23440.0,8000000.0
2003-07-28,2740,2781,2640,2730,365255,24000.0,8000000.0
2003-07-29,2731,2822,2667,2721,195300,23920.0,8000000.0
2003-07-30,2676,2731,2576,2585,69945,22720.0,8000000.0
2003-07-31,2567,2895,2567,2894,436269,25440.0,8000000.0
2003-08-01,2949,3218,2895,3113,751563,27360.0,8000000.0
2003-08-04,3095,3250,3004,3186,401857,28000.0,8000000.0
2003-08-05,3150,3505,3150,3368,368126,29600.0,8000000.0
2003-08-06,3450,3477,3304,3413,154404,30000.0,8000000.0
2003-08-07,3350,3709,3295,3577,582705,31440.0,8000000.0
2003-08-08,3577,3678,3477,3495,140559,30720.0,8000000.0
2003-08-11,3468,3468,3277,3459,219723,30400.0,8000000.0
2003-08-12,3423,3577,3414,3440,247506,30240.0,8000000.0
2003-08-13,3523,3550,3186,3322,374505,29200.0,8000000.0
2003-08-14,3332,3386,3095,3336,306119,29320.0,8000000.0
2003-08-18,3368,3368,3232,3349,131608,29440.0,8000000.0
2003-08-19,3350,3459,3259,3386,197848,29760.0,8000000.0
2003-08-20,3432,3791,3432,3791,309787,33320.0,8000000.0
2003-08-21,3987,4096,3550,3550,370049,31200.0,8000000.0
2003-08-22,3591,3609,3323,3381,174160,29720.0,8000000.0
2003-08-25,3327,3477,3327,3409,89448,29960.0,8000000.0
2003-08-26,3368,3441,3368,3395,59482,29840.0,8000000.0
2003-08-27,3377,3477,3373,3418,66684,30040.0,8000000.0
2003-08-28,3414,3532,3359,3445,123647,30280.0,8000000.0
2003-08-29,3514,3714,3423,3595,181890,31600.0,8000000.0
2003-09-01,3641,3682,3518,3518,156602,30920.0,8000000.0
2003-09-02,3523,3641,3200,3336,345635,29320.0,8000000.0
2003-09-03,3336,3336,3141,3267,110318,28720.0,8000000.0
2003-09-04,3268,3268,3113,3131,132375,27520.0,8000000.0
2003-09-05,3068,3104,2977,2976,162943,26160.0,8000000.0
2003-09-08,3050,3050,2895,2958,51254,26000.0,8000000.0
2003-09-09,2867,3004,2867,2985,55430,26240.0,8000000.0
2003-09-15,3022,3095,2913,3003,39356,26400.0,8000000.0
2003-09-16,2968,3059,2931,2963,14954,26040.0,8000000.0
2003-09-17,3040,3040,2927,2967,39874,26080.0,8000000.0
2003-09-18,2922,2968,2685,2821,73554,24800.0,8000000.0
2003-09-19,2867,2867,2713,2803,33705,24640.0,8000000.0
2003-09-22,2735,2735,2471,2530,174527,22240.0,8000000.0
2003-09-23,2558,2590,2471,2530,10983,22240.0,8000000.0
2003-09-24,2508,2594,2508,2539,13180,22320.0,8000000.0
2003-09-25,2508,2549,2440,2548,24996,22400.0,8000000.0
2003-09-26,2640,2640,2449,2521,50252,22160.0,8000000.0
2003-09-29,2440,2567,2403,2439,18956,21440.0,8000000.0
2003-09-30,2508,2567,2176,2548,71721,22400.0,8000000.0
2003-10-01,2549,2594,2417,2576,15561,22640.0,8000000.0
2003-10-02,2594,2594,2503,2521,6657,22160.0,8000000.0
2003-10-06,2640,2640,2412,2548,13231,22400.0,8000000.0
2003-10-07,2512,2594,2503,2548,9119,22400.0,8000000.0
2003-10-08,2512,2585,2494,2503,11860,22000.0,8000000.0
2003-10-09,2531,2531,2412,2507,14809,22040.0,8000000.0
2003-10-10,2508,2549,2426,2507,17429,22040.0,8000000.0
2003-10-13,2512,2622,2458,2621,38905,23040.0,8000000.0
2003-10-14,2631,2631,2503,2603,13461,22880.0,8000000.0
2003-10-15,2576,2603,2462,2567,25005,22560.0,8000000.0
2003-10-16,2594,2613,2531,2530,10003,22240.0,8000000.0
2003-10-17,2549,2831,2549,2548,13337,22400.0,8000000.0
2003-10-20,2549,2822,2549,2557,34465,22480.0,8000000.0
2003-10-21,2640,2731,2544,2639,35948,23200.0,8000000.0
2003-10-22,2685,2767,2613,2730,37976,24000.0,8000000.0
2003-10-23,2694,2822,2649,2721,25020,23920.0,8000000.0
2003-10-24,2722,2822,2667,2717,7728,23880.0,8000000.0
2003-10-27,2676,2772,2608,2648,25462,23280.0,8000000.0
2003-10-28,2740,2740,2549,2730,31064,24000.0,8000000.0
2003-10-29,2722,2731,2603,2708,4020,23800.0,8000000.0
2003-10-30,2713,2713,2613,2712,2597,23840.0,8000000.0
2003-10-31,2722,2722,2458,2685,1676,23600.0,8000000.0
2003-11-03,2572,2694,2476,2507,27862,22040.0,8000000.0
2003-11-04,2476,2581,2367,2498,32435,21960.0,8000000.0
2003-11-05,2453,2549,2412,2548,3278,22400.0,8000000.0
2003-11-06,2440,2531,2321,2457,42141,21600.0,8000000.0
2003-11-07,2421,2458,2285,2412,25738,21200.0,8000000.0
2003-11-10,2503,2503,2321,2362,12189,20760.0,8000000.0
2003-11-11,2303,2367,2267,2366,34449,20800.0,8000000.0
2003-11-12,2485,2485,2326,2384,7676,20960.0,8000000.0
2003-11-13,2321,2399,2285,2362,17745,20760.0,8000000.0
2003-11-14,2412,2412,2276,2298,31014,20200.0,8000000.0
2003-11-17,2276,2503,2276,2348,12151,20640.0,8000000.0
2003-11-18,2303,2430,2276,2430,40268,21360.0,8000000.0
2003-11-19,2380,2485,2380,2435,3511,21400.0,8000000.0
2003-11-20,2299,2458,2299,2407,6202,21160.0,8000000.0
2003-11-21,2403,2403,2280,2348,5662,20640.0,8000000.0
2003-11-24,2294,2326,2230,2321,6623,20400.0,8000000.0
2003-11-25,2276,2503,2044,2307,61781,20280.0,8000000.0
2003-11-26,2308,2430,2230,2298,28691,20200.0,8000000.0
2003-11-27,2358,2358,2194,2303,14253,20240.0,8000000.0
2003-11-28,2239,2303,2212,2239,7733,19680.0,8000000.0
2003-12-01,2239,2267,2176,2257,19889,19840.0,8000000.0
2003-12-02,2289,2289,2217,2275,5712,20000.0,8000000.0
2003-12-03,2303,2303,2230,2230,2611,19600.0,8000000.0
2003-12-04,2267,2267,2203,2257,7412,19840.0,8000000.0
2003-12-05,2267,2267,2203,2257,5775,19840.0,8000000.0
2003-12-08,2267,2271,2194,2271,24002,19960.0,8000000.0
2003-12-09,2267,2308,2203,2307,27825,20280.0,8000000.0
2003-12-10,2308,2494,2289,2430,109013,21360.0,8000000.0
2003-12-11,2412,2481,2367,2457,35064,21600.0,8000000.0
2003-12-12,2531,2531,2394,2457,35742,21600.0,8000000.0
2003-12-15,2421,2540,2412,2457,18481,21600.0,8000000.0
2003-12-16,2449,2467,2344,2366,91332,20800.0,8000000.0
2003-12-17,2617,2617,2276,2430,160227,21360.0,8000000.0
2003-12-18,2517,2517,2367,2457,54877,21600.0,8000000.0
2003-12-19,2458,2549,2458,2503,37384,22000.0,8000000.0
2003-12-22,2376,2512,2376,2457,24258,21600.0,8000000.0
2003-12-23,2572,2572,2440,2457,23145,21600.0,8000000.0
2003-12-24,2476,2476,2421,2421,23354,21280.0,8000000.0
2003-12-26,2458,2458,2412,2425,22175,21320.0,8000000.0
2003-12-29,2376,2526,2253,2457,13368,21600.0,8000000.0
2003-12-30,2531,2531,2339,2435,5752,21400.0,8000000.0
2004-01-02,2485,2485,2349,2457,8402,21600.0,8000000.0
2004-01-05,2376,2453,2376,2439,12553,21440.0,8000000.0
2004-01-06,2512,2512,2376,2448,8947,21520.0,8000000.0
2004-01-07,2421,2449,2367,2444,3710,21480.0,8000000.0
2004-01-08,2376,2440,2358,2403,7091,21120.0,8000000.0
2004-01-09,2289,2421,2285,2421,15288,21280.0,8000000.0
2004-01-12,2485,2485,2362,2439,12164,21440.0,8000000.0
2004-01-13,2467,2562,2376,2453,66641,21560.0,8000000.0
2004-01-14,2394,2403,2326,2403,18867,21120.0,8000000.0
2004-01-15,2426,2426,2321,2403,2446,21120.0,8000000.0
2004-01-16,2367,2421,2321,2366,6866,20800.0,8000000.0
2004-01-19,2330,2399,2230,2398,10469,21080.0,8000000.0
2004-01-20,2362,2367,2285,2366,10055,20800.0,8000000.0
2004-01-26,2362,2385,2358,2375,1362,20880.0,8000000.0
2004-01-27,2412,2412,2194,2357,2408,20720.0,8000000.0
2004-01-28,2321,2367,2258,2366,8222,20800.0,8000000.0
2004-01-29,2412,2412,2276,2357,14154,20720.0,8000000.0
2004-01-30,2321,2503,2321,2485,131841,21840.0,8000000.0
2004-02-02,2458,2494,2412,2448,43143,21520.0,8000000.0
2004-02-03,2490,2490,2321,2348,20865,20640.0,8000000.0
2004-02-04,2294,2390,2276,2389,49105,21000.0,8000000.0
2004-02-05,2299,2449,2299,2366,18794,20800.0,8000000.0
2004-02-06,2394,2394,2294,2298,20140,20200.0,8000000.0
2004-02-09,2248,2367,2239,2357,3980,20720.0,8000000.0
2004-02-10,2358,2399,2239,2275,12736,20000.0,8000000.0
2004-02-11,2321,2321,2203,2293,28846,20160.0,8000000.0
2004-02-12,2294,2367,2235,2293,21360,20160.0,8000000.0
2004-02-13,2262,2349,2262,2293,9233,20160.0,8000000.0
2004-02-16,2276,2299,2212,2284,28378,20080.0,8000000.0
2004-02-17,2285,2321,2230,2321,14530,20400.0,8000000.0
2004-02-18,2430,2430,2303,2348,29344,20640.0,8000000.0
2004-02-19,2294,2321,2230,2316,23563,20360.0,8000000.0
2004-02-20,2217,2312,2217,2293,6994,20160.0,8000000.0
2004-02-23,2244,2321,2198,2293,41859,20160.0,8000000.0
2004-02-24,2230,2285,2194,2202,4729,19360.0,8000000.0
2004-02-25,2198,2271,2198,2266,2825,19920.0,8000000.0
2004-02-26,2267,2267,2194,2248,8123,19760.0,8000000.0
2004-02-27,2267,2267,2167,2257,8604,19840.0,8000000.0
2004-03-02,2198,2235,2148,2212,15101,19440.0,8000000.0
2004-03-03,2180,2230,2157,2212,12436,19440.0,8000000.0
2004-03-04,2180,2221,2148,2221,37336,19520.0,8000000.0
2004-03-05,2171,2212,2171,2198,7301,19320.0,8000000.0
2004-03-08,2267,2267,2176,2212,10401,19440.0,8000000.0
2004-03-09,2185,2221,2144,2212,7649,19440.0,8000000.0
2004-03-10,2207,2207,2144,2184,8751,19200.0,8000000.0
2004-03-11,2139,2230,2121,2193,16960,19280.0,8000000.0
2004-03-12,2148,2176,2066,2148,20488,18880.0,8000000.0
2004-03-15,2144,2180,2103,2148,4174,18880.0,8000000.0
2004-03-16,2126,2126,2062,2120,21074,18640.0,8000000.0
2004-03-17,2148,2157,2094,2093,11527,18400.0,8000000.0
2004-03-18,2075,2153,2003,2093,13847,18400.0,8000000.0
2004-03-19,2094,2171,2075,2166,10634,19040.0,8000000.0
2004-03-22,2121,2162,2085,2093,26618,18400.0,8000000.0
2004-03-23,2185,2185,2066,2139,3349,18800.0,8000000.0
2004-03-24,2107,2107,2075,2075,27846,18240.0,8000000.0
2004-03-25,2135,2135,2048,2111,23993,18560.0,8000000.0
2004-03-26,2066,2203,2066,2139,35191,18800.0,8000000.0
2004-03-29,2103,2176,2080,2175,22837,19120.0,8000000.0
2004-03-30,2094,2157,2094,2139,43501,18800.0,8000000.0
2004-03-31,2098,2135,2098,2130,1003,18720.0,8000000.0
2004-04-01,2157,2157,2075,2148,12231,18880.0,8000000.0
2004-04-02,2185,2185,2121,2175,7229,19120.0,8000000.0
2004-04-06,2194,2349,2112,2348,64646,20640.0,8000000.0
2004-04-07,2280,2358,2276,2357,13019,20720.0,8000000.0
2004-04-08,2321,2376,2276,2371,28743,20840.0,8000000.0
2004-04-09,2367,2367,2276,2316,13768,20360.0,8000000.0
2004-04-12,2344,2344,2276,2321,11331,20400.0,8000000.0
2004-04-13,2258,2339,2248,2339,27182,20560.0,8000000.0
2004-04-14,2285,2339,2276,2339,14132,20560.0,8000000.0
2004-04-16,2303,2303,2267,2289,18121,20120.0,8000000.0
2004-04-19,2253,2317,2217,2303,12203,20240.0,8000000.0
2004-04-20,2317,2317,2235,2293,23291,20160.0,8000000.0
2004-04-21,2267,2312,2258,2312,9112,20320.0,8000000.0
2004-04-22,2276,2344,2276,2344,15228,20600.0,8000000.0
2004-04-23,2367,2458,2312,2457,21568,21600.0,8000000.0
2004-04-26,2412,2503,2412,2462,24928,21640.0,8000000.0
2004-04-27,2453,2453,2385,2448,7753,21520.0,8000000.0
2004-04-28,2458,2458,2362,2362,12923,20760.0,8000000.0
2004-04-29,2349,2412,2248,2375,9665,20880.0,8000000.0
2004-04-30,2367,2367,2303,2366,5837,20800.0,8000000.0
2004-05-03,2367,2476,2367,2398,52613,21080.0,8000000.0
2004-05-04,2371,2440,2203,2375,33118,20880.0,8000000.0
2004-05-06,2430,2430,2276,2366,23763,20800.0,8000000.0
2004-05-07,2294,2367,2285,2366,11381,20800.0,8000000.0
2004-05-10,2294,2412,2085,2139,12116,18800.0,8000000.0
2004-05-11,1966,2276,1966,2184,31531,19200.0,8000000.0
2004-05-12,2103,2258,2103,2257,9304,19840.0,8000000.0
2004-05-13,2258,2321,2198,2280,14943,20040.0,8000000.0
2004-05-14,2203,2303,2203,2303,11588,20240.0,8000000.0
2004-05-17,2330,2330,2148,2234,9976,19640.0,8000000.0
2004-05-18,2012,2221,2012,2184,10512,19200.0,8000000.0
2004-05-19,2321,2321,2189,2293,8353,20160.0,8000000.0
2004-05-20,2321,2321,2021,2184,14388,19200.0,8000000.0
2004-05-21,2230,2276,2185,2275,13030,20000.0,8000000.0
2004-05-24,2412,2412,2230,2316,17543,20360.0,8000000.0
2004-05-25,2230,2344,2230,2321,1809,20400.0,8000000.0
2004-05-27,2321,2380,2267,2280,6331,20040.0,8000000.0
2004-05-28,2367,2367,2244,2284,18002,20080.0,8000000.0
2004-05-31,2321,2321,2253,2293,3000,20160.0,8000000.0
2004-06-01,2248,2294,2239,2248,18086,19760.0,8000000.0
2004-06-02,2276,2494,2276,2471,129159,21720.0,8000000.0
2004-06-03,2467,2467,2321,2357,49332,20720.0,8000000.0
2004-06-04,2399,2399,2267,2280,30477,20040.0,8000000.0
2004-06-07,2353,2353,2244,2275,10752,20000.0,8000000.0
2004-06-08,2226,2276,2203,2275,15648,20000.0,8000000.0
2004-06-09,2294,2294,2203,2275,23524,20000.0,8000000.0
2004-06-10,2312,2312,2239,2303,3974,20240.0,8000000.0
2004-06-11,2276,2312,2185,2193,6028,19280.0,8000000.0
2004-06-14,2271,2271,2012,2239,14538,19680.0,8000000.0
2004-06-15,2139,2253,2075,2252,5314,19800.0,8000000.0
2004-06-16,2107,2239,2107,2130,5544,18720.0,8000000.0
2004-06-17,2185,2185,2107,2184,2500,19200.0,8000000.0
2004-06-18,2248,2248,2185,2239,5098,19680.0,8000000.0
2004-06-21,2185,2271,2121,2120,3682,18640.0,8000000.0
2004-06-22,2248,2248,2130,2139,3373,18800.0,8000000.0
2004-06-23,2107,2221,2107,2221,2655,19520.0,8000000.0
2004-06-24,2262,2262,2226,2239,3010,19680.0,8000000.0
2004-06-25,2258,2258,2153,2184,1277,19200.0,8000000.0
2004-06-28,2271,2330,2203,2239,7297,19680.0,8000000.0
2004-06-29,2312,2312,2198,2243,2589,19720.0,8000000.0
2004-06-30,2253,2312,2157,2312,33064,20320.0,8000000.0
2004-07-01,2221,2308,2221,2275,2312,20000.0,8000000.0
2004-07-02,2194,2294,2167,2239,4356,19680.0,8000000.0
2004-07-05,2185,2262,2144,2171,1749,19080.0,8000000.0
2004-07-06,2258,2258,2185,2216,623,19480.0,8000000.0
2004-07-07,2230,2230,2094,2175,1198,19120.0,8000000.0
2004-07-08,2230,2230,2094,2207,7097,19400.0,8000000.0
2004-07-09,2153,2244,2148,2184,10608,19200.0,8000000.0
2004-07-12,2230,2230,2116,2184,598,19200.0,8000000.0
2004-07-13,2267,2267,2139,2202,3280,19360.0,8000000.0
2004-07-14,2244,2244,2185,2184,1501,19200.0,8000000.0
2004-07-15,2185,2185,2103,2166,6243,19040.0,8000000.0
2004-07-16,2176,2176,2139,2139,6703,18800.0,8000000.0
2004-07-19,2167,2167,2103,2102,6454,18480.0,8000000.0
2004-07-20,2258,2258,2112,2175,3715,19120.0,8000000.0
2004-07-21,2139,2244,2053,2102,5705,18480.0,8000000.0
2004-07-22,2048,2153,2048,2093,9210,18400.0,8000000.0
2004-07-23,2075,2116,2003,2093,4815,18400.0,8000000.0
2004-07-26,2089,2248,2089,2107,7999,18520.0,8000000.0
2004-07-27,2107,2167,2066,2093,5009,18400.0,8000000.0
2004-07-28,2276,2276,2075,2111,1034,18560.0,8000000.0
2004-07-29,2230,2230,2089,2093,4099,18400.0,8000000.0
2004-07-30,2062,2094,2021,2093,1916,18400.0,8000000.0
2004-08-02,2085,2094,2025,2093,1301,18400.0,8000000.0
2004-08-03,2048,2344,2048,2257,9990,19840.0,8000000.0
2004-08-04,2321,2321,2085,2093,7290,18400.0,8000000.0
2004-08-05,2185,2185,2094,2102,6222,18480.0,8000000.0
2004-08-06,2139,2139,2053,2057,2306,18080.0,8000000.0
2004-08-09,2139,2139,2075,2130,1271,18720.0,8000000.0
2004-08-10,2230,2230,2075,2075,3255,18240.0,8000000.0
2004-08-11,2075,2226,2057,2093,6416,18400.0,8000000.0
2004-08-12,2085,2148,2085,2102,15660,18480.0,8000000.0
2004-08-13,2103,2103,2094,2093,5305,18400.0,8000000.0
2004-08-16,2230,2230,2021,2093,7604,18400.0,8000000.0
2004-08-17,2130,2130,2094,2093,20,18400.0,8000000.0
2004-08-18,2089,2094,2075,2089,425,18360.0,8000000.0
2004-08-19,2139,2139,2048,2093,1460,18400.0,8000000.0
2004-08-20,2062,2094,2048,2093,4576,18400.0,8000000.0
2004-08-23,2089,2103,2062,2093,4280,18400.0,8000000.0
2004-08-24,2071,2094,2071,2093,6292,18400.0,8000000.0
2004-08-25,2094,2121,2094,2120,2549,18640.0,8000000.0
2004-08-26,2176,2176,2071,2134,9171,18760.0,8000000.0
2004-08-27,2139,2157,2094,2093,2250,18400.0,8000000.0
2004-08-30,2094,2094,2085,2093,2931,18400.0,8000000.0
2004-08-31,2094,2103,2071,2098,6471,18440.0,8000000.0
2004-09-01,2094,2098,2094,2098,4470,18440.0,8000000.0
2004-09-02,2130,2130,2075,2093,9707,18400.0,8000000.0
2004-09-03,2094,2094,2030,2029,236,17840.0,8000000.0
2004-09-06,2130,2139,2062,2093,8567,18400.0,8000000.0
2004-09-07,1852,2171,1852,2093,3591,18400.0,8000000.0
2004-09-08,2094,2339,2094,2107,12833,18520.0,8000000.0
2004-09-09,2139,2203,2094,2193,20465,19280.0,8000000.0
2004-09-10,2185,2248,2103,2221,4849,19520.0,8000000.0
2004-09-13,2239,2267,2103,2193,6232,19280.0,8000000.0
2004-09-14,2139,2203,2121,2202,21931,19360.0,8000000.0
2004-09-15,2198,2203,2121,2180,4698,19160.0,8000000.0
2004-09-16,2139,2180,2130,2180,496,19160.0,8000000.0
2004-09-17,2176,2176,2098,2139,6889,18800.0,8000000.0
2004-09-20,2148,2157,2075,2143,2715,18840.0,8000000.0
2004-09-21,2312,2312,2121,2125,7571,18680.0,8000000.0
2004-09-22,2380,2380,2112,2143,15008,18840.0,8000000.0
2004-09-23,2053,2139,2053,2139,8622,18800.0,8000000.0
2004-09-24,2258,2258,2098,2171,16823,19080.0,8000000.0
2004-09-30,2421,2421,2016,2098,12636,18440.0,8000000.0
2004-10-01,2157,2157,2089,2120,6981,18640.0,8000000.0
2004-10-04,2130,2130,2121,2120,6878,18640.0,8000000.0
2004-10-05,2126,2126,2103,2111,746,18560.0,8000000.0
