신신제약(002800),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-08-22,7280,7280,7150,7170,82519,108772.0,15170500.0
2017-08-23,7200,7360,7150,7180,98117,108924.0,15170500.0
2017-08-24,7160,7300,7160,7260,87595,110138.0,15170500.0
2017-08-25,7260,7270,7010,7070,154432,107255.0,15170500.0
2017-08-28,7080,7240,7080,7180,92112,108924.0,15170500.0
2017-08-29,7180,7230,7120,7190,88449,109076.0,15170500.0
2017-08-30,7210,7280,7130,7140,100439,108317.0,15170500.0
2017-08-31,7190,7350,7150,7150,142105,108469.0,15170500.0
2017-09-01,7190,7240,7140,7190,95400,109076.0,15170500.0
2017-09-04,6900,7110,6890,7050,107261,106952.0,15170500.0
2017-09-05,7040,7090,6980,7020,88186,106497.0,15170500.0
2017-09-06,7020,7030,6920,6930,91589,105132.0,15170500.0
2017-09-07,6930,7020,6920,6930,56027,105132.0,15170500.0
2017-09-08,7090,7090,6890,6910,59243,104828.0,15170500.0
2017-09-11,6910,7000,6450,6480,411955,98305.0,15170500.0
2017-09-12,6480,6570,6400,6480,152111,98305.0,15170500.0
2017-09-13,6500,6540,6220,6240,241861,94664.0,15170500.0
2017-09-14,6210,6500,6190,6490,168328,98457.0,15170500.0
2017-09-15,6530,6680,6350,6380,108546,96788.0,15170500.0
2017-09-18,6360,6450,6330,6390,79628,96939.0,15170500.0
2017-09-19,6420,6430,6320,6320,71108,95878.0,15170500.0
2017-09-20,6330,6580,6240,6240,230160,94664.0,15170500.0
2017-09-21,6390,6390,6190,6220,80237,94361.0,15170500.0
2017-09-22,6190,6250,5900,6040,210510,91630.0,15170500.0
2017-09-25,5900,6030,5600,5650,222136,85713.0,15170500.0
2017-09-26,5480,5790,5480,5680,97661,86168.0,15170500.0
2017-09-27,5680,5860,5680,5770,130133,87534.0,15170500.0
2017-09-28,5950,5950,5720,5720,60480,86775.0,15170500.0
2017-09-29,5850,5850,5690,5750,72647,87230.0,15170500.0
2017-10-10,5750,5840,5690,5790,78244,87837.0,15170500.0
2017-10-11,5720,6020,5720,5950,185213,90264.0,15170500.0
2017-10-12,6070,6070,5930,5950,67723,90264.0,15170500.0
2017-10-13,5950,6190,5890,5890,141544,89354.0,15170500.0
2017-10-16,5900,5940,5770,5780,58427,87685.0,15170500.0
2017-10-17,5840,5960,5800,5860,49405,88899.0,15170500.0
2017-10-18,5880,6190,5850,6050,191757,91782.0,15170500.0
2017-10-19,6050,6260,6050,6060,164868,91933.0,15170500.0
2017-10-20,6060,6110,5970,6050,51374,91782.0,15170500.0
2017-10-23,6080,6150,5970,6030,181091,91478.0,15170500.0
2017-10-24,6470,6630,6190,6190,849024,93905.0,15170500.0
2017-10-25,6220,6370,6090,6200,387524,94057.0,15170500.0
2017-10-26,6160,6270,6030,6040,138234,91630.0,15170500.0
2017-10-27,6030,6180,6020,6140,126396,93147.0,15170500.0
2017-10-30,6160,6220,6030,6080,133917,92237.0,15170500.0
2017-10-31,6100,6200,6070,6090,100026,92388.0,15170500.0
2017-11-01,6120,6440,6120,6390,569105,96939.0,15170500.0
2017-11-02,6600,8300,6550,7580,14642273,114992.0,15170500.0
2017-11-03,7440,7450,7250,7450,1813654,113020.0,15170500.0
2017-11-06,7430,7430,7100,7160,990844,108621.0,15170500.0
2017-11-07,7220,8160,7170,7450,6818411,113020.0,15170500.0
2017-11-08,7550,7980,7470,7610,2806806,115448.0,15170500.0
2017-11-09,7780,8600,7540,7950,6976066,120605.0,15170500.0
2017-11-10,8010,8480,7970,8070,2887434,122426.0,15170500.0
2017-11-13,8070,8110,7800,7960,951855,120757.0,15170500.0
2017-11-14,8000,8130,7710,7760,1041681,117723.0,15170500.0
2017-11-15,7790,8090,7400,7500,1240779,113779.0,15170500.0
2017-11-16,7600,7730,7390,7700,590104,116813.0,15170500.0
2017-11-17,7740,7740,7500,7510,402373,113930.0,15170500.0
2017-11-20,7570,8160,7500,8080,1834348,122578.0,15170500.0
2017-11-21,8130,8130,7820,7890,996118,119695.0,15170500.0
2017-11-22,7970,8030,7350,7510,671948,113930.0,15170500.0
2017-11-23,7550,7690,7320,7550,295925,114537.0,15170500.0
2017-11-24,7670,8170,7510,7690,1667155,116661.0,15170500.0
2017-11-27,7700,8090,7700,7830,765596,118785.0,15170500.0
2017-11-28,7850,8010,7700,7710,475776,116965.0,15170500.0
2017-11-29,7720,7920,7720,7790,274442,118178.0,15170500.0
2017-11-30,7890,8140,7780,7790,858983,118178.0,15170500.0
2017-12-01,7870,8100,7780,8020,731892,121667.0,15170500.0
2017-12-04,8100,8900,8050,8130,3578935,123336.0,15170500.0
2017-12-05,8180,8210,7820,7940,554381,120454.0,15170500.0
2017-12-06,8040,8110,7470,7470,679799,113324.0,15170500.0
2017-12-07,7570,7570,7060,7170,389967,108772.0,15170500.0
2017-12-08,7110,7360,7000,7200,256523,109228.0,15170500.0
2017-12-11,7140,7340,6980,7270,136670,110290.0,15170500.0
2017-12-12,7350,7440,7270,7410,196552,112413.0,15170500.0
2017-12-13,7470,7610,7450,7510,215120,113930.0,15170500.0
2017-12-14,7610,7640,7360,7430,190621,112717.0,15170500.0
2017-12-15,7430,7600,7390,7470,138390,113324.0,15170500.0
2017-12-18,7420,7540,7240,7240,187105,109834.0,15170500.0
2017-12-19,7270,7270,6910,7110,258992,107862.0,15170500.0
2017-12-20,7170,7220,7050,7050,132318,106952.0,15170500.0
2017-12-21,7010,7150,6810,6810,144565,103311.0,15170500.0
2017-12-22,6750,7050,6750,7020,98424,106497.0,15170500.0
2017-12-26,7030,7340,7030,7100,123678,107711.0,15170500.0
2017-12-27,7100,7410,7100,7320,161900,111048.0,15170500.0
2017-12-28,7330,7540,7320,7500,203056,113779.0,15170500.0
2018-01-02,7460,7720,7460,7700,258166,116813.0,15170500.0
2018-01-03,7820,7890,7660,7700,334332,116813.0,15170500.0
2018-01-04,7800,7800,7500,7510,178474,113930.0,15170500.0
2018-01-05,7460,7720,7460,7660,173864,116206.0,15170500.0
2018-01-08,7690,7890,7530,7890,497510,119695.0,15170500.0
2018-01-09,7930,8020,7680,7730,354429,117268.0,15170500.0
2018-01-10,7770,7880,7540,7620,238612,115599.0,15170500.0
2018-01-11,7670,7980,7530,7980,327131,121061.0,15170500.0
2018-01-12,8100,10350,7900,10350,6250558,157015.0,15170500.0
2018-01-15,11000,11450,9760,10200,9000264,154739.0,15170500.0
2018-01-16,10100,11450,10000,10400,8146955,157773.0,15170500.0
2018-01-17,10250,10800,10100,10600,2762794,160807.0,15170500.0
2018-01-18,10600,10850,10150,10750,1873757,163083.0,15170500.0
2018-01-19,11500,13950,11100,11650,14685695,176736.0,15170500.0
2018-01-22,11500,11650,10900,11300,2096030,171427.0,15170500.0
2018-01-23,11900,12600,11300,11300,4207351,171427.0,15170500.0
2018-01-24,11800,11900,11350,11700,1530683,177495.0,15170500.0
2018-01-25,11550,11750,11250,11700,974169,177495.0,15170500.0
2018-01-26,12000,12150,11550,11700,1101902,177495.0,15170500.0
2018-01-29,11850,11850,11300,11500,764591,174461.0,15170500.0
2018-01-30,11450,13950,11150,12150,11486990,184322.0,15170500.0
2018-01-31,11900,12800,11750,12350,2789273,187356.0,15170500.0
2018-02-01,12450,12750,11500,11600,1565276,175978.0,15170500.0
2018-02-02,11550,11650,10950,11150,921000,169151.0,15170500.0
2018-02-05,10750,13750,10700,11400,10948530,172944.0,15170500.0
2018-02-06,11100,12500,10100,11500,4772852,174461.0,15170500.0
2018-02-07,11950,12900,11300,11500,4231123,174461.0,15170500.0
2018-02-08,11800,12600,11600,12600,2577819,191148.0,15170500.0
2018-02-09,13300,14700,12700,13800,13120346,209353.0,15170500.0
2018-02-12,14400,14500,13150,13350,3531489,202526.0,15170500.0
2018-02-13,13350,13900,12100,12350,2768755,187356.0,15170500.0
2018-02-14,12700,13900,12500,13650,5340427,207077.0,15170500.0
2018-02-19,13200,13350,12750,13200,1650230,200251.0,15170500.0
2018-02-20,13450,13600,12700,12800,1959046,194182.0,15170500.0
2018-02-21,12800,13300,12750,13000,1440846,197216.0,15170500.0
2018-02-22,12950,13050,12500,12700,749031,192665.0,15170500.0
2018-02-23,12850,12850,12050,12150,550678,184322.0,15170500.0
2018-02-26,12200,12350,11600,11700,499555,177495.0,15170500.0
2018-02-27,11900,12550,11850,12050,901605,182805.0,15170500.0
2018-02-28,12050,12100,11350,11400,496060,172944.0,15170500.0
2018-03-02,11200,11750,11000,11400,407785,172944.0,15170500.0
2018-03-05,11450,11550,10900,10900,337626,165358.0,15170500.0
2018-03-06,11100,11300,10750,11300,362059,171427.0,15170500.0
2018-03-07,11250,11800,11000,11050,525859,167634.0,15170500.0
2018-03-08,11200,11450,11100,11350,217769,172185.0,15170500.0
2018-03-09,11350,11600,11200,11450,396209,173702.0,15170500.0
2018-03-12,11600,12350,11600,12050,1318019,182805.0,15170500.0
2018-03-13,12150,12150,11600,11800,406300,179012.0,15170500.0
2018-03-14,12000,12800,11950,12400,2377750,188114.0,15170500.0
2018-03-15,12300,12550,12100,12450,654251,188873.0,15170500.0
2018-03-16,12900,13050,12450,12450,1258560,188873.0,15170500.0
2018-03-19,12350,12350,11900,11950,478476,181287.0,15170500.0
2018-03-20,11650,12650,11650,12100,1057985,183563.0,15170500.0
2018-03-21,12300,12350,11950,12250,530847,185839.0,15170500.0
2018-03-22,12400,12650,11850,12000,1313881,182046.0,15170500.0
2018-03-23,11750,11950,11150,11250,539643,170668.0,15170500.0
2018-03-26,11200,11500,10650,11250,460761,170668.0,15170500.0
2018-03-27,11550,11650,11300,11450,352028,173702.0,15170500.0
2018-03-28,11200,11750,11150,11500,414283,174461.0,15170500.0
2018-03-29,11650,12050,11450,11800,552133,179012.0,15170500.0
2018-03-30,11950,11950,11650,11800,330831,179012.0,15170500.0
2018-04-02,12050,12300,11700,11750,550994,178253.0,15170500.0
2018-04-03,11500,12050,11450,11800,391997,179012.0,15170500.0
2018-04-04,11850,12100,11650,12100,507142,183563.0,15170500.0
2018-04-05,12550,12900,12200,12300,2464549,186597.0,15170500.0
2018-04-06,12250,12450,11850,12000,479386,182046.0,15170500.0
2018-04-09,11900,12450,11850,12450,666542,188873.0,15170500.0
2018-04-10,12450,12750,12250,12600,842903,191148.0,15170500.0
2018-04-11,12700,12900,12300,12900,1148514,195699.0,15170500.0
2018-04-12,13300,13750,12350,12400,2071696,188114.0,15170500.0
2018-04-13,12350,12500,12000,12350,784583,187356.0,15170500.0
2018-04-16,12350,12500,12150,12400,505390,188114.0,15170500.0
2018-04-17,12300,12450,12050,12100,380461,183563.0,15170500.0
2018-04-18,12150,12300,11650,11650,520429,176736.0,15170500.0
2018-04-19,11450,12000,11100,11200,982758,169910.0,15170500.0
2018-04-20,11250,11450,11050,11300,362765,171427.0,15170500.0
2018-04-23,11200,11300,10600,10650,444035,161566.0,15170500.0
2018-04-24,10700,11050,10650,10650,345762,161566.0,15170500.0
2018-04-25,10550,10800,10300,10550,206568,160049.0,15170500.0
2018-04-26,10600,10900,10550,10700,232195,162324.0,15170500.0
2018-04-27,10700,11150,10700,10850,286759,164600.0,15170500.0
2018-04-30,10850,10850,10200,10450,322964,158532.0,15170500.0
2018-05-02,10350,10350,9830,9920,455797,150491.0,15170500.0
2018-05-03,9920,10150,9890,9890,190666,150036.0,15170500.0
2018-05-04,9990,9990,9350,9350,342599,141844.0,15170500.0
2018-05-08,9350,9660,9000,9000,261638,136534.0,15170500.0
2018-05-09,8900,9440,8860,9400,268502,142603.0,15170500.0
2018-05-10,9550,9860,9460,9690,251435,147002.0,15170500.0
2018-05-11,9690,10100,9450,9780,193706,148367.0,15170500.0
2018-05-14,9710,9730,9310,9440,186584,143210.0,15170500.0
2018-05-15,9450,9560,9270,9290,100583,140934.0,15170500.0
2018-05-16,9350,9350,8960,9040,173039,137141.0,15170500.0
2018-05-17,9050,9160,8820,8840,177262,134107.0,15170500.0
2018-05-18,8840,9100,8840,9020,130137,136838.0,15170500.0
2018-05-21,9140,9140,9020,9080,88548,137748.0,15170500.0
2018-05-23,9110,9110,8690,8750,194503,132742.0,15170500.0
2018-05-24,8760,8990,8720,8950,117462,135776.0,15170500.0
2018-05-25,8820,8970,8800,8810,135223,133652.0,15170500.0
2018-05-28,8810,8830,8500,8570,236120,130011.0,15170500.0
2018-05-29,8590,8950,8570,8700,252296,131983.0,15170500.0
2018-05-30,8610,8700,8200,8400,175089,127432.0,15170500.0
2018-05-31,8400,8430,8260,8370,92332,126977.0,15170500.0
2018-06-01,8300,8710,8300,8700,174743,131983.0,15170500.0
2018-06-04,8710,8770,8620,8650,108066,131225.0,15170500.0
2018-06-05,8650,8740,8550,8550,56222,129708.0,15170500.0
2018-06-07,8550,8720,8470,8680,76395,131680.0,15170500.0
2018-06-08,8720,8720,8540,8640,135073,131073.0,15170500.0
2018-06-11,8630,8640,8520,8520,57708,129253.0,15170500.0
2018-06-12,8470,8600,8400,8480,58839,128646.0,15170500.0
2018-06-14,8570,8570,8370,8400,47017,127432.0,15170500.0
2018-06-15,8270,8400,8060,8090,172472,122729.0,15170500.0
2018-06-18,8060,8170,7560,7580,170245,114992.0,15170500.0
2018-06-19,7580,7750,7370,7370,114716,111807.0,15170500.0
2018-06-20,7230,7640,7230,7570,147955,114841.0,15170500.0
2018-06-21,7620,7640,7400,7400,83552,112262.0,15170500.0
2018-06-22,7340,7370,7230,7370,62430,111807.0,15170500.0
2018-06-25,7270,7580,7270,7570,66338,114841.0,15170500.0
2018-06-26,7430,7560,7430,7520,43887,114082.0,15170500.0
2018-06-27,7560,8100,7550,7620,214509,115599.0,15170500.0
2018-06-28,7520,7770,7390,7400,76286,112262.0,15170500.0
2018-06-29,7330,7440,7110,7280,82110,110441.0,15170500.0
2018-07-02,7200,7350,7020,7020,71913,106497.0,15170500.0
2018-07-03,6940,7190,6870,6880,104870,104373.0,15170500.0
2018-07-04,6780,7200,6780,7040,94311,106800.0,15170500.0
2018-07-05,7050,7300,7040,7050,90379,106952.0,15170500.0
2018-07-06,7070,7240,7010,7230,57251,109683.0,15170500.0
2018-07-09,7240,7800,7240,7400,278078,112262.0,15170500.0
2018-07-10,7500,7800,7430,7600,112138,115296.0,15170500.0
2018-07-11,7520,7690,7490,7560,55667,114689.0,15170500.0
2018-07-12,7500,7800,7440,7730,113114,117268.0,15170500.0
2018-07-13,7880,7900,7730,7880,103124,119544.0,15170500.0
2018-07-16,7890,7910,7700,7770,69614,117875.0,15170500.0
2018-07-17,7700,7780,7570,7600,60137,115296.0,15170500.0
2018-07-18,7600,7610,7290,7330,73284,111200.0,15170500.0
2018-07-19,7260,7300,7140,7200,46346,109228.0,15170500.0
2018-07-20,7120,7260,7100,7170,58741,108772.0,15170500.0
2018-07-23,7120,7120,6820,6820,99621,103463.0,15170500.0
2018-07-24,6730,6950,6730,6880,52900,104373.0,15170500.0
2018-07-25,6770,6840,6610,6700,93342,101642.0,15170500.0
2018-07-26,6720,6850,6630,6760,54418,102553.0,15170500.0
2018-07-27,6760,7110,6740,7010,63264,106345.0,15170500.0
2018-07-30,6970,7060,6880,6980,37229,105890.0,15170500.0
2018-07-31,6910,7840,6910,7260,621632,110138.0,15170500.0
2018-08-01,7290,7380,7220,7260,79232,110138.0,15170500.0
2018-08-02,7410,7700,7200,7220,213369,109531.0,15170500.0
2018-08-03,7290,7370,7170,7370,49065,111807.0,15170500.0
2018-08-06,7370,7430,7300,7300,56266,110745.0,15170500.0
2018-08-07,7330,7540,7260,7480,95498,113475.0,15170500.0
2018-08-08,7460,7530,7350,7360,59599,111655.0,15170500.0
2018-08-09,7350,7430,7250,7290,50425,110593.0,15170500.0
2018-08-10,7240,7340,7240,7310,40607,110896.0,15170500.0
2018-08-13,7260,7260,6980,6980,84566,105890.0,15170500.0
2018-08-14,6920,7130,6920,7020,20983,106497.0,15170500.0
2018-08-16,6860,6970,6780,6900,65564,104676.0,15170500.0
2018-08-17,6900,7170,6900,7100,57603,107711.0,15170500.0
2018-08-20,7070,7430,7070,7410,155580,112413.0,15170500.0
2018-08-21,7800,9240,7780,8610,6476572,130618.0,15170500.0
2018-08-22,8690,8690,8380,8500,770218,128949.0,15170500.0
2018-08-23,8500,8820,8460,8610,1042313,130618.0,15170500.0
2018-08-24,8610,9070,8490,8650,1292036,131225.0,15170500.0
2018-08-27,8830,9120,8720,8720,1097497,132287.0,15170500.0
2018-08-28,9070,11300,9060,10750,10866699,163083.0,15170500.0
2018-08-29,10700,10900,10050,10250,2437181,155498.0,15170500.0
2018-08-30,10250,11100,9970,10800,4155384,163841.0,15170500.0
2018-08-31,10600,10950,10400,10700,1746704,162324.0,15170500.0
2018-09-03,10650,11100,10550,11100,1721336,168393.0,15170500.0
2018-09-04,11100,11150,10650,10650,1139612,161566.0,15170500.0
2018-09-05,10600,10800,10300,10500,1118414,159290.0,15170500.0
2018-09-06,10600,10850,10350,10700,1129788,162324.0,15170500.0
2018-09-07,10700,10800,10050,10050,891152,152464.0,15170500.0
2018-09-10,10200,10450,9650,9800,871372,148671.0,15170500.0
2018-09-11,9760,10050,9710,9900,366690,150188.0,15170500.0
2018-09-12,9980,10450,9570,10250,1259667,155498.0,15170500.0
2018-09-13,10350,12550,10300,11600,15906853,175978.0,15170500.0
2018-09-14,11550,11600,11000,11100,2485507,168393.0,15170500.0
2018-09-17,11200,11850,11000,11250,3010746,170668.0,15170500.0
2018-09-18,11150,11950,11100,11750,2807719,178253.0,15170500.0
2018-09-19,11750,11900,11100,11200,1374082,169910.0,15170500.0
2018-09-20,11150,11750,10750,11300,1752941,171427.0,15170500.0
2018-09-21,11350,11450,11000,11100,622544,168393.0,15170500.0
2018-09-27,11050,11650,11000,11350,779904,172185.0,15170500.0
2018-09-28,11400,12750,11000,11000,6654020,166876.0,15170500.0
2018-10-01,10900,11000,10400,10500,701761,159290.0,15170500.0
2018-10-02,10400,10750,9880,9880,813740,149885.0,15170500.0
2018-10-04,9770,10450,9700,10250,731968,155498.0,15170500.0
2018-10-05,10200,10300,9700,9700,467819,147154.0,15170500.0
2018-10-08,9520,10350,9420,9700,894093,147154.0,15170500.0
2018-10-10,9710,10450,9660,9860,963848,149581.0,15170500.0
2018-10-11,9210,9730,9000,9000,571099,136534.0,15170500.0
2018-10-12,8860,9440,8860,9270,425059,140631.0,15170500.0
2018-10-15,9240,9430,8710,8710,309362,132135.0,15170500.0
2018-10-16,8760,9140,8760,8800,302855,133500.0,15170500.0
2018-10-17,9030,9270,8800,8940,316232,135624.0,15170500.0
2018-10-18,8920,9200,8900,8920,218710,135321.0,15170500.0
2018-10-19,8940,9750,8930,9250,1171936,140327.0,15170500.0
2018-10-22,9180,9900,9180,9540,1325552,144727.0,15170500.0
2018-10-23,9480,9540,9050,9050,403398,137293.0,15170500.0
2018-10-24,9140,9240,8430,8430,359478,127887.0,15170500.0
2018-10-25,8010,8310,7820,8100,461010,122881.0,15170500.0
2018-10-26,8250,8360,7620,7620,403736,115599.0,15170500.0
2018-10-29,7540,7870,7070,7070,429936,107255.0,15170500.0
2018-10-30,6750,7430,6750,7400,465457,112262.0,15170500.0
2018-10-31,7500,7550,7260,7490,266829,113627.0,15170500.0
2018-11-01,7590,8000,7590,7610,335036,115448.0,15170500.0
2018-11-02,7810,8070,7700,8000,268505,121364.0,15170500.0
2018-11-05,7940,8280,7850,8200,490701,124398.0,15170500.0
2018-11-06,8300,8310,7910,8020,270451,121667.0,15170500.0
2018-11-07,8100,8230,7690,7830,270273,118785.0,15170500.0
2018-11-08,8130,8130,7950,8020,130121,121667.0,15170500.0
2018-11-09,8000,8070,7760,7870,134501,119392.0,15170500.0
2018-11-12,7730,7860,7450,7450,206909,113020.0,15170500.0
2018-11-13,7250,7700,7200,7560,205797,114689.0,15170500.0
2018-11-14,7610,8260,7510,7940,984148,120454.0,15170500.0
2018-11-15,8020,8260,7740,7910,441262,119999.0,15170500.0
