교보8호스팩(307280),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-07-04,2125,2170,2120,2170,11236,8072.0,3720000.0
2019-07-05,2170,2170,2130,2170,8949,8072.0,3720000.0
2019-07-08,2135,2195,2130,2170,3449,8072.0,3720000.0
2019-07-09,2135,2185,2130,2180,9301,8110.0,3720000.0
2019-07-10,2180,2180,2180,2180,150,8110.0,3720000.0
2019-07-11,2175,2185,2175,2185,9376,8128.0,3720000.0
2019-07-12,2185,2185,2155,2180,504,8110.0,3720000.0
2019-07-15,2180,2180,2180,2180,0,8110.0,3720000.0
2019-07-16,2170,2170,2170,2170,5,8072.0,3720000.0
2019-07-17,2175,2175,2170,2170,720,8072.0,3720000.0
2019-07-18,2165,2170,2160,2170,1421,8072.0,3720000.0
2019-07-19,2180,2200,2170,2200,14453,8184.0,3720000.0
2019-07-22,2200,2230,2190,2230,4458,8296.0,3720000.0
2019-07-23,2215,2225,2215,2225,1353,8277.0,3720000.0
2019-07-24,2230,2230,2220,2225,530,8277.0,3720000.0
2019-07-25,2230,2230,2215,2220,3899,8258.0,3720000.0
2019-07-26,2230,2250,2210,2250,2422,8370.0,3720000.0
2019-07-29,2295,2295,2160,2180,4529,8110.0,3720000.0
2019-07-30,2200,2200,2190,2190,259,8147.0,3720000.0
2019-07-31,2210,2210,2135,2200,34,8184.0,3720000.0
2019-08-01,2215,2285,2205,2220,6567,8258.0,3720000.0
2019-08-02,2220,2230,2160,2195,3513,8165.0,3720000.0
2019-08-05,2180,2195,2145,2175,2054,8091.0,3720000.0
2019-08-06,2290,2290,2170,2215,2799,8240.0,3720000.0
2019-08-07,2215,2215,2175,2180,1231,8110.0,3720000.0
2019-08-08,2180,2265,2180,2250,798,8370.0,3720000.0
2019-08-09,2205,2205,2180,2180,2149,8110.0,3720000.0
2019-08-12,2245,2245,2230,2230,12,8296.0,3720000.0
2019-08-13,2230,2280,2160,2160,2248,8035.0,3720000.0
2019-08-14,2200,2200,2200,2200,10,8184.0,3720000.0
2019-08-16,2190,2190,2190,2190,0,8147.0,3720000.0
2019-08-19,2200,2200,2155,2155,317,8017.0,3720000.0
2019-08-20,2200,2200,2195,2195,63,8165.0,3720000.0
2019-08-21,2200,2200,2075,2180,746,8110.0,3720000.0
2019-08-22,2100,2170,2100,2170,222,8072.0,3720000.0
2019-08-23,2170,2180,2170,2180,2,8110.0,3720000.0
2019-08-26,2120,2240,2120,2200,326,8184.0,3720000.0
2019-08-27,2255,2255,2185,2190,21,8147.0,3720000.0
2019-08-28,2195,2250,2195,2235,514,8314.0,3720000.0
2019-08-29,2260,2260,2125,2205,841,8203.0,3720000.0
2019-08-30,2230,2230,2155,2180,61,8110.0,3720000.0
2019-09-02,2210,2210,2115,2160,11270,8035.0,3720000.0
2019-09-03,2150,2180,2150,2150,17909,7998.0,3720000.0
2019-09-04,2130,2195,2130,2185,8287,8128.0,3720000.0
2019-09-05,2135,2200,2135,2140,1097,7961.0,3720000.0
2019-09-06,2100,2180,2100,2175,1067,8091.0,3720000.0
2019-09-09,2230,2230,2115,2230,1558,8296.0,3720000.0
2019-09-10,2150,2200,2150,2200,5146,8184.0,3720000.0
2019-09-11,2225,2225,2225,2225,10,8277.0,3720000.0
2019-09-16,2180,2220,2180,2200,3082,8184.0,3720000.0
2019-09-17,2185,2200,2180,2180,5495,8110.0,3720000.0
2019-09-18,2240,2240,2160,2195,1683,8165.0,3720000.0
2019-09-19,2200,2200,2150,2190,89,8147.0,3720000.0
2019-09-20,2195,2200,2185,2185,3131,8128.0,3720000.0
2019-09-23,2200,2200,2165,2200,21,8184.0,3720000.0
2019-09-24,2200,2200,2200,2200,0,8184.0,3720000.0
2019-09-25,2200,2200,2200,2200,0,,
2019-09-26,2200,2200,2200,2200,10,8184.0,3720000.0
2019-09-27,2235,2235,2160,2200,120,8184.0,3720000.0
2019-09-30,2230,2230,2165,2165,81,8054.0,3720000.0
2019-10-01,2160,2235,2160,2205,115,8203.0,3720000.0
2019-10-02,2195,2195,2195,2195,30,8165.0,3720000.0
2019-10-04,2195,2195,2195,2195,1,8165.0,3720000.0
2019-10-07,2230,2230,2130,2130,1388,,
