케이엔더블유(105330),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-12-04,13100,13450,12700,13350,92542,58740.0,4400000.0
2009-12-07,13450,13600,13200,13500,62996,59400.0,4400000.0
2009-12-08,13550,13600,12900,12900,84053,56760.0,4400000.0
2009-12-09,12750,13450,12550,13300,66117,58520.0,4400000.0
2009-12-10,13300,13850,13150,13700,146280,60280.0,4400000.0
2009-12-11,13900,14800,13750,14250,180033,62700.0,4400000.0
2009-12-14,14350,15450,14200,15450,237844,67980.0,4400000.0
2009-12-15,15550,15700,15000,15600,167868,68640.0,4400000.0
2009-12-16,15900,16200,15050,15800,192975,69520.0,4400000.0
2009-12-17,16000,16000,15500,15550,142687,68420.0,4400000.0
2009-12-18,15550,17000,15500,17000,329538,74800.0,4400000.0
2009-12-21,17150,17300,16550,17150,173324,75460.0,4400000.0
2009-12-22,17400,17750,16500,17550,307068,77220.0,4400000.0
2009-12-23,17750,18750,17450,18600,335669,81840.0,4400000.0
2009-12-24,18400,18900,17650,18900,300814,83160.0,4400000.0
2009-12-28,18500,18800,17900,18600,235554,81840.0,4400000.0
2009-12-29,18500,18950,18050,18900,156017,83160.0,4400000.0
2009-12-30,19200,19850,18750,19600,262545,86240.0,4400000.0
2010-01-04,19550,19850,19050,19200,111899,84480.0,4400000.0
2010-01-05,19200,21150,18750,19400,306508,85360.0,4400000.0
2010-01-06,19700,19750,18600,18600,221583,81840.0,4400000.0
2010-01-07,18500,19000,18000,18350,127135,80740.0,4400000.0
2010-01-08,18600,19300,18100,19000,94400,83600.0,4400000.0
2010-01-11,19150,20100,18900,19200,122925,84480.0,4400000.0
2010-01-12,18950,19550,18550,19400,103286,85360.0,4400000.0
2010-01-13,19350,19700,19000,19550,39946,86020.0,4400000.0
2010-01-14,19950,20400,19300,19500,104699,85800.0,4400000.0
2010-01-15,19500,19500,18500,19050,218466,83820.0,4400000.0
2010-01-18,18900,19100,18500,18500,44134,81400.0,4400000.0
2010-01-19,18350,18600,17400,17850,214014,78540.0,4400000.0
2010-01-20,17850,18000,17050,17600,206918,77440.0,4400000.0
2010-01-21,17450,18650,17450,18400,102404,80960.0,4400000.0
2010-01-22,18100,18200,17150,18200,73034,80080.0,4400000.0
2010-01-25,18000,18000,17000,17850,59342,78540.0,4400000.0
2010-01-26,18000,18500,17200,17550,51564,77220.0,4400000.0
2010-01-27,17900,17900,17000,17200,59861,75680.0,4400000.0
2010-01-28,17400,17500,16450,17350,81817,76340.0,4400000.0
2010-01-29,17250,17600,16650,17000,77105,74800.0,4400000.0
2010-02-01,17250,18150,17100,17900,96875,78760.0,4400000.0
2010-02-02,17950,18250,17350,17700,42350,77880.0,4400000.0
2010-02-03,17950,18250,17700,18100,48487,79640.0,4400000.0
2010-02-04,18100,18100,17650,18100,29591,79640.0,4400000.0
2010-02-05,17450,17600,17000,17250,80265,75900.0,4400000.0
2010-02-08,17350,17350,16450,16450,47938,72380.0,4400000.0
2010-02-09,16950,17100,16150,16500,71220,72600.0,4400000.0
2010-02-10,16850,17000,16300,16600,46322,73040.0,4400000.0
2010-02-11,16600,16950,16350,16950,21853,74580.0,4400000.0
2010-02-12,17050,17200,16600,17100,28755,75240.0,4400000.0
2010-02-16,17250,17450,16950,17000,23299,74800.0,4400000.0
2010-02-17,17200,17200,16700,17100,51231,75240.0,4400000.0
2010-02-18,17300,17350,16950,17200,23208,75680.0,4400000.0
2010-02-19,17250,19750,17250,17400,144275,76560.0,4400000.0
2010-02-22,17700,18600,17400,17850,203120,78540.0,4400000.0
2010-02-23,17950,18550,17800,18350,84887,80740.0,4400000.0
2010-02-24,18150,19250,17850,19000,125269,83600.0,4400000.0
2010-02-25,19300,19500,18350,18350,51693,80740.0,4400000.0
2010-02-26,18400,19050,18350,18850,38123,82940.0,4400000.0
2010-03-02,19000,19350,18400,18400,54716,80960.0,4400000.0
2010-03-03,18500,18650,17850,17900,62148,78760.0,4400000.0
2010-03-04,17900,18050,17450,17550,34187,77220.0,4400000.0
2010-03-05,17550,18150,17550,17900,39367,78760.0,4400000.0
2010-03-08,18000,18250,17850,17950,31623,78980.0,4400000.0
2010-03-09,17950,18000,17750,17950,20988,78980.0,4400000.0
2010-03-10,18150,18150,17500,17600,34810,77440.0,4400000.0
2010-03-11,17700,17700,16600,16900,117693,74360.0,4400000.0
2010-03-12,17150,17450,17100,17200,102155,75680.0,4400000.0
2010-03-15,17150,17750,17100,17750,73369,78100.0,4400000.0
2010-03-16,18050,18700,17900,18400,112385,80960.0,4400000.0
2010-03-17,18550,18550,17950,18350,83648,80740.0,4400000.0
2010-03-18,18450,19150,18250,18750,325053,82500.0,4400000.0
2010-03-19,18700,18800,18050,18200,187207,80080.0,4400000.0
2010-03-22,18300,18300,17950,18100,46170,79640.0,4400000.0
2010-03-23,18300,18300,17800,17900,62464,78760.0,4400000.0
2010-03-24,18000,18300,17800,18100,59553,79640.0,4400000.0
2010-03-25,18100,18850,18050,18650,125080,82060.0,4400000.0
2010-03-26,18900,19500,18650,19350,172307,85140.0,4400000.0
2010-03-29,19200,19500,18800,19200,90909,84480.0,4400000.0
2010-03-30,19500,19800,19200,19500,90100,85800.0,4400000.0
2010-03-31,19900,20100,19600,19800,161714,87120.0,4400000.0
2010-04-01,19800,20050,19550,19650,70589,86460.0,4400000.0
2010-04-02,19650,19650,18650,19000,117530,83600.0,4400000.0
2010-04-05,19200,19200,16300,17850,151932,78540.0,4400000.0
2010-04-06,17550,18050,17450,17700,71767,77880.0,4400000.0
2010-04-07,18050,18050,17650,17800,53101,78320.0,4400000.0
2010-04-08,17700,18200,17650,17850,61330,78540.0,4400000.0
2010-04-09,18000,18050,17500,17850,58894,78540.0,4400000.0
2010-04-12,17900,18050,17600,17800,31285,78320.0,4400000.0
2010-04-13,18000,18000,17350,17450,40477,76780.0,4400000.0
2010-04-14,17400,17650,17300,17350,39982,76340.0,4400000.0
2010-04-15,17600,17650,17200,17450,51999,76780.0,4400000.0
2010-04-16,17550,17550,17050,17100,45384,75240.0,4400000.0
2010-04-19,17000,17350,16450,16850,45276,74140.0,4400000.0
2010-04-20,16900,17350,16900,17350,35099,76340.0,4400000.0
2010-04-21,17450,17650,17400,17650,42556,77660.0,4400000.0
2010-04-22,17650,17650,17300,17450,20778,76780.0,4400000.0
2010-04-23,17350,18100,17150,18000,71221,79200.0,4400000.0
2010-04-26,18500,18850,18350,18700,131312,82280.0,4400000.0
2010-04-27,18700,18950,18350,18900,110262,83160.0,4400000.0
2010-04-28,18400,18550,18100,18300,115197,80520.0,4400000.0
2010-04-29,18400,18650,18400,18400,79325,80960.0,4400000.0
2010-04-30,18850,18850,18600,18700,69990,82280.0,4400000.0
2010-05-03,18750,19500,18600,18800,127706,82720.0,4400000.0
2010-05-04,19200,19200,18250,18400,76854,80960.0,4400000.0
2010-05-06,17650,17900,17450,17450,73651,76780.0,4400000.0
2010-05-07,16900,16900,15100,16500,90427,72600.0,4400000.0
2010-05-10,15600,16850,15350,16600,215858,73040.0,4400000.0
2010-05-11,16950,17400,16600,16850,94022,74140.0,4400000.0
2010-05-12,16700,17000,16150,16150,69062,71060.0,4400000.0
2010-05-13,16400,17200,16300,16950,99421,74580.0,4400000.0
2010-05-14,16950,17550,16750,17200,81608,75680.0,4400000.0
2010-05-17,16900,17450,16600,16750,70116,73700.0,4400000.0
2010-05-18,16950,17000,15700,15700,91805,69080.0,4400000.0
2010-05-19,15700,16250,15250,15650,69714,68860.0,4400000.0
2010-05-20,15650,15850,13600,14850,94228,65340.0,4400000.0
2010-05-24,14500,14650,13700,13800,91447,60720.0,4400000.0
2010-05-25,13900,14050,12500,13250,107300,58300.0,4400000.0
2010-05-26,13700,14000,13250,14000,44364,61600.0,4400000.0
2010-05-27,14050,14450,13700,14350,32595,63140.0,4400000.0
2010-05-28,14800,15050,14450,14450,41433,63580.0,4400000.0
2010-05-31,15000,16250,14600,15700,86016,69080.0,4400000.0
2010-06-01,16050,16100,15400,15500,38791,68200.0,4400000.0
2010-06-03,15700,16000,15550,15750,27784,69300.0,4400000.0
2010-06-04,15800,15800,15350,15350,21569,67540.0,4400000.0
2010-06-07,14450,14950,14450,14700,36782,64680.0,4400000.0
2010-06-08,14950,16550,14900,16350,114099,71940.0,4400000.0
2010-06-09,16500,16700,15850,16550,53204,72820.0,4400000.0
2010-06-10,16550,17550,16250,17550,87939,77220.0,4400000.0
2010-06-11,17550,17850,16500,17050,50668,75020.0,4400000.0
2010-06-14,17050,17250,16550,16850,25088,74140.0,4400000.0
2010-06-15,16800,17100,16800,16900,10052,74360.0,4400000.0
2010-06-16,17300,17300,16650,16900,18774,74360.0,4400000.0
2010-06-17,17100,17100,16200,16950,53504,74580.0,4400000.0
2010-06-18,16550,17050,16400,16450,30197,72380.0,4400000.0
2010-06-21,16500,16650,16050,16200,31343,71280.0,4400000.0
2010-06-22,16000,16500,15750,16400,26272,72160.0,4400000.0
2010-06-23,16050,16400,16050,16350,14085,71940.0,4400000.0
2010-06-24,16600,16950,16400,16950,30961,74580.0,4400000.0
2010-06-25,16550,17050,16450,16850,22904,74140.0,4400000.0
2010-06-28,16950,16950,16500,16600,18300,73040.0,4400000.0
2010-06-29,16750,17000,15500,16500,37321,72600.0,4400000.0
2010-06-30,15750,16300,15750,16050,15035,70620.0,4400000.0
2010-07-01,15900,16000,15350,15800,55890,69520.0,4400000.0
2010-07-02,15700,15850,15300,15300,27236,67320.0,4400000.0
2010-07-05,15550,15750,15200,15200,20229,66880.0,4400000.0
2010-07-06,15100,15400,14500,14650,53504,64460.0,4400000.0
2010-07-07,14700,15200,14650,15200,44771,66880.0,4400000.0
2010-07-08,15450,15550,14900,15150,18692,66660.0,4400000.0
2010-07-09,15300,15300,14700,14800,24194,65120.0,4400000.0
2010-07-12,15000,15100,14700,15000,16026,66000.0,4400000.0
2010-07-13,15150,15150,15000,15000,13922,66000.0,4400000.0
2010-07-14,15050,15200,14750,15150,30228,66660.0,4400000.0
2010-07-15,15150,15900,15000,15600,82119,68640.0,4400000.0
2010-07-16,15900,17000,15650,16650,133087,73260.0,4400000.0
2010-07-19,16450,16550,16000,16350,22686,71940.0,4400000.0
2010-07-20,16550,16550,15900,16100,15068,70840.0,4400000.0
2010-07-21,16100,16100,15700,15800,14300,69520.0,4400000.0
2010-07-22,15650,15700,15100,15400,14443,67760.0,4400000.0
2010-07-23,15700,15700,15100,15400,5771,67760.0,4400000.0
2010-07-26,15450,15600,15000,15500,17630,68200.0,4400000.0
2010-07-27,15600,15650,15150,15150,15708,66660.0,4400000.0
2010-07-28,15150,15450,14700,15400,37258,67760.0,4400000.0
2010-07-29,15300,15300,14600,14600,31800,64240.0,4400000.0
2010-07-30,14600,14850,14050,14600,31811,64240.0,4400000.0
2010-08-02,14600,14600,14200,14250,14504,62700.0,4400000.0
2010-08-03,14550,14550,14100,14550,13635,64020.0,4400000.0
2010-08-04,14550,14850,14450,14450,13868,63580.0,4400000.0
2010-08-05,14500,14600,13300,13300,102548,58520.0,4400000.0
2010-08-06,14000,14450,13700,13850,79653,60940.0,4400000.0
2010-08-09,13700,14400,13700,14100,19154,62040.0,4400000.0
2010-08-10,14150,14400,13950,14100,17574,62040.0,4400000.0
2010-08-11,14150,14150,13300,13700,54567,60280.0,4400000.0
2010-08-12,13200,13800,13150,13700,22359,60280.0,4400000.0
2010-08-13,13650,13950,13650,13800,12565,60720.0,4400000.0
2010-08-16,13800,14300,13800,14250,23278,62700.0,4400000.0
2010-08-17,14050,15250,14050,15100,47026,66440.0,4400000.0
2010-08-18,15000,16000,15000,15400,72099,67760.0,4400000.0
2010-08-19,15650,15650,15100,15200,22997,66880.0,4400000.0
2010-08-20,15000,15300,14700,15150,20261,66660.0,4400000.0
2010-08-23,15100,15250,14600,14700,18805,64680.0,4400000.0
2010-08-24,15050,15050,14500,14850,7605,65340.0,4400000.0
2010-08-25,14800,14900,14300,14700,11805,64680.0,4400000.0
2010-08-26,14750,14800,14250,14250,9231,62700.0,4400000.0
2010-08-27,14300,14500,13650,14200,24979,62480.0,4400000.0
2010-08-30,14200,14200,13800,13900,43223,61160.0,4400000.0
2010-08-31,13750,14200,13650,14150,12966,62260.0,4400000.0
2010-09-01,14300,15100,14000,14850,23709,65340.0,4400000.0
2010-09-02,15600,15600,15000,15200,20184,66880.0,4400000.0
2010-09-03,15350,15350,14600,14750,19722,64900.0,4400000.0
2010-09-06,14750,14850,14500,14500,9309,63800.0,4400000.0
2010-09-07,14500,14600,14200,14350,13083,63140.0,4400000.0
2010-09-08,14600,15000,14400,14800,31048,65120.0,4400000.0
2010-09-09,14950,14950,14500,14500,15346,63800.0,4400000.0
2010-09-10,14400,15350,14400,15300,29897,67320.0,4400000.0
2010-09-13,15300,15550,15150,15300,29966,67320.0,4400000.0
2010-09-14,15200,15250,14450,14900,43443,65560.0,4400000.0
2010-09-15,14700,15100,14600,14900,15753,65560.0,4400000.0
2010-09-16,14950,15850,14950,15750,93534,69300.0,4400000.0
2010-09-17,16000,16250,15350,15850,118592,69740.0,4400000.0
2010-09-20,15900,16350,15650,16300,47291,71720.0,4400000.0
2010-09-24,16150,16150,15500,15550,30113,68420.0,4400000.0
2010-09-27,15750,16000,15600,16000,38904,70400.0,4400000.0
2010-09-28,16100,16100,15550,15550,11601,68420.0,4400000.0
2010-09-29,15500,15900,15300,15300,37303,67320.0,4400000.0
2010-09-30,15450,15700,15250,15300,99557,67320.0,4400000.0
2010-10-01,15350,15900,15250,15800,77321,69520.0,4400000.0
2010-10-04,16000,16150,15400,15750,48460,69300.0,4400000.0
2010-10-05,15800,15800,15450,15600,11714,68640.0,4400000.0
2010-10-06,15900,16350,15800,16300,50608,71720.0,4400000.0
2010-10-07,16100,16300,15700,15750,36481,69300.0,4400000.0
2010-10-08,15800,15900,15400,15650,57944,68860.0,4400000.0
2010-10-11,15500,15900,15400,15450,31152,67980.0,4400000.0
2010-10-12,15300,15600,15000,15400,33929,67760.0,4400000.0
2010-10-13,15450,15450,15000,15100,36442,66440.0,4400000.0
2010-10-14,15100,17050,15100,17000,196093,74800.0,4400000.0
2010-10-15,17000,17500,16750,17000,78030,74800.0,4400000.0
2010-10-18,17300,17800,16900,17650,89623,77660.0,4400000.0
2010-10-19,17650,17750,17350,17500,40992,77000.0,4400000.0
2010-10-20,17250,18900,17050,18900,149926,83160.0,4400000.0
2010-10-21,18900,19150,18500,18900,62301,83160.0,4400000.0
2010-10-22,18900,19350,18450,18800,45536,82720.0,4400000.0
2010-10-25,18800,18950,18550,18600,35979,81840.0,4400000.0
2010-10-26,18550,18750,18300,18750,46020,82500.0,4400000.0
2010-10-27,19300,20200,18600,19900,126118,87560.0,4400000.0
2010-10-28,19050,20000,19050,19900,54275,87560.0,4400000.0
2010-10-29,19950,19950,19100,19800,38564,87120.0,4400000.0
2010-11-01,19800,21050,19800,20600,146573,90640.0,4400000.0
2010-11-02,20500,21000,18050,20250,169135,89100.0,4400000.0
2010-11-03,20650,21100,19700,19700,101864,86680.0,4400000.0
2010-11-04,19700,21600,19600,21200,124436,93280.0,4400000.0
2010-11-05,21650,21650,20250,21450,75354,94380.0,4400000.0
2010-11-08,21150,21650,21000,21400,32566,94160.0,4400000.0
2010-11-09,21150,21450,21000,21400,22046,94160.0,4400000.0
2010-11-10,21050,21450,20500,20600,35083,90640.0,4400000.0
2010-11-11,20200,21050,19700,20800,68179,91520.0,4400000.0
2010-11-12,20250,20650,18600,19150,121075,84260.0,4400000.0
2010-11-15,18950,19150,16450,17350,189960,76340.0,4400000.0
2010-11-16,17350,17800,16750,17750,86329,78100.0,4400000.0
2010-11-17,17100,18300,17050,17700,47455,77880.0,4400000.0
2010-11-18,17550,19000,17450,18800,59440,82720.0,4400000.0
2010-11-19,19100,19100,18350,18750,20369,82500.0,4400000.0
2010-11-22,18750,18850,18400,18700,15427,82280.0,4400000.0
2010-11-23,18400,19600,17850,19350,55225,85140.0,4400000.0
2010-11-24,18000,18850,18000,18500,33714,81400.0,4400000.0
2010-11-25,18900,19050,18150,18200,18454,80080.0,4400000.0
2010-11-26,17900,18450,17550,17950,13547,78980.0,4400000.0
2010-11-29,18400,18400,17350,17400,19484,76560.0,4400000.0
2010-11-30,17900,17900,17150,17200,31982,75680.0,4400000.0
2010-12-01,16900,17500,16200,16300,60785,71720.0,4400000.0
2010-12-02,16650,16850,15750,16200,119589,71280.0,4400000.0
2010-12-03,16300,17000,16000,16200,72864,71280.0,4400000.0
2010-12-06,16200,16500,15850,16000,33583,70400.0,4400000.0
2010-12-07,16000,16300,15400,15850,55572,69740.0,4400000.0
2010-12-08,16000,16200,15350,16050,43922,70620.0,4400000.0
2010-12-09,16050,16700,16050,16250,31353,71500.0,4400000.0
2010-12-10,16250,16650,16250,16500,17955,72600.0,4400000.0
2010-12-13,16500,16600,16050,16450,14785,72380.0,4400000.0
2010-12-14,16300,17050,16200,16800,35014,73920.0,4400000.0
2010-12-15,17000,17200,16600,16600,15532,73040.0,4400000.0
2010-12-16,16950,16950,16200,16300,9418,71720.0,4400000.0
2010-12-17,16350,16450,15900,15950,21080,70180.0,4400000.0
2010-12-20,15550,16000,15000,15400,26217,67760.0,4400000.0
2010-12-21,15500,15950,15500,15800,26376,69520.0,4400000.0
2010-12-22,16100,16100,15200,15800,19580,69520.0,4400000.0
2010-12-23,15550,15800,15300,15650,6651,68860.0,4400000.0
2010-12-24,15750,15750,15250,15250,7701,67100.0,4400000.0
2010-12-27,15450,15650,15250,15350,5016,67540.0,4400000.0
2010-12-28,15700,15700,14400,14650,32349,64460.0,4400000.0
2010-12-29,14850,15200,14600,15100,20418,66440.0,4400000.0
2010-12-30,15000,15550,14950,15200,48366,66880.0,4400000.0
2011-01-03,15300,15550,15250,15400,11996,67760.0,4400000.0
2011-01-04,15450,15800,15200,15450,29103,67980.0,4400000.0
2011-01-05,15550,15850,15400,15450,55982,67980.0,4400000.0
2011-01-06,15450,15600,15000,15000,52965,66000.0,4400000.0
2011-01-07,15000,15400,14650,14850,61821,65340.0,4400000.0
2011-01-10,14850,15400,14850,15150,29536,66660.0,4400000.0
2011-01-11,15150,15400,14950,15000,23285,66000.0,4400000.0
2011-01-12,15150,15150,14750,14850,22078,65340.0,4400000.0
2011-01-13,15000,15000,14300,14300,62308,62920.0,4400000.0
2011-01-14,14600,14600,14050,14050,33228,61820.0,4400000.0
2011-01-17,14050,14850,14050,14500,31928,63800.0,4400000.0
2011-01-18,14300,14850,14300,14600,28877,64240.0,4400000.0
2011-01-19,14600,14600,13900,13900,56625,61160.0,4400000.0
2011-01-20,13900,14500,13650,14350,95676,63140.0,4400000.0
2011-01-21,14500,15900,14450,14550,202330,64020.0,4400000.0
2011-01-24,14550,15350,14250,15200,120811,66880.0,4400000.0
2011-01-25,15250,15600,14650,15000,59927,66000.0,4400000.0
2011-01-26,15150,15500,14800,15000,60965,66000.0,4400000.0
2011-01-27,15100,16050,15000,15400,94102,67760.0,4400000.0
2011-01-28,15750,15750,14900,15150,41709,66660.0,4400000.0
2011-01-31,14650,15250,14100,14900,61016,65560.0,4400000.0
2011-02-01,14900,15200,14150,14300,43980,62920.0,4400000.0
2011-02-07,14350,15000,14100,14700,58428,64680.0,4400000.0
2011-02-08,14700,14800,14350,14600,46543,64240.0,4400000.0
2011-02-09,14700,14750,14000,14600,70166,64240.0,4400000.0
2011-02-10,14600,15550,14400,15350,169774,67540.0,4400000.0
2011-02-11,15350,15400,14350,14700,85482,64680.0,4400000.0
2011-02-14,14850,14900,14400,14900,25147,65560.0,4400000.0
2011-02-15,15050,15050,14550,15000,23214,66000.0,4400000.0
2011-02-16,15150,15150,14500,14550,35497,64020.0,4400000.0
2011-02-17,14800,14800,14000,14500,37091,63800.0,4400000.0
2011-02-18,14500,14700,14350,14700,21671,64680.0,4400000.0
2011-02-21,14650,14700,14200,14400,24057,63360.0,4400000.0
2011-02-22,14400,14600,13900,14000,29788,61600.0,4400000.0
2011-02-23,13750,14400,13600,13700,29991,60280.0,4400000.0
2011-02-24,13600,13700,11650,11650,214450,51260.0,4400000.0
2011-02-25,11150,11450,10100,10550,367491,46420.0,4400000.0
2011-02-28,10350,10700,9730,9790,202246,43076.0,4400000.0
2011-03-02,9720,10200,9700,9700,106541,42680.0,4400000.0
2011-03-03,9880,9950,9710,9710,49503,42724.0,4400000.0
2011-03-04,9850,9890,9590,9610,55632,42284.0,4400000.0
2011-03-07,9610,9700,8710,9000,189829,39600.0,4400000.0
2011-03-08,9120,9140,8770,8800,87899,38720.0,4400000.0
2011-03-09,8940,9300,8800,9020,106544,39688.0,4400000.0
2011-03-10,9110,9210,8830,8830,91142,38852.0,4400000.0
2011-03-11,8800,9240,8800,9050,116843,39820.0,4400000.0
2011-03-14,9200,9500,8500,8650,154026,38060.0,4400000.0
2011-03-15,8750,8800,7430,7980,170147,35112.0,4400000.0
2011-03-16,7900,8160,7610,7910,100927,34804.0,4400000.0
2011-03-17,7800,7930,7600,7910,54730,34804.0,4400000.0
2011-03-18,7910,8160,7910,7940,79524,34936.0,4400000.0
2011-03-21,8150,8880,8100,8600,123521,37840.0,4400000.0
2011-03-22,8650,8800,8480,8630,47361,37972.0,4400000.0
2011-03-23,8630,8670,8240,8270,60214,36388.0,4400000.0
2011-03-24,8270,8680,8200,8620,68995,37928.0,4400000.0
2011-03-25,8730,8730,8420,8470,60030,37268.0,4400000.0
2011-03-28,8600,9050,8490,8790,105025,38676.0,4400000.0
2011-03-29,8900,9000,8560,8620,81038,37928.0,4400000.0
2011-03-30,8740,8740,8490,8590,54489,37796.0,4400000.0
2011-03-31,8590,8850,8500,8740,130708,38456.0,4400000.0
2011-04-01,8850,9220,8790,9020,206739,39688.0,4400000.0
2011-04-04,9120,9150,9000,9090,40441,39996.0,4400000.0
2011-04-05,9150,9150,9000,9060,55561,39864.0,4400000.0
2011-04-06,9060,9100,8610,8610,130016,37884.0,4400000.0
2011-04-07,8620,8700,8340,8340,87413,36696.0,4400000.0
2011-04-08,8430,8470,8250,8380,45884,36872.0,4400000.0
2011-04-11,8500,8500,8170,8190,82035,36036.0,4400000.0
2011-04-12,8210,8210,7790,7790,105429,34276.0,4400000.0
2011-04-13,7820,7950,7720,7910,35362,34804.0,4400000.0
2011-04-14,7990,8190,7890,8160,33394,35904.0,4400000.0
2011-04-15,8100,8190,7950,7980,46811,35112.0,4400000.0
2011-04-18,7980,8170,7910,7920,35968,34848.0,4400000.0
2011-04-19,7810,7990,7610,7610,58675,33484.0,4400000.0
2011-04-20,7700,7780,7510,7550,72666,33220.0,4400000.0
2011-04-21,7560,7650,7310,7600,121272,33440.0,4400000.0
2011-04-22,7630,7630,7450,7620,55811,33528.0,4400000.0
2011-04-25,7630,8220,7620,7800,161417,34320.0,4400000.0
2011-04-26,7950,7950,7770,7900,24658,34760.0,4400000.0
2011-04-27,7850,8100,7850,8010,36599,35244.0,4400000.0
2011-04-28,7950,8100,7800,7800,57971,34320.0,4400000.0
2011-04-29,7920,7920,7700,7800,28643,34320.0,4400000.0
2011-05-02,7890,7890,7820,7850,15592,34540.0,4400000.0
2011-05-03,7890,7940,7700,7840,21548,34496.0,4400000.0
2011-05-04,7820,8400,7820,8170,92432,35948.0,4400000.0
2011-05-06,8180,8180,7940,7940,25074,34936.0,4400000.0
2011-05-09,7910,8100,7720,8030,27043,35332.0,4400000.0
2011-05-11,8030,8170,7890,7950,42051,34980.0,4400000.0
2011-05-12,7950,7950,7750,7820,24373,34408.0,4400000.0
2011-05-13,7830,7830,7700,7800,19308,34320.0,4400000.0
2011-05-16,7610,7790,7520,7600,15191,33440.0,4400000.0
2011-05-17,7750,7750,7430,7500,24827,33000.0,4400000.0
2011-05-18,7450,7660,7450,7500,14652,33000.0,4400000.0
2011-05-19,7370,7610,7120,7150,45628,31460.0,4400000.0
2011-05-20,7160,7270,6900,6960,48314,30624.0,4400000.0
2011-05-23,6860,7010,6560,6650,48530,29260.0,4400000.0
2011-05-24,6500,6700,6470,6520,38919,28688.0,4400000.0
2011-05-25,6520,6750,6440,6500,26549,28600.0,4400000.0
2011-05-26,6550,6650,6470,6480,41268,28512.0,4400000.0
2011-05-27,6510,6700,6480,6600,29474,29040.0,4400000.0
2011-05-30,6630,6800,6560,6570,29422,28908.0,4400000.0
2011-05-31,6600,6760,6550,6760,24543,29744.0,4400000.0
2011-06-01,6780,6870,6530,6590,28008,28996.0,4400000.0
2011-06-02,6400,6590,6380,6470,20778,28468.0,4400000.0
2011-06-03,6410,6590,6350,6440,16712,28336.0,4400000.0
2011-06-07,6400,6400,6130,6250,25492,27500.0,4400000.0
