에스티팜(237690),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-08-24,54000,54400,52100,52100,417195,963037.0,18484400.0
2016-08-25,53000,54000,51800,53800,198924,994461.0,18484400.0
2016-08-26,53900,54500,53000,53500,115250,988915.0,18484400.0
2016-08-29,53800,54100,53000,53300,90328,985219.0,18484400.0
2016-08-30,53700,53900,52900,53000,98909,979673.0,18484400.0
2016-08-31,53000,53100,51900,52300,125218,966734.0,18484400.0
2016-09-01,52200,53300,52100,53100,75725,981522.0,18484400.0
2016-09-02,53300,53800,52300,53500,92927,988915.0,18484400.0
2016-09-05,53600,53700,52200,52400,88931,968583.0,18484400.0
2016-09-06,52300,52500,51800,52200,81724,964886.0,18484400.0
2016-09-07,52200,52700,51400,51900,135358,959340.0,18484400.0
2016-09-08,53000,53800,52000,52000,160669,961189.0,18484400.0
2016-09-09,52300,52500,51600,52200,75113,964886.0,18484400.0
2016-09-12,51100,52700,50700,52400,126504,968583.0,18484400.0
2016-09-13,52100,52900,50300,50700,166447,937159.0,18484400.0
2016-09-19,50800,54400,49450,50400,594069,931614.0,18484400.0
2016-09-20,50700,51500,49100,51000,227844,942704.0,18484400.0
2016-09-21,51500,52700,51400,52500,294503,970431.0,18484400.0
2016-09-22,52500,52600,51100,51300,197273,948250.0,18484400.0
2016-09-23,49150,53300,48850,53000,1274776,979673.0,18484400.0
2016-09-26,53100,54300,52100,52800,366089,975976.0,18484400.0
2016-09-27,52800,54500,52400,54500,446946,1007400.0,18484400.0
2016-09-28,54500,58000,54100,57300,486227,1059156.0,18484400.0
2016-09-29,57300,59000,56300,58000,425026,1072095.0,18484400.0
2016-09-30,57500,58300,55300,56100,399814,1036975.0,18484400.0
2016-10-04,56200,59100,54100,57800,332409,1068398.0,18484400.0
2016-10-05,58100,58200,55700,57000,244357,1053611.0,18484400.0
2016-10-06,56600,57300,54300,54300,201521,1003703.0,18484400.0
2016-10-07,54600,56100,53300,53700,169997,992612.0,18484400.0
2016-10-10,53300,55000,53200,54200,71982,1001854.0,18484400.0
2016-10-11,54700,55000,53900,54100,82637,1000006.0,18484400.0
2016-10-12,54100,55500,53300,55000,101738,1016642.0,18484400.0
2016-10-13,54700,55400,53300,53600,91333,990764.0,18484400.0
2016-10-14,53600,54400,53300,53900,77584,996309.0,18484400.0
2016-10-17,54000,54000,50900,51200,271346,946401.0,18484400.0
2016-10-18,50700,51500,49700,50200,159916,927917.0,18484400.0
2016-10-19,50300,51600,50100,50300,113362,929765.0,18484400.0
2016-10-20,50400,51000,48550,48700,144952,900190.0,18484400.0
2016-10-21,48700,50100,48700,49000,102185,905736.0,18484400.0
2016-10-24,49800,49800,46050,47300,245095,874312.0,18484400.0
2016-10-25,46950,47250,44100,46450,520181,858600.0,18484400.0
2016-10-26,46450,48150,45700,47900,193026,885403.0,18484400.0
2016-10-27,47550,50800,47500,50800,246724,939008.0,18484400.0
2016-10-28,50800,50900,48650,49750,138264,919599.0,18484400.0
2016-10-31,48600,49100,45750,47100,188178,870615.0,18484400.0
2016-11-01,47100,48150,45850,47050,120816,869691.0,18484400.0
2016-11-02,46900,46900,43000,43000,279344,794829.0,18484400.0
2016-11-03,42150,45150,42150,44000,200614,813314.0,18484400.0
2016-11-04,43700,44950,42550,44200,99902,817010.0,18484400.0
2016-11-07,44850,45850,44100,45750,96277,845661.0,18484400.0
2016-11-08,46050,46050,44950,44950,68664,830874.0,18484400.0
2016-11-09,45050,45350,40450,43450,264963,803147.0,18484400.0
2016-11-10,46400,48750,46350,48300,483642,892797.0,18484400.0
2016-11-11,48250,49600,47100,47800,137281,883554.0,18484400.0
2016-11-14,47800,48000,45050,45750,161104,845661.0,18484400.0
2016-11-15,46100,46250,44200,44450,135039,821632.0,18484400.0
2016-11-16,44550,45900,44500,45500,78427,841040.0,18484400.0
2016-11-17,45850,45850,44400,44400,73169,820707.0,18484400.0
2016-11-18,44500,44950,43500,43650,90504,806844.0,18484400.0
2016-11-21,43450,43450,42000,42050,118029,777269.0,18484400.0
2016-11-22,42750,42750,41850,42200,75378,780042.0,18484400.0
2016-11-23,42300,42450,38500,38850,397100,718119.0,18484400.0
2016-11-24,38900,39500,36250,36250,426325,670060.0,18484400.0
2016-11-25,36300,38700,36150,37650,274120,695938.0,18484400.0
2016-11-28,37800,40150,37800,40150,278569,742149.0,18484400.0
2016-11-29,40000,40900,38900,40850,140349,755088.0,18484400.0
2016-11-30,40800,41350,39950,40250,154987,743997.0,18484400.0
2016-12-01,40400,41150,38700,40950,110951,756936.0,18484400.0
2016-12-02,40400,40750,39950,39950,66749,738452.0,18484400.0
2016-12-05,39300,40000,38950,39450,54305,729210.0,18484400.0
2016-12-06,39650,41600,39650,41050,87695,758785.0,18484400.0
2016-12-07,41200,42850,40550,42700,183738,789284.0,18484400.0
2016-12-08,42900,43650,41600,43650,194685,806844.0,18484400.0
2016-12-09,43400,43700,42850,43100,73361,796678.0,18484400.0
2016-12-12,43600,44800,43250,43900,95440,811465.0,18484400.0
2016-12-13,43900,45300,43200,44850,124962,829025.0,18484400.0
2016-12-14,45150,45500,44000,44850,122613,829025.0,18484400.0
2016-12-15,44500,45500,44150,44850,79549,829025.0,18484400.0
2016-12-16,44900,45850,44650,45500,195388,841040.0,18484400.0
2016-12-19,45500,45500,43750,43900,114961,811465.0,18484400.0
2016-12-20,43700,44300,43000,43050,68626,795753.0,18484400.0
2016-12-21,43100,44500,42600,43800,100465,809617.0,18484400.0
2016-12-22,43900,44800,43900,44200,97126,817010.0,18484400.0
2016-12-23,44000,45100,43750,44650,121179,825328.0,18484400.0
2016-12-26,44800,46150,44750,44800,142286,828101.0,18484400.0
2016-12-27,45150,46050,44800,45700,92815,844737.0,18484400.0
2016-12-28,45950,47050,45200,46150,131524,853055.0,18484400.0
2016-12-29,45850,45900,44700,44850,98623,829025.0,18484400.0
2017-01-02,45250,45300,43700,43800,70270,809617.0,18484400.0
2017-01-03,44800,45150,44150,44950,63306,830874.0,18484400.0
2017-01-04,45500,47350,45150,46750,128408,864146.0,18484400.0
2017-01-05,47300,47850,46750,47400,142586,876161.0,18484400.0
2017-01-06,47550,48000,46950,47900,94039,885403.0,18484400.0
2017-01-09,47700,47700,47050,47200,91127,872464.0,18484400.0
2017-01-10,47200,48000,47000,47200,104029,872464.0,18484400.0
2017-01-11,48100,48200,47500,47950,82902,886327.0,18484400.0
2017-01-12,47900,47900,46350,47600,121361,879857.0,18484400.0
2017-01-13,47600,48400,47300,47500,97289,878009.0,18484400.0
2017-01-16,47700,48150,46700,47100,79075,870615.0,18484400.0
2017-01-17,47100,47400,45600,46050,134164,851207.0,18484400.0
2017-01-18,45850,46050,45100,45100,73188,833646.0,18484400.0
2017-01-19,45550,46200,45000,45000,51579,831798.0,18484400.0
2017-01-20,45650,46400,45200,46250,64885,854904.0,18484400.0
2017-01-23,47850,48450,46500,46500,168567,859525.0,18484400.0
2017-01-24,46800,47450,46700,46750,91407,864146.0,18484400.0
2017-01-25,47000,47050,45750,45800,58803,846586.0,18484400.0
2017-01-26,45600,45800,44400,44550,113808,823480.0,18484400.0
2017-01-31,44600,45350,44050,45000,54637,831798.0,18484400.0
2017-02-01,45200,47050,45100,46700,125090,863221.0,18484400.0
2017-02-02,46700,46750,45650,45750,75465,845661.0,18484400.0
2017-02-03,46000,46250,44650,44900,63824,829950.0,18484400.0
2017-02-06,45250,46100,44800,46000,61175,850282.0,18484400.0
2017-02-07,46000,46300,45500,45750,63999,845661.0,18484400.0
2017-02-08,46000,46000,44750,44850,97232,829025.0,18484400.0
2017-02-09,44350,44950,41150,41500,571751,767103.0,18484400.0
2017-02-10,41700,42650,41200,41800,192561,772648.0,18484400.0
2017-02-13,42000,42400,41300,41700,85473,770799.0,18484400.0
2017-02-14,41700,42450,41700,41750,79490,771724.0,18484400.0
2017-02-15,42000,43900,41900,43100,167569,796678.0,18484400.0
2017-02-16,43450,43700,42700,43500,74580,804071.0,18484400.0
2017-02-17,43300,43650,42750,43400,53382,802223.0,18484400.0
2017-02-20,43400,43500,42650,42900,55284,792981.0,18484400.0
2017-02-21,43100,43150,41600,41800,121017,772648.0,18484400.0
2017-02-22,41550,42200,41200,41750,90285,771724.0,18484400.0
2017-02-23,41800,42250,41600,41800,50865,772648.0,18484400.0
2017-02-24,42000,42950,41950,42550,73923,786511.0,18484400.0
2017-02-27,42750,43250,42500,42900,55793,792981.0,18484400.0
2017-02-28,43050,43700,42250,43550,80340,804996.0,18484400.0
2017-03-02,43650,44150,43000,43700,59414,807768.0,18484400.0
2017-03-03,43600,43600,42550,43000,56065,794829.0,18484400.0
2017-03-06,43200,43500,42050,43300,52990,800375.0,18484400.0
2017-03-07,43400,43800,42800,43200,70950,798526.0,18484400.0
2017-03-08,42850,43000,42250,42550,90982,786511.0,18484400.0
2017-03-09,42850,43950,42550,43750,119083,808692.0,18484400.0
2017-03-10,43850,44000,42850,43500,70516,804071.0,18484400.0
2017-03-13,43200,43500,42800,43100,46576,796678.0,18484400.0
2017-03-14,43150,43300,42300,42500,53334,785587.0,18484400.0
2017-03-15,42300,42550,41350,41450,76371,766178.0,18484400.0
2017-03-16,41550,42250,40950,42150,58198,779117.0,18484400.0
2017-03-17,42200,42200,41600,41800,40198,772648.0,18484400.0
2017-03-20,41900,42300,41150,42250,44406,780966.0,18484400.0
2017-03-21,41850,42300,41700,42000,43288,776345.0,18484400.0
2017-03-22,41900,42100,41500,41800,41501,772648.0,18484400.0
2017-03-23,41850,41900,40500,40650,113027,751391.0,18484400.0
2017-03-24,40650,40800,39750,39900,160775,737528.0,18484400.0
2017-03-27,39750,40600,39650,39850,69684,736603.0,18484400.0
2017-03-28,40350,40500,39900,40300,65478,744921.0,18484400.0
2017-03-29,40600,40600,39850,40200,57245,743073.0,18484400.0
2017-03-30,40150,40500,39700,39750,59606,734755.0,18484400.0
2017-03-31,39950,41150,39450,40800,76746,754164.0,18484400.0
2017-04-03,40600,43250,40600,43100,192572,796678.0,18484400.0
2017-04-04,43100,43300,42400,42400,90868,783739.0,18484400.0
2017-04-05,42650,42850,41700,42450,100809,784663.0,18484400.0
2017-04-06,42450,42600,41300,41450,101933,766178.0,18484400.0
2017-04-07,41800,42050,41150,41600,56276,768951.0,18484400.0
2017-04-10,41700,41700,39700,39800,95838,735679.0,18484400.0
2017-04-11,42500,43350,41750,41800,517557,772648.0,18484400.0
2017-04-12,41900,44500,41550,44300,342387,818859.0,18484400.0
2017-04-13,44750,45500,44500,45000,307927,831798.0,18484400.0
2017-04-14,44600,45950,44600,45700,183152,844737.0,18484400.0
2017-04-17,45700,46600,44750,45800,144063,846586.0,18484400.0
2017-04-18,45850,45850,44850,45700,142226,844737.0,18484400.0
2017-04-19,45950,46150,45100,45700,88562,844737.0,18484400.0
2017-04-20,45900,46100,45050,45950,100039,849358.0,18484400.0
2017-04-21,46100,47150,45350,46550,152595,860449.0,18484400.0
2017-04-24,47250,47500,46550,47000,168427,868767.0,18484400.0
2017-04-25,47450,47500,45500,45900,151771,848434.0,18484400.0
2017-04-26,46400,46400,45200,45700,131530,844737.0,18484400.0
2017-04-27,46000,47350,45550,45550,131949,841964.0,18484400.0
2017-04-28,45650,45950,45100,45750,71245,845661.0,18484400.0
2017-05-02,45750,45950,45000,45000,57040,831798.0,18484400.0
2017-05-04,45000,46750,44550,46550,90957,860449.0,18484400.0
2017-05-08,46550,48200,46250,47650,141275,880782.0,18484400.0
2017-05-10,47700,48050,45750,45750,125338,845661.0,18484400.0
2017-05-11,45900,47700,45450,47600,119406,879857.0,18484400.0
2017-05-12,47350,47600,46550,47250,74953,873388.0,18484400.0
2017-05-15,47400,48450,47250,47600,116979,879857.0,18484400.0
2017-05-16,47600,48100,47100,47500,81432,878009.0,18484400.0
2017-05-17,47800,48400,46550,46850,98052,865994.0,18484400.0
2017-05-18,46250,47200,46200,46800,58024,865070.0,18484400.0
2017-05-19,46850,48000,46600,47900,73128,885403.0,18484400.0
2017-05-22,48250,48400,47400,47800,64950,883554.0,18484400.0
2017-05-23,48000,48100,47100,47800,99883,883554.0,18484400.0
2017-05-24,47650,48400,47500,48100,145341,889100.0,18484400.0
2017-05-25,48300,48800,47850,48100,139349,889100.0,18484400.0
2017-05-26,48500,48650,48100,48400,61759,894645.0,18484400.0
2017-05-29,48200,48400,47350,47550,80960,878933.0,18484400.0
2017-05-30,47550,48200,47400,47400,62832,876161.0,18484400.0
2017-05-31,47550,49100,47150,48950,231320,904811.0,18484400.0
2017-06-01,48950,49100,48250,49000,91952,905736.0,18484400.0
2017-06-02,49150,49550,48700,49100,92506,907584.0,18484400.0
2017-06-05,49100,49950,48950,49400,72347,913129.0,18484400.0
2017-06-07,49400,49400,48200,49300,67595,911281.0,18484400.0
2017-06-08,48850,50100,48300,49800,131391,920523.0,18484400.0
2017-06-09,50300,50300,49300,49900,76107,922372.0,18484400.0
2017-06-12,49600,49850,49050,49300,58432,911281.0,18484400.0
2017-06-13,49250,49650,48100,48100,190278,889100.0,18484400.0
2017-06-14,48350,48900,45300,45900,366664,848434.0,18484400.0
2017-06-15,46200,46450,43550,44150,434790,816086.0,18484400.0
2017-06-16,44150,44650,42850,43350,450054,801299.0,18484400.0
2017-06-19,43700,44000,43050,43600,165682,805920.0,18484400.0
2017-06-20,43600,43700,41650,41850,265772,773572.0,18484400.0
2017-06-21,41900,42450,41250,42000,128039,776345.0,18484400.0
2017-06-22,42500,43450,42150,42850,138214,792057.0,18484400.0
2017-06-23,43300,43900,43300,43800,115564,809617.0,18484400.0
2017-06-26,43800,44200,43000,43200,72825,805939.0,18656000.0
2017-06-27,43250,43700,42000,42100,168827,785418.0,18656000.0
2017-06-28,41950,42100,40700,41100,258627,766762.0,18656000.0
2017-06-29,41500,43000,41100,42750,133674,797544.0,18656000.0
2017-06-30,42750,42750,41100,41550,109577,775157.0,18656000.0
2017-07-03,41500,41500,39950,40000,210194,746240.0,18656000.0
2017-07-04,40250,41200,40100,40350,81284,752770.0,18656000.0
2017-07-05,40350,40650,39900,40150,68860,749038.0,18656000.0
2017-07-06,40600,40600,39900,40050,55788,747173.0,18656000.0
2017-07-07,39900,40350,39450,39750,87259,741576.0,18656000.0
2017-07-10,39750,39950,38450,38600,131693,720122.0,18656000.0
2017-07-11,38850,39500,38100,39250,66793,732248.0,18656000.0
2017-07-12,39700,39700,38200,38500,102287,718256.0,18656000.0
2017-07-13,38800,39200,38450,39200,98034,731315.0,18656000.0
2017-07-14,39400,39600,39000,39000,60084,727584.0,18656000.0
2017-07-17,38600,39850,38600,39350,66610,734114.0,18656000.0
2017-07-18,39500,40550,39100,40500,96699,755568.0,18656000.0
2017-07-19,40400,40550,40150,40300,61653,751837.0,18656000.0
2017-07-20,40450,40550,39350,40200,129272,749971.0,18656000.0
2017-07-21,40300,40450,39150,39250,93769,732248.0,18656000.0
2017-07-24,39150,39750,39050,39050,81221,728517.0,18656000.0
2017-07-25,38950,39400,38750,38950,72705,726651.0,18656000.0
2017-07-26,38900,39350,38250,38700,104220,721987.0,18656000.0
2017-07-27,39400,40700,38750,40700,224993,759299.0,18656000.0
2017-07-28,41200,41800,39900,40100,252617,748106.0,18656000.0
2017-07-31,39800,40450,39000,39200,89276,731315.0,18656000.0
2017-08-01,39000,39700,38600,39550,69147,737845.0,18656000.0
2017-08-02,39550,39900,38900,38950,110041,726651.0,18656000.0
2017-08-03,38800,38850,37050,37400,218928,697734.0,18656000.0
2017-08-04,37650,37750,36250,36700,139993,684675.0,18656000.0
2017-08-07,37050,39000,37000,38950,105908,726651.0,18656000.0
2017-08-08,38800,39400,37700,38250,87953,713592.0,18656000.0
2017-08-09,38450,38450,37800,37850,41324,706130.0,18656000.0
2017-08-10,37700,38750,37400,38300,62758,714525.0,18656000.0
2017-08-11,37500,38200,36650,36750,95078,685608.0,18656000.0
2017-08-14,36850,37250,36300,36400,68193,679078.0,18656000.0
2017-08-16,36300,37250,36200,36200,104003,675347.0,18656000.0
2017-08-17,36450,36550,35550,36000,91817,671616.0,18656000.0
2017-08-18,35900,36500,35600,36500,137324,680944.0,18656000.0
2017-08-21,36450,36800,35600,35600,93843,664154.0,18656000.0
2017-08-22,35700,35900,34250,34250,191048,638968.0,18656000.0
2017-08-23,34500,35200,34400,34800,110029,649229.0,18656000.0
2017-08-24,34900,35650,34400,35500,71758,662288.0,18656000.0
2017-08-25,35300,36050,34750,35650,90193,665086.0,18656000.0
2017-08-28,35650,36200,35500,35700,66234,666019.0,18656000.0
2017-08-29,35700,36100,35500,35800,68833,667885.0,18656000.0
2017-08-30,36250,36250,34800,34950,90624,652027.0,18656000.0
2017-08-31,35100,35150,34500,34950,64438,652027.0,18656000.0
2017-09-01,35100,36200,35100,35950,128931,670683.0,18656000.0
2017-09-04,34750,35350,34600,34700,110913,647363.0,18656000.0
2017-09-05,34800,35000,33400,33500,135831,624976.0,18656000.0
2017-09-06,33500,33950,33050,33800,78863,630573.0,18656000.0
2017-09-07,33900,34250,33300,34050,73759,635237.0,18656000.0
2017-09-08,34150,34350,33300,33400,63166,623110.0,18656000.0
2017-09-11,33500,34200,32850,32900,73482,613782.0,18656000.0
2017-09-12,33000,33150,31750,31950,141251,596059.0,18656000.0
2017-09-13,32000,32200,31200,31450,121813,586731.0,18656000.0
2017-09-14,31500,32250,31500,31600,86654,589530.0,18656000.0
2017-09-15,31600,31750,31050,31550,104201,588597.0,18656000.0
2017-09-18,31500,32450,31300,32150,96056,599790.0,18656000.0
2017-09-19,33100,33150,32100,32400,186707,604454.0,18656000.0
2017-09-20,32700,35000,32550,34600,462152,645498.0,18656000.0
2017-09-21,34900,35150,33750,34300,170971,639901.0,18656000.0
2017-09-22,34100,34200,32600,33350,163660,622178.0,18656000.0
2017-09-25,33200,33200,31700,31700,165451,591395.0,18656000.0
2017-09-26,31700,32700,31700,32450,81191,605387.0,18656000.0
2017-09-27,32500,32700,31750,32050,71647,597925.0,18656000.0
2017-09-28,32000,32200,31650,32050,56693,597925.0,18656000.0
2017-09-29,32050,33250,31950,33000,73810,615648.0,18656000.0
2017-10-10,33000,33350,32400,32900,63622,613782.0,18656000.0
2017-10-11,32900,33700,32550,33650,77951,627774.0,18656000.0
2017-10-12,33750,34400,33200,34100,121818,636170.0,18656000.0
2017-10-13,33950,34750,32950,33050,135878,616581.0,18656000.0
2017-10-16,33050,33300,32350,32750,82071,610984.0,18656000.0
2017-10-17,32750,33150,32350,32500,56028,606320.0,18656000.0
2017-10-18,32650,34900,32650,34900,310053,651094.0,18656000.0
2017-10-19,35050,35050,33800,34300,170035,639901.0,18656000.0
2017-10-20,34300,35100,33750,35000,172685,652960.0,18656000.0
2017-10-23,35500,36850,35250,35850,438519,668818.0,18656000.0
2017-10-24,35850,35900,34600,34700,245337,647363.0,18656000.0
2017-10-25,34700,34950,34100,34650,175757,646430.0,18656000.0
2017-10-26,34600,34600,33800,33800,156259,630573.0,18656000.0
2017-10-27,33850,34850,33050,33400,212516,623110.0,18656000.0
2017-10-30,33700,34550,33250,33500,254255,624976.0,18656000.0
2017-10-31,33650,33650,32550,33000,140130,615648.0,18656000.0
2017-11-01,33400,35050,33350,34400,310864,641766.0,18656000.0
2017-11-02,34500,34550,33750,34050,109845,635237.0,18656000.0
2017-11-03,32700,33550,32650,32900,363678,613782.0,18656000.0
2017-11-06,32800,33600,32400,33300,205958,621245.0,18656000.0
2017-11-07,33550,33950,33300,33750,185206,629640.0,18656000.0
2017-11-08,34000,35000,33650,34650,269974,646430.0,18656000.0
2017-11-09,34650,34700,33800,34250,151540,638968.0,18656000.0
2017-11-10,34300,35200,34250,34800,214218,649229.0,18656000.0
2017-11-13,35000,36200,34550,35850,289759,668818.0,18656000.0
2017-11-14,35900,36650,35400,36500,551084,680944.0,18656000.0
2017-11-15,36600,37050,35900,36700,350784,684675.0,18656000.0
2017-11-16,37000,37150,35400,36000,235992,671616.0,18656000.0
2017-11-17,35950,35950,34750,34900,236973,651094.0,18656000.0
2017-11-20,34750,36350,34750,36050,212962,672549.0,18656000.0
2017-11-21,36750,37300,35600,36500,386970,680944.0,18656000.0
2017-11-22,36850,37000,35050,35050,301727,653893.0,18656000.0
2017-11-23,35200,36650,35100,36200,215304,675347.0,18656000.0
2017-11-24,36250,37250,35500,36400,287990,679078.0,18656000.0
2017-11-27,36900,37550,36200,36600,210032,682810.0,18656000.0
2017-11-28,36600,37300,36150,36200,176578,675347.0,18656000.0
2017-11-29,36150,36550,36000,36000,111526,671616.0,18656000.0
2017-11-30,36050,36250,35100,35100,114659,654826.0,18656000.0
2017-12-01,35750,36350,35100,36350,128670,678146.0,18656000.0
2017-12-04,36350,36750,36150,36600,125882,682810.0,18656000.0
2017-12-05,35750,35750,33600,33650,527551,627774.0,18656000.0
2017-12-06,33800,33850,32050,32050,284175,597925.0,18656000.0
2017-12-07,32300,32500,31550,32050,123413,597925.0,18656000.0
2017-12-08,32100,32300,31450,31450,101980,586731.0,18656000.0
2017-12-11,31450,32400,31100,32400,107297,604454.0,18656000.0
2017-12-12,32600,32600,31700,32250,69386,601656.0,18656000.0
2017-12-13,32050,32550,31900,32200,66276,600723.0,18656000.0
2017-12-14,32150,32200,31700,31700,110881,591395.0,18656000.0
2017-12-15,32000,32000,31500,31700,78453,591395.0,18656000.0
2017-12-18,31550,31550,30950,31000,126222,578336.0,18656000.0
2017-12-19,31000,31100,29800,30350,191159,566210.0,18656000.0
2017-12-20,30350,31250,30300,30950,59789,577403.0,18656000.0
2017-12-21,30750,31100,30150,30850,65541,575538.0,18656000.0
2017-12-22,30450,31750,30450,31650,69424,590462.0,18656000.0
2017-12-26,31700,32500,31550,32500,119078,606320.0,18656000.0
2017-12-27,32150,32900,31600,32800,87448,611917.0,18656000.0
2017-12-28,33150,33450,32500,33050,94158,616581.0,18656000.0
2018-01-02,32600,32650,31850,32200,111008,600723.0,18656000.0
2018-01-03,32200,32550,31850,32350,122448,603522.0,18656000.0
2018-01-04,32350,32800,31600,31700,116297,591395.0,18656000.0
2018-01-05,31700,32550,31700,32450,86752,605387.0,18656000.0
2018-01-08,32650,32700,31600,31950,110792,596059.0,18656000.0
2018-01-09,31950,32000,31250,31250,123458,583000.0,18656000.0
2018-01-10,31300,32150,31250,32150,78170,599790.0,18656000.0
2018-01-11,33400,36050,33250,36050,902032,672549.0,18656000.0
2018-01-12,36300,39150,35500,37350,1099417,696802.0,18656000.0
2018-01-15,40000,40500,37350,37700,551205,703331.0,18656000.0
2018-01-16,37750,41050,37550,39000,753380,727584.0,18656000.0
2018-01-17,39100,39700,38150,38950,248410,726651.0,18656000.0
2018-01-18,40350,49500,40350,45500,2959977,848848.0,18656000.0
2018-01-19,44550,47250,43550,45200,790455,843251.0,18656000.0
2018-01-22,45700,46950,41550,43850,688050,818066.0,18656000.0
2018-01-23,44000,47400,44000,45600,706796,850714.0,18656000.0
2018-01-24,45600,47300,44600,45800,324320,854445.0,18656000.0
2018-01-25,46500,46650,44200,45250,225976,844184.0,18656000.0
2018-01-26,45750,45800,43850,44000,259036,820864.0,18656000.0
2018-01-29,43550,44850,42150,44500,425400,830192.0,18656000.0
2018-01-30,44350,44500,42500,43200,231918,805939.0,18656000.0
2018-01-31,42150,44000,42000,43650,173459,814334.0,18656000.0
2018-02-01,43900,44500,42650,42700,169244,796611.0,18656000.0
2018-02-02,42700,43950,41100,43900,255299,818998.0,18656000.0
2018-02-05,42100,43000,40400,40400,244752,753702.0,18656000.0
2018-02-06,37900,39500,36700,38800,549313,723853.0,18656000.0
2018-02-07,40000,40750,38000,38000,312289,708928.0,18656000.0
2018-02-08,38550,41300,38450,41050,384856,765829.0,18656000.0
2018-02-09,39000,40300,38900,39500,181501,736912.0,18656000.0
2018-02-12,40700,41800,40000,40700,183825,759299.0,18656000.0
2018-02-13,41450,41450,39200,39200,97356,731315.0,18656000.0
2018-02-14,40600,40750,39100,40750,131808,760232.0,18656000.0
2018-02-19,40750,43050,40750,43050,181643,803141.0,18656000.0
2018-02-20,43000,43650,41650,42450,111878,791947.0,18656000.0
2018-02-21,42300,43000,42000,42600,70468,794746.0,18656000.0
2018-02-22,42600,42700,41050,41350,100383,771426.0,18656000.0
2018-02-23,42100,42100,41000,41350,103874,771426.0,18656000.0
2018-02-26,41700,42350,40650,41300,77695,770493.0,18656000.0
2018-02-27,41300,41800,39500,40000,144932,746240.0,18656000.0
2018-02-28,39600,40600,38450,39650,120713,739710.0,18656000.0
2018-03-02,38700,39650,38450,39550,94409,737845.0,18656000.0
2018-03-05,40000,40150,38700,39300,73359,733181.0,18656000.0
2018-03-06,39350,41350,39350,41350,130232,771426.0,18656000.0
2018-03-07,41350,42700,39900,40300,136950,751837.0,18656000.0
2018-03-08,40800,43750,40800,43100,374717,804074.0,18656000.0
2018-03-09,43800,45300,43550,44800,328462,835789.0,18656000.0
2018-03-12,45500,45500,44150,45000,150112,839520.0,18656000.0
