드림시큐리티(203650),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-03-09,2111,2115,2078,2092,28414,12265.0,5500000.0
2015-03-10,2064,2064,1970,2031,139079,11908.0,5500000.0
2015-03-11,2017,2045,2007,2031,69110,11908.0,5500000.0
2015-03-12,2026,2026,1993,2022,57346,11852.0,5500000.0
2015-03-13,2007,2045,2007,2045,24086,11990.0,5500000.0
2015-03-16,2026,2045,2026,2045,40927,11990.0,5500000.0
2015-03-17,2026,2054,2026,2036,27176,11935.0,5500000.0
2015-03-18,2059,2157,2059,2120,145814,12430.0,5500000.0
2015-03-19,2120,2186,2096,2163,147892,12678.0,5500000.0
2015-03-20,2181,2265,2167,2247,110872,13172.0,5500000.0
2015-03-23,2242,2289,2214,2252,96140,13200.0,5500000.0
2015-03-24,2279,2303,2101,2205,97097,12925.0,5500000.0
2015-03-25,2139,2223,2139,2196,159356,12870.0,5500000.0
2015-03-26,2247,2247,2115,2125,45189,12458.0,5500000.0
2015-03-27,2125,2214,2026,2050,97003,12018.0,5500000.0
2015-03-30,2054,2143,2031,2116,86998,12402.0,5500000.0
2015-03-31,2129,2129,2031,2050,31983,12018.0,5500000.0
2015-04-01,2050,2082,2040,2059,29784,12072.0,5500000.0
2015-04-02,2045,2073,2045,2064,22048,12100.0,5500000.0
2015-04-03,2064,2087,2064,2078,4651,12182.0,5500000.0
2015-04-06,2092,2101,2082,2097,9241,12292.0,5500000.0
2015-04-07,2068,2092,2068,2092,8458,12265.0,5500000.0
2015-04-08,2106,2106,2064,2064,40961,12100.0,5500000.0
2015-04-09,2073,2078,2059,2074,39758,12155.0,5500000.0
2015-04-10,2064,2092,2064,2078,16677,12182.0,5500000.0
2015-04-13,2148,2148,2064,2069,22343,12128.0,5500000.0
2015-04-14,2064,2125,2059,2074,43495,12155.0,5500000.0
2015-04-15,2078,2139,2068,2106,18605,12348.0,5500000.0
2015-04-16,2139,2139,2087,2106,10847,12348.0,5500000.0
2015-04-17,2087,2148,2087,2102,12144,12320.0,5500000.0
2015-04-20,2111,2111,2082,2106,44528,12348.0,5500000.0
2015-04-21,2111,2157,2106,2135,81251,12512.0,5500000.0
2015-04-22,2134,2153,2125,2135,42875,12512.0,5500000.0
2015-04-23,2148,2148,2129,2139,8339,12540.0,5500000.0
2015-04-24,2120,2153,2087,2116,36317,12402.0,5500000.0
2015-04-27,2139,2139,2096,2120,16863,12430.0,5500000.0
2015-04-28,2111,2111,2096,2106,19320,12348.0,5500000.0
2015-04-29,2106,2134,2101,2116,5515,12402.0,5500000.0
2015-04-30,2115,2115,2082,2102,135413,12320.0,5500000.0
2015-05-04,2092,2101,2087,2092,41781,12265.0,5500000.0
2015-05-06,2092,2096,2082,2092,18410,12265.0,5500000.0
2015-05-07,2087,2092,2073,2092,21334,12265.0,5500000.0
2015-05-08,2082,2096,2078,2097,34356,12292.0,5500000.0
2015-05-11,2096,2134,2096,2111,5999,12375.0,5500000.0
2015-05-12,2073,2115,2073,2097,4609,12292.0,5500000.0
2015-05-13,2120,2120,2082,2102,12295,12320.0,5500000.0
2015-05-14,2101,2101,2087,2092,12533,12265.0,5500000.0
2015-05-15,2092,2106,2087,2106,19402,12348.0,5500000.0
2015-05-18,2106,2111,2092,2106,16897,12348.0,5500000.0
2015-05-19,2106,2143,2106,2139,61322,12540.0,5500000.0
2015-05-20,2148,2148,2120,2120,8204,12430.0,5500000.0
2015-05-21,2111,2111,2101,2111,4447,12375.0,5500000.0
2015-05-22,2096,2115,2087,2111,5349,12375.0,5500000.0
2015-05-26,2082,2106,2082,2083,19147,12210.0,5500000.0
2015-05-27,2078,2087,2064,2083,31395,12210.0,5500000.0
2015-05-28,2092,2096,2073,2088,19717,12238.0,5500000.0
2015-05-29,2078,2087,2078,2083,6801,12210.0,5500000.0
2015-06-01,2082,2087,2064,2083,41839,12210.0,5500000.0
2015-06-02,2082,2087,2068,2078,4453,12182.0,5500000.0
2015-06-03,2068,2082,2064,2078,48222,12182.0,5500000.0
2015-06-04,2064,2078,2064,2078,59104,12182.0,5500000.0
2015-06-05,2064,2087,2064,2083,13420,12210.0,5500000.0
2015-06-08,2082,2101,2068,2088,11938,12238.0,5500000.0
2015-06-09,2068,2096,2068,2088,1408,12238.0,5500000.0
2015-06-10,2064,2078,2059,2064,35011,12100.0,5500000.0
2015-06-11,2064,2087,2045,2064,38090,12100.0,5500000.0
2015-06-12,2054,2059,2017,2045,42872,11990.0,5500000.0
2015-06-15,2082,2082,1993,2059,3018,12072.0,5500000.0
2015-06-16,2031,2064,1970,2008,25960,11770.0,5500000.0
2015-06-17,2003,2007,1923,1994,42209,11688.0,5500000.0
2015-06-18,1989,1989,1937,1989,20437,11660.0,5500000.0
2015-06-19,1989,1989,1984,1984,3083,11632.0,5500000.0
2015-06-22,1984,1998,1984,1989,4675,11660.0,5500000.0
2015-06-23,1942,1998,1942,1989,10524,11660.0,5500000.0
2015-06-24,1970,1975,1970,1975,212,11578.0,5500000.0
2015-06-25,1975,2003,1951,1994,5621,11688.0,5500000.0
2015-06-26,2082,2082,2003,2027,7171,11880.0,5500000.0
2015-06-29,2026,2176,2026,2078,122519,12182.0,5500000.0
2015-06-30,2082,2087,2017,2083,7091,12210.0,5500000.0
2015-07-01,2111,2111,2064,2069,6051,12128.0,5500000.0
2015-07-02,2021,2064,2021,2064,1496,12100.0,5500000.0
2015-07-03,2059,2073,2045,2050,8157,12018.0,5500000.0
2015-07-06,2087,2087,2031,2045,6752,11990.0,5500000.0
2015-07-07,2031,2092,2026,2059,39849,12072.0,5500000.0
2015-07-08,2054,2092,2040,2088,6566,12238.0,5500000.0
2015-07-09,2078,2078,2078,2078,3000,12182.0,5500000.0
2015-07-10,2082,2087,2078,2088,4425,12238.0,5500000.0
2015-07-13,2087,2087,2045,2083,4774,12210.0,5500000.0
2015-07-14,2096,2096,2082,2088,5756,12238.0,5500000.0
2015-07-15,2096,2096,2064,2088,16703,12238.0,5500000.0
2015-07-16,2087,2087,2078,2083,2968,12210.0,5500000.0
2015-07-17,2064,2092,2064,2088,1199,12238.0,5500000.0
2015-07-20,2096,2096,2082,2092,18660,12265.0,5500000.0
2015-07-21,2096,2106,2092,2102,10066,12320.0,5500000.0
2015-07-22,2101,2111,2092,2092,5787,12265.0,5500000.0
2015-07-23,2111,2143,2111,2139,10962,12540.0,5500000.0
2015-07-24,2129,2270,2129,2191,117210,12842.0,5500000.0
2015-07-27,2200,2200,2120,2120,21499,12430.0,5500000.0
2015-07-28,2111,2129,2073,2106,17989,12348.0,5500000.0
2015-07-29,2106,2129,2106,2116,3071,12402.0,5500000.0
2015-07-30,2115,2139,2087,2120,17118,12430.0,5500000.0
2015-07-31,2167,2172,2115,2172,11956,12732.0,5500000.0
2015-08-03,2172,2172,2096,2163,3222,12678.0,5500000.0
2015-08-04,2172,2176,2125,2172,1060,12732.0,5500000.0
2015-08-05,2176,2176,2106,2116,49028,12402.0,5500000.0
2015-08-06,2125,2176,2120,2177,17054,12760.0,5500000.0
2015-08-07,2157,2176,2148,2158,12540,12650.0,5500000.0
2015-08-10,2139,2186,2139,2172,29971,12732.0,5500000.0
2015-08-11,2195,2195,2148,2181,32164,12788.0,5500000.0
2015-08-12,2139,2186,2125,2153,10474,12622.0,5500000.0
2015-08-13,2111,2195,2111,2158,2607,12650.0,5500000.0
2015-08-17,2115,2195,2115,2120,8147,12430.0,5500000.0
2015-08-18,2111,2195,2111,2144,16383,12568.0,5500000.0
2015-08-19,2115,2134,2064,2083,53568,12210.0,5500000.0
2015-08-20,2082,2190,2082,2158,39335,12650.0,5500000.0
2015-08-21,2096,2139,2068,2125,5379,12458.0,5500000.0
2015-08-24,2120,2120,2026,2059,17185,12072.0,5500000.0
2015-08-25,2078,2111,2054,2111,8707,12375.0,5500000.0
2015-08-26,2111,2111,2054,2088,6371,12238.0,5500000.0
2015-08-27,2087,2087,2087,2088,91,12238.0,5500000.0
2015-08-28,2087,2092,2064,2092,6219,12265.0,5500000.0
2015-08-31,2101,2139,2059,2092,10858,12265.0,5500000.0
2015-09-01,2115,2115,2068,2069,2185,12128.0,5500000.0
2015-09-02,2068,2111,2068,2111,12715,12375.0,5500000.0
2015-09-03,2078,2143,2045,2045,27612,11990.0,5500000.0
2015-09-04,2064,2120,2040,2041,1834,11962.0,5500000.0
2015-09-07,2031,2050,2031,2041,19867,11962.0,5500000.0
2015-09-08,2036,2040,2031,2041,9203,11962.0,5500000.0
2015-09-09,2050,2050,2026,2045,28796,11990.0,5500000.0
2015-09-10,2026,2064,2026,2064,17090,12100.0,5500000.0
2015-09-11,2050,2050,2050,2050,0,12018.0,5500000.0
2015-09-14,2050,2050,2021,2050,6196,12018.0,5500000.0
2015-09-15,2045,2045,2021,2036,4972,11935.0,5500000.0
2015-09-16,2017,2021,1998,2022,16846,11852.0,5500000.0
2015-09-17,1998,2021,1998,2022,3401,11852.0,5500000.0
2015-09-18,1998,2031,1993,1998,6172,11715.0,5500000.0
2015-09-21,1998,2036,1998,2013,5580,11798.0,5500000.0
2015-09-22,1993,2012,1975,1998,1538,11715.0,5500000.0
2015-09-23,2007,2007,1975,1980,11002,11605.0,5500000.0
2015-09-24,1970,2012,1970,1980,36151,11605.0,5500000.0
2015-09-25,1975,2026,1975,2027,3062,11880.0,5500000.0
2015-09-30,2021,2021,1975,1980,6321,11605.0,5500000.0
2015-10-01,1998,1998,1979,1994,147,11688.0,5500000.0
2015-10-02,1975,1993,1975,1994,2503,11688.0,5500000.0
2015-10-05,1975,2045,1970,1980,11816,11605.0,5500000.0
2015-10-06,1979,2036,1979,2003,7152,11742.0,5500000.0
2015-10-07,2003,2003,1979,1989,2383,11660.0,5500000.0
2015-10-08,1970,1998,1970,1975,32250,11578.0,5500000.0
2015-10-12,1975,2017,1970,1984,14021,11632.0,5500000.0
2015-10-13,1979,1979,1975,1980,7907,11605.0,5500000.0
2015-10-14,1970,1979,1970,1980,9427,11605.0,5500000.0
2015-10-15,1970,1984,1965,1980,5456,11605.0,5500000.0
2015-10-16,1975,1989,1975,1989,7245,11660.0,5500000.0
2015-10-19,1989,1989,1989,1989,10,11660.0,5500000.0
2015-10-20,1970,1989,1970,1989,2301,11660.0,5500000.0
2015-10-21,1989,1989,1989,1989,510,11660.0,5500000.0
2015-10-22,1970,1989,1970,1980,7051,11605.0,5500000.0
2015-10-23,1970,1979,1970,1980,2425,11605.0,5500000.0
2015-10-26,1970,1979,1965,1980,14654,11605.0,5500000.0
2015-10-27,1989,1989,1965,1966,161,11522.0,5500000.0
2015-10-28,1965,1984,1965,1984,212,11632.0,5500000.0
2015-10-29,1984,1984,1984,1984,1,11632.0,5500000.0
2015-10-30,1960,1979,1960,1980,11750,11605.0,5500000.0
2015-11-02,1975,1975,1965,1975,349,11578.0,5500000.0
2015-11-03,1970,1970,1951,1970,1239,11550.0,5500000.0
2015-11-04,1965,1965,1960,1966,35,11522.0,5500000.0
2015-11-05,1946,1970,1942,1956,12349,11468.0,5500000.0
2015-11-06,1970,1970,1932,1961,5231,11495.0,5500000.0
2015-11-09,1965,1965,1932,1933,4350,11330.0,5500000.0
2015-11-10,1932,1951,1923,1952,2242,11440.0,5500000.0
2015-11-11,1904,1946,1904,1937,7124,11358.0,5500000.0
2015-11-12,1923,1932,1899,1933,3150,11330.0,5500000.0
2015-11-13,1937,1937,1918,1933,1952,11330.0,5500000.0
2015-11-16,1909,1932,1909,1933,4083,11330.0,5500000.0
2015-11-17,1895,1932,1890,1905,1506,11165.0,5500000.0
2015-11-18,1904,1918,1904,1919,3377,11248.0,5500000.0
2015-11-19,1881,1914,1881,1905,4877,11165.0,5500000.0
2015-11-20,1895,1895,1895,1895,48,11110.0,5500000.0
2015-11-23,1881,1895,1881,1891,2735,11082.0,5500000.0
2015-11-24,1951,1951,1881,1881,1486,11028.0,5500000.0
2015-11-25,1885,1890,1876,1891,2618,11082.0,5500000.0
2015-11-26,1960,1960,1881,1886,4577,11055.0,5500000.0
2015-11-27,1890,1895,1885,1886,5454,11055.0,5500000.0
2015-11-30,1876,1918,1876,1881,14815,11028.0,5500000.0
2015-12-01,1881,1885,1876,1881,4293,11028.0,5500000.0
2015-12-02,1876,1904,1876,1900,10797,11138.0,5500000.0
2015-12-03,1909,1909,1876,1877,94,11000.0,5500000.0
2015-12-04,1881,1885,1876,1886,2421,11055.0,5500000.0
2015-12-07,1885,1895,1881,1895,1966,11110.0,5500000.0
2015-12-08,1909,1909,1876,1877,2102,11000.0,5500000.0
2015-12-09,1881,1904,1876,1905,5620,11165.0,5500000.0
2015-12-10,1876,1881,1871,1877,20850,11000.0,5500000.0
2015-12-11,1899,1899,1899,1900,1,11138.0,5500000.0
2015-12-14,1876,1876,1871,1872,996,10972.0,5500000.0
2015-12-15,1876,1876,1876,1877,2441,11000.0,5500000.0
2015-12-16,1904,1904,1876,1886,2003,11055.0,5500000.0
2015-12-17,1876,1899,1876,1886,3102,11055.0,5500000.0
2015-12-18,1876,1876,1876,1877,1000,11000.0,5500000.0
2015-12-21,1876,1895,1876,1895,11002,11110.0,5500000.0
2015-12-22,1876,1909,1862,1881,31519,11028.0,5500000.0
2015-12-23,1881,1881,1881,1881,15780,11028.0,5500000.0
2015-12-24,1876,1895,1876,1895,10300,11110.0,5500000.0
2015-12-28,1881,1881,1876,1881,14429,11028.0,5500000.0
2015-12-29,1876,1895,1876,1895,2150,11110.0,5500000.0
2015-12-30,1895,1895,1876,1891,572,11082.0,5500000.0
2016-01-04,1899,1899,1890,1891,2051,11082.0,5500000.0
2016-01-05,1876,1876,1871,1877,11065,11000.0,5500000.0
2016-01-06,1876,1895,1876,1895,4000,11110.0,5500000.0
2016-01-07,1904,1904,1876,1877,4351,11000.0,5500000.0
2016-01-08,1876,1881,1867,1872,21518,10972.0,5500000.0
2016-01-11,1904,1904,1876,1881,5300,11028.0,5500000.0
2016-01-12,1881,1904,1881,1881,3486,11028.0,5500000.0
2016-01-13,1904,1904,1881,1886,1405,11055.0,5500000.0
2016-01-14,1876,1881,1876,1881,151,11028.0,5500000.0
2016-01-15,1881,1899,1881,1900,520,11138.0,5500000.0
2016-01-18,1895,1895,1885,1895,201,11110.0,5500000.0
2016-01-19,1881,1918,1876,1919,5702,11248.0,5500000.0
2016-01-20,1876,1904,1876,1905,5802,11165.0,5500000.0
2016-01-21,1876,1899,1871,1900,571,11138.0,5500000.0
2016-01-22,1876,1899,1876,1900,4,11138.0,5500000.0
2016-01-25,1876,1899,1871,1895,1358,11110.0,5500000.0
2016-01-26,1895,1895,1881,1891,101,11082.0,5500000.0
2016-01-27,1885,1890,1881,1891,3805,11082.0,5500000.0
2016-01-28,1876,1890,1876,1891,1445,11082.0,5500000.0
2016-01-29,1881,1970,1881,1956,9788,11468.0,5500000.0
2016-02-01,1932,1946,1881,1947,2342,11412.0,5500000.0
2016-02-02,1923,1928,1895,1923,32,11275.0,5500000.0
2016-02-03,1918,1918,1918,1919,0,11248.0,5500000.0
2016-02-04,1881,1942,1876,1919,5595,11248.0,5500000.0
2016-02-05,1881,1881,1881,1881,15,11028.0,5500000.0
2016-02-11,1876,1885,1876,1881,1859,11028.0,5500000.0
2016-02-12,1885,1899,1876,1900,9839,11138.0,5500000.0
2016-02-15,1876,1899,1876,1900,2218,11138.0,5500000.0
2016-02-16,1876,1876,1876,1877,3928,11000.0,5500000.0
2016-02-17,1890,1890,1876,1877,3480,11000.0,5500000.0
2016-02-18,1871,1890,1871,1877,18099,11000.0,5500000.0
2016-02-19,1867,1876,1867,1877,4701,11000.0,5500000.0
2016-02-22,1871,1876,1871,1872,661,10972.0,5500000.0
2016-02-23,1876,1876,1871,1872,5282,10972.0,5500000.0
2016-02-24,1867,1876,1867,1877,2601,11000.0,5500000.0
2016-02-25,1867,1871,1867,1872,844,10972.0,5500000.0
2016-02-26,1876,1876,1867,1872,2066,10972.0,5500000.0
2016-02-29,1871,1871,1867,1867,3237,10945.0,5500000.0
2016-03-02,1871,1876,1857,1877,1188,11000.0,5500000.0
2016-03-03,1867,1867,1857,1858,9735,10890.0,5500000.0
2016-03-04,1862,1876,1857,1877,9419,11000.0,5500000.0
2016-03-07,1890,1890,1853,1853,2429,10862.0,5500000.0
2016-03-08,1867,1867,1857,1858,501,10890.0,5500000.0
2016-03-09,1871,1871,1857,1858,3252,10890.0,5500000.0
2016-03-10,1862,1867,1862,1867,1614,10945.0,5500000.0
2016-03-11,1871,1881,1871,1877,1300,11000.0,5500000.0
2016-03-14,1876,1876,1876,1877,100,11000.0,5500000.0
2016-03-15,1867,1876,1867,1877,1153,11000.0,5500000.0
2016-03-16,1862,1862,1862,1862,1229,10918.0,5500000.0
2016-03-17,1857,1881,1857,1881,503,11028.0,5500000.0
2016-03-18,1871,1871,1871,1872,0,10972.0,5500000.0
2016-03-21,1862,1867,1862,1862,12010,10918.0,5500000.0
2016-03-22,1862,1862,1857,1862,17574,10918.0,5500000.0
2016-03-23,1853,1862,1853,1862,42,10918.0,5500000.0
2016-03-24,1843,1885,1843,1886,872,11055.0,5500000.0
2016-03-25,1885,1885,1885,1886,14000,11055.0,5500000.0
2016-03-28,1885,1885,1876,1886,11910,11055.0,5500000.0
2016-03-29,1885,1932,1885,1900,11249,11138.0,5500000.0
2016-03-30,1862,1895,1862,1881,1963,11028.0,5500000.0
2016-03-31,1881,1923,1881,1909,1583,11192.0,5500000.0
2016-04-01,1853,1914,1853,1914,141,11220.0,5500000.0
2016-04-04,1904,1904,1899,1905,77216,11165.0,5500000.0
2016-04-05,1853,1904,1853,1905,1634,11165.0,5500000.0
2016-04-06,1862,1899,1862,1900,102,11138.0,5500000.0
2016-04-07,1862,1899,1862,1900,1003,11138.0,5500000.0
2016-04-08,1899,1899,1899,1900,0,11138.0,5500000.0
2016-04-11,1899,1899,1895,1895,3,11110.0,5500000.0
2016-04-12,1895,1895,1890,1895,17,11110.0,5500000.0
2016-04-14,1895,1895,1895,1895,2802,11110.0,5500000.0
2016-04-15,1904,1904,1885,1886,312,11055.0,5500000.0
2016-04-18,1885,1885,1881,1881,681,11028.0,5500000.0
2016-04-19,1876,1895,1876,1895,4834,11110.0,5500000.0
2016-04-20,1881,1881,1881,1881,100,11028.0,5500000.0
2016-04-21,1885,1885,1876,1877,21542,11000.0,5500000.0
2016-04-22,1881,1881,1881,1881,1,11028.0,5500000.0
2016-04-25,1876,1881,1862,1881,1513,11028.0,5500000.0
2016-04-26,1885,1885,1885,1886,1,11055.0,5500000.0
2016-04-27,1885,1890,1885,1886,2573,11055.0,5500000.0
2016-04-28,1885,1885,1885,1886,0,11055.0,5500000.0
2016-04-29,1862,1885,1862,1886,3352,11055.0,5500000.0
2016-05-02,1871,1885,1871,1886,1051,11055.0,5500000.0
2016-05-03,1876,1876,1876,1877,550,11000.0,5500000.0
2016-05-04,1876,1885,1876,1877,999,11000.0,5500000.0
2016-05-09,1923,1923,1923,1923,5,11275.0,5500000.0
2016-05-10,1923,1923,1867,1867,1208,10945.0,5500000.0
2016-05-11,1867,1867,1867,1867,482,10945.0,5500000.0
2016-05-12,1871,1871,1871,1872,0,10972.0,5500000.0
2016-05-13,1862,1862,1853,1853,2340,10862.0,5500000.0
2016-05-16,1876,1895,1857,1886,11556,11055.0,5500000.0
2016-05-17,1885,1885,1885,1886,0,,
2016-05-18,1885,1885,1862,1881,2450,11028.0,5500000.0
2016-05-19,1867,1881,1867,1881,2,11028.0,5500000.0
2016-05-20,1885,1895,1885,1895,3,11110.0,5500000.0
2016-05-23,1895,1895,1895,1895,951,11110.0,5500000.0
2016-05-24,1876,1876,1862,1872,100,10972.0,5500000.0
2016-05-25,1857,1876,1857,1877,10501,11000.0,5500000.0
2016-05-26,1867,1881,1867,1881,1089,11028.0,5500000.0
2016-05-27,1857,1904,1848,1872,19446,10972.0,5500000.0
2016-05-30,1829,1876,1829,1877,103676,11000.0,5500000.0
2016-05-31,1871,1876,1871,1877,4501,11000.0,5500000.0
2016-06-01,1871,1871,1829,1867,164355,10945.0,5500000.0
2016-06-02,1853,1867,1838,1867,38525,10945.0,5500000.0
2016-06-03,1857,1867,1829,1862,136384,10918.0,5500000.0
2016-06-07,1848,1862,1848,1858,6015,10890.0,5500000.0
2016-06-08,1862,1862,1838,1839,15523,10780.0,5500000.0
2016-06-09,1843,1871,1843,1872,3005,10972.0,5500000.0
2016-06-10,1867,1867,1862,1867,7597,10945.0,5500000.0
2016-06-13,1853,1871,1853,1872,9688,10972.0,5500000.0
2016-06-14,1867,1876,1862,1877,5837,11000.0,5500000.0
2016-06-15,1848,1876,1848,1872,14940,10972.0,5500000.0
2016-06-16,1871,1871,1862,1872,6714,10972.0,5500000.0
2016-06-17,1848,1871,1848,1867,20272,10945.0,5500000.0
2016-06-20,1867,1867,1857,1858,7765,10890.0,5500000.0
2016-06-21,1848,1862,1843,1862,21001,10918.0,5500000.0
2016-06-22,1848,1867,1848,1867,10216,10945.0,5500000.0
2016-06-23,1857,1876,1848,1872,26284,10972.0,5500000.0
2016-06-24,1857,1862,1843,1862,23887,10918.0,5500000.0
2016-06-27,1848,1862,1848,1862,5413,10918.0,5500000.0
2016-06-28,1867,1871,1867,1872,20661,10972.0,5500000.0
