싸이토젠(217330),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-01-11,11200,11400,11000,11150,75172,62818.0,5633864.0
2019-01-14,11100,11250,10800,11150,78385,62818.0,5633864.0
2019-01-15,11150,11500,10950,11300,84470,63663.0,5633864.0
2019-01-16,11300,11350,10950,11050,50390,62254.0,5633864.0
2019-01-17,11000,11250,10700,10800,54386,60846.0,5633864.0
2019-01-18,10850,10900,10650,10700,46248,60282.0,5633864.0
2019-01-21,10750,10950,10400,10500,50925,59156.0,5633864.0
2019-01-22,10500,10600,10400,10550,30502,59437.0,5633864.0
2019-01-23,10400,10650,10350,10400,38830,58592.0,5633864.0
2019-01-24,10400,10650,10300,10600,33500,59719.0,5633864.0
2019-01-25,10600,10700,10500,10550,29747,59437.0,5633864.0
2019-01-28,10650,10950,10600,10800,63623,60846.0,5633864.0
2019-01-29,10800,10800,10450,10650,50735,60001.0,5633864.0
2019-01-30,10750,10800,10500,10600,40373,59719.0,5633864.0
2019-01-31,10750,10750,10350,10450,50091,58874.0,5633864.0
2019-02-01,10450,10750,10400,10550,27117,59437.0,5633864.0
2019-02-07,10500,11050,10400,10950,99189,61691.0,5633864.0
2019-02-08,11000,11150,10750,10900,60324,61409.0,5633864.0
2019-02-11,11000,11050,10700,10800,36809,60846.0,5633864.0
2019-02-12,10800,10800,10400,10500,40938,59156.0,5633864.0
2019-02-13,10500,10950,10500,10750,41774,60564.0,5633864.0
2019-02-14,10800,10800,10600,10750,25412,60564.0,5633864.0
2019-02-15,10850,10850,10500,10650,31280,60001.0,5633864.0
2019-02-18,10700,11350,10650,11200,162600,63099.0,5633864.0
2019-02-19,11200,11400,11050,11350,76268,63944.0,5633864.0
2019-02-20,11400,11400,11050,11300,58190,63663.0,5633864.0
2019-02-21,11200,12450,10950,11650,353447,65635.0,5633864.0
2019-02-22,11650,13750,11600,12100,1329287,68170.0,5633864.0
2019-02-25,12050,12350,11800,12000,131422,67606.0,5633864.0
2019-02-26,12050,12250,11700,11950,97929,67325.0,5633864.0
2019-02-27,11800,11950,11350,11550,123681,65071.0,5633864.0
2019-02-28,11600,12350,11550,11700,233836,65916.0,5633864.0
2019-03-04,12000,12550,12000,12550,217486,70705.0,5633864.0
2019-03-05,12700,13800,12500,13400,633712,75494.0,5633864.0
2019-03-06,13400,13700,13000,13350,146108,75212.0,5633864.0
2019-03-07,13300,14600,13250,14100,596018,79437.0,5633864.0
2019-03-08,13900,14500,13700,13950,181475,78592.0,5633864.0
2019-03-11,14000,14400,13450,13950,147478,78592.0,5633864.0
2019-03-12,14050,14600,13300,13900,245017,78311.0,5633864.0
2019-03-13,14050,15250,13800,14900,585068,83945.0,5633864.0
2019-03-14,15000,15050,14250,14650,213931,82536.0,5633864.0
2019-03-15,14650,15800,14250,14700,495883,82818.0,5633864.0
2019-03-18,15200,15600,14650,15450,275746,87043.0,5633864.0
2019-03-19,15600,16250,13950,13950,523785,78592.0,5633864.0
2019-03-20,13950,14100,12900,13850,330414,78029.0,5633864.0
2019-03-21,13650,13950,13250,13250,154044,74649.0,5633864.0
2019-03-22,13400,13400,12600,12600,126520,70987.0,5633864.0
2019-03-25,11900,12650,11900,12350,126437,69578.0,5633864.0
2019-03-26,12650,13000,12300,12400,145683,69860.0,5633864.0
2019-03-27,12550,12600,11900,12000,84774,67606.0,5633864.0
2019-03-28,12100,12650,11800,12200,86288,68733.0,5633864.0
2019-03-29,12150,12450,11650,12050,105881,67888.0,5633864.0
2019-04-01,12000,12250,11950,12200,51268,68733.0,5633864.0
2019-04-02,12250,12400,12050,12400,59304,69860.0,5633864.0
2019-04-03,12400,12950,12350,12750,115620,71832.0,5633864.0
2019-04-04,12850,12900,12500,12700,44142,71550.0,5633864.0
2019-04-05,12750,12750,12400,12450,41230,70142.0,5633864.0
2019-04-08,12350,12950,12350,12600,97195,70987.0,5633864.0
2019-04-09,12650,12750,12350,12450,47570,70142.0,5633864.0
2019-04-10,12450,14100,12250,13700,489730,77184.0,5633864.0
2019-04-11,13900,14050,13400,13650,191955,76902.0,5633864.0
2019-04-12,13700,14400,13650,13950,198720,78592.0,5633864.0
2019-04-15,14200,15000,13950,14500,364938,81691.0,5633864.0
2019-04-16,14600,14700,13950,13950,130168,78592.0,5633864.0
2019-04-17,14000,14300,13500,13800,138701,77747.0,5633864.0
2019-04-18,13900,14550,13800,14400,150994,81128.0,5633864.0
2019-04-19,14400,14950,14200,14650,155429,82536.0,5633864.0
2019-04-22,14800,15350,14650,14950,121320,84226.0,5633864.0
2019-04-23,14950,15300,14350,14650,116598,82536.0,5633864.0
2019-04-24,14550,14700,13750,13850,139596,78029.0,5633864.0
2019-04-25,13750,14000,13400,13550,81181,76339.0,5633864.0
2019-04-26,13350,13750,13000,13650,81496,76902.0,5633864.0
2019-04-29,13650,13750,13350,13550,36886,76339.0,5633864.0
2019-04-30,13350,13800,13350,13800,43826,77747.0,5633864.0
2019-05-02,13850,14100,13650,13950,56510,78592.0,5633864.0
2019-05-03,13800,14100,13100,13450,99758,75775.0,5633864.0
2019-05-07,13400,13400,12500,12500,194254,70423.0,5633864.0
2019-05-08,12200,12600,12150,12150,90585,68451.0,5633864.0
2019-05-09,12050,12300,11000,11300,149770,63663.0,5633864.0
2019-05-10,11400,11750,11200,11500,65566,64789.0,5633864.0
2019-05-13,11350,11500,10900,11000,57803,61973.0,5633864.0
2019-05-14,10700,11200,10500,11100,70810,62536.0,5633864.0
2019-05-15,11100,11550,11050,11350,54248,63944.0,5633864.0
2019-05-16,11450,11450,10650,10800,72261,60846.0,5633864.0
2019-05-17,10900,11200,10550,10650,77025,60001.0,5633864.0
2019-05-20,10600,10700,10150,10600,93561,59719.0,5633864.0
2019-05-21,10350,10700,10300,10350,54698,58310.0,5633864.0
2019-05-22,10450,10850,10400,10700,48472,60282.0,5633864.0
2019-05-23,10700,10750,10450,10550,47253,59437.0,5633864.0
2019-05-24,13000,13700,12650,13700,704416,77184.0,5633864.0
2019-05-27,14700,14900,11650,11650,1441838,65635.0,5633864.0
2019-05-28,11500,11950,11300,11850,295506,66761.0,5633864.0
2019-05-29,11650,11800,10650,10800,280386,60846.0,5633864.0
2019-05-30,10800,10900,10450,10450,116234,58874.0,5633864.0
2019-05-31,10500,11150,10400,10950,179796,61691.0,5633864.0
2019-06-03,10900,13100,10750,12000,997997,67606.0,5633864.0
2019-06-04,11850,12650,11600,12050,346991,67888.0,5633864.0
2019-06-05,12100,12450,11900,12050,74123,67888.0,5633864.0
2019-06-07,12000,12350,11900,12050,60096,67888.0,5633864.0
2019-06-10,12050,12150,11800,12100,58850,68170.0,5633864.0
2019-06-11,12150,12250,11900,12100,50660,68170.0,5633864.0
2019-06-12,12150,12300,11900,12050,39188,67888.0,5633864.0
2019-06-13,12050,12550,11900,12250,128780,69015.0,5633864.0
2019-06-14,12350,12900,12200,12550,136104,70705.0,5633864.0
2019-06-17,12650,12800,12100,12100,59944,68170.0,5633864.0
2019-06-18,12150,12250,11600,11800,71022,66480.0,5633864.0
2019-06-19,11850,14000,11500,12300,615317,69297.0,5633864.0
2019-06-20,12400,13600,12150,12500,431591,70423.0,5633864.0
2019-06-21,12550,13200,12500,12700,207413,71550.0,5633864.0
2019-06-24,12650,12850,12400,12500,96491,70423.0,5633864.0
2019-06-25,12500,12650,11950,12150,52885,68451.0,5633864.0
2019-06-26,12150,12200,11800,12100,60784,68170.0,5633864.0
2019-06-27,12050,12350,11500,12050,48254,67888.0,5633864.0
2019-06-28,12050,12950,11450,12050,147203,67888.0,5633864.0
2019-07-01,12050,12100,11600,11850,60696,66761.0,5633864.0
2019-07-02,11700,12000,11550,11750,36649,66198.0,5633864.0
2019-07-03,11750,11850,11100,11550,48675,65071.0,5633864.0
2019-07-04,11500,11600,10950,11500,50391,64789.0,5633864.0
2019-07-05,11500,11700,11100,11700,18083,65916.0,5633864.0
2019-07-08,11700,11700,10950,11300,32478,63663.0,5633864.0
2019-07-09,11400,11400,10700,11000,42117,61973.0,5633864.0
2019-07-10,11150,11150,10800,11100,17367,62536.0,5633864.0
2019-07-11,11200,11200,10850,11100,16790,62536.0,5633864.0
2019-07-12,10950,11100,10600,10950,52395,61691.0,5633864.0
2019-07-15,11000,11000,10500,10750,31123,60564.0,5633864.0
2019-07-16,10800,10800,10600,10800,18704,60846.0,5633864.0
2019-07-17,10800,10900,10500,10900,30846,61409.0,5633864.0
2019-07-18,10700,10950,10550,10650,21694,60001.0,5633864.0
2019-07-19,10650,10950,10500,10950,19941,61691.0,5633864.0
2019-07-22,11000,11000,10700,10900,9805,61409.0,5633864.0
2019-07-23,11000,11000,10700,10800,16737,60846.0,5633864.0
2019-07-24,10700,10850,10400,10650,31304,60001.0,5633864.0
2019-07-25,10650,10650,10150,10400,27012,58592.0,5633864.0
2019-07-26,10350,10400,9790,9890,37769,55719.0,5633864.0
2019-07-29,9800,10000,9280,9300,21808,52395.0,5633864.0
2019-07-30,9220,9670,9220,9460,12361,53296.0,5633864.0
2019-07-31,9470,9570,8800,9300,26953,52395.0,5633864.0
2019-08-01,9310,9740,9180,9650,19092,54367.0,5633864.0
2019-08-02,9290,9650,9090,9620,26761,54198.0,5633864.0
2019-08-05,9540,9890,8550,8770,29487,49409.0,5633864.0
2019-08-06,8680,9190,7870,8600,34970,48451.0,5633864.0
2019-08-07,8390,9080,8170,8400,33879,47324.0,5633864.0
2019-08-08,8280,8560,8030,8450,26439,47606.0,5633864.0
2019-08-09,8520,8790,8280,8400,18816,47324.0,5633864.0
2019-08-12,8680,8680,8210,8430,10215,47493.0,5633864.0
2019-08-13,8490,8510,8320,8480,6121,47775.0,5633864.0
2019-08-14,8650,8750,8410,8530,11924,48057.0,5633864.0
2019-08-16,8600,8600,8250,8510,13545,47944.0,5633864.0
2019-08-19,8490,8490,8290,8400,12642,47324.0,5633864.0
2019-08-20,8310,8500,8260,8500,20382,47888.0,5633864.0
2019-08-21,8650,9000,8450,8970,23510,50536.0,5633864.0
2019-08-22,8970,9240,8800,8800,21027,49578.0,5633864.0
2019-08-23,8680,9050,8680,8920,7470,50254.0,5633864.0
2019-08-26,8670,8990,8310,8520,14303,48001.0,5633864.0
2019-08-27,8620,8750,8350,8440,14373,47550.0,5633864.0
2019-08-28,8300,8790,8300,8700,22966,49015.0,5633864.0
2019-08-29,8980,8980,8510,8640,9025,48677.0,5633864.0
2019-08-30,8830,8920,8650,8830,18608,49747.0,5633864.0
2019-09-02,8970,8970,8770,8880,10325,50029.0,5633864.0
2019-09-03,8820,8990,8770,8880,10991,50029.0,5633864.0
2019-09-04,8880,9150,8790,8990,13219,50648.0,5633864.0
2019-09-05,9130,9130,8870,9030,15467,50874.0,5633864.0
2019-09-06,8940,9030,8700,8830,18539,49747.0,5633864.0
2019-09-09,8830,8840,8560,8770,8192,49409.0,5633864.0
2019-09-10,8850,8920,8640,8780,11807,49465.0,5633864.0
2019-09-11,8720,9000,8720,8850,19872,49860.0,5633864.0
2019-09-16,9060,9060,8810,8920,8990,50254.0,5633864.0
2019-09-17,9050,9480,8820,9250,18741,52113.0,5633864.0
2019-09-18,9210,9370,9060,9310,11675,52451.0,5633864.0
2019-09-19,9280,9490,9170,9330,12859,52564.0,5633864.0
2019-09-20,9320,9490,9220,9300,12664,52395.0,5633864.0
2019-09-23,9440,9440,9040,9190,8852,51775.0,5633864.0
2019-09-24,9020,9290,9020,9190,9596,51775.0,5633864.0
2019-09-25,9000,9180,8880,9000,10202,50705.0,5633864.0
2019-09-26,8820,9110,8660,8880,4928,50029.0,5633864.0
2019-09-27,8880,9100,8770,8930,14705,50310.0,5633864.0
2019-09-30,8930,8930,8630,8860,8899,49916.0,5633864.0
2019-10-01,8710,9030,8690,8960,19648,50479.0,5633864.0
2019-10-02,8870,8960,8490,8690,20322,48958.0,5633864.0
2019-10-04,8730,8730,8400,8500,33450,47888.0,5633864.0
2019-10-07,10300,11050,10100,11050,1355990,,
