세종메디칼(258830),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-02-07,11900,12300,11800,12150,57731,82350.0,6777741.0
2019-02-08,12050,12450,11900,12350,35233,83705.0,6777741.0
2019-02-11,12450,12650,12200,12250,50705,83027.0,6777741.0
2019-02-12,12250,12500,11850,11850,35588,80316.0,6777741.0
2019-02-13,11850,12000,11550,11900,35514,80655.0,6777741.0
2019-02-14,11900,12450,11900,12150,47336,82350.0,6777741.0
2019-02-15,12100,12450,12000,12200,32801,82688.0,6777741.0
2019-02-18,12450,12900,12400,12450,70937,84383.0,6777741.0
2019-02-19,12500,12700,12200,12550,27053,85061.0,6777741.0
2019-02-20,12750,12750,12300,12400,23449,84044.0,6777741.0
2019-02-21,12300,13100,12200,12800,66770,86755.0,6777741.0
2019-02-22,12800,13150,12650,12800,32148,86755.0,6777741.0
2019-02-25,12800,13050,12700,12800,24494,86755.0,6777741.0
2019-02-26,12800,13200,12650,12650,30410,85738.0,6777741.0
2019-02-27,12650,12850,12500,12650,17769,85738.0,6777741.0
2019-02-28,12500,12600,12150,12200,42965,82688.0,6777741.0
2019-03-04,12200,12500,12150,12400,26472,84044.0,6777741.0
2019-03-05,12500,13050,12400,12700,66587,86077.0,6777741.0
2019-03-06,12700,12950,12600,12750,17597,86416.0,6777741.0
2019-03-07,12800,12800,12250,12350,27299,83705.0,6777741.0
2019-03-08,12350,12400,12000,12150,16600,82350.0,6777741.0
2019-03-11,12050,12400,12000,12350,13088,83705.0,6777741.0
2019-03-12,12550,12800,12250,12700,51838,86077.0,6777741.0
2019-03-13,12700,12950,12550,12900,42167,87433.0,6777741.0
2019-03-14,12850,13450,12800,12900,86310,87433.0,6777741.0
2019-03-15,12900,13650,12850,13600,136756,92177.0,6777741.0
2019-03-18,13750,14400,13550,14050,123750,95227.0,6777741.0
2019-03-19,14250,14250,13450,13550,95586,91838.0,6777741.0
2019-03-20,13400,13550,13100,13550,33313,91838.0,6777741.0
2019-03-21,13550,13650,13250,13500,29857,91500.0,6777741.0
2019-03-22,13500,13700,13400,13450,18227,91161.0,6777741.0
2019-03-25,13300,13500,12850,12850,31160,87094.0,6777741.0
2019-03-26,13000,13100,12600,13050,19334,88450.0,6777741.0
2019-03-27,13150,13150,12650,12650,25177,85738.0,6777741.0
2019-03-28,12850,12850,12500,12600,12647,85400.0,6777741.0
2019-03-29,12450,12750,12150,12550,25232,85061.0,6777741.0
2019-04-01,12550,12900,12400,12850,11531,87094.0,6777741.0
2019-04-02,12900,12950,12750,12900,8829,87433.0,6777741.0
2019-04-03,12900,13000,12850,12950,9114,87772.0,6777741.0
2019-04-04,13000,13200,12800,12950,19484,87772.0,6777741.0
2019-04-05,13150,13750,12950,13650,73138,92516.0,6777741.0
2019-04-08,13800,13950,13500,13850,44181,93872.0,6777741.0
2019-04-09,13900,13950,13200,13400,39011,90822.0,6777741.0
2019-04-10,13400,13850,13100,13750,34357,93194.0,6777741.0
2019-04-11,13700,13800,13350,13650,44221,92516.0,6777741.0
2019-04-12,13650,13750,13350,13700,26622,92855.0,6777741.0
2019-04-15,13700,13800,13450,13500,21825,91500.0,6777741.0
2019-04-16,13700,13700,13100,13250,17081,89805.0,6777741.0
2019-04-17,13350,13450,13100,13300,23719,90144.0,6777741.0
2019-04-18,13200,13350,12900,12900,26635,87433.0,6777741.0
2019-04-19,13150,13150,12900,13000,8760,88111.0,6777741.0
2019-04-22,12900,13300,12900,13300,13792,90144.0,6777741.0
2019-04-23,13300,13350,12600,12750,22233,86416.0,6777741.0
2019-04-24,12950,13050,12750,12950,23447,87772.0,6777741.0
2019-04-25,13000,13000,12700,12800,15573,86755.0,6777741.0
2019-04-26,12800,12850,12550,12600,14078,85400.0,6777741.0
2019-04-29,12750,13000,12650,12950,11100,87772.0,6777741.0
2019-04-30,12800,13050,12700,12950,12872,87772.0,6777741.0
2019-05-02,12950,13000,12750,12950,16107,87772.0,6777741.0
2019-05-03,12850,13100,12850,12950,10477,87772.0,6777741.0
2019-05-07,12950,12950,12700,12750,12783,86416.0,6777741.0
2019-05-08,12350,12750,12350,12650,12837,85738.0,6777741.0
2019-05-09,12750,12750,11950,12000,23667,81333.0,6777741.0
2019-05-10,11950,12100,11300,11500,46259,77944.0,6777741.0
2019-05-13,11350,11650,11300,11550,15764,78283.0,6777741.0
2019-05-14,11250,11900,11200,11600,21641,78622.0,6777741.0
2019-05-15,11700,12250,11700,12200,18649,82688.0,6777741.0
2019-05-16,12000,12250,11800,11900,10223,80655.0,6777741.0
2019-05-17,12000,12100,11750,11750,11289,79638.0,6777741.0
2019-05-20,11850,11850,11250,11250,24489,76250.0,6777741.0
2019-05-21,11100,11350,10800,11200,26197,75911.0,6777741.0
2019-05-22,11350,11350,11150,11350,9613,76927.0,6777741.0
2019-05-23,11400,11400,11100,11150,5454,75572.0,6777741.0
2019-05-24,11050,11050,10600,10800,26425,73200.0,6777741.0
2019-05-27,10800,10950,10550,10700,15433,72522.0,6777741.0
2019-05-28,10700,11150,10700,11000,10791,74555.0,6777741.0
2019-05-29,11000,11100,10500,10750,17255,72861.0,6777741.0
2019-05-30,10750,10850,10600,10700,6616,72522.0,6777741.0
2019-05-31,10700,10800,10550,10800,9547,73200.0,6777741.0
2019-06-03,10800,10800,10600,10750,4960,72861.0,6777741.0
2019-06-04,10850,10900,10700,10850,9827,73538.0,6777741.0
2019-06-05,10950,11200,10950,11000,7888,74555.0,6777741.0
2019-06-07,11050,11450,11050,11300,13067,76588.0,6777741.0
2019-06-10,11400,11400,11100,11350,2599,76927.0,6777741.0
2019-06-11,11300,11500,11200,11250,10924,76250.0,6777741.0
2019-06-12,11250,11450,11200,11250,18875,76250.0,6777741.0
2019-06-13,11250,11500,11200,11400,10657,77266.0,6777741.0
2019-06-14,11400,11700,11300,11500,14549,77944.0,6777741.0
2019-06-17,11600,11650,11200,11600,13904,78622.0,6777741.0
2019-06-18,11700,11700,11350,11350,14935,76927.0,6777741.0
2019-06-19,11450,11500,11200,11200,13380,75911.0,6777741.0
2019-06-20,11450,11650,11250,11500,8973,77944.0,6777741.0
2019-06-21,11400,11700,11400,11600,13362,78622.0,6777741.0
2019-06-24,11600,11700,11300,11350,14642,76927.0,6777741.0
2019-06-25,11600,11600,11250,11250,8744,76250.0,6777741.0
2019-06-26,11350,11350,11150,11250,5350,76250.0,6777741.0
2019-06-27,11250,11300,11050,11150,17752,75572.0,6777741.0
2019-06-28,11150,11200,10950,11100,17852,75233.0,6777741.0
2019-07-01,11250,11500,11200,11350,19353,76927.0,6777741.0
2019-07-02,11400,12250,11300,12050,68550,81672.0,6777741.0
2019-07-03,12400,12650,12150,12400,65845,84044.0,6777741.0
2019-07-04,12400,12550,11800,12250,31173,83027.0,6777741.0
2019-07-05,12300,13050,12100,12750,97155,86416.0,6777741.0
2019-07-08,12650,13300,12300,13000,92211,88111.0,6777741.0
2019-07-09,12800,13250,12400,12900,60214,87433.0,6777741.0
2019-07-10,12900,13750,12850,13700,110686,92855.0,6777741.0
2019-07-11,13700,13900,13500,13900,61889,94211.0,6777741.0
2019-07-12,13700,14300,13500,13950,86071,94549.0,6777741.0
2019-07-15,13950,14750,13800,14650,135050,99294.0,6777741.0
2019-07-16,14650,15400,14400,15350,140792,104038.0,6777741.0
2019-07-17,15800,15850,14800,15400,732557,104377.0,6777741.0
2019-07-18,15050,15350,12800,12900,563070,87433.0,6777741.0
2019-07-19,12700,12850,12150,12450,289674,84383.0,6777741.0
2019-07-22,12500,12650,12250,12350,87572,83705.0,6777741.0
2019-07-23,12350,12500,11850,11900,73025,80655.0,6777741.0
2019-07-24,11800,11900,11150,11200,122642,75911.0,6777741.0
2019-07-25,11200,11400,10850,11200,79840,75911.0,6777741.0
2019-07-26,11100,11200,10650,10700,110018,72522.0,6777741.0
2019-07-29,10650,10700,10000,10150,139526,68794.0,6777741.0
2019-07-30,10150,10500,10100,10250,105859,69472.0,6777741.0
2019-07-31,10250,10300,9000,9540,439340,64660.0,6777741.0
2019-08-01,9360,9660,8930,8940,172192,60593.0,6777741.0
2019-08-02,8730,8920,8510,8540,161159,57882.0,6777741.0
2019-08-05,8500,8580,8100,8110,146232,54967.0,6777741.0
2019-08-06,7710,8210,7670,7670,177985,51985.0,6777741.0
2019-08-07,7660,8020,7600,8020,164058,54357.0,6777741.0
2019-08-08,8250,8480,8100,8400,146387,56933.0,6777741.0
2019-08-09,8360,8550,8230,8360,49583,56662.0,6777741.0
2019-08-12,8360,8650,8330,8640,43337,58560.0,6777741.0
2019-08-13,8630,8670,8450,8590,28334,58221.0,6777741.0
2019-08-14,8690,8730,8470,8590,25333,58221.0,6777741.0
2019-08-16,8450,8530,8270,8360,31693,56662.0,6777741.0
2019-08-19,8320,8430,8320,8420,8574,57069.0,6777741.0
2019-08-20,8420,8540,8000,8490,23543,57543.0,6777741.0
2019-08-21,8460,8810,8390,8750,56577,59305.0,6777741.0
2019-08-22,8800,8800,8500,8560,49619,58017.0,6777741.0
2019-08-23,8360,8610,8350,8610,12764,58356.0,6777741.0
2019-08-26,8310,8470,8220,8290,31301,56187.0,6777741.0
2019-08-27,8310,8460,8260,8300,21649,56255.0,6777741.0
2019-08-28,8230,8390,8210,8330,15228,56459.0,6777741.0
2019-08-29,8350,8470,8210,8270,21542,56052.0,6777741.0
2019-08-30,8270,8460,8220,8460,40247,57340.0,6777741.0
2019-09-02,8460,8650,8400,8650,16399,58627.0,6777741.0
2019-09-03,8570,8750,8500,8650,30228,58627.0,6777741.0
2019-09-04,8560,8870,8550,8800,36239,59644.0,6777741.0
2019-09-05,9140,9650,8950,9060,208998,61406.0,6777741.0
2019-09-06,9130,9130,8850,8900,34335,60322.0,6777741.0
2019-09-09,8900,8930,8690,8770,26445,59441.0,6777741.0
2019-09-10,8800,8800,8680,8760,8076,59373.0,6777741.0
2019-09-11,8760,9020,8690,8930,31116,60525.0,6777741.0
2019-09-16,8930,9080,8910,9050,18587,61339.0,6777741.0
2019-09-17,8930,9290,8930,9220,39647,62491.0,6777741.0
2019-09-18,9220,9290,9000,9110,27381,61745.0,6777741.0
2019-09-19,9120,9410,8930,9400,113243,63711.0,6777741.0
2019-09-20,9450,9460,9250,9400,57377,63711.0,6777741.0
2019-09-23,9360,9470,9300,9370,23389,63507.0,6777741.0
2019-09-24,9280,9400,9250,9270,22262,62830.0,6777741.0
2019-09-25,9270,9340,8900,9030,39794,61203.0,6777741.0
2019-09-26,9010,9170,8880,8890,35325,60254.0,6777741.0
2019-09-27,8810,8910,8560,8620,35284,58424.0,6777741.0
2019-09-30,8550,8630,8280,8420,33805,57069.0,6777741.0
2019-10-01,8380,8680,8310,8650,18362,58627.0,6777741.0
2019-10-02,8650,8700,8300,8330,42066,56459.0,6777741.0
2019-10-04,8330,8430,8160,8290,17603,56187.0,6777741.0
2019-10-07,8220,8550,8220,8510,29933,,
