한화에이스스팩3호(264290),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-09-25,2170,2170,2080,2080,5069,6406.0,3080000.0
2017-09-26,2085,2085,2085,2085,1031,6422.0,3080000.0
2017-09-27,2080,2155,2080,2090,459,6437.0,3080000.0
2017-09-28,2090,2125,2080,2125,54,6545.0,3080000.0
2017-09-29,2080,2135,2080,2135,101,6576.0,3080000.0
2017-10-10,2150,2160,2150,2150,2387,6622.0,3080000.0
2017-10-11,2145,2145,2145,2145,1,6607.0,3080000.0
2017-10-12,2160,2160,2090,2150,4299,6622.0,3080000.0
2017-10-13,2145,2145,2100,2145,3,6607.0,3080000.0
2017-10-16,2135,2135,2135,2135,0,6576.0,3080000.0
2017-10-17,2145,2145,2145,2145,2,6607.0,3080000.0
2017-10-18,2145,2145,2075,2085,3687,6422.0,3080000.0
2017-10-19,2090,2105,2090,2105,523,6483.0,3080000.0
2017-10-20,2080,2110,2080,2110,2,6499.0,3080000.0
2017-10-23,2105,2105,2105,2105,0,6483.0,3080000.0
2017-10-24,2080,2100,2080,2100,6102,6468.0,3080000.0
2017-10-25,2080,2080,2080,2080,0,6406.0,3080000.0
2017-10-26,2080,2100,2060,2100,1568,6468.0,3080000.0
2017-10-27,2100,2100,2070,2090,3660,6437.0,3080000.0
2017-10-30,2070,2090,2070,2090,5832,6437.0,3080000.0
2017-10-31,2060,2100,2060,2100,30,6468.0,3080000.0
2017-11-01,2100,2100,2065,2090,16294,6437.0,3080000.0
2017-11-02,2075,2100,2065,2100,11224,6468.0,3080000.0
2017-11-03,2070,2080,2065,2070,6728,6376.0,3080000.0
2017-11-06,2135,2135,2065,2065,12352,6360.0,3080000.0
2017-11-07,2070,2115,2065,2070,3410,6376.0,3080000.0
2017-11-08,2070,2070,2065,2070,8070,6376.0,3080000.0
2017-11-09,2070,2070,2070,2070,2028,6376.0,3080000.0
2017-11-10,2060,2100,2060,2100,1700,6468.0,3080000.0
2017-11-13,2070,2070,2060,2070,1053,6376.0,3080000.0
2017-11-14,2060,2070,2050,2070,2186,6376.0,3080000.0
2017-11-15,2040,2065,2030,2065,11340,6360.0,3080000.0
2017-11-16,2050,2065,2050,2060,13258,6345.0,3080000.0
2017-11-17,2095,2095,2095,2095,5,6453.0,3080000.0
2017-11-20,2030,2090,2030,2045,14897,6299.0,3080000.0
2017-11-21,2035,2075,2010,2015,53519,6206.0,3080000.0
2017-11-22,2015,2035,2010,2015,49093,6206.0,3080000.0
2017-11-23,2055,2055,2010,2015,15293,6206.0,3080000.0
2017-11-24,2040,2050,2015,2020,15829,6222.0,3080000.0
2017-11-27,2045,2045,2010,2015,116651,6206.0,3080000.0
2017-11-28,2010,2015,2010,2010,20701,6191.0,3080000.0
2017-11-29,2070,2070,2010,2015,5104,6206.0,3080000.0
2017-11-30,2065,2065,2010,2015,12554,6206.0,3080000.0
2017-12-01,2015,2015,2015,2015,4053,6206.0,3080000.0
2017-12-04,2065,2065,2010,2015,20507,6206.0,3080000.0
2017-12-05,2010,2010,2005,2010,40593,6191.0,3080000.0
2017-12-06,2030,2030,2005,2005,15035,6175.0,3080000.0
2017-12-07,2005,2025,2000,2025,5508,6237.0,3080000.0
2017-12-08,2010,2010,2005,2010,11226,6191.0,3080000.0
2017-12-11,2025,2025,2000,2010,16038,6191.0,3080000.0
2017-12-12,2010,2010,2010,2010,234946,6191.0,3080000.0
2017-12-13,2010,2025,2005,2010,18669,6191.0,3080000.0
2017-12-14,2000,2010,2000,2010,2687,6191.0,3080000.0
2017-12-15,2020,2020,2000,2010,13347,6191.0,3080000.0
2017-12-18,2020,2020,2020,2020,1,6222.0,3080000.0
2017-12-19,2000,2000,1995,2000,3500,6160.0,3080000.0
2017-12-20,2020,2020,2000,2010,18550,6191.0,3080000.0
2017-12-21,1995,2010,1995,2000,305,6160.0,3080000.0
2017-12-22,1995,2010,1995,2010,22624,6191.0,3080000.0
2017-12-26,2010,2010,2000,2010,13779,6191.0,3080000.0
2017-12-27,2035,2035,1995,1995,4896,6145.0,3080000.0
2017-12-28,2000,2010,1980,2010,73688,6191.0,3080000.0
2018-01-02,2025,2025,1995,2010,509,6191.0,3080000.0
2018-01-03,2010,2010,2000,2010,20091,6191.0,3080000.0
2018-01-04,2010,2025,1995,2025,5697,6237.0,3080000.0
2018-01-05,1995,2025,1995,2025,254,6237.0,3080000.0
2018-01-08,2010,2010,2000,2010,35392,6191.0,3080000.0
2018-01-09,2010,2020,2010,2020,16901,6222.0,3080000.0
2018-01-10,2000,2015,2000,2015,467,6206.0,3080000.0
2018-01-11,2000,2020,1995,2020,5864,6222.0,3080000.0
2018-01-12,2015,2015,2015,2015,0,6206.0,3080000.0
2018-01-15,1995,2025,1995,2020,1316,6222.0,3080000.0
2018-01-16,2000,2020,1995,2020,439,6222.0,3080000.0
2018-01-17,2000,2025,2000,2020,2372,6222.0,3080000.0
2018-01-18,2000,2020,2000,2020,1716,6222.0,3080000.0
2018-01-19,2000,2020,2000,2020,765,6222.0,3080000.0
2018-01-22,2000,2025,2000,2025,1180,6237.0,3080000.0
2018-01-23,2005,2020,2005,2020,780,6222.0,3080000.0
2018-01-24,2005,2025,2005,2020,7399,6222.0,3080000.0
2018-01-25,2000,2055,2000,2055,17459,6329.0,3080000.0
2018-01-26,2020,2055,2020,2055,1871,6329.0,3080000.0
2018-01-29,2015,2035,2005,2035,23247,6268.0,3080000.0
2018-01-30,2030,2030,2015,2025,4723,6237.0,3080000.0
2018-01-31,2025,2050,2025,2045,12366,6299.0,3080000.0
2018-02-01,2055,2060,2030,2060,22,6345.0,3080000.0
2018-02-02,2060,2070,2030,2070,69,6376.0,3080000.0
2018-02-05,2095,2095,2020,2055,3664,6329.0,3080000.0
2018-02-06,2005,2070,2005,2045,9235,6299.0,3080000.0
2018-02-07,2040,2115,2015,2070,23606,6376.0,3080000.0
2018-02-08,2100,2100,2065,2085,2753,6422.0,3080000.0
2018-02-09,2085,2090,2030,2035,8307,6268.0,3080000.0
2018-02-12,2080,2080,2030,2065,4128,6360.0,3080000.0
2018-02-13,2025,2075,2025,2065,2473,6360.0,3080000.0
2018-02-14,2080,2080,2030,2075,1692,6391.0,3080000.0
2018-02-19,2080,2115,2060,2090,5249,6437.0,3080000.0
2018-02-20,2080,2090,2055,2065,15487,6360.0,3080000.0
2018-02-21,2085,2085,2035,2075,243,6391.0,3080000.0
2018-02-22,2075,2115,2055,2090,4941,6437.0,3080000.0
2018-02-23,2090,2090,2040,2085,2515,6422.0,3080000.0
2018-02-26,2045,2085,2045,2080,814,6406.0,3080000.0
2018-02-27,2080,2080,2040,2070,984,6376.0,3080000.0
2018-02-28,2075,2075,2035,2055,1542,6329.0,3080000.0
2018-03-02,2055,2065,2040,2060,1073,6345.0,3080000.0
2018-03-05,2060,2065,2030,2065,776,6360.0,3080000.0
2018-03-06,2060,2075,2040,2065,1297,6360.0,3080000.0
2018-03-07,2075,2075,2040,2065,666,6360.0,3080000.0
2018-03-08,2035,2060,2035,2060,256,6345.0,3080000.0
2018-03-09,2040,2060,2040,2060,319,6345.0,3080000.0
2018-03-12,2040,2060,2040,2060,1096,6345.0,3080000.0
2018-03-13,2060,2075,2060,2065,2694,6360.0,3080000.0
2018-03-14,2065,2080,2045,2080,6516,6406.0,3080000.0
2018-03-15,2070,2080,2050,2080,3422,6406.0,3080000.0
2018-03-16,2075,2080,2050,2080,1269,6406.0,3080000.0
2018-03-19,2075,2075,2065,2065,4221,6360.0,3080000.0
2018-03-20,2060,2100,2060,2095,7187,6453.0,3080000.0
2018-03-21,2085,2085,2085,2085,400,6422.0,3080000.0
2018-03-22,2120,2120,2120,2120,1,6530.0,3080000.0
2018-03-23,2130,2130,2100,2100,341,6468.0,3080000.0
2018-03-26,2075,2100,2075,2075,5971,6391.0,3080000.0
2018-03-27,2095,2110,2070,2110,1284,6499.0,3080000.0
2018-03-28,2075,2100,2075,2095,8194,6453.0,3080000.0
2018-03-29,2095,2100,2095,2100,361,6468.0,3080000.0
2018-03-30,2120,2120,2085,2105,3752,6483.0,3080000.0
2018-04-02,2095,2135,2070,2080,8391,6406.0,3080000.0
2018-04-03,2065,2095,2065,2085,278,6422.0,3080000.0
2018-04-04,2095,2095,2060,2090,1139,6437.0,3080000.0
2018-04-05,2105,2105,2075,2100,6416,6468.0,3080000.0
2018-04-06,2075,2100,2075,2100,2591,6468.0,3080000.0
2018-04-09,2095,2125,2070,2100,1634,6468.0,3080000.0
2018-04-10,2165,2165,2055,2060,8971,6345.0,3080000.0
2018-04-11,2055,2090,2045,2055,8317,6329.0,3080000.0
2018-04-12,2040,2095,2040,2075,1578,6391.0,3080000.0
2018-04-13,2040,2075,2040,2075,1390,6391.0,3080000.0
2018-04-16,2050,2075,2045,2050,1674,6314.0,3080000.0
2018-04-17,2050,2065,2050,2055,1533,6329.0,3080000.0
2018-04-18,2045,2065,2045,2065,1149,6360.0,3080000.0
2018-04-19,2045,2065,2045,2065,1206,6360.0,3080000.0
2018-04-20,2065,2070,2045,2065,709,6360.0,3080000.0
2018-04-23,2050,2065,2050,2065,200,6360.0,3080000.0
2018-04-24,2085,2085,2050,2065,229,6360.0,3080000.0
2018-04-25,2065,2065,2040,2060,501,6345.0,3080000.0
2018-04-26,2040,2060,2040,2060,380,6345.0,3080000.0
2018-04-27,2060,2075,2045,2070,8737,6376.0,3080000.0
2018-04-30,2050,2080,2050,2070,1323,6376.0,3080000.0
2018-05-02,2050,2100,2050,2100,2361,6468.0,3080000.0
2018-05-03,2100,2110,2060,2105,980,6483.0,3080000.0
2018-05-04,2100,2105,2075,2085,3430,6422.0,3080000.0
2018-05-08,2110,2110,2090,2090,3430,6437.0,3080000.0
2018-05-09,2140,2140,2090,2120,100,6530.0,3080000.0
2018-05-10,2140,2150,2070,2125,22950,6545.0,3080000.0
2018-05-11,2160,2160,2090,2120,1607,6530.0,3080000.0
2018-05-14,2140,2140,2140,2140,13,6591.0,3080000.0
2018-05-15,2130,2135,2065,2065,8880,6360.0,3080000.0
2018-05-16,2060,2120,2060,2100,118,6468.0,3080000.0
2018-05-17,2060,2125,2060,2100,735,6468.0,3080000.0
2018-05-18,2130,2130,2060,2120,1099,6530.0,3080000.0
2018-05-21,2130,2130,2075,2115,105,6514.0,3080000.0
2018-05-23,2130,2130,2085,2120,582,6530.0,3080000.0
2018-05-24,2130,2190,2090,2120,12024,6530.0,3080000.0
2018-05-25,2175,2175,2095,2120,10268,6530.0,3080000.0
2018-05-28,2155,2155,2090,2130,3644,6560.0,3080000.0
2018-05-29,2135,2170,2095,2115,2917,6514.0,3080000.0
2018-05-30,2115,2120,2085,2115,2169,6514.0,3080000.0
2018-05-31,2105,2295,2095,2130,366349,6560.0,3080000.0
2018-06-01,2130,2215,2130,2155,32838,6637.0,3080000.0
2018-06-04,2150,2225,2150,2200,33685,6776.0,3080000.0
2018-06-05,2185,2230,2170,2175,16192,6699.0,3080000.0
2018-06-07,2210,2210,2150,2180,2992,6714.0,3080000.0
2018-06-08,2205,2205,2150,2180,3837,6714.0,3080000.0
2018-06-11,2180,2180,2150,2150,3433,6622.0,3080000.0
2018-06-12,2150,2195,2105,2130,12897,6560.0,3080000.0
2018-06-14,2130,2165,2075,2075,17839,6391.0,3080000.0
2018-06-15,2075,2175,2070,2175,51392,6699.0,3080000.0
2018-06-18,2150,2150,2100,2115,1911,6514.0,3080000.0
2018-06-19,2130,2130,2075,2115,3503,6514.0,3080000.0
2018-06-20,2135,2140,2120,2130,2394,6560.0,3080000.0
2018-06-21,2135,2185,2105,2155,11952,6637.0,3080000.0
2018-06-22,2210,2210,2160,2160,971,6653.0,3080000.0
2018-06-25,2225,2240,2125,2165,13877,6668.0,3080000.0
2018-06-26,2195,2195,2090,2145,10608,6607.0,3080000.0
2018-06-27,2140,2195,2110,2175,4227,6699.0,3080000.0
2018-06-28,2170,2195,2130,2170,8181,6684.0,3080000.0
2018-06-29,2165,2165,2100,2105,7596,6483.0,3080000.0
2018-07-02,2145,2145,2075,2115,30274,6514.0,3080000.0
2018-07-03,2140,2140,2075,2110,10452,6499.0,3080000.0
2018-07-04,2135,2135,2110,2110,305,6499.0,3080000.0
2018-07-05,2130,2130,2075,2115,1236,6514.0,3080000.0
2018-07-06,2115,2115,2115,2115,2,6514.0,3080000.0
2018-07-09,2105,2110,2080,2080,833,6406.0,3080000.0
2018-07-10,2105,2135,2080,2115,1357,6514.0,3080000.0
2018-07-11,2120,2120,2120,2120,28,6530.0,3080000.0
2018-07-12,2140,2140,2080,2115,1030,6514.0,3080000.0
2018-07-13,2080,2120,2080,2115,1440,6514.0,3080000.0
2018-07-16,2090,2105,2065,2105,5498,6483.0,3080000.0
2018-07-17,2095,2105,2085,2105,738,6483.0,3080000.0
2018-07-18,2095,2105,2085,2105,1023,6483.0,3080000.0
2018-07-19,2075,2120,2075,2115,649,6514.0,3080000.0
2018-07-20,2125,2125,2095,2125,27,6545.0,3080000.0
2018-07-23,2110,2110,2085,2110,200,6499.0,3080000.0
2018-07-24,2115,2115,2115,2115,24,6514.0,3080000.0
2018-07-25,2120,2120,2080,2085,983,6422.0,3080000.0
2018-07-26,2095,2100,2075,2100,2869,6468.0,3080000.0
2018-07-27,2115,2115,2075,2080,38,6406.0,3080000.0
2018-07-30,2110,2110,2060,2095,2371,6453.0,3080000.0
2018-07-31,2105,2105,2070,2105,28,6483.0,3080000.0
2018-08-01,2105,2105,2105,2105,600,6483.0,3080000.0
2018-08-02,2100,2100,2100,2100,1000,6468.0,3080000.0
2018-08-03,2105,2105,2105,2105,1,6483.0,3080000.0
2018-08-06,2105,2105,2105,2105,29,6483.0,3080000.0
2018-08-07,2100,2100,2100,2100,0,6468.0,3080000.0
2018-08-08,2110,2110,2095,2095,102,6453.0,3080000.0
2018-08-09,2095,2105,2095,2105,2509,6483.0,3080000.0
2018-08-10,2110,2110,2075,2105,192,6483.0,3080000.0
2018-08-13,2100,2100,2070,2100,2004,6468.0,3080000.0
2018-08-14,2075,2115,2060,2100,1498,6468.0,3080000.0
2018-08-16,2075,2095,2075,2095,2,6453.0,3080000.0
2018-08-17,2090,2090,2090,2090,0,6437.0,3080000.0
2018-08-20,2090,2090,2090,2090,0,6437.0,3080000.0
2018-08-21,2090,2110,2070,2110,349,6499.0,3080000.0
2018-08-22,2105,2115,2100,2115,1096,6514.0,3080000.0
2018-08-23,2115,2120,2100,2120,701,6530.0,3080000.0
2018-08-24,2120,2160,2120,2160,543,6653.0,3080000.0
2018-08-27,2155,2160,2085,2125,157,6545.0,3080000.0
2018-08-28,2155,2155,2085,2150,40,6622.0,3080000.0
2018-08-29,2155,2155,2085,2155,9,6637.0,3080000.0
2018-08-30,2155,2160,2155,2160,101,6653.0,3080000.0
2018-08-31,2155,2155,2100,2100,6078,6468.0,3080000.0
2018-09-03,2155,2155,2105,2150,127,6622.0,3080000.0
2018-09-04,2155,2155,2105,2140,1128,6591.0,3080000.0
2018-09-05,2155,2155,2105,2150,605,6622.0,3080000.0
2018-09-06,2115,2150,2105,2135,2346,6576.0,3080000.0
2018-09-07,2105,2130,2100,2125,3189,6545.0,3080000.0
2018-09-10,2100,2120,2090,2110,30829,6499.0,3080000.0
2018-09-11,2110,2140,2090,2120,2366,6530.0,3080000.0
2018-09-12,2145,2145,2090,2135,483,6576.0,3080000.0
2018-09-13,2095,2130,2095,2125,1431,6545.0,3080000.0
2018-09-14,2090,2115,2090,2115,914,6514.0,3080000.0
2018-09-17,2085,2110,2085,2110,807,6499.0,3080000.0
2018-09-18,2085,2110,2075,2110,1183,6499.0,3080000.0
2018-09-19,2120,2125,2090,2110,17054,6499.0,3080000.0
2018-09-20,2110,2125,2095,2120,203,6530.0,3080000.0
2018-09-21,2120,2120,2095,2115,843,6514.0,3080000.0
2018-09-27,2110,2115,2090,2115,13231,6514.0,3080000.0
2018-09-28,2110,2115,2095,2115,4862,6514.0,3080000.0
2018-10-01,2095,2115,2095,2115,1962,6514.0,3080000.0
2018-10-02,2090,2110,2090,2110,1442,6499.0,3080000.0
2018-10-04,2090,2110,2075,2110,11015,6499.0,3080000.0
2018-10-05,2085,2105,2085,2105,172,6483.0,3080000.0
2018-10-08,2085,2105,2075,2100,3549,6468.0,3080000.0
2018-10-10,2095,2095,2070,2095,6064,6453.0,3080000.0
2018-10-11,2085,2100,2070,2095,11533,6453.0,3080000.0
2018-10-12,2075,2090,2060,2090,3083,6437.0,3080000.0
2018-10-15,2095,2095,2080,2090,1281,6437.0,3080000.0
2018-10-16,2090,2090,2090,2090,2,6437.0,3080000.0
2018-10-17,2075,2090,2075,2090,825,6437.0,3080000.0
2018-10-18,2075,2175,2075,2170,7820,6684.0,3080000.0
2018-10-19,2120,2180,2110,2110,24125,6499.0,3080000.0
2018-10-22,2115,2120,2110,2110,806,6499.0,3080000.0
2018-10-23,2120,2120,2080,2105,2290,6483.0,3080000.0
2018-10-24,2075,2115,2070,2075,4486,6391.0,3080000.0
2018-10-25,2070,2075,2055,2075,8019,6391.0,3080000.0
2018-10-26,2080,2080,2055,2070,9652,6376.0,3080000.0
2018-10-29,2080,2150,2045,2115,63018,6514.0,3080000.0
2018-10-30,2120,2195,2090,2160,138433,6653.0,3080000.0
2018-10-31,2175,2175,2100,2150,13997,6622.0,3080000.0
2018-11-01,2120,2195,2120,2195,30985,6761.0,3080000.0
2018-11-02,2220,2240,2130,2160,54280,6653.0,3080000.0
2018-11-05,2160,2205,2105,2190,19992,6745.0,3080000.0
2018-11-06,2190,2215,2135,2190,6018,6745.0,3080000.0
2018-11-07,2190,2290,2155,2290,50768,7053.0,3080000.0
2018-11-08,2295,2295,2190,2250,22497,6930.0,3080000.0
2018-11-09,2275,2275,2130,2140,63534,6591.0,3080000.0
2018-11-12,2135,2175,2120,2140,2941,6591.0,3080000.0
2018-11-13,2135,2135,2085,2130,9162,6560.0,3080000.0
2018-11-14,2145,2145,2085,2085,8055,6422.0,3080000.0
2018-11-15,2130,2130,2075,2130,7081,6560.0,3080000.0
2018-11-16,2140,2140,2070,2095,5712,6453.0,3080000.0
2018-11-19,2075,2090,2055,2080,25029,6406.0,3080000.0
2018-11-20,2080,2105,2070,2095,3571,6453.0,3080000.0
2018-11-21,2090,2100,2085,2100,3439,6468.0,3080000.0
2018-11-22,2065,2095,2065,2095,2652,6453.0,3080000.0
2018-11-23,2070,2095,2060,2090,8130,6437.0,3080000.0
2018-11-26,2090,2090,2085,2090,942,6437.0,3080000.0
2018-11-27,2075,2090,2075,2090,646,6437.0,3080000.0
2018-11-28,2085,2085,2070,2085,5216,6422.0,3080000.0
2018-11-29,2085,2100,2080,2100,2619,6468.0,3080000.0
2018-11-30,2070,2090,2070,2090,769,6437.0,3080000.0
2018-12-03,2090,2095,2090,2095,2207,6453.0,3080000.0
2018-12-04,2095,2105,2095,2105,1464,6483.0,3080000.0
2018-12-05,2070,2100,2070,2100,61,6468.0,3080000.0
2018-12-06,2070,2100,2070,2100,303,6468.0,3080000.0
2018-12-07,2055,2095,2050,2095,7051,6453.0,3080000.0
2018-12-10,2090,2090,2085,2090,902,6437.0,3080000.0
2018-12-11,2090,2090,2065,2065,2382,6360.0,3080000.0
2018-12-12,2080,2080,2060,2075,2272,6391.0,3080000.0
2018-12-13,2055,2075,2055,2070,1069,6376.0,3080000.0
2018-12-14,2065,2070,2065,2070,101,6376.0,3080000.0
2018-12-17,2065,2070,2055,2070,746,6376.0,3080000.0
2018-12-18,2055,2070,2055,2065,1577,6360.0,3080000.0
2018-12-19,2045,2075,2045,2075,1142,6391.0,3080000.0
2018-12-20,2070,2070,2055,2065,476,6360.0,3080000.0
2018-12-21,2045,2065,2025,2060,7980,6345.0,3080000.0
2018-12-24,2070,2070,2045,2060,1044,6345.0,3080000.0
2018-12-26,2070,2070,2030,2065,120,6360.0,3080000.0
2018-12-27,2070,2070,2045,2065,515,6360.0,3080000.0
2018-12-28,2045,2070,2030,2060,668,6345.0,3080000.0
2019-01-02,2080,2080,2060,2060,143,6345.0,3080000.0
2019-01-03,2080,2080,2045,2070,8,6376.0,3080000.0
2019-01-04,2055,2070,2030,2060,2358,6345.0,3080000.0
2019-01-07,2035,2070,2035,2070,1344,6376.0,3080000.0
2019-01-08,2045,2070,2040,2065,5623,6360.0,3080000.0
2019-01-09,2060,2060,2060,2060,1,6345.0,3080000.0
2019-01-10,2040,2060,2035,2060,2007,6345.0,3080000.0
2019-01-11,2035,2060,2035,2060,601,6345.0,3080000.0
2019-01-14,2035,2060,2035,2060,1005,6345.0,3080000.0
2019-01-15,2050,2060,2050,2060,2605,6345.0,3080000.0
2019-01-16,2045,2060,2040,2060,4526,6345.0,3080000.0
2019-01-17,2045,2045,2045,2045,300,6299.0,3080000.0
2019-01-18,2060,2060,2050,2060,228,6345.0,3080000.0
2019-01-21,2065,2065,2040,2060,1975,6345.0,3080000.0
2019-01-22,2060,2065,2060,2065,1001,6360.0,3080000.0
2019-01-23,2065,2065,2045,2065,5162,6360.0,3080000.0
2019-01-24,2050,2065,2050,2065,276,6360.0,3080000.0
2019-01-25,2045,2065,2045,2065,119,6360.0,3080000.0
2019-01-28,2060,2070,2055,2070,32336,6376.0,3080000.0
2019-01-29,2045,2065,2045,2065,501,6360.0,3080000.0
