엔지스테크널러지(208860),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-11-03,6119,6886,6119,6403,51978,60042.0,3127180.0
2016-11-04,6602,6702,6352,6619,24476,62075.0,3127180.0
2016-11-07,6752,6802,6502,6636,19015,62231.0,3127180.0
2016-11-08,6869,6869,6536,6619,16156,62075.0,3127180.0
2016-11-09,6669,6669,5552,6069,73622,56915.0,3127180.0
2016-11-10,6169,6269,6052,6102,26981,57227.0,3127180.0
2016-11-11,6235,6485,6169,6353,35359,59573.0,3127180.0
2016-11-14,6269,6319,5969,5969,54841,55977.0,3127180.0
2016-11-15,7019,7069,6119,6153,135764,57696.0,3127180.0
2016-11-16,6152,6252,6052,6186,28966,58009.0,3127180.0
2016-11-17,6285,6285,6119,6153,21995,57696.0,3127180.0
2016-11-18,6235,6235,5969,5969,20953,55977.0,3127180.0
2016-11-21,6002,6085,5902,5969,10672,55977.0,3127180.0
2016-11-22,6002,7336,6002,6536,441863,61293.0,3127180.0
2016-11-23,6686,6719,6169,6169,82505,57853.0,3127180.0
2016-11-24,6185,6369,5985,5986,36591,56133.0,3127180.0
2016-11-25,5769,5969,5735,5819,74780,54569.0,3127180.0
2016-11-28,5819,5885,5552,5652,31039,53006.0,3127180.0
2016-11-29,5618,5835,5435,5536,30788,51911.0,3127180.0
2016-11-30,5535,5702,5452,5469,25508,51286.0,3127180.0
2016-12-01,5485,5502,5252,5269,32316,49409.0,3127180.0
2016-12-02,5302,5368,5085,5119,30260,48002.0,3127180.0
2016-12-05,5168,5718,5135,5369,59402,50348.0,3127180.0
2016-12-06,5385,5535,5268,5469,23422,51286.0,3127180.0
2016-12-07,5535,5869,5535,5669,46524,53162.0,3127180.0
2016-12-08,5668,6919,5668,5969,186031,55977.0,3127180.0
2016-12-09,6002,6085,5902,5986,44275,56133.0,3127180.0
2016-12-12,6152,6435,6019,6169,46828,57853.0,3127180.0
2016-12-13,6202,6435,6102,6236,24077,58478.0,3127180.0
2016-12-14,6235,6836,6235,6669,73066,62544.0,3127180.0
2016-12-15,6652,6786,6502,6653,33017,62387.0,3127180.0
2016-12-16,6652,6819,6619,6719,20148,63013.0,3127180.0
2016-12-19,6769,6836,6636,6719,16627,63013.0,3127180.0
2016-12-20,6652,6769,6652,6669,16508,62544.0,3127180.0
2016-12-21,6619,6769,6552,6686,15565,62700.0,3127180.0
2016-12-22,6686,6819,6586,6703,12136,62856.0,3127180.0
2016-12-23,6669,6769,6636,6669,14930,62544.0,3127180.0
2016-12-26,6686,6752,6569,6686,17761,62700.0,3127180.0
2016-12-27,6736,7186,6702,7153,104910,67078.0,3127180.0
2016-12-28,7169,7453,7086,7236,50656,67860.0,3127180.0
2016-12-29,7169,7803,7152,7670,58827,71925.0,3127180.0
2017-01-02,7836,8786,7603,8137,311419,76303.0,3127180.0
2017-01-03,8236,8236,7853,8020,79740,75209.0,3127180.0
2017-01-04,7903,7969,7419,7520,131105,70518.0,3127180.0
2017-01-05,7503,7703,7336,7486,73663,70205.0,3127180.0
2017-01-06,7469,7619,7352,7386,63805,69267.0,3127180.0
2017-01-09,7403,7469,7119,7236,44470,67860.0,3127180.0
2017-01-10,7236,7252,7069,7220,29907,67703.0,3127180.0
2017-01-11,7236,7536,7169,7520,58493,70518.0,3127180.0
2017-01-12,7436,7586,7352,7386,25167,69267.0,3127180.0
2017-01-13,7353,7403,7136,7320,27034,68642.0,3127180.0
2017-01-16,7202,7286,6786,6786,43659,63638.0,3127180.0
2017-01-17,6852,6919,6602,6669,29632,62544.0,3127180.0
2017-01-18,6636,6769,6586,6703,16777,62856.0,3127180.0
2017-01-19,6736,6836,6586,6586,27042,61762.0,3127180.0
2017-01-20,6536,6536,6202,6303,54907,59104.0,3127180.0
2017-01-23,6185,6352,6169,6219,19152,58322.0,3127180.0
2017-01-24,6135,6435,6035,6086,22769,57071.0,3127180.0
2017-01-25,6085,6085,5752,5786,26664,54257.0,3127180.0
2017-01-26,5518,5952,5502,5619,102552,52693.0,3127180.0
2017-01-31,5685,5802,5635,5752,20089,53944.0,3127180.0
2017-02-01,5802,6102,5785,5969,34744,55977.0,3127180.0
2017-02-02,5969,6102,5635,5636,22779,52849.0,3127180.0
2017-02-03,5635,5719,5552,5586,13259,52380.0,3127180.0
2017-02-06,5535,5735,5535,5602,9427,52537.0,3127180.0
2017-02-07,5568,5702,5368,5669,19929,53162.0,3127180.0
2017-02-08,5668,5719,5402,5586,16413,52380.0,3127180.0
2017-02-09,5585,5902,5585,5786,16875,54257.0,3127180.0
2017-02-10,5785,5852,5685,5819,9880,54569.0,3127180.0
2017-02-13,5769,5802,5652,5719,13648,53631.0,3127180.0
2017-02-14,5719,5719,5585,5602,10390,52537.0,3127180.0
2017-02-15,5668,5735,5502,5619,18852,52693.0,3127180.0
2017-02-16,5618,5752,5568,5669,12426,53162.0,3127180.0
2017-02-17,5585,5685,5585,5636,9889,52849.0,3127180.0
2017-02-20,5635,6502,5635,6102,326203,57227.0,3127180.0
2017-02-21,6152,6152,5902,5936,51511,55664.0,3127180.0
2017-02-22,5935,6052,5852,5886,36968,55195.0,3127180.0
2017-02-23,5969,6302,5902,6269,65480,58791.0,3127180.0
2017-02-24,6235,6352,6085,6353,34802,59573.0,3127180.0
2017-02-27,6452,6452,6185,6203,31436,58166.0,3127180.0
2017-02-28,6269,6269,5985,6052,28848,56758.0,3127180.0
2017-03-02,6102,6602,5885,5886,92935,55195.0,3127180.0
2017-03-03,6035,7486,6035,6786,1208750,63638.0,3127180.0
2017-03-06,6969,7186,6552,6586,288021,61762.0,3127180.0
2017-03-07,6586,6752,6469,6736,148262,63169.0,3127180.0
2017-03-08,6702,6802,6586,6586,75740,61762.0,3127180.0
2017-03-09,6485,6619,6369,6386,76590,59885.0,3127180.0
2017-03-10,6385,6435,6102,6403,71002,60042.0,3127180.0
2017-03-13,6352,6752,6202,6636,120194,62231.0,3127180.0
2017-03-14,6836,6852,6536,6719,147602,63013.0,3127180.0
2017-03-15,6719,7052,6586,7053,136487,66140.0,3127180.0
2017-03-16,8036,8353,6719,6736,952499,63169.0,3127180.0
2017-03-17,6802,7086,6669,6769,175181,63482.0,3127180.0
2017-03-20,6736,7102,6736,7003,87425,65671.0,3127180.0
2017-03-21,6919,7269,6802,7170,113088,67234.0,3127180.0
2017-03-22,7102,7453,7036,7070,91934,66296.0,3127180.0
2017-03-23,7169,7186,6952,6953,40896,65202.0,3127180.0
2017-03-24,6969,6969,6719,6786,50941,63638.0,3127180.0
2017-03-27,6752,6786,6335,6336,84039,59416.0,3127180.0
2017-03-28,6385,6519,6269,6486,42608,60824.0,3127180.0
2017-03-29,6469,6502,6319,6319,37639,59260.0,3127180.0
2017-03-30,6335,6552,6202,6536,45937,61293.0,3127180.0
2017-03-31,6552,6769,6419,6486,47032,60824.0,3127180.0
2017-04-03,6485,6652,6469,6486,36936,60824.0,3127180.0
2017-04-04,6536,6602,6402,6453,31352,60511.0,3127180.0
2017-04-05,6452,6519,6385,6486,24148,60824.0,3127180.0
2017-04-06,6485,6586,6352,6553,29776,61449.0,3127180.0
2017-04-07,6602,6669,6469,6636,36059,62231.0,3127180.0
2017-04-10,6636,6636,6319,6353,37791,59573.0,3127180.0
2017-04-11,6319,6586,6319,6453,30016,60511.0,3127180.0
2017-04-12,6452,6586,6419,6569,19541,61605.0,3127180.0
2017-04-13,6569,6602,6435,6453,29088,60511.0,3127180.0
2017-04-14,6419,6886,6419,6453,57132,60511.0,3127180.0
2017-04-17,6836,7286,6652,6936,348746,65045.0,3127180.0
2017-04-18,6969,7202,6886,7020,74426,65827.0,3127180.0
2017-04-19,7036,7286,7002,7253,80644,68016.0,3127180.0
2017-04-20,7252,7319,6969,7103,63905,66609.0,3127180.0
2017-04-21,7152,7169,6802,6936,37564,65045.0,3127180.0
2017-04-24,6952,6986,6636,6686,45063,62700.0,3127180.0
2017-04-25,6686,6769,6619,6669,25072,62544.0,3127180.0
2017-04-26,6736,6819,6669,6753,27430,63325.0,3127180.0
2017-04-27,6702,6769,6435,6503,53916,60980.0,3127180.0
2017-04-28,6502,6519,6435,6503,13528,60980.0,3127180.0
2017-05-02,6502,6719,6502,6586,32688,61762.0,3127180.0
2017-05-04,6586,6669,6519,6536,14801,61293.0,3127180.0
2017-05-08,6569,6602,6435,6569,26161,61605.0,3127180.0
2017-05-10,6586,6736,6502,6719,28584,63013.0,3127180.0
2017-05-11,6786,6919,6719,6836,32565,64107.0,3127180.0
2017-05-12,6836,6836,6519,6536,33260,61293.0,3127180.0
2017-05-15,6485,6536,6335,6519,31064,61136.0,3127180.0
2017-05-16,6502,6536,6002,6102,73598,57227.0,3127180.0
2017-05-17,6102,6185,5969,6019,22863,56446.0,3127180.0
2017-05-18,5819,6085,5819,5986,25863,56133.0,3127180.0
2017-05-19,5985,6219,5985,6219,18155,58322.0,3127180.0
2017-05-22,6169,6269,6102,6102,10100,57227.0,3127180.0
2017-05-23,6169,6185,6085,6102,9009,57227.0,3127180.0
2017-05-24,6102,6135,6035,6052,14652,56758.0,3127180.0
2017-05-25,6069,6135,5935,6002,11559,56289.0,3127180.0
2017-05-26,6002,6069,5885,6019,22173,56446.0,3127180.0
2017-05-29,6019,6035,5852,5952,12782,55820.0,3127180.0
2017-05-30,5902,6069,5902,6052,15771,56758.0,3127180.0
2017-05-31,6052,6235,6052,6219,15645,58322.0,3127180.0
2017-06-01,6235,6235,6035,6169,5952,57853.0,3127180.0
2017-06-02,6135,6202,6052,6169,9793,57853.0,3127180.0
2017-06-05,6169,6185,5952,5986,21504,56133.0,3127180.0
2017-06-07,5985,6019,5802,5852,17349,54882.0,3127180.0
2017-06-08,5869,5935,5819,5836,9538,54726.0,3127180.0
2017-06-09,5835,5969,5785,5936,18059,55664.0,3127180.0
2017-06-12,6169,6719,6169,6319,404697,59260.0,3127180.0
2017-06-13,6385,6435,6169,6186,55670,58009.0,3127180.0
2017-06-14,6285,6385,6169,6253,31833,58635.0,3127180.0
2017-06-15,6252,6352,6202,6336,22349,59416.0,3127180.0
2017-06-16,6369,6619,6369,6603,68315,61918.0,3127180.0
2017-06-19,6602,6802,6602,6803,68439,63794.0,3127180.0
2017-06-20,6819,6869,6302,6386,69622,59885.0,3127180.0
2017-06-21,6369,6402,6219,6303,19890,59104.0,3127180.0
2017-06-22,6302,6369,6185,6219,15537,58322.0,3127180.0
2017-06-23,6219,6369,6185,6336,10975,59416.0,3127180.0
2017-06-26,6335,6519,6169,6186,28805,58009.0,3127180.0
2017-06-27,6269,6269,6069,6136,21859,57540.0,3127180.0
2017-06-28,6135,6202,5935,6002,16979,56289.0,3127180.0
2017-06-29,6202,6202,5985,6019,11343,56446.0,3127180.0
2017-06-30,5935,6035,5919,6036,6887,56602.0,3127180.0
2017-07-03,6019,6069,5919,5919,13759,55507.0,3127180.0
2017-07-04,5919,6202,5902,5936,11451,55664.0,3127180.0
2017-07-05,5902,6019,5902,6002,9499,56289.0,3127180.0
2017-07-06,6019,6102,5935,6052,9305,56758.0,3127180.0
2017-07-07,6069,6069,5952,6002,4928,56289.0,3127180.0
2017-07-10,5969,6019,5835,5969,14019,55977.0,3127180.0
2017-07-11,5902,6002,5668,5669,41571,53162.0,3127180.0
2017-07-12,5635,6669,5552,6069,258081,56915.0,3127180.0
2017-07-13,6069,6102,5869,5869,30018,55038.0,3127180.0
2017-07-14,5869,6235,5869,6019,25461,56446.0,3127180.0
2017-07-17,5935,6152,5902,5986,19006,56133.0,3127180.0
2017-07-18,6002,6035,5835,5936,19078,55664.0,3127180.0
2017-07-19,5885,5985,5885,5936,10283,55664.0,3127180.0
2017-07-20,5935,5952,5835,5836,19705,54726.0,3127180.0
2017-07-21,5802,6002,5802,5886,6461,55195.0,3127180.0
2017-07-24,5885,5935,5819,5886,8703,55195.0,3127180.0
2017-07-25,5835,5885,5752,5786,12188,54257.0,3127180.0
2017-07-26,5752,5785,5685,5719,7333,53631.0,3127180.0
2017-07-27,5668,5752,5568,5586,14013,52380.0,3127180.0
2017-07-28,5585,5685,5452,5469,11241,51286.0,3127180.0
2017-07-31,5468,5485,5168,5469,17272,51286.0,3127180.0
2017-08-01,5535,5735,5435,5619,17076,52693.0,3127180.0
2017-08-02,5618,5769,5585,5652,3839,53006.0,3127180.0
2017-08-03,5719,5719,5518,5519,6315,51755.0,3127180.0
2017-08-04,5518,5635,5468,5486,3581,51442.0,3127180.0
2017-08-07,5485,5635,5485,5636,3950,52849.0,3127180.0
2017-08-08,5568,5652,5502,5519,3279,51755.0,3127180.0
2017-08-09,5518,5635,5418,5436,3031,50973.0,3127180.0
2017-08-10,5368,5502,5252,5386,7284,50504.0,3127180.0
2017-08-11,5385,5385,5235,5235,11032,49097.0,3127180.0
2017-08-14,5302,5302,5168,5185,8124,48628.0,3127180.0
2017-08-16,5135,5418,5135,5352,5661,50191.0,3127180.0
2017-08-17,5352,5468,5352,5452,2140,51129.0,3127180.0
2017-08-18,5452,5835,5335,5619,31227,52693.0,3127180.0
2017-08-21,5618,5735,5585,5619,4961,52693.0,3127180.0
2017-08-22,5618,5719,5518,5719,5721,53631.0,3127180.0
2017-08-23,5702,5819,5602,5802,7092,54413.0,3127180.0
2017-08-24,5902,6102,5852,6002,48844,56289.0,3127180.0
2017-08-25,6002,6135,5852,6002,19999,56289.0,3127180.0
2017-08-28,6002,6052,5835,5836,17427,54726.0,3127180.0
2017-08-29,5769,5935,5769,5786,13311,54257.0,3127180.0
2017-08-30,5752,5902,5719,5869,12732,55038.0,3127180.0
2017-08-31,5869,6035,5802,5902,10127,55351.0,3127180.0
2017-09-01,5885,6469,5885,6086,77431,57071.0,3127180.0
2017-09-04,6035,6252,5952,6153,27970,57696.0,3127180.0
2017-09-05,6102,6202,6019,6169,16866,57853.0,3127180.0
2017-09-06,6185,6602,5785,5902,172195,55351.0,3127180.0
2017-09-07,6052,6435,5919,6153,104066,57696.0,3127180.0
2017-09-08,6169,6169,5969,6002,28750,56289.0,3127180.0
2017-09-11,5935,5985,5819,5852,22233,54882.0,3127180.0
2017-09-12,5852,5969,5668,5686,20167,53318.0,3127180.0
2017-09-13,5735,5802,5618,5669,8036,53162.0,3127180.0
2017-09-14,5735,5869,5718,5752,6899,53944.0,3127180.0
2017-09-15,5752,5919,5752,5852,15293,54882.0,3127180.0
2017-09-18,5752,5852,5752,5802,6637,54413.0,3127180.0
2017-09-19,5802,5852,5685,5702,8590,53475.0,3127180.0
2017-09-20,5702,5719,5385,5502,19822,51598.0,3127180.0
2017-09-21,5435,5502,5285,5402,16601,50660.0,3127180.0
2017-09-22,5352,5468,5185,5219,16246,48940.0,3127180.0
2017-09-25,5118,5368,5052,5102,14599,47846.0,3127180.0
2017-09-26,5018,5185,5018,5135,8073,48159.0,3127180.0
2017-09-27,5135,5185,4968,5052,20188,47377.0,3127180.0
2017-09-28,5118,5135,5052,5069,8445,47533.0,3127180.0
2017-09-29,5068,5152,5035,5135,10139,48159.0,3127180.0
2017-10-10,5118,5368,5102,5235,6399,49097.0,3127180.0
2017-10-11,5302,5302,5202,5269,3062,49409.0,3127180.0
2017-10-12,5335,5335,5218,5269,2529,49409.0,3127180.0
2017-10-13,5268,5385,5068,5085,10869,47689.0,3127180.0
2017-10-16,5102,5135,4985,5102,4625,47846.0,3127180.0
2017-10-17,5102,5535,5052,5152,14204,48315.0,3127180.0
2017-10-18,5152,5202,4985,5069,10500,47533.0,3127180.0
2017-10-19,5068,5202,5018,5202,4326,48784.0,3127180.0
2017-10-20,5268,5285,5085,5152,4343,48315.0,3127180.0
2017-10-23,5185,5252,5185,5219,2389,48940.0,3127180.0
2017-10-24,5368,5435,5235,5319,10390,49879.0,3127180.0
2017-10-25,5468,5468,5335,5436,10373,50973.0,3127180.0
2017-10-26,5452,5452,5368,5369,6670,50348.0,3127180.0
2017-10-27,5435,5535,5402,5486,6293,51442.0,3127180.0
2017-10-30,5585,6102,5502,5769,45160,54100.0,3127180.0
2017-10-31,5869,5919,5668,5802,12858,54413.0,3127180.0
2017-11-01,5835,5885,5769,5819,6908,54569.0,3127180.0
2017-11-02,6002,6369,5902,6102,55921,57227.0,3127180.0
2017-11-03,6102,6452,5985,6436,72773,60355.0,3127180.0
2017-11-06,6335,6419,6219,6336,20559,59416.0,3127180.0
2017-11-07,6335,6519,6319,6419,28625,60198.0,3127180.0
2017-11-08,6469,6469,6152,6236,21638,58478.0,3127180.0
2017-11-09,6235,6235,5935,6052,23731,56758.0,3127180.0
2017-11-10,6135,6219,5952,6203,12166,58166.0,3127180.0
2017-11-13,6202,6219,6035,6086,20937,57071.0,3127180.0
2017-11-14,6202,6202,5885,6002,18265,56289.0,3127180.0
2017-11-15,6002,6019,5852,5919,8218,55507.0,3127180.0
2017-11-16,6002,6019,5802,5952,10603,55820.0,3127180.0
2017-11-17,6085,6085,5952,5969,4104,55977.0,3127180.0
2017-11-20,5969,6435,5969,6036,36725,56602.0,3127180.0
2017-11-21,6002,6252,6002,6186,14737,58009.0,3127180.0
2017-11-22,6202,6385,6185,6303,25366,59104.0,3127180.0
2017-11-23,6352,6569,6285,6469,26194,60667.0,3127180.0
2017-11-24,6469,6469,6235,6336,34391,59416.0,3127180.0
2017-11-27,6335,6385,6169,6169,9827,57853.0,3127180.0
2017-11-28,6169,6202,5935,5936,17127,55664.0,3127180.0
2017-11-29,6002,6035,5919,6002,2809,56289.0,3127180.0
2017-11-30,5969,6069,5935,6036,3941,56602.0,3127180.0
2017-12-01,6085,6085,5785,5836,17167,54726.0,3127180.0
2017-12-04,5835,5935,5702,5836,17180,54726.0,3127180.0
2017-12-05,5835,5885,5652,5869,23183,55038.0,3127180.0
2017-12-06,5935,5969,5719,5719,16262,53631.0,3127180.0
2017-12-07,5685,5902,5435,5652,22369,53006.0,3127180.0
2017-12-08,5652,5652,5452,5452,5241,51129.0,3127180.0
2017-12-11,5452,5552,5418,5486,7842,51442.0,3127180.0
2017-12-12,5485,5652,5435,5619,6079,52693.0,3127180.0
2017-12-13,5652,5935,5618,5786,23420,54257.0,3127180.0
2017-12-14,5752,6002,5668,6002,21213,56289.0,3127180.0
2017-12-15,6002,6219,5919,6119,17253,57384.0,3127180.0
2017-12-18,6119,6152,6035,6086,7637,57071.0,3127180.0
2017-12-19,6135,6135,5852,6019,21949,56446.0,3127180.0
2017-12-20,6002,6369,6002,6186,22040,58009.0,3127180.0
2017-12-21,6502,6736,6002,6069,55892,56915.0,3127180.0
2017-12-22,6069,6119,5869,6036,15596,56602.0,3127180.0
2017-12-26,5935,6085,5902,5902,12979,55351.0,3127180.0
2017-12-27,5902,6085,5902,6036,4876,56602.0,3127180.0
2017-12-28,6035,6319,6002,6236,20329,58478.0,3127180.0
2018-01-02,6302,6369,6219,6303,13642,59104.0,3127180.0
2018-01-03,6369,6736,6269,6736,46465,63169.0,3127180.0
2018-01-04,6619,7403,6602,7270,91468,68173.0,3127180.0
2018-01-05,7302,7336,7102,7303,36893,68485.0,3127180.0
2018-01-08,7319,7403,7169,7186,15048,67391.0,3127180.0
2018-01-09,7069,7869,7069,7320,86943,68642.0,3127180.0
2018-01-10,7403,7553,7252,7320,39349,68642.0,3127180.0
2018-01-11,7436,7453,7202,7270,14095,68173.0,3127180.0
2018-01-12,7269,7486,6919,6986,38141,65514.0,3127180.0
2018-01-15,6986,7319,6719,6936,16765,65045.0,3127180.0
2018-01-16,6836,7136,6769,7070,11934,66296.0,3127180.0
2018-01-17,7069,7252,6986,7003,4848,65671.0,3127180.0
2018-01-18,7169,7419,7019,7386,18856,69267.0,3127180.0
2018-01-19,7386,7519,7202,7353,11212,68954.0,3127180.0
2018-01-22,7486,7486,7052,7236,9725,67860.0,3127180.0
2018-01-23,7119,7636,7119,7470,20029,70049.0,3127180.0
2018-01-24,7636,7836,7403,7436,10309,69736.0,3127180.0
2018-01-25,7503,7853,7353,7736,58658,72551.0,3127180.0
2018-01-26,7786,7786,7603,7720,15361,72394.0,3127180.0
2018-01-29,7803,7803,7553,7620,13034,71456.0,3127180.0
2018-01-30,7619,7736,7469,7620,12740,71456.0,3127180.0
2018-01-31,7619,8453,7603,7970,96038,74740.0,3127180.0
2018-02-01,7969,9337,7969,9070,146474,85059.0,3127180.0
2018-02-02,9070,9170,8720,8920,45884,83652.0,3127180.0
2018-02-05,8770,9653,8736,9004,61485,84434.0,3127180.0
2018-02-06,8786,9603,8770,9270,89508,86936.0,3127180.0
2018-02-07,9303,9837,9303,9571,66000,89750.0,3127180.0
2018-02-08,9403,9753,9087,9287,35774,87092.0,3127180.0
2018-02-09,9103,9270,8736,8920,33013,83652.0,3127180.0
2018-02-12,8903,9203,8886,9020,7679,84590.0,3127180.0
2018-02-13,9153,9153,8886,8970,8772,84121.0,3127180.0
2018-02-14,8970,9203,8970,9070,8930,85059.0,3127180.0
2018-02-19,9170,9303,9003,9137,10022,85685.0,3127180.0
2018-02-20,9037,9087,8803,8820,17106,82714.0,3127180.0
2018-02-21,8820,9337,8820,9187,13791,86154.0,3127180.0
2018-02-22,9053,9270,8836,8987,12847,84278.0,3127180.0
2018-02-23,8987,9270,8836,8970,12595,84121.0,3127180.0
2018-02-26,8987,9170,8970,9070,11826,85059.0,3127180.0
2018-02-27,9070,9203,8970,9070,15790,85059.0,3127180.0
2018-02-28,9170,9170,8920,9037,8730,84747.0,3127180.0
2018-03-02,8920,9103,8920,9054,7368,84903.0,3127180.0
2018-03-05,8970,9087,8803,8937,11781,83808.0,3127180.0
2018-03-06,8836,8953,8720,8937,9862,83808.0,3127180.0
2018-03-07,8936,9103,8820,8987,8822,84278.0,3127180.0
2018-03-08,9020,9020,8753,8754,9545,82088.0,3127180.0
2018-03-09,8803,8920,8053,8520,45684,79899.0,3127180.0
2018-03-12,8670,8820,8153,8153,17072,76460.0,3127180.0
2018-03-13,8170,9003,8170,8737,30401,81932.0,3127180.0
2018-03-14,8936,9070,8686,9070,13182,85059.0,3127180.0
2018-03-15,9103,9253,9020,9187,16171,86154.0,3127180.0
2018-03-16,9187,9220,9103,9220,6557,86467.0,3127180.0
2018-03-19,9220,9220,8770,8904,11686,83496.0,3127180.0
2018-03-20,9137,9203,8670,8970,22406,84121.0,3127180.0
2018-03-21,8987,8987,8586,8987,22008,84278.0,3127180.0
2018-03-22,8970,8970,8386,8654,13993,81150.0,3127180.0
2018-03-23,8503,8503,8220,8270,12699,77554.0,3127180.0
2018-03-26,8153,8270,8103,8237,16078,77241.0,3127180.0
2018-03-27,8220,8486,7853,8303,7661,77867.0,3127180.0
2018-03-28,8336,8553,8336,8503,4923,79743.0,3127180.0
2018-03-29,8536,8736,8486,8570,4261,80369.0,3127180.0
2018-03-30,8703,8703,8236,8337,14969,78180.0,3127180.0
2018-04-02,8403,8603,8186,8303,3248,77867.0,3127180.0
2018-04-03,8303,8403,8203,8303,5782,77867.0,3127180.0
2018-04-04,8420,8420,8053,8187,6372,76772.0,3127180.0
2018-04-05,8186,8320,8136,8253,5346,77398.0,3127180.0
2018-04-06,8270,8286,8086,8287,2633,77710.0,3127180.0
2018-04-09,8286,8803,8286,8587,12381,80525.0,3127180.0
2018-04-10,8603,8670,8436,8503,5711,79743.0,3127180.0
2018-04-11,8503,8987,8403,8820,17166,82714.0,3127180.0
2018-04-12,8820,9153,8736,9070,19410,85059.0,3127180.0
2018-04-13,9070,9170,8870,9070,7230,85059.0,3127180.0
2018-04-16,9070,9103,8903,9037,9240,84747.0,3127180.0
