비피도(238200),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-05-13,31900,32500,30300,30300,57264,123927.0,4090000.0
2019-05-14,29500,31350,29250,30600,46455,125154.0,4090000.0
2019-05-15,31400,31850,29800,30800,36269,125972.0,4090000.0
2019-05-16,30750,31250,30150,30150,21892,123314.0,4090000.0
2019-05-17,30300,31000,30000,30150,28120,123314.0,4090000.0
2019-05-20,29950,30950,29500,30000,18582,122700.0,4090000.0
2019-05-21,30050,31450,30050,31350,33522,128222.0,4090000.0
2019-05-22,31300,32200,31300,31500,22758,128835.0,4090000.0
2019-05-23,31300,32350,30700,31350,33968,128222.0,4090000.0
2019-05-24,31350,31350,30000,30800,23759,125972.0,4090000.0
2019-05-27,30700,31600,30200,31600,22293,129244.0,4090000.0
2019-05-28,31600,32100,31300,31850,15048,130266.0,4090000.0
2019-05-29,31700,32400,30400,31000,17861,126790.0,4090000.0
2019-05-30,30900,31350,29850,31050,22813,126994.0,4090000.0
2019-05-31,31050,32000,30800,31550,21848,129040.0,4090000.0
2019-06-03,31500,31650,30850,31100,10481,127199.0,4090000.0
2019-06-04,31100,31500,30200,30500,20224,124745.0,4090000.0
2019-06-05,30900,30900,29850,30000,28509,122700.0,4090000.0
2019-06-07,30000,30400,29750,30150,23430,123314.0,4090000.0
2019-06-10,30400,30450,29250,29250,25583,119632.0,4090000.0
2019-06-11,29400,29850,29250,29500,20322,120655.0,4090000.0
2019-06-12,29350,30250,29350,29600,22190,121064.0,4090000.0
2019-06-13,29650,30950,29550,30700,38264,125563.0,4090000.0
2019-06-14,30900,31050,29700,29800,21818,121882.0,4090000.0
2019-06-17,30050,30350,28300,28300,39388,115747.0,4090000.0
2019-06-18,28500,28600,26550,26850,49771,109816.0,4090000.0
2019-06-19,27050,29450,27050,28250,43366,115542.0,4090000.0
2019-06-20,28250,30150,28000,29800,39088,121882.0,4090000.0
2019-06-21,29800,30700,29400,29600,20677,121064.0,4090000.0
2019-06-24,29350,29600,28750,29050,14213,118814.0,4090000.0
2019-06-25,28750,31300,28750,30600,57773,125154.0,4090000.0
2019-06-26,30250,30600,29000,29000,28548,118610.0,4090000.0
2019-06-27,29000,35000,29000,30400,369477,124336.0,4090000.0
2019-06-28,30950,31600,29900,30400,52793,124336.0,4090000.0
2019-07-01,30300,31350,29700,30200,35512,123518.0,4090000.0
2019-07-02,30000,30600,29750,30300,28637,123927.0,4090000.0
2019-07-03,30250,30600,29400,29650,20611,121268.0,4090000.0
2019-07-04,29150,29700,27550,28750,43996,117588.0,4090000.0
2019-07-05,28400,29000,28100,28700,18805,117383.0,4090000.0
2019-07-08,28350,28900,27200,27500,23705,112475.0,4090000.0
2019-07-09,27100,28050,26350,26350,25540,107772.0,4090000.0
2019-07-10,26400,27250,26400,26750,13940,109408.0,4090000.0
2019-07-11,26700,27050,26250,26600,20815,108794.0,4090000.0
2019-07-12,26300,26400,25300,25700,40500,105113.0,4090000.0
2019-07-15,25700,26050,25100,26050,17660,106544.0,4090000.0
2019-07-16,25800,26100,25550,26100,6948,106749.0,4090000.0
2019-07-17,26000,27800,25850,26450,21775,108180.0,4090000.0
2019-07-18,26100,26700,26000,26050,11649,106544.0,4090000.0
2019-07-19,25950,26450,25800,26150,7486,106954.0,4090000.0
2019-07-22,26150,26600,25900,26150,7888,106954.0,4090000.0
2019-07-23,26000,26400,25850,25900,5579,105931.0,4090000.0
2019-07-24,25700,26100,25100,25700,10372,105113.0,4090000.0
2019-07-25,25300,25700,24950,25300,11895,103477.0,4090000.0
2019-07-26,25200,25400,24000,25200,12235,103068.0,4090000.0
2019-07-29,24800,25200,23450,23800,18349,97342.0,4090000.0
2019-07-30,23000,24300,23000,23800,9228,97342.0,4090000.0
2019-07-31,23500,26850,22850,23850,40906,97546.0,4090000.0
2019-08-01,23950,24550,23450,24250,16482,99182.0,4090000.0
2019-08-02,23400,23900,23200,23850,14320,97546.0,4090000.0
2019-08-05,23550,23600,21000,21000,31537,85890.0,4090000.0
2019-08-06,19950,21050,19150,20000,43177,81800.0,4090000.0
2019-08-07,20050,20700,19800,20050,16774,82004.0,4090000.0
2019-08-08,20300,21500,20100,20850,58411,85276.0,4090000.0
2019-08-09,20850,21250,20600,20800,15511,85072.0,4090000.0
2019-08-12,20800,21700,20600,21350,10388,87322.0,4090000.0
2019-08-13,20900,21400,20650,21000,6939,85890.0,4090000.0
2019-08-14,21400,22200,20900,21850,22202,89366.0,4090000.0
2019-08-16,21450,21750,21150,21500,9764,87935.0,4090000.0
2019-08-19,21500,22000,21150,21350,7146,87322.0,4090000.0
2019-08-20,21250,21950,21150,21700,9503,88753.0,4090000.0
2019-08-21,21750,23550,21350,22200,49725,90798.0,4090000.0
2019-08-22,22200,22750,21850,21850,20833,89366.0,4090000.0
2019-08-23,21850,22350,21550,22000,10968,89980.0,4090000.0
2019-08-26,21650,21650,20450,20850,15393,85276.0,4090000.0
2019-08-27,21200,21200,20500,20600,7263,84254.0,4090000.0
2019-08-28,20900,22000,20500,21900,19501,89571.0,4090000.0
2019-08-29,21700,22400,21400,22050,19562,90184.0,4090000.0
2019-08-30,22500,23050,22000,22550,25488,92230.0,4090000.0
2019-09-02,22550,22950,22250,22650,13149,92638.0,4090000.0
2019-09-03,22650,22900,22400,22700,8626,92843.0,4090000.0
2019-09-04,22900,23900,22650,23850,27413,97546.0,4090000.0
2019-09-05,24000,24300,22850,23300,15677,95297.0,4090000.0
2019-09-06,23300,23750,23000,23200,9518,94888.0,4090000.0
2019-09-09,23450,23450,22450,22650,6477,92638.0,4090000.0
2019-09-10,22650,22900,22300,22650,7338,92638.0,4090000.0
2019-09-11,22450,22950,22300,22750,4572,93048.0,4090000.0
2019-09-16,23000,23000,22500,22800,8559,93252.0,4090000.0
2019-09-17,22500,23750,22250,23750,24105,97138.0,4090000.0
2019-09-18,23750,23800,23350,23450,15457,95910.0,4090000.0
2019-09-19,23450,23650,23100,23350,11029,95502.0,4090000.0
2019-09-20,23750,23750,22900,23100,12052,94479.0,4090000.0
2019-09-23,22800,23600,22250,22300,10607,91207.0,4090000.0
2019-09-24,22450,22800,22200,22650,7810,92638.0,4090000.0
2019-09-25,22650,23750,21950,21950,28268,89776.0,4090000.0
2019-09-26,21950,22400,21050,21650,13625,88548.0,4090000.0
2019-09-27,21800,21800,21150,21500,2119,87935.0,4090000.0
2019-09-30,21300,21600,21050,21050,5918,86094.0,4090000.0
2019-10-01,21000,21900,21000,21300,4872,87117.0,4090000.0
2019-10-02,21100,21850,21100,21300,4123,87117.0,4090000.0
2019-10-04,21150,21700,21000,21500,5375,87935.0,4090000.0
2019-10-07,21450,22250,21450,21800,13968,89162.0,4090000.0
