바텍(043150),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-12-11,7050,7280,7050,7100,71226,60657.0,8543170.0
2006-12-12,6990,7110,6610,6620,54643,56556.0,8543170.0
2006-12-13,6430,6790,6430,6790,44763,58008.0,8543170.0
2006-12-14,6690,7250,6690,7050,59620,60229.0,8543170.0
2006-12-15,7030,7490,7030,7390,96922,63134.0,8543170.0
2006-12-18,7270,7430,7200,7390,44388,63134.0,8543170.0
2006-12-19,7390,7500,7140,7250,394189,61938.0,8543170.0
2006-12-20,7320,7320,6900,7120,143918,60827.0,8543170.0
2006-12-21,7020,7120,6800,6830,90140,58350.0,8543170.0
2006-12-22,6900,6960,6700,6760,44059,57752.0,8543170.0
2006-12-26,6620,6840,6600,6600,16140,59473.0,9011115.0
2006-12-27,6570,6830,6200,6560,104525,59113.0,9011115.0
2006-12-28,6460,6720,6330,6600,76786,59473.0,9011115.0
2007-01-02,6420,6660,6420,6530,28528,58843.0,9011115.0
2007-01-03,6640,6640,6380,6460,61374,58212.0,9011115.0
2007-01-04,6460,6500,6250,6330,41633,57040.0,9011115.0
2007-01-05,6330,6370,6100,6300,78805,56770.0,9011115.0
2007-01-08,6300,6600,6210,6500,144848,58572.0,9011115.0
2007-01-09,6550,6550,6380,6490,36178,58482.0,9011115.0
2007-01-10,6450,6600,6360,6560,27094,59113.0,9011115.0
2007-01-11,6640,6740,6500,6540,72332,58933.0,9011115.0
2007-01-12,6680,6720,6570,6600,47871,59473.0,9011115.0
2007-01-15,6530,6740,6500,6500,61703,58572.0,9011115.0
2007-01-16,6500,6500,6250,6270,52669,56500.0,9011115.0
2007-01-17,6340,6340,6200,6270,17117,56500.0,9011115.0
2007-01-18,6210,6330,6210,6250,25062,56319.0,9011115.0
2007-01-19,6320,6320,6140,6200,23499,55869.0,9011115.0
2007-01-22,6200,6250,6100,6200,19872,55869.0,9011115.0
2007-01-23,6260,6260,6170,6170,47751,55599.0,9011115.0
2007-01-24,6150,6230,6150,6160,27408,55508.0,9011115.0
2007-01-25,6200,6290,6190,6190,33885,55779.0,9011115.0
2007-01-26,6190,6220,6130,6150,29713,55418.0,9011115.0
2007-01-29,6120,6250,6120,6180,17753,55689.0,9011115.0
2007-01-30,6260,6500,6130,6200,49664,55869.0,9011115.0
2007-01-31,6200,6240,6030,6040,50909,54427.0,9011115.0
2007-02-01,6100,6100,5700,5700,85826,51363.0,9011115.0
2007-02-02,5780,5980,5660,5870,45796,52895.0,9011115.0
2007-02-05,5800,5960,5800,5880,27317,52985.0,9011115.0
2007-02-06,5820,6160,5820,6150,79017,55418.0,9011115.0
2007-02-07,6190,6190,5990,5990,62357,53977.0,9011115.0
2007-02-08,6080,6150,5980,5990,55419,53977.0,9011115.0
2007-02-09,5930,6100,5930,6040,53250,54427.0,9011115.0
2007-02-12,6040,6150,6040,6150,83602,55418.0,9011115.0
2007-02-13,6180,6450,6150,6450,213947,58122.0,9011115.0
2007-02-14,6420,6500,6280,6290,110487,56680.0,9011115.0
2007-02-15,6400,6850,6300,6690,264397,60284.0,9011115.0
2007-02-16,6720,6950,6600,6800,116705,61276.0,9011115.0
2007-02-20,6850,6900,6600,6700,123566,60374.0,9011115.0
2007-02-21,6700,7640,6700,7200,494578,64880.0,9011115.0
2007-02-22,7200,7390,7000,7100,190311,63979.0,9011115.0
2007-02-23,7140,7240,6960,7040,103022,63438.0,9011115.0
2007-02-26,7110,7140,6720,6810,133451,61366.0,9011115.0
2007-02-27,6760,7580,6760,7090,449171,63889.0,9011115.0
2007-02-28,6600,6870,6200,6850,174201,61726.0,9011115.0
2007-03-02,6750,6890,6620,6760,123097,60915.0,9011115.0
2007-03-05,6610,6700,6360,6360,141820,57311.0,9011115.0
2007-03-06,6360,6630,6290,6600,105089,59473.0,9011115.0
2007-03-07,6690,6800,6550,6610,90573,59563.0,9011115.0
2007-03-08,6640,7130,6620,6940,190206,62537.0,9011115.0
2007-03-09,7190,7190,6800,6830,106142,61546.0,9011115.0
2007-03-12,7070,7230,6900,7180,245589,64700.0,9011115.0
2007-03-13,7230,7430,7100,7200,240106,64880.0,9011115.0
2007-03-14,7150,7150,6900,7050,122383,63528.0,9011115.0
2007-03-15,7120,7130,7000,7100,72590,63979.0,9011115.0
2007-03-16,7250,7600,7200,7510,426248,67673.0,9011115.0
2007-03-19,7650,8580,7510,8100,716597,72990.0,9011115.0
2007-03-20,8150,8290,7930,8150,330406,73441.0,9011115.0
2007-03-21,8270,8270,7920,8000,212176,72089.0,9011115.0
2007-03-22,8000,8350,7800,8200,474817,73891.0,9011115.0
2007-03-23,8290,8950,8100,8700,851108,78397.0,9011115.0
2007-03-26,8770,8910,8500,8740,411299,78757.0,9011115.0
2007-03-27,8770,9000,8660,8940,342820,80559.0,9011115.0
2007-03-28,8940,9110,8770,8780,353414,79118.0,9011115.0
2007-03-29,8990,9350,8850,9300,950004,83803.0,9011115.0
2007-03-30,9510,10650,9410,10650,1639014,95968.0,9011115.0
2007-04-02,11300,12150,10300,10650,2333309,95968.0,9011115.0
2007-04-03,10850,11000,9960,10650,1093121,95968.0,9011115.0
2007-04-04,10750,11050,10350,10500,782047,94617.0,9011115.0
2007-04-05,10350,10500,9700,10000,598961,90111.0,9011115.0
2007-04-06,10000,10050,9500,9800,526370,88309.0,9011115.0
2007-04-09,9830,10250,9630,10200,805635,91913.0,9011115.0
2007-04-10,10350,10400,9920,9960,570659,89751.0,9011115.0
2007-04-11,9960,10850,9960,10400,797257,93716.0,9011115.0
2007-04-12,10650,10850,10050,10300,465031,92814.0,9011115.0
2007-04-13,10250,10250,9870,10000,326874,90111.0,9011115.0
2007-04-16,9880,10200,9880,10050,222460,90562.0,9011115.0
2007-04-17,10350,11450,10250,10600,1289368,95518.0,9011115.0
2007-04-18,10750,10800,10250,10800,441804,97320.0,9011115.0
2007-04-19,10850,11000,10350,10350,316476,93265.0,9011115.0
2007-04-20,10550,11400,10500,11400,694028,102727.0,9011115.0
2007-04-23,11550,12800,11300,12600,943144,113540.0,9011115.0
2007-04-24,12800,13750,12600,12950,1215715,116694.0,9011115.0
2007-04-25,13350,13400,12200,12700,439591,114441.0,9011115.0
2007-04-26,12700,14500,12700,13500,988380,121650.0,9011115.0
2007-04-27,13550,14150,13050,13600,347166,122551.0,9011115.0
2007-04-30,13450,13700,12350,12350,354830,111287.0,9011115.0
2007-05-02,12350,12850,11800,12600,361847,113540.0,9011115.0
2007-05-03,13000,13800,12950,13500,830713,121650.0,9011115.0
2007-05-04,13600,14100,13200,13250,307227,119397.0,9011115.0
2007-05-07,13600,14250,13450,13850,501405,124804.0,9011115.0
2007-05-08,14350,14650,13700,13750,818355,123903.0,9011115.0
2007-05-09,13900,15800,13900,15800,1425359,142376.0,9011115.0
2007-05-10,16500,17800,15700,16100,2400854,145079.0,9011115.0
2007-05-11,15700,16650,15000,15550,809842,140123.0,9011115.0
2007-05-14,15900,16100,14000,14450,547043,130211.0,9011115.0
2007-05-15,14450,15200,14050,15000,529063,135167.0,9011115.0
2007-05-16,14800,15200,14150,14400,319391,129760.0,9011115.0
2007-05-17,14600,14950,14250,14450,319669,130211.0,9011115.0
2007-05-18,14600,14700,14200,14550,247775,131112.0,9011115.0
2007-05-21,14600,14850,13950,14400,430028,129760.0,9011115.0
2007-05-22,14450,14600,14000,14100,317069,127057.0,9011115.0
2007-05-23,14200,14250,13350,13850,337146,124804.0,9011115.0
2007-05-25,13500,14150,13400,13950,229936,125705.0,9011115.0
2007-05-28,14200,14250,13500,13750,221240,123903.0,9011115.0
2007-05-29,13950,14250,13500,14050,312719,126606.0,9011115.0
2007-05-30,14250,14250,13350,13550,258643,122101.0,9011115.0
2007-05-31,13550,13750,12500,13600,729841,122551.0,9011115.0
2007-06-01,13800,13850,12700,12700,483911,114441.0,9011115.0
2007-06-04,13000,13300,12200,12800,268811,115342.0,9011115.0
2007-06-05,12650,13100,12550,12750,197422,114892.0,9011115.0
2007-06-07,12750,12850,12450,12550,200350,113089.0,9011115.0
2007-06-08,12350,13300,12250,13050,364376,117595.0,9011115.0
2007-06-11,13200,13200,12500,12550,146638,113089.0,9011115.0
2007-06-12,12500,12650,12050,12100,225733,109034.0,9011115.0
2007-06-13,12100,12400,11550,11550,396388,104078.0,9011115.0
2007-06-14,11650,12300,11600,12050,410318,108584.0,9011115.0
2007-06-15,12250,12600,11750,12200,302040,109936.0,9011115.0
2007-06-18,12400,13200,12300,12950,376904,116694.0,9011115.0
2007-06-19,13200,14300,12750,14000,600294,126156.0,9011115.0
2007-06-20,14200,14350,13100,13850,349068,124804.0,9011115.0
2007-06-21,13500,14750,13500,14250,453663,128408.0,9011115.0
2007-06-22,14450,15000,14450,14900,413690,134266.0,9011115.0
2007-06-25,14600,15250,14450,14650,229997,132013.0,9011115.0
2007-06-26,14850,14950,13500,13750,220235,123903.0,9011115.0
2007-06-27,13700,14300,13350,14050,172876,126606.0,9011115.0
2007-06-28,14150,14250,13700,14000,131361,126156.0,9011115.0
2007-06-29,13950,14200,13700,13900,113683,125254.0,9011115.0
2007-07-02,14000,14350,13300,14100,111966,127057.0,9011115.0
2007-07-03,14250,14350,13850,14250,126450,128408.0,9011115.0
2007-07-04,14400,14900,14000,14050,192697,126606.0,9011115.0
2007-07-05,14200,14200,13850,13900,150202,125254.0,9011115.0
2007-07-06,13950,14000,13600,13950,129540,125705.0,9011115.0
2007-07-09,13950,14600,13950,14350,158604,129310.0,9011115.0
2007-07-10,14600,16400,14350,16000,688726,144178.0,9011115.0
2007-07-11,15650,16450,15600,16100,249005,145079.0,9011115.0
2007-07-12,16300,17350,16300,16750,453196,150936.0,9011115.0
2007-07-13,17200,17400,16400,16850,216214,151837.0,9011115.0
2007-07-16,17500,17500,16700,16950,150052,152738.0,9011115.0
2007-07-18,17100,17200,16550,16600,126411,149585.0,9011115.0
2007-07-19,16200,16600,16000,16450,134997,148233.0,9011115.0
2007-07-20,16450,16450,16050,16100,125112,145079.0,9011115.0
2007-07-23,15650,16050,15650,16000,96322,144178.0,9011115.0
2007-07-24,16250,16250,15600,15750,82364,141925.0,9011115.0
2007-07-25,15500,16500,15500,16450,67406,148233.0,9011115.0
2007-07-26,16800,16800,15750,15900,96868,143277.0,9011115.0
2007-07-27,15650,16100,15200,15850,82901,142826.0,9011115.0
2007-07-30,15500,15850,15350,15750,41812,141925.0,9011115.0
2007-07-31,15950,16200,15750,16000,61211,144178.0,9011115.0
2007-08-01,15650,16200,15500,15650,106632,141024.0,9011115.0
2007-08-02,15700,16000,15050,15150,76145,136518.0,9011115.0
2007-08-03,15200,15400,14750,15300,56878,137870.0,9011115.0
2007-08-06,14850,15300,14800,15300,55498,137870.0,9011115.0
2007-08-07,15700,15850,15400,15650,73267,141024.0,9011115.0
2007-08-08,15650,15800,15300,15650,41296,141024.0,9011115.0
2007-08-09,15600,16900,15600,16600,169901,149585.0,9011115.0
2007-08-10,16400,17650,16300,17000,272951,153189.0,9011115.0
2007-08-13,17050,18250,17050,17350,292926,156343.0,9011115.0
2007-08-14,17400,17600,15500,16100,198034,145079.0,9011115.0
2007-08-16,14750,15800,13700,14450,153265,130211.0,9011115.0
2007-08-17,14700,15550,14400,14750,98497,132914.0,9011115.0
2007-08-20,15700,16500,15500,16350,71175,147332.0,9011115.0
2007-08-21,16900,16900,15750,15750,68475,141925.0,9011115.0
2007-08-22,15750,16350,15750,16150,38645,145530.0,9011115.0
2007-08-23,16800,17350,16400,17100,139196,154090.0,9011115.0
2007-08-24,17100,17500,16600,17000,93956,153189.0,9011115.0
2007-08-27,17400,18000,17100,18000,136700,162200.0,9011115.0
2007-08-28,18000,19950,17850,19300,402959,173915.0,9011115.0
2007-08-29,19000,21200,18200,21200,351845,191036.0,9011115.0
2007-08-30,21500,22000,20300,20300,138904,182926.0,9011115.0
2007-08-31,20750,21450,20350,20350,107917,183376.0,9011115.0
2007-09-03,20650,21000,19300,20200,120826,182025.0,9011115.0
2007-09-04,19950,20400,19550,19650,79228,177068.0,9011115.0
2007-09-05,19700,21550,19700,20800,163723,187431.0,9011115.0
2007-09-06,21000,22150,20500,22150,172052,199596.0,9011115.0
2007-09-07,22800,23250,22250,23150,169493,208607.0,9011115.0
2007-09-10,23250,25750,22650,23550,437630,212212.0,9011115.0
2007-09-11,23900,24350,22750,23800,158744,214465.0,9011115.0
2007-09-12,23800,24800,22700,23000,154073,207256.0,9011115.0
2007-09-13,22800,23400,22550,23000,69827,207256.0,9011115.0
2007-09-14,23500,23800,22800,23000,85732,207256.0,9011115.0
2007-09-17,23100,24350,23000,24250,103167,218520.0,9011115.0
2007-09-18,24050,24600,23950,24050,60035,216717.0,9011115.0
2007-09-19,24700,24800,24050,24200,60989,218069.0,9011115.0
2007-09-20,24250,24500,23200,24100,112194,217168.0,9011115.0
2007-09-21,24000,24000,23050,23750,80542,214014.0,9011115.0
2007-09-27,23750,23750,22800,23100,132898,208157.0,9011115.0
2007-09-28,23300,23700,22900,23500,102717,211761.0,9011115.0
2007-10-01,23900,25150,23700,24500,175177,220772.0,9011115.0
2007-10-02,25300,25300,23900,24800,140918,223476.0,9011115.0
2007-10-04,24800,25200,24500,24800,62983,223476.0,9011115.0
2007-10-05,24800,24900,24300,24700,76118,222575.0,9011115.0
2007-10-08,24700,25050,24000,24300,74771,218970.0,9011115.0
2007-10-09,24500,25800,24300,25800,221708,232487.0,9011115.0
2007-10-10,26100,27000,25550,26000,191428,234289.0,9011115.0
2007-10-11,25600,26300,25550,26000,67224,234289.0,9011115.0
2007-10-12,26000,26000,24600,25450,68817,229333.0,9011115.0
2007-10-15,25600,25650,24800,25250,41129,227531.0,9011115.0
2007-10-16,25000,26600,24600,25000,178091,225278.0,9011115.0
2007-10-17,25000,25400,22250,23750,161403,214014.0,9011115.0
2007-10-18,24000,24250,22800,23900,67757,215366.0,9011115.0
2007-10-19,23650,25600,23650,25500,106603,229783.0,9011115.0
2007-10-22,23700,25300,23700,25100,43290,226179.0,9011115.0
2007-10-23,25150,26200,25150,25700,69212,231586.0,9011115.0
2007-10-24,25700,26150,25100,25500,68799,229783.0,9011115.0
2007-10-25,25600,26200,24300,25100,99162,226179.0,9011115.0
2007-10-26,25600,25600,24400,24500,52992,220772.0,9011115.0
2007-10-29,24500,25000,23450,23550,102167,212212.0,9011115.0
2007-10-30,23850,24100,22700,23500,77899,211761.0,9011115.0
2007-10-31,23800,24650,23100,24350,46315,219421.0,9011115.0
2007-11-01,24350,24650,23800,24000,42443,216267.0,9011115.0
2007-11-02,23200,24350,23200,24000,25507,216267.0,9011115.0
2007-11-05,24000,26000,23900,25300,153651,227981.0,9011115.0
2007-11-06,25700,26850,25300,26700,172258,240597.0,9011115.0
2007-11-07,26700,27700,26300,27500,135932,247806.0,9011115.0
2007-11-08,27000,28500,26850,28150,131976,253663.0,9011115.0
2007-11-09,28500,29700,28300,28750,207708,259070.0,9011115.0
2007-11-12,28600,29000,27300,27650,151578,249157.0,9011115.0
2007-11-13,27000,29600,27000,29600,169447,266729.0,9011115.0
2007-11-14,29800,31600,29800,30500,162680,274839.0,9011115.0
2007-11-15,30950,31700,28600,29000,133845,261322.0,9011115.0
2007-11-16,29000,29600,27800,29300,92187,264026.0,9011115.0
2007-11-19,29450,30700,28750,29200,68443,263125.0,9011115.0
2007-11-20,28800,28900,27850,28350,94203,255465.0,9011115.0
2007-11-21,28950,30350,28650,30000,121608,270333.0,9011115.0
2007-11-22,30900,31800,25500,26700,736858,240597.0,9011115.0
2007-11-23,26700,27950,25400,26650,157906,240146.0,9011115.0
2007-11-26,27050,28200,27050,27600,152109,248707.0,9011115.0
2007-11-27,26500,27950,26500,27950,63290,251861.0,9011115.0
2007-11-28,27950,28750,27700,28400,105536,255916.0,9011115.0
2007-11-29,28900,29300,28400,29200,120820,263125.0,9011115.0
2007-11-30,29300,29350,28650,28800,63773,259520.0,9011115.0
2007-12-03,28800,29600,28600,29600,143341,266729.0,9011115.0
2007-12-04,30800,31000,29600,29600,241920,266729.0,9011115.0
2007-12-05,29700,30000,29100,29800,45436,268531.0,9011115.0
2007-12-06,30000,30100,29100,29600,103839,266729.0,9011115.0
2007-12-07,29500,29900,28400,28750,93844,259070.0,9011115.0
2007-12-10,28750,28750,26800,27000,99213,243300.0,9011115.0
2007-12-11,27100,27500,25000,25400,114674,228882.0,9011115.0
2007-12-12,24900,25500,23550,25500,123940,229783.0,9011115.0
2007-12-13,25500,26650,25100,26200,33807,236091.0,9011115.0
2007-12-14,26150,26650,25500,25700,23379,231586.0,9011115.0
2007-12-17,25450,25450,24250,24250,55130,218520.0,9011115.0
2007-12-18,23900,24800,23500,24300,67803,218970.0,9011115.0
2007-12-20,24750,25100,24200,24950,43234,224827.0,9011115.0
2007-12-21,24950,26200,24950,26000,67554,234289.0,9011115.0
2007-12-24,26500,26550,25300,25450,123228,229333.0,9011115.0
2007-12-26,25400,25450,24500,24500,69076,220772.0,9011115.0
2007-12-27,24550,25500,24550,25300,33647,227981.0,9011115.0
2007-12-28,25300,26500,24800,26500,35981,238795.0,9011115.0
2008-01-02,26500,26700,26100,26400,32383,237893.0,9011115.0
2008-01-03,26350,26350,25600,26050,29863,234740.0,9011115.0
2008-01-04,26050,26400,25700,26200,32950,236091.0,9011115.0
2008-01-07,26150,26150,25400,25400,26451,228882.0,9011115.0
2008-01-08,25200,25800,24600,24900,38179,224377.0,9011115.0
2008-01-09,24300,25000,23700,24300,85552,218970.0,9011115.0
2008-01-10,24850,25200,24200,24550,27306,221223.0,9011115.0
2008-01-11,24200,24900,23700,23700,35587,213563.0,9011115.0
2008-01-14,23950,23950,22700,23000,34200,207256.0,9011115.0
2008-01-15,22600,23450,19550,20550,165402,185178.0,9011115.0
2008-01-16,20500,20500,18750,20000,180604,180222.0,9011115.0
2008-01-17,19900,21350,19900,20700,40150,186530.0,9011115.0
2008-01-18,20700,20700,17600,20400,33155,183827.0,9011115.0
2008-01-21,20050,20800,20050,20450,19248,184277.0,9011115.0
2008-01-22,20000,20000,18600,19450,32120,175266.0,9011115.0
2008-01-23,19700,20100,19450,19800,32964,178420.0,9011115.0
2008-01-24,20600,21100,20050,21100,45897,190135.0,9011115.0
2008-01-25,21300,24100,21100,22800,86574,205453.0,9011115.0
2008-01-28,21800,22450,21400,22000,40512,198245.0,9011115.0
2008-01-29,22100,23500,21500,21500,45538,193739.0,9011115.0
2008-01-30,21250,22100,19900,20200,39367,182025.0,9011115.0
2008-01-31,19900,20600,19600,20300,12871,182926.0,9011115.0
2008-02-01,20450,20800,20000,20000,15372,180222.0,9011115.0
2008-02-04,19850,20650,19500,20450,31991,184277.0,9011115.0
2008-02-05,20500,20800,20000,20800,33361,187431.0,9011115.0
2008-02-11,20150,20400,20000,20000,15391,180222.0,9011115.0
2008-02-12,20000,20800,20000,20200,16020,182025.0,9011115.0
2008-02-13,20300,21250,20250,21000,38141,189233.0,9011115.0
2008-02-14,21450,23250,21200,23100,82175,208157.0,9011115.0
2008-02-15,23450,23800,22650,23500,67327,211761.0,9011115.0
2008-02-18,23500,24200,23200,23800,97226,214465.0,9011115.0
2008-02-19,23900,24200,23350,23700,34453,213563.0,9011115.0
2008-02-20,23700,23700,22900,23000,42151,207256.0,9011115.0
2008-02-21,22750,24300,22750,24300,87446,218970.0,9011115.0
2008-02-22,23900,24900,23900,24800,55721,223476.0,9011115.0
2008-02-25,25200,25200,24050,24900,81058,224377.0,9011115.0
2008-02-26,24900,26000,24600,25600,48126,230685.0,9011115.0
2008-02-27,26000,26500,25550,26000,59192,234289.0,9011115.0
2008-02-28,26750,26750,25800,26400,41002,237893.0,9011115.0
2008-02-29,26000,26450,25850,26050,28487,234740.0,9011115.0
2008-03-03,25500,25700,24950,25500,71122,229783.0,9011115.0
2008-03-04,25300,25950,25300,25800,29721,232487.0,9011115.0
2008-03-05,25700,26250,25450,25900,30887,233388.0,9011115.0
2008-03-06,25650,26400,25550,26100,24182,235190.0,9011115.0
2008-03-07,25850,26000,25500,25500,22504,229783.0,9011115.0
2008-03-10,24850,25100,24050,24100,33685,217168.0,9011115.0
2008-03-11,23350,24200,23000,24200,51630,218069.0,9011115.0
2008-03-12,24800,25100,24450,24450,43255,220322.0,9011115.0
2008-03-13,24250,24800,23450,24250,30057,218520.0,9011115.0
2008-03-14,24400,24500,23500,23550,18390,212212.0,9011115.0
2008-03-17,23200,23750,22500,23400,26237,210860.0,9011115.0
2008-03-18,23400,23950,23000,23800,18908,214465.0,9011115.0
2008-03-19,24700,24700,23850,23900,22864,215366.0,9011115.0
2008-03-20,23600,24200,23300,23700,11294,213563.0,9011115.0
2008-03-21,23850,24100,23200,23500,15119,211761.0,9011115.0
2008-03-24,23900,23900,23300,23500,15519,211761.0,9011115.0
2008-03-25,23700,24100,23600,23900,22585,215366.0,9011115.0
2008-03-26,23900,24750,23900,24650,39054,222124.0,9011115.0
2008-03-27,24900,24900,24200,24400,32679,219871.0,9011115.0
2008-03-28,24400,24750,23850,24750,46331,223025.0,9011115.0
2008-03-31,24350,25100,24200,24650,57405,222124.0,9011115.0
2008-04-01,24750,24900,24300,24450,27503,220322.0,9011115.0
2008-04-02,24350,24750,23450,23850,78507,214915.0,9011115.0
2008-04-03,23900,24050,23200,24050,30370,216717.0,9011115.0
2008-04-04,24000,24050,23650,23800,30050,214465.0,9011115.0
2008-04-07,23550,24000,23300,23600,36226,212662.0,9011115.0
2008-04-08,23200,23400,22000,22850,59289,205904.0,9011115.0
2008-04-10,22800,24400,21350,22050,537148,198695.0,9011115.0
2008-04-11,22600,23300,22000,22100,103012,199146.0,9011115.0
2008-04-14,22100,22100,21300,21800,70000,196442.0,9011115.0
2008-04-15,21600,22200,21400,21900,44391,197343.0,9011115.0
2008-04-16,21800,23500,21800,22550,40275,203201.0,9011115.0
2008-04-17,22650,22850,22200,22500,35626,202750.0,9011115.0
2008-04-18,22250,22850,21800,22050,41767,198695.0,9011115.0
2008-04-21,22200,22400,21800,22000,28042,198245.0,9011115.0
2008-04-22,22000,22250,21600,21600,34896,194640.0,9011115.0
2008-04-23,21900,22550,21850,22100,55066,199146.0,9011115.0
2008-04-24,22150,22350,21900,22300,22448,200948.0,9011115.0
2008-04-25,22200,22550,22000,22500,28269,202750.0,9011115.0
2008-04-28,22600,22600,21650,21950,31412,197794.0,9011115.0
2008-04-29,22000,22050,21750,21900,13024,197343.0,9011115.0
2008-04-30,22000,22000,21700,21700,22306,195541.0,9011115.0
2008-05-02,21900,22100,21550,21700,25035,195541.0,9011115.0
2008-05-06,21600,21700,21250,21300,34314,191937.0,9011115.0
2008-05-07,21050,21500,20000,20100,51218,181123.0,9011115.0
2008-05-08,20000,21450,20000,20950,52084,188783.0,9011115.0
2008-05-09,21000,21450,20600,20850,22537,187882.0,9011115.0
2008-05-13,20850,21200,20550,20550,18683,185178.0,9011115.0
2008-05-14,20600,21000,20100,20200,31992,182025.0,9011115.0
2008-05-15,20200,20550,20200,20300,29382,182926.0,9011115.0
2008-05-16,20350,21450,20350,21350,33773,192387.0,9011115.0
2008-05-19,21500,21550,20900,21000,25315,189233.0,9011115.0
2008-05-20,20650,21200,20550,20700,26395,186530.0,9011115.0
2008-05-21,20400,21300,20400,21300,35194,191937.0,9011115.0
2008-05-22,20850,21250,20700,20950,25379,188783.0,9011115.0
2008-05-23,20750,21200,20550,20850,29782,187882.0,9011115.0
2008-05-26,20950,20950,20250,20350,15285,183376.0,9011115.0
2008-05-27,20100,20500,20100,20350,14426,183376.0,9011115.0
2008-05-28,20350,20750,20150,20600,37485,185629.0,9011115.0
2008-05-29,20550,21400,20500,21350,28016,192387.0,9011115.0
2008-05-30,21350,21450,21100,21450,14922,193288.0,9011115.0
2008-06-02,21350,21700,21350,21450,15639,193288.0,9011115.0
2008-06-03,21100,21450,20900,21150,15374,190585.0,9011115.0
2008-06-04,21000,21300,20900,21150,29063,190585.0,9011115.0
2008-06-05,21300,21600,21000,21050,24948,189684.0,9011115.0
2008-06-09,20150,21000,20150,20550,29705,185178.0,9011115.0
2008-06-10,20500,20850,20050,20300,35226,182926.0,9011115.0
2008-06-11,20050,20500,20050,20300,17426,182926.0,9011115.0
2008-06-12,20100,20200,19500,19950,17058,179772.0,9011115.0
2008-06-13,19700,20450,19500,19650,20907,177068.0,9011115.0
2008-06-16,19900,19950,19300,19300,20308,173915.0,9011115.0
2008-06-17,19200,19350,18600,19000,49420,171211.0,9011115.0
2008-06-18,18800,21400,18700,21350,185469,192387.0,9011115.0
2008-06-19,21700,22000,21150,21300,102580,191937.0,9011115.0
