쎄트렉아이(099320),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-04-01,20658,20961,20180,20508,182531,129467.0,3181000.0
2009-04-02,20709,21591,20507,20986,289540,132489.0,3181000.0
2009-04-03,21414,21490,20180,20382,141223,128671.0,3181000.0
2009-04-06,21817,23430,18391,19172,779218,121037.0,3181000.0
2009-04-07,19550,20558,18844,20508,300373,129467.0,3181000.0
2009-04-08,20583,21288,20281,21112,198718,133284.0,3181000.0
2009-04-09,21666,22775,21213,22548,245998,142350.0,3181000.0
2009-04-10,23178,23329,22220,23254,247572,146803.0,3181000.0
2009-04-13,24437,26705,23959,26705,392573,168593.0,3181000.0
2009-04-14,27410,30232,25697,27713,553085,174955.0,3181000.0
2009-04-15,26957,29476,25395,28620,330274,180681.0,3181000.0
2009-04-16,31492,31492,28922,28973,320663,182908.0,3181000.0
2009-04-17,28972,29476,24639,24690,626915,155869.0,3181000.0
2009-04-20,24186,26957,22775,26957,449189,170184.0,3181000.0
2009-04-21,26151,28620,25748,27058,296100,170820.0,3181000.0
2009-04-22,27662,27965,26453,26453,200926,167002.0,3181000.0
2009-04-23,25949,26100,24211,24942,324662,157460.0,3181000.0
2009-04-24,25697,26403,24488,25446,210665,160640.0,3181000.0
2009-04-27,25445,25748,24589,24942,113743,157460.0,3181000.0
2009-04-28,24538,25042,21968,22977,210958,145054.0,3181000.0
2009-04-29,23304,24563,21968,24564,196144,155074.0,3181000.0
2009-04-30,24689,24941,23732,24161,126470,152529.0,3181000.0
2009-05-04,24412,26302,23934,26302,220172,166048.0,3181000.0
2009-05-06,26503,27410,25596,26202,273613,165412.0,3181000.0
2009-05-07,25949,26554,24916,25093,162061,158414.0,3181000.0
2009-05-08,25395,26503,25395,26353,212795,166366.0,3181000.0
2009-05-11,26906,30232,26705,29074,528913,183544.0,3181000.0
2009-05-12,28519,30182,26302,26957,482288,170184.0,3181000.0
2009-05-13,27310,28166,26503,26857,191953,169547.0,3181000.0
2009-05-14,26352,28972,25949,27008,468581,170502.0,3181000.0
2009-05-15,27310,27914,26201,27008,175524,170502.0,3181000.0
2009-05-18,27360,27410,25445,26101,175700,164776.0,3181000.0
2009-05-19,26503,28972,26151,28217,345236,178136.0,3181000.0
2009-05-20,28217,28519,26403,26705,302998,174571.0,3293800.0
2009-05-21,27209,27209,26201,26605,129275,173913.0,3293800.0
2009-05-22,26453,27259,26201,26554,102811,173583.0,3293800.0
2009-05-25,26201,26856,22573,24992,191115,163372.0,3293800.0
2009-05-26,25344,25395,23304,23380,172194,152832.0,3293800.0
2009-05-27,23934,25596,23329,23934,173559,156456.0,3293800.0
2009-05-28,23934,24689,20658,23178,149608,151515.0,3293800.0
2009-05-29,23581,24689,23228,24312,123773,158926.0,3293800.0
2009-06-01,24614,25042,24337,24766,80583,161890.0,3293800.0
2009-06-02,25042,26755,24286,26202,298647,171278.0,3293800.0
2009-06-03,27360,29426,26806,28217,494856,184453.0,3293800.0
2009-06-04,28116,28317,26151,26353,165154,172266.0,3293800.0
2009-06-05,26806,27209,25395,26957,84379,176218.0,3293800.0
2009-06-08,27461,27562,26201,26202,128490,171278.0,3293800.0
2009-06-09,26151,27108,25143,25194,240464,164690.0,3293800.0
2009-06-10,25193,26151,24437,25118,154877,164196.0,3293800.0
2009-06-11,25798,26906,21767,22171,576869,144927.0,3293800.0
2009-06-12,22346,22447,20155,21339,382267,139492.0,3293800.0
2009-06-15,21288,22548,20658,21516,196836,140645.0,3293800.0
2009-06-16,21162,21465,20810,21188,103621,138504.0,3293800.0
2009-06-17,21313,22271,21062,21087,192642,137846.0,3293800.0
2009-06-18,21162,21515,18668,19198,234417,125494.0,3293800.0
2009-06-19,19399,19651,17736,18517,209875,121047.0,3293800.0
2009-06-22,18643,19525,18139,19223,168292,125658.0,3293800.0
2009-06-23,18744,19903,18215,18971,151290,124012.0,3293800.0
2009-06-24,18996,19348,18164,18543,121863,121212.0,3293800.0
2009-06-25,18542,19651,18391,19651,101200,128458.0,3293800.0
2009-06-26,20155,22120,19852,21616,348001,141304.0,3293800.0
2009-06-29,21591,21817,20306,20306,131972,132740.0,3293800.0
2009-06-30,20608,21112,18744,20659,183216,135046.0,3293800.0
2009-07-01,20810,21817,20406,21566,161423,140975.0,3293800.0
2009-07-02,21565,21565,20910,21037,76431,137516.0,3293800.0
2009-07-03,20281,21313,20281,21213,86875,138669.0,3293800.0
2009-07-06,21616,22220,21414,21490,95330,140481.0,3293800.0
2009-07-07,21465,22094,21339,21667,130391,141633.0,3293800.0
2009-07-08,21465,22019,20658,21163,116335,138340.0,3293800.0
2009-07-09,21465,21465,20432,20432,97889,133564.0,3293800.0
2009-07-10,20457,20936,19399,20583,89289,134552.0,3293800.0
2009-07-13,20709,21817,20406,20709,166940,135375.0,3293800.0
2009-07-14,21162,21515,18744,19928,202601,130270.0,3293800.0
2009-07-15,20860,21036,19222,19399,165693,128066.0,3326400.0
2009-07-16,19852,19852,18139,18442,137822,121746.0,3326400.0
2009-07-17,17635,18139,15972,16376,234904,108108.0,3326400.0
2009-07-20,16728,18542,16426,17938,253137,118420.0,3326400.0
2009-07-21,18139,18366,17257,17258,131523,113929.0,3326400.0
2009-07-22,17333,18038,17232,18039,77395,119085.0,3326400.0
2009-07-23,17862,19222,17585,18240,214722,120416.0,3326400.0
2009-07-24,18718,19046,18391,18543,92270,122412.0,3326400.0
2009-07-27,18895,19399,18542,18719,92520,123576.0,3326400.0
2009-07-28,18870,18870,17887,18316,90347,120915.0,3326400.0
2009-07-29,18315,18341,17610,17736,99115,117089.0,3326400.0
2009-07-30,17812,18668,17585,17636,144993,116424.0,3326400.0
2009-07-31,17812,18391,17434,17862,156914,117921.0,3326400.0
2009-08-03,19651,20532,19298,20533,312129,135551.0,3326400.0
2009-08-04,21213,21313,17786,18165,584211,119917.0,3326400.0
2009-08-05,17887,18718,17862,18190,124673,120083.0,3326400.0
2009-08-06,18164,18844,18164,18568,105739,122578.0,3326400.0
2009-08-07,18089,18794,17937,18795,111504,124075.0,3326400.0
2009-08-10,20406,21339,19298,20407,491157,134719.0,3326400.0
2009-08-11,19474,20709,19348,20180,140545,133222.0,3326400.0
2009-08-12,21591,21968,20633,21062,387039,139044.0,3326400.0
2009-08-13,20558,20759,20230,20231,163882,133555.0,3326400.0
2009-08-14,20532,20532,19676,19727,126274,130229.0,3326400.0
2009-08-17,20255,20658,19550,20130,159979,132890.0,3326400.0
2009-08-18,19399,19877,17711,18114,230936,119584.0,3326400.0
2009-08-19,19399,19726,18240,18643,309602,123077.0,3326400.0
2009-08-20,17131,18844,16829,17963,462458,118586.0,3326400.0
2009-08-21,18290,18996,17635,18895,211994,124740.0,3326400.0
2009-08-24,18895,19374,18391,19223,117474,126902.0,3326400.0
2009-08-25,19600,19600,18492,18744,210190,123742.0,3326400.0
2009-08-26,15947,15947,15947,15948,35248,105281.0,3326400.0
2009-08-27,15065,15065,13982,14058,584412,92807.0,3326400.0
2009-08-28,14310,14788,14032,14134,194394,93306.0,3326400.0
2009-08-31,14007,14133,12974,13000,188992,85821.0,3326400.0
2009-09-01,12924,13478,12924,13000,109531,85821.0,3326400.0
2009-09-02,12899,13201,12269,12295,127420,81164.0,3326400.0
2009-09-03,12193,12546,12067,12093,101960,79834.0,3326400.0
2009-09-04,12193,12445,11538,12093,175740,79834.0,3326400.0
2009-09-07,12319,13680,12294,13302,225246,87817.0,3326400.0
2009-09-08,13554,13554,12798,13025,104936,85987.0,3326400.0
2009-09-09,12949,13075,12244,12370,91523,81663.0,3326400.0
2009-09-10,12395,12924,12395,12597,64572,83160.0,3326400.0
2009-09-11,12622,12798,12445,12547,49017,82827.0,3326400.0
2009-09-14,12596,12798,12294,12295,42791,81164.0,3326400.0
2009-09-15,12370,12496,12193,12219,40710,80665.0,3326400.0
2009-09-16,12319,12722,12218,12345,58716,81497.0,3326400.0
2009-09-17,12395,12470,11941,12093,51736,79834.0,3326400.0
2009-09-18,12269,12294,11916,12093,40411,79834.0,3326400.0
2009-09-21,12218,12571,12093,12421,98076,81996.0,3326400.0
2009-09-22,12571,12773,12395,12572,69480,82994.0,3326400.0
2009-09-23,12773,13881,12722,12874,154093,84990.0,3326400.0
2009-09-24,12848,13201,12546,13025,69214,85987.0,3326400.0
2009-09-25,13151,13151,12622,12849,44031,84823.0,3326400.0
2009-09-28,13000,13025,12722,12849,36975,84823.0,3326400.0
2009-09-29,13025,13302,12647,12849,48507,84823.0,3326400.0
2009-09-30,12848,13000,12143,12320,40525,81330.0,3326400.0
2009-10-01,12344,12596,11866,12295,41986,81164.0,3326400.0
2009-10-05,12118,12748,12118,12647,39151,83493.0,3326400.0
2009-10-06,12596,12823,12244,12269,26188,80998.0,3326400.0
2009-10-07,12294,12521,12017,12068,35268,79667.0,3326400.0
2009-10-08,12093,12118,11715,11866,39277,78337.0,3326400.0
2009-10-09,11866,12697,11866,12622,87843,83326.0,3326400.0
2009-10-12,12823,13000,12395,12597,77896,83160.0,3326400.0
2009-10-13,12798,13453,12672,12672,165232,83659.0,3326400.0
2009-10-14,12697,12823,12067,12345,88842,81497.0,3326400.0
2009-10-15,12344,12521,12093,12244,51442,80832.0,3326400.0
2009-10-16,12168,12319,12042,12043,39598,79501.0,3326400.0
2009-10-19,11891,12093,11841,12093,26958,79834.0,3326400.0
2009-10-20,12118,12168,11866,11992,34547,79168.0,3326400.0
2009-10-21,11891,12017,11689,11740,37941,77505.0,3326400.0
2009-10-22,11689,11891,11463,11514,30742,76008.0,3326400.0
2009-10-23,11589,11639,11236,11388,37253,75177.0,3326400.0
2009-10-26,11312,11312,11034,11085,52921,73181.0,3326400.0
2009-10-27,10984,11085,10505,10581,56547,69854.0,3326400.0
2009-10-28,10581,10707,10001,10128,65739,66861.0,3326400.0
2009-10-29,9825,9875,9548,9574,58538,63202.0,3326400.0
2009-10-30,9724,9976,9624,9800,30871,64698.0,3326400.0
2009-11-02,9321,9674,9246,9624,30145,63534.0,3326400.0
2009-11-03,9649,9850,9598,9700,21078,64033.0,3326400.0
2009-11-04,9649,10480,9649,10481,59893,69189.0,3326400.0
2009-11-05,10455,10455,9926,9926,32415,65530.0,3326400.0
2009-11-06,10178,10455,10102,10229,42723,67526.0,3326400.0
2009-11-09,10228,10329,10027,10027,20320,66195.0,3326400.0
2009-11-10,10102,10228,9901,9926,22390,65530.0,3326400.0
2009-11-11,9926,10027,9825,9876,15343,65197.0,3326400.0
2009-11-12,9901,10027,9800,9800,18427,64698.0,3326400.0
2009-11-13,9397,9775,9397,9775,14919,64532.0,3326400.0
2009-11-16,9825,9901,9548,9548,33077,63035.0,3326400.0
2009-11-17,9548,9875,9548,9624,19018,63534.0,3326400.0
2009-11-18,9674,9825,9573,9599,17388,63368.0,3326400.0
2009-11-19,9674,10379,9674,10103,67728,66694.0,3326400.0
2009-11-20,10077,11589,10077,11514,118018,76008.0,3326400.0
2009-11-23,11387,11841,11034,11589,102551,76507.0,3326400.0
2009-11-24,11689,11967,11589,11589,52589,76507.0,3326400.0
2009-11-25,11765,12823,11664,12421,171183,81996.0,3326400.0
2009-11-26,12193,12571,12093,12395,64448,81829.0,3326400.0
2009-11-27,12218,12344,11236,11614,73416,76674.0,3326400.0
2009-11-30,11891,12445,11891,12446,57798,86347.0,3495845.0
2009-12-01,12445,12974,12093,12748,87823,88445.0,3495845.0
2009-12-02,13075,13201,12546,12597,87224,87396.0,3495845.0
2009-12-03,12622,12974,12344,12446,65318,86347.0,3495845.0
2009-12-04,12344,12748,12294,12547,43704,87047.0,3495845.0
2009-12-07,12949,13403,12924,13151,86582,91242.0,3495845.0
2009-12-08,13100,13705,13100,13479,60277,93514.0,3495845.0
2009-12-09,13327,13579,12949,13529,39471,93863.0,3495845.0
2009-12-10,13554,13680,13277,13605,33271,94388.0,3495845.0
2009-12-11,13604,14813,13604,14411,104634,99981.0,3495845.0
2009-12-14,15015,15897,14914,15897,132143,110294.0,3495845.0
2009-12-15,16124,16174,15065,15167,202183,105225.0,3495845.0
2009-12-16,15368,15418,14562,14612,144894,101380.0,3495845.0
2009-12-17,14385,14562,13806,14083,118301,97709.0,3495845.0
2009-12-18,14032,14813,13856,14814,95212,102778.0,3495845.0
2009-12-21,14990,15317,14687,15318,60606,106274.0,3495845.0
2009-12-22,15343,15494,14965,15393,90332,106798.0,3495845.0
2009-12-23,15443,15720,15191,15368,54873,106623.0,3495845.0
2009-12-24,15620,15620,14259,14411,95523,99981.0,3495845.0
2009-12-28,14587,15217,14310,14839,78916,102953.0,3495845.0
2009-12-29,14839,15015,14410,14814,34303,102778.0,3495845.0
2009-12-30,14813,15720,14637,15267,68243,105924.0,3495845.0
2010-01-04,15468,16375,15468,16376,107838,113615.0,3495845.0
2010-01-05,16779,16980,16426,16628,90675,115363.0,3495845.0
2010-01-06,16527,16703,16250,16578,63550,115013.0,3495845.0
2010-01-07,16980,18164,16779,17686,190539,122704.0,3495845.0
2010-01-08,17509,18391,17408,18114,91090,125676.0,3495845.0
2010-01-11,18240,18895,18114,18643,75909,129346.0,3495845.0
2010-01-12,18593,18794,17887,18719,81679,129871.0,3495845.0
2010-01-13,18492,18945,18290,18643,40061,129346.0,3495845.0
2010-01-14,18441,18844,17937,18391,85753,127598.0,3495845.0
2010-01-15,18391,18643,18114,18618,56449,129171.0,3495845.0
2010-01-18,18618,19474,18215,19374,114055,134415.0,3495845.0
2010-01-19,19399,19600,19096,19248,59015,133541.0,3495845.0
2010-01-20,18945,19525,18366,18845,166089,130745.0,3495845.0
2010-01-21,18441,18769,18341,18593,65404,128997.0,3495845.0
2010-01-22,18492,20406,18290,19424,408983,134765.0,3495845.0
2010-01-25,19147,20784,17837,18190,348095,130511.0,3615270.0
2010-01-26,18391,18794,16879,17333,139364,124365.0,3615270.0
2010-01-27,16980,17434,16602,16678,108492,119665.0,3615270.0
2010-01-28,16703,17081,16023,16804,79468,120569.0,3615270.0
2010-01-29,16476,16476,15620,15973,70503,114604.0,3615270.0
2010-02-01,15746,16602,15746,16603,66892,119123.0,3615270.0
2010-02-02,17056,17106,14133,14134,311344,101408.0,3615270.0
2010-02-03,13604,14813,13554,14512,267133,104120.0,3615270.0
2010-02-04,14511,15166,14108,15167,89123,108820.0,3615270.0
2010-02-05,14310,15368,14310,14965,86598,107374.0,3615270.0
2010-02-08,14965,15443,14410,14512,89675,104120.0,3615270.0
2010-02-09,14158,14385,14007,14109,85574,101228.0,3615270.0
2010-02-10,14259,14486,14108,14159,39872,101589.0,3615270.0
2010-02-11,14058,14284,13932,14209,47543,101951.0,3615270.0
