에프엔씨엔터(173940),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-02-26,15422,15572,14620,14771,98065,185936.0,6302915.0
2015-02-27,14545,14771,14295,14771,76807,185936.0,6302915.0
2015-03-02,14796,14871,14120,14446,174824,181839.0,6302915.0
2015-03-03,14295,15021,14295,14871,54729,187197.0,6302915.0
2015-03-04,14746,15747,14746,15748,93925,198227.0,6302915.0
2015-03-05,15797,18025,15372,16348,282957,205790.0,6302915.0
2015-03-06,16548,16648,15472,15522,123054,195390.0,6302915.0
2015-03-09,15622,16423,15522,16323,131262,205475.0,6302915.0
2015-03-10,16022,16723,16022,16524,110812,207996.0,6302915.0
2015-03-11,16348,16723,16073,16424,49741,206736.0,6302915.0
2015-03-12,16423,17099,16423,16774,59820,211148.0,6302915.0
2015-03-13,16774,17199,16623,17024,61215,214299.0,6302915.0
2015-03-16,17224,17324,16748,16949,65996,213354.0,6302915.0
2015-03-17,16899,16949,16223,16424,139069,206736.0,6302915.0
2015-03-18,16648,18426,16623,17450,188300,219657.0,6302915.0
2015-03-19,18450,19600,17550,18300,275500,115343.0,6302915.0
2015-03-20,18400,21000,17850,20950,348422,132046.0,6302915.0
2015-03-23,21350,23050,20950,21750,267547,137088.0,6302915.0
2015-03-24,21950,22250,21150,21750,126922,137088.0,6302915.0
2015-03-25,21800,22200,21500,22000,78257,138664.0,6302915.0
2015-03-26,22200,24600,21900,23600,249641,148749.0,6302915.0
2015-03-27,23400,24450,23250,23950,143601,150955.0,6302915.0
2015-03-30,24200,24550,23350,23650,164997,149064.0,6302915.0
2015-03-31,23900,23900,22650,23000,93725,144967.0,6302915.0
2015-04-01,23450,23450,22000,22200,126589,139925.0,6302915.0
2015-04-02,22250,23350,22100,22650,98171,142761.0,6302915.0
2015-04-03,22750,23350,22350,23250,52908,146543.0,6302915.0
2015-04-06,23300,23850,22500,23200,76560,146228.0,6302915.0
2015-04-07,23500,23800,22800,23100,65295,145597.0,6302915.0
2015-04-08,23100,23600,22650,23200,92062,146228.0,6302915.0
2015-04-09,23550,24500,23100,23200,148522,146228.0,6302915.0
2015-04-10,22000,23500,21700,22950,383954,289304.0,12605830.0
2015-04-13,22900,23300,22300,22650,168164,285522.0,12605830.0
2015-04-14,22650,22650,19850,20100,512584,253377.0,12605830.0
2015-04-15,20500,21500,19850,20800,296861,262201.0,12605830.0
2015-04-16,21500,23050,21100,22300,410316,281110.0,12605830.0
2015-04-17,22400,22950,21850,22600,109976,284892.0,12605830.0
2015-04-20,22000,22450,21650,22200,121014,279849.0,12605830.0
2015-04-21,22200,23400,21800,23000,216505,289934.0,12605830.0
2015-04-22,23150,23400,20500,21550,200864,271656.0,12605830.0
2015-04-23,21900,21950,20200,20350,169992,256529.0,12605830.0
2015-04-24,20500,21200,20150,20700,66096,260941.0,12605830.0
2015-04-27,20750,21200,20700,20800,75874,262201.0,12605830.0
2015-04-28,20800,20950,20250,20400,83505,257159.0,12605830.0
2015-04-29,20500,21900,20350,21300,159503,268504.0,12605830.0
2015-04-30,21050,21600,20050,20350,136137,256529.0,12605830.0
2015-05-04,20300,20600,19600,19750,83053,248965.0,12605830.0
2015-05-06,20000,20000,18750,18850,139501,237620.0,12605830.0
2015-05-07,18650,19400,18000,19000,118341,239511.0,12605830.0
2015-05-08,19000,19500,18950,19300,66117,243293.0,12605830.0
2015-05-11,19700,19800,19300,19800,71136,249595.0,12605830.0
2015-05-12,19800,20400,19300,19800,126343,249595.0,12605830.0
2015-05-13,19600,19700,18950,19300,89377,243293.0,12605830.0
2015-05-14,18900,19400,18700,19200,82885,242032.0,12605830.0
2015-05-15,19250,19800,19050,19450,160132,245183.0,12605830.0
2015-05-18,20000,20050,18900,19050,144894,240141.0,12605830.0
2015-05-19,19500,19750,18750,19100,192627,240771.0,12605830.0
2015-05-20,19400,20750,19250,20750,291643,261571.0,12605830.0
2015-05-21,21050,22050,20650,22000,419056,277328.0,12605830.0
2015-05-22,21900,22150,21100,21700,160301,273547.0,12605830.0
2015-05-26,21800,21800,20900,21000,135987,264722.0,12605830.0
2015-05-27,20850,21000,20100,20800,144230,262201.0,12605830.0
2015-05-28,21000,21700,20600,21000,197775,265463.0,12641094.0
2015-05-29,21000,21800,20500,21450,177540,271151.0,12641094.0
2015-06-01,21300,21300,19350,19600,332130,247765.0,12641094.0
2015-06-02,19350,19700,17250,17300,471363,218691.0,12641094.0
2015-06-03,17650,18850,17200,18500,227634,233860.0,12641094.0
2015-06-04,18350,18800,17850,18400,93467,232596.0,12641094.0
2015-06-05,18350,18350,17750,17850,119199,225644.0,12641094.0
2015-06-08,18000,18750,17800,18700,64300,236388.0,12641094.0
2015-06-09,18500,19500,18450,18800,811405,237653.0,12641094.0
2015-06-10,19750,20800,18800,19100,219486,241445.0,12641094.0
2015-06-11,19650,20000,19050,19150,122768,242077.0,12641094.0
2015-06-12,19150,19800,18500,19250,133224,243341.0,12641094.0
2015-06-15,19400,19500,19000,19100,63495,241445.0,12641094.0
2015-06-16,19000,19250,18650,19000,81437,240181.0,12641094.0
2015-06-17,19100,19150,18600,18950,62282,239549.0,12641094.0
2015-06-18,19000,20000,18800,20000,190198,252822.0,12641094.0
2015-06-19,20100,20200,19450,19950,90713,252190.0,12641094.0
2015-06-22,20200,21300,19900,21150,231872,267359.0,12641094.0
2015-06-23,21400,21400,20100,20550,168856,259774.0,12641094.0
2015-06-24,20500,20700,19550,20550,114717,259774.0,12641094.0
2015-06-25,20600,21100,19850,20800,205868,262935.0,12641094.0
2015-06-26,21100,21300,20100,20200,110434,255350.0,12641094.0
2015-06-29,19450,20200,19200,19300,121107,243973.0,12641094.0
2015-06-30,19250,22800,19150,21700,605206,274312.0,12641094.0
2015-07-01,21850,23200,21750,22800,481742,288217.0,12641094.0
2015-07-02,21850,22450,21550,22250,2037684,281264.0,12641094.0
2015-07-03,22550,23250,22250,22500,766051,284425.0,12641094.0
2015-07-06,22050,22250,20250,21000,470557,265463.0,12641094.0
2015-07-07,21400,21850,19000,19800,520243,250294.0,12641094.0
2015-07-08,19500,20200,19000,19450,207330,245869.0,12641094.0
2015-07-09,19100,19650,17750,19550,503766,247133.0,12641094.0
2015-07-10,19150,20400,19100,19550,218023,247133.0,12641094.0
2015-07-13,19150,20300,19100,20250,123772,255982.0,12641094.0
2015-07-14,20350,20600,20000,20200,77210,255350.0,12641094.0
2015-07-15,20150,20900,20150,20800,146892,262935.0,12641094.0
2015-07-16,21150,27000,21150,27000,3325499,341310.0,12641094.0
2015-07-17,31550,32250,25050,25050,5574590,316659.0,12641094.0
2015-07-20,25300,26900,25100,25650,978604,324244.0,12641094.0
2015-07-21,25650,25800,24200,24500,626602,309707.0,12641094.0
2015-07-22,23950,27100,23950,26500,1071284,334989.0,12641094.0
2015-07-23,26900,27650,26000,26300,629042,332461.0,12641094.0
2015-07-24,27000,27400,26150,26250,451224,331829.0,12641094.0
2015-07-27,25900,29650,25500,27850,2215008,352054.0,12641094.0
2015-07-28,28150,30500,27000,27600,2864735,348894.0,12641094.0
2015-07-29,28050,29300,27000,28400,837794,359007.0,12641094.0
2015-07-30,28950,30000,27700,27850,771790,352054.0,12641094.0
2015-07-31,27850,27900,25750,27000,646092,341310.0,12641094.0
2015-08-03,26900,26900,25250,25550,472364,322980.0,12641094.0
2015-08-04,24600,26550,24550,26550,359657,335621.0,12641094.0
2015-08-05,26500,27550,25700,26950,361302,340677.0,12641094.0
2015-08-06,26600,27500,26350,27300,338257,345102.0,12641094.0
2015-08-07,27000,27200,26400,26600,286933,336253.0,12641094.0
2015-08-10,26600,28000,25950,27600,486233,348894.0,12641094.0
2015-08-11,28150,29200,27300,27300,922415,345102.0,12641094.0
2015-08-12,27250,27700,24700,25850,611058,326772.0,12641094.0
2015-08-13,25300,26150,24950,25600,393731,323612.0,12641094.0
2015-08-17,25000,25800,24950,25150,215568,317924.0,12641094.0
2015-08-18,25350,25800,22950,23300,398703,294537.0,12641094.0
2015-08-19,22900,23300,21150,21450,696475,271151.0,12641094.0
2015-08-20,21250,22700,21250,21800,407526,275576.0,12641094.0
2015-08-21,20450,21700,19100,20950,360343,264831.0,12641094.0
2015-08-24,20700,21700,20200,20200,260897,255350.0,12641094.0
2015-08-25,20650,24500,20300,23100,680100,292009.0,12641094.0
2015-08-26,23150,23850,22650,23250,283920,293905.0,12641094.0
2015-08-27,23900,24350,23000,23850,326466,301490.0,12641094.0
2015-08-28,24500,24700,23950,24200,180658,305914.0,12641094.0
2015-08-31,24400,24450,23200,23600,115351,298330.0,12641094.0
2015-09-01,23450,24350,23250,23250,150591,293905.0,12641094.0
2015-09-02,22850,23500,22550,23400,253710,295802.0,12641094.0
2015-09-03,23900,24100,23000,23000,135182,290745.0,12641094.0
2015-09-04,23200,23400,21500,21600,189167,273048.0,12641094.0
2015-09-07,21600,22450,21350,21700,104497,274312.0,12641094.0
2015-09-08,21850,22200,21300,21400,91897,270519.0,12641094.0
2015-09-09,21950,22550,21850,22300,150452,281896.0,12641094.0
2015-09-10,22100,22300,21800,22200,94450,280632.0,12641094.0
2015-09-11,22400,23450,22100,23400,203713,295802.0,12641094.0
2015-09-14,23800,23900,22400,22950,149703,290113.0,12641094.0
2015-09-15,23050,23400,22600,23000,126556,290745.0,12641094.0
2015-09-16,23300,23300,22600,22900,125413,289481.0,12641094.0
2015-09-17,23150,23150,22500,22900,125090,289481.0,12641094.0
2015-09-18,22950,24150,22900,24000,325965,303386.0,12641094.0
2015-09-21,24000,25100,23750,24600,442186,310971.0,12641094.0
2015-09-22,24850,24850,24200,24650,149150,311603.0,12641094.0
2015-09-23,24350,25150,24200,24450,201750,309075.0,12641094.0
2015-09-24,24500,25100,23900,24900,203644,314763.0,12641094.0
2015-09-25,24900,24900,24250,24400,104393,308443.0,12641094.0
2015-09-30,23900,24250,23600,24150,105608,305282.0,12641094.0
2015-10-01,24150,24900,23850,24550,111593,310339.0,12641094.0
2015-10-02,24450,24700,23800,23950,125461,302754.0,12641094.0
2015-10-05,24100,24150,23200,23200,232140,293273.0,12641094.0
2015-10-06,23250,23500,22650,22850,188905,288849.0,12641094.0
2015-10-07,23150,23200,22450,22450,143806,283793.0,12641094.0
2015-10-08,22600,23100,22600,22850,106518,288849.0,12641094.0
2015-10-12,22850,23350,22700,22700,106432,286953.0,12641094.0
2015-10-13,22800,22900,21900,21900,165356,276840.0,12641094.0
2015-10-14,21950,21950,20500,20800,258517,262935.0,12641094.0
2015-10-15,21050,21300,20850,20850,83129,263567.0,12641094.0
2015-10-16,20900,21700,20900,21400,92430,270519.0,12641094.0
2015-10-19,21300,21550,20900,21050,78292,266095.0,12641094.0
2015-10-20,21200,21500,20850,21300,69506,269255.0,12641094.0
2015-10-21,21450,21550,21050,21050,61863,266095.0,12641094.0
2015-10-22,21050,21100,20000,20050,170537,253454.0,12641094.0
2015-10-23,20100,20800,20050,20550,161229,259774.0,12641094.0
2015-10-26,20450,21500,20450,21500,181864,271784.0,12641094.0
2015-10-27,21600,21750,21250,21400,74750,270519.0,12641094.0
2015-10-28,21200,21450,20850,21000,76565,265463.0,12641094.0
2015-10-29,21050,21100,20500,20750,80865,262303.0,12641094.0
2015-10-30,20750,22000,20650,21800,164623,275576.0,12641094.0
2015-11-02,21950,22700,21500,22550,275414,285057.0,12641094.0
2015-11-03,22300,22700,21900,22550,123779,285057.0,12641094.0
2015-11-04,22550,22550,21500,22100,116948,279368.0,12641094.0
2015-11-05,22100,22500,21900,22400,111579,283161.0,12641094.0
2015-11-06,22400,22400,21850,22350,100311,282528.0,12641094.0
2015-11-09,22700,23000,22250,22300,218513,281896.0,12641094.0
2015-11-10,22150,22300,21150,22100,146345,279368.0,12641094.0
2015-11-11,21800,22400,21750,22100,80707,279368.0,12641094.0
2015-11-12,22200,22450,21300,21350,133011,269887.0,12641094.0
2015-11-13,21000,21200,20200,20800,128733,262935.0,12641094.0
2015-11-16,20050,20600,19600,20250,137462,255982.0,12641094.0
2015-11-17,20050,20500,19400,19650,189389,248397.0,12641094.0
2015-11-18,19550,22200,19500,21000,285628,265463.0,12641094.0
2015-11-19,20900,21500,20850,21000,111878,265463.0,12641094.0
2015-11-20,21200,23050,21200,22650,382743,286321.0,12641094.0
2015-11-23,28150,28150,22800,22900,1676981,289481.0,12641094.0
2015-11-24,23350,23900,22650,22900,331289,289481.0,12641094.0
2015-11-25,23500,23700,22400,22400,232057,283161.0,12641094.0
2015-11-26,22350,23500,22350,23000,282878,290745.0,12641094.0
2015-11-27,23000,23800,23000,23050,173859,291377.0,12641094.0
2015-11-30,23050,23200,22450,23200,126431,293273.0,12641094.0
2015-12-01,23650,23750,22900,23000,182849,290745.0,12641094.0
2015-12-02,23200,24000,23000,23200,190430,293273.0,12641094.0
2015-12-03,23100,23600,22750,23300,114158,294537.0,12641094.0
2015-12-04,22950,23350,22450,22650,105875,286321.0,12641094.0
2015-12-07,22800,22950,22200,22200,74194,280632.0,12641094.0
2015-12-08,22250,22300,21250,21300,117023,269255.0,12641094.0
2015-12-09,21300,21900,21150,21250,57004,268623.0,12641094.0
2015-12-10,21000,21500,20450,20550,80539,259774.0,12641094.0
2015-12-11,20950,21550,20750,21000,35879,265463.0,12641094.0
2015-12-14,20550,20600,19900,20100,113312,254086.0,12641094.0
2015-12-15,20100,20500,20100,20250,48028,255982.0,12641094.0
2015-12-16,20450,20800,20300,20400,60328,257878.0,12641094.0
2015-12-17,20750,21500,20550,21500,78834,271784.0,12641094.0
2015-12-18,21450,21800,21000,21450,62542,271151.0,12641094.0
2015-12-21,21400,21850,21400,21550,57373,272416.0,12641094.0
2015-12-22,21550,22150,21400,21900,66515,276840.0,12641094.0
2015-12-23,22150,22400,21750,22000,66210,278104.0,12641094.0
2015-12-24,22250,22750,21900,22100,85403,279368.0,12641094.0
2015-12-28,21800,23000,21750,21900,120133,276840.0,12641094.0
2015-12-29,22050,22200,21800,22050,56777,278736.0,12641094.0
2015-12-30,21900,22400,21900,22300,62678,281896.0,12641094.0
2016-01-04,22600,22900,22000,22350,109071,282528.0,12641094.0
2016-01-05,21800,23000,21800,22950,165405,290113.0,12641094.0
2016-01-06,23250,23750,22850,23300,174085,294537.0,12641094.0
2016-01-07,23350,23600,22300,22950,115458,290113.0,12641094.0
2016-01-08,22400,23100,22300,22550,80524,285057.0,12641094.0
2016-01-11,22550,22550,21800,21850,77556,276208.0,12641094.0
2016-01-12,22000,22200,20800,21550,64046,272416.0,12641094.0
2016-01-13,21700,21750,20950,21400,89401,270519.0,12641094.0
2016-01-14,21000,21250,20850,21100,59287,266727.0,12641094.0
2016-01-15,21600,21900,21050,21050,74825,302381.0,14364880.0
2016-01-18,20700,21100,20650,20950,69851,300944.0,14364880.0
2016-01-19,20800,21750,20800,21500,74389,308845.0,14364880.0
2016-01-20,21500,21700,19900,20700,101404,297353.0,14364880.0
2016-01-21,20350,20800,19650,19950,170907,286579.0,14364880.0
2016-01-22,19950,20300,19800,20250,67844,290889.0,14364880.0
2016-01-25,20500,20650,20200,20400,49588,293044.0,14364880.0
2016-01-26,20150,20350,19850,19950,93025,286579.0,14364880.0
2016-01-27,20300,20300,19850,20000,83143,287298.0,14364880.0
2016-01-28,20000,20100,19250,19450,139540,279397.0,14364880.0
2016-01-29,19500,19700,19050,19400,124821,278679.0,14364880.0
2016-02-01,19400,19450,17750,17850,407913,256413.0,14364880.0
2016-02-02,17550,18100,17500,17800,148188,255695.0,14364880.0
2016-02-03,17600,18350,17600,17750,92872,254977.0,14364880.0
2016-02-04,18100,18100,17700,18000,60261,258568.0,14364880.0
2016-02-05,18100,18150,17800,17900,68036,257131.0,14364880.0
2016-02-11,17300,17300,15600,15900,253219,228402.0,14364880.0
2016-02-12,15500,15900,13800,14100,494786,202545.0,14364880.0
2016-02-15,14000,14750,14000,14600,162730,209727.0,14364880.0
2016-02-16,14850,15400,14800,15350,138756,220501.0,14364880.0
2016-02-17,15550,15650,14650,14850,101491,213318.0,14364880.0
2016-02-18,15350,15400,14850,15050,76848,216191.0,14364880.0
2016-02-19,14850,15450,14850,15200,59168,218346.0,14364880.0
2016-02-22,15200,15900,14950,15700,71142,225529.0,14364880.0
2016-02-23,15800,15950,15000,15200,138087,218346.0,14364880.0
2016-02-24,15050,15350,15050,15100,53779,216910.0,14364880.0
2016-02-25,15150,15350,15050,15150,54445,217628.0,14364880.0
2016-02-26,15200,15600,15150,15250,56719,219064.0,14364880.0
2016-02-29,15400,15600,15150,15350,62636,220501.0,14364880.0
2016-03-02,15350,15500,15000,15350,86423,220501.0,14364880.0
2016-03-03,15350,15400,15050,15300,58901,219783.0,14364880.0
2016-03-04,15400,16450,15150,16300,246477,234148.0,14364880.0
2016-03-07,16500,16600,16100,16350,96392,234866.0,14364880.0
2016-03-08,18650,18700,16650,16650,567173,239175.0,14364880.0
2016-03-09,16850,17000,15900,16100,216673,231275.0,14364880.0
2016-03-10,16100,16400,16050,16400,78503,235584.0,14364880.0
2016-03-11,16200,16450,16100,16200,55896,232711.0,14364880.0
2016-03-14,16200,16350,16050,16200,60530,232711.0,14364880.0
2016-03-15,16150,16350,15900,15950,62194,229120.0,14364880.0
2016-03-16,16150,16350,15850,15950,112609,229120.0,14364880.0
2016-03-17,16200,16850,16100,16600,127176,238457.0,14364880.0
2016-03-18,16750,17350,16650,17000,147183,244203.0,14364880.0
2016-03-21,17350,17400,16950,17100,143344,245639.0,14364880.0
2016-03-22,17250,17250,16800,17000,61219,244203.0,14364880.0
2016-03-23,17100,17100,16750,16850,52597,242048.0,14364880.0
2016-03-24,16750,17200,16600,17200,88712,247076.0,14364880.0
2016-03-25,17350,17400,17000,17100,76934,245639.0,14364880.0
2016-03-28,17100,17100,16800,16800,47506,241330.0,14364880.0
2016-03-29,16850,17300,16850,17250,73597,247794.0,14364880.0
2016-03-30,17250,17400,17050,17200,39525,247076.0,14364880.0
2016-03-31,17350,17350,17050,17150,50061,246358.0,14364880.0
2016-04-01,17050,17200,16850,16900,39065,242766.0,14364880.0
2016-04-04,17050,17100,16700,16850,46284,242048.0,14364880.0
2016-04-05,16850,16850,16350,16350,81777,234866.0,14364880.0
2016-04-06,16400,16500,16050,16200,70547,232711.0,14364880.0
2016-04-07,16250,16250,15600,15950,118354,229120.0,14364880.0
2016-04-08,15800,16100,15800,16050,46992,230556.0,14364880.0
2016-04-11,16100,16100,15750,15800,47260,226965.0,14364880.0
2016-04-12,15800,16000,15750,15900,44157,228402.0,14364880.0
2016-04-14,16000,16100,15750,15950,43065,229120.0,14364880.0
2016-04-15,15850,16050,15750,15950,38055,229120.0,14364880.0
2016-04-18,16000,16200,15800,15950,49380,229120.0,14364880.0
2016-04-19,15950,16650,15950,16500,126898,237021.0,14364880.0
2016-04-20,16450,16600,16250,16300,39579,234148.0,14364880.0
2016-04-21,16550,16600,16300,16300,62943,234148.0,14364880.0
2016-04-22,16350,16850,16250,16750,88747,240612.0,14364880.0
2016-04-25,16850,17100,16700,16700,65859,239893.0,14364880.0
2016-04-26,16550,16650,16300,16300,72201,234148.0,14364880.0
2016-04-27,16200,16800,16200,16400,63962,235584.0,14364880.0
2016-04-28,16400,16650,16300,16300,79193,234148.0,14364880.0
2016-04-29,16250,16300,15850,15950,87114,229120.0,14364880.0
2016-05-02,16000,16300,15950,16150,52245,231993.0,14364880.0
2016-05-03,15950,16350,15950,16200,49966,232711.0,14364880.0
2016-05-04,16350,16350,16000,16100,30879,231275.0,14364880.0
2016-05-09,16050,16250,16000,16050,45848,230556.0,14364880.0
2016-05-10,16050,16300,16050,16300,38552,234148.0,14364880.0
2016-05-11,16400,16550,16150,16550,68154,237739.0,14364880.0
2016-05-12,16550,16700,16350,16700,49983,239893.0,14364880.0
2016-05-13,16700,17050,16400,16800,153072,241330.0,14364880.0
2016-05-16,16950,17100,16500,16600,107689,238457.0,14364880.0
2016-05-17,16600,16850,16250,16500,82154,237021.0,14364880.0
2016-05-18,16450,16450,15850,15850,91348,227683.0,14364880.0
2016-05-19,15900,16000,15350,15400,78670,221219.0,14364880.0
2016-05-20,15450,16000,15300,15750,35657,226247.0,14364880.0
2016-05-23,15750,15800,15550,15700,35159,225529.0,14364880.0
2016-05-24,15600,15750,15400,15500,54796,222656.0,14364880.0
2016-05-25,15550,15650,15450,15500,44074,222656.0,14364880.0
2016-05-26,15500,15550,15400,15500,44514,222656.0,14364880.0
2016-05-27,15600,15600,15350,15350,42301,220501.0,14364880.0
2016-05-30,15500,15600,15300,15350,43821,220501.0,14364880.0
2016-05-31,15500,15650,15200,15350,66718,220501.0,14364880.0
2016-06-01,15400,15450,15250,15400,52625,221219.0,14364880.0
2016-06-02,15500,15500,15200,15300,66655,219783.0,14364880.0
2016-06-03,15300,15400,15250,15350,45913,220501.0,14364880.0
2016-06-07,15300,15550,15200,15550,62624,223374.0,14364880.0
2016-06-08,15550,15700,15300,15500,55537,222656.0,14364880.0
2016-06-09,15450,15650,15400,15450,56747,221937.0,14364880.0
2016-06-10,15450,15800,15450,15650,49054,224810.0,14364880.0
2016-06-13,15500,15550,15100,15200,82611,218346.0,14364880.0
2016-06-14,15200,15200,14750,14900,52478,214037.0,14364880.0
2016-06-15,14950,15050,14800,14900,27959,214037.0,14364880.0
2016-06-16,15000,15000,14200,14300,75382,205418.0,14364880.0
2016-06-17,14550,14550,14300,14350,31253,206136.0,14364880.0
2016-06-20,14250,14550,14250,14350,23855,206136.0,14364880.0
2016-06-21,14350,14500,14250,14450,24912,207573.0,14364880.0
2016-06-22,14400,14650,14400,14400,33861,206854.0,14364880.0
2016-06-23,12700,13850,12250,13050,458705,187462.0,14364880.0
2016-06-24,13400,13500,12350,12600,290404,180997.0,14364880.0
2016-06-27,12050,12750,12050,12500,99207,179561.0,14364880.0
2016-06-28,12400,13150,12400,13100,89810,188180.0,14364880.0
2016-06-29,12900,13350,12750,13250,101093,190335.0,14364880.0
2016-06-30,13300,13300,12850,12950,117122,186025.0,14364880.0
2016-07-01,13300,13500,13100,13200,80283,189616.0,14364880.0
2016-07-04,13150,13450,12700,13000,119934,186743.0,14364880.0
2016-07-05,13050,13050,12500,12800,147626,183870.0,14364880.0
2016-07-06,12800,12850,12500,12800,53817,183870.0,14364880.0
2016-07-07,12850,13000,12700,12900,64262,185307.0,14364880.0
2016-07-08,12950,13150,12650,12800,80071,183870.0,14364880.0
2016-07-11,12800,12800,12450,12500,72338,179561.0,14364880.0
2016-07-12,12550,12650,11850,12050,256650,173097.0,14364880.0
2016-07-13,12200,12450,11950,12350,99783,177406.0,14364880.0
2016-07-14,12400,12450,12150,12200,45331,175252.0,14364880.0
2016-07-15,12250,12900,12250,12600,113898,180997.0,14364880.0
2016-07-18,12750,13050,12700,12750,97939,183152.0,14364880.0
2016-07-19,12650,12850,12600,12700,41422,182434.0,14364880.0
2016-07-20,12800,12800,12600,12700,29377,182434.0,14364880.0
2016-07-21,12700,12850,12600,12700,38311,182434.0,14364880.0
2016-07-22,12700,13250,12600,12950,94002,186025.0,14364880.0
2016-07-25,13000,13150,12750,12750,43378,183152.0,14364880.0
2016-07-26,12750,12850,12550,12600,51229,180997.0,14364880.0
2016-07-27,12600,12800,12450,12450,30692,178843.0,14364880.0
2016-07-28,12500,12600,12300,12450,30600,178843.0,14364880.0
2016-07-29,12500,12500,12350,12350,34437,177406.0,14364880.0
2016-08-01,12350,12450,12100,12100,62805,173815.0,14364880.0
2016-08-02,12050,12100,11400,11500,149912,165196.0,14364880.0
2016-08-03,11450,11450,11150,11200,86561,160887.0,14364880.0
2016-08-04,11150,11400,11000,11250,59302,161605.0,14364880.0
2016-08-05,11150,11150,10150,10400,269744,149395.0,14364880.0
2016-08-08,10300,10900,10250,10800,88220,155141.0,14364880.0
2016-08-09,10800,11050,10700,11000,61483,158014.0,14364880.0
2016-08-10,10950,11450,10900,11300,85212,162323.0,14364880.0
2016-08-11,11300,11350,10950,11000,64947,158014.0,14364880.0
2016-08-12,11000,11350,10950,11250,34948,161605.0,14364880.0
2016-08-16,11200,11200,11050,11100,31034,159450.0,14364880.0
2016-08-17,11050,11150,10400,10850,65903,155859.0,14364880.0
2016-08-18,10900,10950,10650,10650,46566,152986.0,14364880.0
