우리손에프앤지(073560),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-03-06,2135,2185,2115,2185,248487,151284.0,69237643.0
2017-03-07,2200,2230,2180,2215,224511,153361.0,69237643.0
2017-03-08,2230,2230,2140,2155,544634,149207.0,69237643.0
2017-03-09,2150,2190,2150,2150,269059,148861.0,69237643.0
2017-03-10,2145,2205,2130,2175,365537,150592.0,69237643.0
2017-03-13,2180,2185,2150,2180,298244,150938.0,69237643.0
2017-03-14,2175,2180,2140,2150,290559,148861.0,69237643.0
2017-03-15,2130,2155,2055,2070,716408,143322.0,69237643.0
2017-03-16,2075,2130,2075,2130,358648,147476.0,69237643.0
2017-03-17,2130,2145,2100,2130,237301,147476.0,69237643.0
2017-03-20,2125,2165,2115,2155,348909,149207.0,69237643.0
2017-03-21,2165,2195,2150,2150,524676,148861.0,69237643.0
2017-03-22,2155,2210,2150,2180,531966,150938.0,69237643.0
2017-03-23,2185,2240,2170,2170,673134,150246.0,69237643.0
2017-03-24,2175,2220,2155,2200,345153,152323.0,69237643.0
2017-03-27,2220,2250,2190,2200,395946,152323.0,69237643.0
2017-03-28,2195,2220,2190,2200,253483,152323.0,69237643.0
2017-03-29,2210,2210,2150,2150,432230,148861.0,69237643.0
2017-03-30,2160,2180,2140,2140,222956,148169.0,69237643.0
2017-03-31,2135,2175,2135,2155,295264,149207.0,69237643.0
2017-04-03,2170,2195,2155,2185,307466,151284.0,69237643.0
2017-04-04,2185,2235,2175,2195,509182,151977.0,69237643.0
2017-04-05,2200,2210,2175,2185,359594,151284.0,69237643.0
2017-04-06,2205,2425,2145,2310,2660832,159939.0,69237643.0
2017-04-07,2300,2330,2275,2275,1018876,157516.0,69237643.0
2017-04-10,2280,2280,2180,2250,949531,155785.0,69237643.0
2017-04-11,2250,2380,2245,2360,2756932,163401.0,69237643.0
2017-04-12,2350,2390,2320,2345,1164885,162362.0,69237643.0
2017-04-13,2355,2435,2340,2400,2530598,166170.0,69237643.0
2017-04-14,2380,2385,2305,2305,1087445,159593.0,69237643.0
2017-04-17,2335,2355,2295,2335,368793,161670.0,69237643.0
2017-04-18,2350,2395,2315,2365,702081,163747.0,69237643.0
2017-04-19,2360,2405,2330,2360,776595,163401.0,69237643.0
2017-04-20,2375,2405,2320,2320,520183,160631.0,69237643.0
2017-04-21,2330,2360,2300,2340,446177,162016.0,69237643.0
2017-04-24,2360,2380,2285,2305,640053,159593.0,69237643.0
2017-04-25,2310,2380,2305,2375,612925,164439.0,69237643.0
2017-04-26,2375,2490,2365,2485,2262907,172056.0,69237643.0
2017-04-27,2475,2515,2445,2475,1004716,171363.0,69237643.0
2017-04-28,2480,2480,2385,2430,550325,168247.0,69237643.0
2017-05-02,2420,2490,2415,2480,674477,171709.0,69237643.0
2017-05-04,2480,2510,2420,2460,667023,170325.0,69237643.0
2017-05-08,2490,2540,2460,2490,620370,172402.0,69237643.0
2017-05-10,2485,2540,2470,2525,704207,174825.0,69237643.0
2017-05-11,2515,2545,2485,2545,689114,176210.0,69237643.0
2017-05-12,2545,2625,2520,2580,994196,178633.0,69237643.0
2017-05-15,2610,2615,2525,2560,497250,177248.0,69237643.0
2017-05-16,2585,2600,2445,2500,682037,173094.0,69237643.0
2017-05-17,2500,2520,2385,2405,825400,166517.0,69237643.0
2017-05-18,2370,2425,2310,2420,1018518,167555.0,69237643.0
2017-05-19,2410,2525,2340,2500,1332608,173094.0,69237643.0
2017-05-22,2525,2570,2450,2515,923817,174133.0,69237643.0
2017-05-23,2510,2615,2480,2605,1207783,180364.0,69237643.0
2017-05-24,2635,2725,2565,2650,2260821,183480.0,69237643.0
2017-05-25,2660,2665,2585,2635,658985,182441.0,69237643.0
2017-05-26,2610,2700,2545,2560,1239279,177248.0,69237643.0
2017-05-29,2570,2610,2545,2550,483026,176556.0,69237643.0
2017-05-30,2550,2635,2540,2570,869180,177941.0,69237643.0
2017-05-31,2575,2595,2515,2515,728642,174133.0,69237643.0
2017-06-01,2510,2520,2440,2475,505149,171363.0,69237643.0
2017-06-02,2485,2575,2455,2570,649485,177941.0,69237643.0
2017-06-05,2675,2680,2545,2590,2212906,179325.0,69237643.0
2017-06-07,2585,2620,2540,2615,1804467,181056.0,69237643.0
2017-06-08,2600,2615,2560,2590,828450,179325.0,69237643.0
2017-06-09,2575,2585,2535,2545,627717,176210.0,69237643.0
2017-06-12,2545,2575,2480,2500,503238,173094.0,69237643.0
2017-06-13,2520,2615,2520,2555,1123538,176902.0,69237643.0
2017-06-14,2595,2595,2510,2525,538180,174825.0,69237643.0
2017-06-15,2545,2550,2450,2460,623572,170325.0,69237643.0
2017-06-16,2460,2485,2430,2450,399945,169632.0,69237643.0
2017-06-19,2475,2560,2450,2545,587275,176210.0,69237643.0
2017-06-20,2535,2560,2460,2480,391778,171709.0,69237643.0
2017-06-21,2480,2480,2425,2440,246341,168940.0,69237643.0
2017-06-22,2450,2480,2445,2465,349421,170671.0,69237643.0
2017-06-23,2450,2480,2450,2465,225689,170671.0,69237643.0
2017-06-26,2465,2475,2350,2385,1106596,165132.0,69237643.0
2017-06-27,2370,2490,2355,2480,627180,171709.0,69237643.0
2017-06-28,2470,2470,2385,2420,649584,167555.0,69237643.0
2017-06-29,2435,2525,2395,2510,553182,173786.0,69237643.0
2017-06-30,2500,2510,2460,2490,340888,172402.0,69237643.0
2017-07-03,2535,2535,2465,2475,341303,171363.0,69237643.0
2017-07-04,2500,2500,2415,2465,324130,170671.0,69237643.0
2017-07-05,2455,2495,2440,2470,184682,171017.0,69237643.0
2017-07-06,2455,2570,2450,2545,1194092,176210.0,69237643.0
2017-07-07,2535,2545,2495,2515,522575,174133.0,69237643.0
2017-07-10,2530,2560,2515,2540,396054,175864.0,69237643.0
2017-07-11,2550,2580,2485,2545,590013,176210.0,69237643.0
2017-07-12,2530,2550,2510,2550,238203,176556.0,69237643.0
2017-07-13,2560,2610,2510,2580,917139,178633.0,69237643.0
2017-07-14,2575,2590,2550,2580,368779,178633.0,69237643.0
2017-07-17,2545,2565,2510,2540,353690,175864.0,69237643.0
2017-07-18,2520,2560,2485,2540,367553,175864.0,69237643.0
2017-07-19,2540,2590,2530,2550,477314,176556.0,69237643.0
2017-07-20,2550,2585,2535,2580,411219,178633.0,69237643.0
2017-07-21,2580,2640,2565,2600,1018548,180018.0,69237643.0
2017-07-24,2615,2630,2565,2600,599898,180018.0,69237643.0
2017-07-25,2580,2630,2495,2620,798410,181403.0,69237643.0
2017-07-26,2620,2665,2585,2600,874060,180018.0,69237643.0
2017-07-27,2600,2610,2455,2545,661976,176210.0,69237643.0
2017-07-28,2545,2560,2455,2530,596246,175171.0,69237643.0
2017-07-31,2500,2535,2485,2505,197635,173440.0,69237643.0
2017-08-01,2490,2540,2465,2470,233922,171017.0,69237643.0
2017-08-02,2470,2595,2465,2490,562859,172402.0,69237643.0
2017-08-03,2495,2560,2470,2525,419276,174825.0,69237643.0
2017-08-04,2520,2560,2510,2560,331450,177248.0,69237643.0
2017-08-07,2560,2595,2550,2560,380031,177248.0,69237643.0
2017-08-08,2570,2600,2530,2600,351669,180018.0,69237643.0
2017-08-09,2600,2700,2565,2670,1387908,184865.0,69237643.0
2017-08-10,2670,2790,2670,2760,1938035,191096.0,69237643.0
2017-08-11,2700,2795,2660,2775,1192925,192134.0,69237643.0
2017-08-14,2865,2880,2625,2705,1589197,187288.0,69237643.0
2017-08-16,2790,2825,2710,2735,862003,189365.0,69237643.0
2017-08-17,2735,2835,2685,2830,1258776,195943.0,69237643.0
2017-08-18,2815,2835,2775,2790,650026,193173.0,69237643.0
2017-08-21,2805,2810,2690,2690,708410,186249.0,69237643.0
2017-08-22,2690,2745,2660,2670,320811,184865.0,69237643.0
2017-08-23,2695,2725,2675,2725,354128,188673.0,69237643.0
2017-08-24,2735,2735,2665,2685,373818,185903.0,69237643.0
2017-08-25,2690,2695,2590,2685,682669,185903.0,69237643.0
2017-08-28,2720,2775,2700,2755,652805,190750.0,69237643.0
2017-08-29,2730,2775,2700,2755,363372,190750.0,69237643.0
2017-08-30,2755,2760,2705,2715,218725,187980.0,69237643.0
2017-08-31,2735,2735,2675,2680,299934,185557.0,69237643.0
2017-09-01,2680,2725,2645,2670,391998,184865.0,69237643.0
2017-09-04,2605,2685,2600,2645,329901,183134.0,69237643.0
2017-09-05,2655,2730,2640,2720,554417,188326.0,69237643.0
2017-09-06,2710,2780,2635,2645,534426,183134.0,69237643.0
2017-09-07,2650,2675,2630,2635,222494,182441.0,69237643.0
2017-09-08,2655,2680,2605,2665,285425,184518.0,69237643.0
2017-09-11,2645,2700,2645,2670,137465,184865.0,69237643.0
2017-09-12,2670,2695,2620,2655,302112,183826.0,69237643.0
2017-09-13,2655,2665,2585,2605,359032,180364.0,69237643.0
2017-09-14,2600,2620,2580,2585,190652,178979.0,69237643.0
2017-09-15,2585,2600,2520,2565,376901,177595.0,69237643.0
2017-09-18,2560,2580,2520,2550,389629,176556.0,69237643.0
2017-09-19,2550,2560,2500,2505,367982,173440.0,69237643.0
2017-09-20,2490,2515,2405,2415,508411,167209.0,69237643.0
2017-09-21,2415,2430,2335,2360,341505,163401.0,69237643.0
2017-09-22,2340,2420,2325,2365,363025,163747.0,69237643.0
2017-09-25,2365,2425,2345,2360,209329,163401.0,69237643.0
2017-09-26,2360,2395,2260,2300,314958,159247.0,69237643.0
2017-09-27,2305,2325,2230,2235,374394,154746.0,69237643.0
2017-09-28,2235,2310,2220,2285,228112,158208.0,69237643.0
2017-09-29,2300,2370,2295,2370,167300,164093.0,69237643.0
2017-10-10,2390,2400,2325,2340,205084,162016.0,69237643.0
2017-10-11,2340,2395,2325,2360,114654,163401.0,69237643.0
2017-10-12,2370,2395,2330,2350,160383,162708.0,69237643.0
2017-10-13,2360,2365,2265,2335,215713,161670.0,69237643.0
2017-10-16,2325,2330,2270,2320,249186,160631.0,69237643.0
2017-10-17,2320,2345,2300,2325,133357,160978.0,69237643.0
2017-10-18,2325,2355,2320,2350,99934,162708.0,69237643.0
2017-10-19,2340,2360,2265,2270,345477,157169.0,69237643.0
2017-10-20,2270,2315,2270,2300,166952,159247.0,69237643.0
2017-10-23,2285,2315,2230,2240,275403,155092.0,69237643.0
2017-10-24,2230,2265,2225,2250,229057,155785.0,69237643.0
2017-10-25,2250,2290,2250,2270,131113,157169.0,69237643.0
2017-10-26,2260,2295,2255,2280,181283,157862.0,69237643.0
2017-10-27,2280,2295,2270,2275,148873,157516.0,69237643.0
2017-10-30,2275,2295,2270,2285,142094,158208.0,69237643.0
2017-10-31,2295,2300,2265,2290,135373,158554.0,69237643.0
2017-11-01,2290,2295,2230,2250,293758,155785.0,69237643.0
2017-11-02,2245,2265,2205,2225,237062,154054.0,69237643.0
2017-11-03,2220,2245,2155,2170,635752,150246.0,69237643.0
2017-11-06,2150,2185,2150,2160,258175,149553.0,69237643.0
2017-11-07,2150,2200,2150,2185,200330,151284.0,69237643.0
2017-11-08,2195,2205,2165,2175,284562,150592.0,69237643.0
2017-11-09,2175,2195,2170,2190,213254,151630.0,69237643.0
2017-11-10,2190,2240,2180,2235,247358,154746.0,69237643.0
2017-11-13,2230,2245,2195,2205,353105,152669.0,69237643.0
2017-11-14,2210,2430,2200,2305,1061062,159593.0,69237643.0
2017-11-15,2305,2310,2230,2250,503371,155785.0,69237643.0
2017-11-16,2255,2255,2210,2215,369746,153361.0,69237643.0
2017-11-17,2205,2300,2195,2290,372559,158554.0,69237643.0
2017-11-20,2315,2415,2315,2395,1319366,165824.0,69237643.0
2017-11-21,2415,2475,2350,2425,975778,167901.0,69237643.0
2017-11-22,2450,2450,2345,2375,457530,164439.0,69237643.0
2017-11-23,2375,2400,2335,2380,353177,164786.0,69237643.0
2017-11-24,2400,2405,2355,2380,324319,164786.0,69237643.0
2017-11-27,2380,2400,2350,2355,186537,163055.0,69237643.0
2017-11-28,2350,2380,2305,2305,328821,159593.0,69237643.0
2017-11-29,2315,2340,2285,2300,314177,159247.0,69237643.0
2017-11-30,2305,2360,2280,2340,418564,162016.0,69237643.0
2017-12-01,2350,2355,2315,2320,246978,160631.0,69237643.0
2017-12-04,2320,2420,2300,2420,816922,167555.0,69237643.0
2017-12-05,2420,2425,2385,2395,363730,165824.0,69237643.0
2017-12-06,2390,2430,2365,2385,407461,165132.0,69237643.0
2017-12-07,2390,2400,2315,2380,297583,164786.0,69237643.0
2017-12-08,2380,2420,2360,2375,364662,164439.0,69237643.0
2017-12-11,2365,2380,2315,2365,242108,163747.0,69237643.0
2017-12-12,2365,2390,2340,2365,256185,163747.0,69237643.0
2017-12-13,2385,2385,2330,2355,136066,163055.0,69237643.0
2017-12-14,2355,2365,2295,2320,274636,160631.0,69237643.0
2017-12-15,2320,2360,2280,2335,542606,161670.0,69237643.0
2017-12-18,2345,2385,2330,2355,254058,163055.0,69237643.0
2017-12-19,2345,2365,2290,2320,204764,160631.0,69237643.0
2017-12-20,2320,2350,2295,2320,122980,160631.0,69237643.0
2017-12-21,2320,2350,2260,2270,202048,157169.0,69237643.0
2017-12-22,2265,2310,2250,2285,282603,158208.0,69237643.0
2017-12-26,2275,2300,2275,2280,100605,157862.0,69237643.0
2017-12-27,2265,2315,2265,2300,148261,159247.0,69237643.0
2017-12-28,2300,2350,2300,2350,129558,162708.0,69237643.0
2018-01-02,2350,2355,2330,2350,159922,162708.0,69237643.0
2018-01-03,2340,2385,2335,2350,277079,162708.0,69237643.0
2018-01-04,2350,2370,2280,2315,333808,160285.0,69237643.0
2018-01-05,2315,2405,2290,2400,595094,166170.0,69237643.0
2018-01-08,2410,2415,2365,2410,522472,166863.0,69237643.0
2018-01-09,2410,2440,2370,2405,394113,166517.0,69237643.0
2018-01-10,2405,2440,2395,2430,304354,168247.0,69237643.0
2018-01-11,2445,2445,2405,2435,179752,168594.0,69237643.0
2018-01-12,2440,2520,2400,2475,784267,171363.0,69237643.0
2018-01-15,2475,2515,2445,2460,361890,170325.0,69237643.0
2018-01-16,2450,2475,2400,2460,358220,170325.0,69237643.0
2018-01-17,2490,2515,2435,2470,318346,171017.0,69237643.0
2018-01-18,2485,2520,2460,2520,531011,174479.0,69237643.0
2018-01-19,2520,2540,2475,2520,325188,174479.0,69237643.0
2018-01-22,2510,2520,2480,2500,160139,173094.0,69237643.0
2018-01-23,2490,2530,2480,2515,408147,174133.0,69237643.0
2018-01-24,2530,2530,2470,2490,288016,172402.0,69237643.0
2018-01-25,2490,2510,2470,2495,284653,172748.0,69237643.0
2018-01-26,2495,2540,2480,2535,606110,175517.0,69237643.0
2018-01-29,2540,2605,2525,2580,1029250,178633.0,69237643.0
2018-01-30,2560,2600,2535,2590,518840,179325.0,69237643.0
2018-01-31,2595,2610,2560,2605,491505,180364.0,69237643.0
2018-02-01,2605,2615,2545,2600,719815,180018.0,69237643.0
2018-02-02,2595,2595,2500,2550,366415,176556.0,69237643.0
2018-02-05,2485,2520,2460,2505,505329,173440.0,69237643.0
2018-02-06,2425,2480,2380,2440,495105,168940.0,69237643.0
2018-02-07,2465,2490,2380,2380,462162,164786.0,69237643.0
2018-02-08,2395,2440,2375,2405,580323,166517.0,69237643.0
2018-02-09,2335,2400,2305,2370,262861,164093.0,69237643.0
2018-02-12,2385,2475,2385,2420,320072,167555.0,69237643.0
2018-02-13,2420,2460,2410,2430,201217,168247.0,69237643.0
2018-02-14,2410,2445,2370,2445,122970,169286.0,69237643.0
2018-02-19,2445,2460,2415,2440,177059,168940.0,69237643.0
2018-02-20,2435,2445,2415,2425,159975,167901.0,69237643.0
2018-02-21,2430,2435,2395,2395,184046,165824.0,69237643.0
2018-02-22,2400,2435,2365,2420,270066,167555.0,69237643.0
2018-02-23,2425,2435,2370,2410,434735,166863.0,69237643.0
2018-02-26,2410,2415,2360,2375,233077,164439.0,69237643.0
2018-02-27,2380,2500,2330,2500,1121295,173094.0,69237643.0
2018-02-28,2480,2525,2435,2450,614724,169632.0,69237643.0
2018-03-02,2420,2475,2375,2470,335364,171017.0,69237643.0
2018-03-05,2490,2490,2380,2380,257812,164786.0,69237643.0
2018-03-06,2395,2415,2380,2395,165414,165824.0,69237643.0
2018-03-07,2395,2395,2350,2370,184672,164093.0,69237643.0
2018-03-08,2375,2410,2325,2400,235883,166170.0,69237643.0
2018-03-09,2400,2410,2370,2395,109040,165824.0,69237643.0
2018-03-12,2400,2490,2350,2460,520630,170325.0,69237643.0
2018-03-13,2460,2460,2425,2460,188747,170325.0,69237643.0
2018-03-14,2460,2460,2400,2435,332136,168594.0,69237643.0
2018-03-15,2435,2455,2390,2420,187687,167555.0,69237643.0
2018-03-16,2440,2455,2375,2450,345480,169632.0,69237643.0
2018-03-19,2470,2470,2405,2415,111632,167209.0,69237643.0
2018-03-20,2405,2410,2380,2395,116806,165824.0,69237643.0
2018-03-21,2390,2410,2360,2370,327434,164093.0,69237643.0
2018-03-22,2370,2405,2350,2380,242753,164786.0,69237643.0
2018-03-23,2320,2390,2320,2330,323235,161324.0,69237643.0
2018-03-26,2320,2335,2300,2310,158649,159939.0,69237643.0
2018-03-27,2315,2335,2260,2320,378868,160631.0,69237643.0
2018-03-28,2285,2365,2280,2315,351967,160285.0,69237643.0
2018-03-29,2330,2370,2295,2370,325096,164093.0,69237643.0
2018-03-30,2390,2395,2340,2390,323532,165478.0,69237643.0
2018-04-02,2380,2395,2250,2360,506746,163401.0,69237643.0
2018-04-03,2350,2350,2290,2300,404895,159247.0,69237643.0
2018-04-04,2310,2315,2245,2265,319946,156823.0,69237643.0
2018-04-05,2285,2320,2265,2320,134192,160631.0,69237643.0
2018-04-06,2310,2370,2305,2340,263392,162016.0,69237643.0
2018-04-09,2335,2380,2305,2375,235846,164439.0,69237643.0
2018-04-10,2375,2385,2360,2365,95108,163747.0,69237643.0
2018-04-11,2370,2380,2335,2370,179254,164093.0,69237643.0
