컴투스(078340),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-10-10,9427,9605,9204,9206,151368,104398.0,10086746.0
2007-10-11,9160,9560,9116,9117,145674,103389.0,10086746.0
2007-10-12,9204,9383,8724,8725,251285,98951.0,10086746.0
2007-10-15,8724,8787,8182,8201,242814,93000.0,10086746.0
2007-10-16,8164,8182,7248,7346,256497,83317.0,10086746.0
2007-10-17,7248,7612,7248,7346,303159,83317.0,10086746.0
2007-10-18,7408,7728,7301,7311,343491,82913.0,10086746.0
2007-10-19,7363,8226,7319,7667,491040,86948.0,10086746.0
2007-10-22,7471,7603,6518,7605,167059,86242.0,10086746.0
2007-10-23,7959,8582,7782,8005,472457,90781.0,10086746.0
2007-10-24,8075,8182,7337,7382,240106,83720.0,10086746.0
2007-10-25,7577,7622,7106,7134,167296,80896.0,10086746.0
2007-10-26,7141,8111,7141,7694,450671,87250.0,10086746.0
2007-10-29,7826,7959,7711,7827,171547,88763.0,10086746.0
2007-10-30,7915,8137,7763,7907,123604,89671.0,10086746.0
2007-10-31,7959,7995,7746,7765,110520,88057.0,10086746.0
2007-11-01,7692,7942,7471,7560,98474,85737.0,10086746.0
2007-11-02,7372,7515,7203,7249,85654,82207.0,10086746.0
2007-11-05,7283,7497,7283,7320,62466,83014.0,10086746.0
2007-11-06,7346,7737,7346,7640,49640,86645.0,10086746.0
2007-11-07,7666,7808,7479,7480,58122,84830.0,10086746.0
2007-11-08,7471,7551,7248,7294,61133,82711.0,10086746.0
2007-11-09,7443,8031,7301,7916,175205,89772.0,10086746.0
2007-11-12,7737,7871,7497,7614,59841,86343.0,10086746.0
2007-11-13,7666,7737,7257,7426,50832,84224.0,10086746.0
2007-11-14,7577,7826,7471,7827,93424,88763.0,10086746.0
2007-11-15,7782,8048,7515,7516,114293,85233.0,10086746.0
2007-11-16,7390,7541,7346,7382,35868,83720.0,10086746.0
2007-11-19,7426,7631,7408,7516,45289,85233.0,10086746.0
2007-11-20,7337,7471,7203,7249,48955,82207.0,10086746.0
2007-11-21,7408,7408,7115,7115,53780,80694.0,10086746.0
2007-11-22,7106,7168,6847,6849,63514,77668.0,10086746.0
2007-11-23,6847,6847,6278,6458,97035,73230.0,10086746.0
2007-11-26,6581,6838,6527,6564,37229,74440.0,10086746.0
2007-11-27,6527,6527,6234,6404,50182,72625.0,10086746.0
2007-11-28,6447,6527,6403,6421,32510,72826.0,10086746.0
2007-11-29,6536,6625,6474,6626,32910,75146.0,10086746.0
2007-11-30,6670,6856,6581,6858,26108,77769.0,10086746.0
2007-12-03,6937,6998,6776,6991,41752,79282.0,10086746.0
2007-12-04,6927,7097,6723,6840,51031,77567.0,10086746.0
2007-12-05,6767,6927,6607,6724,58218,76256.0,10086746.0
2007-12-06,7515,7719,7248,7266,192570,82409.0,10086746.0
2007-12-07,7257,7381,6803,6813,124782,77264.0,10086746.0
2007-12-10,6901,7123,6786,7018,58697,79584.0,10086746.0
2007-12-11,7123,7168,6892,7115,36600,80694.0,10086746.0
2007-12-12,6998,7026,6875,6902,30880,78273.0,10086746.0
2007-12-13,6910,7088,6910,6964,39699,78979.0,10086746.0
2007-12-14,6963,7088,6758,6893,27757,78172.0,10086746.0
2007-12-17,6830,6892,6625,6671,30792,75651.0,10086746.0
2007-12-18,6492,6590,6456,6520,50218,73936.0,10086746.0
2007-12-20,6670,6901,6590,6590,50283,74743.0,10086746.0
2007-12-21,6323,6750,6323,6546,37159,74238.0,10086746.0
2007-12-24,6554,6803,6492,6600,31074,74844.0,10086746.0
2007-12-26,6598,6830,6527,6661,33383,75550.0,10086746.0
2007-12-27,6847,6927,6723,6822,25381,77365.0,10086746.0
2007-12-28,6821,6998,6696,6849,16482,77668.0,10086746.0
2008-01-02,6892,7008,6758,6831,45422,77466.0,10086746.0
2008-01-03,6803,6918,6670,6760,21415,76659.0,10086746.0
2008-01-04,6758,7035,6758,6938,52340,78677.0,10086746.0
2008-01-07,6892,6901,6715,6760,20285,76659.0,10086746.0
2008-01-08,6723,6892,6598,6600,31836,74844.0,10086746.0
2008-01-09,6598,6776,6545,6751,35810,76558.0,10086746.0
2008-01-10,6892,6972,6795,6946,41827,78777.0,10086746.0
2008-01-11,6946,7078,6323,6600,42108,74844.0,10086746.0
2008-01-14,6438,6758,6421,6760,65423,76659.0,10086746.0
2008-01-15,6758,6937,6518,6751,41486,76558.0,10086746.0
2008-01-16,6492,6758,6145,6181,74754,70103.0,10086746.0
2008-01-17,6190,6367,6101,6208,37469,70405.0,10086746.0
2008-01-18,6002,6635,5985,6226,42586,70607.0,10086746.0
2008-01-21,6162,6492,6101,6341,64911,71918.0,10086746.0
2008-01-22,6385,6385,5576,5870,66614,66573.0,10086746.0
2008-01-23,6038,6162,5842,5905,38644,66976.0,10086746.0
2008-01-24,6118,6625,5940,6359,122418,72120.0,10086746.0
2008-01-25,6314,6572,6225,6378,80054,72322.0,10086746.0
2008-01-28,6287,6474,6021,6048,53563,68590.0,10086746.0
2008-01-29,6270,6270,5976,6013,47883,68186.0,10086746.0
2008-01-30,6091,6091,5594,5613,66552,63647.0,10086746.0
2008-01-31,5870,5870,5611,5693,39727,64555.0,10086746.0
2008-02-01,5789,5851,5736,5799,26266,65766.0,10086746.0
2008-02-04,5834,6047,5834,5995,30177,67985.0,10086746.0
2008-02-05,6038,6270,6021,6181,47451,70103.0,10086746.0
2008-02-11,6118,6118,5887,6039,35014,68489.0,10086746.0
2008-02-12,6082,6305,6047,6298,21501,71414.0,10086746.0
2008-02-13,6296,6358,6181,6226,25949,70607.0,10086746.0
2008-02-14,6385,6474,6278,6315,29158,71616.0,10086746.0
2008-02-15,6305,6305,6118,6235,19295,70708.0,10086746.0
2008-02-18,6367,6367,6047,6048,48484,68590.0,10086746.0
2008-02-19,6082,6207,6002,6146,22234,69699.0,10086746.0
2008-02-20,6145,6225,6082,6110,38205,69296.0,10086746.0
2008-02-21,6118,6314,6118,6261,51070,71011.0,10086746.0
2008-02-22,6242,6305,6145,6199,32807,70305.0,10086746.0
2008-02-25,6225,6296,6162,6173,42643,70002.0,10086746.0
2008-02-26,6190,6341,6136,6155,24947,69800.0,10086746.0
2008-02-27,6350,6350,6091,6110,32332,69296.0,10086746.0
2008-02-28,6190,6536,6056,6146,107456,69699.0,10086746.0
2008-02-29,6190,6225,6101,6137,37586,69599.0,10086746.0
2008-03-03,6065,6091,5959,5995,35367,67985.0,10086746.0
2008-03-04,5994,6118,5959,6039,17180,68489.0,10086746.0
2008-03-05,6038,6136,5931,6075,21466,68892.0,10086746.0
2008-03-06,6082,6314,6082,6226,45016,70607.0,10086746.0
2008-03-07,6216,6216,6074,6199,14382,70305.0,10086746.0
2008-03-10,6198,7052,6181,6378,210265,72322.0,10086746.0
2008-03-11,6536,6661,6358,6538,96248,74138.0,10086746.0
2008-03-12,6803,6803,6518,6581,56829,74642.0,10086746.0
2008-03-13,6581,6670,6287,6369,63930,72221.0,10086746.0
2008-03-14,6447,6510,6270,6359,48134,72120.0,10086746.0
2008-03-17,6412,6412,5959,6066,45882,68792.0,10086746.0
2008-03-18,6082,6278,6047,6226,31033,70607.0,10086746.0
2008-03-19,6270,6501,6252,6315,28877,71616.0,10086746.0
2008-03-20,6287,6287,6127,6261,21081,71011.0,10086746.0
2008-03-21,6314,6430,6270,6350,30735,72019.0,10086746.0
2008-03-24,6394,6705,6385,6680,73282,75751.0,10086746.0
2008-03-25,6732,6803,6598,6661,53385,75550.0,10086746.0
2008-03-26,6705,6741,6518,6609,26022,74945.0,10086746.0
2008-03-27,6625,6643,6510,6510,26611,73835.0,10086746.0
2008-03-28,6430,6715,6412,6635,33104,75247.0,10086746.0
2008-03-31,6678,6918,6607,6661,99603,75550.0,10086746.0
2008-04-01,6661,6715,6536,6661,30564,75550.0,10086746.0
2008-04-02,6741,6856,6492,6600,69075,74844.0,10086746.0
2008-04-03,6625,6715,6545,6671,31333,75651.0,10086746.0
2008-04-04,6723,6758,6492,6493,53552,73633.0,10086746.0
2008-04-07,6492,6581,6358,6413,46825,72725.0,10086746.0
2008-04-08,6376,6430,6207,6279,73468,71212.0,10086746.0
2008-04-10,6154,6341,6154,6298,18849,71414.0,10086746.0
2008-04-11,6270,6447,6270,6449,25622,73129.0,10086746.0
2008-04-14,6767,6892,6536,6715,166620,76155.0,10086746.0
2008-04-15,6758,6803,6554,6618,49165,75045.0,10086746.0
2008-04-16,6670,6795,6545,6680,54040,75751.0,10086746.0
2008-04-17,6715,7328,6670,7071,141439,80190.0,10086746.0
2008-04-18,7230,7230,6892,6982,68114,79181.0,10086746.0
2008-04-21,7088,7257,6972,7026,76532,79685.0,10086746.0
2008-04-22,6963,7106,6786,6849,64098,77668.0,10086746.0
2008-04-23,6847,7078,6821,6893,51341,78172.0,10086746.0
2008-04-24,6910,7461,6856,7186,228830,81501.0,10086746.0
2008-04-25,7319,8084,7319,7880,512106,89369.0,10086746.0
2008-04-28,8004,8048,7737,7925,162202,89873.0,10086746.0
2008-04-29,7924,8093,7763,7934,116486,89974.0,10086746.0
2008-04-30,7942,8493,7942,8040,247118,91184.0,10086746.0
2008-05-02,8093,8173,7826,7827,117594,88763.0,10086746.0
2008-05-06,7853,7924,7639,7871,80726,89268.0,10086746.0
2008-05-07,8039,8048,7692,7871,76483,89268.0,10086746.0
2008-05-08,7853,8199,7728,8182,76620,92798.0,10086746.0
2008-05-09,8217,8377,8004,8005,82948,90781.0,10086746.0
2008-05-13,7924,8084,7737,7970,69247,90377.0,10086746.0
2008-05-14,7995,8102,7737,8014,61049,90882.0,10086746.0
2008-05-15,8164,8511,8102,8156,173125,92495.0,10086746.0
2008-05-16,8244,8404,8066,8067,92757,91487.0,10086746.0
2008-05-19,8075,8075,7853,7854,76859,89066.0,10086746.0
2008-05-20,7853,7959,7755,7960,55512,90276.0,10086746.0
2008-05-21,7843,7915,7622,7765,98082,88057.0,10086746.0
2008-05-22,7595,8004,7471,7916,77044,89772.0,10086746.0
2008-05-23,7915,8066,7826,7951,31171,90176.0,10086746.0
2008-05-26,7924,7924,7622,7649,37146,86746.0,10086746.0
2008-05-27,7532,7773,7532,7685,38114,87149.0,10086746.0
2008-05-28,7817,7817,7648,7738,37759,87755.0,10086746.0
2008-05-29,7826,7888,7711,7854,37523,89066.0,10086746.0
2008-05-30,7612,7942,7612,7916,39550,89772.0,10086746.0
2008-06-02,7915,8039,7835,7934,33424,89974.0,10086746.0
2008-06-03,7959,8146,7915,8067,60984,91487.0,10086746.0
2008-06-04,8093,8457,8048,8414,106746,95421.0,10086746.0
2008-06-05,8431,8484,8182,8182,49821,92798.0,10086746.0
2008-06-09,7906,8004,7746,7871,53178,89268.0,10086746.0
2008-06-10,7986,7986,7551,7596,58257,86141.0,10086746.0
2008-06-11,7586,7702,7551,7587,37216,86040.0,10086746.0
2008-06-12,7523,7586,7257,7275,60666,82510.0,10086746.0
2008-06-13,7283,7443,6963,7115,38181,80694.0,10086746.0
2008-06-16,7150,7337,7150,7169,21596,81299.0,10086746.0
2008-06-17,7310,7328,7141,7142,29234,80997.0,10086746.0
2008-06-18,7141,7203,7035,7186,20815,81501.0,10086746.0
2008-06-19,7026,7212,6981,6982,24876,79181.0,10086746.0
2008-06-20,6998,7355,6963,7026,57769,79685.0,10086746.0
2008-06-23,6918,7052,6856,6920,34966,78475.0,10086746.0
2008-06-24,6918,6981,6732,6733,31246,76357.0,10086746.0
2008-06-25,6795,6927,6741,6769,27398,76760.0,10086746.0
2008-06-26,6786,6972,6767,6938,24490,78677.0,10086746.0
2008-06-27,6838,6927,6652,6929,26877,78576.0,10086746.0
2008-06-30,6927,7150,6927,7026,28518,79685.0,10086746.0
2008-07-01,7026,7203,6937,7026,20291,79685.0,10086746.0
2008-07-02,7035,7159,6723,6849,25520,77668.0,10086746.0
2008-07-03,6430,6625,6314,6510,59752,73835.0,10086746.0
2008-07-04,6705,6705,6456,6484,28659,73532.0,10086746.0
2008-07-07,6483,6607,6234,6369,18573,72221.0,10086746.0
2008-07-08,6367,6483,5870,5915,47052,67077.0,10086746.0
2008-07-09,6011,6225,6011,6066,28944,68792.0,10086746.0
2008-07-10,6038,6252,5879,6218,25504,70506.0,10086746.0
2008-07-11,6234,6527,6181,6493,27610,73633.0,10086746.0
2008-07-14,6492,6652,6394,6395,10762,72524.0,10086746.0
2008-07-15,6394,6465,6242,6315,18940,71616.0,10086746.0
2008-07-16,6350,6501,6225,6261,13343,71011.0,10086746.0
2008-07-17,6341,6536,6341,6439,10867,73028.0,10086746.0
2008-07-18,6536,6536,6101,6333,18268,71818.0,10086746.0
2008-07-21,6323,6483,6225,6378,19854,72322.0,10086746.0
2008-07-22,6430,6563,6376,6413,15493,72725.0,10086746.0
2008-07-23,6563,6563,6403,6484,11820,73532.0,10086746.0
2008-07-24,6483,6572,6412,6430,19837,72927.0,10086746.0
2008-07-25,6403,7043,6403,6581,163587,74642.0,10086746.0
2008-07-28,6758,6866,6696,6724,28037,76256.0,10086746.0
2008-07-29,6581,6715,6403,6404,39550,72625.0,10086746.0
2008-07-30,6474,6643,6465,6529,22972,74037.0,10086746.0
2008-07-31,6510,6687,5558,6439,37633,73028.0,10086746.0
2008-08-01,6394,6438,6278,6359,7862,72120.0,10086746.0
2008-08-04,6323,6474,6145,6218,18937,70506.0,10086746.0
2008-08-05,6367,6367,6154,6181,13685,70103.0,10086746.0
2008-08-06,6225,6296,6198,6235,9132,70708.0,10086746.0
2008-08-07,6314,6385,6181,6235,12496,70708.0,10086746.0
2008-08-08,6252,6252,6136,6146,10774,69699.0,10086746.0
2008-08-11,6198,6234,6074,6075,20793,68892.0,10086746.0
2008-08-12,6056,6154,6021,6048,14072,68590.0,10086746.0
2008-08-13,6056,6091,5870,5933,26847,67279.0,10086746.0
2008-08-14,5976,6145,5959,6030,33734,68388.0,10086746.0
2008-08-18,6002,6332,6002,6155,25992,69800.0,10086746.0
2008-08-19,6154,6261,6056,6173,12067,70002.0,10086746.0
2008-08-20,6305,6305,6172,6235,12070,70708.0,10086746.0
2008-08-21,6198,6278,5691,5693,29801,64555.0,10086746.0
2008-08-22,5870,6047,5691,5764,29179,65362.0,10086746.0
2008-08-25,5780,5922,5762,5764,16949,65362.0,10086746.0
2008-08-26,5691,6065,5602,5790,20589,65665.0,10086746.0
2008-08-27,5816,6011,5745,5781,11917,65564.0,10086746.0
2008-08-28,6047,6136,5922,6021,61223,68287.0,10086746.0
2008-08-29,6110,6136,5976,6110,27729,69296.0,10086746.0
2008-09-01,5959,6314,5870,6048,29999,68590.0,10086746.0
2008-09-02,5967,6190,5816,5879,26059,66673.0,10086746.0
2008-09-03,5780,6047,5780,5879,23525,66673.0,10086746.0
2008-09-04,5825,6127,5825,6093,26333,69094.0,10086746.0
2008-09-05,6118,6225,6047,6208,28143,70405.0,10086746.0
2008-09-08,6261,6598,6216,6529,54202,74037.0,10086746.0
2008-09-09,6483,6705,6474,6564,36002,74440.0,10086746.0
2008-09-10,6536,6643,6403,6493,32873,73633.0,10086746.0
2008-09-11,6821,7195,6510,6760,108424,76659.0,10086746.0
2008-09-12,6758,7088,6741,7089,72349,80391.0,10086746.0
2008-09-16,6501,6981,6492,6706,68874,76054.0,10086746.0
2008-09-17,6767,7186,6767,6982,43205,79181.0,10086746.0
2008-09-18,6635,6981,6635,6778,24633,76861.0,10086746.0
2008-09-19,6937,7115,6927,7026,32688,79685.0,10086746.0
2008-09-22,7452,7452,6981,7124,21744,80795.0,10086746.0
2008-09-23,6875,7203,6875,7195,36778,81602.0,10086746.0
2008-09-24,7168,7186,6946,6946,23905,78777.0,10086746.0
2008-09-25,7115,7115,6847,6902,20152,78273.0,10086746.0
2008-09-26,6918,7078,6635,6813,42767,77264.0,10086746.0
2008-09-29,6758,6901,6723,6804,16124,77164.0,10086746.0
2008-09-30,6581,6937,6002,6893,30715,78172.0,10086746.0
2008-10-01,6910,7026,6812,6938,25007,78677.0,10086746.0
2008-10-02,6918,7070,6856,7071,25224,80190.0,10086746.0
2008-10-06,7070,7106,6767,6795,8625,77063.0,10086746.0
2008-10-07,6501,6998,6501,6501,27215,73734.0,10086746.0
2008-10-08,6430,6492,6154,6226,22230,70607.0,10086746.0
2008-10-09,5959,6581,5959,6484,24505,73532.0,10086746.0
2008-10-10,6154,6403,5825,6404,38216,72625.0,10086746.0
2008-10-13,6483,6483,6136,6315,22126,71616.0,10086746.0
2008-10-14,6421,6625,6376,6564,42214,74440.0,10086746.0
2008-10-15,6376,6554,6296,6369,8935,72221.0,10086746.0
2008-10-16,6136,6136,5469,5470,36273,62033.0,10086746.0
2008-10-17,5780,5905,5389,5693,13275,64555.0,10086746.0
2008-10-20,5602,5745,5425,5470,11600,62033.0,10086746.0
2008-10-21,5531,5647,5514,5559,10201,63042.0,10086746.0
2008-10-22,5585,5585,5291,5292,8895,60016.0,10086746.0
2008-10-23,4722,5158,4669,4865,14099,55175.0,10086746.0
2008-10-24,4678,4820,4135,4180,38328,47408.0,10086746.0
2008-10-27,4135,4170,3553,3727,102838,42263.0,10086746.0
2008-10-28,3557,4210,3405,4092,82693,46399.0,10086746.0
2008-10-29,4269,4410,3601,4216,32985,47811.0,10086746.0
2008-10-30,4313,4740,4095,4697,35983,53258.0,10086746.0
2008-10-31,4695,4855,4446,4714,24648,53460.0,10086746.0
2008-11-03,4686,5060,4660,4660,51174,52855.0,10086746.0
2008-11-04,4678,4775,4509,4625,19121,52451.0,10086746.0
2008-11-05,4695,5114,4660,4697,102226,53258.0,10086746.0
2008-11-06,4535,4535,4144,4144,19374,47004.0,10086746.0
2008-11-07,4046,4429,4001,4340,9495,49223.0,10086746.0
2008-11-10,4429,4553,4401,4509,21469,51140.0,10086746.0
2008-11-11,4473,4518,4330,4518,16242,51241.0,10086746.0
2008-11-12,4509,4509,4010,4278,13727,48517.0,10086746.0
2008-11-13,4090,4135,3806,3824,25120,43373.0,10086746.0
2008-11-14,4259,4259,3930,3932,18116,44583.0,10086746.0
2008-11-17,3993,4446,3873,4203,53230,47660.0,10086746.0
2008-11-18,4179,4224,4055,4064,18454,46096.0,10086746.0
2008-11-19,4046,4224,3975,4073,11127,46197.0,10086746.0
2008-11-20,3753,4077,3739,3740,6468,42415.0,10086746.0
2008-11-21,3517,4090,3517,3976,16725,45088.0,10086746.0
2008-11-24,3913,4339,3913,4144,18536,47004.0,10086746.0
2008-11-25,4184,4304,4081,4083,10326,46298.0,10086746.0
2008-11-26,4135,4259,3913,4012,12478,45491.0,10086746.0
2008-11-27,4033,4179,4033,4069,12965,46147.0,10086746.0
2008-11-28,4121,4678,4121,4678,66028,53056.0,10086746.0
2008-12-01,4509,5202,4509,4900,59239,55578.0,10086746.0
2008-12-02,4624,4820,4473,4669,18061,52955.0,10086746.0
2008-12-03,4891,5300,4695,4954,30433,56183.0,10086746.0
2008-12-04,4918,5158,4713,5025,35803,56990.0,10086746.0
2008-12-05,4980,5318,4641,5123,96514,58100.0,10086746.0
2008-12-08,4980,5220,4944,5043,44916,57192.0,10086746.0
2008-12-09,5175,5175,4811,4820,47254,54670.0,10086746.0
2008-12-10,4820,4926,4561,4634,47276,52552.0,10086746.0
2008-12-11,4758,4784,4589,4697,23229,53258.0,10086746.0
2008-12-12,4713,4775,4580,4625,19172,52451.0,10086746.0
2008-12-15,4633,4980,4633,4794,43724,54368.0,10086746.0
2008-12-16,4802,4935,4784,4838,12059,54872.0,10086746.0
2008-12-17,4926,5006,4660,4749,22320,53863.0,10086746.0
2008-12-18,4669,4980,4660,4883,38769,55376.0,10086746.0
2008-12-19,4802,4873,4766,4768,6732,54065.0,10086746.0
2008-12-22,4766,4918,4766,4892,21900,55477.0,10086746.0
2008-12-23,4918,4998,4802,4945,29194,56082.0,10086746.0
2008-12-24,4989,4989,4855,4900,19488,55578.0,10086746.0
2008-12-26,4811,5114,4811,5017,21474,56889.0,10086746.0
2008-12-29,5060,5194,4980,5060,30746,57394.0,10086746.0
2008-12-30,5060,5185,5060,5114,26503,57999.0,10086746.0
2009-01-02,5114,5265,5114,5159,18563,58503.0,10086746.0
2009-01-05,5131,5416,5131,5345,43735,60621.0,10086746.0
2009-01-06,5496,5505,5238,5239,16588,59411.0,10086746.0
2009-01-07,5238,5380,5185,5337,27442,60520.0,10086746.0
2009-01-08,5336,5336,5229,5257,8191,59613.0,10086746.0
2009-01-09,5336,5425,5265,5337,35024,60520.0,10086746.0
2009-01-12,5345,5416,5158,5159,58513,58503.0,10086746.0
2009-01-13,5246,5362,5122,5168,20722,58604.0,10086746.0
2009-01-14,5175,5246,5158,5168,20421,58604.0,10086746.0
2009-01-15,5114,5149,5024,5025,62823,56990.0,10086746.0
2009-01-16,5069,5371,5006,5052,14106,57293.0,10086746.0
2009-01-19,5078,5309,5069,5079,18705,57595.0,10086746.0
2009-01-20,5078,5158,5024,5025,4061,56990.0,10086746.0
2009-01-21,5024,5122,4758,5070,9771,57494.0,10086746.0
2009-01-22,5114,5185,5024,5185,6678,58806.0,10086746.0
2009-01-23,5078,5158,5024,5034,7900,57091.0,10086746.0
2009-01-28,5042,5238,5034,5140,24635,58301.0,10086746.0
2009-01-29,5202,5416,5122,5150,47829,58402.0,10086746.0
2009-01-30,5149,5185,4891,5060,11413,57394.0,10086746.0
2009-02-02,5060,5140,4962,4963,23781,56284.0,10086746.0
2009-02-03,4980,5140,4935,4937,27719,55981.0,10086746.0
2009-02-04,4980,5202,4891,5097,79241,57797.0,10086746.0
2009-02-05,5158,5282,5034,5097,29855,57797.0,10086746.0
2009-02-06,5185,5265,5122,5230,22669,59310.0,10086746.0
2009-02-09,5256,5567,5211,5212,117362,59108.0,10086746.0
2009-02-10,5265,5282,5158,5221,24122,59209.0,10086746.0
2009-02-11,5220,5238,5034,5194,20198,58907.0,10086746.0
2009-02-12,5211,5922,5158,5897,117808,66875.0,10086746.0
2009-02-13,6047,6118,5745,5879,60926,66673.0,10086746.0
2009-02-16,6002,6403,5914,6101,106050,69195.0,10086746.0
2009-02-17,6350,6350,5602,5719,79164,64858.0,10086746.0
2009-02-18,5870,5870,4864,5497,45949,62336.0,10086746.0
2009-02-19,5647,5647,5345,5533,32428,62740.0,10086746.0
2009-02-20,5389,5487,5042,5079,35732,57595.0,10086746.0
2009-02-23,5158,5469,5131,5337,29749,60520.0,10086746.0
2009-02-24,5291,5674,5166,5488,33431,62235.0,10086746.0
2009-02-25,5665,6287,5567,6270,156030,71112.0,10086746.0
2009-02-26,6270,6901,6082,6501,135198,73734.0,10086746.0
2009-02-27,6501,6670,6110,6618,98064,75045.0,10086746.0
2009-03-02,6536,6696,6242,6618,67608,75045.0,10086746.0
2009-03-03,6492,6670,6278,6581,57592,74642.0,10086746.0
2009-03-04,6510,6998,6510,6849,72830,77668.0,10086746.0
2009-03-05,6892,7106,6635,6769,41390,76760.0,10086746.0
2009-03-06,6581,7026,6314,6902,38903,78273.0,10086746.0
2009-03-09,7115,7115,6723,6946,30349,78777.0,10086746.0
2009-03-10,7097,7097,6758,7026,20760,79685.0,10086746.0
2009-03-11,7381,8075,7115,7115,222033,80694.0,10086746.0
2009-03-12,7292,7986,7292,7729,188268,87654.0,10086746.0
2009-03-13,7782,7977,7559,7916,96283,89772.0,10086746.0
2009-03-16,8093,8502,8093,8405,152205,95320.0,10086746.0
2009-03-17,8528,8573,8004,8272,122870,93807.0,10086746.0
2009-03-18,8528,8582,8093,8227,137065,93302.0,10086746.0
2009-03-19,8226,8333,7853,7916,89713,89772.0,10086746.0
2009-03-20,7826,8084,7559,8031,50356,91083.0,10086746.0
2009-03-23,8031,8556,8031,8396,135807,95219.0,10086746.0
