데이타솔루션(263800),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-09-15,4555,4620,4525,4570,116897,70189.0,15358580.0
2017-09-18,4595,4870,4575,4750,525885,72953.0,15358580.0
2017-09-19,5000,5490,4820,4820,2722917,74028.0,15358580.0
2017-09-20,4810,4865,4675,4675,329337,71801.0,15358580.0
2017-09-21,4720,4740,4335,4400,275036,67578.0,15358580.0
2017-09-22,4360,4445,4170,4175,186003,64122.0,15358580.0
2017-09-25,4160,4290,3950,3950,166533,60666.0,15358580.0
2017-09-26,3800,4045,3800,3970,155811,60974.0,15358580.0
2017-09-27,3980,4565,3980,4180,952145,64199.0,15358580.0
2017-09-28,4210,4275,4115,4220,92229,64813.0,15358580.0
2017-09-29,4200,4340,4150,4325,97005,66426.0,15358580.0
2017-10-10,4315,4315,4165,4225,67224,64890.0,15358580.0
2017-10-11,4210,4480,4210,4370,238974,67117.0,15358580.0
2017-10-12,4440,4515,4400,4460,156244,68499.0,15358580.0
2017-10-13,4495,4495,4285,4290,77208,65888.0,15358580.0
2017-10-16,4300,4585,4235,4335,212919,66579.0,15358580.0
2017-10-17,4340,4340,4215,4250,82624,65274.0,15358580.0
2017-10-18,4265,4310,4140,4140,93148,63585.0,15358580.0
2017-10-19,4100,4255,4080,4175,64950,64122.0,15358580.0
2017-10-20,4150,4465,4140,4385,271061,67347.0,15358580.0
2017-10-23,4385,4560,4325,4335,144138,66579.0,15358580.0
2017-10-24,4305,4405,4300,4385,76818,67347.0,15358580.0
2017-10-25,4440,4450,4305,4350,70383,66810.0,15358580.0
2017-10-26,4380,4460,4325,4335,73095,66579.0,15358580.0
2017-10-27,4300,5070,4300,4555,2679324,69958.0,15358580.0
2017-10-30,4610,4950,4515,4760,790698,73107.0,15358580.0
2017-10-31,4810,4815,4610,4625,307109,71033.0,15358580.0
2017-11-01,4745,5150,4625,5010,1696893,76946.0,15358580.0
2017-11-02,4980,5250,4965,4975,721104,76409.0,15358580.0
2017-11-03,5020,5030,4715,4780,324777,73414.0,15358580.0
2017-11-06,4845,4920,4655,4910,249284,75411.0,15358580.0
2017-11-07,4940,5030,4850,4955,173377,76102.0,15358580.0
2017-11-08,4970,4995,4845,4855,81569,74566.0,15358580.0
2017-11-09,4890,4890,4785,4860,78332,74643.0,15358580.0
2017-11-10,4900,4900,4780,4780,77913,73414.0,15358580.0
2017-11-13,4790,4895,4750,4775,84395,73337.0,15358580.0
2017-11-14,4830,4955,4750,4920,202429,75564.0,15358580.0
2017-11-15,4920,4920,4380,4425,469982,67962.0,15358580.0
2017-11-16,4475,4490,4310,4360,145058,66963.0,15358580.0
2017-11-17,4365,4500,4330,4445,101973,68269.0,15358580.0
2017-11-20,4510,4510,4255,4275,183698,65658.0,15358580.0
2017-11-21,4285,4285,4130,4155,194973,63815.0,15358580.0
2017-11-22,4195,4225,4140,4190,96574,64352.0,15358580.0
2017-11-23,4190,4460,4190,4370,257480,67117.0,15358580.0
2017-11-24,4445,4560,4395,4425,180309,67962.0,15358580.0
2017-11-27,4425,4475,4350,4400,86320,67578.0,15358580.0
2017-11-28,4500,4500,4250,4250,83327,65274.0,15358580.0
2017-11-29,4260,4420,4250,4365,66860,67040.0,15358580.0
2017-11-30,4330,4390,4250,4260,57330,65428.0,15358580.0
2017-12-01,4320,4455,4220,4455,85423,68422.0,15358580.0
2017-12-04,4500,4695,4385,4690,305539,72032.0,15358580.0
2017-12-05,4700,4790,4585,4660,310703,71571.0,15358580.0
2017-12-06,4900,5100,4595,4620,780879,70957.0,15358580.0
2017-12-07,4640,4695,4400,4410,163029,67731.0,15358580.0
2017-12-08,4410,4675,4410,4490,186098,68960.0,15358580.0
2017-12-11,4480,4535,4385,4460,72918,68499.0,15358580.0
2017-12-12,4300,4340,4170,4240,212999,65120.0,15358580.0
2017-12-13,4240,4280,4190,4260,68722,65428.0,15358580.0
2017-12-14,4300,4320,4160,4265,39584,65504.0,15358580.0
2017-12-15,4265,4330,4205,4215,47225,64736.0,15358580.0
2017-12-18,4220,4400,4200,4355,102825,66887.0,15358580.0
2017-12-19,4390,4395,4115,4220,117715,64813.0,15358580.0
2017-12-20,4340,4350,4210,4220,74639,64813.0,15358580.0
2017-12-21,4205,4290,3985,4020,94415,61741.0,15358580.0
2017-12-22,3985,4115,3985,4090,32361,62817.0,15358580.0
2017-12-26,4030,4055,3900,3905,96869,59975.0,15358580.0
2017-12-27,3910,4050,3900,4000,36104,61434.0,15358580.0
2017-12-28,4080,4080,3950,4000,24780,61434.0,15358580.0
2018-01-02,4000,4150,4000,4060,40125,62356.0,15358580.0
2018-01-03,4145,4145,4070,4115,31112,63201.0,15358580.0
2018-01-04,4125,4200,4065,4180,70312,64199.0,15358580.0
2018-01-05,4210,4295,4160,4180,53303,64199.0,15358580.0
2018-01-08,4180,4230,4075,4090,54109,62817.0,15358580.0
2018-01-09,4090,4165,4055,4130,63100,63431.0,15358580.0
2018-01-10,4180,4180,4020,4070,46335,62509.0,15358580.0
2018-01-11,4145,4370,4045,4200,121976,64506.0,15358580.0
2018-01-12,4200,4200,4120,4160,46564,63892.0,15358580.0
2018-01-15,4150,4295,4115,4175,47457,64122.0,15358580.0
2018-01-16,4190,4190,4090,4170,43526,64045.0,15358580.0
2018-01-17,4130,4740,4130,4405,1130343,67655.0,15358580.0
2018-01-18,4495,5720,4435,5720,3387075,87851.0,15358580.0
2018-01-19,6250,6480,5310,5670,4373183,87083.0,15358580.0
2018-01-22,5670,5760,5470,5600,804152,86008.0,15358580.0
2018-01-23,5600,5790,5480,5730,1127181,88005.0,15358580.0
2018-01-24,5730,5890,5500,5570,904125,85547.0,15358580.0
2018-01-25,5470,5680,5470,5520,361844,84779.0,15358580.0
2018-01-26,5590,5760,5500,5760,614831,88465.0,15358580.0
2018-01-29,6470,6690,5580,5580,2632968,85701.0,15358580.0
2018-01-30,5520,5530,5320,5390,420042,82783.0,15358580.0
2018-01-31,5340,5430,5150,5190,272599,79711.0,15358580.0
2018-02-01,5190,5340,5180,5290,209182,81247.0,15358580.0
2018-02-02,5240,5330,4960,4965,243469,76255.0,15358580.0
2018-02-05,4765,4900,4740,4760,181865,73107.0,15358580.0
2018-02-06,4535,4895,4405,4630,182595,71110.0,15358580.0
2018-02-07,4745,4810,4510,4510,151867,69267.0,15358580.0
2018-02-08,4465,4620,4465,4620,153691,70957.0,15358580.0
2018-02-09,4470,4555,4420,4430,75952,68039.0,15358580.0
2018-02-12,4440,4580,4430,4450,89458,68346.0,15358580.0
2018-02-13,4555,4620,4405,4420,108567,67885.0,15358580.0
2018-02-14,4460,4525,4420,4525,55390,69498.0,15358580.0
2018-02-19,4520,4685,4520,4685,88214,71955.0,15358580.0
2018-02-20,4695,4890,4655,4870,201325,74796.0,15358580.0
2018-02-21,4870,4905,4805,4845,82065,74412.0,15358580.0
2018-02-22,4845,4890,4745,4760,52262,73107.0,15358580.0
2018-02-23,4850,4850,4700,4705,49533,72262.0,15358580.0
2018-02-26,4710,4760,4635,4635,78621,71187.0,15358580.0
2018-02-27,4635,4690,4400,4475,105516,68730.0,15358580.0
2018-02-28,4440,4525,4435,4465,46688,68576.0,15358580.0
2018-03-02,4440,4515,4415,4515,44675,69344.0,15358580.0
2018-03-05,4545,4680,4510,4510,84408,69267.0,15358580.0
2018-03-06,4520,4770,4430,4735,164151,72723.0,15358580.0
2018-03-07,4735,4750,4625,4685,88920,71955.0,15358580.0
2018-03-08,4665,4910,4640,4895,221366,75180.0,15358580.0
2018-03-09,4885,4945,4800,4845,126112,74412.0,15358580.0
2018-03-12,4920,4920,4705,4800,125001,73721.0,15358580.0
2018-03-13,4775,4955,4775,4790,170348,73568.0,15358580.0
2018-03-14,4790,4905,4790,4880,77396,74950.0,15358580.0
2018-03-15,4880,4895,4710,4720,73609,72492.0,15358580.0
2018-03-16,4725,4785,4690,4755,35835,73030.0,15358580.0
2018-03-19,4755,4775,4535,4550,91267,69882.0,15358580.0
2018-03-20,4540,4645,4530,4640,41183,71264.0,15358580.0
2018-03-21,4670,4770,4600,4690,48587,72032.0,15358580.0
2018-03-22,4685,4685,4540,4555,70543,69958.0,15358580.0
2018-03-23,4420,4500,4155,4155,138508,63815.0,15358580.0
2018-03-26,4080,4230,4065,4205,42844,64583.0,15358580.0
2018-03-27,4210,4300,4205,4250,15681,65274.0,15358580.0
2018-03-28,4230,4230,4145,4150,67034,63738.0,15358580.0
2018-03-29,4160,4425,4160,4395,61597,67501.0,15358580.0
2018-03-30,4450,4500,4360,4440,40555,68192.0,15358580.0
2018-04-02,4490,4490,4330,4380,31121,67271.0,15358580.0
2018-04-03,4290,4420,4280,4405,15548,67655.0,15358580.0
2018-04-04,4405,4450,4285,4365,50090,67040.0,15358580.0
2018-04-05,4335,4395,4230,4275,22085,65658.0,15358580.0
2018-04-06,4270,4420,4165,4170,33652,64045.0,15358580.0
2018-04-09,4145,4200,4145,4175,19721,64122.0,15358580.0
2018-04-10,4175,4245,4120,4200,21511,64506.0,15358580.0
2018-04-11,4200,4220,4150,4200,25191,64506.0,15358580.0
2018-04-12,4195,4270,4190,4235,29159,65044.0,15358580.0
2018-04-13,4250,4315,4175,4290,46437,65888.0,15358580.0
2018-04-16,4300,4355,4275,4345,27097,66733.0,15358580.0
2018-04-17,4365,4365,4280,4365,23867,67040.0,15358580.0
2018-04-18,4370,4400,4295,4330,21699,66503.0,15358580.0
2018-04-19,4355,4355,4235,4355,33789,66887.0,15358580.0
2018-04-20,4310,4490,4290,4415,51346,67808.0,15358580.0
2018-04-23,4415,4450,4200,4330,66886,66503.0,15358580.0
2018-04-24,4380,4380,4230,4340,42991,66656.0,15358580.0
2018-04-25,4260,4360,4255,4255,27926,65351.0,15358580.0
2018-04-26,4255,4300,4210,4220,29283,64813.0,15358580.0
2018-04-27,4225,4520,4225,4335,190350,66579.0,15358580.0
2018-04-30,4350,4350,4150,4275,70400,65658.0,15358580.0
2018-05-02,4280,4280,4160,4175,52631,64122.0,15358580.0
2018-05-03,4165,4220,4165,4200,15029,66018.0,15718580.0
2018-05-04,4180,4245,4155,4165,30542,65468.0,15718580.0
2018-05-08,4165,4200,4105,4105,28874,64525.0,15718580.0
2018-05-09,4100,4150,3900,4000,84944,62874.0,15718580.0
2018-05-10,3990,4070,3970,4060,36359,63817.0,15718580.0
2018-05-11,4060,4090,4025,4090,15861,64289.0,15718580.0
2018-05-14,4065,4150,4050,4080,14963,64132.0,15718580.0
2018-05-15,4080,4080,3955,4020,41463,63189.0,15718580.0
2018-05-16,3965,4000,3850,3850,81472,60517.0,15718580.0
2018-05-17,3850,3975,3800,3940,29846,61931.0,15718580.0
2018-05-18,3940,4005,3835,3985,21795,62639.0,15718580.0
2018-05-21,4010,4050,3945,3945,23727,62010.0,15718580.0
2018-05-23,4020,4025,3920,3920,14908,61617.0,15718580.0
2018-05-24,3920,4010,3900,3905,16571,61381.0,15718580.0
2018-05-25,3905,3905,3800,3850,33581,60517.0,15718580.0
2018-05-28,3805,3880,3595,3625,177862,56980.0,15718580.0
2018-05-29,3625,3690,3570,3635,56846,57137.0,15718580.0
2018-05-30,3635,3700,3595,3625,21839,56980.0,15718580.0
2018-05-31,3585,3675,3545,3585,39209,56351.0,15718580.0
2018-06-01,3620,3620,3535,3555,16601,55880.0,15718580.0
2018-06-04,3580,3630,3550,3600,18631,56587.0,15718580.0
2018-06-05,3600,4200,3600,3825,321830,60124.0,15718580.0
2018-06-07,3810,4100,3810,4090,202544,64289.0,15718580.0
2018-06-08,4090,4090,3905,4000,73988,62874.0,15718580.0
2018-06-11,4000,4050,3810,3810,52111,59888.0,15718580.0
2018-06-12,3810,3835,3670,3750,42309,58945.0,15718580.0
2018-06-14,3750,3790,3610,3635,40160,57137.0,15718580.0
2018-06-15,3635,3750,3595,3645,22300,57294.0,15718580.0
2018-06-18,3645,3645,3490,3515,24999,55251.0,15718580.0
2018-06-19,3355,3515,3315,3390,49599,53286.0,15718580.0
2018-06-20,3305,3845,3305,3490,167053,54858.0,15718580.0
2018-06-21,3460,3520,3380,3435,19334,53993.0,15718580.0
2018-06-22,3435,3480,3335,3370,9658,52972.0,15718580.0
2018-06-25,3345,3495,3310,3370,25751,52972.0,15718580.0
2018-06-26,3370,3420,3270,3370,11784,52972.0,15718580.0
2018-06-27,3460,3505,3375,3445,25845,54151.0,15718580.0
2018-06-28,3485,3485,3320,3325,13920,52264.0,15718580.0
2018-06-29,3285,3340,3235,3265,15440,51321.0,15718580.0
2018-07-02,3220,3285,3015,3230,26777,50771.0,15718580.0
2018-07-03,3230,3290,2925,3075,30298,48335.0,15718580.0
2018-07-04,3080,3140,3080,3120,5282,49042.0,15718580.0
2018-07-05,3200,3200,3050,3180,6593,49985.0,15718580.0
2018-07-06,3180,3240,3090,3230,3765,50771.0,15718580.0
2018-07-09,3230,3230,3085,3200,6185,50299.0,15718580.0
2018-07-10,3200,3280,3120,3275,13461,51478.0,15718580.0
2018-07-11,3275,4025,3230,3415,775266,53679.0,15718580.0
2018-07-12,3430,3490,3355,3380,90193,53129.0,15718580.0
2018-07-13,3370,3435,3320,3410,32373,53600.0,15718580.0
2018-07-16,3410,3475,3330,3435,27116,53993.0,15718580.0
2018-07-17,3435,3475,3330,3330,32979,52343.0,15718580.0
2018-07-18,3365,3525,3365,3455,45095,54308.0,15718580.0
2018-07-19,3510,3510,3350,3425,19256,53836.0,15718580.0
2018-07-20,3345,3450,3220,3280,26240,51557.0,15718580.0
2018-07-23,3210,3280,3090,3090,20561,48570.0,15718580.0
2018-07-24,3090,3250,3030,3085,14045,48492.0,15718580.0
2018-07-25,3085,3175,3050,3090,13386,48570.0,15718580.0
2018-07-26,3100,3180,3100,3120,7649,49042.0,15718580.0
2018-07-27,3140,3245,3130,3235,12801,50850.0,15718580.0
2018-07-30,3235,3955,3100,3480,903278,54701.0,15718580.0
2018-07-31,3480,3500,3365,3500,192184,55015.0,15718580.0
2018-08-01,3485,3490,3410,3440,47239,54072.0,15718580.0
2018-08-02,3490,3950,3365,3490,790717,54858.0,15718580.0
2018-08-03,3460,3565,3310,3475,96821,54622.0,15718580.0
2018-08-06,3475,3540,3380,3450,35322,54229.0,15718580.0
2018-08-07,3435,3950,3405,3755,1291053,59023.0,15718580.0
2018-08-08,3760,3890,3700,3745,296735,58866.0,15718580.0
2018-08-09,3730,3970,3660,3660,457930,57530.0,15718580.0
2018-08-10,3660,3665,3550,3640,102372,57216.0,15718580.0
2018-08-13,3635,3635,3395,3480,121398,54701.0,15718580.0
2018-08-14,3480,4195,3480,3715,5583233,58395.0,15718580.0
2018-08-16,3665,3695,3515,3640,416961,57216.0,15718580.0
2018-08-17,3705,4150,3635,3805,2915348,59809.0,15718580.0
2018-08-20,3785,4095,3770,4000,1196033,62874.0,15718580.0
2018-08-21,3995,4135,3865,3970,433548,62403.0,15718580.0
2018-08-22,3960,4280,3860,4280,1259642,67276.0,15718580.0
2018-08-23,4230,4280,4095,4155,615394,65311.0,15718580.0
2018-08-24,4155,4245,4080,4080,281200,64132.0,15718580.0
2018-08-27,4080,4165,3950,4135,258432,64996.0,15718580.0
2018-08-28,4100,4305,4060,4250,509296,66804.0,15718580.0
2018-08-29,4240,4300,4190,4200,144824,66018.0,15718580.0
2018-08-30,4210,4245,4050,4225,204926,66411.0,15718580.0
2018-08-31,4235,4440,4080,4190,1056414,65861.0,15718580.0
2018-09-03,4595,4985,4320,4320,3655573,67904.0,15718580.0
2018-09-04,4285,4345,4215,4280,352095,67276.0,15718580.0
2018-09-05,4420,5150,4375,4585,4468396,72070.0,15718580.0
2018-09-06,4570,4690,4470,4580,467814,71991.0,15718580.0
2018-09-07,4575,4575,4270,4275,457162,67197.0,15718580.0
2018-09-10,4260,4270,4115,4145,228246,65154.0,15718580.0
2018-09-11,4145,4385,4145,4385,320903,68926.0,15718580.0
2018-09-12,4370,4385,4205,4225,190226,66411.0,15718580.0
2018-09-13,4225,4225,4050,4050,183949,63660.0,15718580.0
2018-09-14,4080,4145,4030,4050,118935,63660.0,15718580.0
2018-09-17,4050,4120,3995,4050,106173,63660.0,15718580.0
2018-09-18,4010,4030,3900,3905,141522,61381.0,15718580.0
2018-09-19,3880,4120,3800,3905,159593,61381.0,15718580.0
2018-09-20,3905,3960,3815,3820,95225,60045.0,15718580.0
2018-09-21,3825,3900,3755,3765,100015,59180.0,15718580.0
2018-09-27,3775,3840,3750,3770,45240,59259.0,15718580.0
2018-09-28,3770,3850,3750,3760,52255,59102.0,15718580.0
2018-10-01,3815,4050,3750,3910,136114,61460.0,15718580.0
2018-10-02,3905,3975,3830,3910,76788,61460.0,15718580.0
2018-10-04,3920,3950,3800,3805,68282,59809.0,15718580.0
2018-10-05,3735,3810,3500,3530,123458,55487.0,15718580.0
2018-10-08,3525,3670,3510,3545,59869,55722.0,15718580.0
2018-10-10,3520,3575,3335,3350,138338,52657.0,15718580.0
2018-10-11,3215,3330,3130,3130,164469,49199.0,15718580.0
2018-10-12,3050,3330,3050,3275,48835,51478.0,15718580.0
2018-10-15,3240,3390,3230,3270,45362,51400.0,15718580.0
2018-10-16,3240,3370,3220,3360,29074,52814.0,15718580.0
2018-10-17,3365,3425,3365,3415,23301,53679.0,15718580.0
2018-10-18,3445,3460,3360,3360,22952,52814.0,15718580.0
2018-10-19,3360,3390,3300,3375,31905,53050.0,15718580.0
2018-10-22,3315,3490,3255,3480,70215,54701.0,15718580.0
2018-10-23,3480,3560,3300,3310,57888,52028.0,15718580.0
2018-10-24,3330,3380,3250,3310,43795,52028.0,15718580.0
2018-10-25,3145,3250,3100,3240,54220,50928.0,15718580.0
2018-10-26,3200,3265,2960,2960,81492,46527.0,15718580.0
2018-10-29,2870,2995,2540,2540,155019,39925.0,15718580.0
2018-10-30,2160,2550,2160,2440,133766,38353.0,15718580.0
2018-10-31,2405,2585,2330,2550,55630,40082.0,15718580.0
2018-11-01,2615,2700,2505,2595,59616,40790.0,15718580.0
2018-11-02,2620,2770,2610,2730,48027,42912.0,15718580.0
2018-11-05,2730,2750,2685,2730,15698,42912.0,15718580.0
2018-11-06,2760,2940,2745,2810,69989,44169.0,15718580.0
2018-11-07,2790,2865,2695,2750,24329,43226.0,15718580.0
2018-11-08,2835,2975,2830,2860,88438,44955.0,15718580.0
2018-11-09,2870,2870,2770,2855,27354,44877.0,15718580.0
2018-11-12,2855,2875,2780,2800,13063,44012.0,15718580.0
2018-11-13,2740,2785,2645,2735,32604,42990.0,15718580.0
2018-11-14,2695,2750,2660,2660,28078,41811.0,15718580.0
2018-11-15,2595,2700,2595,2700,13217,42440.0,15718580.0
2018-11-16,2750,2775,2685,2710,26439,42597.0,15718580.0
2018-11-19,2710,2980,2605,2800,123814,44012.0,15718580.0
2018-11-20,2800,2930,2775,2845,67801,44719.0,15718580.0
2018-11-21,2775,2895,2765,2780,68296,43698.0,15718580.0
2018-11-22,2755,2830,2655,2655,31649,41733.0,15718580.0
2018-11-23,2685,2705,2620,2680,15818,42126.0,15718580.0
2018-11-26,2720,2755,2635,2685,48151,42204.0,15718580.0
2018-11-27,2630,2755,2630,2745,27106,43148.0,15718580.0
2018-11-28,2760,2810,2665,2745,26160,43148.0,15718580.0
2018-11-29,2765,2795,2620,2730,98437,42912.0,15718580.0
2018-11-30,3000,3370,2685,2800,3796548,44012.0,15718580.0
2018-12-03,2830,2835,2755,2785,341400,43776.0,15718580.0
2018-12-04,2825,3620,2780,3620,5891566,56901.0,15718580.0
2018-12-05,3555,3670,3480,3650,2509499,57373.0,15718580.0
2018-12-06,3880,3920,3375,3460,1988258,54386.0,15718580.0
2018-12-07,3680,4170,3515,3650,7975831,57373.0,15718580.0
2018-12-10,3500,3665,3375,3535,910179,55565.0,15718580.0
2018-12-11,3545,3555,3270,3285,681053,51636.0,15718580.0
2018-12-12,3270,3400,3260,3380,528501,53129.0,15718580.0
2018-12-13,3320,3500,3300,3500,820142,55015.0,15718580.0
2018-12-14,3465,3465,3210,3210,516873,50457.0,15718580.0
2018-12-17,3215,3325,3135,3270,361811,51400.0,15718580.0
2018-12-18,3200,3225,2925,2935,446991,46134.0,15718580.0
2018-12-19,2935,2995,2925,2940,195217,46213.0,15718580.0
2018-12-20,2880,3000,2830,2835,224698,44562.0,15718580.0
2018-12-21,2880,2975,2840,2975,149581,46763.0,15718580.0
2018-12-24,2925,2965,2795,2830,185274,44484.0,15718580.0
2018-12-26,2775,2805,2715,2720,152088,42755.0,15718580.0
2018-12-27,2800,2835,2755,2760,66057,43383.0,15718580.0
2018-12-28,2740,2940,2740,2875,116185,45191.0,15718580.0
2019-01-02,2980,3300,2950,3070,1690207,48256.0,15718580.0
2019-01-03,3045,3190,3005,3075,294924,48335.0,15718580.0
2019-01-04,3050,3075,2870,2940,264018,46213.0,15718580.0
2019-01-07,2970,3100,2955,3100,149370,48728.0,15718580.0
2019-01-08,3130,3130,2980,2980,110392,46841.0,15718580.0
2019-01-09,2980,3110,2980,3110,158755,48885.0,15718580.0
2019-01-10,3305,3305,3070,3070,505886,48256.0,15718580.0
2019-01-11,3050,3145,3050,3100,164448,48728.0,15718580.0
2019-01-14,3100,3150,3055,3120,105060,49042.0,15718580.0
2019-01-15,3105,3155,3090,3135,79914,49278.0,15718580.0
2019-01-16,3130,3225,3100,3155,188432,49592.0,15718580.0
2019-01-17,3165,3280,3145,3170,185231,49828.0,15718580.0
2019-01-18,3205,3285,3155,3210,271292,50457.0,15718580.0
2019-01-21,3260,3320,3225,3245,168095,51007.0,15718580.0
2019-01-22,3220,3350,3150,3150,199769,49514.0,15718580.0
2019-01-23,3150,3210,3095,3140,48223,49356.0,15718580.0
2019-01-24,3130,3300,3115,3240,233730,50928.0,15718580.0
2019-01-25,3240,3260,3175,3180,89599,49985.0,15718580.0
2019-01-28,3180,3205,3110,3110,83832,48885.0,15718580.0
2019-01-29,3135,3135,3035,3060,82656,48099.0,15718580.0
2019-01-30,3060,3085,3005,3030,53675,47627.0,15718580.0
2019-01-31,3065,3065,2975,2985,85348,46920.0,15718580.0
2019-02-01,2985,3230,2985,3110,198035,48885.0,15718580.0
2019-02-07,3080,3215,3080,3205,100950,50378.0,15718580.0
2019-02-08,3200,3220,3070,3120,79616,49042.0,15718580.0
2019-02-11,3120,3185,3100,3175,64089,49906.0,15718580.0
2019-02-12,3205,3255,3155,3225,123227,50692.0,15718580.0
2019-02-13,3255,3300,3190,3280,163133,51557.0,15718580.0
2019-02-14,3260,3310,3200,3280,106712,51557.0,15718580.0
2019-02-15,3250,3300,3110,3215,101701,50535.0,15718580.0
2019-02-18,3185,3230,3165,3215,31549,50535.0,15718580.0
2019-02-19,3215,3230,3165,3205,37381,50378.0,15718580.0
2019-02-20,3230,3250,3170,3230,74138,50771.0,15718580.0
2019-02-21,3435,3520,3270,3275,582503,51478.0,15718580.0
2019-02-22,3275,3355,3180,3220,130217,50614.0,15718580.0
2019-02-25,3220,3270,3210,3245,56655,51007.0,15718580.0
2019-02-26,3240,3370,3240,3320,158095,52186.0,15718580.0
2019-02-27,3350,3350,3275,3280,58069,51557.0,15718580.0
2019-02-28,3255,3300,2995,3115,133271,48963.0,15718580.0
2019-03-04,3090,3205,3040,3110,67104,48885.0,15718580.0
2019-03-05,3090,3165,3090,3120,38953,49042.0,15718580.0
2019-03-06,3125,3265,3120,3255,88373,51164.0,15718580.0
2019-03-07,3255,3265,3170,3185,71926,50064.0,15718580.0
2019-03-08,3140,3200,3060,3060,71836,48099.0,15718580.0
2019-03-11,3070,3085,2985,3020,56533,47470.0,15718580.0
2019-03-12,3050,3090,2995,3060,24971,48099.0,15718580.0
2019-03-13,3060,3260,3020,3110,151038,48885.0,15718580.0
2019-03-14,3080,3185,3080,3130,70921,49199.0,15718580.0
2019-03-15,3145,3145,3055,3070,38434,48256.0,15718580.0
2019-03-18,3040,3135,3040,3105,20720,48806.0,15718580.0
2019-03-19,3080,3170,3075,3160,48764,49671.0,15718580.0
2019-03-20,3255,3255,3085,3140,47210,49356.0,15718580.0
2019-03-21,3130,3160,3055,3055,51556,48020.0,15718580.0
2019-03-22,3065,3095,2955,2990,71224,46999.0,15718580.0
2019-03-25,2900,3000,2870,2875,89285,45191.0,15718580.0
2019-03-26,2885,2990,2880,2940,45983,46213.0,15718580.0
2019-03-27,2910,2970,2875,2940,49812,46213.0,15718580.0
2019-03-28,2940,2940,2870,2895,32630,45505.0,15718580.0
2019-03-29,2885,2975,2750,2885,71644,45348.0,15718580.0
2019-04-01,2880,2940,2875,2930,34307,46055.0,15718580.0
2019-04-02,2910,2965,2885,2950,30420,46370.0,15718580.0
2019-04-03,2950,3040,2945,3020,60425,47470.0,15718580.0
2019-04-04,3000,3040,2980,3005,39131,47234.0,15718580.0
2019-04-05,3005,3085,2980,3020,41691,47470.0,15718580.0
2019-04-08,3000,3175,2985,3005,90201,47234.0,15718580.0
2019-04-09,3030,3095,3005,3055,37278,48020.0,15718580.0
2019-04-10,3085,3085,3015,3070,27938,48256.0,15718580.0
2019-04-11,3050,3140,3050,3125,80022,49121.0,15718580.0
2019-04-12,3125,3170,3100,3140,63728,49356.0,15718580.0
2019-04-15,3140,3170,3075,3090,69250,48570.0,15718580.0
2019-04-16,3075,3160,3050,3160,45266,49671.0,15718580.0
2019-04-17,3180,3180,3105,3160,63871,49671.0,15718580.0
2019-04-18,3155,3160,3060,3095,83993,48649.0,15718580.0
2019-04-19,3060,3135,3060,3120,51668,49042.0,15718580.0
2019-04-22,3160,3220,3120,3165,111643,49749.0,15718580.0
2019-04-23,3180,3190,3115,3170,66678,49828.0,15718580.0
2019-04-24,3330,3965,3265,3535,9730913,55565.0,15718580.0
2019-04-25,3535,3570,3320,3360,998974,52814.0,15718580.0
