DB금융스팩7호(322780),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-07-17,2095,2100,2075,2080,101106,9464.0,4550000.0
2019-07-18,2085,2090,2075,2080,87881,9464.0,4550000.0
2019-07-19,2090,2095,2075,2095,108403,9532.0,4550000.0
2019-07-22,2075,2190,2075,2095,754315,9532.0,4550000.0
2019-07-23,2120,2120,2085,2090,90192,9510.0,4550000.0
2019-07-24,2090,2100,2080,2085,132005,9487.0,4550000.0
2019-07-25,2085,2090,2075,2080,123445,9464.0,4550000.0
2019-07-26,2075,2090,2075,2075,97184,9441.0,4550000.0
2019-07-29,2080,2090,2070,2070,88602,9418.0,4550000.0
2019-07-30,2075,2095,2070,2085,116764,9487.0,4550000.0
2019-07-31,2080,2105,2075,2100,130237,9555.0,4550000.0
2019-08-01,2105,2105,2080,2095,29452,9532.0,4550000.0
2019-08-02,2080,2090,2080,2090,40465,9510.0,4550000.0
2019-08-05,2085,2090,2055,2065,206035,9396.0,4550000.0
2019-08-06,2065,2075,2040,2065,105543,9396.0,4550000.0
2019-08-07,2065,2070,2050,2060,82912,9373.0,4550000.0
2019-08-08,2055,2070,2050,2060,16449,9373.0,4550000.0
2019-08-09,2055,2075,2055,2060,23573,9373.0,4550000.0
2019-08-12,2060,2070,2055,2070,15727,9418.0,4550000.0
2019-08-13,2065,2075,2055,2055,28419,9350.0,4550000.0
2019-08-14,2060,2075,2055,2075,25753,9441.0,4550000.0
2019-08-16,2070,2080,2065,2075,32232,9441.0,4550000.0
2019-08-19,2080,2080,2070,2070,22677,9418.0,4550000.0
2019-08-20,2060,2080,2060,2075,27420,9441.0,4550000.0
2019-08-21,2080,2085,2065,2080,17423,9464.0,4550000.0
2019-08-22,2080,2080,2065,2065,44264,9396.0,4550000.0
2019-08-23,2065,2075,2065,2075,10766,9441.0,4550000.0
2019-08-26,2070,2075,2065,2070,32909,9418.0,4550000.0
2019-08-27,2070,2070,2065,2070,21911,9418.0,4550000.0
2019-08-28,2070,2075,2065,2075,14899,9441.0,4550000.0
2019-08-29,2075,2080,2070,2075,13336,9441.0,4550000.0
2019-08-30,2080,2080,2070,2075,17450,9441.0,4550000.0
2019-09-02,2075,2075,2070,2070,11486,9418.0,4550000.0
2019-09-03,2070,2075,2065,2075,26595,9441.0,4550000.0
2019-09-04,2070,2075,2065,2075,22136,9441.0,4550000.0
2019-09-05,2075,2100,2060,2070,58779,9418.0,4550000.0
2019-09-06,2075,2085,2065,2080,35430,9464.0,4550000.0
2019-09-09,2080,2090,2060,2080,29384,9464.0,4550000.0
2019-09-10,2075,2090,2075,2085,18836,9487.0,4550000.0
2019-09-11,2090,2090,2080,2085,5430,9487.0,4550000.0
2019-09-16,2090,2090,2075,2085,11094,9487.0,4550000.0
2019-09-17,2085,2090,2075,2085,23898,9487.0,4550000.0
2019-09-18,2080,2090,2080,2090,22486,9510.0,4550000.0
2019-09-19,2090,2115,2080,2105,12970,9578.0,4550000.0
2019-09-20,2110,2110,2090,2095,12825,9532.0,4550000.0
2019-09-23,2075,2105,2075,2100,23256,9555.0,4550000.0
2019-09-24,2090,2100,2085,2095,29614,9532.0,4550000.0
2019-09-25,2080,2125,2080,2120,45535,9646.0,4550000.0
2019-09-26,2130,2130,2085,2095,33494,9532.0,4550000.0
2019-09-27,2085,2120,2085,2120,14596,9646.0,4550000.0
2019-09-30,2115,2120,2085,2095,5982,9532.0,4550000.0
2019-10-01,2090,2105,2090,2100,19333,9555.0,4550000.0
2019-10-02,2090,2110,2085,2085,19563,9487.0,4550000.0
2019-10-04,2085,2100,2085,2100,3022,9555.0,4550000.0
2019-10-07,2090,2090,2080,2080,14489,9464.0,4550000.0
