티로보틱스(117730),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-05-20,12400,12800,11800,12100,75062,65333.0,5399459.0
2019-05-21,11950,12500,11900,12150,80574,65603.0,5399459.0
2019-05-22,12300,12400,12000,12200,35715,65873.0,5399459.0
2019-05-23,12300,12300,11450,11750,87925,63444.0,5399459.0
2019-05-24,11650,12350,11350,11800,242417,63714.0,5399459.0
2019-05-27,11950,12250,11800,12050,109006,65063.0,5399459.0
2019-05-28,12050,12250,11850,12250,61426,66143.0,5399459.0
2019-05-29,12200,12250,11750,11800,72908,63714.0,5399459.0
2019-05-30,11750,11850,11450,11650,70010,62904.0,5399459.0
2019-05-31,11700,11800,11550,11650,46102,62904.0,5399459.0
2019-06-03,11550,11800,11400,11700,50044,63174.0,5399459.0
2019-06-04,11750,11800,11450,11600,78551,62634.0,5399459.0
2019-06-05,11800,13500,11650,12700,641443,68573.0,5399459.0
2019-06-07,12650,13100,12500,13000,259644,70193.0,5399459.0
2019-06-10,13000,13050,12700,12900,120402,69653.0,5399459.0
2019-06-11,12950,13300,12800,12950,110681,69923.0,5399459.0
2019-06-12,12950,13050,12650,12700,44803,68573.0,5399459.0
2019-06-13,12800,13550,12700,13550,216380,73163.0,5399459.0
2019-06-14,13600,13900,13300,13600,253048,73433.0,5399459.0
2019-06-17,13550,13650,12750,12750,143519,68843.0,5399459.0
2019-06-18,12750,12900,12350,12400,81696,66953.0,5399459.0
2019-06-19,12500,12600,12100,12350,113608,66683.0,5399459.0
2019-06-20,12400,13050,12350,12900,169706,69653.0,5399459.0
2019-06-21,12900,13100,12750,13050,95879,70463.0,5399459.0
2019-06-24,13050,13600,12700,13400,147421,72353.0,5399459.0
2019-06-25,13450,13850,12800,13150,234791,71003.0,5399459.0
2019-06-26,13200,13950,13050,13750,391872,74243.0,5399459.0
2019-06-27,13700,13900,13150,13150,163396,71003.0,5399459.0
2019-06-28,13300,13500,12950,13100,91600,70733.0,5399459.0
2019-07-01,13150,13550,13000,13250,90951,71543.0,5399459.0
2019-07-02,13250,13350,12900,13000,84978,70193.0,5399459.0
2019-07-03,13000,13300,12350,12500,131407,67493.0,5399459.0
2019-07-04,12500,12550,11950,12250,119003,66143.0,5399459.0
2019-07-05,12300,12750,12150,12450,105567,67223.0,5399459.0
2019-07-08,12350,12350,11450,11650,174616,62904.0,5399459.0
2019-07-09,11500,11850,11300,11650,169006,62904.0,5399459.0
2019-07-10,11800,11900,11650,11750,86458,63444.0,5399459.0
2019-07-11,11850,12250,11800,12000,62958,64794.0,5399459.0
2019-07-12,12100,12400,11800,12300,73386,66413.0,5399459.0
2019-07-15,12300,12300,11950,12150,50694,65603.0,5399459.0
2019-07-16,12050,12300,11950,12150,61334,65603.0,5399459.0
2019-07-17,12050,12050,11650,11800,73408,63714.0,5399459.0
2019-07-18,11800,12050,11600,11850,49345,63984.0,5399459.0
2019-07-19,11800,12000,11550,11750,64550,63444.0,5399459.0
2019-07-22,11750,11750,11450,11600,61197,62634.0,5399459.0
2019-07-23,11650,11850,11550,11700,52485,63174.0,5399459.0
2019-07-24,11800,11900,11250,11300,55446,61014.0,5399459.0
2019-07-25,11250,11300,10500,10950,127108,59124.0,5399459.0
2019-07-26,10750,11000,10400,10650,107410,57504.0,5399459.0
2019-07-29,10900,12250,10900,11300,653539,61014.0,5399459.0
2019-07-30,11050,11150,10700,11050,160311,59664.0,5399459.0
2019-07-31,10850,11250,10650,11000,88319,61374.0,5579429.0
2019-08-01,10950,11200,10650,10800,71519,60258.0,5579429.0
2019-08-02,10600,11100,10400,10800,106294,60258.0,5579429.0
2019-08-05,10700,10700,9900,9900,190876,55236.0,5579429.0
2019-08-06,9450,10100,9220,9620,172337,53674.0,5579429.0
2019-08-07,9620,10000,9620,9890,86790,55181.0,5579429.0
2019-08-08,9900,10350,9900,10300,79039,57468.0,5579429.0
2019-08-09,10400,10500,10200,10350,54520,57747.0,5579429.0
2019-08-12,10150,10650,10050,10550,53283,58863.0,5579429.0
2019-08-13,10500,11000,10400,10450,122959,58305.0,5579429.0
2019-08-14,10600,10750,10300,10500,50142,58584.0,5579429.0
2019-08-16,9980,10050,9750,9930,141421,55404.0,5579429.0
2019-08-19,10000,10250,9930,10050,53952,56073.0,5579429.0
2019-08-20,10150,10450,10000,10300,72013,57468.0,5579429.0
2019-08-21,10200,10650,10200,10400,50267,58026.0,5579429.0
2019-08-22,10400,10500,9990,10000,79026,55794.0,5579429.0
2019-08-23,9810,10050,9810,9930,52693,55404.0,5579429.0
2019-08-26,9600,9850,9300,9400,95095,52447.0,5579429.0
2019-08-27,9620,11250,9510,9750,443811,54399.0,5579429.0
2019-08-28,9710,10200,9710,10100,92815,56352.0,5579429.0
2019-08-29,10100,10300,9820,10000,67478,55794.0,5579429.0
2019-08-30,10100,10500,10100,10400,82702,58026.0,5579429.0
2019-09-02,10350,10450,10200,10450,43674,58305.0,5579429.0
2019-09-03,10550,10550,10150,10300,52304,57468.0,5579429.0
2019-09-04,10300,10550,10150,10500,77908,58584.0,5579429.0
2019-09-05,10550,10900,10400,10850,115876,60537.0,5579429.0
2019-09-06,10950,10950,10550,10750,79692,59979.0,5579429.0
2019-09-09,10750,10800,10200,10250,76589,57189.0,5579429.0
2019-09-10,10200,10450,10200,10350,35727,57747.0,5579429.0
2019-09-11,10400,10550,10250,10250,53356,57189.0,5579429.0
2019-09-16,10300,10450,10200,10300,51888,57468.0,5579429.0
2019-09-17,10300,10600,10300,10550,105025,58863.0,5579429.0
2019-09-18,10600,10600,10350,10550,60712,58863.0,5579429.0
2019-09-19,10550,10850,10450,10550,79598,58863.0,5579429.0
2019-09-20,10550,10550,10400,10500,30477,58584.0,5579429.0
2019-09-23,10500,10900,10250,10700,152805,59700.0,5579429.0
2019-09-24,10700,10800,10400,10500,79275,58584.0,5579429.0
2019-09-25,10400,10500,10000,10150,92493,56631.0,5579429.0
2019-09-26,10200,10300,9930,10100,59226,56352.0,5579429.0
2019-09-27,10000,10200,9950,10000,40019,55794.0,5579429.0
2019-09-30,10100,10100,9760,9900,43064,55236.0,5579429.0
2019-10-01,9900,9960,9790,9880,45703,55125.0,5579429.0
2019-10-02,9810,9870,9640,9720,49186,54232.0,5579429.0
2019-10-04,9680,9770,9540,9590,43805,53507.0,5579429.0
2019-10-07,9600,9680,9520,9570,28678,53395.0,5579429.0
