조이맥스(101730),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-10-13,24200,24700,23000,23500,44549,79900.0,3400000.0
2009-10-14,23600,23950,23200,23250,31315,79050.0,3400000.0
2009-10-15,23200,23250,22450,22550,195491,153340.0,6800000.0
2009-10-16,22600,23250,22500,22850,94322,155380.0,6800000.0
2009-10-19,22900,23100,22100,22250,89643,151300.0,6800000.0
2009-10-20,22300,22450,21700,21700,166973,147560.0,6800000.0
2009-10-21,21750,22150,21250,21450,96748,145860.0,6800000.0
2009-10-22,21500,22400,21250,21900,154471,148920.0,6800000.0
2009-10-23,22300,23750,22050,22900,206262,155720.0,6800000.0
2009-10-26,23000,23600,22600,22850,83343,155380.0,6800000.0
2009-10-27,22900,23000,21850,21950,103055,149260.0,6800000.0
2009-10-28,21900,22100,20600,20700,158837,140760.0,6800000.0
2009-10-29,20350,20350,19700,19700,127208,133960.0,6800000.0
2009-10-30,20000,20700,19900,20150,104499,137020.0,6800000.0
2009-11-02,19300,19750,19000,19200,109512,130560.0,6800000.0
2009-11-03,19400,19600,19150,19300,114719,131240.0,6800000.0
2009-11-04,19550,20200,19450,20150,138617,137020.0,6800000.0
2009-11-05,20200,20500,19750,19750,74556,134300.0,6800000.0
2009-11-06,20100,20600,20050,20200,94481,137360.0,6800000.0
2009-11-09,20200,20350,19950,20300,92672,138040.0,6800000.0
2009-11-10,20600,20700,20150,20150,101666,137020.0,6800000.0
2009-11-11,20300,20550,20150,20400,93146,138720.0,6800000.0
2009-11-12,20700,20700,20300,20500,81629,139400.0,6800000.0
2009-11-13,20350,20550,19900,20300,86229,138040.0,6800000.0
2009-11-16,20250,20300,19700,19700,66077,133960.0,6800000.0
2009-11-17,19600,19700,19000,19100,117273,129880.0,6800000.0
2009-11-18,19000,19300,18950,19000,62433,129200.0,6800000.0
2009-11-19,19250,19750,19200,19700,58418,133960.0,6800000.0
2009-11-20,19600,20600,19400,20600,74139,140080.0,6800000.0
2009-11-23,20700,20800,20350,20450,61504,139060.0,6800000.0
2009-11-24,20700,20750,20350,20550,65113,139740.0,6800000.0
2009-11-25,20700,20700,20150,20400,55711,138720.0,6800000.0
2009-11-26,20500,21800,20300,21350,237334,145180.0,6800000.0
2009-11-27,21250,22200,20750,20800,433836,141440.0,6800000.0
2009-11-30,21400,21650,20850,21650,148308,147220.0,6800000.0
2009-12-01,21950,22200,21150,21400,145777,145520.0,6800000.0
2009-12-02,21850,21850,21050,21050,110192,143140.0,6800000.0
2009-12-03,21200,21450,20800,21100,123258,143480.0,6800000.0
2009-12-04,21050,21350,20850,21100,107073,143480.0,6800000.0
2009-12-07,21350,21800,21200,21550,115948,146540.0,6800000.0
2009-12-08,21500,21850,21200,21250,74745,144500.0,6800000.0
2009-12-09,21000,21050,20650,21000,81637,142800.0,6800000.0
2009-12-10,21000,21650,20750,21500,133596,146200.0,6800000.0
2009-12-11,21600,23400,21600,22750,498722,154700.0,6800000.0
2009-12-14,23400,24000,22950,23100,354694,157080.0,6800000.0
2009-12-15,22950,23200,22450,23100,174243,157080.0,6800000.0
2009-12-16,23000,23600,22750,23000,118381,156400.0,6800000.0
2009-12-17,23000,23650,22850,23300,141753,158440.0,6800000.0
2009-12-18,23300,23900,22800,22800,221207,155040.0,6800000.0
2009-12-21,22950,23350,22450,22500,197199,153000.0,6800000.0
2009-12-22,22700,22750,21900,22000,181798,149600.0,6800000.0
2009-12-23,22200,22450,22050,22150,148027,150620.0,6800000.0
2009-12-24,22500,23150,22300,22450,212510,152660.0,6800000.0
2009-12-28,22550,22550,21200,21200,178214,144160.0,6800000.0
2009-12-29,21100,21300,20400,20400,124648,138720.0,6800000.0
2009-12-30,20400,20850,20350,20500,85464,139400.0,6800000.0
2010-01-04,20550,21400,20500,21200,89406,144160.0,6800000.0
2010-01-05,21600,21900,21300,21550,136051,146540.0,6800000.0
2010-01-06,21550,21700,21100,21250,75153,144500.0,6800000.0
2010-01-07,21300,21850,21100,21600,135478,146880.0,6800000.0
2010-01-08,22450,24800,22200,24550,1033892,166940.0,6800000.0
2010-01-11,25300,26550,25100,25400,759312,172720.0,6800000.0
2010-01-12,25500,25500,24100,24550,301609,166940.0,6800000.0
2010-01-13,24350,25500,24050,24550,316934,166940.0,6800000.0
2010-01-14,24600,24900,23800,24050,217411,163540.0,6800000.0
2010-01-15,24300,24950,23900,24950,248388,169660.0,6800000.0
2010-01-18,25500,25500,24950,25350,364132,172380.0,6800000.0
2010-01-19,25000,25300,24000,24000,248768,163200.0,6800000.0
2010-01-20,24000,25000,23250,24900,310787,169320.0,6800000.0
2010-01-21,25000,25500,24400,25050,223966,170340.0,6800000.0
2010-01-22,24400,24900,23600,24600,291113,167280.0,6800000.0
2010-01-25,24000,24950,23700,24050,202557,163540.0,6800000.0
2010-01-26,24150,24550,22850,22900,185011,155720.0,6800000.0
2010-01-27,23000,23100,21950,22050,169582,149940.0,6800000.0
2010-01-28,22100,22400,21300,22000,109076,149600.0,6800000.0
2010-01-29,21000,21400,20300,20350,160422,138380.0,6800000.0
2010-02-01,20250,20550,19850,20150,90022,137020.0,6800000.0
2010-02-02,20500,20950,20100,20100,90535,136680.0,6800000.0
2010-02-03,20500,20850,20400,20650,76582,140420.0,6800000.0
2010-02-04,20550,21050,20550,20800,45506,141440.0,6800000.0
2010-02-05,19600,20000,19300,19450,138429,132260.0,6800000.0
2010-02-08,19600,19600,18450,18450,147430,125460.0,6800000.0
2010-02-09,18450,19000,18200,18900,76046,128520.0,6800000.0
2010-02-10,19300,19300,18700,18700,57534,127160.0,6800000.0
2010-02-11,18700,19650,18700,19400,141852,131920.0,6800000.0
2010-02-12,19700,20000,19500,19500,94331,132600.0,6800000.0
2010-02-16,19350,19750,19200,19650,89830,133620.0,6800000.0
2010-02-17,20150,20200,19700,19700,100123,133960.0,6800000.0
2010-02-18,19800,20050,19700,19850,82313,134980.0,6800000.0
2010-02-19,19850,20100,19250,19550,147606,132940.0,6800000.0
2010-02-22,19850,20450,19750,20450,96921,139060.0,6800000.0
2010-02-23,20350,20550,20150,20250,44266,137700.0,6800000.0
2010-02-24,20100,20100,19750,19800,50259,134640.0,6800000.0
2010-02-25,20150,20150,19000,19100,71364,129880.0,6800000.0
2010-02-26,19250,19250,18850,18950,37032,128860.0,6800000.0
2010-03-02,19000,19150,18800,18850,48667,128180.0,6800000.0
2010-03-03,18850,19150,18750,19000,36786,129200.0,6800000.0
2010-03-04,19000,19350,19000,19000,32136,129200.0,6800000.0
2010-03-05,19100,19300,19000,19100,34544,129880.0,6800000.0
2010-03-08,19300,19400,19100,19400,59269,131920.0,6800000.0
2010-03-09,19450,19450,19100,19100,54570,129880.0,6800000.0
2010-03-10,19150,19250,18800,18900,95817,128520.0,6800000.0
2010-03-11,18900,19000,18800,18900,52405,128520.0,6800000.0
2010-03-12,19100,19150,18900,19000,38498,129200.0,6800000.0
2010-03-15,19050,19050,18650,18750,70788,127500.0,6800000.0
2010-03-16,18750,19100,18650,19000,71334,129200.0,6800000.0
2010-03-17,19050,19300,18850,19150,83022,130220.0,6800000.0
2010-03-18,19300,19300,19000,19100,53705,129880.0,6800000.0
2010-03-19,19100,19200,18900,18950,53840,128860.0,6800000.0
2010-03-22,18850,19400,18750,19200,142828,130560.0,6800000.0
2010-03-23,19350,19850,19350,19450,174075,132260.0,6800000.0
2010-03-24,19650,19650,19000,19000,133777,129200.0,6800000.0
2010-03-25,18800,19050,18750,18900,103247,128520.0,6800000.0
2010-03-26,18900,19000,18750,18850,49699,128180.0,6800000.0
2010-03-29,18750,18850,18350,18400,107099,125120.0,6800000.0
2010-03-30,18700,18700,18250,18350,98889,124780.0,6800000.0
2010-03-31,18400,18500,17750,17800,114141,121040.0,6800000.0
2010-04-01,17850,17900,17150,17250,170667,117300.0,6800000.0
2010-04-02,17350,17350,16000,16100,347201,109480.0,6800000.0
2010-04-05,16250,16550,14500,15450,219528,105060.0,6800000.0
2010-04-06,15650,16600,15300,16100,193077,109480.0,6800000.0
2010-04-07,16300,16350,15750,15850,66865,107780.0,6800000.0
2010-04-08,15850,16450,15500,16300,95793,110840.0,6800000.0
2010-04-09,16300,16350,15900,16200,62860,110160.0,6800000.0
2010-04-12,16050,16350,15350,15350,101565,104380.0,6800000.0
2010-04-13,15450,15800,15200,15400,98317,104720.0,6800000.0
2010-04-14,15650,16100,15600,15900,92199,108120.0,6800000.0
2010-04-15,15750,16550,15750,16300,115251,110840.0,6800000.0
2010-04-16,16400,16600,16150,16250,64482,110500.0,6800000.0
2010-04-19,16000,16900,15950,16500,106622,112200.0,6800000.0
2010-04-20,16650,17800,16650,17750,362029,120700.0,6800000.0
2010-04-21,17750,18700,17550,18450,279161,125460.0,6800000.0
2010-04-22,18450,19000,18300,18700,193834,127160.0,6800000.0
2010-04-23,18800,18850,18400,18800,150328,127840.0,6800000.0
2010-04-26,19100,20100,18950,19800,300487,134640.0,6800000.0
2010-04-27,20100,20800,19500,20300,235732,138040.0,6800000.0
2010-04-28,19850,21950,18750,19450,417211,132260.0,6800000.0
2010-04-29,19400,19750,17300,17300,410094,117640.0,6800000.0
2010-04-30,17800,18600,17650,18100,136999,123080.0,6800000.0
2010-05-03,18100,18350,17550,18000,43318,122400.0,6800000.0
2010-05-04,18000,18300,17850,18000,37112,122400.0,6800000.0
2010-05-06,17600,17950,17100,17550,58516,119340.0,6800000.0
2010-05-07,16900,17600,16000,17600,74508,119680.0,6800000.0
2010-05-10,17250,17750,17200,17650,56837,120020.0,6800000.0
2010-05-11,17900,19250,17500,19000,106640,129200.0,6800000.0
2010-05-12,19000,19550,18500,19000,72434,129200.0,6800000.0
2010-05-13,19300,19700,18800,19200,81112,130560.0,6800000.0
2010-05-14,19200,19450,18800,18800,47141,127840.0,6800000.0
2010-05-17,18650,19050,18350,18500,45582,125800.0,6800000.0
2010-05-18,18550,18850,17500,18200,49777,123760.0,6800000.0
2010-05-19,17900,18200,17550,17600,27762,119680.0,6800000.0
2010-05-20,17850,17850,16550,16950,53699,115260.0,6800000.0
2010-05-24,16600,17000,16500,16900,40466,114920.0,6800000.0
2010-05-25,16700,17150,15750,16550,62579,112540.0,6800000.0
2010-05-26,16500,16800,16150,16550,42489,112540.0,6800000.0
2010-05-27,16400,17950,16400,17700,66894,120360.0,6800000.0
2010-05-28,17950,18900,17800,18800,66412,127840.0,6800000.0
2010-05-31,19350,20650,18900,19100,182914,129880.0,6800000.0
2010-06-01,19100,19900,18750,19700,91226,133960.0,6800000.0
2010-06-03,20600,21300,20400,20950,291263,142460.0,6800000.0
2010-06-04,21300,22600,17850,17850,1374551,121380.0,6800000.0
2010-06-07,16850,17550,16500,17150,386738,116620.0,6800000.0
2010-06-08,17200,17850,16900,17150,188416,116620.0,6800000.0
2010-06-09,17200,17500,16500,16550,186745,112540.0,6800000.0
2010-06-10,16750,16900,16600,16700,86387,113560.0,6800000.0
2010-06-11,16950,17000,16500,16500,149471,112200.0,6800000.0
2010-06-14,16500,16700,16300,16600,63145,112880.0,6800000.0
2010-06-15,16600,16800,16400,16550,65100,112540.0,6800000.0
2010-06-16,16700,16700,16150,16150,97134,109820.0,6800000.0
2010-06-17,16150,16150,15650,15750,127964,107100.0,6800000.0
2010-06-18,15700,16600,15450,16400,159480,111520.0,6800000.0
2010-06-21,16550,16550,16250,16250,58304,110500.0,6800000.0
2010-06-22,16300,16350,15650,15750,68042,107100.0,6800000.0
2010-06-23,15800,15800,15450,15550,49241,105740.0,6800000.0
2010-06-24,15550,15800,15450,15650,32910,106420.0,6800000.0
2010-06-25,15600,15900,15100,15100,85782,103888.0,6880000.0
2010-06-28,15100,15300,14700,14700,81913,101136.0,6880000.0
2010-06-29,14800,15200,14450,14450,77174,99416.0,6880000.0
2010-06-30,14050,14400,13950,14100,84640,97008.0,6880000.0
2010-07-01,14250,15650,14250,15050,256163,103544.0,6880000.0
2010-07-02,15200,15200,14550,14900,55629,102512.0,6880000.0
2010-07-05,16150,16250,14650,14750,210903,101480.0,6880000.0
2010-07-06,14750,14800,14400,14550,49436,100104.0,6880000.0
2010-07-07,14600,14850,14350,14450,64889,99416.0,6880000.0
2010-07-08,14650,14800,14450,14500,47332,99760.0,6880000.0
2010-07-09,14400,14700,14400,14650,87475,100792.0,6880000.0
2010-07-12,14700,14800,14450,14650,74034,100792.0,6880000.0
2010-07-13,14900,15000,14650,14800,64998,101824.0,6880000.0
2010-07-14,14850,15000,14300,14400,115724,99072.0,6880000.0
2010-07-15,14400,14500,14300,14450,59656,99416.0,6880000.0
2010-07-16,14550,14550,14150,14550,95488,100104.0,6880000.0
2010-07-19,14550,15150,14500,15050,149168,103544.0,6880000.0
2010-07-20,15000,15250,14850,15000,82058,103200.0,6880000.0
2010-07-21,15250,15400,14900,15100,91654,103888.0,6880000.0
2010-07-22,15000,15100,14450,14600,104780,100448.0,6880000.0
2010-07-23,14750,14850,14450,14500,88166,99760.0,6880000.0
2010-07-26,14700,14700,14050,14500,83802,99760.0,6880000.0
2010-07-27,14550,14900,14400,14550,46300,100104.0,6880000.0
2010-07-28,14550,14950,14350,14900,96435,102512.0,6880000.0
2010-07-29,14900,15300,14700,14750,46431,101480.0,6880000.0
2010-07-30,14600,14750,14300,14300,55699,98384.0,6880000.0
2010-08-02,14300,14400,14150,14250,42159,98040.0,6880000.0
2010-08-03,14250,14500,14150,14150,38789,97352.0,6880000.0
2010-08-04,14350,14500,14200,14250,32304,98040.0,6880000.0
2010-08-05,14300,14450,13700,14250,114363,98040.0,6880000.0
2010-08-06,14250,14350,13800,14250,47377,98040.0,6880000.0
2010-08-09,14150,14450,14100,14450,26806,99416.0,6880000.0
2010-08-10,14450,14600,14300,14450,46775,99416.0,6880000.0
2010-08-11,14400,14400,13800,13850,65225,95288.0,6880000.0
2010-08-12,13750,13900,13550,13800,24076,94944.0,6880000.0
2010-08-13,13750,14000,13700,13950,21928,95976.0,6880000.0
2010-08-16,13800,13950,13650,13700,16495,94256.0,6880000.0
2010-08-17,13700,13800,13150,13200,119296,90816.0,6880000.0
2010-08-18,13200,13300,12450,12600,189554,86688.0,6880000.0
2010-08-19,12700,13050,12550,12650,86057,87032.0,6880000.0
2010-08-20,12600,12900,12550,12700,100179,87376.0,6880000.0
2010-08-23,12650,12800,12500,12500,50435,86000.0,6880000.0
2010-08-24,12400,12500,11950,12000,114191,82560.0,6880000.0
2010-08-25,11900,12050,11850,11900,45772,81872.0,6880000.0
2010-08-26,11900,12150,11900,11900,39174,81872.0,6880000.0
2010-08-27,11900,12800,11700,12600,115465,86688.0,6880000.0
2010-08-30,12700,13150,12550,13000,82581,89440.0,6880000.0
2010-08-31,12900,13200,12750,13100,74016,90128.0,6880000.0
2010-09-01,12950,13900,12900,13700,99936,94256.0,6880000.0
2010-09-02,13200,13800,13200,13700,53607,94256.0,6880000.0
2010-09-03,13750,13750,13400,13650,41874,93912.0,6880000.0
2010-09-06,13850,14100,13500,13850,69574,95288.0,6880000.0
2010-09-07,13700,14050,13650,13950,48776,95976.0,6880000.0
2010-09-08,13650,14050,13500,14000,38687,96320.0,6880000.0
2010-09-09,14000,14300,13700,13950,35836,95976.0,6880000.0
2010-09-10,13950,14200,13950,14100,17246,97008.0,6880000.0
2010-09-13,14050,14050,13750,13850,23973,95288.0,6880000.0
2010-09-14,13750,13950,13600,13800,26449,94944.0,6880000.0
2010-09-15,13700,13800,13450,13750,32511,94600.0,6880000.0
2010-09-16,13650,14000,13600,13950,25870,95976.0,6880000.0
2010-09-17,14100,14100,13750,14000,26754,96320.0,6880000.0
2010-09-20,14050,14050,13700,13700,17679,94256.0,6880000.0
2010-09-24,13750,13850,13500,13850,12990,95288.0,6880000.0
2010-09-27,13850,14000,13700,13900,20138,95632.0,6880000.0
2010-09-28,13750,14300,13750,14200,46955,97696.0,6880000.0
2010-09-29,14150,14300,13850,14050,30078,96664.0,6880000.0
2010-09-30,14050,14450,14050,14300,30903,98384.0,6880000.0
2010-10-01,14350,14550,14100,14350,23725,98728.0,6880000.0
2010-10-04,14450,14450,14100,14250,41840,98040.0,6880000.0
2010-10-05,14150,14400,14050,14300,32051,98384.0,6880000.0
2010-10-06,14250,14600,14250,14350,40658,98728.0,6880000.0
2010-10-07,14450,14450,13950,14050,45846,96664.0,6880000.0
2010-10-08,14250,14300,13950,14150,24208,97352.0,6880000.0
2010-10-11,14200,14200,13800,13850,30036,95288.0,6880000.0
2010-10-12,13750,13800,13300,13600,50625,93568.0,6880000.0
2010-10-13,13600,13750,13400,13500,39335,92880.0,6880000.0
2010-10-14,13650,13750,13600,13700,16825,94256.0,6880000.0
2010-10-15,13650,13850,13600,13700,16302,94256.0,6880000.0
2010-10-18,13850,14150,13800,14100,45951,97008.0,6880000.0
2010-10-19,14100,14250,13900,13900,21677,95632.0,6880000.0
2010-10-20,13900,14150,13750,14000,38424,96320.0,6880000.0
2010-10-21,14250,14750,14100,14700,67442,101136.0,6880000.0
2010-10-22,14700,14800,14400,14450,43018,99416.0,6880000.0
2010-10-25,14350,14950,14350,14600,61392,100448.0,6880000.0
2010-10-26,14650,15450,14450,15450,148073,106296.0,6880000.0
2010-10-27,15550,15750,14900,14950,119840,102856.0,6880000.0
2010-10-28,14950,14950,14500,14500,67955,99760.0,6880000.0
2010-10-29,14600,14650,14200,14300,34324,98384.0,6880000.0
2010-11-01,14300,14550,14100,14100,42064,97008.0,6880000.0
2010-11-02,14250,14250,13800,14000,35843,96320.0,6880000.0
2010-11-03,13950,14100,13500,13600,66045,93568.0,6880000.0
2010-11-04,13650,13850,13400,13450,73417,92536.0,6880000.0
2010-11-05,13600,13650,13100,13250,58581,91160.0,6880000.0
2010-11-08,13200,13250,12900,12950,49472,89096.0,6880000.0
2010-11-09,12850,13100,12600,12650,65700,87032.0,6880000.0
2010-11-10,12700,12900,12400,12500,72316,86000.0,6880000.0
2010-11-11,12550,12700,12450,12500,24814,86000.0,6880000.0
2010-11-12,12550,12750,12050,12250,54752,84280.0,6880000.0
2010-11-15,12350,12350,12000,12300,33724,84624.0,6880000.0
2010-11-16,12300,12450,11950,12000,38879,82560.0,6880000.0
2010-11-17,11900,12150,11650,12150,32014,83592.0,6880000.0
2010-11-18,12350,12800,12250,12700,46815,87376.0,6880000.0
2010-11-19,12700,12850,12650,12750,38946,87720.0,6880000.0
2010-11-22,12850,12900,12450,12800,44810,88064.0,6880000.0
2010-11-23,12800,13000,12600,12900,41879,88752.0,6880000.0
2010-11-24,12200,13150,12200,12900,60893,90816.0,7040000.0
2010-11-25,13000,13450,12900,13450,70971,94688.0,7040000.0
2010-11-26,13450,13450,13050,13150,48336,92576.0,7040000.0
2010-11-29,13100,13200,12800,13100,36619,92224.0,7040000.0
2010-11-30,13000,13200,12950,13150,29843,92576.0,7040000.0
2010-12-01,13150,13350,13050,13150,19145,92576.0,7040000.0
2010-12-02,13150,13700,13150,13650,52594,96096.0,7040000.0
2010-12-03,13600,14350,13500,14350,158165,101024.0,7040000.0
2010-12-06,14350,14400,14000,14350,28991,101024.0,7040000.0
2010-12-07,14350,14600,14200,14500,31070,102080.0,7040000.0
2010-12-08,14400,14550,14050,14450,28575,101728.0,7040000.0
2010-12-09,14450,14450,13900,14100,50773,99264.0,7040000.0
2010-12-10,14150,14550,13900,14100,36806,99264.0,7040000.0
2010-12-13,14200,14200,13700,13750,31981,96800.0,7040000.0
2010-12-14,13700,13900,13700,13700,17808,96448.0,7040000.0
2010-12-15,13700,13750,13000,13000,83172,91520.0,7040000.0
2010-12-16,13000,13500,13000,13450,30815,94688.0,7040000.0
2010-12-17,13500,13700,13250,13300,22938,93632.0,7040000.0
2010-12-20,13100,13200,12400,12600,76942,88704.0,7040000.0
2010-12-21,12900,13150,12800,13050,21902,91872.0,7040000.0
2010-12-22,13050,13150,12800,12950,12830,91168.0,7040000.0
2010-12-23,12950,13300,12850,12950,27352,91168.0,7040000.0
2010-12-24,12950,13200,12950,13000,13505,91520.0,7040000.0
2010-12-27,12900,13200,12900,13150,17290,92576.0,7040000.0
2010-12-28,13150,13500,12750,13450,37581,94688.0,7040000.0
2010-12-29,13300,13900,13250,13900,32018,97856.0,7040000.0
2010-12-30,13850,14350,13750,14350,65192,101024.0,7040000.0
2011-01-03,14250,14250,13850,13850,41565,97504.0,7040000.0
2011-01-04,13850,13950,13450,13500,69148,95040.0,7040000.0
2011-01-05,13500,13650,13250,13400,41732,94336.0,7040000.0
2011-01-06,13400,13500,13150,13200,36183,92928.0,7040000.0
2011-01-07,13200,13700,13200,13550,35170,95392.0,7040000.0
2011-01-10,13650,13700,13400,13400,29440,94336.0,7040000.0
2011-01-11,13400,13500,13000,13200,36655,92928.0,7040000.0
2011-01-12,13200,13300,12950,13000,40675,91520.0,7040000.0
2011-01-13,13100,13150,12700,12900,33330,90816.0,7040000.0
2011-01-14,12850,13000,12650,12950,38573,91168.0,7040000.0
2011-01-17,13000,13050,12850,12900,22954,90816.0,7040000.0
2011-01-18,12750,12950,12700,12850,24625,90464.0,7040000.0
2011-01-19,12950,12950,12550,12650,36475,89056.0,7040000.0
2011-01-20,12550,12650,12400,12500,36084,88000.0,7040000.0
2011-01-21,12450,12750,12150,12150,36793,85536.0,7040000.0
2011-01-24,12300,12900,12300,12600,47334,88704.0,7040000.0
2011-01-25,12850,12850,12250,12250,30585,86240.0,7040000.0
2011-01-26,12250,12450,12150,12250,39305,86240.0,7040000.0
2011-01-27,12250,12450,12200,12450,23776,87648.0,7040000.0
2011-01-28,12450,12550,12250,12350,25847,86944.0,7040000.0
2011-01-31,12100,12350,12050,12200,14666,85888.0,7040000.0
