마크로젠(038290),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-04-11,69776,75058,69776,69777,496564,401600.0,3200000.0
2000-04-12,67274,73946,63105,66997,805874,385600.0,3200000.0
2000-04-14,61994,66719,59213,59213,674224,340800.0,3200000.0
2000-04-17,52264,52264,52264,52263,2540,300800.0,3200000.0
2000-04-18,53098,55322,46036,46147,1076744,265600.0,3200000.0
2000-04-19,48928,51096,41699,45591,1024096,262400.0,3200000.0
2000-04-20,44479,44757,40142,40865,597418,235200.0,3200000.0
2000-04-21,41476,45758,38418,45758,1039700,263360.0,3200000.0
2000-04-24,44368,46370,40309,44479,602110,256000.0,3200000.0
2000-04-25,41699,44424,40587,42867,427964,246720.0,3200000.0
2000-04-26,45591,47203,41754,42533,890453,244800.0,3200000.0
2000-04-27,43333,46199,41399,43333,529153,208000.0,3200000.0
2000-04-28,43333,44133,38800,41067,456983,197120.0,3200000.0
2000-05-02,43666,45933,43533,45933,133778,220480.0,3200000.0
2000-05-03,47933,51400,47333,51400,688620,246720.0,3200000.0
2000-05-04,52333,57533,51400,57533,762398,276160.0,3200000.0
2000-05-08,64400,64400,63333,64400,123792,309120.0,3200000.0
2000-05-09,63466,71333,58000,66333,1602942,318400.0,3200000.0
2000-05-10,65600,70666,64000,66333,1075029,318400.0,3200000.0
2000-05-12,69333,74000,67333,74000,1060674,355200.0,3200000.0
2000-05-15,76000,80333,65333,65333,1184900,313600.0,3200000.0
2000-05-16,62466,64000,57533,57667,601636,276800.0,3200000.0
2000-05-17,60000,64000,50799,52333,784767,251200.0,3200000.0
2000-05-18,46666,50000,46066,46067,354905,221120.0,3200000.0
2000-05-19,42333,50666,40599,49533,1131338,237760.0,3200000.0
2000-05-22,46800,53733,45000,45333,1235821,217600.0,3200000.0
2000-05-23,47333,49333,44600,48667,996510,233600.0,3200000.0
2000-05-24,46666,47200,42866,42867,622585,205760.0,3200000.0
2000-05-25,44666,48000,44200,48000,744110,230400.0,3200000.0
2000-05-26,44733,48000,42266,42267,780627,202880.0,3200000.0
2000-05-29,40000,44999,38733,42533,791245,204160.0,3200000.0
2000-05-30,45000,47600,43466,47600,712756,228480.0,3200000.0
2000-05-31,52533,53266,50333,53267,622529,255680.0,3200000.0
2000-06-01,50600,54000,48066,48667,779840,233600.0,3200000.0
2000-06-02,52000,52000,45333,46867,759955,224960.0,3200000.0
2000-06-05,49333,52466,47466,52467,993102,251840.0,3200000.0
2000-06-07,58066,58733,56933,58733,360206,281920.0,3200000.0
2000-06-08,64600,65066,56133,61000,1448819,292800.0,3200000.0
2000-06-09,57666,62000,53733,59333,643758,284800.0,3200000.0
2000-06-12,66400,66400,66400,66400,102112,318720.0,3200000.0
2000-06-13,67666,74333,65466,67333,1500716,323200.0,3200000.0
2000-06-14,71333,74333,59466,60933,1259615,292480.0,3200000.0
2000-06-15,58666,59266,53666,53667,646728,257600.0,3200000.0
2000-06-16,48666,55466,47266,50933,1213089,244480.0,3200000.0
2000-06-19,51333,54333,47333,48267,780823,231680.0,3200000.0
2000-06-20,53333,53333,48399,50333,682440,241600.0,3200000.0
2000-06-21,50200,51266,48000,49267,671154,236480.0,3200000.0
2000-06-22,51000,54666,49466,53867,1072951,258560.0,3200000.0
2000-06-23,50000,51800,49200,51200,507224,245760.0,3200000.0
2000-06-26,52000,55200,51733,53800,1116224,361536.0,4480000.0
2000-06-27,52000,52000,49333,49933,1022818,335552.0,4480000.0
2000-06-28,48333,49933,47466,48667,596056,327040.0,4480000.0
2000-06-29,50000,50600,47133,48467,508088,325696.0,4480000.0
2000-06-30,46666,47666,45333,46000,386793,309120.0,4480000.0
2000-07-03,44400,46600,44333,44867,454669,301504.0,4480000.0
2000-07-04,45000,46466,44000,44667,368094,300160.0,4480000.0
2000-07-05,44000,44333,39333,39867,557288,267904.0,4480000.0
2000-07-06,40000,41733,37333,38600,583153,259392.0,4480000.0
2000-07-07,39000,41333,38000,40267,657532,270592.0,4480000.0
2000-07-10,40066,41200,38800,39000,373024,262080.0,4480000.0
2000-07-11,38333,38666,34333,34533,506198,232064.0,4480000.0
2000-07-12,33400,38666,31733,38667,1052093,259840.0,4480000.0
2000-07-13,38666,39000,35333,35667,814020,239680.0,4480000.0
2000-07-14,36066,36266,33733,33933,330922,228032.0,4480000.0
2000-07-18,34800,38000,34333,34600,1095306,232512.0,4480000.0
2000-07-19,34666,35266,30766,31333,466566,210560.0,4480000.0
2000-07-20,29333,32000,28033,30667,491448,206080.0,4480000.0
2000-07-21,31333,31533,29066,29133,265667,195776.0,4480000.0
2000-07-24,26733,28600,25666,25667,366876,172480.0,4480000.0
2000-07-25,24666,27133,23333,25800,894865,173376.0,4480000.0
2000-07-26,26466,26933,24666,25667,451211,172480.0,4480000.0
2000-07-27,25666,28733,25066,28733,995286,193088.0,4480000.0
2000-07-28,29600,31666,26666,26800,1422509,180096.0,4480000.0
2000-07-31,25400,27333,25400,26233,513109,176288.0,4480000.0
2000-08-01,26666,28400,26033,27067,627911,181888.0,4480000.0
2000-08-02,27666,30266,27466,27800,942784,186816.0,4480000.0
2000-08-03,28666,29333,27766,28333,647248,190400.0,4480000.0
2000-08-04,29000,29266,27000,27267,412367,183232.0,4480000.0
2000-08-07,26666,27633,25466,25967,273681,174496.0,4480000.0
2000-08-08,26566,27333,25500,25867,429017,173824.0,4480000.0
2000-08-09,25733,26466,25533,26000,226349,174720.0,4480000.0
2000-08-10,25866,26000,25000,25533,190329,171584.0,4480000.0
2000-08-11,25666,26866,25333,25933,355378,174272.0,4480000.0
2000-08-14,26333,26700,25400,25600,173891,172032.0,4480000.0
2000-08-16,25333,26333,25066,25867,281467,173824.0,4480000.0
2000-08-17,25466,26133,25333,25467,167805,171136.0,4480000.0
2000-08-18,25733,25866,24033,24467,170596,164416.0,4480000.0
2000-08-21,23800,27400,22000,27267,552597,183232.0,4480000.0
2000-08-22,26666,29166,25733,27667,926321,185920.0,4480000.0
2000-08-23,28000,29666,26866,27933,791313,187712.0,4480000.0
2000-08-24,27933,30133,25366,26600,1425547,178752.0,4480000.0
2000-08-25,27933,28266,26366,26400,649312,177408.0,4480000.0
2000-08-28,26799,28766,26466,28067,835895,188608.0,4480000.0
2000-08-29,27599,28266,26933,27000,441548,181440.0,4480000.0
2000-08-30,27000,27466,26100,26100,239239,175392.0,4480000.0
2000-08-31,26200,27000,24266,25700,426646,172704.0,4480000.0
2000-09-01,25733,26333,25066,25467,258940,171136.0,4480000.0
2000-09-04,25000,25666,24500,24933,207936,167552.0,4480000.0
2000-09-05,25333,26400,25100,25500,361773,171360.0,4480000.0
2000-09-06,25000,25666,24733,24900,182689,167328.0,4480000.0
2000-09-07,24633,24633,22533,22733,205957,152768.0,4480000.0
2000-09-08,23000,23600,22133,22833,206956,153440.0,4480000.0
2000-09-14,22200,22333,21400,22067,134773,148288.0,4480000.0
2000-09-15,21066,22600,20666,22233,233585,149408.0,4480000.0
2000-09-18,20399,20999,19566,19567,97748,131488.0,4480000.0
2000-09-19,17266,18600,17233,17233,238324,115808.0,4480000.0
2000-09-20,17399,17999,16733,16867,256919,113344.0,4480000.0
2000-09-21,17000,17266,14866,14867,292582,99904.0,4480000.0
2000-09-22,13500,16266,13266,14867,807561,99904.0,4480000.0
2000-09-25,15000,16000,14600,15133,377068,101696.0,4480000.0
2000-09-26,14866,15600,14866,15200,230660,102144.0,4480000.0
2000-09-27,15200,17000,15099,17000,657285,114240.0,4480000.0
2000-09-28,17266,17866,16066,17000,884919,114240.0,4480000.0
2000-09-29,17399,17933,16733,17667,487305,118720.0,4480000.0
2000-10-02,17133,17433,16533,16600,298118,111552.0,4480000.0
2000-10-04,15666,16933,15400,16467,339419,110656.0,4480000.0
2000-10-05,17000,17533,16533,16600,424987,111552.0,4480000.0
2000-10-06,17000,18566,16799,18567,1366683,124768.0,4480000.0
2000-10-09,19533,20766,19333,20767,779694,139552.0,4480000.0
2000-10-10,20766,21566,19333,20000,1131590,134400.0,4480000.0
2000-10-11,20000,20933,17833,18933,644344,127232.0,4480000.0
2000-10-12,18266,19166,18000,18200,308295,122304.0,4480000.0
2000-10-13,16066,17333,16033,16133,395975,108416.0,4480000.0
2000-10-16,18066,18066,17466,18067,303453,121408.0,4480000.0
2000-10-17,18066,18999,16000,17667,704159,118720.0,4480000.0
2000-10-18,18000,18466,16733,17933,575914,120512.0,4480000.0
2000-10-19,17999,18599,17199,17667,249799,118720.0,4480000.0
2000-10-20,18033,18399,17466,17867,338431,120064.0,4480000.0
2000-10-23,17066,17533,16200,16333,216841,109760.0,4480000.0
2000-10-24,16633,16866,16366,16400,184508,110208.0,4480000.0
2000-10-25,16133,17066,16033,16133,271364,108416.0,4480000.0
2000-10-26,15933,16000,15200,15367,225532,103264.0,4480000.0
2000-10-27,15466,15733,14566,14733,154954,99008.0,4480000.0
2000-10-30,14066,14533,13000,13600,223703,91392.0,4480000.0
2000-10-31,12733,14133,12066,13667,340305,91840.0,4480000.0
2000-11-01,14333,15166,13733,14733,454601,99008.0,4480000.0
2000-11-02,15000,15400,14133,14800,443464,99456.0,4480000.0
2000-11-03,15333,15600,14800,14933,313034,100352.0,4480000.0
2000-11-06,14666,15533,14499,15533,182820,104384.0,4480000.0
2000-11-07,15533,15600,14800,15100,149512,101472.0,4480000.0
2000-11-08,14833,15900,14600,15367,282875,103264.0,4480000.0
2000-11-09,15200,16466,14866,15533,319399,104384.0,4480000.0
2000-11-10,15333,16933,15133,15767,734583,105952.0,4480000.0
2000-11-13,15799,16400,14733,14833,293930,99680.0,4480000.0
2000-11-14,15000,15433,14866,15167,135395,101920.0,4480000.0
2000-11-15,15433,16866,15366,16200,489780,108864.0,4480000.0
2000-11-16,16333,16466,15333,15500,176643,104160.0,4480000.0
2000-11-17,15266,15800,15133,15400,129530,103488.0,4480000.0
2000-11-20,15000,15866,15000,15200,142285,102144.0,4480000.0
2000-11-21,15000,15633,14733,15000,200142,100800.0,4480000.0
2000-11-22,15200,16266,14999,15433,467005,103712.0,4480000.0
2000-11-23,15133,15299,13600,14200,282348,95424.0,4480000.0
2000-11-24,14200,14600,13666,14167,161539,95200.0,4480000.0
2000-11-27,14466,14733,14266,14600,161836,98112.0,4480000.0
2000-11-28,14600,14933,13800,13967,186067,93856.0,4480000.0
2000-11-29,13466,14266,13066,14000,176467,94080.0,4480000.0
2000-11-30,13833,14133,13100,14000,133836,94080.0,4480000.0
2000-12-01,13066,13800,13066,13600,87407,91392.0,4480000.0
2000-12-04,13666,13833,13200,13600,101566,91392.0,4480000.0
2000-12-05,13133,13899,13133,13800,113599,92736.0,4480000.0
2000-12-06,14333,14466,13433,13467,139404,90496.0,4480000.0
2000-12-07,13233,13533,13200,13333,72688,89600.0,4480000.0
2000-12-08,13333,13366,13100,13233,62096,88928.0,4480000.0
2000-12-11,13466,13600,13200,13333,87719,89600.0,4480000.0
2000-12-12,13333,13500,13066,13133,75986,88256.0,4480000.0
2000-12-13,13000,13433,12866,13333,107248,89600.0,4480000.0
2000-12-14,13000,14000,13000,13467,165586,90496.0,4480000.0
2000-12-15,13200,13400,13066,13267,57812,89152.0,4480000.0
2000-12-18,12933,13266,12800,13267,69089,89152.0,4480000.0
2000-12-19,13200,13466,12333,12467,85047,83776.0,4480000.0
2000-12-20,11666,11933,11000,11667,212499,78400.0,4480000.0
2000-12-21,11000,13000,10333,11800,484354,79296.0,4480000.0
2000-12-22,12133,12233,10400,10667,220597,71680.0,4480000.0
2000-12-26,11000,11000,9733,9800,121706,65856.0,4480000.0
2001-01-02,9266,10866,9266,10700,145431,71904.0,4480000.0
2001-01-03,10566,11633,10133,11267,258864,75712.0,4480000.0
2001-01-04,12333,12600,11866,11933,512397,80192.0,4480000.0
2001-01-05,11933,12266,11233,11467,361040,77056.0,4480000.0
2001-01-08,11133,12200,11066,11733,324222,78848.0,4480000.0
2001-01-09,11733,13133,11500,13133,524823,88256.0,4480000.0
2001-01-10,14700,14700,14700,14700,140126,98784.0,4480000.0
2001-01-11,16433,16433,16133,16433,326048,110432.0,4480000.0
2001-01-12,18400,18400,18400,18400,16075,123648.0,4480000.0
2001-01-15,20600,20600,20600,20600,6793,138432.0,4480000.0
2001-01-16,23066,23066,21333,23067,2127349,155008.0,4480000.0
2001-01-17,21866,25833,21000,24000,3259682,161280.0,4480000.0
2001-01-18,22733,23800,21133,21133,1551605,142016.0,4480000.0
2001-01-19,20800,22466,18700,19667,1794336,132160.0,4480000.0
2001-01-22,19733,22000,19733,22000,1269900,147840.0,4480000.0
2001-01-26,22666,23666,20999,21967,2298491,147616.0,4480000.0
2001-01-29,22466,22666,20333,20967,1025298,140896.0,4480000.0
2001-01-30,21133,22533,20533,20733,924095,139328.0,4480000.0
2001-01-31,20333,22333,18733,21533,1243392,144704.0,4480000.0
2001-02-01,20866,22599,20333,20867,1156912,140224.0,4480000.0
2001-02-02,21400,23366,20866,23267,2323115,156352.0,4480000.0
2001-02-05,22500,24200,20500,20500,2708672,137760.0,4480000.0
2001-02-06,20666,21000,19666,20733,973097,139328.0,4480000.0
2001-02-07,21066,22299,19866,20067,1216792,134848.0,4480000.0
2001-02-08,20200,20933,19900,20333,543636,136640.0,4480000.0
2001-02-09,20066,21600,20033,20800,852057,139776.0,4480000.0
2001-02-12,23266,23266,23266,23267,107583,156352.0,4480000.0
2001-02-13,26033,26033,22233,22467,2447871,150976.0,4480000.0
2001-02-14,22066,22833,21700,22667,758450,152320.0,4480000.0
2001-02-15,23000,24400,22400,22800,1387083,153216.0,4480000.0
2001-02-16,22333,23266,21700,21900,631761,147168.0,4480000.0
2001-02-19,21333,22233,21199,21567,463674,144928.0,4480000.0
2001-02-20,22200,23800,21866,22500,1208735,151200.0,4480000.0
2001-02-21,22133,22333,21233,21333,425458,143360.0,4480000.0
2001-02-22,20666,20933,19533,19867,579593,133504.0,4480000.0
2001-02-23,19200,20333,19200,19667,254759,132160.0,4480000.0
2001-02-26,20133,20466,19733,19833,389473,133280.0,4480000.0
2001-02-27,20666,20833,19000,19133,384866,128576.0,4480000.0
2001-02-28,18500,18800,17933,18300,302175,122976.0,4480000.0
2001-03-02,17833,18100,16133,16133,311702,108416.0,4480000.0
2001-03-05,15333,17266,14666,17133,608988,115136.0,4480000.0
2001-03-06,16700,17533,15900,16000,640668,107520.0,4480000.0
2001-03-07,16533,17900,15933,17200,596174,115584.0,4480000.0
2001-03-08,17399,17933,17100,17667,517489,118720.0,4480000.0
2001-03-09,17133,17433,16566,16733,233202,112448.0,4480000.0
2001-03-12,15866,16133,15266,15333,265529,103040.0,4480000.0
2001-03-13,14400,15933,13866,14867,479663,99904.0,4480000.0
2001-03-14,15866,16200,15500,16000,428440,107520.0,4480000.0
2001-03-15,15033,16200,14933,15867,314453,106624.0,4480000.0
2001-03-16,16000,16400,15366,15467,461165,103936.0,4480000.0
2001-03-19,15133,15633,15000,15133,234606,101696.0,4480000.0
2001-03-20,15800,15866,15133,15800,303489,106176.0,4480000.0
2001-03-21,15200,15733,15033,15733,174636,105728.0,4480000.0
2001-03-22,15666,17333,15400,16133,911565,108416.0,4480000.0
2001-03-23,16200,16333,15466,15567,239678,104608.0,4480000.0
2001-03-26,16333,16666,15800,16667,294705,112000.0,4480000.0
2001-03-27,16666,17266,16133,16133,289733,108416.0,4480000.0
2001-03-28,16466,16533,15066,15267,213341,102592.0,4480000.0
2001-03-29,14999,15466,14599,14833,137298,99680.0,4480000.0
2001-03-30,14866,15300,14033,14467,132890,97216.0,4480000.0
2001-04-02,14166,14866,14166,14500,152000,97440.0,4480000.0
2001-04-03,14033,14200,13600,13767,122686,92512.0,4480000.0
2001-04-04,13333,13466,12866,13000,140368,87360.0,4480000.0
2001-04-06,14133,14133,13566,13600,199753,91392.0,4480000.0
2001-04-09,13333,14666,13233,13400,674353,90048.0,4480000.0
2001-04-10,13966,14200,13266,13500,179805,90720.0,4480000.0
2001-04-11,14133,14133,13633,13867,151683,93184.0,4480000.0
2001-04-12,13800,15500,13800,14900,726121,100128.0,4480000.0
2001-04-13,15400,15700,14900,14933,476051,100352.0,4480000.0
2001-04-16,15133,16199,14933,15433,776262,103712.0,4480000.0
2001-04-17,15433,15633,14499,14733,346921,99008.0,4480000.0
2001-04-18,15333,16500,15133,16467,992895,110656.0,4480000.0
2001-04-19,17866,18300,17166,17633,1076302,118496.0,4480000.0
2001-04-20,17700,18066,17000,17100,618095,114912.0,4480000.0
2001-04-23,17466,18766,17166,18000,1036990,120960.0,4480000.0
2001-04-24,17333,18966,17033,18133,853309,121856.0,4480000.0
2001-04-25,17999,18299,17366,17467,339752,117376.0,4480000.0
2001-04-26,18266,19533,18100,19533,1794684,131264.0,4480000.0
2001-04-27,19600,19866,17200,17400,1865835,116928.0,4480000.0
2001-04-30,18233,18866,17866,18800,1177534,126336.0,4480000.0
2001-05-02,19666,20100,18800,19000,965208,127680.0,4480000.0
2001-05-03,18566,18666,17866,18300,410061,122976.0,4480000.0
2001-05-04,17666,19166,17666,18733,529456,125888.0,4480000.0
2001-05-07,20133,20966,20133,20967,814509,140896.0,4480000.0
2001-05-08,21566,21733,19666,20000,1578421,134400.0,4480000.0
2001-05-09,20000,20299,19033,19067,455680,128128.0,4480000.0
2001-05-10,19066,19900,18866,19667,495958,132160.0,4480000.0
2001-05-11,18666,19666,18666,19267,369462,129472.0,4480000.0
2001-05-14,19399,20199,19366,19667,630906,132160.0,4480000.0
2001-05-15,19333,19666,18900,18933,279910,127232.0,4480000.0
2001-05-16,18999,19133,18266,18267,277115,122752.0,4480000.0
2001-05-17,19666,19866,19133,19333,413663,129920.0,4480000.0
2001-05-18,19533,20566,18500,18733,1064258,125888.0,4480000.0
2001-05-21,19000,19233,18800,18933,328202,127232.0,4480000.0
2001-05-22,19600,19833,18633,18667,363008,125440.0,4480000.0
2001-05-23,18333,18733,17900,18000,262768,120960.0,4480000.0
2001-05-24,17800,18433,17600,18433,240800,123872.0,4480000.0
2001-05-25,19000,19333,18566,18600,446399,124992.0,4480000.0
2001-05-28,18566,18666,18166,18200,150790,122304.0,4480000.0
2001-05-29,18333,18966,18200,18567,226537,124768.0,4480000.0
2001-05-30,18033,18400,18000,18400,132181,123648.0,4480000.0
2001-05-31,18333,18833,17866,18067,296989,121408.0,4480000.0
2001-06-01,18066,18333,17433,17533,142670,117824.0,4480000.0
2001-06-04,17866,17866,17333,17367,106537,116704.0,4480000.0
2001-06-05,17333,17699,17033,17067,142579,114688.0,4480000.0
2001-06-07,16866,17200,16133,16600,136636,111552.0,4480000.0
2001-06-08,16800,17866,16600,17433,291352,117152.0,4480000.0
2001-06-11,17133,17200,16600,16733,121686,112448.0,4480000.0
2001-06-12,16466,17100,16400,16800,141260,112896.0,4480000.0
2001-06-13,16866,18800,16800,18800,666729,126336.0,4480000.0
2001-06-14,18666,18799,17799,17867,878121,120064.0,4480000.0
2001-06-15,17866,17866,17366,17767,233202,119392.0,4480000.0
2001-06-18,18000,18266,17800,17800,296272,119616.0,4480000.0
2001-06-19,17400,17800,17200,17533,222034,117824.0,4480000.0
2001-06-20,17533,17799,16833,17467,205134,117376.0,4480000.0
2001-06-21,17733,18200,17333,17533,202625,117824.0,4480000.0
2001-06-22,17533,17666,17199,17267,119239,116032.0,4480000.0
2001-06-25,17000,19200,16933,18333,806616,123200.0,4480000.0
2001-06-26,18333,18799,16733,16867,692977,113344.0,4480000.0
2001-06-27,18333,18533,17366,17400,1129004,116928.0,4480000.0
2001-06-28,17333,17533,16800,16833,277832,113120.0,4480000.0
2001-06-29,17066,17333,16866,17033,163870,114464.0,4480000.0
2001-07-02,16666,17199,16666,16867,125084,113344.0,4480000.0
2001-07-03,16666,17733,16666,16933,287469,113792.0,4480000.0
2001-07-04,17000,17100,16766,16967,90325,114016.0,4480000.0
2001-07-05,16866,17333,16733,16733,134718,112448.0,4480000.0
2001-07-06,16200,16466,15833,15967,129398,107296.0,4480000.0
2001-07-09,15666,15666,14266,14533,134330,97664.0,4480000.0
2001-07-10,14800,14966,14533,14600,93292,98112.0,4480000.0
2001-07-11,13700,14133,13300,13600,220224,91392.0,4480000.0
2001-07-12,14066,15066,13900,15000,318917,100800.0,4480000.0
2001-07-13,15300,15333,13799,13833,177129,92960.0,4480000.0
2001-07-16,13833,14233,13500,13900,86145,93408.0,4480000.0
2001-07-18,14066,14500,13666,13667,151937,91840.0,4480000.0
2001-07-19,13399,14100,13399,14100,167621,94752.0,4480000.0
2001-07-20,13800,14100,13533,13800,99545,92736.0,4480000.0
2001-07-23,13666,13933,13133,13200,96715,88704.0,4480000.0
2001-07-24,13066,13633,12600,13367,221153,89824.0,4480000.0
2001-07-25,13033,13433,12833,13200,116131,88704.0,4480000.0
2001-07-26,13633,13866,13233,13400,157367,90048.0,4480000.0
2001-07-27,13866,14133,13600,13700,187594,92064.0,4480000.0
2001-07-30,13700,13700,13300,13300,78635,89376.0,4480000.0
2001-07-31,13333,13633,13266,13533,95362,90944.0,4480000.0
2001-08-01,13666,14266,13600,14133,274772,94976.0,4480000.0
2001-08-02,14400,14400,13866,14100,139102,94752.0,4480000.0
2001-08-03,14100,14266,13833,14000,119832,94080.0,4480000.0
2001-08-06,13800,14266,13800,14067,116227,94528.0,4480000.0
2001-08-07,14000,15000,13933,14367,459425,96544.0,4480000.0
2001-08-08,14333,14533,14033,14033,170500,94304.0,4480000.0
2001-08-09,13533,13733,13466,13467,116251,90496.0,4480000.0
2001-08-10,13800,14100,13633,14067,234180,94528.0,4480000.0
2001-08-13,14033,14100,13666,13700,109834,92064.0,4480000.0
2001-08-14,14000,14200,13733,14000,130256,94080.0,4480000.0
2001-08-16,13866,13933,13466,13600,115599,91392.0,4480000.0
2001-08-17,13600,13933,13600,13700,99532,92064.0,4480000.0
2001-08-20,13200,13466,13166,13433,67384,90272.0,4480000.0
2001-08-21,13466,13633,13266,13400,68696,90048.0,4480000.0
2001-08-22,13333,13933,13333,13533,157127,90944.0,4480000.0
2001-08-23,13866,13866,13466,13467,108094,90496.0,4480000.0
2001-08-24,13733,13866,13500,13667,148014,91840.0,4480000.0
2001-08-27,13933,13966,13533,13533,89305,90944.0,4480000.0
2001-08-28,13533,14333,13500,13667,367931,91840.0,4480000.0
2001-08-29,13466,13533,12866,13067,136166,87808.0,4480000.0
2001-08-30,12866,12866,12400,12567,109080,84448.0,4480000.0
2001-08-31,12000,12333,11233,11467,160870,77056.0,4480000.0
2001-09-03,11533,11700,11200,11600,123974,77952.0,4480000.0
2001-09-04,11333,11833,11333,11700,106361,78624.0,4480000.0
2001-09-05,11400,11666,11333,11400,88818,76608.0,4480000.0
2001-09-06,11400,11733,11400,11700,155830,78624.0,4480000.0
2001-09-07,11533,12333,11333,11967,206785,80416.0,4480000.0
2001-09-10,12000,12300,11733,12300,170513,82656.0,4480000.0
2001-09-11,12533,12533,11766,11867,207593,79744.0,4480000.0
2001-09-12,10466,10466,10466,10467,15121,70336.0,4480000.0
2001-09-13,9533,10366,9533,10000,270928,67200.0,4480000.0
2001-09-14,9999,10066,8799,8833,247958,59360.0,4480000.0
2001-09-17,8833,8833,7800,7800,173793,52416.0,4480000.0
2001-09-18,8100,8733,8100,8600,301095,57792.0,4480000.0
2001-09-19,8333,9133,8200,8600,410857,57792.0,4480000.0
2001-09-20,8733,8733,7733,7967,152262,53536.0,4480000.0
2001-09-21,7400,8466,7233,8133,302199,54656.0,4480000.0
2001-09-24,8399,8533,7900,8333,275909,56000.0,4480000.0
2001-09-25,8666,8866,7700,7733,368445,51968.0,4480000.0
2001-09-26,8000,8100,7766,7800,133970,52416.0,4480000.0
2001-09-27,7800,8133,7733,8067,125886,54208.0,4480000.0
2001-09-28,8300,8866,8300,8867,609073,59584.0,4480000.0
2001-10-04,9333,9866,9200,9667,483141,64960.0,4480000.0
2001-10-05,9366,9433,8899,8933,236558,60032.0,4480000.0
2001-10-08,8599,9066,8266,8533,192116,57344.0,4480000.0
2001-10-09,8800,9266,8800,9067,317938,60928.0,4480000.0
2001-10-10,9266,10133,9200,10133,570928,68096.0,4480000.0
2001-10-11,10833,11133,10266,10467,990983,70336.0,4480000.0
2001-10-12,10600,10766,9833,10400,395757,69888.0,4480000.0
2001-10-15,11333,11633,11333,11633,324292,78176.0,4480000.0
2001-10-16,11933,12233,11266,11467,1109283,77056.0,4480000.0
2001-10-17,11500,11666,11000,11667,581730,78400.0,4480000.0
2001-10-18,12133,12600,11100,11233,1269682,75488.0,4480000.0
2001-10-19,11400,11600,11000,11233,399710,75488.0,4480000.0
2001-10-22,11200,12533,10966,11667,939662,78400.0,4480000.0
2001-10-23,11933,12066,11200,11267,309137,75712.0,4480000.0
2001-10-24,11266,11533,11200,11533,278650,77504.0,4480000.0
2001-10-25,11933,12066,11266,11267,342417,75712.0,4480000.0
2001-10-26,11200,11433,10933,11067,137929,74368.0,4480000.0
2001-10-29,11000,11133,10600,10733,162919,72128.0,4480000.0
2001-10-30,10333,10533,10000,10067,144052,67648.0,4480000.0
2001-10-31,10000,10600,9833,10367,240597,69664.0,4480000.0
2001-11-01,10299,10566,10200,10433,145997,70112.0,4480000.0
2001-11-02,10633,10633,10166,10200,122446,68544.0,4480000.0
2001-11-05,10200,11400,10200,10900,802745,73248.0,4480000.0
2001-11-06,11100,11266,10633,11267,291985,75712.0,4480000.0
2001-11-07,11400,11600,10800,10800,261791,72576.0,4480000.0
2001-11-08,10733,11066,10666,10700,116033,71904.0,4480000.0
2001-11-09,10499,10800,10400,10700,86206,71904.0,4480000.0
2001-11-12,10566,10933,10533,10900,114974,73248.0,4480000.0
