KTH(036030),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-02-14,94000,107500,93000,101500,2783212,3501750.0,34500000.0
2000-02-15,103000,104500,89500,89500,1178702,3087750.0,34500000.0
2000-02-16,84600,89500,80100,88000,745560,3036000.0,34500000.0
2000-02-17,85000,91800,84500,88800,847092,3063600.0,34500000.0
2000-02-18,90200,95000,89000,89700,930373,3094650.0,34500000.0
2000-02-21,85000,86900,79500,81500,584806,2811750.0,34500000.0
2000-02-22,83500,87800,77000,80900,772780,2791050.0,34500000.0
2000-02-23,79500,79500,72100,76200,418321,2628900.0,34500000.0
2000-02-24,80000,84000,79000,83500,590594,2880750.0,34500000.0
2000-02-25,83500,86900,79000,80000,709472,2760000.0,34500000.0
2000-02-28,76100,79900,73200,74900,359483,2584050.0,34500000.0
2000-02-29,74800,78000,73000,74600,383112,2573700.0,34500000.0
2000-03-02,78000,83500,76500,83500,738776,2880750.0,34500000.0
2000-03-03,80500,81900,75500,81500,412784,2811750.0,34500000.0
2000-03-06,85000,86000,77600,81000,375135,2794500.0,34500000.0
2000-03-07,78600,80700,77000,80000,228046,2760000.0,34500000.0
2000-03-08,76500,79000,76500,77900,199136,2687550.0,34500000.0
2000-03-09,78500,79800,77200,77600,232009,2677200.0,34500000.0
2000-03-10,79800,81600,77600,77800,392252,2684100.0,34500000.0
2000-03-13,78000,78000,73000,74000,338269,2553000.0,34500000.0
2000-03-14,70000,72000,69000,70200,232041,2421900.0,34500000.0
2000-03-15,67200,68000,62000,64200,372584,2214900.0,34500000.0
2000-03-16,61700,68000,59500,63500,433552,2190750.0,34500000.0
2000-03-17,63500,64700,57000,58900,333278,2032050.0,34500000.0
2000-03-20,58000,58700,51900,51900,344805,1790550.0,34500000.0
2000-03-21,50000,52900,48000,51000,450683,1759500.0,34500000.0
2000-03-22,53800,57100,53000,57100,440313,1969950.0,34500000.0
2000-03-23,59000,63900,57100,59400,1270577,2049300.0,34500000.0
2000-03-24,58800,58900,54000,56000,370495,1932000.0,34500000.0
2000-03-27,55000,58900,53000,56200,360725,1938900.0,34500000.0
2000-03-28,55000,58000,54200,54900,258471,1894050.0,34500000.0
2000-03-29,53900,58800,53200,53700,540783,1852650.0,34500000.0
2000-03-30,52800,52800,48500,51700,564627,1783650.0,34500000.0
2000-03-31,50000,50800,46900,47800,324916,1649100.0,34500000.0
2000-04-03,47000,49000,42100,42100,424081,1452450.0,34500000.0
2000-04-04,38300,39700,37050,38900,448450,1342050.0,34500000.0
2000-04-06,39000,40500,37000,39000,425220,1345500.0,34500000.0
2000-04-07,39300,42800,39300,42400,533137,1462800.0,34500000.0
2000-04-10,45000,47000,44400,45900,448308,1583550.0,34500000.0
2000-04-11,42100,42500,40400,40400,247137,1393800.0,34500000.0
2000-04-12,40000,42800,38600,40450,331031,1395525.0,34500000.0
2000-04-14,37800,38400,35600,36900,190521,1273050.0,34500000.0
2000-04-17,32500,32500,32500,32500,39901,1121250.0,34500000.0
2000-04-18,33400,35500,29000,30600,480807,1055700.0,34500000.0
2000-04-19,32800,33600,31100,31700,449870,1093650.0,34500000.0
2000-04-20,31600,32000,29900,31700,262464,1093650.0,34500000.0
2000-04-21,30600,34800,30600,33600,576414,1159200.0,34500000.0
2000-04-24,34000,34000,30800,31000,259341,1069500.0,34500000.0
2000-04-25,30000,31200,29200,30500,282124,1052250.0,34500000.0
2000-04-26,31600,32300,27900,28650,438587,988425.0,34500000.0
2000-04-27,27300,28000,25350,25500,357702,879750.0,34500000.0
2000-04-28,26100,26750,24050,25650,331064,884925.0,34500000.0
2000-05-02,26000,28700,24700,28700,651399,990150.0,34500000.0
2000-05-03,29000,30800,27500,29300,612199,1010850.0,34500000.0
2000-05-04,28500,30000,28150,28750,307085,991875.0,34500000.0
2000-05-08,29550,31000,28600,28900,321175,997050.0,34500000.0
2000-05-09,27900,28500,27700,28100,119075,969450.0,34500000.0
2000-05-10,27900,29800,27500,28200,288399,972900.0,34500000.0
2000-05-12,28400,28500,26250,26500,252756,914250.0,34500000.0
2000-05-15,26000,26000,23350,23450,314916,809025.0,34500000.0
2000-05-16,23000,23650,21600,22400,287359,772800.0,34500000.0
2000-05-17,23200,23300,19750,19750,358160,681375.0,34500000.0
2000-05-18,17950,19000,17400,17400,184106,600300.0,34500000.0
2000-05-19,17650,19450,16500,19450,966265,671025.0,34500000.0
2000-05-22,19450,20450,17150,17200,967980,593400.0,34500000.0
2000-05-23,17200,19250,16500,19250,960939,664125.0,34500000.0
2000-05-24,19850,21550,19250,21550,1977565,743475.0,34500000.0
2000-05-25,22000,24100,20600,23450,1152688,809025.0,34500000.0
2000-05-26,22200,26000,21250,22100,2023267,762450.0,34500000.0
2000-05-29,21500,23150,20000,21100,1025661,727950.0,34500000.0
2000-05-30,21600,23300,21300,22500,850303,776250.0,34500000.0
2000-05-31,23600,25200,23500,25200,614524,869400.0,34500000.0
2000-06-01,25500,28200,24000,28200,1679182,972900.0,34500000.0
2000-06-02,29500,31000,27000,28100,1547531,969450.0,34500000.0
2000-06-05,29100,29700,28300,29150,1040194,1005675.0,34500000.0
2000-06-07,28000,30500,27600,29600,1284050,1021200.0,34500000.0
2000-06-08,30000,33150,28500,33150,2275951,1143675.0,34500000.0
2000-06-09,33200,34200,29300,30150,1570469,1040175.0,34500000.0
2000-06-12,29000,30400,27550,28600,632241,986700.0,34500000.0
2000-06-13,27500,29200,25600,25800,506188,890100.0,34500000.0
2000-06-14,24600,26900,24600,26100,393877,900450.0,34500000.0
2000-06-15,25600,26950,23100,23300,398934,803850.0,34500000.0
2000-06-16,23000,25600,21700,24400,520882,841800.0,34500000.0
2000-06-19,23100,25150,23000,23200,380808,800400.0,34500000.0
2000-06-20,23900,24400,22900,23600,263810,814200.0,34500000.0
2000-06-21,24500,26400,23900,24600,894541,848700.0,34500000.0
2000-06-22,25000,25400,23650,24150,295679,833175.0,34500000.0
2000-06-23,23500,23900,23250,23800,167533,821100.0,34500000.0
2000-06-26,23800,25800,23600,24750,457808,853875.0,34500000.0
2000-06-27,25300,25700,24350,24600,254421,848700.0,34500000.0
2000-06-28,24300,25350,24100,25000,331579,862500.0,34500000.0
2000-06-29,26150,27600,25200,25550,915563,881475.0,34500000.0
2000-06-30,25150,25500,24400,24850,192656,857325.0,34500000.0
2000-07-03,24300,25450,24300,24600,284891,848700.0,34500000.0
2000-07-04,24300,24700,23300,23550,211332,812475.0,34500000.0
2000-07-05,23000,23400,20800,22300,265600,769350.0,34500000.0
2000-07-06,22000,22650,21150,21900,243864,755550.0,34500000.0
2000-07-07,22000,22500,21800,22150,224581,764175.0,34500000.0
2000-07-10,22000,22900,21800,22200,211824,765900.0,34500000.0
2000-07-11,21800,22400,21200,22400,247275,772800.0,34500000.0
2000-07-12,22000,23500,21700,22800,351420,786600.0,34500000.0
2000-07-13,23000,23200,22300,22750,241089,784875.0,34500000.0
2000-07-14,23000,23350,22300,22500,178970,776250.0,34500000.0
2000-07-18,22500,22700,21350,21600,160208,745200.0,34500000.0
2000-07-19,21300,21300,19600,19900,177467,686550.0,34500000.0
2000-07-20,19150,20500,18400,20150,255394,695175.0,34500000.0
2000-07-21,20500,20500,19600,19700,121630,679650.0,34500000.0
2000-07-24,19000,19500,18000,18000,143445,621000.0,34500000.0
2000-07-25,17500,18300,16700,18050,253120,622725.0,34500000.0
2000-07-26,18900,19450,17500,18750,227059,646875.0,34500000.0
2000-07-27,18400,18850,18100,18750,100503,646875.0,34500000.0
2000-07-28,18300,18300,17500,17800,83673,614100.0,34500000.0
2000-07-31,17500,18550,17100,18100,139367,624450.0,34500000.0
2000-08-01,18450,18500,17800,18250,128293,629625.0,34500000.0
2000-08-02,18250,18800,18000,18250,131201,629625.0,34500000.0
2000-08-03,18500,20400,18300,18750,307014,646875.0,34500000.0
2000-08-04,19100,19300,18600,18750,163171,646875.0,34500000.0
2000-08-07,18750,18800,17800,17800,92130,614100.0,34500000.0
2000-08-08,17500,18150,17100,17100,97613,589950.0,34500000.0
2000-08-09,17100,18000,17100,17750,136537,612375.0,34500000.0
2000-08-10,17500,17900,17200,17650,82401,608925.0,34500000.0
2000-08-11,17300,18000,17300,17350,66795,598575.0,34500000.0
2000-08-14,17300,17650,17200,17350,65615,598575.0,34500000.0
2000-08-16,17400,17900,17250,17600,101888,607200.0,34500000.0
2000-08-17,17400,17400,16900,17100,114867,589950.0,34500000.0
2000-08-18,16800,17100,16650,16900,90057,583050.0,34500000.0
2000-08-21,16500,16700,15800,16000,88643,552000.0,34500000.0
2000-08-22,15900,16600,15600,16200,213014,558900.0,34500000.0
2000-08-23,16300,16400,14950,15300,139536,527850.0,34500000.0
2000-08-24,15500,15500,14400,14700,151040,507150.0,34500000.0
2000-08-25,14700,15300,14400,15050,170268,519225.0,34500000.0
2000-08-28,15250,16850,15200,16850,338689,581325.0,34500000.0
2000-08-29,16800,16800,15600,15750,206396,543375.0,34500000.0
2000-08-30,15900,16000,15350,15600,68164,538200.0,34500000.0
2000-08-31,15300,15500,14900,15150,96947,522675.0,34500000.0
2000-09-01,14900,15700,14900,15250,105185,526125.0,34500000.0
2000-09-04,15050,15300,14800,14900,53918,514050.0,34500000.0
2000-09-05,14900,15450,14900,15150,100954,522675.0,34500000.0
2000-09-06,14900,15300,14850,15000,68380,517500.0,34500000.0
2000-09-07,14900,14900,14000,14100,77720,486450.0,34500000.0
2000-09-08,14600,14600,13700,14150,64649,488175.0,34500000.0
2000-09-14,13700,14200,13200,14100,78432,486450.0,34500000.0
2000-09-15,13500,14250,13300,13450,81599,464025.0,34500000.0
2000-09-18,12650,12650,11850,11850,104671,408825.0,34500000.0
2000-09-19,11000,11500,10450,11000,169146,379500.0,34500000.0
2000-09-20,11300,11600,11150,11200,114882,386400.0,34500000.0
2000-09-21,10750,11000,9900,10000,136464,345000.0,34500000.0
2000-09-22,9500,9700,8800,8850,153296,305325.0,34500000.0
2000-09-25,8900,9650,8850,9400,122011,324300.0,34500000.0
2000-09-26,9400,9900,9030,9840,150141,339480.0,34500000.0
2000-09-27,9510,11000,9510,10800,212807,372600.0,34500000.0
2000-09-28,11500,11500,10300,10750,188116,370875.0,34500000.0
2000-09-29,11000,11900,10750,11500,272030,396750.0,34500000.0
2000-10-02,11000,12100,10800,11550,282955,398475.0,34500000.0
2000-10-04,11100,11600,11000,11200,105231,386400.0,34500000.0
2000-10-05,11200,11800,11200,11350,166216,391575.0,34500000.0
2000-10-06,10900,11750,10900,11150,195855,384675.0,34500000.0
2000-10-09,11000,11900,11000,11250,203894,388125.0,34500000.0
2000-10-10,11300,11450,10550,11000,117037,379500.0,34500000.0
2000-10-11,10700,10700,9790,9990,97652,344655.0,34500000.0
2000-10-12,9810,9870,9500,9580,83464,330510.0,34500000.0
2000-10-13,9100,9100,8500,9050,120264,312225.0,34500000.0
2000-10-16,9600,9990,9550,9800,201751,338100.0,34500000.0
2000-10-17,9510,9700,8630,8720,131593,300840.0,34500000.0
2000-10-18,8500,8900,7920,8690,132676,299805.0,34500000.0
2000-10-19,8500,8890,8400,8580,67508,296010.0,34500000.0
2000-10-20,9000,9100,8560,8650,210319,298425.0,34500000.0
2000-10-23,8700,8800,8050,8100,77171,279450.0,34500000.0
2000-10-24,8250,8410,8000,8300,97054,286350.0,34500000.0
2000-10-25,8000,8390,8000,8150,79970,281175.0,34500000.0
2000-10-26,8000,8100,7850,7930,93198,273585.0,34500000.0
2000-10-27,7940,8100,7840,7870,69131,271515.0,34500000.0
2000-10-30,7850,7950,7050,7200,88465,248400.0,34500000.0
2000-10-31,6910,7500,6600,7320,129851,252540.0,34500000.0
2000-11-01,7550,7600,7220,7390,136771,254955.0,34500000.0
2000-11-02,7300,7680,7150,7500,127148,258750.0,34500000.0
2000-11-03,7810,7960,7450,7530,132563,259785.0,34500000.0
2000-11-06,7350,7760,7350,7530,96816,259785.0,34500000.0
2000-11-07,7410,7530,7380,7400,65799,255300.0,34500000.0
2000-11-08,6800,7380,6800,7150,78086,246675.0,34500000.0
2000-11-09,6810,7010,6810,6950,81946,239775.0,34500000.0
2000-11-10,6900,7190,6900,7070,190669,243915.0,34500000.0
2000-11-13,7000,7000,6650,6700,130952,231150.0,34500000.0
2000-11-14,6680,6760,6560,6670,123350,230115.0,34500000.0
2000-11-15,6810,7090,6690,6730,275943,232185.0,34500000.0
2000-11-16,6650,6690,6420,6520,207629,224940.0,34500000.0
2000-11-17,6520,6520,6360,6450,131502,222525.0,34500000.0
2000-11-20,6360,6620,6360,6410,133433,221145.0,34500000.0
2000-11-21,6230,6300,6010,6120,116640,211140.0,34500000.0
2000-11-22,6010,6060,5820,5840,140334,201480.0,34500000.0
2000-11-23,5620,5750,5140,5190,211140,179055.0,34500000.0
2000-11-24,5190,5300,5010,5240,152449,180780.0,34500000.0
2000-11-27,5160,5480,5160,5430,133765,187335.0,34500000.0
2000-11-28,5150,5280,5040,5050,98494,174225.0,34500000.0
2000-11-29,4800,4810,4450,4500,126730,155250.0,34500000.0
2000-11-30,4600,5000,4450,4770,167658,164565.0,34500000.0
2000-12-01,4600,4900,4460,4790,108945,165255.0,34500000.0
2000-12-04,4790,4990,4570,4690,81309,161805.0,34500000.0
2000-12-05,4450,4800,4450,4710,78115,162495.0,34500000.0
2000-12-06,5100,5270,4900,4940,457096,170430.0,34500000.0
2000-12-07,4820,5250,4820,5080,339469,175260.0,34500000.0
2000-12-08,5200,5200,5000,5040,160519,173880.0,34500000.0
2000-12-11,5100,5330,5060,5270,337637,181815.0,34500000.0
2000-12-12,5250,5250,4950,5000,139334,172500.0,34500000.0
2000-12-13,4910,5070,4840,4990,85838,172155.0,34500000.0
2000-12-14,4980,4990,4840,4980,38234,171810.0,34500000.0
2000-12-15,4900,5300,4840,4890,117983,168705.0,34500000.0
2000-12-18,4800,4860,4680,4780,58973,164910.0,34500000.0
2000-12-19,4650,4700,4310,4320,72349,149040.0,34500000.0
2000-12-20,4200,4320,3900,3900,110381,134550.0,34500000.0
2000-12-21,3700,4130,3540,3910,116769,134895.0,34500000.0
2000-12-22,3910,4080,3500,3600,99818,124200.0,34500000.0
2000-12-26,3560,3870,3560,3760,88570,129720.0,34500000.0
2001-01-02,3500,4120,3500,4080,115790,140760.0,34500000.0
2001-01-03,3990,4480,3860,4370,153100,150765.0,34500000.0
2001-01-04,4800,4890,4700,4890,117373,168705.0,34500000.0
2001-01-05,5040,5360,4700,5200,289825,179400.0,34500000.0
2001-01-08,5180,5740,4990,5540,444560,191130.0,34500000.0
2001-01-09,5500,5650,5340,5610,385653,193545.0,34500000.0
2001-01-10,5550,6280,5500,5890,812144,203205.0,34500000.0
2001-01-11,6100,6590,5820,6590,521634,227355.0,34500000.0
2001-01-12,7200,7380,7100,7380,287250,254610.0,34500000.0
2001-01-15,8260,8260,8200,8260,166955,284970.0,34500000.0
2001-01-16,9250,9250,8300,9250,1627275,319125.0,34500000.0
2001-01-17,8890,9380,8400,9250,1090700,319125.0,34500000.0
2001-01-18,9250,9490,8600,8650,651747,298425.0,34500000.0
2001-01-19,8650,9150,7820,9100,784798,313950.0,34500000.0
2001-01-22,9000,10150,8800,10150,734278,350175.0,34500000.0
2001-01-26,10350,11200,9990,10400,770196,358800.0,34500000.0
2001-01-29,10300,10800,9550,10300,475240,355350.0,34500000.0
2001-01-30,10200,10500,9650,9750,406470,336375.0,34500000.0
2001-01-31,9300,10400,8750,10400,799801,358800.0,34500000.0
2001-02-01,9950,10300,9500,9520,626004,328440.0,34500000.0
2001-02-02,9510,9700,9010,9150,426768,315675.0,34500000.0
2001-02-05,8600,8650,8060,8060,304708,278070.0,34500000.0
2001-02-06,7700,8180,7510,8070,517715,278415.0,34500000.0
2001-02-07,8090,8140,7500,8040,245438,277380.0,34500000.0
2001-02-08,7920,8180,7860,7980,278335,275310.0,34500000.0
2001-02-09,8100,8100,7880,7980,193903,275310.0,34500000.0
2001-02-12,7800,8200,7710,8090,280052,279105.0,34500000.0
2001-02-13,8200,8290,7920,8170,211522,281865.0,34500000.0
2001-02-14,7950,8490,7950,8490,216667,292905.0,34500000.0
2001-02-15,8490,9360,8320,9100,609911,313950.0,34500000.0
2001-02-16,9100,9430,8520,8600,493128,296700.0,34500000.0
2001-02-19,8320,8500,8200,8410,173503,290145.0,34500000.0
2001-02-20,8410,8630,8360,8500,189754,293250.0,34500000.0
2001-02-21,8200,8290,8010,8030,155723,277035.0,34500000.0
2001-02-22,7800,7800,7090,7200,295167,248400.0,34500000.0
2001-02-23,6900,7490,6900,7300,139863,251850.0,34500000.0
2001-02-26,7300,7500,7300,7340,89026,253230.0,34500000.0
2001-02-27,7400,7520,6700,6750,233238,232875.0,34500000.0
2001-02-28,6510,6730,6430,6600,112563,227700.0,34500000.0
2001-03-02,6450,6610,5850,5900,153446,203550.0,34500000.0
2001-03-05,5450,6350,5310,6310,259569,217695.0,34500000.0
2001-03-06,6320,6700,6030,6050,310602,208725.0,34500000.0
2001-03-07,6110,6380,6040,6160,119138,212520.0,34500000.0
2001-03-08,6260,6560,6210,6500,190657,224250.0,34500000.0
2001-03-09,6310,6390,6210,6290,108307,217005.0,34500000.0
2001-03-12,5990,5990,5770,5780,149636,199410.0,34500000.0
2001-03-13,5400,5550,5150,5360,135000,184920.0,34500000.0
2001-03-14,5690,5800,5600,5790,113957,199755.0,34500000.0
2001-03-15,5390,5790,5320,5700,112099,196650.0,34500000.0
2001-03-16,5700,5890,5590,5600,76648,193200.0,34500000.0
2001-03-19,5500,5770,5500,5620,78053,193890.0,34500000.0
2001-03-20,5800,6200,5750,6200,203983,213900.0,34500000.0
2001-03-21,6110,6290,5810,6250,179256,215625.0,34500000.0
2001-03-22,6240,6240,6000,6060,64135,209070.0,34500000.0
2001-03-23,6140,6300,5900,6300,82255,217350.0,34500000.0
2001-03-26,6400,6880,6350,6880,185645,237360.0,34500000.0
2001-03-27,6880,6900,6520,6650,116752,229425.0,34500000.0
2001-03-28,6700,6850,6120,6330,87350,218385.0,34500000.0
2001-03-29,6010,6310,6010,6100,49475,210450.0,34500000.0
2001-03-30,6100,6260,5820,6000,111233,207000.0,34500000.0
2001-04-02,6100,6250,5900,6050,115520,208725.0,34500000.0
2001-04-03,5810,5990,5810,5900,52578,203550.0,34500000.0
2001-04-04,5900,6000,5660,5690,59493,196305.0,34500000.0
2001-04-06,6000,6250,5990,6030,90340,208035.0,34500000.0
2001-04-09,6030,6040,5790,5800,41155,200100.0,34500000.0
2001-04-10,5880,6040,5600,5600,44791,193200.0,34500000.0
2001-04-11,5820,5900,5700,5850,48440,201825.0,34500000.0
2001-04-12,5960,6000,5880,5920,71447,204240.0,34500000.0
2001-04-13,6020,6080,5910,5970,40257,205965.0,34500000.0
2001-04-16,5900,6000,5900,6000,19675,207000.0,34500000.0
2001-04-17,5720,6090,5720,5990,48274,206655.0,34500000.0
2001-04-18,6300,6610,6150,6580,241898,227010.0,34500000.0
2001-04-19,7160,7360,6990,7300,401063,251850.0,34500000.0
2001-04-20,7300,7300,6910,6950,238261,239775.0,34500000.0
2001-04-23,6900,7580,6860,7250,410479,250125.0,34500000.0
2001-04-24,7000,7190,6910,7020,137201,242190.0,34500000.0
2001-04-25,6900,7400,6900,7400,168895,255300.0,34500000.0
2001-04-26,7500,7580,7000,7000,109235,241500.0,34500000.0
2001-04-27,6910,7200,6900,7060,72717,243570.0,34500000.0
2001-04-30,7250,7900,7200,7900,460006,272550.0,34500000.0
2001-05-02,8200,8700,7750,7910,508091,272895.0,34500000.0
2001-05-03,7800,7800,7570,7660,174207,264270.0,34500000.0
2001-05-04,7400,8100,7350,8030,232787,277035.0,34500000.0
2001-05-07,8150,8300,7980,8060,303846,278070.0,34500000.0
2001-05-08,8000,8000,7770,7840,140678,270480.0,34500000.0
2001-05-09,7820,7820,7300,7310,279825,252195.0,34500000.0
2001-05-10,7150,7450,7150,7430,115616,256335.0,34500000.0
2001-05-11,7400,7400,7220,7250,86905,250125.0,34500000.0
2001-05-14,7150,7370,7150,7270,75283,250815.0,34500000.0
2001-05-15,7280,7280,7070,7090,84785,244605.0,34500000.0
2001-05-16,7120,7320,7050,7080,88290,244260.0,34500000.0
2001-05-17,7680,7680,7260,7330,135492,252885.0,34500000.0
2001-05-18,7200,7240,7050,7100,89157,244950.0,34500000.0
2001-05-21,7200,7300,7120,7130,94763,245985.0,34500000.0
2001-05-22,7300,7340,7110,7130,76996,245985.0,34500000.0
2001-05-23,7100,7190,7010,7030,89719,242535.0,34500000.0
2001-05-24,6950,6980,6810,6980,77132,240810.0,34500000.0
2001-05-25,6970,7080,6950,7000,96126,241500.0,34500000.0
2001-05-28,7000,7000,6930,6970,41546,240465.0,34500000.0
2001-05-29,6880,7020,6880,7020,52655,242190.0,34500000.0
2001-05-30,7000,7020,6910,6960,34479,240120.0,34500000.0
2001-05-31,6850,6870,6650,6780,81654,233910.0,34500000.0
2001-06-01,6880,6880,6530,6570,42033,226665.0,34500000.0
2001-06-04,6570,6600,6520,6550,40654,225975.0,34500000.0
2001-06-05,6550,6620,6480,6500,50948,224250.0,34500000.0
2001-06-07,6500,6600,6300,6310,44781,217695.0,34500000.0
2001-06-08,6420,6680,6370,6550,99641,225975.0,34500000.0
2001-06-11,6440,6500,6270,6450,30755,222525.0,34500000.0
2001-06-12,6300,6600,6300,6480,42063,223560.0,34500000.0
2001-06-13,6500,6540,6450,6530,31533,225285.0,34500000.0
2001-06-14,6590,6590,6400,6460,28245,222870.0,34500000.0
2001-06-15,6400,6420,6330,6420,39689,221490.0,34500000.0
2001-06-18,6400,6450,6350,6350,31833,219075.0,34500000.0
2001-06-19,6330,6350,6200,6270,57875,216315.0,34500000.0
2001-06-20,6250,6300,5980,5990,53330,206655.0,34500000.0
2001-06-21,6000,6130,5950,6030,32183,208035.0,34500000.0
2001-06-22,6030,6080,6000,6050,23832,208725.0,34500000.0
2001-06-25,5930,6040,5910,6020,36124,207690.0,34500000.0
2001-06-26,6020,6090,5800,5840,137370,201480.0,34500000.0
2001-06-27,5840,5990,5800,5950,39408,205275.0,34500000.0
2001-06-28,5900,5900,5810,5850,27899,201825.0,34500000.0
2001-06-29,6150,6450,6100,6450,103283,222525.0,34500000.0
2001-07-02,6400,6400,6150,6260,38981,215970.0,34500000.0
2001-07-03,6300,6360,6070,6090,33309,210105.0,34500000.0
2001-07-04,5990,6050,5850,5940,65553,204930.0,34500000.0
2001-07-05,5940,6030,5940,6000,26489,207000.0,34500000.0
2001-07-06,5850,5900,5600,5800,37226,200100.0,34500000.0
2001-07-09,5620,5620,5400,5430,42709,187335.0,34500000.0
2001-07-10,5450,5540,5450,5540,27549,191130.0,34500000.0
2001-07-11,5210,5350,5210,5220,35839,180090.0,34500000.0
2001-07-12,5320,5720,5320,5720,88014,197340.0,34500000.0
2001-07-13,5720,5800,5380,5400,47819,186300.0,34500000.0
2001-07-16,5350,5500,5300,5320,27210,183540.0,34500000.0
2001-07-18,5320,5370,5050,5100,33230,175950.0,34500000.0
2001-07-19,5000,5200,4950,5140,48997,177330.0,34500000.0
2001-07-20,5100,5180,5030,5100,24649,175950.0,34500000.0
2001-07-23,5000,5020,4870,4870,25938,168015.0,34500000.0
2001-07-24,4800,4980,4550,4920,35934,169740.0,34500000.0
2001-07-25,4800,5000,4700,5000,39535,172500.0,34500000.0
2001-07-26,5060,5200,5040,5060,26523,174570.0,34500000.0
2001-07-27,5120,5300,5100,5220,51050,180090.0,34500000.0
2001-07-30,5200,5220,5100,5220,28863,180090.0,34500000.0
2001-07-31,5120,5270,5120,5200,11781,179400.0,34500000.0
2001-08-01,5250,5480,5210,5400,44888,186300.0,34500000.0
2001-08-02,5470,5490,5200,5350,51597,184575.0,34500000.0
2001-08-03,5450,5800,5350,5800,28532,200100.0,34500000.0
2001-08-06,5690,5950,5400,5700,67172,196650.0,34500000.0
2001-08-07,5640,6200,5600,5830,114724,201135.0,34500000.0
2001-08-08,5870,5950,5670,5680,22581,195960.0,34500000.0
2001-08-09,5530,5650,5460,5470,32071,188715.0,34500000.0
2001-08-10,5500,5680,5500,5550,12113,191475.0,34500000.0
2001-08-13,5480,5630,5410,5500,11975,189750.0,34500000.0
2001-08-14,5510,5600,5440,5540,21812,191130.0,34500000.0
2001-08-16,5400,5500,5400,5420,26415,186990.0,34500000.0
2001-08-17,5420,5550,5420,5480,23962,189060.0,34500000.0
2001-08-20,5400,5410,5300,5310,24494,183195.0,34500000.0
2001-08-21,5250,5400,5250,5310,12992,183195.0,34500000.0
2001-08-22,5250,5450,5200,5440,32390,187680.0,34500000.0
2001-08-23,5550,5570,5240,5350,24102,184575.0,34500000.0
2001-08-24,5350,5390,5230,5330,24507,183885.0,34500000.0
2001-08-27,5400,5430,5290,5290,27023,182505.0,34500000.0
2001-08-28,5290,5290,5160,5200,19985,179400.0,34500000.0
2001-08-29,5150,5150,5020,5150,27379,177675.0,34500000.0
2001-08-30,4980,5030,4900,5000,30522,172500.0,34500000.0
2001-08-31,4850,4900,4780,4780,39771,164910.0,34500000.0
2001-09-03,5000,5000,4780,4850,17043,167325.0,34500000.0
2001-09-04,4890,4990,4710,4990,26067,172155.0,34500000.0
2001-09-05,4850,4930,4800,4800,32829,165600.0,34500000.0
2001-09-06,4700,5000,4700,4900,38386,169050.0,34500000.0
2001-09-07,4810,4900,4800,4900,15007,169050.0,34500000.0
2001-09-10,4940,5000,4750,4850,19044,167325.0,34500000.0
2001-09-11,4910,4940,4800,4820,7882,166290.0,34500000.0
2001-09-12,4250,4250,4250,4250,8315,146625.0,34500000.0
2001-09-13,3860,4180,3860,4100,67532,141450.0,34500000.0
