케이디켐(221980),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-01-26,15000,15050,14550,14650,36828,59110.0,4034800.0
2016-01-27,14650,14850,14350,14600,34791,58908.0,4034800.0
2016-01-28,14600,14900,14350,14800,19172,59715.0,4034800.0
2016-01-29,14700,15100,14700,15000,42194,60522.0,4034800.0
2016-02-01,15050,15200,14600,14750,17572,59513.0,4034800.0
2016-02-02,14800,14900,14600,14700,29971,59312.0,4034800.0
2016-02-03,14700,14800,14300,14350,30718,57899.0,4034800.0
2016-02-04,14400,14550,14150,14400,15157,58101.0,4034800.0
2016-02-05,14800,14800,14450,14700,22034,59312.0,4034800.0
2016-02-11,14200,14350,13900,13900,31552,56084.0,4034800.0
2016-02-12,13600,14000,13400,13500,27091,54470.0,4034800.0
2016-02-15,13600,14100,13550,13800,16818,55680.0,4034800.0
2016-02-16,13800,14250,13800,14200,14177,57294.0,4034800.0
2016-02-17,14200,14400,13750,13800,9257,55680.0,4034800.0
2016-02-18,14200,14200,13650,13750,18441,55478.0,4034800.0
2016-02-19,13800,13850,13550,13800,15696,55680.0,4034800.0
2016-02-22,13650,14750,13600,14600,29424,58908.0,4034800.0
2016-02-23,14450,15800,14450,14900,63942,60119.0,4034800.0
2016-02-24,15050,15050,14450,14550,29054,58706.0,4034800.0
2016-02-25,14500,14850,14500,14550,21728,58706.0,4034800.0
2016-02-26,14600,15000,14300,14400,25883,58101.0,4034800.0
2016-02-29,14550,14550,13950,14200,32712,57294.0,4034800.0
2016-03-02,14500,14500,14100,14100,16740,56891.0,4034800.0
2016-03-03,14350,14600,14100,14550,21053,58706.0,4034800.0
2016-03-04,14450,14650,14300,14550,16142,58706.0,4034800.0
2016-03-07,14500,14650,14250,14300,20516,57698.0,4034800.0
2016-03-08,14300,14300,13850,14000,23423,56487.0,4034800.0
2016-03-09,14000,15250,14000,14200,39478,57294.0,4034800.0
2016-03-10,14100,14350,14100,14200,5464,57294.0,4034800.0
2016-03-11,14150,14350,13950,14000,20175,56487.0,4034800.0
2016-03-14,14400,14450,14050,14350,21176,57899.0,4034800.0
2016-03-15,14350,14550,14300,14450,13114,58303.0,4034800.0
2016-03-16,14350,14500,14150,14250,18843,57496.0,4034800.0
2016-03-17,14300,14650,14250,14400,23545,58101.0,4034800.0
2016-03-18,14600,15050,14300,15000,80240,60522.0,4034800.0
2016-03-21,15000,15400,14850,15100,64457,60925.0,4034800.0
2016-03-22,15200,15300,14750,14750,38093,59513.0,4034800.0
2016-03-23,14900,15200,14800,14950,26368,60320.0,4034800.0
2016-03-24,15000,15850,14900,15450,72247,62338.0,4034800.0
2016-03-25,15500,15750,15300,15500,26659,62539.0,4034800.0
2016-03-28,15400,15650,14850,14900,53349,60119.0,4034800.0
2016-03-29,15100,15150,14800,14800,25644,59715.0,4034800.0
2016-03-30,14800,15150,14750,14850,19032,59917.0,4034800.0
2016-03-31,14850,15600,14850,15500,66947,62539.0,4034800.0
2016-04-01,15600,15700,15350,15450,37386,62338.0,4034800.0
2016-04-04,15450,15650,15400,15600,26316,62943.0,4034800.0
2016-04-05,15600,16000,15500,15900,38268,64153.0,4034800.0
2016-04-06,15900,15900,15700,15900,25890,64153.0,4034800.0
2016-04-07,15800,16050,15500,16000,70953,64557.0,4034800.0
2016-04-08,16000,16700,15800,16500,78633,66574.0,4034800.0
2016-04-11,16500,16800,16100,16550,31769,66776.0,4034800.0
2016-04-12,16500,16500,15600,16000,92916,64557.0,4034800.0
2016-04-14,16100,16450,15900,16150,34087,65162.0,4034800.0
2016-04-15,16150,16350,16100,16200,13959,65364.0,4034800.0
2016-04-18,15900,16300,15900,16250,12937,65566.0,4034800.0
2016-04-19,16350,16450,16000,16100,29834,64960.0,4034800.0
2016-04-20,16100,16350,16000,16250,17938,65566.0,4034800.0
2016-04-21,16250,16350,16100,16150,15744,65162.0,4034800.0
2016-04-22,16150,16350,16000,16000,15308,64557.0,4034800.0
2016-04-25,16000,16300,15900,16150,25505,65162.0,4034800.0
2016-04-26,16150,16300,15950,16000,19539,64557.0,4034800.0
2016-04-27,16000,16150,15900,16100,18341,64960.0,4034800.0
2016-04-28,16100,16250,15850,16000,29029,64557.0,4034800.0
2016-04-29,16200,16200,15850,16000,27398,64557.0,4034800.0
2016-05-02,16000,18350,16000,17300,110079,69802.0,4034800.0
2016-05-03,18000,21900,17450,17750,821659,71618.0,4034800.0
2016-05-04,17750,18500,17200,18500,110671,74644.0,4034800.0
2016-05-09,19300,20100,18800,19750,218137,79687.0,4034800.0
2016-05-10,19850,19900,18700,19600,160513,79082.0,4034800.0
2016-05-11,19300,20450,19100,20150,144546,81301.0,4034800.0
2016-05-12,20850,23350,20400,20700,483705,83520.0,4034800.0
2016-05-13,20400,21450,20350,20350,114911,82108.0,4034800.0
2016-05-16,21500,22900,20600,21100,313172,85134.0,4034800.0
2016-05-17,21300,21600,19750,20300,93997,81906.0,4034800.0
2016-05-18,20000,20550,18700,18950,130146,76459.0,4034800.0
2016-05-19,18950,19750,18600,19150,66521,77266.0,4034800.0
2016-05-20,18900,19300,18750,19200,28866,77468.0,4034800.0
2016-05-23,19050,19250,18600,18600,42118,75047.0,4034800.0
2016-05-24,18800,18850,17950,18600,51780,75047.0,4034800.0
2016-05-25,18800,19150,18300,18900,26268,76258.0,4034800.0
2016-05-26,19350,19450,18800,18800,25900,75854.0,4034800.0
2016-05-27,19200,19200,18150,18150,21838,73232.0,4034800.0
2016-05-30,18250,18400,17500,18350,29428,74039.0,4034800.0
2016-05-31,18150,18700,18050,18300,9259,73837.0,4034800.0
2016-06-01,18300,18550,17850,18100,12774,73030.0,4034800.0
2016-06-02,18400,18400,17600,17600,18501,71012.0,4034800.0
2016-06-03,17600,18000,17300,17950,29849,72425.0,4034800.0
2016-06-07,17900,18450,17900,18350,20832,74039.0,4034800.0
2016-06-08,18500,18550,17850,18150,27652,73232.0,4034800.0
2016-06-09,17950,18250,17900,18250,27058,73635.0,4034800.0
2016-06-10,18250,18500,18000,18500,18950,74644.0,4034800.0
2016-06-13,18300,18550,17350,17550,47118,70811.0,4034800.0
2016-06-14,17350,17800,17250,17800,19320,71819.0,4034800.0
2016-06-15,17600,18200,17600,18100,13553,73030.0,4034800.0
2016-06-16,18000,18350,17500,17850,23251,72021.0,4034800.0
2016-06-17,18200,18450,17900,18250,36381,73635.0,4034800.0
2016-06-20,18400,18650,18250,18500,15841,74644.0,4034800.0
2016-06-21,18500,18700,18250,18550,19249,74846.0,4034800.0
2016-06-22,18600,19150,18550,19150,29962,77266.0,4034800.0
2016-06-23,19100,19100,18550,19000,40562,76661.0,4034800.0
2016-06-24,19350,19450,17700,18050,46148,72828.0,4034800.0
2016-06-27,17400,18450,16700,18450,53307,74442.0,4034800.0
2016-06-28,18100,18750,18100,18450,19378,74442.0,4034800.0
2016-06-29,18650,18650,18250,18500,14210,74644.0,4034800.0
2016-06-30,18500,18500,18100,18450,26566,74442.0,4034800.0
2016-07-01,18450,18750,17950,18450,24582,74442.0,4034800.0
2016-07-04,18450,18500,18200,18350,12081,74039.0,4034800.0
2016-07-05,18500,18650,18050,18050,20674,72828.0,4034800.0
2016-07-06,18150,18200,17750,18000,17567,72626.0,4034800.0
2016-07-07,18000,18250,17950,18100,9555,73030.0,4034800.0
2016-07-08,18500,18500,17700,17850,10553,72021.0,4034800.0
2016-07-11,17850,18100,17700,17950,9284,72425.0,4034800.0
2016-07-12,17800,18150,17550,17950,19571,72425.0,4034800.0
2016-07-13,18000,18100,17500,17700,22572,71416.0,4034800.0
2016-07-14,17600,17950,17550,17600,17103,71012.0,4034800.0
2016-07-15,17600,17750,17500,17500,13629,70609.0,4034800.0
2016-07-18,17750,17800,17450,17550,6961,70811.0,4034800.0
2016-07-19,17800,17850,17450,17850,13258,72021.0,4034800.0
2016-07-20,17850,18000,17750,18000,9773,72626.0,4034800.0
2016-07-21,17950,18050,17600,17600,12431,71012.0,4034800.0
2016-07-22,17750,17950,17550,17750,7960,71618.0,4034800.0
2016-07-25,17600,17950,17450,17750,22418,71618.0,4034800.0
2016-07-26,17550,17950,17500,17950,12062,72425.0,4034800.0
2016-07-27,17950,18750,17750,18700,26628,75451.0,4034800.0
2016-07-28,18700,19300,18650,18950,21950,76459.0,4034800.0
2016-07-29,19200,19200,18500,18700,9979,75451.0,4034800.0
2016-08-01,18700,18750,18250,18500,14522,74644.0,4034800.0
2016-08-02,18350,18850,18300,18650,12096,75249.0,4034800.0
2016-08-03,18700,18950,18250,18900,16305,76258.0,4034800.0
2016-08-04,19100,19150,18750,18950,18935,76459.0,4034800.0
2016-08-05,19250,19700,18950,18950,34959,76459.0,4034800.0
2016-08-08,19050,19400,18950,19050,16518,76863.0,4034800.0
2016-08-09,18850,19400,18850,19200,14146,77468.0,4034800.0
2016-08-10,19250,19400,19000,19000,14335,76661.0,4034800.0
2016-08-11,18900,19200,18850,19150,11685,77266.0,4034800.0
2016-08-12,19300,19400,19050,19350,13435,78073.0,4034800.0
2016-08-16,19350,19700,19200,19300,16631,77872.0,4034800.0
2016-08-17,19000,19400,19000,19250,16604,77670.0,4034800.0
2016-08-18,19050,19350,18950,18950,14163,76459.0,4034800.0
2016-08-19,18850,19200,18750,18800,9755,75854.0,4034800.0
2016-08-22,18800,19100,18400,18950,10546,76459.0,4034800.0
2016-08-23,19050,19050,18700,18700,7512,75451.0,4034800.0
2016-08-24,18650,18950,18450,18950,6766,76459.0,4034800.0
2016-08-25,18600,19150,18600,18900,6594,76258.0,4034800.0
2016-08-26,19000,19150,18700,18800,9408,75854.0,4034800.0
2016-08-29,18550,18950,18350,18800,9704,75854.0,4034800.0
2016-08-30,18600,19150,18600,19100,9661,77065.0,4034800.0
2016-08-31,18750,19200,18750,19100,6084,77065.0,4034800.0
2016-09-01,19250,19250,18850,18850,3180,76056.0,4034800.0
2016-09-02,18850,19100,18700,18900,5391,76258.0,4034800.0
2016-09-05,18700,19100,18600,18750,4698,75652.0,4034800.0
2016-09-06,18750,19000,18550,18750,6217,75652.0,4034800.0
2016-09-07,18600,18750,18400,18400,8322,74240.0,4034800.0
2016-09-08,18250,18500,17750,18150,14931,73232.0,4034800.0
2016-09-09,18000,18650,17850,18000,16100,72626.0,4034800.0
2016-09-12,17950,18400,17700,18050,4497,72828.0,4034800.0
2016-09-13,18350,18350,17950,18100,3916,73030.0,4034800.0
2016-09-19,18400,18700,17900,18650,4903,75249.0,4034800.0
2016-09-20,18300,18950,18300,18850,3467,76056.0,4034800.0
2016-09-21,18800,19000,18650,18800,6123,75854.0,4034800.0
2016-09-22,18750,19000,18700,18800,8180,75854.0,4034800.0
2016-09-23,18800,18950,18750,18900,4927,76258.0,4034800.0
2016-09-26,18950,19000,18600,18900,9685,76258.0,4034800.0
2016-09-27,18950,18950,18550,18750,5807,75652.0,4034800.0
2016-09-28,18600,18900,18400,18600,5090,75047.0,4034800.0
2016-09-29,18750,19200,18600,18600,10473,75047.0,4034800.0
2016-09-30,18900,18900,18250,18500,6214,74644.0,4034800.0
2016-10-04,18500,18800,18300,18500,3849,74644.0,4034800.0
2016-10-05,18500,18550,18150,18450,9955,74442.0,4034800.0
2016-10-06,18350,18600,18100,18400,5558,74240.0,4034800.0
2016-10-07,18500,18500,18150,18400,4187,74240.0,4034800.0
2016-10-10,18400,18450,18000,18300,17520,73837.0,4034800.0
2016-10-11,18400,18400,18050,18100,8433,73030.0,4034800.0
2016-10-12,18400,18400,18000,18000,10852,72626.0,4034800.0
2016-10-13,18250,18500,18000,18200,8336,73433.0,4034800.0
2016-10-14,18400,18500,18200,18450,7490,74442.0,4034800.0
2016-10-17,18100,18500,18100,18400,6291,74240.0,4034800.0
2016-10-18,18150,18500,18150,18500,5964,74644.0,4034800.0
2016-10-19,18600,18800,18250,18350,7123,74039.0,4034800.0
2016-10-20,18500,18500,17950,18350,12537,74039.0,4034800.0
2016-10-21,18350,19250,18300,19150,47065,77266.0,4034800.0
2016-10-24,19600,20400,19400,19650,59656,79284.0,4034800.0
2016-10-25,19900,19950,19000,19350,28457,78073.0,4034800.0
2016-10-26,19800,19800,18500,19100,24285,77065.0,4034800.0
2016-10-27,19050,19400,18950,19400,11800,78275.0,4034800.0
2016-10-28,19550,19550,18950,19100,8247,77065.0,4034800.0
2016-10-31,19100,19200,18250,18250,12607,73635.0,4034800.0
2016-11-01,18350,18850,18000,18500,8493,74644.0,4034800.0
2016-11-02,18750,18750,18000,18400,8428,74240.0,4034800.0
2016-11-03,18350,18350,18050,18100,10307,73030.0,4034800.0
2016-11-04,18000,18300,18000,18150,3443,73232.0,4034800.0
2016-11-07,18050,18300,18000,18250,11831,73635.0,4034800.0
2016-11-08,18250,18800,18000,18600,14753,75047.0,4034800.0
2016-11-09,18650,18700,16800,18400,33038,74240.0,4034800.0
2016-11-10,18500,18750,18050,18750,13517,75652.0,4034800.0
2016-11-11,18700,18900,18300,18850,8425,76056.0,4034800.0
2016-11-14,18650,18800,18150,18400,11638,74240.0,4034800.0
2016-11-15,18300,18500,18100,18450,6423,74442.0,4034800.0
2016-11-16,18650,18650,18200,18200,3948,73433.0,4034800.0
2016-11-17,18100,18300,18000,18150,3608,73232.0,4034800.0
2016-11-18,18200,18300,18000,18000,6461,72626.0,4034800.0
2016-11-21,18300,18550,18000,18500,6767,74644.0,4034800.0
2016-11-22,18250,18600,18150,18500,3952,74644.0,4034800.0
2016-11-23,18500,18500,18000,18000,5167,72626.0,4034800.0
2016-11-24,18350,18350,17950,18150,2173,73232.0,4034800.0
2016-11-25,17800,18200,17800,17850,4817,72021.0,4034800.0
2016-11-28,18000,18250,17800,18200,7425,73433.0,4034800.0
2016-11-29,17850,18300,17800,18250,5868,73635.0,4034800.0
2016-11-30,18250,18250,18000,18200,584,73433.0,4034800.0
2016-12-01,18000,18300,17850,18100,5432,73030.0,4034800.0
2016-12-02,18300,18300,17850,18200,1562,73433.0,4034800.0
2016-12-05,18200,18200,17800,18100,2725,73030.0,4034800.0
2016-12-06,17900,18150,17800,18150,3496,73232.0,4034800.0
2016-12-07,18000,18200,17900,18100,9353,73030.0,4034800.0
2016-12-08,18200,18250,17900,18150,3973,73232.0,4034800.0
2016-12-09,18150,18150,17850,18150,3755,73232.0,4034800.0
2016-12-12,18150,18150,17850,17850,4975,72021.0,4034800.0
2016-12-13,18100,18150,17750,18100,6885,73030.0,4034800.0
2016-12-14,18150,18150,17500,17650,25418,71214.0,4034800.0
2016-12-15,17750,17750,17400,17650,12617,71214.0,4034800.0
2016-12-16,17750,17750,17500,17650,2487,71214.0,4034800.0
2016-12-19,17700,17800,17500,17700,9808,71416.0,4034800.0
2016-12-20,17850,17950,17700,17850,8520,72021.0,4034800.0
2016-12-21,18000,18200,17900,18000,6300,72626.0,4034800.0
2016-12-22,18000,18200,18000,18150,7712,73232.0,4034800.0
2016-12-23,18200,18300,18050,18200,13888,73433.0,4034800.0
2016-12-26,18400,18500,18200,18300,13675,73837.0,4034800.0
2016-12-27,18400,18850,18400,18600,16185,75047.0,4034800.0
2016-12-28,18500,18500,17750,18400,12579,74240.0,4034800.0
2016-12-29,18250,18350,17850,18300,7440,73837.0,4034800.0
2017-01-02,18300,18300,17850,18150,5680,73232.0,4034800.0
2017-01-03,18000,18250,17850,18250,1439,73635.0,4034800.0
2017-01-04,18250,18250,17950,18100,3178,73030.0,4034800.0
2017-01-05,18050,18150,17950,17950,3570,72425.0,4034800.0
2017-01-06,18200,18200,17850,17950,4651,72425.0,4034800.0
2017-01-09,18150,18150,17850,17950,1412,72425.0,4034800.0
2017-01-10,18100,18100,17750,17900,6103,72223.0,4034800.0
2017-01-11,18100,18100,17750,17950,5537,72425.0,4034800.0
2017-01-12,18000,18000,17700,17700,4699,71416.0,4034800.0
2017-01-13,17000,17700,17000,17600,5342,71012.0,4034800.0
2017-01-16,17800,17800,17450,17600,3019,71012.0,4034800.0
2017-01-17,17800,17800,17500,17700,1872,71416.0,4034800.0
2017-01-18,17750,17750,17500,17550,2697,70811.0,4034800.0
2017-01-19,17750,17750,17400,17650,1952,71214.0,4034800.0
2017-01-20,17750,17800,17450,17750,1153,71618.0,4034800.0
2017-01-23,17750,17750,17500,17600,1341,71012.0,4034800.0
2017-01-24,17700,17900,17550,17900,2493,72223.0,4034800.0
2017-01-25,17600,17900,17600,17850,695,72021.0,4034800.0
2017-01-26,17900,17900,17700,17850,1565,72021.0,4034800.0
2017-01-31,17800,17950,17650,17900,2511,72223.0,4034800.0
2017-02-01,17900,17900,17650,17850,1314,72021.0,4034800.0
2017-02-02,17750,17800,17650,17800,1674,71819.0,4034800.0
2017-02-03,17850,17850,17500,17650,1468,71214.0,4034800.0
2017-02-06,17650,17700,17450,17700,1647,71416.0,4034800.0
2017-02-07,17600,17600,17350,17600,4377,71012.0,4034800.0
2017-02-08,17500,17600,17300,17300,2005,69802.0,4034800.0
2017-02-09,17350,17400,17100,17350,3643,70004.0,4034800.0
2017-02-10,17150,17450,17150,17450,2116,70407.0,4034800.0
2017-02-13,17450,17450,17350,17450,81,70407.0,4034800.0
2017-02-14,17400,17600,17400,17500,786,70609.0,4034800.0
2017-02-15,17550,17600,17400,17550,611,70811.0,4034800.0
2017-02-16,17600,17600,17450,17600,341,71012.0,4034800.0
2017-02-17,17600,17600,17300,17500,3056,70609.0,4034800.0
2017-02-20,17300,17450,17050,17450,2739,70407.0,4034800.0
2017-02-21,17200,17500,17200,17250,2307,69600.0,4034800.0
2017-02-22,17250,17500,17200,17250,1771,69600.0,4034800.0
2017-02-23,17300,17400,17200,17200,3857,69399.0,4034800.0
2017-02-24,17300,17400,17100,17100,2369,68995.0,4034800.0
2017-02-27,17450,17450,17000,17400,3028,70206.0,4034800.0
2017-02-28,17400,17400,16800,16950,7739,68390.0,4034800.0
2017-03-02,17150,17150,16950,17150,2932,69197.0,4034800.0
2017-03-03,17000,17100,16800,17100,2609,68995.0,4034800.0
2017-03-06,17050,17050,16750,17050,2127,68793.0,4034800.0
2017-03-07,16850,17200,16800,17200,2433,69399.0,4034800.0
2017-03-08,17150,17250,16850,17250,2296,69600.0,4034800.0
2017-03-09,17200,17250,16850,17250,1988,69600.0,4034800.0
2017-03-10,17250,17250,16850,16850,2420,67986.0,4034800.0
2017-03-13,17000,17100,16950,17100,1691,68995.0,4034800.0
2017-03-14,17150,17150,16900,17150,1625,69197.0,4034800.0
2017-03-15,16900,17200,16900,17200,1720,69399.0,4034800.0
2017-03-16,16950,17200,16850,17200,3144,69399.0,4034800.0
2017-03-17,17200,17200,16950,17200,1181,69399.0,4034800.0
2017-03-20,17200,17450,17000,17400,3261,70206.0,4034800.0
2017-03-21,17450,17450,17000,17350,4178,70004.0,4034800.0
2017-03-22,17350,17600,17350,17450,6828,70407.0,4034800.0
2017-03-23,17450,17850,17350,17600,17278,71012.0,4034800.0
2017-03-24,17750,17750,17400,17700,1575,71416.0,4034800.0
2017-03-27,17700,17700,17200,17700,5518,71416.0,4034800.0
2017-03-28,17750,17750,17350,17750,5328,71618.0,4034800.0
2017-03-29,17750,17800,17550,17800,1355,71819.0,4034800.0
2017-03-30,17800,17850,17550,17850,2654,72021.0,4034800.0
2017-03-31,17800,17850,17450,17650,3298,71214.0,4034800.0
2017-04-03,17800,17800,17500,17750,3671,71618.0,4034800.0
2017-04-04,17750,18050,17600,18050,9541,72828.0,4034800.0
2017-04-05,18050,18200,17800,18000,5687,72626.0,4034800.0
2017-04-06,18150,18150,17850,18150,3122,73232.0,4034800.0
2017-04-07,18250,18250,17900,17900,2853,72223.0,4034800.0
2017-04-10,17900,17950,17300,17800,10957,71819.0,4034800.0
2017-04-11,17500,17750,17500,17650,4819,71214.0,4034800.0
2017-04-12,17500,17850,17500,17850,1901,72021.0,4034800.0
2017-04-13,17600,17900,17600,17900,1554,72223.0,4034800.0
2017-04-14,18150,18150,17700,17900,2095,72223.0,4034800.0
2017-04-17,17750,18200,17750,18150,2271,73232.0,4034800.0
2017-04-18,17900,18200,17900,18150,2220,73232.0,4034800.0
2017-04-19,17900,18200,17850,18150,4559,73232.0,4034800.0
2017-04-20,18050,18150,17900,18000,1673,72626.0,4034800.0
2017-04-21,18000,18250,17950,18250,3988,73635.0,4034800.0
2017-04-24,18050,18250,17900,18200,3134,73433.0,4034800.0
2017-04-25,18200,18300,17950,18200,3417,73433.0,4034800.0
2017-04-26,18300,18300,18000,18100,487,73030.0,4034800.0
2017-04-27,18000,18250,17850,18200,4235,73433.0,4034800.0
2017-04-28,18200,18200,17850,18000,3233,72626.0,4034800.0
2017-05-02,17900,18000,17650,17700,4947,71416.0,4034800.0
2017-05-04,17950,18000,17700,18000,3005,72626.0,4034800.0
2017-05-08,18000,18000,17800,18000,4615,72626.0,4034800.0
2017-05-10,17800,18000,17800,17900,3313,72223.0,4034800.0
2017-05-11,18000,18100,17800,18050,5213,72828.0,4034800.0
2017-05-12,18250,18250,17900,17900,2104,72223.0,4034800.0
2017-05-15,17900,18000,17400,17450,10178,70407.0,4034800.0
2017-05-16,17250,17700,17250,17400,8726,70206.0,4034800.0
2017-05-17,17400,17450,17000,17250,6218,69600.0,4034800.0
2017-05-18,17100,17300,17050,17150,11384,69197.0,4034800.0
2017-05-19,17100,17200,17000,17200,3955,69399.0,4034800.0
2017-05-22,17100,17250,16800,16800,12183,67785.0,4034800.0
2017-05-23,16750,17150,16700,16950,3790,68390.0,4034800.0
2017-05-24,16950,17100,16800,16800,3782,67785.0,4034800.0
2017-05-25,17150,17150,16800,16900,5150,68188.0,4034800.0
2017-05-26,16800,17150,16800,17100,4752,68995.0,4034800.0
2017-05-29,17100,17200,16850,17050,2780,68793.0,4034800.0
2017-05-30,17150,17150,16850,16850,2262,67986.0,4034800.0
2017-05-31,17000,17000,16650,16950,6423,68390.0,4034800.0
2017-06-01,17050,17050,16800,16800,3394,67785.0,4034800.0
2017-06-02,17000,17000,16600,16750,11996,67583.0,4034800.0
2017-06-05,16800,17000,16600,16800,12916,67785.0,4034800.0
2017-06-07,16650,16750,16600,16700,3173,67381.0,4034800.0
2017-06-08,16600,16800,16600,16800,4376,67785.0,4034800.0
2017-06-09,16700,16750,16600,16750,5441,67583.0,4034800.0
2017-06-12,16800,17000,16750,16800,3940,67785.0,4034800.0
2017-06-13,16900,17000,16700,16950,6172,68390.0,4034800.0
2017-06-14,17000,17000,16750,17000,3780,68592.0,4034800.0
2017-06-15,17000,17100,16850,16900,3719,68188.0,4034800.0
2017-06-16,16700,16850,16600,16600,7808,66978.0,4034800.0
2017-06-19,16600,16950,16550,16850,8457,67986.0,4034800.0
2017-06-20,16700,16950,16550,16950,3531,68390.0,4034800.0
2017-06-21,16800,16850,16600,16700,3691,67381.0,4034800.0
2017-06-22,16800,16950,16600,16900,2919,68188.0,4034800.0
2017-06-23,16800,16800,16600,16700,5321,67381.0,4034800.0
2017-06-26,16700,16750,16400,16550,15541,66776.0,4034800.0
2017-06-27,16550,16650,16250,16500,11882,66574.0,4034800.0
2017-06-28,16450,16450,16300,16300,4067,65767.0,4034800.0
2017-06-29,16250,16450,16150,16400,3973,66171.0,4034800.0
2017-06-30,16300,16450,16250,16450,966,66372.0,4034800.0
2017-07-03,16450,16600,16300,16600,4877,66978.0,4034800.0
2017-07-04,16550,16550,16300,16300,3706,65767.0,4034800.0
2017-07-05,16300,16300,16100,16300,8718,65767.0,4034800.0
2017-07-06,16300,16450,16100,16450,2755,66372.0,4034800.0
2017-07-07,16450,16500,16150,16200,2656,65364.0,4034800.0
2017-07-10,16400,16400,16150,16150,696,65162.0,4034800.0
2017-07-11,16300,16300,16100,16150,3145,65162.0,4034800.0
2017-07-12,16150,16250,16150,16150,2331,65162.0,4034800.0
2017-07-13,16150,16150,16000,16000,3974,64557.0,4034800.0
2017-07-14,16000,16050,15950,16050,2721,64759.0,4034800.0
2017-07-17,16200,16350,15950,16350,1877,65969.0,4034800.0
2017-07-18,16300,16300,15950,16000,1866,64557.0,4034800.0
2017-07-19,16200,16200,15950,15950,1449,64355.0,4034800.0
2017-07-20,15950,16150,15950,16050,3084,64759.0,4034800.0
2017-07-21,16000,16450,15950,16400,2993,66171.0,4034800.0
2017-07-24,16400,16500,16150,16500,3146,66574.0,4034800.0
2017-07-25,16400,16500,16300,16450,1668,66372.0,4034800.0
2017-07-26,16500,16500,16250,16300,705,65767.0,4034800.0
2017-07-27,16200,16250,16150,16200,1986,65364.0,4034800.0
2017-07-28,16050,16350,16050,16250,2562,65566.0,4034800.0
2017-07-31,16350,16350,16050,16250,1154,65566.0,4034800.0
2017-08-01,16250,16250,15950,16150,5621,65162.0,4034800.0
2017-08-02,16050,16250,16050,16100,1102,64960.0,4034800.0
2017-08-03,16000,16150,15950,16150,2713,65162.0,4034800.0
2017-08-04,16000,16150,15750,16050,8095,64759.0,4034800.0
