뉴로스(126870),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-05-04,4011,4037,3966,3992,24752,39517.0,5033994.0
2012-05-07,4017,4017,3773,3809,57361,37705.0,5033994.0
2012-05-08,3839,3895,3757,3804,43361,37654.0,5033994.0
2012-05-09,3803,3834,3630,3671,41149,36345.0,5033994.0
2012-05-10,3727,3889,3635,3890,29641,38510.0,5033994.0
2012-05-11,3884,3889,3701,3839,18378,38007.0,5033994.0
2012-05-14,3900,3900,3666,3839,32160,38007.0,5033994.0
2012-05-15,3854,3879,3661,3865,21018,38258.0,5033994.0
2012-05-16,3813,3813,3645,3717,28895,36798.0,5033994.0
2012-05-17,3742,3742,3584,3585,35074,35490.0,5033994.0
2012-05-18,3432,3432,3208,3280,74609,32469.0,5033994.0
2012-05-21,3295,3406,2974,3178,117815,31462.0,5033994.0
2012-05-22,3254,3305,3086,3290,109375,32570.0,5033994.0
2012-05-23,3305,3330,3218,3331,47401,32973.0,5033994.0
2012-05-24,3584,3661,3249,3351,166707,33174.0,5033994.0
2012-05-25,3406,3417,3213,3300,34349,32671.0,5033994.0
2012-05-29,3345,3462,3325,3458,39147,34231.0,5033994.0
2012-05-30,3462,3559,3381,3453,20835,34181.0,5033994.0
2012-05-31,3442,3442,3335,3422,18911,33879.0,5033994.0
2012-06-01,3432,3452,3345,3371,23834,33375.0,5033994.0
2012-06-04,3279,3279,3137,3148,43699,31160.0,5033994.0
2012-06-05,3218,3244,3127,3198,34980,31664.0,5033994.0
2012-06-07,3249,3269,3137,3153,53270,31211.0,5033994.0
2012-06-08,3172,3172,3111,3148,29607,31160.0,5033994.0
2012-06-11,3193,3371,3162,3341,41172,33073.0,5033994.0
2012-06-12,3335,3549,3279,3549,44095,35137.0,5033994.0
2012-06-13,3589,3595,3483,3580,25502,35439.0,5033994.0
2012-06-14,3508,3605,3478,3565,22624,35288.0,5033994.0
2012-06-15,3610,3610,3508,3539,18251,35037.0,5033994.0
2012-06-18,3513,3574,3483,3519,16167,34835.0,5033994.0
2012-06-19,3554,3554,3396,3473,17066,34382.0,5033994.0
2012-06-20,3534,3701,3432,3666,44335,36295.0,5033994.0
2012-06-21,3691,3696,3569,3661,38130,36245.0,5033994.0
2012-06-22,3605,3661,3528,3529,32408,34936.0,5033994.0
2012-06-25,3559,3559,3432,3463,16035,34281.0,5033994.0
2012-06-26,3462,3686,3462,3610,44413,35741.0,5033994.0
2012-06-27,3635,3645,3539,3646,47499,36094.0,5033994.0
2012-06-28,3696,3889,3600,3849,130324,38107.0,5033994.0
2012-06-29,3864,3915,3762,3890,32987,38510.0,5033994.0
2012-07-02,3910,4017,3808,3875,28081,38359.0,5033994.0
2012-07-03,3874,3950,3818,3931,33387,38913.0,5033994.0
2012-07-04,3940,3940,3788,3870,21587,38309.0,5033994.0
2012-07-05,3895,3986,3813,3941,36248,39013.0,5033994.0
2012-07-06,3889,3996,3864,3865,67762,38258.0,5033994.0
2012-07-09,3910,3956,3844,3920,27222,38812.0,5033994.0
2012-07-10,3874,4057,3874,4012,56945,39718.0,5033994.0
2012-07-11,4078,4413,3976,4322,129723,42789.0,5033994.0
2012-07-12,4245,4306,4001,4002,94295,39618.0,5033994.0
2012-07-13,3925,4001,3823,3992,34061,39517.0,5033994.0
2012-07-16,3996,4006,3895,3941,12875,39013.0,5033994.0
2012-07-17,4006,4006,3869,3966,27984,39265.0,5033994.0
2012-07-18,3966,3966,3717,3717,31063,36798.0,5033994.0
2012-07-19,3722,3752,3605,3636,28018,35993.0,5033994.0
2012-07-20,3645,3711,3625,3636,34932,35993.0,5033994.0
2012-07-23,3635,3635,3534,3620,16932,35842.0,5033994.0
2012-07-24,3493,3605,3356,3504,34326,34684.0,5033994.0
2012-07-25,3493,3493,3361,3442,11098,34080.0,5033994.0
2012-07-26,3411,3467,3381,3442,9878,34080.0,5033994.0
2012-07-27,3406,3478,3406,3417,30057,33828.0,5033994.0
2012-07-30,3437,3457,3396,3412,10523,33778.0,5033994.0
2012-07-31,3493,3493,3376,3407,7915,33728.0,5033994.0
2012-08-01,3422,3422,3376,3407,10996,33728.0,5033994.0
2012-08-02,3406,3676,3406,3539,37674,35037.0,5033994.0
2012-08-03,3539,3584,3462,3519,7877,34835.0,5033994.0
2012-08-06,3528,3589,3483,3509,17094,34735.0,5033994.0
2012-08-07,3554,3605,3467,3549,13590,35137.0,5033994.0
2012-08-08,3635,3783,3559,3702,74631,36647.0,5033994.0
2012-08-09,3737,3773,3656,3763,41031,37252.0,5033994.0
2012-08-10,3818,3818,3711,3763,11527,37252.0,5033994.0
2012-08-13,3762,3762,3635,3676,12501,36396.0,5033994.0
2012-08-14,3722,3732,3625,3692,20778,36547.0,5033994.0
2012-08-16,3706,3711,3635,3692,16796,36547.0,5033994.0
2012-08-17,3757,3757,3666,3712,8053,36748.0,5033994.0
2012-08-20,3778,3798,3696,3763,11626,37252.0,5033994.0
2012-08-21,3762,3778,3711,3742,10339,37050.0,5033994.0
2012-08-22,3742,3757,3615,3702,16527,36647.0,5033994.0
2012-08-23,3742,3752,3645,3712,12527,36748.0,5033994.0
2012-08-24,3767,3788,3640,3697,16428,36597.0,5033994.0
2012-08-27,3696,3711,3605,3697,15337,36597.0,5033994.0
2012-08-28,3732,3915,3645,3854,27040,38158.0,5033994.0
2012-08-29,3889,3971,3767,3951,59815,39114.0,5033994.0
2012-08-30,4032,4032,3859,3966,27426,39265.0,5033994.0
2012-08-31,3976,4149,3925,4119,54131,40775.0,5033994.0
2012-09-03,4144,4266,4073,4119,57585,40775.0,5033994.0
2012-09-04,4118,4200,4057,4104,38810,40624.0,5033994.0
2012-09-05,4093,4195,4052,4154,24190,41128.0,5033994.0
2012-09-06,4169,4271,4134,4200,41268,41581.0,5033994.0
2012-09-07,4235,4347,4169,4312,35448,42688.0,5033994.0
2012-09-10,4373,4373,4271,4322,41030,42789.0,5033994.0
2012-09-11,4362,4362,4235,4353,20340,43091.0,5033994.0
2012-09-12,4393,4393,4286,4353,28440,43091.0,5033994.0
2012-09-13,4312,4322,4230,4271,28792,42286.0,5033994.0
2012-09-14,4322,4322,4118,4256,35209,42135.0,5033994.0
2012-09-17,4271,4271,3930,4058,49182,40171.0,5033994.0
2012-09-18,4067,4067,3884,3966,62186,39265.0,5033994.0
2012-09-19,3920,3991,3864,3890,81841,38510.0,5033994.0
2012-09-20,3940,4017,3889,3976,27006,39366.0,5033994.0
2012-09-21,4017,4088,3940,4063,39745,40222.0,5033994.0
2012-09-24,4083,4083,4001,4063,49464,40222.0,5033994.0
2012-09-25,4062,4062,3976,4037,12736,39970.0,5033994.0
2012-09-26,3915,4001,3915,3992,24468,39517.0,5033994.0
2012-09-27,3981,4042,3940,3997,33304,39567.0,5033994.0
2012-09-28,4052,4169,4037,4170,35904,41279.0,5033994.0
2012-10-02,4195,4195,4118,4175,54336,41329.0,5033994.0
2012-10-04,4174,4174,4083,4134,22418,40926.0,5033994.0
2012-10-05,4098,4144,4088,4144,17159,41027.0,5033994.0
2012-10-08,4230,4230,4052,4078,35582,40373.0,5033994.0
2012-10-09,4067,4113,3991,4058,20326,40171.0,5033994.0
2012-10-10,4062,4144,3996,4129,24248,40876.0,5033994.0
2012-10-11,4210,4347,4123,4343,57326,42990.0,5033994.0
2012-10-12,4444,4840,4398,4576,233463,45306.0,5033994.0
2012-10-15,4601,4718,4474,4556,73596,45105.0,5033994.0
2012-10-16,4662,4678,4505,4678,19164,46313.0,5033994.0
2012-10-17,4728,4728,4561,4648,21309,46011.0,5033994.0
2012-10-18,4632,4678,4423,4531,31865,44853.0,5033994.0
2012-10-19,4439,4606,4413,4597,19943,45507.0,5033994.0
2012-10-22,4596,4627,4576,4602,11379,45558.0,5033994.0
2012-10-23,4556,4606,4474,4561,13850,45155.0,5033994.0
2012-10-24,4561,4561,4474,4520,1411,44752.0,5033994.0
2012-10-25,4520,4520,4322,4480,36351,44349.0,5033994.0
2012-10-26,4474,4474,4347,4470,11992,44249.0,5033994.0
2012-10-29,4500,4500,4271,4419,22005,43745.0,5033994.0
2012-10-30,4464,4464,4373,4419,3652,43745.0,5033994.0
2012-10-31,4373,4454,4240,4307,17387,42638.0,5033994.0
2012-11-01,4306,4306,4184,4220,9597,41782.0,5033994.0
2012-11-02,4169,4230,4047,4093,23256,40524.0,5033994.0
2012-11-05,4067,4154,3945,4098,9814,40574.0,5033994.0
2012-11-06,4113,4118,4032,4109,4784,40675.0,5033994.0
2012-11-07,4067,4322,4067,4287,23437,42437.0,5033994.0
2012-11-08,4276,4306,4174,4266,9519,42235.0,5033994.0
2012-11-09,4225,4317,4144,4266,2987,42235.0,5033994.0
2012-11-12,4220,4367,4149,4215,10907,41732.0,5033994.0
2012-11-13,4195,4195,4037,4068,16174,40272.0,5033994.0
2012-11-14,4093,4103,3905,4012,17379,39718.0,5033994.0
2012-11-15,3956,4011,3488,3687,35016,36496.0,5033994.0
2012-11-16,3711,3747,3610,3692,11782,36547.0,5033994.0
2012-11-19,3635,3747,3630,3732,8064,36950.0,5033994.0
2012-11-20,3737,3808,3686,3742,6543,37050.0,5033994.0
2012-11-21,3711,3747,3610,3732,25142,36950.0,5033994.0
2012-11-22,3732,3788,3711,3748,5763,37101.0,5033994.0
2012-11-23,3747,3793,3696,3742,6951,37050.0,5033994.0
2012-11-26,3762,3762,3610,3681,46138,36446.0,5033994.0
2012-11-27,3666,3706,3600,3656,35152,36194.0,5033994.0
2012-11-28,3635,3671,3610,3636,20035,35993.0,5033994.0
2012-11-29,3732,3732,3635,3717,10497,36798.0,5033994.0
2012-11-30,3727,3757,3676,3707,16428,36698.0,5033994.0
2012-12-03,3681,3722,3656,3712,9962,36748.0,5033994.0
2012-12-04,3711,3742,3666,3712,4460,36748.0,5033994.0
2012-12-05,3711,3757,3681,3712,12494,36748.0,5033994.0
2012-12-06,3711,3762,3661,3742,7016,37050.0,5033994.0
2012-12-07,3711,3773,3711,3768,5396,37302.0,5033994.0
2012-12-10,3798,3798,3650,3737,22505,37000.0,5033994.0
2012-12-11,3747,3752,3666,3722,5537,36849.0,5033994.0
2012-12-12,3691,3717,3650,3661,27394,36245.0,5033994.0
2012-12-13,3620,3717,3620,3681,27703,36446.0,5033994.0
2012-12-14,3711,3711,3605,3605,14904,35691.0,5033994.0
2012-12-17,3640,3640,3600,3626,8898,35892.0,5033994.0
2012-12-18,3650,3656,3579,3610,26218,35741.0,5033994.0
2012-12-20,3600,3640,3574,3575,11389,35389.0,5033994.0
2012-12-21,3569,3610,3457,3498,13171,34634.0,5033994.0
2012-12-24,3523,3523,3305,3356,28842,33224.0,5033994.0
2012-12-26,3356,3356,3142,3203,32819,31714.0,5033994.0
2012-12-27,3228,3228,3111,3214,9211,31815.0,5033994.0
2012-12-28,3244,3244,3167,3168,10956,31362.0,5033994.0
2013-01-02,3162,3284,3147,3239,22804,32067.0,5033994.0
2013-01-03,3244,3244,3162,3229,9046,31966.0,5033994.0
2013-01-04,3208,3350,3193,3341,19296,33073.0,5033994.0
2013-01-07,3340,3452,3279,3442,31738,34080.0,5033994.0
2013-01-08,3442,3472,3376,3402,4595,33677.0,5033994.0
2013-01-09,3472,3579,3401,3565,31408,35288.0,5033994.0
2013-01-10,3579,3584,3513,3539,22196,35037.0,5033994.0
2013-01-11,3534,3620,3534,3534,15714,34986.0,5033994.0
2013-01-14,3579,3600,3508,3509,20115,34735.0,5033994.0
2013-01-15,3523,3523,3356,3422,8501,33879.0,5033994.0
2013-01-16,3447,3447,3259,3259,21585,32268.0,5033994.0
2013-01-17,3218,3325,3218,3305,29318,32721.0,5033994.0
2013-01-18,3386,3386,3254,3300,5268,32671.0,5033994.0
2013-01-21,3356,3356,3203,3300,13904,32671.0,5033994.0
2013-01-22,3289,3356,3254,3356,19793,33224.0,5033994.0
2013-01-23,3457,3559,3325,3376,20157,33426.0,5033994.0
2013-01-24,3442,3442,3356,3402,14308,33677.0,5033994.0
2013-01-25,3523,3523,3350,3412,21620,33778.0,5033994.0
2013-01-28,3427,3442,3376,3407,7398,33728.0,5033994.0
2013-01-29,3422,3442,3335,3371,14210,33375.0,5033994.0
2013-01-30,3340,3396,3254,3300,14721,32671.0,5033994.0
2013-01-31,3300,3325,3249,3315,3377,32822.0,5033994.0
2013-02-01,3269,3320,3178,3290,14559,32570.0,5033994.0
2013-02-04,3305,3305,3254,3280,4872,32469.0,5033994.0
2013-02-05,3279,3295,3223,3265,7248,32318.0,5033994.0
2013-02-06,3340,3340,3264,3320,21349,32872.0,5033994.0
2013-02-07,3310,3396,3310,3356,5941,33224.0,5033994.0
2013-02-08,3325,3371,3310,3371,7912,33375.0,5033994.0
2013-02-12,3345,3376,3335,3366,7758,33325.0,5033994.0
2013-02-13,3361,3401,3310,3356,9020,33224.0,5033994.0
2013-02-14,3361,3361,3289,3341,22246,33073.0,5033994.0
2013-02-15,3340,3401,3315,3387,25931,33526.0,5033994.0
2013-02-18,3381,3605,3335,3600,44714,35641.0,5033994.0
2013-02-19,3600,3600,3518,3539,30116,35037.0,5033994.0
2013-02-20,3559,3589,3503,3570,23802,35339.0,5033994.0
2013-02-21,3559,3579,3534,3570,35371,35339.0,5033994.0
2013-02-22,3569,3595,3528,3580,31608,35439.0,5033994.0
2013-02-25,3579,3589,3508,3509,11512,34735.0,5033994.0
2013-02-26,3457,3488,3350,3412,23714,33778.0,5033994.0
2013-02-27,3396,3452,3356,3402,14727,33677.0,5033994.0
2013-02-28,3427,3442,3391,3422,19623,33879.0,5033994.0
2013-03-04,3427,3432,3345,3346,18246,33124.0,5033994.0
2013-03-05,3371,3381,3274,3305,30041,32721.0,5033994.0
2013-03-06,3330,3518,3305,3387,46103,33526.0,5033994.0
2013-03-07,3417,3803,3417,3697,95135,36597.0,5033994.0
2013-03-08,3711,3864,3711,3839,58261,38007.0,5033994.0
2013-03-11,3889,3889,3767,3814,25739,37755.0,5033994.0
2013-03-12,3834,3889,3701,3804,34569,37654.0,5033994.0
2013-03-13,3808,3808,3671,3697,23701,36597.0,5033994.0
2013-03-14,3737,3752,3625,3707,16016,36698.0,5033994.0
2013-03-15,3691,3737,3645,3712,15995,36748.0,5033994.0
2013-03-18,3640,3752,3635,3646,18710,36094.0,5033994.0
2013-03-19,3681,3686,3610,3671,10419,36345.0,5033994.0
2013-03-20,3671,3681,3523,3671,35124,36345.0,5033994.0
2013-03-21,3671,3681,3569,3636,6619,35993.0,5033994.0
2013-03-22,3635,3635,3503,3544,21854,35087.0,5033994.0
2013-03-25,3544,3569,3508,3554,4669,35188.0,5033994.0
2013-03-26,3539,3544,3447,3478,31070,34433.0,5033994.0
2013-03-27,3452,3452,3361,3402,20887,33677.0,5033994.0
2013-03-28,3427,3595,3396,3595,38647,35590.0,5033994.0
2013-03-29,3564,3610,3518,3554,31193,35188.0,5033994.0
2013-04-01,3549,3559,3406,3448,22976,34571.0,5098994.0
2013-04-02,3457,3457,3396,3458,23583,34673.0,5098994.0
2013-04-03,3457,3498,3361,3432,20218,34418.0,5098994.0
2013-04-04,3442,3483,3335,3381,13179,33908.0,5098994.0
2013-04-05,3381,3381,3249,3305,8258,33143.0,5098994.0
2013-04-08,3269,3320,3223,3270,10864,32787.0,5098994.0
2013-04-09,3218,3315,3198,3270,7822,32787.0,5098994.0
2013-04-10,3289,3289,3193,3193,8180,32022.0,5098994.0
2013-04-11,3228,3274,3152,3193,41199,32022.0,5098994.0
2013-04-12,3203,3208,3152,3173,49125,31818.0,5098994.0
2013-04-15,3178,3427,3152,3427,27754,34367.0,5098994.0
2013-04-16,3417,3488,3315,3458,33757,34673.0,5098994.0
2013-04-17,3386,3478,3335,3458,45895,34673.0,5098994.0
2013-04-18,3406,3503,3366,3478,20952,34877.0,5098994.0
2013-04-19,3462,3803,3417,3651,81876,36611.0,5098994.0
2013-04-22,3650,3686,3503,3554,39109,35642.0,5098994.0
2013-04-23,3564,3564,3447,3488,58742,34979.0,5098994.0
2013-04-24,3488,3559,3457,3559,51848,35693.0,5098994.0
2013-04-25,3559,3940,3534,3941,169705,39517.0,5098994.0
2013-04-26,3889,4006,3874,3966,72864,39772.0,5098994.0
2013-04-29,3986,3986,3778,3859,50465,38701.0,5098994.0
2013-04-30,3859,3884,3671,3788,60912,37988.0,5098994.0
2013-05-02,3788,3813,3671,3814,25046,38242.0,5098994.0
2013-05-03,3813,3864,3742,3859,28088,38701.0,5098994.0
2013-05-06,3864,4067,3859,3987,50628,39976.0,5098994.0
2013-05-07,3981,4200,3920,4180,86707,41914.0,5098994.0
2013-05-08,4128,4169,4042,4129,51161,41404.0,5098994.0
2013-05-09,4128,4128,4042,4124,10173,41353.0,5098994.0
2013-05-10,4088,4103,4037,4088,23505,40996.0,5098994.0
2013-05-13,4088,4088,3966,4012,39643,40231.0,5098994.0
2013-05-14,4006,4011,3889,3951,20130,39619.0,5098994.0
2013-05-15,3945,3950,3864,3946,27106,39568.0,5098994.0
2013-05-16,3940,3971,3900,3931,11057,39415.0,5098994.0
2013-05-20,3930,3940,3661,3697,75685,37070.0,5098994.0
2013-05-21,3737,3783,3610,3773,83024,37835.0,5098994.0
2013-05-22,3752,3803,3706,3763,16763,37733.0,5098994.0
2013-05-23,3752,3803,3722,3758,16260,37682.0,5098994.0
2013-05-24,3757,3869,3717,3793,25386,38038.0,5098994.0
2013-05-27,3773,3834,3711,3798,17539,38089.0,5098994.0
2013-05-28,3798,3798,3742,3763,6614,37733.0,5098994.0
2013-05-29,3793,3793,3656,3768,29243,37784.0,5098994.0
2013-05-30,3737,3793,3656,3702,29904,37121.0,5098994.0
2013-05-31,3701,3742,3544,3636,27781,36458.0,5098994.0
2013-06-03,3584,3656,3584,3626,11458,36356.0,5098994.0
2013-06-04,3635,3686,3610,3646,13123,36560.0,5098994.0
2013-06-05,3645,3915,3640,3834,60115,38446.0,5098994.0
2013-06-07,3910,3910,3691,3819,59322,38293.0,5098994.0
2013-06-10,3823,3905,3762,3890,32634,39007.0,5098994.0
2013-06-11,3889,3930,3793,3905,19718,39160.0,5098994.0
2013-06-12,3900,3940,3864,3910,22024,39211.0,5098994.0
2013-06-13,3910,4220,3844,4144,150590,41557.0,5098994.0
2013-06-14,4144,4322,4098,4144,108002,41557.0,5098994.0
2013-06-17,4215,4296,4032,4139,85029,41506.0,5098994.0
2013-06-18,4139,4169,4088,4149,34471,41608.0,5098994.0
2013-06-19,4149,4271,4118,4195,54906,42067.0,5098994.0
2013-06-20,4184,4184,3935,4037,73770,40486.0,5098994.0
2013-06-21,4032,4037,3905,3966,31393,39772.0,5098994.0
2013-06-24,3961,4062,3864,3875,27114,38854.0,5098994.0
2013-06-25,3778,3869,3457,3758,57598,37682.0,5098994.0
2013-06-26,3762,3762,3579,3687,24035,36968.0,5098994.0
2013-06-27,3747,3859,3732,3824,26142,38344.0,5098994.0
2013-06-28,3813,3889,3798,3849,7343,38599.0,5098994.0
2013-07-01,3788,3905,3788,3905,8221,39160.0,5098994.0
2013-07-02,3844,3981,3813,3885,6553,38956.0,5098994.0
2013-07-03,3869,3961,3778,3844,12058,38548.0,5098994.0
2013-07-04,3762,3813,3686,3758,19762,37682.0,5098994.0
2013-07-05,3757,3757,3650,3702,27333,37121.0,5098994.0
2013-07-08,3656,3722,3579,3651,21590,36611.0,5098994.0
2013-07-09,3605,3656,3508,3585,50349,35948.0,5098994.0
2013-07-10,3584,3584,3523,3559,14548,35693.0,5098994.0
2013-07-11,3564,3600,3544,3559,24110,35693.0,5098994.0
2013-07-12,3559,3661,3549,3626,13809,36356.0,5098994.0
2013-07-15,3620,3661,3559,3559,7028,35693.0,5098994.0
2013-07-16,3610,3666,3534,3656,30742,36662.0,5098994.0
2013-07-17,3681,3762,3635,3702,18409,37121.0,5098994.0
2013-07-18,3681,3711,3640,3707,16294,37172.0,5098994.0
2013-07-19,3666,3752,3625,3692,29765,37019.0,5098994.0
2013-07-22,3691,3696,3564,3692,29710,37019.0,5098994.0
2013-07-23,3727,3813,3661,3742,54048,37529.0,5098994.0
2013-07-24,3762,4118,3711,4068,151348,40792.0,5098994.0
2013-07-25,4067,4261,4042,4170,110650,41812.0,5098994.0
2013-07-26,4179,4408,4159,4271,136076,42832.0,5098994.0
2013-07-29,4296,4373,4256,4287,87617,42985.0,5098994.0
2013-07-30,4281,4281,4189,4215,96784,42271.0,5098994.0
2013-07-31,4215,4250,4108,4154,52886,41659.0,5098994.0
2013-08-01,4154,4174,3630,4129,50158,41404.0,5098994.0
2013-08-02,4189,4189,4032,4073,26373,40843.0,5098994.0
2013-08-05,4108,4108,3961,4037,43999,40486.0,5098994.0
2013-08-06,4037,4088,3920,4088,29824,40996.0,5098994.0
2013-08-07,4067,4195,4067,4170,61807,41812.0,5098994.0
2013-08-08,4169,4195,4108,4159,38583,41710.0,5098994.0
2013-08-09,4215,4220,4134,4190,50653,42016.0,5098994.0
2013-08-12,4159,4220,4052,4068,33121,40792.0,5098994.0
2013-08-13,4067,4113,3940,4017,47988,40282.0,5098994.0
2013-08-14,4011,4011,3879,3951,31417,39619.0,5098994.0
2013-08-16,3940,3940,3839,3870,32369,38803.0,5098994.0
2013-08-19,3864,3940,3813,3900,30735,39109.0,5098994.0
2013-08-20,3895,3895,3717,3798,44170,38089.0,5098994.0
2013-08-21,3778,3828,3686,3814,15137,38242.0,5098994.0
2013-08-22,3803,3803,3686,3712,20518,37223.0,5098994.0
2013-08-23,3711,3767,3676,3742,11358,37529.0,5098994.0
2013-08-26,3732,3910,3732,3900,30603,39109.0,5098994.0
2013-08-27,3895,3915,3813,3865,25549,38752.0,5098994.0
2013-08-28,3788,3854,3722,3763,14066,37733.0,5098994.0
2013-08-29,3762,4169,3727,4002,112091,40129.0,5098994.0
2013-08-30,4098,4113,3961,4109,22416,41200.0,5098994.0
2013-09-02,4083,4240,4062,4170,69860,41812.0,5098994.0
2013-09-03,4195,4195,4098,4119,30354,41302.0,5098994.0
2013-09-04,4108,4159,4022,4037,20393,40486.0,5098994.0
2013-09-05,4032,4088,3971,4053,13571,40639.0,5098994.0
2013-09-06,4052,4052,3976,4022,9595,40333.0,5098994.0
2013-09-09,4042,4042,3879,3915,12183,39262.0,5098994.0
2013-09-10,3950,4006,3834,3941,27768,39517.0,5098994.0
2013-09-11,3874,3940,3844,3931,33687,39415.0,5098994.0
2013-09-12,3971,4067,3879,3941,25277,39517.0,5098994.0
2013-09-13,3920,4011,3879,4012,24987,40231.0,5098994.0
2013-09-16,4011,4011,3920,3966,7414,39772.0,5098994.0
2013-09-17,3966,4042,3940,4032,19077,40435.0,5098994.0
2013-09-23,3976,4062,3915,4017,14624,40282.0,5098994.0
2013-09-24,4042,4042,3930,3941,13419,39517.0,5098994.0
2013-09-25,3940,3956,3828,3895,23257,39058.0,5098994.0
2013-09-26,3935,3935,3828,3865,12645,38752.0,5098994.0
2013-09-27,3905,3905,3808,3814,19053,38242.0,5098994.0
2013-09-30,3813,3813,3686,3687,28109,36968.0,5098994.0
2013-10-01,3691,3778,3676,3732,13480,37427.0,5098994.0
2013-10-02,3757,3808,3676,3748,37260,37580.0,5098994.0
2013-10-04,3778,3778,3671,3737,9341,37478.0,5098994.0
2013-10-07,3788,3788,3681,3727,9862,37376.0,5098994.0
2013-10-08,3666,3737,3645,3732,7199,37427.0,5098994.0
2013-10-10,3671,3757,3671,3748,15482,37580.0,5098994.0
2013-10-11,3783,3783,3711,3748,24325,37580.0,5098994.0
2013-10-14,3661,3757,3625,3651,39914,36611.0,5098994.0
2013-10-15,3666,3788,3584,3788,23812,37988.0,5098994.0
2013-10-16,3808,3813,3706,3742,36541,37529.0,5098994.0
2013-10-17,3752,3752,3635,3676,19674,36866.0,5098994.0
2013-10-18,3656,3676,3574,3661,30774,36713.0,5098994.0
2013-10-21,3645,3671,3559,3661,33813,36713.0,5098994.0
2013-10-22,3696,3701,3554,3656,33845,36662.0,5098994.0
2013-10-23,3650,3650,3559,3565,24026,35744.0,5098994.0
2013-10-24,3554,3574,3472,3549,59146,35591.0,5098994.0
2013-10-25,3589,3589,3472,3514,91856,35234.0,5098994.0
2013-10-28,3523,3645,3467,3610,38374,36203.0,5098994.0
