천보(278280),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-04-18,85100,88300,83900,85200,129702,852000.0,10000000.0
2019-04-19,84600,87300,84000,86000,75397,860000.0,10000000.0
2019-04-22,86900,86900,85300,86300,60095,863000.0,10000000.0
2019-04-23,86800,86800,82000,83500,116226,835000.0,10000000.0
2019-04-24,83100,83100,80500,81300,120957,813000.0,10000000.0
2019-04-25,82000,83500,80000,82500,92496,825000.0,10000000.0
2019-04-26,82000,82700,80000,81800,77377,818000.0,10000000.0
2019-04-29,82000,84400,81500,83000,56767,830000.0,10000000.0
2019-04-30,83500,83700,80000,81900,81898,819000.0,10000000.0
2019-05-02,81900,82000,79000,79400,129907,794000.0,10000000.0
2019-05-03,79200,80900,78900,79900,45291,799000.0,10000000.0
2019-05-07,78800,80800,77700,79600,39850,796000.0,10000000.0
2019-05-08,78500,79300,76700,78500,84481,785000.0,10000000.0
2019-05-09,78000,79200,72400,72800,186699,728000.0,10000000.0
2019-05-10,72800,75200,71100,74100,159369,741000.0,10000000.0
2019-05-13,72800,73500,70000,72400,129779,724000.0,10000000.0
2019-05-14,70600,73600,69500,70000,186310,700000.0,10000000.0
2019-05-15,71000,81100,69000,76300,297906,763000.0,10000000.0
2019-05-16,76800,79500,75500,78000,114223,780000.0,10000000.0
2019-05-17,77600,79200,73300,73600,139051,736000.0,10000000.0
2019-05-20,72500,73600,69500,69800,129110,698000.0,10000000.0
2019-05-21,69900,71800,69300,69800,74192,698000.0,10000000.0
2019-05-22,72800,74300,71700,73000,142642,730000.0,10000000.0
2019-05-23,73500,75700,72600,74500,102672,745000.0,10000000.0
2019-05-24,74300,75700,72700,75400,71155,754000.0,10000000.0
2019-05-27,75400,77600,74300,75400,115177,754000.0,10000000.0
2019-05-28,75800,77300,75400,76200,121441,762000.0,10000000.0
2019-05-29,76300,76800,73900,74200,61181,742000.0,10000000.0
2019-05-30,74200,79000,74200,77600,221860,776000.0,10000000.0
2019-05-31,77900,78600,76900,77500,74869,775000.0,10000000.0
2019-06-03,77100,78500,75400,78200,78165,782000.0,10000000.0
2019-06-04,79100,82800,78200,82500,213913,825000.0,10000000.0
2019-06-05,83800,84400,81300,81800,117962,818000.0,10000000.0
2019-06-07,82800,85000,81900,84200,110466,842000.0,10000000.0
2019-06-10,85500,86100,82300,84100,94243,841000.0,10000000.0
2019-06-11,84100,85600,82700,84200,103370,842000.0,10000000.0
2019-06-12,84200,84500,80900,81400,105696,814000.0,10000000.0
2019-06-13,81200,83300,80300,81700,257052,817000.0,10000000.0
2019-06-14,81300,81700,79200,80100,105698,801000.0,10000000.0
2019-06-17,79500,81000,78000,79700,57297,797000.0,10000000.0
2019-06-18,79800,81800,78500,78700,73013,787000.0,10000000.0
2019-06-19,79800,79900,75000,76000,116018,760000.0,10000000.0
2019-06-20,75600,77000,75200,76700,44736,767000.0,10000000.0
2019-06-21,76800,77300,75500,75700,43908,757000.0,10000000.0
2019-06-24,75800,76500,73300,73500,66311,735000.0,10000000.0
2019-06-25,74400,76300,74000,74800,72491,748000.0,10000000.0
2019-06-26,76300,76300,73300,74000,39358,740000.0,10000000.0
2019-06-27,74100,75500,73500,74800,50032,748000.0,10000000.0
2019-06-28,74600,75800,74000,75000,37358,750000.0,10000000.0
2019-07-01,75900,76900,75500,76700,43619,767000.0,10000000.0
2019-07-02,76500,77700,74900,76700,43960,767000.0,10000000.0
2019-07-03,77900,77900,75600,76700,47149,767000.0,10000000.0
2019-07-04,77300,77500,72500,75300,69041,753000.0,10000000.0
2019-07-05,75800,75800,72000,73500,88342,735000.0,10000000.0
2019-07-08,72200,72600,69900,71800,100879,718000.0,10000000.0
2019-07-09,71800,73000,71100,72000,74511,720000.0,10000000.0
2019-07-10,73200,73200,71200,72000,36014,720000.0,10000000.0
2019-07-11,73000,73400,72100,73200,33339,732000.0,10000000.0
2019-07-12,73200,77300,72300,76600,108870,766000.0,10000000.0
2019-07-15,77700,78000,75200,77000,50354,770000.0,10000000.0
2019-07-16,77000,78800,77000,77500,99157,775000.0,10000000.0
2019-07-17,78000,79200,77200,78000,67177,780000.0,10000000.0
2019-07-18,77500,77600,76300,76700,44739,767000.0,10000000.0
2019-07-19,76800,76800,73800,74500,84148,745000.0,10000000.0
2019-07-22,74500,74500,72500,72800,47722,728000.0,10000000.0
2019-07-23,73300,73600,70600,71000,100909,710000.0,10000000.0
2019-07-24,71500,72500,70800,70800,47970,708000.0,10000000.0
2019-07-25,71000,71800,67200,69500,103206,695000.0,10000000.0
2019-07-26,68100,70000,67800,68400,56033,684000.0,10000000.0
2019-07-29,67700,68400,61000,66500,75168,665000.0,10000000.0
2019-07-30,66900,67500,65200,66200,48598,662000.0,10000000.0
2019-07-31,66100,67800,63500,67200,73277,672000.0,10000000.0
2019-08-01,66600,66600,64400,64900,69537,649000.0,10000000.0
2019-08-02,62800,64300,62200,63200,99821,632000.0,10000000.0
2019-08-05,62500,63100,57800,58000,150028,580000.0,10000000.0
2019-08-06,56600,59300,53000,56100,106614,561000.0,10000000.0
2019-08-07,56100,61600,56100,61600,94765,616000.0,10000000.0
2019-08-08,63000,64900,60600,64800,84365,648000.0,10000000.0
2019-08-09,65300,65700,61700,61900,73280,619000.0,10000000.0
2019-08-12,61800,63200,60300,61400,50698,614000.0,10000000.0
2019-08-13,60700,63200,60600,62300,38364,623000.0,10000000.0
2019-08-14,62800,64900,62300,64900,69704,649000.0,10000000.0
2019-08-16,63400,64500,62700,63800,45970,638000.0,10000000.0
2019-08-19,64100,64400,61800,62400,46186,624000.0,10000000.0
2019-08-20,62200,70100,62200,69000,215223,690000.0,10000000.0
2019-08-21,68800,70900,67000,67700,99851,677000.0,10000000.0
2019-08-22,68100,70100,66800,67700,84947,677000.0,10000000.0
2019-08-23,67000,70500,65700,70000,78474,700000.0,10000000.0
2019-08-26,67800,72100,67500,69800,133969,698000.0,10000000.0
2019-08-27,71600,71700,68800,70400,69815,704000.0,10000000.0
2019-08-28,70000,72900,70000,72000,100821,720000.0,10000000.0
2019-08-29,73000,73000,71100,72200,51104,722000.0,10000000.0
2019-08-30,72600,73000,71400,72200,57690,722000.0,10000000.0
2019-09-02,67600,72100,67600,71700,80474,717000.0,10000000.0
2019-09-03,71500,72000,70600,71000,34802,710000.0,10000000.0
2019-09-04,70300,72300,70300,72200,40156,722000.0,10000000.0
2019-09-05,72800,73500,71700,72200,52958,722000.0,10000000.0
2019-09-06,73000,73000,71200,71900,44980,719000.0,10000000.0
2019-09-09,71400,72100,70200,70200,46294,702000.0,10000000.0
2019-09-10,70200,71900,67100,68700,78474,687000.0,10000000.0
2019-09-11,69400,69400,68000,68700,48501,687000.0,10000000.0
2019-09-16,68700,70800,67800,70800,53972,708000.0,10000000.0
2019-09-17,70600,70700,68200,68600,48701,686000.0,10000000.0
2019-09-18,68900,70000,68700,69100,30021,691000.0,10000000.0
2019-09-19,69300,70900,68600,69800,38423,698000.0,10000000.0
2019-09-20,70500,70600,69500,70300,25973,703000.0,10000000.0
2019-09-23,70500,70500,68800,68900,27850,689000.0,10000000.0
2019-09-24,68900,69400,67700,67800,47779,678000.0,10000000.0
2019-09-25,67700,67700,62600,65000,161820,650000.0,10000000.0
2019-09-26,65000,65700,62800,63600,93033,636000.0,10000000.0
2019-09-27,63000,65000,62800,64800,55066,648000.0,10000000.0
2019-09-30,64300,66100,63500,65700,62206,657000.0,10000000.0
2019-10-01,65200,66500,64700,66400,46930,664000.0,10000000.0
2019-10-02,66300,67500,65100,65100,47989,651000.0,10000000.0
2019-10-04,65200,65900,64000,64500,32037,645000.0,10000000.0
2019-10-07,64800,65000,63100,63800,31763,638000.0,10000000.0
