나우아이비캐피탈(293580),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-29,4760,4815,4700,4750,25640,45030.0,9480000.0
2018-11-30,4785,4785,4665,4690,28058,44461.0,9480000.0
2018-12-03,4705,4765,4680,4725,28098,44793.0,9480000.0
2018-12-04,4725,4765,4680,4755,47313,45077.0,9480000.0
2018-12-05,4690,4755,4660,4750,25772,45030.0,9480000.0
2018-12-06,4780,4995,4615,4615,112171,43750.0,9480000.0
2018-12-07,4575,4650,4565,4585,30982,43466.0,9480000.0
2018-12-10,4565,4600,4420,4450,23255,42186.0,9480000.0
2018-12-11,4540,4600,4275,4275,52543,40527.0,9480000.0
2018-12-12,4345,4345,4240,4325,24168,41001.0,9480000.0
2018-12-13,4320,4380,4255,4350,19010,41238.0,9480000.0
2018-12-14,4365,4365,4215,4300,27431,40764.0,9480000.0
2018-12-17,4220,4275,4175,4185,24643,39674.0,9480000.0
2018-12-18,4110,4170,4030,4120,81519,39058.0,9480000.0
2018-12-19,4140,4150,4045,4090,33496,38773.0,9480000.0
2018-12-20,4100,4100,3990,4015,67909,38062.0,9480000.0
2018-12-21,3965,4190,3965,4170,47769,39532.0,9480000.0
2018-12-24,4115,4150,4100,4150,35285,39342.0,9480000.0
2018-12-26,4070,4135,4030,4100,18775,38868.0,9480000.0
2018-12-27,4085,4240,4080,4110,40688,38963.0,9480000.0
2018-12-28,4055,4210,4050,4170,11429,39532.0,9480000.0
2019-01-02,4195,4225,4145,4215,26916,39958.0,9480000.0
2019-01-03,4225,4790,4165,4365,167750,41380.0,9480000.0
2019-01-04,4365,4365,4185,4330,39492,41048.0,9480000.0
2019-01-07,4315,4350,4235,4320,24506,40954.0,9480000.0
2019-01-08,4320,4320,4170,4170,30037,39532.0,9480000.0
2019-01-09,4215,4230,4150,4185,22954,39674.0,9480000.0
2019-01-10,4150,4240,4150,4220,16719,40006.0,9480000.0
2019-01-11,4215,4330,4190,4295,15725,40717.0,9480000.0
2019-01-14,4275,4325,4250,4315,13855,40906.0,9480000.0
2019-01-15,4305,4380,4270,4350,15645,41238.0,9480000.0
2019-01-16,4330,4375,4295,4365,21313,41380.0,9480000.0
2019-01-17,4365,4385,4305,4365,24512,41380.0,9480000.0
2019-01-18,4370,4425,4330,4390,10129,41617.0,9480000.0
2019-01-21,4400,4405,4330,4395,17295,41665.0,9480000.0
2019-01-22,4390,4415,4300,4395,24990,41665.0,9480000.0
2019-01-23,4400,4400,4325,4385,18894,41570.0,9480000.0
2019-01-24,4380,4455,4280,4435,47911,42044.0,9480000.0
2019-01-25,4390,4430,4320,4370,27550,41428.0,9480000.0
2019-01-28,4375,4400,4305,4360,15275,41333.0,9480000.0
2019-01-29,4315,4360,4315,4330,21585,41048.0,9480000.0
2019-01-30,4315,4330,4210,4260,34952,40385.0,9480000.0
2019-01-31,4230,4380,4230,4350,37671,41238.0,9480000.0
2019-02-01,4350,4370,4250,4320,20472,40954.0,9480000.0
2019-02-07,4295,4340,4250,4330,25382,41048.0,9480000.0
2019-02-08,4330,4330,4255,4270,18285,40480.0,9480000.0
2019-02-11,4270,4300,4230,4250,15552,40290.0,9480000.0
2019-02-12,4265,4265,4210,4215,12612,39958.0,9480000.0
2019-02-13,4215,4260,4195,4225,23185,40053.0,9480000.0
2019-02-14,4255,4345,4245,4300,23016,40764.0,9480000.0
2019-02-15,4300,4305,4200,4295,22004,40717.0,9480000.0
2019-02-18,4295,4305,4240,4270,29457,40480.0,9480000.0
2019-02-19,4255,4305,4250,4295,17175,40717.0,9480000.0
2019-02-20,4305,4500,4245,4390,111160,41617.0,9480000.0
2019-02-21,4500,4940,4405,4405,471124,41759.0,9480000.0
2019-02-22,4405,4460,4370,4395,37935,41665.0,9480000.0
2019-02-25,4450,4495,4395,4410,23838,41807.0,9480000.0
2019-02-26,4805,5100,4505,4570,330394,43324.0,9480000.0
2019-02-27,4565,4625,4495,4590,59717,43513.0,9480000.0
2019-02-28,4610,4615,4450,4470,54772,42376.0,9480000.0
2019-03-04,4530,4580,4470,4570,31418,43324.0,9480000.0
2019-03-05,4585,4635,4550,4600,61443,43608.0,9480000.0
2019-03-06,4620,4780,4555,4780,88031,45314.0,9480000.0
2019-03-07,4795,4975,4690,4855,260172,46025.0,9480000.0
2019-03-08,4855,4975,4760,4905,176474,46499.0,9480000.0
2019-03-11,4980,5070,4875,4915,146191,46594.0,9480000.0
2019-03-12,4900,5010,4880,5000,113716,47400.0,9480000.0
2019-03-13,5020,5200,4850,4885,333342,46310.0,9480000.0
2019-03-14,4870,4955,4715,4740,135018,44935.0,9480000.0
2019-03-15,4780,4890,4755,4820,93349,45694.0,9480000.0
2019-03-18,4820,5090,4805,5090,223939,48253.0,9480000.0
2019-03-19,5230,5750,5120,5250,2270374,49770.0,9480000.0
2019-03-20,5240,5260,5020,5210,321600,49391.0,9480000.0
2019-03-21,5210,5540,5170,5470,646181,51856.0,9480000.0
2019-03-22,5420,5810,5400,5550,642536,52614.0,9480000.0
2019-03-25,5550,5670,5270,5280,222755,50054.0,9480000.0
2019-03-26,5250,5490,5150,5290,136644,50149.0,9480000.0
2019-03-27,5300,5400,5160,5230,74230,49580.0,9480000.0
2019-03-28,5220,5260,5000,5090,141121,48253.0,9480000.0
2019-03-29,5130,5130,5030,5090,80957,48253.0,9480000.0
2019-04-01,5120,5480,5060,5450,202779,51666.0,9480000.0
2019-04-02,5530,5590,5340,5470,225752,51856.0,9480000.0
2019-04-03,5420,5630,5320,5460,140950,51761.0,9480000.0
2019-04-04,5460,5490,5210,5250,132423,49770.0,9480000.0
2019-04-05,5240,5400,5200,5320,72982,50434.0,9480000.0
2019-04-08,5300,5380,5200,5310,70312,50339.0,9480000.0
2019-04-09,5320,5370,5210,5310,48822,50339.0,9480000.0
2019-04-10,5350,5350,5230,5280,44801,50054.0,9480000.0
2019-04-11,5260,5500,5260,5370,131446,50908.0,9480000.0
2019-04-12,5380,5400,5250,5360,63759,50813.0,9480000.0
2019-04-15,5300,5330,5110,5120,111072,48538.0,9480000.0
2019-04-16,5090,5140,4975,5020,102849,47590.0,9480000.0
2019-04-17,5040,5130,5010,5040,43005,47779.0,9480000.0
2019-04-18,5040,5100,4880,4950,85215,46926.0,9480000.0
2019-04-19,4945,5080,4905,5050,27659,47874.0,9480000.0
2019-04-22,5010,5050,4900,4950,35439,46926.0,9480000.0
2019-04-23,4915,5050,4910,5030,47334,47684.0,9480000.0
2019-04-24,5020,5400,5020,5260,167400,49865.0,9480000.0
2019-04-25,5280,5280,5110,5150,41007,48822.0,9480000.0
2019-04-26,5150,5180,5000,5080,35996,48158.0,9480000.0
2019-04-29,5160,5180,5040,5130,29324,48632.0,9480000.0
2019-04-30,5130,5130,4950,5030,75461,47684.0,9480000.0
2019-05-02,5060,5080,5010,5070,22980,48064.0,9480000.0
2019-05-03,5030,5120,5000,5070,18090,48064.0,9480000.0
2019-05-07,4975,5070,4950,5010,45825,47495.0,9480000.0
2019-05-08,5020,5050,4950,5020,17785,47590.0,9480000.0
2019-05-09,5020,5020,4810,4975,42200,47163.0,9480000.0
2019-05-10,4970,4970,4855,4950,17234,46926.0,9480000.0
2019-05-13,4950,5020,4830,4860,24824,46073.0,9480000.0
2019-05-14,4820,4930,4760,4910,28746,46547.0,9480000.0
2019-05-15,4940,5090,4830,5060,41962,47969.0,9480000.0
2019-05-16,5100,5100,4965,5040,14891,47779.0,9480000.0
2019-05-17,5040,5060,4945,5060,12758,47969.0,9480000.0
2019-05-20,4985,5040,4935,4995,15062,47353.0,9480000.0
2019-05-21,4995,5010,4820,4955,27646,46973.0,9480000.0
2019-05-22,4905,4950,4875,4910,14609,46547.0,9480000.0
2019-05-23,4970,4970,4750,4810,49808,45599.0,9480000.0
2019-05-24,4770,4870,4625,4670,60881,44272.0,9480000.0
2019-05-27,4670,4695,4575,4650,20591,44082.0,9480000.0
2019-05-28,4650,4845,4625,4825,31536,45741.0,9480000.0
2019-05-29,4820,4820,4690,4725,14470,44793.0,9480000.0
2019-05-30,4725,4815,4690,4785,19389,45362.0,9480000.0
2019-05-31,4765,4815,4700,4790,2603,45409.0,9480000.0
2019-06-03,4805,4805,4705,4715,5291,44698.0,9480000.0
2019-06-04,4740,4790,4695,4730,23020,44840.0,9480000.0
2019-06-05,4750,4750,4670,4735,21702,44888.0,9480000.0
2019-06-07,4735,4865,4690,4855,19325,46025.0,9480000.0
2019-06-10,4870,5000,4855,4905,17452,46499.0,9480000.0
2019-06-11,4905,4960,4905,4935,5938,46784.0,9480000.0
2019-06-12,4900,4975,4840,4870,14882,46168.0,9480000.0
2019-06-13,4870,4870,4720,4850,71155,45978.0,9480000.0
2019-06-14,4870,4970,4810,4900,30839,46452.0,9480000.0
2019-06-17,4910,4930,4830,4900,14122,46452.0,9480000.0
2019-06-18,4900,4975,4795,4875,28704,46215.0,9480000.0
2019-06-19,4850,4945,4820,4865,12926,46120.0,9480000.0
2019-06-20,4900,4960,4850,4925,42518,46689.0,9480000.0
2019-06-21,4960,4960,4890,4940,13955,46831.0,9480000.0
2019-06-24,4895,4940,4845,4885,10280,46310.0,9480000.0
2019-06-25,4890,4890,4830,4865,14169,46120.0,9480000.0
2019-06-26,4830,4895,4815,4875,15836,46215.0,9480000.0
2019-06-27,4855,4900,4795,4800,33168,45504.0,9480000.0
2019-06-28,4790,4855,4715,4765,20390,45172.0,9480000.0
2019-07-01,4720,4805,4650,4690,22720,44461.0,9480000.0
2019-07-02,4765,4765,4635,4660,14840,44177.0,9480000.0
2019-07-03,4685,4745,4610,4610,15760,43703.0,9480000.0
2019-07-04,4680,4680,4505,4610,20130,43703.0,9480000.0
2019-07-05,4610,4625,4530,4545,6163,43087.0,9480000.0
2019-07-08,4595,4600,4340,4345,57462,41191.0,9480000.0
2019-07-09,4420,4420,4300,4310,10552,40859.0,9480000.0
2019-07-10,4240,4390,4240,4350,19008,41238.0,9480000.0
2019-07-11,4350,4510,4290,4510,57803,42755.0,9480000.0
2019-07-12,4915,5240,4485,4485,215198,42518.0,9480000.0
2019-07-15,4550,4550,4440,4485,7257,42518.0,9480000.0
2019-07-16,4445,4500,4350,4440,22814,42091.0,9480000.0
2019-07-17,4485,4485,4270,4410,20300,41807.0,9480000.0
2019-07-18,4410,4440,4360,4410,13075,41807.0,9480000.0
2019-07-19,4430,4525,4365,4520,12753,42850.0,9480000.0
2019-07-22,4520,4530,4455,4525,5260,42897.0,9480000.0
2019-07-23,4465,4730,4465,4590,18475,43513.0,9480000.0
2019-07-24,4550,4760,4550,4625,36336,43845.0,9480000.0
2019-07-25,4620,4625,4455,4610,22674,43703.0,9480000.0
2019-07-26,4605,4610,4520,4610,10646,43703.0,9480000.0
2019-07-29,4605,4650,4415,4415,22513,41854.0,9480000.0
2019-07-30,4295,4580,4295,4490,14715,42565.0,9480000.0
2019-07-31,4525,4525,4350,4515,22259,42802.0,9480000.0
2019-08-01,4520,4550,4475,4490,17509,42565.0,9480000.0
2019-08-02,4510,4550,4405,4440,4564,42091.0,9480000.0
2019-08-05,4470,4470,4115,4165,35325,39484.0,9480000.0
2019-08-06,4160,4195,3950,4155,32983,39389.0,9480000.0
2019-08-07,4085,4230,4025,4100,20063,38868.0,9480000.0
2019-08-08,4200,4220,4085,4160,21897,39437.0,9480000.0
2019-08-09,4170,4265,4165,4175,18100,39579.0,9480000.0
2019-08-12,4170,4275,4125,4275,8288,40527.0,9480000.0
2019-08-13,4270,4375,4255,4365,12214,41380.0,9480000.0
2019-08-14,4380,4395,4215,4370,14486,41428.0,9480000.0
2019-08-16,4305,4360,4235,4285,4854,40622.0,9480000.0
2019-08-19,4285,4385,4180,4280,8851,40574.0,9480000.0
2019-08-20,4280,4345,4165,4265,9741,40432.0,9480000.0
2019-08-21,4265,4300,4255,4300,3047,40764.0,9480000.0
2019-08-22,4300,4315,4205,4285,5653,40622.0,9480000.0
2019-08-23,4285,4285,4215,4265,1695,40432.0,9480000.0
2019-08-26,4255,4255,4135,4135,6859,39200.0,9480000.0
2019-08-27,4135,4200,4100,4145,4206,39295.0,9480000.0
2019-08-28,4145,4200,4075,4090,29319,38773.0,9480000.0
2019-08-29,4145,4145,4035,4045,6919,38347.0,9480000.0
2019-08-30,4180,4180,4055,4110,13128,38963.0,9480000.0
2019-09-02,4110,4130,4075,4120,3693,39058.0,9480000.0
2019-09-03,4120,4170,4115,4130,6195,39152.0,9480000.0
2019-09-04,4170,4180,4130,4180,8819,39626.0,9480000.0
2019-09-05,4180,4230,4150,4190,13691,39721.0,9480000.0
2019-09-06,4210,4245,4195,4240,5246,40195.0,9480000.0
2019-09-09,4230,4255,4210,4250,8814,40290.0,9480000.0
2019-09-10,4250,4290,4205,4285,10808,40622.0,9480000.0
2019-09-11,4285,4285,4205,4280,4914,40574.0,9480000.0
2019-09-16,4280,4315,4245,4295,7866,40717.0,9480000.0
2019-09-17,4330,4360,4295,4300,10349,40764.0,9480000.0
2019-09-18,4360,4360,4265,4305,14117,40811.0,9480000.0
2019-09-19,4305,4400,4305,4340,10964,41143.0,9480000.0
2019-09-20,4335,4380,4305,4360,8766,41333.0,9480000.0
2019-09-23,4370,4395,4295,4305,1695,40811.0,9480000.0
2019-09-24,4305,4395,4270,4290,4855,40669.0,9480000.0
2019-09-25,4320,4320,4270,4295,4278,40717.0,9480000.0
2019-09-26,4360,4360,4270,4330,8571,41048.0,9480000.0
2019-09-27,4360,4365,4290,4345,7173,41191.0,9480000.0
2019-09-30,4340,4340,4275,4320,4162,40954.0,9480000.0
2019-10-01,4320,4345,4255,4325,6650,41001.0,9480000.0
2019-10-02,4325,4370,4235,4340,1258,41143.0,9480000.0
2019-10-04,4340,4340,4205,4270,13536,40480.0,9480000.0
2019-10-07,4205,4310,4195,4205,10640,,
