한라IMS(092460),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-09-28,13573,13874,13473,13876,27543,124500.0,6000000.0
2007-10-01,14143,15046,14109,14544,46692,130500.0,6000000.0
2007-10-02,14978,15111,14510,14578,25174,130800.0,6000000.0
2007-10-04,14376,14576,14175,14277,20843,128100.0,6000000.0
2007-10-05,14376,15245,14275,14879,39950,133500.0,6000000.0
2007-10-08,15179,15514,14644,15046,37107,135000.0,6000000.0
2007-10-09,15647,17286,15413,15681,372854,140700.0,6000000.0
2007-10-10,16082,16115,15046,15380,91082,138000.0,6000000.0
2007-10-11,15280,16216,15280,15848,43773,142200.0,6000000.0
2007-10-12,15647,15948,15112,15213,38696,136500.0,6000000.0
2007-10-15,15179,15514,15179,15447,34205,138600.0,6000000.0
2007-10-16,15111,15446,14710,14779,28538,132600.0,6000000.0
2007-10-17,14810,15111,13941,14177,31050,127200.0,6000000.0
2007-10-18,14310,14343,13742,13775,34360,123600.0,6000000.0
2007-10-19,13541,13909,13474,13608,20346,122100.0,6000000.0
2007-10-22,12371,13474,12203,13073,21234,117300.0,6000000.0
2007-10-23,13506,13573,13139,13575,15457,121800.0,6000000.0
2007-10-24,13708,13976,13273,13307,22144,119400.0,6000000.0
2007-10-25,13307,13675,12872,13207,16220,118500.0,6000000.0
2007-10-26,13105,13373,12838,13274,16600,119100.0,6000000.0
2007-10-29,13374,14343,13374,13842,37539,124200.0,6000000.0
2007-10-30,13841,13908,13440,13508,13714,121200.0,6000000.0
2007-10-31,13407,13574,13273,13307,12234,119400.0,6000000.0
2007-11-01,13640,13640,13172,13174,14419,118200.0,6000000.0
2007-11-02,12972,12972,12604,12706,18630,114000.0,6000000.0
2007-11-05,12570,12905,12336,12505,9446,112200.0,6000000.0
2007-11-06,12504,12672,12237,12371,16639,111000.0,6000000.0
2007-11-07,12503,13005,12503,12572,17159,112800.0,6000000.0
2007-11-08,12571,13106,12404,12772,22385,114600.0,6000000.0
2007-11-09,12570,12972,11968,12104,28404,108600.0,6000000.0
2007-11-12,11534,12035,11500,11803,15058,105900.0,6000000.0
2007-11-13,11969,12337,11702,12070,7465,108300.0,6000000.0
2007-11-14,12236,12637,12169,12338,6328,110700.0,6000000.0
2007-11-15,12236,12537,11968,12204,6037,109500.0,6000000.0
2007-11-16,12137,12371,11535,11669,7505,104700.0,6000000.0
2007-11-19,11669,11969,11134,11134,19077,99900.0,6000000.0
2007-11-20,10833,11134,10465,10699,14656,96000.0,6000000.0
2007-11-21,11066,11066,9695,9964,17144,89400.0,6000000.0
2007-11-22,10263,10263,9360,9429,22251,84600.0,6000000.0
2007-11-23,9327,9661,8558,8894,21511,79800.0,6000000.0
2007-11-26,8960,9562,8960,9228,17677,82800.0,6000000.0
2007-11-27,8726,9228,8726,9228,11490,82800.0,6000000.0
2007-11-28,9227,9661,9227,9362,11707,84000.0,6000000.0
2007-11-29,9494,9661,9327,9496,11681,85200.0,6000000.0
2007-11-30,9763,9763,9395,9629,9521,86400.0,6000000.0
2007-12-03,9529,9662,9194,9295,10056,83400.0,6000000.0
2007-12-04,9161,9562,9161,9228,13553,82800.0,6000000.0
2007-12-05,9395,10064,9228,10064,26708,90300.0,6000000.0
2007-12-06,10263,10263,9695,9897,14186,88800.0,6000000.0
2007-12-07,9729,9896,9295,9295,12375,83400.0,6000000.0
2007-12-10,9160,9360,8926,9028,8475,81000.0,6000000.0
2007-12-11,9061,9228,8960,9061,8682,81300.0,6000000.0
2007-12-12,8626,9061,8626,8760,7300,78600.0,6000000.0
2007-12-13,8792,8959,8725,8794,6854,78900.0,6000000.0
2007-12-14,8792,8959,8692,8827,8660,79200.0,6000000.0
2007-12-17,8692,8926,8357,8359,21741,75000.0,6000000.0
2007-12-18,8123,8123,7856,7958,31237,71400.0,6000000.0
2007-12-20,7857,8158,7389,7389,27492,66300.0,6000000.0
2007-12-21,7222,7389,6854,7155,29848,64200.0,6000000.0
2007-12-24,7188,8225,7188,8225,32896,73800.0,6000000.0
2007-12-26,8558,9160,8190,8493,53039,76200.0,6000000.0
2007-12-27,8626,8626,7890,8325,23895,74700.0,6000000.0
2007-12-28,8224,8591,8023,8593,23669,77100.0,6000000.0
2008-01-02,8692,8825,8424,8560,14438,76800.0,6000000.0
2008-01-03,8558,8825,8056,8660,25635,77700.0,6000000.0
2008-01-04,8626,8860,8392,8860,16279,79500.0,6000000.0
2008-01-07,8425,8693,8425,8693,13104,78000.0,6000000.0
2008-01-08,8759,8959,8458,8894,26289,79800.0,6000000.0
2008-01-09,8625,8892,8525,8894,30852,79800.0,6000000.0
2008-01-10,8893,9295,8760,8994,64018,80700.0,6000000.0
2008-01-11,9094,9094,8225,8225,49596,73800.0,6000000.0
2008-01-14,8325,8325,7690,7757,41272,69600.0,6000000.0
2008-01-15,8024,8358,7757,8292,55185,74400.0,6000000.0
2008-01-16,8091,8191,7523,7690,56184,69000.0,6000000.0
2008-01-17,7822,7956,6953,7423,85610,66600.0,6000000.0
2008-01-18,7287,7287,6886,7055,39323,63300.0,6000000.0
2008-01-21,7020,7421,6886,6955,38877,62400.0,6000000.0
2008-01-22,6686,6686,6191,6413,46339,57540.0,6000000.0
2008-01-23,6365,6619,6184,6186,82683,55500.0,6000000.0
2008-01-24,6218,6612,6218,6500,46045,58320.0,6000000.0
2008-01-25,6680,7288,6593,7021,86328,63000.0,6000000.0
2008-01-28,6820,6954,6646,6787,50513,60900.0,6000000.0
2008-01-29,6820,7021,6359,6680,33576,59940.0,6000000.0
2008-01-30,6686,6686,6030,6059,30592,54360.0,6000000.0
2008-01-31,5857,6085,5690,5724,70433,51360.0,6000000.0
2008-02-01,5770,5998,5770,5871,33233,52680.0,6000000.0
2008-02-04,5943,6264,5943,6119,76811,54900.0,6000000.0
2008-02-05,6212,6219,6011,6112,76649,54840.0,6000000.0
2008-02-11,5964,6687,5811,6680,70392,59940.0,6000000.0
2008-02-12,6686,7655,6686,7657,137177,68700.0,6000000.0
2008-02-13,7822,8491,7321,7657,414140,68700.0,6000000.0
2008-02-14,7723,8225,7355,7857,235145,70500.0,6000000.0
2008-02-15,7722,7822,7354,7356,168079,66000.0,6000000.0
2008-02-18,7488,7655,7120,7356,133238,66000.0,6000000.0
2008-02-19,7222,7456,7121,7456,144734,66900.0,6000000.0
2008-02-20,7388,7421,7120,7289,111389,65400.0,6000000.0
2008-02-21,7254,8357,7254,8359,559574,75000.0,6000000.0
2008-02-22,8526,8726,7790,7991,637968,71700.0,6000000.0
2008-02-25,7990,8491,7889,8259,536483,74100.0,6000000.0
2008-02-26,8492,9495,8425,9061,1283004,81300.0,6000000.0
2008-02-27,8960,9495,8626,9161,629110,82200.0,6000000.0
2008-02-28,8893,9161,8693,8927,291751,80100.0,6000000.0
2008-02-29,8693,9830,8392,8392,795647,75300.0,6000000.0
2008-03-03,8090,8558,7990,8259,149963,74100.0,6000000.0
2008-03-04,8325,8626,8024,8392,220365,75300.0,6000000.0
2008-03-05,8357,8692,8257,8259,116797,74100.0,6000000.0
2008-03-06,8358,8726,8258,8526,134547,76500.0,6000000.0
2008-03-07,8292,8760,8292,8760,96657,78600.0,6000000.0
2008-03-10,8693,8693,7757,7757,132552,69600.0,6000000.0
2008-03-11,7523,7757,7288,7757,92078,69600.0,6000000.0
2008-03-12,7923,8291,7822,7824,91114,70200.0,6000000.0
2008-03-13,7723,7991,7288,7322,53302,65700.0,6000000.0
2008-03-14,7489,7823,7155,7155,46638,64200.0,6000000.0
2008-03-17,7120,7254,6579,6754,63097,60600.0,6000000.0
2008-03-18,6752,7053,6752,7055,33398,63300.0,6000000.0
2008-03-19,7321,7622,7187,7256,64272,65100.0,6000000.0
2008-03-20,7154,7455,6987,7356,36424,66000.0,6000000.0
2008-03-21,7489,7656,7389,7556,41823,67800.0,6000000.0
2008-03-24,7555,7756,7555,7724,37441,69300.0,6000000.0
2008-03-25,7890,8024,7690,7757,50271,69600.0,6000000.0
2008-03-26,7789,7889,7722,7724,32032,69300.0,6000000.0
2008-03-27,7690,8124,7690,7991,45379,71700.0,6000000.0
2008-03-28,7857,8258,7790,8158,50420,73200.0,6000000.0
2008-03-31,8257,8257,8056,8125,51429,72900.0,6000000.0
2008-04-01,8123,8224,7990,8192,51407,73500.0,6000000.0
2008-04-02,8291,8725,8257,8259,76555,74100.0,6000000.0
2008-04-03,8357,8558,8324,8359,53047,75000.0,6000000.0
2008-04-04,8292,8592,8225,8292,49568,74400.0,6000000.0
2008-04-07,8425,8425,8057,8292,70086,74400.0,6000000.0
2008-04-08,8324,8324,7956,7958,42371,71400.0,6000000.0
2008-04-10,7890,8158,7857,8091,38410,72600.0,6000000.0
2008-04-11,8158,8158,7857,7857,36804,70500.0,6000000.0
2008-04-14,7690,7823,7155,7155,75076,64200.0,6000000.0
2008-04-15,7188,7523,7021,7523,38757,67500.0,6000000.0
2008-04-16,7523,7656,7288,7389,16913,66300.0,6000000.0
2008-04-17,7421,7588,7287,7423,13785,66600.0,6000000.0
2008-04-18,7322,7456,7288,7389,19547,66300.0,6000000.0
2008-04-21,7555,7555,7354,7423,16520,66600.0,6000000.0
2008-04-22,7523,7523,7255,7389,16428,66300.0,6000000.0
2008-04-23,7254,7421,7254,7289,22245,65400.0,6000000.0
2008-04-24,7288,7757,7222,7456,54667,66900.0,6000000.0
2008-04-25,7523,7623,7456,7523,27974,67500.0,6000000.0
2008-04-28,7522,7956,7455,7824,89008,70200.0,6000000.0
2008-04-29,7957,8225,7623,7623,69097,68400.0,6000000.0
2008-04-30,7623,7890,7589,7757,20160,69600.0,6000000.0
2008-05-02,7889,8023,7622,7657,44742,68700.0,6000000.0
2008-05-06,7623,7623,7288,7389,45380,66300.0,6000000.0
2008-05-07,7456,7589,7389,7389,22822,66300.0,6000000.0
2008-05-08,7389,7489,7288,7389,28968,66300.0,6000000.0
2008-05-09,7388,7889,7388,7891,61170,70800.0,6000000.0
2008-05-13,8023,8023,7622,7891,37864,70800.0,6000000.0
2008-05-14,8091,9061,8057,9061,350582,81300.0,6000000.0
2008-05-15,9495,10331,9094,9596,873881,86100.0,6000000.0
2008-05-16,9528,10330,9294,10332,492408,92700.0,6000000.0
2008-05-19,10430,11868,10364,11636,889524,104400.0,6000000.0
2008-05-20,11634,11634,10464,10633,480542,95400.0,6000000.0
2008-05-21,10365,11468,10030,11368,529550,102000.0,6000000.0
2008-05-22,11233,12236,11032,11268,480144,101100.0,6000000.0
2008-05-23,11167,11434,10365,10365,245035,93000.0,6000000.0
2008-05-26,10264,10766,9863,10699,195262,96000.0,6000000.0
2008-05-27,10699,11535,10532,11468,274026,102900.0,6000000.0
2008-05-28,11568,11735,10465,10465,183499,93900.0,6000000.0
2008-05-29,10599,11267,10465,10933,166122,98100.0,6000000.0
2008-05-30,10865,11199,10698,10800,95329,96900.0,6000000.0
2008-06-02,11033,11033,10231,10365,113458,93000.0,6000000.0
2008-06-03,10664,11166,10364,10800,167544,96900.0,6000000.0
2008-06-04,10698,11333,10497,11335,172177,101700.0,6000000.0
2008-06-05,11400,12102,11233,11870,421919,106500.0,6000000.0
2008-06-09,11534,11668,11233,11569,193354,103800.0,6000000.0
2008-06-10,11903,12371,10665,10933,474112,98100.0,6000000.0
2008-06-11,11067,11134,10298,10699,194433,96000.0,6000000.0
2008-06-12,10364,10598,10230,10499,113009,94200.0,6000000.0
2008-06-13,10532,10699,9361,9395,208371,84300.0,6000000.0
2008-06-16,9595,9762,9360,9429,91652,84600.0,6000000.0
2008-06-17,9528,9561,8558,8727,182181,78300.0,6000000.0
2008-06-18,8726,9295,8726,9094,118157,81600.0,6000000.0
2008-06-19,9094,9094,8559,8693,90914,78000.0,6000000.0
2008-06-20,8927,9662,8927,9395,195515,84300.0,6000000.0
2008-06-23,9127,9161,8793,9061,107688,81300.0,6000000.0
2008-06-24,9061,9328,8927,8994,75940,80700.0,6000000.0
2008-06-25,9027,9161,8693,8693,67941,78000.0,6000000.0
2008-06-26,8759,8926,8458,8560,59486,76800.0,6000000.0
2008-06-27,8190,8324,7923,8125,77007,72900.0,6000000.0
2008-06-30,8024,8258,7690,7690,56464,69000.0,6000000.0
2008-07-01,7722,7856,7287,7356,95985,66000.0,6000000.0
2008-07-02,7389,7456,6660,6854,152864,61500.0,6000000.0
2008-07-03,6586,7155,6473,7021,120629,63000.0,6000000.0
2008-07-04,7021,7155,6753,6787,74628,60900.0,6000000.0
2008-07-07,6686,6886,6652,6674,49465,59880.0,6000000.0
2008-07-08,6687,6753,6245,6319,59141,56700.0,6000000.0
2008-07-09,6498,6752,6445,6507,69793,58380.0,6000000.0
2008-07-10,6284,6545,6284,6520,68527,58500.0,6000000.0
2008-07-11,6619,7488,6498,7490,168223,67200.0,6000000.0
2008-07-14,7757,8559,7589,8325,431139,74700.0,6000000.0
2008-07-15,8191,8325,7456,7456,159285,66900.0,6000000.0
2008-07-16,7623,8191,7556,7757,167899,69600.0,6000000.0
2008-07-17,8091,8225,7757,7757,146839,69600.0,6000000.0
2008-07-18,7923,7990,7187,7189,105145,64500.0,6000000.0
2008-07-21,7322,7823,7255,7556,77346,67800.0,6000000.0
2008-07-22,7455,7588,7221,7356,51070,66000.0,6000000.0
2008-07-23,7656,8325,7556,7924,273316,71100.0,6000000.0
2008-07-24,8024,8225,7757,8158,160795,73200.0,6000000.0
2008-07-25,7924,8124,7857,8091,65879,72600.0,6000000.0
2008-07-28,8090,8157,7856,7891,57376,70800.0,6000000.0
2008-07-29,7823,7823,7389,7757,70796,69600.0,6000000.0
2008-07-30,7924,8024,7556,7623,47578,68400.0,6000000.0
2008-07-31,7656,7757,7422,7556,44976,67800.0,6000000.0
2008-08-01,7556,7823,7489,7757,41484,69600.0,6000000.0
2008-08-04,7789,7789,6987,7189,83788,64500.0,6000000.0
2008-08-05,7088,7255,6680,6787,62044,60900.0,6000000.0
2008-08-06,7021,7121,6921,6988,34495,62700.0,6000000.0
2008-08-07,7021,7121,6787,6787,28401,60900.0,6000000.0
2008-08-08,6753,7088,6753,6988,18531,62700.0,6000000.0
2008-08-11,7188,7188,6854,6854,21342,61500.0,6000000.0
2008-08-12,6887,7088,6820,7021,36776,63000.0,6000000.0
2008-08-13,7021,7088,6753,6787,30895,60900.0,6000000.0
2008-08-14,6819,6886,6719,6888,24681,61800.0,6000000.0
2008-08-18,6886,7020,6819,6821,24240,61200.0,6000000.0
2008-08-19,6687,6787,6526,6593,28966,59160.0,6000000.0
2008-08-20,6560,6687,6499,6687,15465,60000.0,6000000.0
2008-08-21,6752,6752,6485,6500,18927,58320.0,6000000.0
2008-08-22,6519,6519,6098,6152,32491,55200.0,6000000.0
2008-08-25,6165,6219,6025,6025,17491,54060.0,6000000.0
2008-08-26,5851,6018,5851,5911,20474,53040.0,6000000.0
2008-08-27,5957,5957,5736,5798,19859,52020.0,6000000.0
2008-08-28,5796,5870,5749,5751,19846,51600.0,6000000.0
2008-08-29,5756,5856,5736,5818,13933,52200.0,6000000.0
2008-09-01,5717,5717,4948,4948,45129,44400.0,6000000.0
2008-09-02,4948,4948,4346,4480,74241,40200.0,6000000.0
2008-09-03,4359,5094,4359,5096,45666,45720.0,6000000.0
2008-09-04,4873,5335,4873,5323,29722,47760.0,6000000.0
2008-09-05,5035,5249,5015,5102,16637,45780.0,6000000.0
2008-09-08,5149,5510,5149,5510,20782,49440.0,6000000.0
2008-09-09,5516,5550,5383,5383,12376,48300.0,6000000.0
2008-09-10,5282,5530,5282,5376,7272,48240.0,6000000.0
2008-09-11,5376,5530,5376,5403,9570,48480.0,6000000.0
2008-09-12,5423,5697,5423,5697,27878,51120.0,6000000.0
2008-09-16,4868,5349,4848,4848,45990,43500.0,6000000.0
2008-09-17,4948,5215,4948,5062,23641,45420.0,6000000.0
2008-09-18,4794,5028,4794,4955,15042,44460.0,6000000.0
2008-09-19,5134,5609,5134,5370,43641,48180.0,6000000.0
2008-09-22,5549,5790,5502,5544,40099,49740.0,6000000.0
2008-09-23,5396,6152,5396,6018,40573,54000.0,6000000.0
2008-09-24,6137,6137,5796,5818,27510,52200.0,6000000.0
2008-09-25,5783,6338,5736,5952,58316,53400.0,6000000.0
2008-09-26,6117,6117,5836,5838,15856,52380.0,6000000.0
2008-09-29,6118,6118,5791,5791,11294,51960.0,6000000.0
2008-09-30,5148,5917,5148,5865,22934,52620.0,6000000.0
2008-10-01,5823,5950,5823,5865,10636,52620.0,6000000.0
2008-10-02,6085,6085,5724,5804,11469,52080.0,6000000.0
2008-10-06,5684,5804,5149,5189,20633,46560.0,6000000.0
2008-10-07,4955,5182,4828,5149,19660,46200.0,6000000.0
2008-10-08,4813,5101,4673,4708,29267,42240.0,6000000.0
2008-10-09,4808,4868,4587,4694,10219,42120.0,6000000.0
2008-10-10,4365,4445,4225,4280,27892,38400.0,6000000.0
2008-10-13,4413,4781,4413,4781,13391,42900.0,6000000.0
2008-10-14,5027,5415,5027,5216,32266,46800.0,6000000.0
2008-10-15,5088,5343,5082,5229,10651,46920.0,6000000.0
2008-10-16,4994,4994,4445,4447,20804,39900.0,6000000.0
2008-10-17,4613,4780,4292,4514,13738,40500.0,6000000.0
2008-10-20,4446,4814,4373,4614,6888,41400.0,6000000.0
2008-10-21,4761,4767,4540,4587,17271,41160.0,6000000.0
2008-10-22,4586,4666,4178,4407,14840,39540.0,6000000.0
2008-10-23,4159,4159,3751,3758,42886,33720.0,6000000.0
2008-10-24,3771,3771,3196,3196,32455,28680.0,6000000.0
2008-10-27,2908,3243,2718,2718,42186,24390.0,6000000.0
2008-10-28,2347,3109,2347,3009,51410,27000.0,6000000.0
2008-10-29,3342,3409,2807,2956,29473,26520.0,6000000.0
2008-10-30,3176,3397,3169,3397,41490,30480.0,6000000.0
2008-10-31,3397,3677,3336,3651,51426,32760.0,6000000.0
2008-11-03,3783,4071,3750,3912,32599,35100.0,6000000.0
2008-11-04,3977,4004,3743,3872,26365,34740.0,6000000.0
2008-11-05,4018,4212,3891,3945,45142,35400.0,6000000.0
2008-11-06,3730,3730,3355,3364,29638,30180.0,6000000.0
2008-11-07,3082,3644,3015,3604,38077,32340.0,6000000.0
2008-11-10,3737,3837,3603,3745,32788,33600.0,6000000.0
2008-11-11,3651,4199,3644,3865,52538,34680.0,6000000.0
2008-11-12,3717,3997,3717,3812,23227,34200.0,6000000.0
2008-11-13,3671,3671,3457,3651,17204,32760.0,6000000.0
2008-11-14,3845,4005,3771,3778,18063,33900.0,6000000.0
2008-11-17,3644,3711,3497,3497,84017,31380.0,6000000.0
2008-11-18,3544,3550,3443,3477,13095,31200.0,6000000.0
2008-11-19,3476,3482,3329,3334,14841,29910.0,6000000.0
2008-11-20,3082,3209,2955,3009,28780,27000.0,6000000.0
2008-11-21,2780,3389,2780,3344,22353,30000.0,6000000.0
2008-11-24,3216,3410,3049,3049,27411,27360.0,6000000.0
2008-11-25,3208,3335,3141,3143,35080,28200.0,6000000.0
2008-11-26,3168,3242,3168,3210,18497,28800.0,6000000.0
2008-11-27,3310,3316,3233,3263,40323,29280.0,6000000.0
2008-11-28,3322,3322,3175,3257,17435,29220.0,6000000.0
2008-12-01,3276,3376,3186,3323,33099,29820.0,6000000.0
2008-12-02,3262,3292,3101,3210,15858,28800.0,6000000.0
2008-12-03,3269,3275,3155,3220,24587,28890.0,6000000.0
2008-12-04,3326,3326,3142,3196,22650,28680.0,6000000.0
2008-12-05,3232,3232,3121,3180,12022,28530.0,6000000.0
2008-12-08,3216,3410,3183,3350,44277,30060.0,6000000.0
2008-12-09,3382,3810,3362,3638,79609,32640.0,6000000.0
2008-12-10,3757,3757,3589,3745,46264,33600.0,6000000.0
2008-12-11,3837,3837,3643,3832,32838,34380.0,6000000.0
2008-12-12,3684,3838,3584,3624,55026,32520.0,6000000.0
2008-12-15,3771,4045,3764,3945,37273,35400.0,6000000.0
2008-12-16,3864,4044,3864,4006,23063,35940.0,6000000.0
2008-12-17,4146,4146,3845,3945,27618,35400.0,6000000.0
2008-12-18,3945,4059,3831,3838,23770,34440.0,6000000.0
2008-12-19,3911,3911,3825,3825,13801,34320.0,6000000.0
2008-12-22,3905,4125,3845,4012,26496,36000.0,6000000.0
2008-12-23,4052,4279,3858,4166,45139,37380.0,6000000.0
2008-12-24,4111,4245,3997,4066,15618,36480.0,6000000.0
2008-12-26,4017,4111,3997,4026,14897,36120.0,6000000.0
2008-12-29,4018,4018,3831,3845,13272,34500.0,6000000.0
2008-12-30,3938,3938,3798,3899,10195,34980.0,6000000.0
2009-01-02,3871,4092,3871,4012,16779,36000.0,6000000.0
2009-01-05,4079,4179,4039,4079,33407,36600.0,6000000.0
2009-01-06,4145,4312,4078,4233,19913,37980.0,6000000.0
2009-01-07,4245,4472,4231,4447,47043,39900.0,6000000.0
2009-01-08,4345,4392,4165,4233,40012,37980.0,6000000.0
2009-01-09,4278,4318,4211,4280,24540,38400.0,6000000.0
2009-01-12,4305,4399,4165,4367,15324,39180.0,6000000.0
2009-01-13,4313,4560,4313,4500,36707,40380.0,6000000.0
2009-01-14,4493,4547,4426,4507,17253,40440.0,6000000.0
2009-01-15,4346,4507,4079,4119,32733,36960.0,6000000.0
2009-01-16,4232,4279,3965,4179,18124,37500.0,6000000.0
2009-01-19,4226,4500,4186,4400,27762,39480.0,6000000.0
2009-01-20,4326,4400,4232,4293,13767,38520.0,6000000.0
2009-01-21,4125,4346,4052,4246,19716,38100.0,6000000.0
2009-01-22,4285,4880,4285,4882,130973,43800.0,6000000.0
2009-01-23,4980,5515,4914,5323,382073,47760.0,6000000.0
2009-01-28,5383,5456,5229,5383,122858,48300.0,6000000.0
2009-01-29,5416,5617,5189,5189,78379,46560.0,6000000.0
2009-01-30,5021,5114,4960,4962,63455,44520.0,6000000.0
2009-02-02,5081,5114,4887,4922,45351,44160.0,6000000.0
2009-02-03,5055,5316,4981,5249,59940,47100.0,6000000.0
2009-02-04,5328,5388,5148,5263,62276,47220.0,6000000.0
2009-02-05,5182,5269,5082,5082,43392,45600.0,6000000.0
2009-02-06,5188,5214,5061,5136,21849,46080.0,6000000.0
