라이온켐텍(171120),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-03-31,12379,12407,11966,12353,38025,227661.0,10163425.0
2014-04-01,12296,12654,12048,12518,43178,230710.0,10163425.0
2014-04-02,12517,12600,12269,12490,51268,230202.0,10163425.0
2014-04-03,12572,12820,12076,12077,46827,222579.0,10163425.0
2014-04-04,12076,12186,11773,12077,23369,222579.0,10163425.0
2014-04-07,12186,12352,12021,12298,28245,226644.0,10163425.0
2014-04-08,12242,12324,11966,12132,23727,223595.0,10163425.0
2014-04-09,12242,12242,11827,11912,11842,219530.0,10163425.0
2014-04-10,11938,12048,11718,11719,23540,215973.0,10163425.0
2014-04-11,11579,12103,11387,11884,24983,219022.0,10163425.0
2014-04-14,11883,12131,11773,11884,26334,219022.0,10163425.0
2014-04-15,12021,12600,11883,12436,66784,229185.0,10163425.0
2014-04-16,12848,14282,12682,14283,575025,263233.0,10163425.0
2014-04-17,14199,14420,13841,14255,183032,262725.0,10163425.0
2014-04-18,14199,15109,14089,14503,178070,267298.0,10163425.0
2014-04-21,14420,14585,14033,14420,45756,265774.0,10163425.0
2014-04-22,14309,15136,14254,14724,144851,271363.0,10163425.0
2014-04-23,14943,15136,14282,14283,61293,263233.0,10163425.0
2014-04-24,14474,14502,13730,14503,56069,267298.0,10163425.0
2014-04-25,14392,14474,13757,14008,63557,258151.0,10163425.0
2014-04-28,13814,13951,13455,13484,55720,248496.0,10163425.0
2014-04-29,13620,13868,13482,13760,38698,253577.0,10163425.0
2014-04-30,13841,14144,13509,13897,56353,256118.0,10163425.0
2014-05-02,14061,14474,13620,14255,65170,262725.0,10163425.0
2014-05-07,14254,14337,13785,13980,45135,257643.0,10163425.0
2014-05-08,14309,15551,14226,15193,237839,280002.0,10163425.0
2014-05-09,15136,15219,14833,15138,71460,278986.0,10163425.0
2014-05-12,15275,15881,14916,15165,121175,279494.0,10163425.0
2014-05-13,15164,15192,14723,14724,74267,271363.0,10163425.0
2014-05-14,14750,15026,14502,14807,66388,272888.0,10163425.0
2014-05-15,14668,14860,14365,14448,61133,266282.0,10163425.0
2014-05-16,14585,14943,14420,14724,84860,271363.0,10163425.0
2014-05-19,14557,14696,14061,14090,70606,259676.0,10163425.0
2014-05-20,14116,14585,13565,14559,60559,268314.0,10163425.0
2014-05-21,14448,14916,14337,14752,46053,271872.0,10163425.0
2014-05-22,14750,14943,14226,14503,29491,267298.0,10163425.0
2014-05-23,14309,14723,14006,14614,45831,269331.0,10163425.0
2014-05-26,14612,15054,14502,14835,57741,273396.0,10163425.0
2014-05-27,14860,14860,14502,14779,22943,272380.0,10163425.0
2014-05-28,14723,14806,14448,14448,25113,266282.0,10163425.0
2014-05-29,14420,14502,13979,14172,32807,261200.0,10163425.0
2014-05-30,14089,14254,13757,13814,29903,254594.0,10163425.0
2014-06-02,13730,13896,13013,13180,56935,242906.0,10163425.0
2014-06-03,13345,13372,12654,12905,49321,237824.0,10163425.0
2014-06-05,12986,13565,12903,13511,27934,249004.0,10163425.0
2014-06-09,13565,13896,13509,13621,35058,251037.0,10163425.0
2014-06-10,13593,13757,13234,13511,28527,249004.0,10163425.0
2014-06-11,13620,13620,13013,13069,38145,240873.0,10163425.0
2014-06-12,12930,13179,12600,12711,88594,234267.0,10163425.0
2014-06-13,12628,12628,11938,12381,114606,228169.0,10163425.0
2014-06-16,12628,12848,12490,12518,23739,230710.0,10163425.0
2014-06-17,12545,13482,12462,13373,27747,246463.0,10163425.0
2014-06-18,13289,13593,13041,13069,17632,240873.0,10163425.0
2014-06-19,13234,13482,12682,13484,21575,248496.0,10163425.0
2014-06-20,13427,13565,13124,13291,29682,244939.0,10163425.0
2014-06-23,13234,13923,13151,13566,33393,250020.0,10163425.0
2014-06-24,13675,13675,13124,13153,18307,242398.0,10163425.0
2014-06-25,13096,13096,12765,12794,14006,235791.0,10163425.0
2014-06-26,12958,13206,12793,13153,13771,242398.0,10163425.0
2014-06-27,13151,13317,13151,13263,33040,244430.0,10163425.0
2014-06-30,13262,13647,13069,13593,26377,250528.0,10163425.0
2014-07-01,13703,13785,13455,13732,17105,253069.0,10163425.0
2014-07-02,14116,14282,13757,13952,44951,257135.0,10163425.0
2014-07-03,14061,14061,13593,13649,29965,251545.0,10163425.0
2014-07-04,13647,13868,13345,13760,27517,253577.0,10163425.0
2014-07-07,13757,14778,13757,14724,88824,271363.0,10163425.0
2014-07-08,14723,14833,14420,14835,42747,273396.0,10163425.0
2014-07-09,14750,14833,14392,14503,21925,267298.0,10163425.0
2014-07-10,14612,14888,14365,14669,48109,270347.0,10163425.0
2014-07-11,14585,15026,14502,15000,64040,276445.0,10163425.0
2014-07-14,14999,15302,14971,15165,88374,279494.0,10163425.0
2014-07-15,15219,15743,15081,15634,123555,288133.0,10163425.0
2014-07-16,15523,15716,14943,15275,89201,281527.0,10163425.0
2014-07-17,15412,15468,15136,15386,48522,283560.0,10163425.0
2014-07-18,15495,16046,15440,15827,165560,291690.0,10163425.0
2014-07-21,16129,16211,15853,16048,49064,295756.0,10163425.0
2014-07-22,16211,16322,15881,16268,89573,299821.0,10163425.0
2014-07-23,16211,16432,16046,16240,32939,299313.0,10163425.0
2014-07-24,16074,16211,15716,15992,42767,294739.0,10163425.0
2014-07-25,15992,15992,15329,15799,96779,291182.0,10163425.0
2014-07-28,15660,15798,15081,15414,38379,284068.0,10163425.0
2014-07-29,15633,15633,14833,15275,74606,281527.0,10163425.0
2014-07-30,15275,16157,15275,16103,80239,296772.0,10163425.0
2014-07-31,15992,16322,15771,16103,34627,296772.0,10163425.0
2014-08-01,15992,16432,15716,16213,43902,298805.0,10163425.0
2014-08-04,16378,16405,15936,16296,27708,300329.0,10163425.0
2014-08-05,16432,16432,15992,16240,31308,299313.0,10163425.0
2014-08-06,16239,16268,15853,16158,24246,297788.0,10163425.0
2014-08-07,15909,16211,15164,15414,33853,284068.0,10163425.0
2014-08-08,15495,15495,14806,15027,45800,276953.0,10163425.0
2014-08-11,15164,15275,14557,15165,37300,279494.0,10163425.0
2014-08-12,15329,15357,14723,15110,25743,278478.0,10163425.0
2014-08-13,15109,15577,14916,15496,38017,285592.0,10163425.0
2014-08-14,15495,16322,15440,16268,85137,299821.0,10163425.0
2014-08-18,16378,16543,15936,16350,63665,301346.0,10163425.0
2014-08-19,16378,17590,16211,17426,143981,321164.0,10163425.0
2014-08-20,17425,19576,17260,18750,201964,345556.0,10163425.0
2014-08-21,18556,18556,17701,17758,904544,327262.0,10163425.0
2014-08-22,18307,19465,17949,18529,288250,341491.0,10163425.0
2014-08-25,18666,19245,17618,18861,149967,347589.0,10163425.0
2014-08-26,18914,20788,18694,19522,210830,359785.0,10163425.0
2014-08-27,19521,20237,18832,19053,107157,351146.0,10163425.0
2014-08-28,19079,19659,18749,18805,31896,346573.0,10163425.0
2014-08-29,18694,19134,18087,18226,86638,335901.0,10163425.0
2014-09-01,18224,19025,17839,18253,77214,336409.0,10163425.0
2014-09-02,18859,19162,18059,18639,104561,343524.0,10163425.0
2014-09-03,18473,19659,18418,19522,77066,359785.0,10163425.0
2014-09-04,19686,20155,18886,18888,70503,348097.0,10163425.0
2014-09-05,18832,19301,18087,18971,70294,349622.0,10163425.0
2014-09-11,19218,19218,18528,18695,25196,344540.0,10163425.0
2014-09-12,18694,18859,18115,18198,41527,335393.0,10163425.0
2014-09-15,18141,18473,18032,18226,28330,335901.0,10163425.0
2014-09-16,18362,18832,18032,18805,59727,346573.0,10163425.0
2014-09-17,18832,18942,18252,18750,46806,345556.0,10163425.0
2014-09-18,18694,18942,18418,18639,28304,343524.0,10163425.0
2014-09-19,18610,19989,18583,19798,110140,364867.0,10163425.0
2014-09-22,19796,20237,19355,20018,55440,368932.0,10163425.0
2014-09-23,19879,20045,19521,19825,23710,365375.0,10163425.0
2014-09-24,19961,20348,19273,19549,68128,360293.0,10163425.0
2014-09-25,19576,19741,18473,18750,84998,345556.0,10163425.0
2014-09-26,18583,18694,17922,18144,88626,334377.0,10163425.0
2014-09-29,17977,18446,17839,18005,54288,331836.0,10163425.0
2014-09-30,18004,18141,16929,17922,154396,330311.0,10163425.0
2014-10-01,18087,18087,17095,17095,67916,315066.0,10163425.0
2014-10-02,17038,17314,16598,16985,51198,313033.0,10163425.0
2014-10-06,17012,17370,15716,15799,116069,291182.0,10163425.0
2014-10-07,15826,16405,15826,16131,49123,297280.0,10163425.0
2014-10-08,16129,17314,16129,17234,155153,317607.0,10163425.0
2014-10-10,17122,18059,16791,17619,121704,324721.0,10163425.0
2014-10-13,17260,17783,16819,17151,46848,316083.0,10163425.0
2014-10-14,17067,18141,16929,17922,43626,330311.0,10163425.0
2014-10-15,17729,18032,17425,17785,36481,327770.0,10163425.0
2014-10-16,17783,17977,17067,17702,62676,326246.0,10163425.0
2014-10-17,17453,18307,17453,17674,55325,325738.0,10163425.0
2014-10-20,17701,19107,17701,18695,118184,344540.0,10163425.0
2014-10-21,18942,19327,18418,19329,98733,356228.0,10163425.0
2014-10-22,19355,19631,19107,19273,44330,355212.0,10163425.0
2014-10-23,19301,19355,18776,18777,37538,346065.0,10163425.0
2014-10-24,18804,19134,18749,18971,24210,349622.0,10163425.0
2014-10-27,18969,19245,18500,18971,22880,349622.0,10163425.0
2014-10-28,18969,18969,17977,18364,74027,338442.0,10163425.0
2014-10-29,18362,18694,17535,18585,62063,342507.0,10163425.0
2014-10-30,18473,18500,17425,17840,52712,328787.0,10163425.0
2014-10-31,17535,17866,16984,17343,46075,319640.0,10163425.0
2014-11-03,17343,17535,16984,16985,29899,313033.0,10163425.0
2014-11-04,16984,17314,16350,16819,37145,309984.0,10163425.0
2014-11-05,16432,17122,16432,16682,18564,307444.0,10163425.0
2014-11-06,16708,16984,16019,16682,41253,307444.0,10163425.0
2014-11-07,16708,16708,15605,15717,97059,289658.0,10163425.0
2014-11-10,15771,15881,13372,13566,334361,250020.0,10163425.0
2014-11-11,13565,13675,12600,13069,273704,240873.0,10163425.0
2014-11-12,13179,13482,12572,13208,184039,243414.0,10163425.0
2014-11-13,13096,13979,12958,13428,178335,247479.0,10163425.0
2014-11-14,13785,14420,13427,14008,118545,258151.0,10163425.0
2014-11-17,14061,14116,12876,12877,85247,237316.0,10163425.0
2014-11-18,12793,13509,12793,13208,66128,243414.0,10163425.0
2014-11-19,13399,13896,13234,13897,53582,256118.0,10163425.0
2014-11-20,13951,14365,13841,14283,73266,263233.0,10163425.0
2014-11-21,14612,14888,14172,14476,62412,266790.0,10163425.0
2014-11-24,14641,14641,14172,14255,43945,262725.0,10163425.0
2014-11-25,14282,14474,13951,14090,44507,259676.0,10163425.0
2014-11-26,14282,14282,13593,13952,38746,257135.0,10163425.0
2014-11-27,14006,14309,13923,14008,28275,258151.0,10163425.0
2014-11-28,13841,14502,13675,14283,40319,263233.0,10163425.0
2014-12-01,14392,14668,14144,14172,38970,261200.0,10163425.0
2014-12-02,14530,14530,14061,14090,16229,259676.0,10163425.0
2014-12-03,14006,14226,13896,14118,28315,260184.0,10163425.0
2014-12-04,14006,14557,13896,14503,28236,267298.0,10163425.0
2014-12-05,14502,15054,14502,14807,46074,272888.0,10163425.0
2014-12-08,14806,14943,14448,14835,34647,273396.0,10163425.0
2014-12-09,14888,14916,14557,14614,24128,269331.0,10163425.0
2014-12-10,14448,14750,14309,14614,21380,269331.0,10163425.0
2014-12-11,14337,14778,13814,14008,46857,258151.0,10163425.0
2014-12-12,13814,14172,13675,13980,27918,257643.0,10163425.0
2014-12-15,13675,14226,13675,14228,18525,262216.0,10163425.0
2014-12-16,14116,14420,13896,14228,16699,262216.0,10163425.0
2014-12-17,14226,14337,14006,14283,8392,263233.0,10163425.0
2014-12-18,14282,14282,13923,13924,6412,256626.0,10163425.0
2014-12-19,13979,14309,13841,14283,21687,263233.0,10163425.0
2014-12-22,14502,14502,13647,13760,29061,253577.0,10163425.0
2014-12-23,13620,13785,13345,13621,27613,251037.0,10163425.0
2014-12-24,13509,14033,13289,13760,30281,253577.0,10163425.0
2014-12-26,13703,13923,13289,13814,31318,254594.0,10163425.0
2014-12-29,14010,14010,13533,13618,11821,246463.0,10163425.0
2014-12-30,13504,13757,12971,13253,56854,239857.0,10163425.0
2015-01-02,13139,13533,13083,13253,18470,239857.0,10163425.0
2015-01-05,13195,13757,12971,13730,22748,248496.0,10163425.0
2015-01-06,13701,13982,13560,13983,20063,253069.0,10163425.0
2015-01-07,14318,14768,14150,14712,47817,266282.0,10163425.0
2015-01-08,16284,16481,14683,14712,186976,266282.0,10163425.0
2015-01-09,14656,14880,14347,14741,31639,266790.0,10163425.0
2015-01-12,14908,16116,14796,16116,74953,291690.0,10163425.0
2015-01-13,15891,16621,15891,16313,64115,295247.0,10163425.0
2015-01-14,16144,16425,15722,16004,23782,289658.0,10163425.0
2015-01-15,16144,16144,15498,15527,31521,281019.0,10163425.0
2015-01-16,15666,15722,15358,15611,25854,282543.0,10163425.0
2015-01-19,15807,16312,15554,15948,29560,288641.0,10163425.0
2015-01-20,15863,16228,15863,15920,20425,288133.0,10163425.0
2015-01-21,16003,16116,15554,15583,33799,282035.0,10163425.0
2015-01-22,15554,15666,15273,15330,34916,277462.0,10163425.0
2015-01-23,15329,15610,15245,15443,26380,279494.0,10163425.0
2015-01-26,15582,15779,15273,15499,20083,280511.0,10163425.0
2015-01-27,15498,16481,15498,16285,57494,294739.0,10163425.0
2015-01-28,16312,16733,16031,16566,58429,299821.0,10163425.0
2015-01-29,16621,16762,16397,16397,37319,296772.0,10163425.0
2015-01-30,16145,17026,16103,16481,44216,199711.0,10163425.0
2015-02-02,16439,16732,15936,16691,17909,202252.0,10163425.0
2015-02-03,16774,18787,16690,17362,135247,210383.0,10163425.0
2015-02-04,17194,17613,17110,17404,24443,210891.0,10163425.0
2015-02-05,17403,17529,16942,17488,17152,211907.0,10163425.0
2015-02-06,17026,17655,16900,17026,29906,206318.0,10163425.0
2015-02-09,16774,17026,15936,16565,56938,200728.0,10163425.0
2015-02-10,16690,16690,15642,15684,67992,190056.0,10163425.0
2015-02-11,15684,16355,15642,15978,20941,193613.0,10163425.0
2015-02-12,16229,16229,15726,15852,9050,192089.0,10163425.0
2015-02-13,15432,16523,15223,16062,51544,194630.0,10163425.0
2015-02-16,16523,17445,15852,16859,67491,204285.0,10163425.0
2015-02-17,16565,16774,16061,16397,56413,296869.0,15185137.0
2015-02-23,16565,16607,16145,16439,36673,297629.0,15185137.0
2015-02-24,16397,16565,15852,15936,77017,288518.0,15185137.0
2015-02-25,15936,16355,15936,16146,27766,292314.0,15185137.0
2015-02-26,15936,16900,15936,16817,64461,304462.0,15185137.0
2015-02-27,16816,17194,16648,16817,57106,304462.0,15185137.0
2015-03-02,17026,17445,16900,16984,48840,307499.0,15185137.0
2015-03-03,17194,17194,16607,16691,35714,302184.0,15185137.0
2015-03-04,16732,16858,15977,16104,66023,291555.0,15185137.0
2015-03-05,16103,16607,15936,16313,91007,295351.0,15185137.0
2015-03-06,16187,16858,16187,16481,57657,298388.0,15185137.0
2015-03-09,16481,16607,15977,16062,40300,290795.0,15185137.0
2015-03-10,16061,16397,15936,16062,42949,290795.0,15185137.0
2015-03-11,15768,16481,15768,16062,149093,290795.0,15185137.0
2015-03-12,16019,16271,15936,16062,32110,290795.0,15185137.0
2015-03-13,16019,16313,16019,16062,23563,290795.0,15185137.0
2015-03-16,15977,16019,15013,15055,164123,272573.0,15185137.0
2015-03-17,15181,15306,14761,15013,99795,271814.0,15185137.0
2015-03-18,14971,15306,14887,14930,59090,270295.0,15185137.0
2015-03-19,15181,15181,14384,14468,86531,261944.0,15185137.0
2015-03-20,14342,14845,14342,14804,27183,268018.0,15185137.0
2015-03-23,14719,15348,14677,15223,43326,275610.0,15185137.0
2015-03-24,15223,15516,15055,15391,36155,278647.0,15185137.0
2015-03-25,15390,15516,15097,15181,24405,274851.0,15185137.0
2015-03-26,15181,15181,14635,15013,26258,271814.0,15185137.0
2015-03-27,14929,15139,14468,14510,32110,262703.0,15185137.0
2015-03-30,14468,14971,14174,14971,41699,271055.0,15185137.0
2015-03-31,14887,15013,14510,14930,24822,270295.0,15185137.0
2015-04-01,14929,15055,14468,14678,27574,265740.0,15185137.0
2015-04-02,14594,14887,14300,14342,45313,259666.0,15185137.0
2015-04-03,14426,14552,14258,14342,22864,259666.0,15185137.0
2015-04-06,14468,14552,13923,14091,42110,255110.0,15185137.0
2015-04-07,14216,14803,14132,14762,43507,267258.0,15185137.0
2015-04-08,14719,14971,14384,14510,39733,262703.0,15185137.0
2015-04-09,14594,14635,14090,14217,55256,257388.0,15185137.0
2015-04-10,14132,14342,13839,14007,95779,253592.0,15185137.0
2015-04-13,14006,14048,13461,13630,90353,246758.0,15185137.0
2015-04-14,13671,13965,13461,13881,70485,251314.0,15185137.0
2015-04-15,13881,14006,13629,13755,47603,249036.0,15185137.0
2015-04-16,13923,15768,13839,15433,317254,279407.0,15185137.0
2015-04-17,15306,15852,14761,15601,173394,282444.0,15185137.0
2015-04-20,15642,15852,15139,15307,161674,277129.0,15185137.0
2015-04-21,15348,16439,15139,16104,262882,291555.0,15185137.0
2015-04-22,16187,16690,15306,16104,253468,295411.0,15386005.0
2015-04-23,16229,16607,14887,15517,156818,284641.0,15386005.0
2015-04-24,15348,15516,14677,14888,116807,273102.0,15386005.0
2015-04-27,14887,15055,14006,14217,221690,260793.0,15386005.0
2015-04-28,13923,14468,13923,14133,128713,259254.0,15386005.0
2015-04-29,14174,14929,14048,14888,126238,273102.0,15386005.0
2015-04-30,14552,14761,14090,14384,125849,263870.0,15386005.0
2015-05-04,14426,14510,13839,13923,80728,255408.0,15386005.0
2015-05-06,13713,14006,13671,13839,81742,253869.0,15386005.0
2015-05-07,13713,14006,13587,14007,50819,256946.0,15386005.0
2015-05-08,14048,14929,13881,14888,137103,273102.0,15386005.0
2015-05-11,15181,15265,14761,14971,102899,274640.0,15386005.0
2015-05-12,14803,14971,14677,14678,86663,269255.0,15386005.0
2015-05-13,14552,15013,14426,14846,73231,272332.0,15386005.0
2015-05-14,15013,15977,14887,15768,374523,289257.0,15386005.0
2015-05-15,15894,16271,15600,15936,218895,292334.0,15386005.0
2015-05-18,16187,16229,14929,15055,215259,276179.0,15386005.0
2015-05-19,14929,17278,14384,16649,533019,305412.0,15386005.0
2015-05-20,17068,18452,16942,17739,1058004,325414.0,15386005.0
2015-05-21,17529,18242,17403,17655,394033,323875.0,15386005.0
2015-05-22,17907,18787,17613,18494,404620,339261.0,15386005.0
2015-05-26,18745,18745,17487,17614,213771,323106.0,15386005.0
2015-05-27,17613,17781,16732,17068,388458,313105.0,15386005.0
2015-05-28,16900,17529,16732,16984,288465,311567.0,15386005.0
2015-05-29,16984,17319,16648,17236,145538,316182.0,15386005.0
2015-06-01,17278,17655,16816,17530,136924,321568.0,15386005.0
2015-06-02,17655,17697,16313,16691,186169,306181.0,15386005.0
2015-06-03,16355,16858,15684,16313,122166,299258.0,15386005.0
2015-06-04,16313,16565,15977,16272,83523,298488.0,15386005.0
2015-06-05,16103,16145,15432,15517,172368,284641.0,15386005.0
2015-06-08,15306,15642,14971,15139,172666,277717.0,15386005.0
2015-06-09,15223,15810,14929,15642,118554,286949.0,15386005.0
2015-06-10,15516,15768,15055,15181,107179,278487.0,15386005.0
2015-06-11,15265,16187,15265,16020,141155,293873.0,15386005.0
2015-06-12,16145,16523,15726,16020,113415,293873.0,15386005.0
2015-06-15,15768,16145,15097,15433,97496,283102.0,15386005.0
2015-06-16,15474,15726,14677,15097,106243,276948.0,15386005.0
2015-06-17,15139,15558,14929,15265,51421,280025.0,15386005.0
2015-06-18,15265,15852,15181,15684,111129,287718.0,15386005.0
2015-06-19,15936,16355,15810,16188,131241,296950.0,15386005.0
2015-06-22,16355,17949,16229,17152,455386,314644.0,15386005.0
2015-06-23,17445,17487,16565,16817,189603,308489.0,15386005.0
2015-06-24,16816,16816,16355,16523,110164,303104.0,15386005.0
2015-06-25,16523,17361,16313,17362,148877,318490.0,15386005.0
2015-06-26,17361,17361,16607,17068,142162,313105.0,15386005.0
2015-06-29,16439,17110,16439,16565,101638,303874.0,15386005.0
2015-06-30,16439,17152,15936,17026,98696,312336.0,15386005.0
2015-07-01,17110,17278,16816,17278,116335,316952.0,15386005.0
2015-07-02,17445,17571,16690,16775,261030,307720.0,15386005.0
2015-07-03,16648,16774,16313,16481,123327,302335.0,15386005.0
2015-07-06,16439,16984,16271,16397,135920,300796.0,15386005.0
2015-07-07,16397,16523,15768,16062,174287,294642.0,15386005.0
2015-07-08,16019,16397,15516,15726,118147,288488.0,15386005.0
2015-07-09,15348,15810,14677,15810,163012,290026.0,15386005.0
2015-07-10,15768,16103,15474,15810,54400,290026.0,15386005.0
2015-07-13,16103,18326,15936,17949,515963,329261.0,15386005.0
2015-07-14,18452,18494,17613,18368,570749,336954.0,15386005.0
2015-07-15,18368,19542,18368,19417,740377,356186.0,15386005.0
2015-07-16,19458,19878,18997,19836,506524,363879.0,15386005.0
2015-07-17,19836,19878,19039,19710,441491,361571.0,15386005.0
2015-07-20,20045,20213,19081,19459,265359,356955.0,15386005.0
2015-07-21,19500,19542,18452,19123,285808,350801.0,15386005.0
2015-07-22,19039,19416,18578,18872,237036,346185.0,15386005.0
2015-07-23,19123,19123,17571,17991,425165,330030.0,15386005.0
2015-07-24,17990,18536,17697,18410,143935,337723.0,15386005.0
2015-07-27,18452,18745,17990,18620,155525,341569.0,15386005.0
2015-07-28,18200,18703,17697,18494,151821,339261.0,15386005.0
2015-07-29,18829,18829,17403,17446,218118,320029.0,15386005.0
2015-07-30,17571,17823,16858,17026,147287,312336.0,15386005.0
2015-07-31,17026,17194,16271,17194,158645,315413.0,15386005.0
2015-08-03,17026,17152,16145,16230,129877,297719.0,15386005.0
2015-08-04,16103,16732,16103,16691,53100,306181.0,15386005.0
