케어랩스(263700),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-01-11,19800,19800,19000,19200,18774,118431.0,6168275.0
2019-01-14,19100,19400,18400,18600,32034,114730.0,6168275.0
2019-01-15,19250,19250,18600,18900,10965,116580.0,6168275.0
2019-01-16,19150,19150,18450,18750,10037,115655.0,6168275.0
2019-01-17,18850,18850,18300,18400,19060,113496.0,6168275.0
2019-01-18,18400,18600,17950,18400,26151,113496.0,6168275.0
2019-01-21,18500,18600,18150,18450,14609,113805.0,6168275.0
2019-01-22,18250,18500,18050,18050,22919,111337.0,6168275.0
2019-01-23,18200,18350,17950,18050,10182,111337.0,6168275.0
2019-01-24,18100,18400,18000,18300,16529,112879.0,6168275.0
2019-01-25,18600,19500,18500,19000,50300,117197.0,6168275.0
2019-01-28,19100,19700,18850,19300,28729,119048.0,6168275.0
2019-01-29,19300,19300,18600,18850,24008,116272.0,6168275.0
2019-01-30,18850,19050,18700,18950,17958,116889.0,6168275.0
2019-01-31,19050,19950,19000,19900,55725,122749.0,6168275.0
2019-02-01,20000,20400,19250,19400,30425,120053.0,6188275.0
2019-02-07,19350,19350,18900,19000,17974,117577.0,6188275.0
2019-02-08,19000,19400,18900,19300,13958,119434.0,6188275.0
2019-02-11,19450,19500,18750,19350,47818,119743.0,6188275.0
2019-02-12,19450,19450,19100,19200,16987,118815.0,6188275.0
2019-02-13,19350,19850,19050,19750,42499,122218.0,6188275.0
2019-02-14,19750,20800,19600,20650,105565,127788.0,6188275.0
2019-02-15,20850,21650,20200,21200,133388,131191.0,6188275.0
2019-02-18,21500,21600,20950,21500,64273,133048.0,6188275.0
2019-02-19,21400,21400,20950,21200,38711,131191.0,6188275.0
2019-02-20,21600,22250,21150,21350,69220,132120.0,6188275.0
2019-02-21,21450,22200,20700,21850,135584,135214.0,6188275.0
2019-02-22,22350,23850,21150,21450,361211,132738.0,6188275.0
2019-02-25,21500,21900,21250,21700,135466,134286.0,6188275.0
2019-02-26,21650,22000,20600,20900,117119,129335.0,6188275.0
2019-02-27,20800,21050,20600,21000,67879,129954.0,6188275.0
2019-02-28,21000,21550,20250,20500,136959,126860.0,6188275.0
2019-03-04,20900,21350,20800,20950,61371,129644.0,6188275.0
2019-03-05,21000,21400,20650,20850,54722,129026.0,6188275.0
2019-03-06,20800,21000,20350,20500,44099,126860.0,6188275.0
2019-03-07,20400,20800,19500,19800,66087,122528.0,6188275.0
2019-03-08,20000,20300,19700,19900,25888,123147.0,6188275.0
2019-03-11,20000,20000,18900,19500,72417,120671.0,6188275.0
2019-03-12,19700,21300,19700,20950,148498,129644.0,6188275.0
2019-03-13,21350,21350,20500,20950,86638,129644.0,6188275.0
2019-03-14,20950,22150,20750,22050,212575,136451.0,6188275.0
2019-03-15,22200,22200,21150,21450,102882,132738.0,6188275.0
2019-03-18,21650,25200,21550,24600,1111108,152232.0,6188275.0
2019-03-19,24150,25200,24050,24650,327378,152541.0,6188275.0
2019-03-20,24650,27800,24450,27450,834760,169923.0,6190275.0
2019-03-21,27150,28250,26300,27000,307072,167137.0,6190275.0
2019-03-22,26850,28200,20200,22900,1113432,141757.0,6190275.0
2019-03-25,22700,24950,22650,23550,430549,145781.0,6190275.0
2019-03-26,23600,24300,22200,23150,167104,143305.0,6190275.0
2019-03-27,23350,23350,21150,21300,274305,131853.0,6190275.0
2019-03-28,21550,22500,21350,21800,147110,134948.0,6190275.0
2019-03-29,21650,22350,20150,20300,251129,125663.0,6190275.0
2019-04-01,20300,22750,19800,21500,430439,133091.0,6190275.0
2019-04-02,21350,21650,20750,20950,82537,129686.0,6190275.0
2019-04-03,20950,21300,20800,21300,58107,131853.0,6190275.0
2019-04-04,21250,22250,21150,22000,123644,136186.0,6190275.0
2019-04-05,21800,22500,21600,22300,84859,138043.0,6190275.0
2019-04-08,22400,22650,21800,21800,87607,134948.0,6190275.0
2019-04-09,21600,21950,21150,21300,89636,131853.0,6190275.0
2019-04-10,21250,23350,21100,23000,269943,142376.0,6190275.0
2019-04-11,22850,23150,22350,22600,86746,139900.0,6190275.0
2019-04-12,22600,22700,22050,22300,55777,138043.0,6190275.0
2019-04-15,22300,24000,22250,24000,272210,148567.0,6190275.0
2019-04-16,24050,24250,23250,23750,119319,147019.0,6190275.0
2019-04-17,23750,23750,23150,23350,74897,144543.0,6190275.0
2019-04-18,23500,23500,22100,22150,120936,137115.0,6190275.0
2019-04-19,22200,22500,21500,21700,130620,134524.0,6199275.0
2019-04-22,21750,22400,21600,21800,54528,135144.0,6199275.0
2019-04-23,21800,22200,21750,21850,49481,135454.0,6199275.0
2019-04-24,22000,22300,21500,21850,63175,135454.0,6199275.0
2019-04-25,21850,21850,21000,21200,73252,131425.0,6199275.0
2019-04-26,21000,21350,19650,19900,172793,123366.0,6199275.0
2019-04-29,20200,20200,19600,19900,59083,123366.0,6199275.0
2019-04-30,20000,20300,19700,19950,44483,123676.0,6199275.0
2019-05-02,20250,20350,19850,20100,59474,124605.0,6199275.0
2019-05-03,19900,20300,19850,19950,45922,123676.0,6199275.0
2019-05-07,19600,19700,19100,19100,63764,118406.0,6199275.0
2019-05-08,18900,19200,18450,18450,74248,114377.0,6199275.0
2019-05-09,18500,18850,17550,17600,68942,109107.0,6199275.0
2019-05-10,17600,17900,17150,17350,50021,107557.0,6199275.0
2019-05-13,17650,17650,16900,16900,41817,107408.0,6355475.0
2019-05-14,16300,17000,16100,16600,74212,105501.0,6355475.0
2019-05-15,16700,17400,16700,17400,40544,110585.0,6355475.0
2019-05-16,17250,17400,16800,16800,31043,106772.0,6355475.0
2019-05-17,17150,17450,16500,16600,42146,105501.0,6355475.0
2019-05-20,16600,16800,16050,16150,35209,102641.0,6355475.0
2019-05-21,16500,16500,16050,16400,28818,104230.0,6355475.0
2019-05-22,16500,16800,16250,16350,26231,103912.0,6355475.0
2019-05-23,16600,16950,15950,16300,47397,103594.0,6355475.0
2019-05-24,16150,16700,15850,16050,30987,102005.0,6355475.0
2019-05-27,16050,16100,15200,15650,46474,99463.0,6355475.0
2019-05-28,15600,15850,15300,15700,25036,99781.0,6355475.0
2019-05-29,15700,15700,15000,15150,45377,96285.0,6355475.0
2019-05-30,15150,16100,15150,15850,46552,100734.0,6355475.0
2019-05-31,15700,15900,15400,15800,23042,100417.0,6355475.0
2019-06-03,15600,16050,15600,16000,15944,101688.0,6355475.0
2019-06-04,16000,16800,15900,16750,42448,106454.0,6355475.0
2019-06-05,16850,17500,16850,17200,36861,109314.0,6355475.0
2019-06-07,17150,17700,17050,17150,29365,108996.0,6355475.0
2019-06-10,17150,17150,16750,16750,19781,106454.0,6355475.0
2019-06-11,16650,17150,16650,16900,14626,107408.0,6355475.0
2019-06-12,16900,17150,16700,17000,15852,108043.0,6355475.0
2019-06-13,16850,17100,16750,16950,15728,107725.0,6355475.0
2019-06-14,16850,17150,16600,16600,23012,105501.0,6355475.0
2019-06-17,16650,17100,16350,16700,21082,106136.0,6355475.0
2019-06-18,16600,17500,16600,16850,36876,107090.0,6355475.0
2019-06-19,16900,17350,16850,17250,25150,109632.0,6355475.0
2019-06-20,17250,17450,17100,17200,20771,109314.0,6355475.0
2019-06-21,17400,17500,17100,17150,13863,108996.0,6355475.0
2019-06-24,17350,17350,16450,16450,33378,104548.0,6355475.0
2019-06-25,16300,16650,16200,16600,33943,105501.0,6355475.0
2019-06-26,16400,17100,16150,17050,36079,109401.0,6416475.0
2019-06-27,16800,17550,16750,16850,36922,108118.0,6416475.0
2019-06-28,16800,17200,16250,16350,27037,104909.0,6416475.0
2019-07-01,16350,16600,16150,16500,17632,105872.0,6416475.0
2019-07-02,16550,16550,16150,16250,13639,104268.0,6416475.0
2019-07-03,16250,16550,15850,15950,16272,102343.0,6416475.0
2019-07-04,15900,16050,15200,15550,29173,99776.0,6416475.0
2019-07-05,15600,16450,15600,16200,15370,103947.0,6416475.0
2019-07-08,16450,16450,15150,15350,18767,98493.0,6416475.0
2019-07-09,15350,15800,14450,15050,73023,96568.0,6416475.0
2019-07-10,15150,15350,14650,15150,17686,97210.0,6416475.0
2019-07-11,15000,15300,14900,15000,17817,96247.0,6416475.0
2019-07-12,14900,15350,14700,15200,17191,97530.0,6416475.0
2019-07-15,15100,15600,15000,15000,20327,96379.0,6425275.0
2019-07-16,14950,15200,14800,15000,20012,96379.0,6425275.0
2019-07-17,14900,15000,14150,14800,36940,95094.0,6425275.0
2019-07-18,14900,16250,14750,15050,47228,96700.0,6425275.0
2019-07-19,15500,15900,15150,15750,33573,101198.0,6425275.0
2019-07-22,15750,16000,15500,15700,12468,100877.0,6425275.0
2019-07-23,15900,16800,15850,15950,30316,102483.0,6425275.0
2019-07-24,16150,16250,15550,15550,29480,99913.0,6425275.0
2019-07-25,16200,16200,15200,15300,43892,98307.0,6425275.0
2019-07-26,15150,15400,14200,14650,45670,94130.0,6425275.0
2019-07-29,14450,14700,14200,14200,34070,91239.0,6425275.0
2019-07-30,14050,14850,14050,14850,33868,95415.0,6425275.0
2019-07-31,14500,15750,14300,14600,29543,93809.0,6425275.0
2019-08-01,14400,14550,14100,14100,26415,90596.0,6425275.0
2019-08-02,14100,14450,13800,14000,22258,89954.0,6425275.0
2019-08-05,14000,14400,12550,12550,78637,80637.0,6425275.0
2019-08-06,11700,13200,10750,12000,117881,77103.0,6425275.0
2019-08-07,12050,12700,11700,12100,36921,77746.0,6425275.0
2019-08-08,12200,12600,12200,12500,14482,80316.0,6425275.0
2019-08-09,12450,13000,12450,12700,17472,81601.0,6425275.0
2019-08-12,12500,13200,12450,13050,16847,83850.0,6425275.0
2019-08-13,13000,13600,12500,13300,18886,85456.0,6425275.0
2019-08-14,13250,13800,12850,13100,21563,84171.0,6425275.0
2019-08-16,13000,13100,12400,12500,21474,80316.0,6425275.0
2019-08-19,12650,12800,12350,12400,18612,79673.0,6425275.0
2019-08-20,12550,12850,12450,12800,12910,82244.0,6425275.0
2019-08-21,12800,13200,12800,13150,10172,84492.0,6425275.0
2019-08-22,13150,13500,13000,13450,17070,86420.0,6425275.0
2019-08-23,13450,13550,12900,13000,30579,83529.0,6425275.0
2019-08-26,12700,12950,12100,12300,17119,79031.0,6425275.0
2019-08-27,12400,12650,12150,12400,11361,79673.0,6425275.0
2019-08-28,12250,12700,12150,12650,10400,81280.0,6425275.0
2019-08-29,12650,12700,12400,12650,8270,81280.0,6425275.0
2019-08-30,12700,13150,12650,13100,12029,84171.0,6425275.0
2019-09-02,13100,13150,12950,13150,9522,84492.0,6425275.0
2019-09-03,13150,13500,13050,13400,12066,86099.0,6425275.0
2019-09-04,13350,13600,13300,13500,12923,86741.0,6425275.0
2019-09-05,13700,13800,13300,13300,10203,85456.0,6425275.0
2019-09-06,13400,13650,13100,13650,21277,87705.0,6425275.0
2019-09-09,13500,13850,13300,13400,12270,86099.0,6425275.0
2019-09-10,13200,13500,13200,13350,6452,85777.0,6425275.0
2019-09-11,13250,14200,13250,14150,21525,90918.0,6425275.0
2019-09-16,14200,14200,13800,13950,10670,89633.0,6425275.0
2019-09-17,13950,14300,13700,14100,14821,90596.0,6425275.0
2019-09-18,14200,14250,13950,13950,10985,89633.0,6425275.0
2019-09-19,13900,13950,13650,13700,15544,88026.0,6425275.0
2019-09-20,13700,13700,13450,13500,16789,86741.0,6425275.0
2019-09-23,13600,13650,13200,13350,14118,85777.0,6425275.0
2019-09-24,13150,13450,13150,13300,4835,85456.0,6425275.0
2019-09-25,13300,13400,12800,13000,12125,83529.0,6425275.0
2019-09-26,12900,13300,12850,12900,60046,82886.0,6425275.0
2019-09-27,12900,12900,12650,12850,12598,82565.0,6425275.0
2019-09-30,12750,12850,12450,12800,9004,82244.0,6425275.0
2019-10-01,12750,13000,12750,12900,6766,82886.0,6425275.0
2019-10-02,12750,13000,12550,13000,8270,83529.0,6425275.0
2019-10-04,12850,13150,12750,12850,8214,82565.0,6425275.0
2019-10-07,12700,12950,12700,12950,5591,83207.0,6425275.0
