로보티즈(108490),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-02-07,14250,14600,14150,14600,87216,164265.0,11251000.0
2019-02-08,14550,14550,14350,14450,29658,162577.0,11251000.0
2019-02-11,14450,14550,14300,14400,60185,162014.0,11251000.0
2019-02-12,14400,14550,14150,14300,79667,160889.0,11251000.0
2019-02-13,14300,14850,14200,14700,112857,165390.0,11251000.0
2019-02-14,14800,14800,14500,14800,94218,166515.0,11251000.0
2019-02-15,14650,15150,14500,14550,128491,163702.0,11251000.0
2019-02-18,14800,14800,14600,14750,70147,165952.0,11251000.0
2019-02-19,14800,15150,14700,15100,122984,169890.0,11251000.0
2019-02-20,15200,15250,14850,15100,110110,169890.0,11251000.0
2019-02-21,15200,15300,14900,15150,88895,170453.0,11251000.0
2019-02-22,15200,16750,15050,16200,1168484,182266.0,11251000.0
2019-02-25,16200,16300,15900,16250,175178,182829.0,11251000.0
2019-02-26,16250,16350,15850,16050,137538,180579.0,11251000.0
2019-02-27,16300,16850,15700,15700,431880,176641.0,11251000.0
2019-02-28,15800,16050,14900,15000,192066,168765.0,11251000.0
2019-03-04,15150,15450,14950,15200,98267,171015.0,11251000.0
2019-03-05,15100,15300,14950,15200,80418,171015.0,11251000.0
2019-03-06,15300,16000,15250,15700,254887,176641.0,11251000.0
2019-03-07,15750,16400,15700,16400,255791,184516.0,11251000.0
2019-03-08,16450,17200,15900,16000,469945,180016.0,11251000.0
2019-03-11,16300,16550,15850,15950,265145,179453.0,11251000.0
2019-03-12,16100,16750,16050,16700,287882,187892.0,11251000.0
2019-03-13,16800,16950,16350,16650,222076,187329.0,11251000.0
2019-03-14,16750,16950,16550,16850,146451,189579.0,11251000.0
2019-03-15,16900,17400,16200,16450,252206,185079.0,11251000.0
2019-03-18,16500,16900,16350,16600,142440,186767.0,11251000.0
2019-03-19,16750,17450,16700,16850,331544,189579.0,11251000.0
2019-03-20,17000,17200,16350,17200,193843,193517.0,11251000.0
2019-03-21,17500,17600,17000,17000,211063,191267.0,11251000.0
2019-03-22,17150,17750,16850,17700,314852,199143.0,11251000.0
2019-03-25,17800,22850,17800,22150,4766234,249210.0,11251000.0
2019-03-26,22000,22300,20200,20900,3058062,235146.0,11251000.0
2019-03-27,20900,21850,19900,20250,1776899,227833.0,11251000.0
2019-03-28,20500,21350,19300,19300,1316683,217144.0,11251000.0
2019-03-29,19350,19750,18550,19250,705820,216582.0,11251000.0
2019-04-01,19300,20000,19100,19650,615658,221082.0,11251000.0
2019-04-02,19800,20800,19650,19950,1506625,224457.0,11251000.0
2019-04-03,20400,20650,19300,19550,562930,219957.0,11251000.0
2019-04-04,19700,20600,19550,19900,836540,223895.0,11251000.0
2019-04-05,20100,20100,19400,19650,260256,221082.0,11251000.0
2019-04-08,19850,20350,19150,19300,356151,217144.0,11251000.0
2019-04-09,19400,19950,19050,19900,273538,223895.0,11251000.0
2019-04-10,19700,19850,19400,19450,159276,218832.0,11251000.0
2019-04-11,19700,20300,19450,19850,516502,223332.0,11251000.0
2019-04-12,19750,20300,19700,20000,265103,225020.0,11251000.0
2019-04-15,20000,20350,19500,19600,257026,220520.0,11251000.0
2019-04-16,20200,21000,19950,21000,1284648,236271.0,11251000.0
2019-04-17,21200,21500,20600,20800,808464,234021.0,11251000.0
2019-04-18,21000,21500,20100,20350,440032,228958.0,11251000.0
2019-04-19,20400,20550,20000,20200,232777,227270.0,11251000.0
2019-04-22,20300,20300,18700,18800,554753,211519.0,11251000.0
2019-04-23,18850,18900,17900,18500,342865,208144.0,11251000.0
2019-04-24,18750,18950,18000,18150,225910,204206.0,11251000.0
2019-04-25,17950,18300,17750,18000,137321,202518.0,11251000.0
2019-04-26,17750,18000,17300,17500,225399,196892.0,11251000.0
2019-04-29,17700,17700,17300,17400,145619,195767.0,11251000.0
2019-04-30,17400,18050,17300,17450,246129,196330.0,11251000.0
2019-05-02,17450,17850,17150,17800,153458,200268.0,11251000.0
2019-05-03,18000,18050,17700,17750,106505,199705.0,11251000.0
2019-05-07,17350,17400,17050,17150,125318,192955.0,11251000.0
2019-05-08,17300,17600,16750,16750,192726,188454.0,11251000.0
2019-05-09,16600,16800,15650,15750,254501,177203.0,11251000.0
2019-05-10,15600,16150,15550,15850,124704,178328.0,11251000.0
2019-05-13,15800,16250,15200,15350,123783,172703.0,11251000.0
2019-05-14,14950,15750,14800,15450,90603,173828.0,11251000.0
2019-05-15,15500,15850,15500,15650,88838,176078.0,11251000.0
2019-05-16,15750,15750,14800,15000,134329,168765.0,11251000.0
2019-05-17,15100,15250,14750,14800,78112,166515.0,11251000.0
2019-05-20,14800,14950,14250,14300,96857,160889.0,11251000.0
2019-05-21,14200,14850,14200,14550,68613,163702.0,11251000.0
2019-05-22,14650,14850,14400,14600,54313,164265.0,11251000.0
2019-05-23,14450,14500,14000,14150,84889,159202.0,11251000.0
2019-05-24,14050,16450,13800,14450,1805502,162577.0,11251000.0
2019-05-27,14150,14350,13750,13950,296308,156951.0,11251000.0
2019-05-28,13850,14200,13700,13900,139944,156389.0,11251000.0
2019-05-29,13900,14050,13700,13850,119483,155826.0,11251000.0
2019-05-30,13850,14450,13800,14300,154329,160889.0,11251000.0
2019-05-31,14250,14950,14050,14550,181025,163702.0,11251000.0
2019-06-03,14400,15400,14400,15200,171618,171015.0,11251000.0
2019-06-04,15100,15450,14800,15050,100401,169328.0,11251000.0
2019-06-05,15200,15500,14900,15150,85190,170453.0,11251000.0
2019-06-07,15100,15850,14950,15300,249245,172140.0,11251000.0
2019-06-10,15400,15600,15050,15100,115541,169890.0,11251000.0
2019-06-11,15200,15450,15000,15350,96963,172703.0,11251000.0
2019-06-12,15400,15750,15150,15250,92530,171578.0,11251000.0
2019-06-13,15250,15500,15200,15300,62593,172140.0,11251000.0
2019-06-14,15300,15500,14900,14900,63703,167640.0,11251000.0
2019-06-17,14850,15100,14650,14700,51267,165390.0,11251000.0
2019-06-18,14700,14950,14450,14700,48178,165390.0,11251000.0
2019-06-19,14800,15150,14750,15050,75781,169328.0,11251000.0
2019-06-20,15200,16100,15000,15900,605034,178891.0,11251000.0
2019-06-21,15900,16000,15550,15600,137667,175516.0,11251000.0
2019-06-24,15800,17200,15600,16700,566171,187892.0,11251000.0
2019-06-25,16600,17800,16600,17300,712914,194642.0,11251000.0
2019-06-26,17300,17850,16800,17100,306691,192392.0,11251000.0
2019-06-27,17150,17900,17150,17500,269206,196892.0,11251000.0
2019-06-28,17400,17500,16650,16750,238383,188454.0,11251000.0
2019-07-01,16800,17500,16800,17300,126192,194642.0,11251000.0
2019-07-02,17200,17450,16950,17350,75986,195205.0,11251000.0
2019-07-03,17250,17800,17250,17400,115332,195767.0,11251000.0
2019-07-04,17550,17550,16450,16700,131592,187892.0,11251000.0
2019-07-05,16950,17250,16250,16450,170857,185079.0,11251000.0
2019-07-08,16400,16600,15350,15350,172269,172703.0,11251000.0
2019-07-09,15350,15650,14800,14950,104438,168202.0,11251000.0
2019-07-10,15050,15500,15000,15400,63897,173265.0,11251000.0
2019-07-11,15250,15600,15200,15550,45904,174953.0,11251000.0
2019-07-12,15700,16000,15400,15650,49481,176078.0,11251000.0
2019-07-15,15800,15800,14900,15000,63839,168765.0,11251000.0
2019-07-16,15000,15450,14550,15050,71589,169328.0,11251000.0
2019-07-17,14850,14950,14200,14500,97219,163140.0,11251000.0
2019-07-18,14400,14700,14350,14350,46669,161452.0,11251000.0
2019-07-19,14350,14850,14350,14500,61569,163140.0,11251000.0
2019-07-22,14500,14750,14450,14650,25683,164827.0,11251000.0
2019-07-23,14550,15100,14550,14600,70389,164265.0,11251000.0
2019-07-24,14550,14800,14150,14150,59789,159202.0,11251000.0
2019-07-25,14000,14200,13650,13900,76284,156389.0,11251000.0
2019-07-26,13700,14100,13650,13850,55738,155826.0,11251000.0
2019-07-29,13750,13850,12400,12500,178738,140638.0,11251000.0
2019-07-30,12350,12900,12200,12550,57257,141200.0,11251000.0
2019-07-31,12350,12950,12050,12950,83639,145700.0,11251000.0
2019-08-01,12750,13100,12650,12900,42965,145138.0,11251000.0
2019-08-02,12500,13050,12450,12600,34585,141763.0,11251000.0
2019-08-05,12350,12500,11100,11100,103226,124886.0,11251000.0
2019-08-06,10350,11250,9910,10200,160611,114760.0,11251000.0
2019-08-07,10200,10950,10200,10950,80933,123198.0,11251000.0
2019-08-08,11000,11500,11000,11500,46257,129386.0,11251000.0
2019-08-09,11550,11550,11200,11350,37043,127699.0,11251000.0
2019-08-12,11150,11700,11050,11400,41714,128261.0,11251000.0
2019-08-13,11150,13550,11150,11900,740986,133887.0,11251000.0
2019-08-14,11950,12500,11750,12100,152915,136137.0,11251000.0
2019-08-16,12000,12300,11550,12050,55468,135575.0,11251000.0
2019-08-19,12250,12450,11950,12050,81967,135575.0,11251000.0
2019-08-20,12100,12400,12100,12200,27844,137262.0,11251000.0
2019-08-21,12250,12600,12100,12400,38582,139512.0,11251000.0
2019-08-22,12300,12650,12100,12100,57326,136137.0,11251000.0
2019-08-23,12100,12350,11900,12150,55405,136700.0,11251000.0
2019-08-26,11750,11850,11450,11450,43750,128824.0,11251000.0
2019-08-27,11650,11950,11500,11550,43923,129949.0,11251000.0
2019-08-28,11550,12400,11550,11950,80868,134449.0,11251000.0
2019-08-29,12000,12100,11800,12050,21114,135575.0,11251000.0
2019-08-30,12200,12400,12050,12200,51478,137262.0,11251000.0
2019-09-02,12300,12400,12050,12350,29930,138950.0,11251000.0
2019-09-03,12450,12650,12300,12500,31951,140638.0,11251000.0
2019-09-04,12450,12650,12400,12550,39395,141200.0,11251000.0
2019-09-05,12700,13000,12550,12800,111628,144013.0,11251000.0
2019-09-06,12900,13000,12650,12650,39130,142325.0,11251000.0
2019-09-09,12750,12750,12350,12350,36066,138950.0,11251000.0
2019-09-10,12350,12650,12350,12550,19447,141200.0,11251000.0
2019-09-11,12550,12800,12250,12800,48438,144013.0,11251000.0
2019-09-16,12850,12950,12600,12750,21200,143450.0,11251000.0
2019-09-17,12650,12800,12500,12750,40261,143450.0,11251000.0
2019-09-18,12850,12850,12500,12600,42359,141763.0,11251000.0
2019-09-19,12700,13050,12550,12750,74243,143450.0,11251000.0
2019-09-20,12850,12850,12500,12550,44993,141200.0,11251000.0
2019-09-23,12500,12650,12200,12300,46565,138387.0,11251000.0
2019-09-24,12200,12350,12100,12300,29129,138387.0,11251000.0
2019-09-25,12250,12300,11800,11850,65371,133324.0,11251000.0
2019-09-26,11900,12100,11700,11900,51082,133887.0,11251000.0
2019-09-27,11900,12000,11650,11800,26031,132762.0,11251000.0
2019-09-30,11850,11850,11350,11350,38262,127699.0,11251000.0
2019-10-01,11300,11950,11250,11700,36788,131637.0,11251000.0
2019-10-02,11550,11600,11400,11450,17304,128824.0,11251000.0
2019-10-04,11300,11450,11050,11200,26707,126011.0,11251000.0
2019-10-07,11250,11300,10900,10900,26528,122636.0,11251000.0
