제이브이엠(054950),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-09-08,35250,36600,34500,34500,418145,218416.0,6330908.0
2006-09-11,34450,35000,33250,33600,180340,212719.0,6330908.0
2006-09-12,33600,35350,32900,33650,300237,213035.0,6330908.0
2006-09-13,34400,34800,33100,33100,176309,209553.0,6330908.0
2006-09-14,33450,34050,32100,33050,326597,209237.0,6330908.0
2006-09-15,32700,33200,31800,32300,289905,204488.0,6330908.0
2006-09-18,32150,32950,31850,31950,273512,202273.0,6330908.0
2006-09-19,32300,35350,32300,34100,550504,215884.0,6330908.0
2006-09-20,34200,34800,32600,32950,205617,208603.0,6330908.0
2006-09-21,33450,33450,32450,32500,161335,205755.0,6330908.0
2006-09-22,32000,32600,31000,31050,146962,196575.0,6330908.0
2006-09-25,31100,32850,31100,32150,176011,203539.0,6330908.0
2006-09-26,32200,33000,31250,32150,108941,203539.0,6330908.0
2006-09-27,32250,34700,32250,33800,307754,213985.0,6330908.0
2006-09-28,34350,36900,33750,36150,287792,228862.0,6330908.0
2006-09-29,36000,36850,34550,35800,143128,226647.0,6330908.0
2006-10-02,35500,36000,34700,34850,73118,220632.0,6330908.0
2006-10-04,34250,34800,33350,33550,91434,212402.0,6330908.0
2006-10-09,33350,33600,29000,31200,355105,197524.0,6330908.0
2006-10-10,31200,32700,31000,31600,147267,200057.0,6330908.0
2006-10-11,30850,31500,30050,30700,126068,194359.0,6330908.0
2006-10-12,30550,32500,30550,32500,151625,205755.0,6330908.0
2006-10-13,33000,33650,32150,32500,105294,205755.0,6330908.0
2006-10-16,33200,34350,32600,33900,160568,214618.0,6330908.0
2006-10-17,33700,34200,31950,32950,114596,208603.0,6330908.0
2006-10-18,32900,32900,31800,32300,72870,204488.0,6330908.0
2006-10-19,32150,32750,32150,32250,61938,204172.0,6330908.0
2006-10-20,33500,34100,32900,33000,132130,208920.0,6330908.0
2006-10-23,33550,33800,33200,33600,61433,212719.0,6330908.0
2006-10-24,34450,34450,33850,34100,88154,215884.0,6330908.0
2006-10-25,34500,35500,34500,35050,121893,221898.0,6330908.0
2006-10-26,35400,35800,34950,35400,95557,224114.0,6330908.0
2006-10-27,35500,35600,35000,35350,57032,223798.0,6330908.0
2006-10-30,35500,35500,34950,35300,47819,223481.0,6330908.0
2006-10-31,35100,35650,35100,35500,37156,224747.0,6330908.0
2006-11-01,35600,36500,35000,36200,106044,229179.0,6330908.0
2006-11-02,36100,36100,35000,35000,123305,221582.0,6330908.0
2006-11-03,35000,35300,34800,35000,84805,221582.0,6330908.0
2006-11-06,35050,35500,34600,35050,80902,221898.0,6330908.0
2006-11-07,35600,35600,35000,35000,54922,221582.0,6330908.0
2006-11-08,35300,35350,35000,35000,37244,221582.0,6330908.0
2006-11-09,35000,38300,35000,37500,173225,237409.0,6330908.0
2006-11-10,37600,38700,37000,37100,87378,234877.0,6330908.0
2006-11-13,37350,38300,36500,36700,56287,232344.0,6330908.0
2006-11-14,36700,36800,35050,35400,164261,224114.0,6330908.0
2006-11-15,35550,36100,35200,35300,48672,223481.0,6330908.0
2006-11-16,35600,36300,35400,35400,46358,224114.0,6330908.0
2006-11-17,35450,36050,35250,35700,37793,226013.0,6330908.0
2006-11-20,35800,38000,35800,37000,114109,234244.0,6330908.0
2006-11-21,37050,38450,36300,36300,139290,229812.0,6330908.0
2006-11-22,36750,37900,36350,37900,72683,239941.0,6330908.0
2006-11-23,37700,38450,37500,37900,46922,239941.0,6330908.0
2006-11-24,37650,38300,36850,37000,37662,234244.0,6330908.0
2006-11-27,37000,37300,36150,36150,32817,228862.0,6330908.0
2006-11-28,35700,36100,35050,35750,36089,226330.0,6330908.0
2006-11-29,35500,36350,35150,35400,44999,224114.0,6330908.0
2006-11-30,35700,35950,35150,35750,40275,226330.0,6330908.0
2006-12-01,35700,35800,35100,35550,35902,225064.0,6330908.0
2006-12-04,35550,35550,34800,34800,40208,220316.0,6330908.0
2006-12-05,35100,35250,34600,34600,19314,219049.0,6330908.0
2006-12-06,34300,34700,32550,33000,81299,208920.0,6330908.0
2006-12-07,32500,32850,31250,31300,69183,198157.0,6330908.0
2006-12-08,29950,31100,29700,31000,101416,196258.0,6330908.0
2006-12-11,31050,31050,30200,30400,33726,192460.0,6330908.0
2006-12-12,30250,31000,29000,29100,43671,184229.0,6330908.0
2006-12-13,28850,30200,28850,30200,42275,191193.0,6330908.0
2006-12-14,30050,31300,29800,30800,61169,194992.0,6330908.0
2006-12-15,31250,31300,30150,30200,55971,191193.0,6330908.0
2006-12-18,30300,31000,30200,30400,48537,192460.0,6330908.0
2006-12-19,30700,31200,30650,30950,55221,195942.0,6330908.0
2006-12-20,31000,32150,30800,32000,135100,202589.0,6330908.0
2006-12-21,32050,32100,30850,30900,124562,195625.0,6330908.0
2006-12-22,30900,31150,30350,30500,63093,193093.0,6330908.0
2006-12-26,30450,30800,29350,29850,29702,188978.0,6330908.0
2006-12-27,29500,32450,29500,32350,70122,204805.0,6330908.0
2006-12-28,32700,32800,31900,32050,30574,202906.0,6330908.0
2007-01-02,32100,34350,32100,34300,64440,217150.0,6330908.0
2007-01-03,33600,34400,33200,33900,57837,214618.0,6330908.0
2007-01-04,33950,33950,32900,33300,17115,210819.0,6330908.0
2007-01-05,33350,33400,32600,32800,16610,207654.0,6330908.0
2007-01-08,32500,32800,31550,32150,20864,203539.0,6330908.0
2007-01-09,32150,33400,32100,33000,20686,208920.0,6330908.0
2007-01-10,33000,33250,32350,32700,12536,207021.0,6330908.0
2007-01-11,33300,33400,31750,32700,30247,207021.0,6330908.0
2007-01-12,32600,32950,32000,32150,24370,203539.0,6330908.0
2007-01-15,32250,33000,32250,32900,31317,208287.0,6330908.0
2007-01-16,33200,34750,33000,33200,69843,210186.0,6330908.0
2007-01-17,33200,33200,32200,32900,20495,208287.0,6330908.0
2007-01-18,32850,33050,32200,32550,17700,206071.0,6330908.0
2007-01-19,32200,32300,30000,30000,58640,189927.0,6330908.0
2007-01-22,30150,30800,27700,29450,117553,186445.0,6330908.0
2007-01-23,29200,29300,27950,29000,29547,183596.0,6330908.0
2007-01-24,29000,29400,28000,28700,65855,181697.0,6330908.0
2007-01-25,28800,29750,28800,29050,37723,183913.0,6330908.0
2007-01-26,29000,29150,28500,28750,18924,182014.0,6330908.0
2007-01-29,28950,29200,28500,28500,19583,180431.0,6330908.0
2007-01-30,28300,28850,27800,27850,22510,176316.0,6330908.0
2007-01-31,27850,30050,27850,29000,50806,183596.0,6330908.0
2007-02-01,29200,29800,28500,29400,15363,186129.0,6330908.0
2007-02-02,29750,30500,29250,30000,22897,189927.0,6330908.0
2007-02-05,29550,30150,29350,30150,12291,190877.0,6330908.0
2007-02-06,30100,30200,29650,30150,11396,190877.0,6330908.0
2007-02-07,30000,31800,30000,31500,31253,199424.0,6330908.0
2007-02-08,31800,32050,31350,32000,23523,202589.0,6330908.0
2007-02-09,31600,32150,31200,31900,15733,201956.0,6330908.0
2007-02-12,31500,31850,30750,31300,11587,198157.0,6330908.0
2007-02-13,31000,32300,30850,31800,24328,201323.0,6330908.0
2007-02-14,32050,34350,31900,33800,104476,213985.0,6330908.0
2007-02-15,34400,34700,33350,34700,63631,219683.0,6330908.0
2007-02-16,35050,35100,34300,35000,44055,221582.0,6330908.0
2007-02-20,35300,35300,34100,34500,8879,218416.0,6330908.0
2007-02-21,34650,35350,34600,35300,34202,223481.0,6330908.0
2007-02-22,35200,36150,34700,35100,45208,222215.0,6330908.0
2007-02-23,35100,35100,34200,34200,17603,216517.0,6330908.0
2007-02-26,34200,35000,34050,34500,16670,218416.0,6330908.0
2007-02-27,34300,37400,34200,36500,103730,231078.0,6330908.0
2007-02-28,34500,36700,34000,36500,58708,231078.0,6330908.0
2007-03-02,36400,38500,36400,38100,90292,241208.0,6330908.0
2007-03-05,38100,40200,37850,38350,194793,242790.0,6330908.0
2007-03-06,38600,38950,37200,38300,39442,242474.0,6330908.0
2007-03-07,38700,40750,38500,40000,102007,253236.0,6330908.0
2007-03-08,40400,43100,40150,40900,436381,258934.0,6330908.0
2007-03-09,41900,41900,39900,40350,63773,255452.0,6330908.0
2007-03-12,39700,40350,38800,38800,89960,245639.0,6330908.0
2007-03-13,38750,39850,38750,38950,75993,246589.0,6330908.0
2007-03-14,38150,39450,38000,38800,47678,245639.0,6330908.0
2007-03-15,39450,44600,39450,44600,265430,282358.0,6330908.0
2007-03-16,45300,48850,44650,45150,376105,285840.0,6330908.0
2007-03-19,45300,46900,44400,45050,111292,285207.0,6330908.0
2007-03-20,45750,49350,45750,47500,233158,300718.0,6330908.0
2007-03-21,47500,49750,47300,49350,191463,312430.0,6330908.0
2007-03-22,50600,50700,47900,48400,129617,306416.0,6330908.0
2007-03-23,47700,48650,46100,46100,116398,291855.0,6330908.0
2007-03-26,45800,47400,45150,46750,54462,295970.0,6330908.0
2007-03-27,46500,47200,46350,46950,59654,297236.0,6330908.0
2007-03-28,46500,47500,46050,46300,50744,293121.0,6330908.0
2007-03-29,46050,49300,45800,48400,72128,306416.0,6330908.0
2007-03-30,48000,48900,47150,47300,41999,299452.0,6330908.0
2007-04-02,48400,49600,48000,49600,113174,314013.0,6330908.0
2007-04-03,50800,51500,50000,51000,102654,322876.0,6330908.0
2007-04-04,51800,52100,50100,50500,74246,319711.0,6330908.0
2007-04-05,51200,51400,50500,51300,31899,324776.0,6330908.0
2007-04-06,51300,51300,50100,51100,42925,323509.0,6330908.0
2007-04-09,50700,50700,49550,50100,68196,317178.0,6330908.0
2007-04-10,50400,50800,49650,49800,37629,315279.0,6330908.0
2007-04-11,49100,52300,49100,50000,63926,316545.0,6330908.0
2007-04-12,49700,51400,49200,50000,44492,316545.0,6330908.0
2007-04-13,50100,50500,49500,49800,37053,315279.0,6330908.0
2007-04-16,49300,50800,49000,49800,37019,315279.0,6330908.0
2007-04-17,50000,50500,49600,50200,17648,317812.0,6330908.0
2007-04-18,50400,50400,49200,49500,29561,313380.0,6330908.0
2007-04-19,49650,49650,47800,48100,64469,304517.0,6330908.0
2007-04-20,48600,50200,48100,49450,39435,313063.0,6330908.0
2007-04-23,49950,49950,48600,48850,26935,309265.0,6330908.0
2007-04-24,48900,49000,47750,48050,44082,304200.0,6330908.0
2007-04-25,48050,48500,47350,48050,29674,304200.0,6330908.0
2007-04-26,48050,48450,47700,48050,25661,304200.0,6330908.0
2007-04-27,47700,48300,47700,48050,12415,304200.0,6330908.0
2007-04-30,48000,48800,47950,48200,9650,305150.0,6330908.0
2007-05-02,49500,50700,49350,50300,66462,318445.0,6330908.0
2007-05-03,51200,51300,50000,50200,35039,317812.0,6330908.0
2007-05-04,50100,50200,49050,50000,22514,316545.0,6330908.0
2007-05-07,50700,52000,50000,51400,51808,325409.0,6330908.0
2007-05-08,51700,52200,50700,51000,16297,322876.0,6330908.0
2007-05-09,51100,53900,50600,52500,51275,332373.0,6330908.0
2007-05-10,52500,54800,52500,53800,47529,340603.0,6330908.0
2007-05-11,53300,54000,52300,53000,10863,335538.0,6330908.0
2007-05-14,53000,53000,51800,52200,14061,330473.0,6330908.0
2007-05-15,53000,55400,52500,53100,49346,336171.0,6330908.0
2007-05-16,52600,54300,52100,54200,17304,343135.0,6330908.0
2007-05-17,54500,54900,52700,53000,22635,335538.0,6330908.0
2007-05-18,52900,53600,52900,53000,107272,335538.0,6330908.0
2007-05-21,53000,53500,53000,53100,8171,336171.0,6330908.0
2007-05-22,53100,56300,53100,54500,52408,345034.0,6330908.0
2007-05-23,55100,56600,53700,56000,34924,354531.0,6330908.0
2007-05-25,56000,59600,56000,58300,42649,369092.0,6330908.0
2007-05-28,59900,59900,58000,58900,17418,372890.0,6330908.0
2007-05-29,58900,58900,56800,57800,25610,365926.0,6330908.0
2007-05-30,57800,58700,56800,57400,10258,363394.0,6330908.0
2007-05-31,56700,59100,56200,58200,23996,368459.0,6330908.0
2007-06-01,58300,59000,57000,58400,14778,369725.0,6330908.0
2007-06-04,59500,59500,58000,59000,17943,373524.0,6330908.0
2007-06-05,59200,59300,56700,57000,19057,360862.0,6330908.0
2007-06-07,57500,57500,55100,55500,109580,351365.0,6330908.0
2007-06-08,56700,56800,55300,56000,24336,354531.0,6330908.0
2007-06-11,56900,57200,55000,55000,7655,348200.0,6330908.0
2007-06-12,54500,55800,54500,55800,9223,353265.0,6330908.0
2007-06-13,55700,56600,54800,55600,16957,351998.0,6330908.0
2007-06-14,55900,56600,55000,56000,29519,354531.0,6330908.0
2007-06-15,55300,57700,55300,56000,13998,354531.0,6330908.0
2007-06-18,56300,58100,55800,58100,16014,367826.0,6330908.0
2007-06-19,58100,58200,57100,58200,10940,368459.0,6330908.0
2007-06-20,58000,58100,56000,56000,15245,354531.0,6330908.0
2007-06-21,55100,56400,55100,56300,9682,356430.0,6330908.0
2007-06-22,56000,56400,54900,55300,26604,350099.0,6330908.0
2007-06-25,55000,56500,54900,56100,9328,355164.0,6330908.0
2007-06-26,56100,57200,55000,56400,15351,357063.0,6330908.0
2007-06-27,56100,57600,56100,57000,44265,360862.0,6330908.0
2007-06-28,57100,57500,55500,55600,12475,351998.0,6330908.0
2007-06-29,55500,56000,54800,55000,12335,348200.0,6330908.0
2007-07-02,54900,55000,52500,53900,25109,341236.0,6330908.0
2007-07-03,54500,54500,53500,54000,18472,341869.0,6330908.0
2007-07-04,54500,54800,52300,52400,25550,331740.0,6330908.0
2007-07-05,52400,53200,52400,52900,9991,334905.0,6330908.0
2007-07-06,52900,54000,51000,51100,24734,323509.0,6330908.0
2007-07-09,51100,51700,49300,49500,27573,313380.0,6330908.0
2007-07-10,50500,50500,48300,49500,27010,313380.0,6330908.0
2007-07-11,49000,49600,46850,47800,100776,302617.0,6330908.0
2007-07-12,48650,52000,48200,48450,199997,306732.0,6330908.0
2007-07-13,49900,52700,48750,51000,136781,322876.0,6330908.0
2007-07-16,52800,53000,50900,51600,59354,326675.0,6330908.0
2007-07-18,51100,52600,50900,51700,35251,327308.0,6330908.0
2007-07-19,52000,52500,51100,52000,18751,329207.0,6330908.0
2007-07-20,52300,52400,51500,51800,21560,327941.0,6330908.0
2007-07-23,51300,51900,50700,51000,30445,322876.0,6330908.0
2007-07-24,50700,51500,50100,50100,31493,317178.0,6330908.0
2007-07-25,50000,51800,49850,51500,15432,326042.0,6330908.0
2007-07-26,51800,51900,49900,50400,39510,319078.0,6330908.0
2007-07-27,50000,50000,47550,47550,168823,301035.0,6330908.0
2007-07-30,48100,48200,45700,46600,40150,295020.0,6330908.0
2007-07-31,46800,47100,45800,46900,46722,296920.0,6330908.0
2007-08-01,46850,47000,44000,44000,48082,278560.0,6330908.0
2007-08-02,44200,45700,42500,43300,35868,274128.0,6330908.0
2007-08-03,44300,44850,43800,44100,20333,279193.0,6330908.0
2007-08-06,42200,44500,42150,43000,32952,272229.0,6330908.0
2007-08-07,43000,46250,42400,45600,46238,288689.0,6330908.0
2007-08-08,45600,46250,44600,46000,10670,291222.0,6330908.0
2007-08-09,46050,46850,45350,46000,27397,291222.0,6330908.0
2007-08-10,44550,45400,44200,44550,11150,282042.0,6330908.0
2007-08-13,44550,44550,43000,44200,8890,279826.0,6330908.0
2007-08-14,44150,44300,42800,44300,12756,280459.0,6330908.0
2007-08-16,42200,42250,40000,40500,26902,256402.0,6330908.0
2007-08-17,40000,41000,38800,38850,34814,245956.0,6330908.0
2007-08-20,39000,43800,39000,41750,28220,264315.0,6330908.0
2007-08-21,41800,43350,41400,42200,15591,267164.0,6330908.0
2007-08-22,42200,42650,41700,41900,6816,265265.0,6330908.0
2007-08-23,42250,43550,42200,43250,19498,273812.0,6330908.0
2007-08-24,42800,43700,42150,43250,5176,273812.0,6330908.0
2007-08-27,43500,48050,43500,46750,21204,295970.0,6330908.0
2007-08-28,46950,46950,45650,46250,5916,292804.0,6330908.0
2007-08-29,44650,46100,44500,46000,9532,291222.0,6330908.0
2007-08-30,47250,47250,45500,45500,5912,288056.0,6330908.0
2007-08-31,44850,46450,44500,44550,10749,282042.0,6330908.0
2007-09-03,45200,45550,44700,45000,5214,284891.0,6330908.0
2007-09-04,45400,45400,44000,44250,15982,280143.0,6330908.0
2007-09-05,44850,45300,44000,44950,13910,284574.0,6330908.0
2007-09-06,44750,47000,44500,47000,15636,297553.0,6330908.0
2007-09-07,47000,47950,46600,47800,17527,302617.0,6330908.0
2007-09-10,46600,47450,46100,47000,9013,297553.0,6330908.0
2007-09-11,47000,48100,46500,47500,25712,300718.0,6330908.0
2007-09-12,47850,48200,47300,47500,12469,300718.0,6330908.0
2007-09-13,48000,49900,47600,49300,25696,312114.0,6330908.0
2007-09-14,49600,52000,49600,50600,21195,320344.0,6330908.0
2007-09-17,51200,52200,51200,51500,14224,326042.0,6330908.0
2007-09-18,52000,55000,51900,52500,32764,332373.0,6330908.0
2007-09-19,53900,54200,52500,53200,23072,336804.0,6330908.0
2007-09-20,54200,54200,50700,50700,12661,320977.0,6330908.0
2007-09-21,51000,52500,50300,52200,8420,330473.0,6330908.0
2007-09-27,52000,53200,51000,53200,30409,336804.0,6330908.0
2007-09-28,53200,54800,53200,53900,30680,341236.0,6330908.0
2007-10-01,53400,55400,53400,54500,34673,345034.0,6330908.0
2007-10-02,55000,55000,53800,54400,20672,344401.0,6330908.0
2007-10-04,54900,57300,54000,55900,30027,353898.0,6330908.0
2007-10-05,56200,56200,53100,53100,12347,336171.0,6330908.0
2007-10-08,53100,54900,51000,51700,13507,327308.0,6330908.0
2007-10-09,51700,51800,49150,50500,27411,319711.0,6330908.0
2007-10-10,51300,53300,50900,52600,23362,333006.0,6330908.0
2007-10-11,52600,53500,51500,52800,11715,334272.0,6330908.0
2007-10-12,52800,52800,44900,48600,42027,307682.0,6330908.0
2007-10-15,49300,49950,48000,48200,18194,305150.0,6330908.0
2007-10-16,48000,48500,46550,46850,12926,296603.0,6330908.0
2007-10-17,46650,48500,46650,47100,9270,298186.0,6330908.0
2007-10-18,48500,50800,47550,50500,17310,319711.0,6330908.0
2007-10-19,50500,51500,50400,51000,22516,322876.0,6330908.0
2007-10-22,47400,52500,47050,52500,43754,332373.0,6330908.0
2007-10-23,53100,53200,51700,52500,53658,332373.0,6330908.0
2007-10-24,52900,53100,52100,53000,23363,335538.0,6330908.0
2007-10-25,54100,56000,54100,55000,28583,348200.0,6330908.0
2007-10-26,55000,58400,55000,57800,53792,365926.0,6330908.0
2007-10-29,59000,59100,56000,56200,21475,355797.0,6330908.0
2007-10-30,56100,61500,56100,61500,69970,389351.0,6330908.0
2007-10-31,62000,62300,59500,60600,27722,383653.0,6330908.0
2007-11-01,62400,66300,60100,60100,55690,380488.0,6330908.0
2007-11-02,60400,63300,59600,59800,16235,378588.0,6330908.0
2007-11-05,60300,61500,56100,58400,11335,369725.0,6330908.0
2007-11-06,58400,59700,58400,58600,8838,370991.0,6330908.0
2007-11-07,59800,60900,57000,57300,12530,362761.0,6330908.0
2007-11-08,56900,58000,55500,57200,7461,362128.0,6330908.0
2007-11-09,56600,60500,56600,58500,9079,370358.0,6330908.0
2007-11-12,58200,58200,55100,55500,13060,351365.0,6330908.0
2007-11-13,56400,58400,56300,57000,8806,360862.0,6330908.0
2007-11-14,58300,58300,48500,55600,13310,351998.0,6330908.0
2007-11-15,55000,55500,54300,54500,18358,345034.0,6330908.0
2007-11-16,54600,54800,52500,53500,18084,338704.0,6330908.0
2007-11-19,53500,55500,52100,52200,27284,330473.0,6330908.0
2007-11-20,51200,51800,49500,50600,25610,320344.0,6330908.0
2007-11-21,51400,52300,50700,52300,14040,331106.0,6330908.0
2007-11-22,51600,53500,50000,50400,7825,319078.0,6330908.0
2007-11-23,50700,51500,49000,50700,7311,320977.0,6330908.0
2007-11-26,50200,52500,50200,52100,5934,329840.0,6330908.0
2007-11-27,52000,55600,51000,54300,6722,343768.0,6330908.0
2007-11-28,55500,55500,53500,54000,7046,341869.0,6330908.0
2007-11-29,54500,55100,54100,54300,7017,343768.0,6330908.0
2007-11-30,54600,56000,54000,54300,14714,343768.0,6330908.0
2007-12-03,55300,61300,55000,59500,59418,376689.0,6330908.0
2007-12-04,59400,61400,58700,59600,20726,377322.0,6330908.0
2007-12-05,59600,63000,59000,61000,32050,386185.0,6330908.0
2007-12-06,63200,63200,59500,60500,18732,383020.0,6330908.0
2007-12-07,60500,60500,55600,57000,34678,360862.0,6330908.0
2007-12-10,57000,57800,56000,57000,6496,360862.0,6330908.0
2007-12-11,58000,58500,54800,54800,16767,346934.0,6330908.0
2007-12-12,54800,56500,54600,56000,16069,354531.0,6330908.0
2007-12-13,56100,58700,56100,57700,10845,365293.0,6330908.0
2007-12-14,57900,61200,57900,60300,37270,381754.0,6330908.0
2007-12-17,60800,61100,59400,60400,22945,382387.0,6330908.0
2007-12-18,60400,63000,60400,61800,60006,391250.0,6330908.0
2007-12-20,61700,61700,57500,57500,17125,364027.0,6330908.0
2007-12-21,58500,60000,56900,59000,10744,373524.0,6330908.0
2007-12-24,58600,60400,58600,59100,13058,374157.0,6330908.0
2007-12-26,60200,60200,57800,57800,11211,365926.0,6330908.0
2007-12-27,58400,59000,57500,58000,6283,367193.0,6330908.0
2007-12-28,58200,59100,56300,56300,6825,356430.0,6330908.0
2008-01-02,57000,59900,56400,59300,10471,375423.0,6330908.0
2008-01-03,58900,60800,58500,60300,16275,381754.0,6330908.0
2008-01-04,60000,60300,58700,60300,10585,381754.0,6330908.0
2008-01-07,58700,59900,58700,59000,9874,373524.0,6330908.0
2008-01-08,59800,60700,59000,60500,14921,383020.0,6330908.0
2008-01-09,60500,61100,59300,60500,7549,383020.0,6330908.0
2008-01-10,60500,61400,58000,58500,133339,370358.0,6330908.0
2008-01-11,59500,60400,58100,58800,15233,372257.0,6330908.0
2008-01-14,57800,59000,55600,55900,12297,353898.0,6330908.0
2008-01-15,56500,56500,55100,56500,12297,357696.0,6330908.0
2008-01-16,56000,56000,54200,54700,19983,346301.0,6330908.0
2008-01-17,54700,56300,54700,56000,4749,354531.0,6330908.0
2008-01-18,54800,56000,54500,55800,4016,353265.0,6330908.0
2008-01-21,56300,56400,54600,55300,4153,350099.0,6330908.0
2008-01-22,54500,55500,53900,55000,47482,348200.0,6330908.0
2008-01-23,55900,55900,54400,54500,23429,345034.0,6330908.0
2008-01-24,55500,55600,54500,54600,19952,345668.0,6330908.0
2008-01-25,54700,58600,54700,58500,12998,370358.0,6330908.0
2008-01-28,57900,58500,57100,57700,3373,365293.0,6330908.0
2008-01-29,58000,59100,58000,58900,8266,372890.0,6330908.0
2008-01-30,59000,60700,57000,57500,14434,364027.0,6330908.0
2008-01-31,57100,58700,55800,57500,4319,364027.0,6330908.0
2008-02-01,56900,58200,56300,56300,5249,356430.0,6330908.0
2008-02-04,57400,60100,57000,59500,10958,376689.0,6330908.0
2008-02-05,58500,59800,58500,59500,2072,376689.0,6330908.0
2008-02-11,59500,59500,57000,59000,7624,373524.0,6330908.0
2008-02-12,58600,61800,58300,60000,22632,379854.0,6330908.0
2008-02-13,60000,61100,57500,57800,14688,365926.0,6330908.0
2008-02-14,58200,58300,57200,57500,4716,364027.0,6330908.0
2008-02-15,58000,58800,57600,57900,3182,366560.0,6330908.0
2008-02-18,58000,58100,56000,56500,19117,357696.0,6330908.0
2008-02-19,56400,57100,55000,56500,12583,357696.0,6330908.0
2008-02-20,56500,56600,54800,54900,19600,347567.0,6330908.0
2008-02-21,55200,56400,55200,56000,8842,354531.0,6330908.0
