중앙백신(072020),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-08-05,1600,1726,1600,1651,197672,13935.0,6620000.0
2004-08-06,1607,1679,1607,1647,108081,13902.0,6620000.0
2004-08-09,1681,1689,1638,1690,118955,14266.0,6620000.0
2004-08-10,1689,1772,1678,1729,205133,14597.0,6620000.0
2004-08-11,1768,1780,1702,1726,187962,14564.0,6620000.0
2004-08-12,1737,1737,1686,1710,96318,14432.0,6620000.0
2004-08-13,1803,1843,1728,1729,259519,14597.0,6620000.0
2004-08-16,1728,1788,1728,1741,132914,14696.0,6620000.0
2004-08-17,1757,1757,1702,1726,97705,14564.0,6620000.0
2004-08-18,1717,1741,1710,1726,54920,14564.0,6620000.0
2004-08-19,1745,1843,1745,1773,278869,14961.0,6620000.0
2004-08-20,1779,1866,1740,1804,203613,15226.0,6620000.0
2004-08-23,1918,2020,1894,2020,1537092,17046.0,6620000.0
2004-08-24,2093,2148,1952,2008,1284630,16947.0,6620000.0
2004-08-25,2035,2090,1956,2075,912830,17510.0,6620000.0
2004-08-26,2074,2077,1952,1953,540292,16484.0,6620000.0
2004-08-27,1913,2077,1881,2039,992537,17212.0,6620000.0
2004-08-30,2000,2031,1909,1910,350312,16120.0,6620000.0
2004-08-31,1890,1960,1890,1922,314810,16219.0,6620000.0
2004-09-01,1937,1965,1914,1926,241655,16252.0,6620000.0
2004-09-02,1918,1980,1914,1977,230606,16682.0,6620000.0
2004-09-03,1960,2019,1936,1980,334925,16716.0,6620000.0
2004-09-06,1988,2055,1969,1977,316575,16682.0,6620000.0
2004-09-07,2016,2020,1960,1977,223141,16682.0,6620000.0
2004-09-08,2031,2031,1955,1957,159773,16517.0,6620000.0
2004-09-09,1960,1983,1917,1929,152196,16285.0,6620000.0
2004-09-10,1922,1969,1922,1968,175119,16616.0,6620000.0
2004-09-13,2031,2148,2015,2082,565819,17576.0,6620000.0
2004-09-14,2109,2109,1991,2031,425700,17146.0,6620000.0
2004-09-15,2087,2259,2062,2150,1341942,18139.0,6620000.0
2004-09-16,2126,2126,2039,2051,375070,17311.0,6620000.0
2004-09-17,2051,2077,2035,2054,289008,17344.0,6620000.0
2004-09-20,2042,2105,2007,2008,327154,16947.0,6620000.0
2004-09-21,1976,2031,1945,1961,202911,16550.0,6620000.0
2004-09-22,1952,2023,1932,1933,361450,16318.0,6620000.0
2004-09-23,1945,1968,1925,1929,164821,16285.0,6620000.0
2004-09-24,1980,2027,1969,2016,291084,17013.0,6620000.0
2004-09-30,2141,2148,2046,2110,347266,17808.0,6620000.0
2004-10-01,2133,2157,2016,2044,360875,17245.0,6620000.0
2004-10-04,2074,2089,2023,2054,272478,17344.0,6620000.0
2004-10-05,2051,2070,2031,2039,171865,17212.0,6620000.0
2004-10-06,2035,2061,1964,1984,265901,16749.0,6620000.0
2004-10-07,1980,2000,1965,1977,94065,16682.0,6620000.0
2004-10-08,1950,1969,1950,1949,122555,16451.0,6620000.0
2004-10-11,1928,1972,1928,1953,78502,16484.0,6620000.0
2004-10-12,1952,1960,1925,1929,82622,16285.0,6620000.0
2004-10-13,1921,1949,1921,1933,73736,16318.0,6620000.0
2004-10-14,1909,1949,1909,1914,71628,16153.0,6620000.0
2004-10-15,1955,1983,1904,1961,142673,16550.0,6620000.0
2004-10-18,1945,1965,1922,1922,101484,16219.0,6620000.0
2004-10-19,1925,1976,1917,1965,144897,16583.0,6620000.0
2004-10-20,1972,2007,1925,1938,277505,16351.0,6620000.0
2004-10-21,1945,1965,1918,1917,109034,16186.0,6620000.0
2004-10-22,1899,1945,1812,1867,68311,15756.0,6620000.0
2004-10-25,1811,1811,1760,1760,118648,14862.0,6620000.0
2004-10-26,1765,1812,1749,1769,60785,14928.0,6620000.0
2004-10-27,1792,1799,1756,1756,70501,14829.0,6620000.0
2004-10-28,1756,1799,1756,1765,41531,14895.0,6620000.0
2004-10-29,1748,1788,1748,1781,43718,15027.0,6620000.0
2004-11-01,1779,1850,1779,1816,42891,15325.0,6620000.0
2004-11-02,1839,1867,1816,1828,79532,15425.0,6620000.0
2004-11-03,1803,1913,1803,1839,88695,15524.0,6620000.0
2004-11-04,1909,1932,1838,1839,83385,15524.0,6620000.0
2004-11-05,1851,1871,1831,1852,62970,15623.0,6620000.0
2004-11-08,1843,1890,1843,1867,80890,15756.0,6620000.0
2004-11-09,1874,1937,1859,1898,78547,16020.0,6620000.0
2004-11-10,1913,1913,1874,1882,56194,15888.0,6620000.0
2004-11-11,1885,1904,1874,1887,48933,15921.0,6620000.0
2004-11-12,1854,1909,1854,1887,51414,15921.0,6620000.0
2004-11-15,1909,1909,1877,1878,31350,15855.0,6620000.0
2004-11-16,1867,1882,1847,1847,35627,15590.0,6620000.0
2004-11-17,1843,1874,1843,1859,28188,15689.0,6620000.0
2004-11-18,1858,1898,1834,1835,29870,15491.0,6620000.0
2004-11-19,1881,1968,1881,1929,313698,16285.0,6620000.0
2004-11-22,1937,1941,1871,1875,114977,15822.0,6620000.0
2004-11-23,1874,1905,1851,1852,87717,15623.0,6620000.0
2004-11-24,1847,1877,1843,1859,91508,15689.0,6620000.0
2004-11-25,1858,1870,1827,1855,63954,15656.0,6620000.0
2004-11-26,1850,1898,1834,1835,97230,15491.0,6620000.0
2004-11-29,1827,2054,1827,2054,718560,17344.0,6620000.0
2004-11-30,2125,2274,2023,2078,1389322,17543.0,6620000.0
2004-12-01,2117,2157,2016,2067,666631,17444.0,6620000.0
2004-12-02,2117,2121,2011,2039,512462,17212.0,6620000.0
2004-12-03,2051,2071,1960,2000,388869,16881.0,6620000.0
2004-12-06,2007,2172,2007,2156,756300,18205.0,6620000.0
2004-12-07,2196,2416,2126,2416,1555012,20390.0,6620000.0
2004-12-08,2352,2391,2128,2129,861753,17973.0,6620000.0
2004-12-09,2062,2173,2062,2095,563797,17675.0,6620000.0
2004-12-10,2125,2148,2023,2105,351946,17775.0,6620000.0
2004-12-13,2077,2289,2077,2259,748286,19066.0,6620000.0
2004-12-14,2275,2416,2133,2267,1022674,19132.0,6620000.0
2004-12-15,2407,2454,2211,2263,639463,19099.0,6620000.0
2004-12-16,2235,2350,2212,2314,471722,19529.0,6620000.0
2004-12-17,2285,2579,2285,2510,1560191,21184.0,6620000.0
2004-12-20,2807,2807,2807,2808,143304,23700.0,6620000.0
2004-12-21,3141,3141,2745,3036,2700224,25619.0,6620000.0
2004-12-22,3066,3395,2901,3396,2584338,28665.0,6620000.0
2004-12-23,3536,3799,3474,3800,3088554,32074.0,6620000.0
2004-12-24,3530,3647,3346,3346,1426696,28234.0,6620000.0
2004-12-27,3086,3530,2945,2946,1782044,24858.0,6620000.0
2004-12-28,2914,3098,2627,2667,1528746,22508.0,6620000.0
2004-12-29,2702,2969,2702,2941,1314660,24825.0,6620000.0
2004-12-30,2906,3227,2839,3138,1694803,26480.0,6620000.0
2005-01-03,3372,3403,3270,3396,990263,28665.0,6620000.0
2005-01-04,3529,3529,3262,3279,1337746,27672.0,6620000.0
2005-01-05,3231,3490,3216,3420,1274308,28863.0,6620000.0
2005-01-06,3498,3738,3012,3016,2104943,25454.0,6620000.0
2005-01-07,3026,3105,2760,2910,826934,24560.0,6620000.0
2005-01-10,2924,3129,2901,3078,842682,25984.0,6620000.0
2005-01-11,3019,3066,2748,2831,650175,23898.0,6620000.0
2005-01-12,2942,3169,2925,3161,1449676,26679.0,6620000.0
2005-01-13,2996,3078,2909,2976,883701,25123.0,6620000.0
2005-01-14,3050,3152,3026,3059,938893,25818.0,6620000.0
2005-01-17,3059,3145,3027,3040,640904,25652.0,6620000.0
2005-01-18,3058,3125,3023,3032,645205,25586.0,6620000.0
2005-01-19,3043,3176,2921,3098,1278521,26149.0,6620000.0
2005-01-20,3098,3302,3044,3146,1532868,26546.0,6620000.0
2005-01-21,3379,3388,3226,3231,1548595,27274.0,6620000.0
2005-01-24,3263,3412,3145,3295,1219006,27804.0,6620000.0
2005-01-25,3451,3687,3318,3686,2430040,31114.0,6620000.0
2005-01-26,3788,3803,3246,3247,1510454,27407.0,6620000.0
2005-01-27,3176,3262,3058,3059,667137,25818.0,6620000.0
2005-01-28,2988,3324,2988,3098,983406,26149.0,6620000.0
2005-01-31,3081,3231,3081,3133,622798,26447.0,6620000.0
2005-02-01,3059,3274,3059,3184,1016940,26877.0,6620000.0
2005-02-02,3255,3318,3137,3161,769339,26679.0,6620000.0
2005-02-03,3145,3200,2957,3012,721018,25421.0,6620000.0
2005-02-04,3066,3203,3019,3153,695698,26612.0,6620000.0
2005-02-07,3152,3262,3066,3129,764249,26414.0,6620000.0
2005-02-11,3071,3231,3067,3138,694460,26480.0,6620000.0
2005-02-14,3145,3282,3105,3173,1050015,26778.0,6620000.0
2005-02-15,3199,3250,3148,3173,577828,26778.0,6620000.0
2005-02-16,3227,3530,3216,3443,1463934,29062.0,6620000.0
2005-02-17,3439,3463,3263,3318,679525,28003.0,6620000.0
2005-02-18,3357,3714,3325,3714,2189610,31346.0,6620000.0
2005-02-21,4078,4157,3855,4157,1166142,35086.0,6620000.0
2005-02-22,4315,4345,3663,3663,2378208,30915.0,6620000.0
2005-02-23,3372,3571,3235,3372,1142516,28466.0,6620000.0
2005-02-24,3569,3687,3271,3295,1497138,27804.0,6620000.0
2005-02-25,3306,3389,3020,3146,1060177,26546.0,6620000.0
2005-02-28,3246,3267,3136,3148,442442,26579.0,6620000.0
2005-03-02,3152,3171,2979,3000,514422,25322.0,6620000.0
2005-03-03,2914,3047,2910,2992,359290,25255.0,6620000.0
2005-03-04,3050,3152,3043,3074,536677,25950.0,6620000.0
2005-03-07,3097,3105,2941,3027,365237,25553.0,6620000.0
2005-03-08,3019,3043,2713,2808,402325,23700.0,6620000.0
2005-03-09,2784,2877,2639,2710,405991,22872.0,6620000.0
2005-03-10,2648,2859,2639,2738,363973,23104.0,6620000.0
2005-03-11,2705,2780,2705,2725,193536,23004.0,6620000.0
2005-03-14,2732,2850,2732,2804,271370,23666.0,6620000.0
2005-03-15,2808,3044,2760,2848,643980,24031.0,6620000.0
2005-03-16,2902,2969,2784,2789,247161,23534.0,6620000.0
2005-03-17,2733,2808,2667,2667,328990,22508.0,6620000.0
2005-03-18,2575,2654,2470,2486,284472,20985.0,6620000.0
2005-03-21,2477,2517,2450,2482,159862,20952.0,6620000.0
2005-03-22,2478,2517,2439,2467,157736,20820.0,6620000.0
2005-03-23,2466,2670,2462,2604,635179,21978.0,6620000.0
2005-03-24,2630,2634,2431,2431,228567,20522.0,6620000.0
2005-03-25,2419,2454,2321,2353,212672,19860.0,6620000.0
2005-03-28,2705,2705,2705,2706,191540,22839.0,6620000.0
2005-03-29,2808,2973,2725,2863,1204451,24163.0,6620000.0
2005-03-30,2902,2902,2663,2694,465963,22740.0,6620000.0
2005-03-31,2705,2737,2573,2573,298000,21714.0,6620000.0
2005-04-01,2513,2624,2509,2600,283480,21945.0,6620000.0
2005-04-04,2568,2588,2521,2561,219187,21614.0,6620000.0
2005-04-06,2557,2796,2533,2667,936427,22508.0,6620000.0
2005-04-07,2667,2760,2612,2616,345826,22078.0,6620000.0
2005-04-08,2627,2776,2580,2722,498562,22971.0,6620000.0
2005-04-11,2745,2882,2729,2729,570757,23038.0,6620000.0
2005-04-12,2729,2776,2630,2632,279039,22210.0,6620000.0
2005-04-13,2631,2648,2580,2588,266301,21846.0,6620000.0
2005-04-14,2532,2689,2532,2632,372110,22210.0,6620000.0
2005-04-15,2593,2599,2529,2541,134187,21449.0,6620000.0
2005-04-18,2408,2491,2322,2345,221188,19794.0,6620000.0
2005-04-19,2304,2403,2304,2353,142934,19860.0,6620000.0
2005-04-20,2384,2447,2384,2400,106923,20257.0,6620000.0
2005-04-21,2392,2416,2341,2416,104304,20390.0,6620000.0
2005-04-22,2494,2494,2416,2424,116152,20456.0,6620000.0
2005-04-25,2375,2415,2355,2361,98455,19926.0,6620000.0
2005-04-26,2364,2391,2332,2333,111492,19694.0,6620000.0
2005-04-27,2330,2369,2282,2298,113472,19397.0,6620000.0
2005-04-28,2313,2639,2301,2431,1037284,20522.0,6620000.0
2005-04-29,2411,2463,2345,2393,193550,20191.0,6620000.0
2005-05-02,2423,2450,2368,2380,136132,20092.0,6620000.0
2005-05-03,2383,2509,2380,2454,345414,20721.0,6620000.0
2005-05-04,2462,2502,2411,2475,140879,20886.0,6620000.0
2005-05-06,2474,2548,2466,2478,165336,20919.0,6620000.0
2005-05-09,2471,2525,2463,2471,100452,20853.0,6620000.0
2005-05-10,2466,2537,2466,2530,98496,21350.0,6620000.0
2005-05-11,2549,2573,2522,2537,136780,21416.0,6620000.0
2005-05-12,2537,2588,2537,2550,106509,21515.0,6620000.0
2005-05-13,2548,2579,2517,2525,82446,21316.0,6620000.0
2005-05-16,2588,2624,2537,2550,74832,21515.0,6620000.0
2005-05-17,2556,2634,2537,2608,150560,22012.0,6620000.0
2005-05-18,2611,2662,2588,2608,81368,22012.0,6620000.0
2005-05-19,2666,2698,2607,2682,130135,22640.0,6620000.0
2005-05-20,2816,2816,2678,2793,233174,23567.0,6620000.0
2005-05-23,2897,3199,2799,3059,904825,25818.0,6620000.0
2005-05-24,3113,3273,2917,2930,804309,24726.0,6620000.0
2005-05-25,2901,2972,2729,2824,269182,23832.0,6620000.0
2005-05-26,2831,2928,2787,2851,301954,24064.0,6620000.0
2005-05-27,2850,2901,2791,2824,113995,23832.0,6620000.0
2005-05-30,2807,2901,2803,2808,102565,23700.0,6620000.0
2005-05-31,2799,2835,2791,2799,95081,23633.0,6620000.0
2005-06-01,2785,2812,2705,2722,126320,22971.0,6620000.0
2005-06-02,2760,2886,2736,2835,322391,23931.0,6620000.0
2005-06-03,2894,3153,2863,2918,1009986,24626.0,6620000.0
2005-06-07,2928,2933,2850,2879,473918,24295.0,6620000.0
2005-06-08,2918,2965,2690,2738,415178,23104.0,6620000.0
2005-06-09,2705,2839,2705,2722,248127,22971.0,6620000.0
2005-06-10,2725,2941,2721,2784,540631,23501.0,6620000.0
2005-06-13,2858,2956,2803,2875,427328,24262.0,6620000.0
2005-06-14,2921,2924,2760,2827,305002,23865.0,6620000.0
2005-06-15,2886,3090,2854,2972,929353,25090.0,6620000.0
2005-06-16,2980,3020,2910,3012,314520,25421.0,6620000.0
2005-06-17,3121,3121,2948,2949,298832,24891.0,6620000.0
2005-06-20,2948,2965,2745,2812,238073,23733.0,6620000.0
2005-06-21,2757,2831,2745,2745,146455,23170.0,6620000.0
2005-06-22,2815,2862,2745,2780,245034,23468.0,6620000.0
2005-06-23,2776,2838,2752,2776,118206,23435.0,6620000.0
2005-06-24,2776,2816,2753,2773,82917,23402.0,6620000.0
2005-06-27,2957,3130,2874,2941,619431,24825.0,6620000.0
2005-06-28,2905,2924,2784,2808,201737,23700.0,6620000.0
2005-06-29,2870,2870,2776,2784,198273,23501.0,6620000.0
2005-06-30,2784,2891,2784,2848,282939,24031.0,6620000.0
2005-07-01,2846,2854,2799,2824,138634,23832.0,6620000.0
2005-07-04,2822,2858,2811,2855,135496,24097.0,6620000.0
2005-07-05,2902,2988,2902,2914,517244,24593.0,6620000.0
2005-07-06,2972,3090,2933,3043,470593,25686.0,6620000.0
2005-07-07,3090,3497,3011,3357,1610144,28334.0,6620000.0
2005-07-08,3353,3482,3145,3259,883885,27506.0,6620000.0
