명성티엔에스(257370),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-08,18000,18400,17650,17700,73722,112749.0,6370000.0
2018-11-09,18100,22300,18000,21100,1433589,134407.0,6370000.0
2018-11-12,20700,21450,20500,21050,334668,134088.0,6370000.0
2018-11-13,20250,20400,19450,20200,607962,128674.0,6370000.0
2018-11-14,20650,23200,20500,21250,1679254,135362.0,6370000.0
2018-11-15,21150,21450,20150,20800,215586,132496.0,6370000.0
2018-11-16,20950,21550,20150,20200,218075,128674.0,6370000.0
2018-11-19,20200,20500,19700,20150,183786,128356.0,6370000.0
2018-11-20,19650,19950,19250,19450,164000,123896.0,6370000.0
2018-11-21,19200,19250,18000,18350,298761,116890.0,6370000.0
2018-11-22,18400,18950,17800,17800,160772,113386.0,6370000.0
2018-11-23,17800,17950,16700,16700,171310,106379.0,6370000.0
2018-11-26,16600,17300,16500,16850,112582,107334.0,6370000.0
2018-11-27,17150,17950,17000,17100,302958,108927.0,6370000.0
2018-11-28,17300,17600,16850,17050,122127,108608.0,6370000.0
2018-11-29,17400,17400,16500,16700,110914,106379.0,6370000.0
2018-11-30,16700,17050,16550,16850,94970,107334.0,6370000.0
2018-12-03,17100,17500,16950,17150,136318,109246.0,6370000.0
2018-12-04,17250,17450,17050,17150,75713,109246.0,6370000.0
2018-12-05,16600,17200,16450,16950,75345,107972.0,6370000.0
2018-12-06,16900,16950,15950,16200,105412,103194.0,6370000.0
2018-12-07,16350,16700,15950,16300,71235,103831.0,6370000.0
2018-12-10,15850,16000,15300,15350,72001,97780.0,6370000.0
2018-12-11,15600,15700,14300,14300,123027,91091.0,6370000.0
2018-12-12,14250,15250,14250,15200,112022,96824.0,6370000.0
2018-12-13,15100,15550,14950,15250,49161,97142.0,6370000.0
2018-12-14,15450,15450,14950,15300,53355,97461.0,6370000.0
2018-12-17,15000,15200,14600,14650,57400,93320.0,6370000.0
2018-12-18,14150,14700,14150,14200,64272,90454.0,6370000.0
2018-12-19,14200,16850,14200,15650,610292,99690.0,6370000.0
2018-12-20,15500,15500,14600,14800,133150,94276.0,6370000.0
2018-12-21,14750,17600,14700,16800,816814,107016.0,6370000.0
2018-12-24,16650,17200,16400,16800,180838,107016.0,6370000.0
2018-12-26,16300,18300,16250,17400,523351,110838.0,6370000.0
2018-12-27,17700,18000,17200,17950,269654,114342.0,6370000.0
2018-12-28,18000,18150,17500,17600,146036,112112.0,6370000.0
2019-01-02,17850,17850,16850,17250,144664,109882.0,6370000.0
2019-01-03,17250,17750,16900,17000,124892,108290.0,6370000.0
2019-01-04,16850,17150,16150,17100,95226,108927.0,6370000.0
2019-01-07,17500,18050,17350,17450,247788,111156.0,6370000.0
2019-01-08,17300,17500,16500,16550,125367,105424.0,6370000.0
2019-01-09,16650,17150,16650,17050,100701,108608.0,6370000.0
2019-01-10,17100,17650,16800,17350,116327,110520.0,6370000.0
2019-01-11,17550,18200,17200,17650,275365,112430.0,6370000.0
2019-01-14,17700,18100,17400,18000,125756,114660.0,6370000.0
2019-01-15,18050,18500,17750,18150,172238,115616.0,6370000.0
2019-01-16,18150,18300,17750,17800,87325,113386.0,6370000.0
2019-01-17,18100,18100,17150,17300,111574,110201.0,6370000.0
2019-01-18,17500,18050,17350,17550,112393,111794.0,6370000.0
2019-01-21,17700,17750,17300,17750,94967,113068.0,6370000.0
2019-01-22,17900,18850,17800,18050,285662,114978.0,6370000.0
2019-01-23,18450,20400,18400,19150,1420927,121986.0,6370000.0
2019-01-24,19050,19300,18700,19200,186280,122304.0,6370000.0
2019-01-25,19700,20250,19400,19550,382864,124534.0,6370000.0
2019-01-28,20150,20200,19250,19450,214422,123896.0,6370000.0
2019-01-29,19300,19700,19150,19650,111961,125170.0,6370000.0
2019-01-30,19950,19950,19400,19500,89684,124215.0,6370000.0
2019-01-31,19750,19800,19000,19000,100385,121030.0,6370000.0
2019-02-01,19300,19450,18950,19200,92174,122304.0,6370000.0
2019-02-07,19650,20700,19450,20650,452197,131540.0,6370000.0
2019-02-08,20800,21250,20400,20900,225706,133133.0,6370000.0
2019-02-11,21000,21000,20300,20500,116584,130585.0,6370000.0
2019-02-12,20650,20700,20350,20350,84885,129630.0,6370000.0
2019-02-13,20350,20600,19950,20600,95581,131222.0,6370000.0
2019-02-14,20700,20900,20250,20900,92357,133133.0,6370000.0
2019-02-15,21200,21200,20550,21000,111018,133770.0,6370000.0
2019-02-18,21050,21300,20750,21000,118724,133770.0,6370000.0
2019-02-19,21000,21000,20400,20400,84824,129948.0,6370000.0
2019-02-20,20250,20550,20100,20200,73996,128674.0,6370000.0
2019-02-21,20150,20450,19200,19200,161817,122304.0,6370000.0
2019-02-22,18600,18900,18250,18550,218054,118164.0,6370000.0
2019-02-25,18700,19400,18350,19400,93696,123578.0,6370000.0
2019-02-26,19350,19600,18950,19200,64483,122304.0,6370000.0
2019-02-27,19250,19350,18800,18900,55953,120393.0,6370000.0
2019-02-28,18900,19200,18000,18350,71096,116890.0,6370000.0
2019-03-04,18400,19050,18400,19050,52217,121348.0,6370000.0
2019-03-05,18700,19000,18450,18500,45475,117845.0,6370000.0
2019-03-06,18500,18850,18500,18600,29575,118482.0,6370000.0
2019-03-07,18600,19300,18500,18700,77502,119119.0,6370000.0
2019-03-08,18750,18850,18450,18450,39334,117526.0,6370000.0
2019-03-11,18050,18350,17300,17500,84292,111475.0,6370000.0
2019-03-12,17750,17950,17400,17900,66449,114023.0,6370000.0
2019-03-13,17950,18000,17550,17850,45583,113704.0,6370000.0
2019-03-14,17850,18450,17850,18450,60465,117526.0,6370000.0
2019-03-15,18500,19150,18350,18450,80394,117526.0,6370000.0
2019-03-18,18450,18750,18300,18600,39633,118482.0,6370000.0
2019-03-19,18600,19500,18600,19200,168249,122304.0,6370000.0
2019-03-20,19250,19500,18600,19500,102854,124215.0,6370000.0
2019-03-21,19400,19850,19200,19300,111290,122941.0,6370000.0
2019-03-22,19600,19650,18900,19300,70539,122941.0,6370000.0
2019-03-25,18800,19100,18050,18250,77663,116252.0,6370000.0
2019-03-26,18300,19050,18300,18800,61814,119756.0,6370000.0
2019-03-27,19000,19350,18850,18900,73536,120393.0,6370000.0
2019-03-28,19600,19600,18600,19300,137299,122941.0,6370000.0
2019-03-29,19100,19200,18600,18800,74653,119756.0,6370000.0
2019-04-01,18900,18950,18200,18650,51530,118800.0,6370000.0
2019-04-02,18650,18950,18450,18900,43472,120393.0,6370000.0
2019-04-03,18900,19250,18750,19250,58610,122622.0,6370000.0
2019-04-04,19300,19550,18950,19050,71138,121348.0,6370000.0
2019-04-05,19050,19200,18800,19150,55503,121986.0,6370000.0
2019-04-08,19250,19550,19100,19100,99465,121667.0,6370000.0
2019-04-09,19300,19450,19100,19300,56019,122941.0,6370000.0
2019-04-10,19250,19250,19000,19150,48058,121986.0,6370000.0
2019-04-11,19300,19650,19200,19450,131049,123896.0,6370000.0
2019-04-12,19700,20750,19600,20450,460880,130266.0,6370000.0
2019-04-15,20850,20950,20200,20250,139924,128992.0,6370000.0
2019-04-16,20000,20150,19400,19700,123896,125489.0,6370000.0
2019-04-17,19700,20200,19450,19700,94017,125489.0,6370000.0
2019-04-18,19850,20000,18950,19050,101651,121348.0,6370000.0
2019-04-19,19050,19300,18850,18900,63599,120393.0,6370000.0
2019-04-22,19100,19100,18800,18900,34700,120393.0,6370000.0
2019-04-23,18900,19100,18600,19100,53134,121667.0,6370000.0
2019-04-24,19100,19100,18600,18600,53912,118482.0,6370000.0
2019-04-25,18550,18850,18400,18600,42530,118482.0,6370000.0
2019-04-26,18500,18600,17700,17950,55214,114342.0,6370000.0
2019-04-29,17950,18200,17500,17500,71771,111475.0,6370000.0
2019-04-30,17700,17750,17100,17500,52360,111475.0,6370000.0
2019-05-02,17600,18050,17350,17900,41479,114023.0,6370000.0
2019-05-03,17700,18250,17600,18100,37964,115297.0,6370000.0
2019-05-07,17950,17950,17500,17550,25440,111794.0,6370000.0
2019-05-08,17500,17500,16900,17150,58086,109246.0,6370000.0
2019-05-09,17150,17200,15750,16050,101963,102238.0,6370000.0
2019-05-10,16050,16300,15350,15550,56375,99054.0,6370000.0
2019-05-13,15450,15750,15050,15100,40019,96187.0,6370000.0
2019-05-14,14850,15250,14400,15000,52085,95550.0,6370000.0
2019-05-15,15100,15500,14700,15500,60366,98735.0,6370000.0
2019-05-16,15600,15600,14650,14650,42110,93320.0,6370000.0
2019-05-17,14650,14950,14250,14400,52808,91728.0,6370000.0
2019-05-20,14400,14650,14100,14100,31759,89817.0,6370000.0
2019-05-21,13850,14200,13550,13850,61696,88224.0,6370000.0
2019-05-22,13900,14200,13750,14150,24043,90136.0,6370000.0
2019-05-23,14300,14300,13500,13550,47471,86314.0,6370000.0
2019-05-24,13400,13400,12800,13300,67396,84721.0,6370000.0
2019-05-27,13400,13550,12950,12950,38026,82492.0,6370000.0
2019-05-28,12950,13850,12950,13700,52487,87269.0,6370000.0
2019-05-29,13650,13650,13100,13200,26104,84084.0,6370000.0
2019-05-30,13300,14000,13250,13650,44942,86950.0,6370000.0
2019-05-31,13600,13850,13400,13700,17958,87269.0,6370000.0
2019-06-03,13600,14000,13550,14000,20697,89180.0,6370000.0
2019-06-04,13950,14300,13800,14200,40977,90454.0,6370000.0
2019-06-05,14300,14650,14050,14150,40472,90136.0,6370000.0
2019-06-07,14200,14600,14200,14550,31780,92684.0,6370000.0
2019-06-10,14600,14700,14250,14450,17897,92046.0,6370000.0
2019-06-11,14300,14550,14150,14250,23059,90772.0,6370000.0
2019-06-12,14250,14350,13950,14000,23126,89180.0,6370000.0
2019-06-13,14000,14750,13850,14600,57926,93002.0,6370000.0
2019-06-14,14700,14750,14400,14600,27886,93002.0,6370000.0
2019-06-17,14450,14800,14150,14750,27035,93958.0,6370000.0
2019-06-18,14600,14750,14300,14350,19780,91410.0,6370000.0
2019-06-19,14450,14550,14200,14400,16622,91728.0,6370000.0
2019-06-20,14400,14500,14100,14250,18334,90772.0,6370000.0
2019-06-21,14250,14300,13700,13900,32223,88543.0,6370000.0
2019-06-24,13900,13950,13350,13350,27848,85040.0,6370000.0
2019-06-25,13350,14750,13350,14250,116882,90772.0,6370000.0
2019-06-26,14200,14200,13750,13850,29587,88224.0,6370000.0
2019-06-27,14000,14000,13550,13550,34413,86314.0,6370000.0
2019-06-28,13400,13850,13200,13500,30665,85995.0,6370000.0
2019-07-01,13450,14150,13450,13550,31355,86314.0,6370000.0
2019-07-02,13500,13550,13200,13350,18810,85040.0,6370000.0
2019-07-03,13350,13750,13250,13300,32819,84721.0,6370000.0
2019-07-04,13300,15700,13300,14700,454766,93639.0,6370000.0
2019-07-05,14450,14600,13950,14100,86896,89817.0,6370000.0
2019-07-08,14000,14100,13300,13400,54328,85358.0,6370000.0
2019-07-09,13450,14100,13450,13750,59225,87588.0,6370000.0
2019-07-10,13600,14200,13450,14200,53206,90454.0,6370000.0
2019-07-11,14400,14450,13850,13850,59727,88224.0,6370000.0
2019-07-12,13900,15600,13900,15000,414189,95550.0,6370000.0
2019-07-15,14950,15750,14500,15500,184701,98735.0,6370000.0
2019-07-16,15400,15950,14850,15100,135603,96187.0,6370000.0
2019-07-17,14950,15550,14700,14800,82535,94276.0,6370000.0
2019-07-18,14950,15250,14550,15150,51463,96506.0,6370000.0
2019-07-19,15150,15600,14950,15150,65324,96506.0,6370000.0
2019-07-22,15300,15300,14800,14800,44073,94276.0,6370000.0
2019-07-23,14800,15100,14250,14500,59342,92365.0,6370000.0
2019-07-24,14500,14800,13550,13550,88693,86314.0,6370000.0
2019-07-25,13550,14050,13450,13650,65742,86950.0,6370000.0
2019-07-26,14250,17700,14200,17700,3442141,112749.0,6370000.0
2019-07-29,18650,18750,16850,17350,1812045,110520.0,6370000.0
2019-07-30,17900,18250,17100,17950,1171540,114342.0,6370000.0
2019-07-31,17650,17750,16050,16200,639396,103194.0,6370000.0
2019-08-01,16100,16600,15450,15850,387424,100964.0,6370000.0
2019-08-02,16500,18350,15950,16750,2167184,106698.0,6370000.0
2019-08-05,16950,17550,15600,16050,991701,102238.0,6370000.0
2019-08-06,15600,15750,14050,14250,479643,90772.0,6370000.0
2019-08-07,14400,15400,14400,15250,372793,97142.0,6370000.0
2019-08-08,15250,15600,14500,15050,247917,95868.0,6370000.0
2019-08-09,15250,15300,14750,14900,174237,94913.0,6370000.0
2019-08-12,14900,15450,14850,15050,172528,95868.0,6370000.0
2019-08-13,14950,15400,14650,15250,211793,97142.0,6370000.0
2019-08-14,15400,16100,15200,15200,343635,96824.0,6370000.0
2019-08-16,14950,15450,14700,14800,142374,94276.0,6370000.0
2019-08-19,15000,15250,14650,14750,103587,93958.0,6370000.0
2019-08-20,14800,15350,14750,15200,168105,96824.0,6370000.0
2019-08-21,15150,16000,15100,16000,215725,101920.0,6370000.0
2019-08-22,16000,16500,15400,16500,346503,105105.0,6370000.0
2019-08-23,16200,16950,15800,16450,432669,104786.0,6370000.0
2019-08-26,16200,16300,15450,15450,220378,98416.0,6370000.0
2019-08-27,15900,16900,15750,16900,405261,107653.0,6370000.0
2019-08-28,17050,17300,16600,16700,258182,106379.0,6370000.0
2019-08-29,16750,17200,16000,16100,172703,102557.0,6370000.0
2019-08-30,16350,16850,15750,15950,152779,101602.0,6370000.0
2019-09-02,16150,16350,15900,16100,96194,102557.0,6370000.0
2019-09-03,16100,16600,16100,16100,116730,102557.0,6370000.0
2019-09-04,16100,16450,16100,16350,76630,104150.0,6370000.0
2019-09-05,16500,16750,16350,16550,134232,105424.0,6370000.0
2019-09-06,16750,16750,16200,16200,76893,103194.0,6370000.0
2019-09-09,16200,16300,15650,15650,88499,99690.0,6370000.0
2019-09-10,15650,15800,15350,15500,61530,98735.0,6370000.0
2019-09-11,15450,15750,15350,15350,51882,97780.0,6370000.0
2019-09-16,15550,15650,15350,15350,36890,97780.0,6370000.0
2019-09-17,15350,15700,15250,15600,48605,99372.0,6370000.0
2019-09-18,15600,15600,15300,15350,53034,97780.0,6370000.0
2019-09-19,15400,15600,15350,15350,44383,97780.0,6370000.0
2019-09-20,15350,15450,15100,15200,55380,96824.0,6370000.0
2019-09-23,15100,15400,14950,15200,38502,96824.0,6370000.0
2019-09-24,15100,15600,15100,15550,52620,99054.0,6370000.0
2019-09-25,15500,15550,14550,14700,93048,93639.0,6370000.0
2019-09-26,14750,14900,14050,14300,50222,91091.0,6370000.0
2019-09-27,14250,14300,13900,14000,56082,89180.0,6370000.0
2019-09-30,13750,14000,13350,13550,49653,86314.0,6370000.0
2019-10-01,13650,13850,13250,13550,47515,86314.0,6370000.0
2019-10-02,13250,13500,13200,13300,41585,84721.0,6370000.0
2019-10-04,13250,13500,13100,13250,36555,84402.0,6370000.0
2019-10-07,13250,13750,13250,13400,43577,,
