CJ ENM(035760),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-02-07,118736,118736,115418,118736,113733,560583.0,8243871.0
2000-02-08,132879,132879,121704,132880,1185570,627359.0,8243871.0
2000-02-09,131832,146675,129561,136198,1726347,643022.0,8243871.0
2000-02-10,130086,140564,119960,119959,1257596,566354.0,8243871.0
2000-02-11,125720,128690,113673,118387,895640,558934.0,8243871.0
2000-02-14,112974,122228,104942,106339,520812,502052.0,8243871.0
2000-02-15,104243,110880,93592,95164,505068,449291.0,8243871.0
2000-02-16,95165,104767,91671,104418,417892,492983.0,8243871.0
2000-02-17,103895,116815,103195,116815,592055,551515.0,8243871.0
2000-02-18,121881,129214,116992,117514,640360,554813.0,8243871.0
2000-02-21,107387,126594,107387,115070,565722,543271.0,8243871.0
2000-02-22,118737,123452,106514,116641,367563,550691.0,8243871.0
2000-02-23,115245,115245,102672,108434,308911,511944.0,8243871.0
2000-02-24,114371,121355,112800,121356,479671,572949.0,8243871.0
2000-02-25,122228,129214,113497,113499,590985,535852.0,8243871.0
2000-02-28,115244,118736,107387,109133,330448,515242.0,8243871.0
2000-02-29,110006,115942,108260,113499,331175,535852.0,8243871.0
2000-03-02,120483,127117,115418,127118,460412,600154.0,8243871.0
2000-03-03,130612,136198,119610,128341,981467,605925.0,8243871.0
2000-03-06,136198,143182,130611,132705,651469,626534.0,8243871.0
2000-03-07,126594,129214,116815,120832,345038,570476.0,8243871.0
2000-03-08,120830,127467,116991,126594,371070,597681.0,8243871.0
2000-03-09,125372,129039,121531,122927,282398,580369.0,8243871.0
2000-03-10,124673,137071,122928,124848,610323,589437.0,8243871.0
2000-03-13,128340,134277,122228,125721,322392,593559.0,8243871.0
2000-03-14,122228,123975,113673,120308,202529,568003.0,8243871.0
2000-03-15,120308,127468,117864,123975,324184,585315.0,8243871.0
2000-03-16,120483,125720,117164,119260,159309,563056.0,8243871.0
2000-03-17,121880,122054,105116,106164,236431,501227.0,8243871.0
2000-03-20,97783,109132,95338,97958,187943,462481.0,8243871.0
2000-03-21,97957,103895,92893,100926,248247,476496.0,8243871.0
2000-03-22,103896,111229,103022,106339,179198,502052.0,8243871.0
2000-03-23,106340,108085,97783,99530,152866,469901.0,8243871.0
2000-03-24,100401,103022,97783,100926,84276,476496.0,8243871.0
2000-03-27,100924,105640,99529,105640,190810,498754.0,8243871.0
2000-03-28,105465,110704,101450,110006,236786,519364.0,8243871.0
2000-03-29,108261,115245,102499,103021,240560,486388.0,8243871.0
2000-03-30,102149,115245,98657,115245,517918,544095.0,8243871.0
2000-03-31,119611,129039,115245,123975,967435,585315.0,8243871.0
2000-04-03,122228,122228,109131,109133,164372,515242.0,8243871.0
2000-04-04,96036,99530,96036,96037,181820,453413.0,8243871.0
2000-04-06,90799,98656,86433,87306,192385,412194.0,8243871.0
2000-04-07,88879,97434,87656,91846,312452,433628.0,8243871.0
2000-04-10,96037,100925,95338,99530,339522,469901.0,8243871.0
2000-04-11,89052,90799,87655,87655,173896,413842.0,8243871.0
2000-04-12,88354,89052,82941,87655,124921,413842.0,8243871.0
2000-04-14,83813,85386,77178,79798,151818,376745.0,8243871.0
2000-04-17,70281,70281,70281,70281,16729,331816.0,8243871.0
2000-04-18,78401,78576,63733,70281,261815,331816.0,8243871.0
2000-04-19,71591,75083,66353,70368,276519,332228.0,8243871.0
2000-04-20,68973,70370,66353,69495,89101,328106.0,8243871.0
2000-04-21,69845,76829,68795,75433,193577,356135.0,8243871.0
2000-04-24,75082,75432,69845,71067,119638,335526.0,8243871.0
2000-04-25,69846,72988,68973,72813,78952,343769.0,8243871.0
2000-04-26,75257,76566,70369,71067,142290,335526.0,8243871.0
2000-04-27,68272,70717,68272,69845,82411,329755.0,8243871.0
2000-04-28,70718,73162,70194,70892,125438,334701.0,8243871.0
2000-05-02,70893,75606,70893,72639,137936,342945.0,8243871.0
2000-05-03,71590,71941,70193,71242,63618,336350.0,8243871.0
2000-05-04,71240,73860,70543,72027,143001,340060.0,8243871.0
2000-05-08,73512,76044,71942,72464,241657,342121.0,8243871.0
2000-05-09,71677,72290,70455,70543,82552,333052.0,8243871.0
2000-05-10,71591,71767,70107,70368,78551,332228.0,8243871.0
2000-05-12,68272,73251,68099,69845,271628,329755.0,8243871.0
2000-05-15,69847,71591,63037,65131,116831,307496.0,8243871.0
2000-05-16,64607,66178,61463,63559,74263,300077.0,8243871.0
2000-05-17,64957,65130,55963,58582,123327,276582.0,8243871.0
2000-05-18,54130,57448,52035,53432,138714,252262.0,8243871.0
2000-05-19,53257,54130,48543,52908,97890,249789.0,8243871.0
2000-05-22,52646,52646,46622,46622,80954,220111.0,8243871.0
2000-05-23,43130,46621,41032,44351,152605,209394.0,8243871.0
2000-05-24,44352,49591,42955,49590,454113,234126.0,8243871.0
2000-05-25,50636,55526,50636,55526,328995,262155.0,8243871.0
2000-05-26,57621,61639,55003,58670,301304,276994.0,8243871.0
2000-05-29,56050,60241,54305,58495,93997,276170.0,8243871.0
2000-05-30,61377,65481,61377,64607,106064,305023.0,8243871.0
2000-05-31,69845,72201,69146,71067,122154,335526.0,8243871.0
2000-06-01,71068,75084,63734,70019,336929,330579.0,8243871.0
2000-06-02,78401,78401,69496,70368,188563,332228.0,8243871.0
2000-06-05,71590,73338,70544,70718,209008,333877.0,8243871.0
2000-06-07,70894,72464,70718,71416,138929,337174.0,8243871.0
2000-06-08,71591,72202,65305,65480,115731,309145.0,8243871.0
2000-06-09,68710,69846,64607,66877,175385,315740.0,8243871.0
2000-06-12,66352,68886,64606,67837,124741,320274.0,8243871.0
2000-06-13,67225,67574,63732,63734,61974,300901.0,8243871.0
2000-06-14,62860,65480,62512,63384,40171,299253.0,8243871.0
2000-06-15,62512,63036,57273,58058,53731,274109.0,8243871.0
2000-06-16,57620,60765,55002,59368,40233,280292.0,8243871.0
2000-06-19,57621,60766,57621,58146,41453,274521.0,8243871.0
2000-06-20,61116,61116,57622,58844,32405,277818.0,8243871.0
2000-06-21,59718,61116,58845,59194,65293,279467.0,8243871.0
2000-06-22,59369,60592,57621,59194,55532,279467.0,8243871.0
2000-06-23,57970,64606,57533,60329,222794,284826.0,8243871.0
2000-06-26,60154,62513,59369,61114,99707,288535.0,8243871.0
2000-06-27,61640,65829,60242,64607,167266,305023.0,8243871.0
2000-06-28,65480,68099,64606,66353,134686,313267.0,8243871.0
2000-06-29,67226,67925,62599,62599,86154,295543.0,8243871.0
2000-06-30,62859,64343,61375,63734,66418,300901.0,8243871.0
2000-07-03,65480,71241,64083,71242,175266,336350.0,8243871.0
2000-07-04,72988,75607,70544,72813,235318,343769.0,8243871.0
2000-07-05,72987,79274,68098,76480,519918,361082.0,8243871.0
2000-07-06,76479,85647,75257,85647,351463,404362.0,8243871.0
2000-07-07,88528,95861,88528,95863,426811,452589.0,8243871.0
2000-07-10,98656,107212,97783,107212,413707,506174.0,8243871.0
2000-07-11,113497,118736,94464,94466,894911,445993.0,8243871.0
2000-07-12,90799,101101,90450,92719,424822,437750.0,8243871.0
2000-07-13,93417,102671,92196,102323,494185,483091.0,8243871.0
2000-07-14,103895,106862,92195,93418,463937,441047.0,8243871.0
2000-07-18,90800,91323,82766,88878,264872,419613.0,8243871.0
2000-07-19,86957,95165,84861,88703,385656,418789.0,8243871.0
2000-07-20,84688,87306,82069,83640,174230,394881.0,8243871.0
2000-07-21,87305,88529,81195,83465,126038,394057.0,8243871.0
2000-07-24,81195,83989,73511,73512,134686,347067.0,8243871.0
2000-07-25,70193,82329,69321,82330,636499,388699.0,8243871.0
2000-07-26,83814,88529,77180,79187,693754,373860.0,8243871.0
2000-07-27,77353,80322,75083,76131,202158,359433.0,8243871.0
2000-07-28,76829,78050,71766,73599,180409,347479.0,8243871.0
2000-07-31,70718,77354,70718,74821,188653,353250.0,8243871.0
2000-08-01,74822,83116,74822,82592,394830,389935.0,8243871.0
2000-08-02,81195,81195,78050,78925,213794,372623.0,8243871.0
2000-08-03,80322,86433,78664,79973,263723,377569.0,8243871.0
2000-08-04,82069,82593,77877,80060,166249,377981.0,8243871.0
2000-08-07,78750,83289,76829,79449,213546,375096.0,8243871.0
2000-08-08,78576,81544,74558,75956,91692,358608.0,8243871.0
2000-08-09,75957,77529,74736,76830,73400,362730.0,8243871.0
2000-08-10,76306,77353,75171,76131,37555,359433.0,8243871.0
2000-08-11,74735,78227,74735,76568,75695,361494.0,8243871.0
2000-08-14,77702,79099,77003,77353,44073,365203.0,8243871.0
2000-08-16,77703,84337,77703,82418,205886,389111.0,8243871.0
2000-08-17,83289,90799,80845,85822,394660,405186.0,8243871.0
2000-08-18,87305,87305,80496,81544,91791,384989.0,8243871.0
2000-08-21,78925,82766,78925,79973,68317,377569.0,8243871.0
2000-08-22,80321,81892,78226,79798,44170,376745.0,8243871.0
2000-08-23,78751,81022,77354,77703,50524,366852.0,8243871.0
2000-08-24,78401,78838,74212,76218,50864,359845.0,8243871.0
2000-08-25,75606,78487,74735,77528,46346,366028.0,8243871.0
2000-08-28,77003,81980,77003,81282,101099,383752.0,8243871.0
2000-08-29,81196,81196,78838,79624,47235,375921.0,8243871.0
2000-08-30,79623,80060,78750,79362,29344,374684.0,8243871.0
2000-08-31,78751,80062,73339,76830,42243,362730.0,8243871.0
2000-09-01,75957,78751,75084,76830,48459,362730.0,8243871.0
2000-09-04,75084,78751,75084,76830,49688,362730.0,8243871.0
2000-09-05,76829,82069,76043,80497,138133,380042.0,8243871.0
2000-09-06,80496,81719,77878,79624,96295,375921.0,8243871.0
2000-09-07,78576,79972,76306,76655,35938,361906.0,8243871.0
2000-09-08,78488,79972,76830,78663,71630,371386.0,8243871.0
2000-09-14,77703,79448,76219,78139,48006,368913.0,8243871.0
2000-09-15,77790,78576,74559,76655,52931,361906.0,8243871.0
2000-09-18,74736,74736,67489,67488,41633,318626.0,8243871.0
2000-09-19,61116,66529,60243,63210,99280,298428.0,8243871.0
2000-09-20,64607,67052,64607,65480,71870,309145.0,8243871.0
2000-09-21,65654,66875,61115,63384,132282,299253.0,8243871.0
2000-09-22,61115,61115,55789,58495,120122,276170.0,8243871.0
2000-09-25,55877,60416,55178,57360,244167,270811.0,8243871.0
2000-09-26,56748,58494,55875,57884,185141,273284.0,8243871.0
2000-09-27,58234,61900,57273,61114,312540,288535.0,8243871.0
2000-09-28,61813,63734,59369,59717,115617,281940.0,8243871.0
2000-09-29,59368,61986,59368,61988,94420,292657.0,8243871.0
2000-10-02,60066,65131,57798,63210,182961,298428.0,8243871.0
2000-10-04,61463,63123,60939,61114,92800,288535.0,8243871.0
2000-10-05,61987,63384,61115,61551,95004,290596.0,8243871.0
2000-10-06,59718,63036,59718,60067,141585,283589.0,8243871.0
2000-10-09,61462,61899,60241,60329,108931,284826.0,8243871.0
2000-10-10,59719,60767,53520,56400,208622,266277.0,8243871.0
2000-10-11,53605,54478,49676,49678,153723,234538.0,8243871.0
2000-10-12,47670,49591,46186,46534,166116,219699.0,8243871.0
2000-10-13,43827,48019,41033,45923,500690,216814.0,8243871.0
2000-10-16,50637,50637,48193,48892,237553,230828.0,8243871.0
2000-10-17,47843,47843,43041,43042,140604,203211.0,8243871.0
2000-10-18,41208,42429,38764,40859,292290,192907.0,8243871.0
2000-10-19,40860,43567,39986,40335,209956,190433.0,8243871.0
2000-10-20,42256,42955,41034,41208,310305,194555.0,8243871.0
2000-10-23,42430,43391,41295,41470,239508,195792.0,8243871.0
2000-10-24,41121,41906,40685,40946,103663,193319.0,8243871.0
2000-10-25,40162,45835,40162,45050,527068,212692.0,8243871.0
2000-10-26,44527,45311,41121,41907,200251,197853.0,8243871.0
2000-10-27,42780,43304,41907,42169,152179,199089.0,8243871.0
2000-10-30,40421,42778,37540,38502,139864,181777.0,8243871.0
2000-10-31,37017,38240,34223,37979,127159,179304.0,8243871.0
2000-11-01,38764,40335,38588,39462,181156,186311.0,8243871.0
2000-11-02,39463,41907,38939,41121,206153,194143.0,8243871.0
2000-11-03,41907,46012,41907,44701,324431,211043.0,8243871.0
2000-11-06,44701,46796,43304,44613,216262,210631.0,8243871.0
2000-11-07,44352,44352,41907,42256,103322,199502.0,8243871.0
2000-11-08,41906,43217,40859,41558,72795,196204.0,8243871.0
2000-11-09,39811,42082,39811,41907,53919,197853.0,8243871.0
2000-11-10,41382,42780,41033,41558,61322,196204.0,8243871.0
2000-11-13,41383,41383,39288,39637,69411,187136.0,8243871.0
2000-11-14,39636,40686,38939,40161,92174,189609.0,8243871.0
2000-11-15,41032,42606,40161,40859,124730,192907.0,8243871.0
2000-11-16,40510,41646,39986,40335,66541,190433.0,8243871.0
2000-11-17,39636,40946,39375,40510,108869,191258.0,8243871.0
2000-11-20,40161,40336,39288,39549,53742,186724.0,8243871.0
2000-11-21,38588,39112,36145,37717,72136,178068.0,8243871.0
2000-11-22,37717,39289,37192,37368,89569,176419.0,8243871.0
2000-11-23,36321,38589,35884,35971,112802,169824.0,8243871.0
2000-11-24,36320,37454,35621,36232,45427,171060.0,8243871.0
2000-11-27,36757,37454,36581,36756,68559,173533.0,8243871.0
2000-11-28,36669,37018,35796,35796,43824,168999.0,8243871.0
2000-11-29,34573,34923,33787,33875,48500,159931.0,8243871.0
2000-11-30,34224,34399,30558,32391,77810,152924.0,8243871.0
2000-12-01,30294,33175,30294,32653,80003,154160.0,8243871.0
2000-12-04,32826,36494,32739,33351,644957,157458.0,8243871.0
2000-12-05,33353,33700,31779,33002,100473,155809.0,8243871.0
2000-12-06,34573,34573,31255,31343,127157,147977.0,8243871.0
2000-12-07,29770,31603,29770,30645,81172,144680.0,8243871.0
2000-12-08,29857,30644,29510,29771,154841,140558.0,8243871.0
2000-12-11,30208,30558,30034,30470,131202,143856.0,8243871.0
2000-12-12,30557,31254,29857,30208,107474,142619.0,8243871.0
2000-12-13,29685,30558,29597,30470,90367,143856.0,8243871.0
2000-12-14,30294,30818,29684,30645,64557,144680.0,8243871.0
2000-12-15,29857,30557,29333,29684,93920,140146.0,8243871.0
2000-12-18,29161,29510,28287,28462,56870,134375.0,8243871.0
2000-12-19,28113,28810,25405,25406,101635,119948.0,8243871.0
2000-12-20,23661,24446,22438,22787,141713,107583.0,8243871.0
2000-12-21,22610,24794,20952,23921,241727,112941.0,8243871.0
2000-12-22,24621,25843,24099,24795,134085,117063.0,8243871.0
2000-12-26,24621,25929,24271,24620,57749,116239.0,8243871.0
2001-01-02,24270,27065,23571,26366,69572,124482.0,8243871.0
2001-01-03,25493,28986,24097,27414,206132,129429.0,8243871.0
2001-01-04,29509,30644,29160,30645,194026,144680.0,8243871.0
2001-01-05,30644,34049,29334,32740,308562,154573.0,8243871.0
2001-01-08,31432,34313,30645,31605,320681,149214.0,8243871.0
2001-01-09,31255,32129,29510,31954,953181,150863.0,8243871.0
2001-01-10,32302,35707,31954,32653,932386,154160.0,8243871.0
2001-01-11,33351,36493,31778,36494,341078,172297.0,8243871.0
2001-01-12,38765,40859,37542,40684,344662,192082.0,8243871.0
2001-01-15,42779,45311,41032,44351,552237,209394.0,8243871.0
2001-01-16,43653,45050,40161,41034,426233,193731.0,8243871.0
2001-01-17,39289,41210,36145,38764,281039,183014.0,8243871.0
2001-01-18,37717,39986,36145,37368,181648,176419.0,8243871.0
2001-01-19,37018,39113,36844,38764,141124,183014.0,8243871.0
2001-01-22,38416,42170,38416,41819,339716,197441.0,8243871.0
2001-01-26,41210,42607,38765,38851,242122,183426.0,8243871.0
2001-01-29,38589,39725,37105,37891,96875,178892.0,8243871.0
2001-01-30,38416,39463,34224,35447,360626,167351.0,8243871.0
2001-01-31,35708,35797,33090,35447,268138,167351.0,8243871.0
2001-02-01,35447,36669,34660,34923,264595,164877.0,8243871.0
2001-02-02,34922,35707,34398,35185,133208,166114.0,8243871.0
2001-02-05,34049,34049,30993,31692,175128,149626.0,8243871.0
2001-02-06,31780,32217,30121,31605,192997,149214.0,8243871.0
2001-02-07,30731,32479,30731,30906,141374,145917.0,8243871.0
2001-02-08,30295,31342,30295,30819,155587,145504.0,8243871.0
2001-02-09,31255,33613,31081,32303,203970,152512.0,8243871.0
2001-02-12,31517,33175,31517,33089,196729,156221.0,8243871.0
2001-02-13,34049,34224,32128,32391,177070,152924.0,8243871.0
2001-02-14,32302,34398,32128,33177,307105,156634.0,8243871.0
2001-02-15,33526,35447,32827,33875,413677,159931.0,8243871.0
2001-02-16,34399,35184,32826,32827,228354,154985.0,8243871.0
2001-02-19,32653,33176,31955,32478,94029,153336.0,8243871.0
2001-02-20,32478,33262,32041,32216,107701,152099.0,8243871.0
2001-02-21,31604,31778,31168,31692,94723,149626.0,8243871.0
2001-02-22,30731,31081,28810,29859,103738,140970.0,8243871.0
2001-02-23,29857,30731,29333,30732,99666,145092.0,8243871.0
2001-02-26,30731,31342,29771,30906,76504,145917.0,8243871.0
2001-02-27,31082,31342,29334,29422,73086,138909.0,8243871.0
2001-02-28,29333,30120,28636,29684,98974,140146.0,8243871.0
2001-03-02,29422,29422,26542,27065,82711,127780.0,8243871.0
2001-03-05,25318,27412,25318,27327,73087,129017.0,8243871.0
2001-03-06,27326,28287,26890,27414,59915,129429.0,8243871.0
2001-03-07,27152,28112,27152,27763,39376,131078.0,8243871.0
2001-03-08,27936,29333,27588,28724,77880,135612.0,8243871.0
2001-03-09,28374,29073,27937,27938,26689,131902.0,8243871.0
2001-03-12,27065,27412,25842,25842,46832,122009.0,8243871.0
2001-03-13,24446,26016,23661,24620,61389,116239.0,8243871.0
2001-03-14,25493,26192,25057,25406,107881,119948.0,8243871.0
2001-03-15,24098,26890,23747,26017,145096,122834.0,8243871.0
2001-03-16,26191,26191,25144,25318,63647,119536.0,8243871.0
2001-03-19,25320,25757,24446,24795,38368,117063.0,8243871.0
2001-03-20,25059,25757,24446,24795,51308,117063.0,8243871.0
2001-03-21,24097,24969,24097,24445,35231,115414.0,8243871.0
2001-03-22,24532,24708,24097,24445,34388,115414.0,8243871.0
2001-03-23,24532,25493,24532,24969,73640,117887.0,8243871.0
2001-03-26,25668,27937,25493,27938,222722,131902.0,8243871.0
2001-03-27,28810,30731,27676,27938,514919,131902.0,8243871.0
2001-03-28,28810,29161,25842,26017,168629,122834.0,8243871.0
2001-03-29,25318,26715,25318,25318,68163,119536.0,8243871.0
2001-03-30,25669,26193,24446,24795,114819,117063.0,8243871.0
2001-04-02,26192,27326,25842,26454,253766,124895.0,8243871.0
2001-04-03,26016,27676,24969,26104,386737,123246.0,8243871.0
2001-04-04,24969,26716,24098,24620,153344,116239.0,8243871.0
2001-04-06,25493,26192,25405,25406,105501,119948.0,8243871.0
2001-04-09,24445,25668,24445,24882,57908,117475.0,8243871.0
2001-04-10,25318,25318,24445,24445,48704,115414.0,8243871.0
2001-04-11,25493,25493,24620,24969,52530,117887.0,8243871.0
2001-04-12,25057,25144,24445,24969,57477,117887.0,8243871.0
2001-04-13,25668,26715,25318,26366,169364,124482.0,8243871.0
2001-04-16,26366,26977,25493,25493,66329,120361.0,8243871.0
2001-04-17,25494,25843,25058,25668,46180,121185.0,8243871.0
2001-04-18,26192,27676,25929,27414,209259,129429.0,8243871.0
2001-04-19,28463,30470,28463,29509,484840,139321.0,8243871.0
2001-04-20,30120,30558,27936,28374,239265,133963.0,8243871.0
2001-04-23,28462,30120,28287,29859,216659,140970.0,8243871.0
2001-04-24,28986,30207,28462,30208,99188,142619.0,8243871.0
2001-04-25,30207,32826,29770,31692,329496,149626.0,8243871.0
2001-04-26,32043,32217,30820,31605,118324,149214.0,8243871.0
2001-04-27,31255,31431,30034,30906,59937,145917.0,8243871.0
2001-04-30,31082,33263,31082,32827,171699,154985.0,8243871.0
2001-05-02,33176,34399,33176,33264,178518,157046.0,8243871.0
2001-05-03,33526,33614,31956,33002,67713,155809.0,8243871.0
2001-05-04,32303,34399,31605,34399,67832,162404.0,8243871.0
2001-05-07,34572,35445,33699,34050,152389,160755.0,8243871.0
2001-05-08,33263,34224,32652,32915,81916,155397.0,8243871.0
2001-05-09,32651,33351,32127,32129,53380,151687.0,8243871.0
2001-05-10,31693,32653,31432,32565,40473,153748.0,8243871.0
2001-05-11,33176,34923,32827,34923,241554,164877.0,8243871.0
2001-05-14,35971,36844,34923,35883,201883,169412.0,8243871.0
2001-05-15,35884,35884,34312,34399,51186,162404.0,8243871.0
2001-05-16,34922,34922,33089,33264,47880,157046.0,8243871.0
2001-05-17,34050,34574,32827,33526,94277,158282.0,8243871.0
2001-05-18,33525,33525,32478,33089,48744,156221.0,8243871.0
2001-05-21,34048,34572,33001,33089,71704,156221.0,8243871.0
2001-05-22,33963,34049,32652,32827,56529,154985.0,8243871.0
2001-05-23,32914,33001,32127,32129,38660,151687.0,8243871.0
2001-05-24,31778,32478,31692,32216,36229,152099.0,8243871.0
2001-05-25,32479,32479,31779,31867,40385,150451.0,8243871.0
2001-05-28,31431,32128,31431,31867,18546,150451.0,8243871.0
2001-05-29,31604,32302,31604,32216,43659,152099.0,8243871.0
2001-05-30,32129,32479,31605,32041,67440,151275.0,8243871.0
2001-05-31,31432,31780,30908,31081,47897,146741.0,8243871.0
2001-06-01,31431,31955,30207,31430,67096,148390.0,8243871.0
2001-06-04,30907,31604,30731,31343,49729,147977.0,8243871.0
2001-06-05,31082,31518,30382,30557,43524,144268.0,8243871.0
2001-06-07,29947,30908,28810,29509,63978,139321.0,8243871.0
2001-06-08,29684,30381,29510,30295,60757,143031.0,8243871.0
2001-06-11,30035,31868,29685,30557,175328,144268.0,8243871.0
2001-06-12,30730,31342,30033,30208,59399,142619.0,8243871.0
2001-06-13,30207,30818,29946,30732,52813,145092.0,8243871.0
2001-06-14,30559,31868,30382,31081,217090,146741.0,8243871.0
2001-06-15,31082,33614,30995,33002,329550,155809.0,8243871.0
2001-06-18,33526,33700,32566,32915,126254,155397.0,8243871.0
2001-06-19,32827,33263,32303,32915,109520,155397.0,8243871.0
2001-06-20,32566,32915,31431,31954,93415,150863.0,8243871.0
2001-06-21,32128,32391,30907,31780,67733,150038.0,8243871.0
2001-06-22,31605,31956,31082,31081,45319,146741.0,8243871.0
2001-06-25,31082,32479,30908,31430,120481,148390.0,8243871.0
2001-06-26,31432,31779,30034,30033,86061,141795.0,8243871.0
2001-06-27,30035,30471,28288,29160,105003,137673.0,8243871.0
2001-06-28,29334,30207,29073,29946,71428,141382.0,8243871.0
2001-06-29,30382,31431,30034,30906,98064,145917.0,8243871.0
2001-07-02,30908,32129,30471,31605,117772,149214.0,8243871.0
2001-07-03,31955,32128,31604,31867,70376,150451.0,8243871.0
2001-07-04,31954,32390,31430,32129,53232,151687.0,8243871.0
2001-07-05,32127,32478,31954,32129,51445,151687.0,8243871.0
2001-07-06,31779,31779,30470,30819,60368,145504.0,8243871.0
2001-07-09,30732,30732,29248,29597,75652,139734.0,8243871.0
2001-07-10,29684,30207,29160,29859,43211,140970.0,8243871.0
2001-07-11,28113,29334,27937,28986,36439,136848.0,8243871.0
2001-07-12,29248,30558,29161,30557,40379,144268.0,8243871.0
2001-07-13,31082,31082,29510,29509,40824,139321.0,8243871.0
2001-07-16,30208,30208,29248,30121,20984,142207.0,8243871.0
2001-07-18,29947,30296,29073,29073,25310,137260.0,8243871.0
2001-07-19,28462,29422,28462,29422,29708,138909.0,8243871.0
2001-07-20,29510,29857,28897,29335,25028,138497.0,8243871.0
2001-07-23,29857,30206,28549,28724,31268,135612.0,8243871.0
2001-07-24,28724,31431,27764,31430,47265,148390.0,8243871.0
2001-07-25,30730,31604,30207,30208,31850,142619.0,8243871.0
2001-07-26,30381,31604,30381,30732,46966,145092.0,8243871.0
2001-07-27,31255,32302,31081,32303,109549,152512.0,8243871.0
2001-07-30,32128,33613,31867,33177,214157,156634.0,8243871.0
2001-07-31,34049,34049,32652,32827,66708,154985.0,8243871.0
2001-08-01,33175,33612,32651,33613,87544,158695.0,8243871.0
2001-08-02,33787,34050,33176,33962,77661,160343.0,8243871.0
2001-08-03,33962,35969,33962,34574,251370,163229.0,8243871.0
2001-08-06,34049,35360,33876,35272,86097,166526.0,8243871.0
2001-08-07,35096,35707,34572,35097,113283,165702.0,8243871.0
2001-08-08,35096,35446,34572,35097,49303,165702.0,8243871.0
2001-08-09,34836,34923,33700,33875,45797,159931.0,8243871.0
2001-08-10,33877,34313,33002,33002,25984,155809.0,8243871.0
2001-08-13,33877,33877,32827,33002,56143,155809.0,8243871.0
2001-08-14,32916,33963,32827,33526,75352,158282.0,8243871.0
2001-08-16,33352,33526,32652,33351,29519,157458.0,8243871.0
