나스미디어(089600),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-12-06,10850,11350,10850,11350,84909,93597.0,8246432.0
2013-12-09,11500,11550,10950,11000,33832,90711.0,8246432.0
2013-12-10,11050,11200,10950,11050,23384,91123.0,8246432.0
2013-12-11,10950,11250,10950,11150,19391,91948.0,8246432.0
2013-12-12,11000,11150,10900,11050,17464,91123.0,8246432.0
2013-12-13,11250,11250,10850,11150,23313,91948.0,8246432.0
2013-12-16,11300,11300,10800,10950,27404,90298.0,8246432.0
2013-12-17,11000,11200,10750,10750,27019,88649.0,8246432.0
2013-12-18,10900,10950,10600,10600,27833,87412.0,8246432.0
2013-12-19,10600,10700,10100,10350,85293,85351.0,8246432.0
2013-12-20,10600,10800,10350,10800,79606,89061.0,8246432.0
2013-12-23,10750,11150,10750,11100,47095,91535.0,8246432.0
2013-12-24,11150,11200,10900,11100,20540,91535.0,8246432.0
2013-12-26,11200,11200,10850,11100,17063,91535.0,8246432.0
2013-12-27,10950,11300,10900,11300,30786,93185.0,8246432.0
2013-12-30,11300,11300,11100,11300,9988,93185.0,8246432.0
2014-01-02,11250,11450,11150,11250,18589,92772.0,8246432.0
2014-01-03,11100,11350,11100,11300,17721,93185.0,8246432.0
2014-01-06,11300,11650,11250,11600,56580,95659.0,8246432.0
2014-01-07,11600,11650,11400,11600,15460,95659.0,8246432.0
2014-01-08,11650,11650,11400,11500,18672,94834.0,8246432.0
2014-01-09,11500,11500,11100,11250,27004,92772.0,8246432.0
2014-01-10,11300,11550,11100,11550,25553,95246.0,8246432.0
2014-01-13,11600,11600,11200,11400,21805,94009.0,8246432.0
2014-01-14,11400,11600,11250,11300,19144,93185.0,8246432.0
2014-01-15,11450,11450,11200,11200,16890,92360.0,8246432.0
2014-01-16,11350,11450,11100,11100,29440,91535.0,8246432.0
2014-01-17,11200,11300,11000,11250,32115,92772.0,8246432.0
2014-01-20,11350,11600,11200,11500,34135,94834.0,8246432.0
2014-01-21,11550,13100,11500,12500,220224,103080.0,8246432.0
2014-01-22,12550,13100,12500,12750,162096,105142.0,8246432.0
2014-01-23,12900,12950,12500,12750,48024,105142.0,8246432.0
2014-01-24,12950,13300,12650,13050,194972,107616.0,8246432.0
2014-01-27,12550,14400,12400,14000,278312,115450.0,8246432.0
2014-01-28,14050,15150,14050,14750,564496,121635.0,8246432.0
2014-01-29,14750,14950,14450,14700,151773,121223.0,8246432.0
2014-02-03,14700,14700,14150,14200,128812,117099.0,8246432.0
2014-02-04,14000,14200,13750,14100,164410,116275.0,8246432.0
2014-02-05,14250,14850,14100,14600,278834,120398.0,8246432.0
2014-02-06,14650,14700,13900,14300,161068,117924.0,8246432.0
2014-02-07,14450,14600,13850,14300,191798,117924.0,8246432.0
2014-02-10,14500,15050,14300,14400,183332,118749.0,8246432.0
2014-02-11,14650,14700,13950,14000,140077,115450.0,8246432.0
2014-02-12,14050,14250,13700,14000,103766,115450.0,8246432.0
2014-02-13,13900,14050,13450,13650,146637,112564.0,8246432.0
2014-02-14,13900,14050,13600,13900,113724,114625.0,8246432.0
2014-02-17,14050,14100,13150,13200,154526,108853.0,8246432.0
2014-02-18,13150,13500,13100,13350,84659,110090.0,8246432.0
2014-02-19,13500,13800,13300,13300,133415,109678.0,8246432.0
2014-02-20,13400,13450,13150,13300,56460,109678.0,8246432.0
2014-02-21,13700,13700,13250,13550,70492,111739.0,8246432.0
2014-02-24,13600,13750,13200,13200,43471,108853.0,8246432.0
2014-02-25,13350,14550,13250,14250,209939,117512.0,8246432.0
2014-02-26,14350,14450,14000,14250,72791,117512.0,8246432.0
2014-02-27,14300,14650,14050,14550,92902,119986.0,8246432.0
2014-02-28,14600,14600,14150,14150,70722,116687.0,8246432.0
2014-03-03,13950,14200,13600,13950,71959,115038.0,8246432.0
2014-03-04,13950,14050,13750,13900,39213,114625.0,8246432.0
2014-03-05,14000,15950,14000,15900,534523,131118.0,8246432.0
2014-03-06,16000,16450,15650,16300,244784,134417.0,8246432.0
2014-03-07,16250,16500,15950,16100,87500,132768.0,8246432.0
2014-03-10,16150,16700,15900,16100,103047,132768.0,8246432.0
2014-03-11,16100,16500,15850,16200,120609,133592.0,8246432.0
2014-03-12,16200,16800,15300,15850,233321,130706.0,8246432.0
2014-03-13,16000,17150,15500,16550,269398,136478.0,8246432.0
2014-03-14,16200,16750,16100,16250,65012,134005.0,8246432.0
2014-03-17,16300,16750,15500,15800,69387,130294.0,8246432.0
2014-03-18,15950,16200,15400,15700,37781,129469.0,8246432.0
2014-03-19,16250,17000,15900,16850,218443,138952.0,8246432.0
2014-03-20,17550,19350,17550,18050,1221890,148848.0,8246432.0
2014-03-21,17900,19200,17800,18600,363945,153384.0,8246432.0
2014-03-24,18300,19050,17950,19000,190189,156682.0,8246432.0
2014-03-25,18800,18950,17350,17700,149636,145962.0,8246432.0
2014-03-26,17850,17850,17050,17250,121182,142251.0,8246432.0
2014-03-27,17250,17700,17100,17100,78796,141014.0,8246432.0
2014-03-28,17100,17300,16950,17100,47075,141014.0,8246432.0
2014-03-31,17300,17400,16800,17250,56081,142251.0,8246432.0
2014-04-01,17250,18200,17200,17550,103564,144725.0,8246432.0
2014-04-02,17400,17750,17000,17350,104256,143076.0,8246432.0
2014-04-03,17550,18450,17500,17650,225284,145550.0,8246432.0
2014-04-04,17650,17850,17250,17800,73662,146786.0,8246432.0
2014-04-07,17500,17750,16250,16250,147655,134005.0,8246432.0
2014-04-08,16000,16600,16000,16200,69733,133592.0,8246432.0
2014-04-09,16400,16500,15600,15850,130530,130706.0,8246432.0
2014-04-10,15900,16100,15800,15850,48361,130706.0,8246432.0
2014-04-11,15450,16150,15400,16050,48864,132355.0,8246432.0
2014-04-14,15950,16200,15850,16050,29257,132355.0,8246432.0
2014-04-15,16250,16400,16050,16150,61553,133180.0,8246432.0
2014-04-16,16150,17000,16050,16950,99052,139777.0,8246432.0
2014-04-17,17050,17250,16700,16700,56373,137715.0,8246432.0
2014-04-18,16650,17050,16550,16850,27150,138952.0,8246432.0
2014-04-21,16950,17000,16250,16350,29045,134829.0,8246432.0
2014-04-22,16450,16650,16300,16650,21765,137303.0,8246432.0
2014-04-23,16650,16900,16200,16250,26789,134005.0,8246432.0
2014-04-24,16200,16400,15200,15650,82523,129057.0,8246432.0
2014-04-25,15500,15800,15300,15500,31400,127820.0,8246432.0
2014-04-28,15350,15650,15300,15650,21884,129057.0,8246432.0
2014-04-29,15400,16000,15400,15700,28732,129469.0,8246432.0
2014-04-30,15700,16200,15600,15600,39727,128644.0,8246432.0
2014-05-02,15850,16400,15800,16100,49163,132768.0,8246432.0
2014-05-07,16200,16200,15750,16150,19963,133180.0,8246432.0
2014-05-08,16050,16300,15750,16100,30748,132768.0,8246432.0
2014-05-09,16100,17400,16100,17200,135845,141839.0,8246432.0
2014-05-12,17400,17500,16850,17350,58553,143076.0,8246432.0
2014-05-13,17450,17650,17250,17500,87509,144313.0,8246432.0
2014-05-14,17700,18150,17550,17950,103032,148023.0,8246432.0
2014-05-15,18200,18200,17750,17950,44882,148023.0,8246432.0
2014-05-16,17900,18000,17500,17500,51847,144313.0,8246432.0
2014-05-19,17650,17650,15500,15500,85652,127820.0,8246432.0
2014-05-20,15400,16750,15400,15950,111899,131531.0,8246432.0
2014-05-21,15900,16250,15850,16100,56305,132768.0,8246432.0
2014-05-22,16300,16300,15800,15950,29790,131531.0,8246432.0
2014-05-23,15750,16150,15750,16050,14890,132355.0,8246432.0
2014-05-26,16500,16750,16150,16400,26249,135241.0,8246432.0
2014-05-27,16400,17700,16000,17350,118395,143076.0,8246432.0
2014-05-28,17350,18000,17000,17300,153386,142663.0,8246432.0
2014-05-29,17550,17550,17200,17350,29594,143076.0,8246432.0
2014-05-30,17600,18100,17300,17600,89362,145137.0,8246432.0
2014-06-02,17600,17700,16900,16900,28214,139365.0,8246432.0
2014-06-03,16900,17250,16250,16350,30334,134829.0,8246432.0
2014-06-05,16050,16450,15350,15400,66934,126995.0,8246432.0
2014-06-09,15800,15850,14850,15450,22481,127407.0,8246432.0
2014-06-10,15750,15850,15000,15550,22858,128232.0,8246432.0
2014-06-11,15550,15800,14750,14950,43690,123284.0,8246432.0
2014-06-12,14900,15200,14500,14900,47292,122872.0,8246432.0
2014-06-13,15100,15100,14650,14900,17895,122872.0,8246432.0
2014-06-16,14700,15000,14550,14900,35365,122872.0,8246432.0
2014-06-17,14950,15400,14750,15200,24547,125346.0,8246432.0
2014-06-18,16050,16500,15650,15800,123067,130294.0,8246432.0
2014-06-19,16000,16000,15200,15200,42854,125346.0,8246432.0
2014-06-20,15200,15500,14850,15100,30476,124521.0,8246432.0
2014-06-23,14900,15650,14850,15650,40557,129057.0,8246432.0
2014-06-24,15650,16300,15500,16100,54699,132768.0,8246432.0
2014-06-25,16200,16400,15700,16200,27080,133592.0,8246432.0
2014-06-26,16500,16500,15750,16400,20534,135241.0,8246432.0
2014-06-27,16450,16600,15950,16050,12834,132355.0,8246432.0
2014-06-30,16250,16500,15850,16500,33207,136066.0,8246432.0
2014-07-01,16500,16600,16000,16150,30054,133180.0,8246432.0
2014-07-02,16150,16300,15900,16000,22578,131943.0,8246432.0
2014-07-03,16000,16250,15750,16000,24997,131943.0,8246432.0
2014-07-04,15950,16200,15750,15900,27398,131118.0,8246432.0
2014-07-07,16100,16100,15800,15950,24514,131531.0,8246432.0
2014-07-08,15900,16900,15800,16700,72518,137715.0,8246432.0
2014-07-09,16750,17200,16600,17100,39033,141014.0,8246432.0
2014-07-10,17150,17300,16700,17250,35604,142251.0,8246432.0
2014-07-11,17250,17400,16500,16500,40241,136066.0,8246432.0
2014-07-14,16650,16650,16000,16450,38834,135654.0,8246432.0
2014-07-15,16500,18500,16200,18150,205192,149673.0,8246432.0
2014-07-16,18150,19050,17400,18250,357356,150497.0,8246432.0
2014-07-17,18700,19000,17950,18250,127761,150497.0,8246432.0
2014-07-18,18600,20800,18300,20150,658978,166166.0,8246432.0
2014-07-21,20150,20150,19200,19200,318127,158331.0,8246432.0
2014-07-22,19150,19250,18600,19050,166093,157095.0,8246432.0
2014-07-23,19050,19350,18800,19050,126574,157095.0,8246432.0
2014-07-24,19100,19500,18500,19050,155449,157095.0,8246432.0
2014-07-25,19250,19300,18950,18950,58666,156270.0,8246432.0
2014-07-28,19000,19150,17800,17800,141176,146786.0,8246432.0
2014-07-29,17800,18000,17100,17600,84483,145137.0,8246432.0
2014-07-30,17600,18450,17400,18450,85300,152147.0,8246432.0
2014-07-31,18450,18850,17400,18700,114654,154208.0,8246432.0
2014-08-01,18250,18850,18250,18350,40984,151322.0,8246432.0
2014-08-04,18400,18650,18000,18600,62585,153384.0,8246432.0
2014-08-05,19100,19400,18300,18300,117867,150910.0,8246432.0
2014-08-06,18550,19050,18200,18800,50961,155033.0,8246432.0
2014-08-07,18850,19200,18400,18400,45972,151734.0,8246432.0
2014-08-08,18100,18250,17200,17300,80598,142663.0,8246432.0
2014-08-11,17600,18600,17350,18050,52983,148848.0,8246432.0
2014-08-12,18250,18500,17900,18400,18798,151734.0,8246432.0
2014-08-13,18850,19750,18400,19500,124065,160805.0,8246432.0
2014-08-14,19650,20450,19400,20150,176233,166166.0,8246432.0
2014-08-18,20800,20800,20150,20500,91508,169052.0,8246432.0
2014-08-19,20400,20700,19700,20550,65039,169464.0,8246432.0
2014-08-20,20950,22000,20550,21650,126740,178535.0,8246432.0
2014-08-21,21700,21900,21200,21200,50645,174824.0,8246432.0
2014-08-22,21300,22800,21300,21900,91094,180597.0,8246432.0
2014-08-25,21900,22800,21500,22600,46733,186369.0,8246432.0
2014-08-26,22600,23200,21800,23050,79069,190080.0,8246432.0
2014-08-27,23000,23300,22250,22400,48085,184720.0,8246432.0
2014-08-28,22600,22750,21600,21600,56177,178123.0,8246432.0
2014-08-29,21600,22000,21450,21800,32461,179772.0,8246432.0
2014-09-01,21850,21900,21100,21500,23297,177298.0,8246432.0
2014-09-02,21850,21900,21450,21750,21875,179360.0,8246432.0
2014-09-03,21550,21900,21200,21850,21251,180185.0,8246432.0
2014-09-04,21700,23100,21500,22600,59056,186369.0,8246432.0
2014-09-05,22600,22850,21750,22100,37800,182246.0,8246432.0
2014-09-11,22100,22600,21500,21600,20437,178123.0,8246432.0
2014-09-12,21700,21900,19700,20850,64747,171938.0,8246432.0
2014-09-15,20400,21200,19300,21100,50182,174000.0,8246432.0
2014-09-16,20800,21400,20550,21100,19020,174000.0,8246432.0
2014-09-17,20850,21900,20850,21400,29493,176474.0,8246432.0
2014-09-18,21300,22450,21300,22050,20482,181834.0,8246432.0
2014-09-19,22250,22900,22250,22600,34014,186369.0,8246432.0
2014-09-22,22600,23000,22050,22050,8142,181834.0,8246432.0
2014-09-23,21850,22800,21200,22800,25604,188019.0,8246432.0
2014-09-24,22500,24500,22500,22500,69976,185545.0,8246432.0
2014-09-25,22350,23050,22350,22500,25273,185545.0,8246432.0
2014-09-26,22300,23350,22200,23050,36237,190080.0,8246432.0
2014-09-29,22800,23650,21650,22300,50646,183895.0,8246432.0
2014-09-30,22700,22700,21750,21800,28672,179772.0,8246432.0
2014-10-01,21600,22350,21500,22150,26019,182658.0,8246432.0
2014-10-02,21850,22600,21800,22500,16073,185545.0,8246432.0
2014-10-06,23300,23650,22450,23100,32111,190493.0,8246432.0
2014-10-07,22900,24450,22600,24250,47662,199976.0,8246432.0
2014-10-08,24350,25350,24150,24900,53001,205336.0,8246432.0
2014-10-10,25000,25400,23450,24300,46812,200388.0,8246432.0
2014-10-13,24200,24800,23250,24100,38496,198739.0,8246432.0
2014-10-14,23800,24600,23800,24450,11450,201625.0,8246432.0
2014-10-15,24400,25500,24100,25050,14681,206573.0,8246432.0
2014-10-16,24700,25100,24100,24200,20298,199564.0,8246432.0
2014-10-17,24500,25200,24150,25200,20305,207810.0,8246432.0
2014-10-20,25800,26100,24700,25000,25013,206161.0,8246432.0
2014-10-21,24600,25350,24550,25200,22115,207810.0,8246432.0
2014-10-22,25050,25500,24750,24750,22192,204099.0,8246432.0
2014-10-23,24600,25100,24200,24350,19966,200801.0,8246432.0
2014-10-24,24550,26100,24400,26100,39888,215232.0,8246432.0
2014-10-27,26150,26600,25450,25600,119289,211109.0,8246432.0
2014-10-28,26000,29400,26000,27800,305156,229251.0,8246432.0
2014-10-29,28100,29650,27500,28050,95661,231312.0,8246432.0
2014-10-30,28450,28450,26850,27450,61715,226365.0,8246432.0
2014-10-31,27900,28900,27250,28550,39793,235436.0,8246432.0
2014-11-03,28700,29400,27400,28700,65281,236673.0,8246432.0
2014-11-04,28900,29100,28450,28800,21200,237497.0,8246432.0
2014-11-05,28700,28900,27850,27850,21796,229663.0,8246432.0
2014-11-06,28150,28150,23700,23700,105923,195440.0,8246432.0
2014-11-07,24300,24550,23350,23750,63509,195853.0,8246432.0
2014-11-10,24200,24250,21000,21650,198581,178535.0,8246432.0
2014-11-11,21700,23350,21650,22950,118577,189256.0,8246432.0
2014-11-12,23250,24250,22600,24150,53097,199151.0,8246432.0
2014-11-13,25200,27200,24000,25450,105174,209872.0,8246432.0
2014-11-14,25350,27950,24950,27100,82464,223478.0,8246432.0
2014-11-17,27300,28000,26200,28000,52292,230900.0,8246432.0
2014-11-18,28000,28450,26900,28000,46324,230900.0,8246432.0
2014-11-19,28400,28400,27450,27650,18593,228014.0,8246432.0
2014-11-20,27900,28250,26450,27600,35697,227602.0,8246432.0
2014-11-21,28100,28400,27000,27500,25610,226777.0,8246432.0
2014-11-24,27400,28000,26100,26400,33446,217706.0,8246432.0
2014-11-25,26100,26800,24750,25800,58167,212758.0,8246432.0
2014-11-26,26200,26200,25100,26000,27632,214407.0,8246432.0
2014-11-27,25700,26450,25200,25800,24206,212758.0,8246432.0
2014-11-28,25650,26350,25300,25300,12610,208635.0,8246432.0
2014-12-01,25100,27400,25100,26650,38540,219767.0,8246432.0
2014-12-02,26650,26800,25500,26600,24908,219355.0,8246432.0
2014-12-03,26950,26950,26100,26100,20412,215232.0,8246432.0
2014-12-04,26200,26500,25700,26350,21169,217293.0,8246432.0
2014-12-05,26000,26500,25600,26300,21429,216881.0,8246432.0
2014-12-08,26350,27150,26300,26850,15619,221417.0,8246432.0
2014-12-09,26450,27050,26050,26950,23090,222241.0,8246432.0
2014-12-10,27050,28050,26200,26200,27825,216057.0,8246432.0
2014-12-11,25900,26450,25200,25900,26779,213583.0,8246432.0
2014-12-12,26100,26200,24550,25150,37915,207398.0,8246432.0
2014-12-15,25150,25500,24700,25100,14556,206985.0,8246432.0
2014-12-16,25150,25700,24800,25100,13342,206985.0,8246432.0
2014-12-17,25150,25400,24550,25100,20326,206985.0,8246432.0
2014-12-18,24850,25500,24150,24200,25354,199564.0,8246432.0
2014-12-19,24800,24800,24150,24450,21378,201625.0,8246432.0
2014-12-22,24700,24700,23550,24100,37183,198739.0,8246432.0
2014-12-23,23950,24550,23750,23800,21023,196265.0,8246432.0
2014-12-24,23800,24500,23350,23450,33264,193379.0,8246432.0
2014-12-26,23750,24450,23300,24350,22006,200801.0,8246432.0
2014-12-29,24450,24800,24000,24000,13075,197914.0,8246432.0
2014-12-30,24000,24550,23450,23850,18428,196677.0,8246432.0
2015-01-02,24300,25800,23500,25000,25726,206161.0,8246432.0
2015-01-05,24750,25400,24600,24950,14772,205748.0,8246432.0
2015-01-06,24800,24900,23750,23750,41242,195853.0,8246432.0
2015-01-07,23800,24250,23500,23900,20490,197090.0,8246432.0
2015-01-08,24050,24950,23250,24850,30545,204924.0,8246432.0
2015-01-09,25650,25650,24400,24700,19729,203687.0,8246432.0
2015-01-12,24700,24750,23000,23100,71330,190493.0,8246432.0
2015-01-13,23200,23750,23000,23700,29511,195440.0,8246432.0
2015-01-14,23700,24100,23250,24000,25487,197914.0,8246432.0
2015-01-15,24000,24600,23700,24600,19113,202862.0,8246432.0
2015-01-16,24600,24800,23750,24200,17539,199564.0,8246432.0
2015-01-19,24500,24500,23100,23750,46517,195853.0,8246432.0
2015-01-20,23750,24050,23500,23550,11382,194203.0,8246432.0
2015-01-21,23700,23800,22550,22550,42323,185957.0,8246432.0
2015-01-22,22500,22750,21400,21500,61811,177298.0,8246432.0
2015-01-23,21350,22500,21300,22400,25077,184720.0,8246432.0
2015-01-26,22600,22900,21750,22850,26562,188431.0,8246432.0
2015-01-27,22900,23250,22650,22650,20786,186782.0,8246432.0
2015-01-28,22600,23700,22400,23650,22499,195028.0,8246432.0
2015-01-29,23750,24900,23400,24700,43480,203687.0,8246432.0
2015-01-30,24700,25500,24500,25100,59173,206985.0,8246432.0
2015-02-02,25200,25800,23000,25650,45697,211521.0,8246432.0
2015-02-03,25900,27500,25700,26900,80251,221829.0,8246432.0
2015-02-04,27000,27400,26300,26600,30258,219355.0,8246432.0
2015-02-05,26450,27200,26400,26800,13705,221004.0,8246432.0
2015-02-06,27250,27850,26400,26550,37218,218943.0,8246432.0
2015-02-09,27100,28000,25700,25700,38350,211933.0,8246432.0
2015-02-10,26300,26300,24700,26050,21029,214820.0,8246432.0
2015-02-11,26000,27500,25800,26100,28102,215232.0,8246432.0
2015-02-12,26650,29000,26100,28950,84529,238734.0,8246432.0
2015-02-13,29550,29550,27950,28200,57811,232549.0,8246432.0
2015-02-16,28250,29350,27750,28650,37153,236260.0,8246432.0
2015-02-17,28400,29000,27700,28600,19798,235848.0,8246432.0
2015-02-23,28650,28950,28000,28400,9112,234199.0,8246432.0
2015-02-24,28400,29000,27900,28800,25135,237497.0,8246432.0
2015-02-25,28950,29450,28650,28950,29495,238734.0,8246432.0
2015-02-26,28700,29500,28600,29050,17033,239559.0,8246432.0
2015-02-27,28950,29500,28550,29450,16478,242857.0,8246432.0
2015-03-02,29450,29450,28400,28400,25566,234199.0,8246432.0
2015-03-03,28600,29300,28500,28800,10231,237497.0,8246432.0
2015-03-04,28800,29000,27800,28500,12594,235023.0,8246432.0
2015-03-05,28050,28950,28050,28800,8812,237497.0,8246432.0
2015-03-06,28650,29500,27900,29400,13796,242445.0,8246432.0
2015-03-09,29650,29950,29050,29950,15089,246981.0,8246432.0
2015-03-10,30000,30000,28950,29300,18990,241620.0,8246432.0
2015-03-11,28800,29900,28600,29700,8367,244919.0,8246432.0
2015-03-12,29950,30000,28900,29900,12560,246568.0,8246432.0
2015-03-13,29800,29800,29100,29450,12602,242857.0,8246432.0
2015-03-16,29250,29850,28200,28200,12440,232549.0,8246432.0
2015-03-17,28500,28950,27800,28300,19990,233374.0,8246432.0
2015-03-18,28200,29250,27300,28500,26559,235023.0,8246432.0
2015-03-19,28800,29000,28100,28650,7009,236260.0,8246432.0
2015-03-20,28750,29300,28550,29300,5467,241620.0,8246432.0
2015-03-23,29200,29500,28700,29100,6689,239971.0,8246432.0
2015-03-24,28900,30000,28900,30000,25377,247393.0,8246432.0
2015-03-25,30000,30200,29500,30050,34405,247805.0,8246432.0
2015-03-26,30100,30250,29400,30050,20005,247805.0,8246432.0
2015-03-27,30000,30000,29600,30000,9635,247393.0,8246432.0
2015-03-30,29700,30000,29250,29650,16639,244507.0,8246432.0
2015-03-31,29750,32500,29400,32500,102222,268009.0,8246432.0
2015-04-01,32000,32400,30900,31300,46809,258113.0,8246432.0
2015-04-02,31000,32800,30600,31650,34590,261000.0,8246432.0
2015-04-03,31650,32000,29300,29300,47409,241620.0,8246432.0
2015-04-06,29150,30000,29150,29950,36791,246981.0,8246432.0
