엔에스(217820),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-09-28,6625,6625,6474,6550,9191,64190.0,4900000.0
2016-09-29,6550,6600,6374,6550,13457,64190.0,4900000.0
2016-09-30,6550,6600,6350,6450,8207,63210.0,4900000.0
2016-10-04,6525,6749,6525,6675,30515,65415.0,4900000.0
2016-10-05,6725,6800,6525,6675,12594,65415.0,4900000.0
2016-10-06,6650,6675,6549,6675,10046,65415.0,4900000.0
2016-10-07,6650,6675,6475,6650,46556,65170.0,4900000.0
2016-10-10,6650,6675,6375,6500,20875,63700.0,4900000.0
2016-10-11,6400,6575,6349,6475,35970,63455.0,4900000.0
2016-10-12,6450,6900,6425,6750,100799,66150.0,4900000.0
2016-10-13,6850,6925,6400,6475,113054,63455.0,4900000.0
2016-10-14,6475,6849,6350,6625,96579,64925.0,4900000.0
2016-10-17,7125,8150,6925,6925,2256143,67865.0,4900000.0
2016-10-18,6974,7050,6750,6950,251609,68110.0,4900000.0
2016-10-19,7025,7300,6925,7075,283779,69335.0,4900000.0
2016-10-20,7150,7249,6825,6925,142124,67865.0,4900000.0
2016-10-21,6975,7225,6800,7200,107212,70560.0,4900000.0
2016-10-24,7200,7724,7100,7650,216448,74970.0,4900000.0
2016-10-25,7725,7725,7325,7425,113213,72765.0,4900000.0
2016-10-26,7400,7475,6949,7175,130503,70315.0,4900000.0
2016-10-27,7175,7400,7100,7125,60879,69825.0,4900000.0
2016-10-28,7100,7300,7049,7125,48115,69825.0,4900000.0
2016-10-31,7025,7125,6725,6750,61009,66150.0,4900000.0
2016-11-01,6600,6774,6500,6550,50967,64190.0,4900000.0
2016-11-02,6500,6575,5900,6000,138451,58800.0,4900000.0
2016-11-03,5875,6100,5800,6050,56398,59290.0,4900000.0
2016-11-04,6000,6075,5875,6000,22159,58800.0,4900000.0
2016-11-07,6000,6324,6000,6250,28881,61250.0,4900000.0
2016-11-08,6300,6425,6200,6225,24773,61005.0,4900000.0
2016-11-09,6225,6300,5175,5550,149808,54390.0,4900000.0
2016-11-10,5850,5850,5375,5425,124307,53165.0,4900000.0
2016-11-11,5425,5525,5350,5425,39516,53165.0,4900000.0
2016-11-14,5425,5525,5250,5450,39613,53410.0,4900000.0
2016-11-15,5475,5550,5375,5450,27958,53410.0,4900000.0
2016-11-16,5475,5525,5400,5450,27978,53410.0,4900000.0
2016-11-17,5475,5625,5425,5575,22253,54635.0,4900000.0
2016-11-18,5550,5575,5275,5375,39802,52675.0,4900000.0
2016-11-21,5350,5350,4970,4970,75009,48706.0,4900000.0
2016-11-22,4955,5050,4955,5000,31479,49000.0,4900000.0
2016-11-23,5050,5100,4910,4970,32615,48706.0,4900000.0
2016-11-24,4915,4990,4540,4585,64272,44933.0,4900000.0
2016-11-25,4585,4585,4445,4550,49590,44590.0,4900000.0
2016-11-28,4700,4700,4560,4595,20041,45031.0,4900000.0
2016-11-29,4590,4620,4500,4525,11167,44345.0,4900000.0
2016-11-30,4550,4550,4475,4530,15128,44394.0,4900000.0
2016-12-01,4485,4560,4415,4495,11007,44051.0,4900000.0
2016-12-02,4550,4570,4410,4480,21153,43904.0,4900000.0
2016-12-05,4405,4420,4105,4195,33583,41111.0,4900000.0
2016-12-06,4205,4260,4130,4170,24344,40866.0,4900000.0
2016-12-07,4235,4260,4065,4090,15776,40082.0,4900000.0
2016-12-08,4295,4295,4110,4170,36703,40866.0,4900000.0
2016-12-09,4240,4350,4135,4350,23859,42630.0,4900000.0
2016-12-12,4405,4520,4405,4490,31638,44002.0,4900000.0
2016-12-13,4500,4650,4475,4645,21181,45521.0,4900000.0
2016-12-14,4660,4720,4580,4720,22066,46256.0,4900000.0
2016-12-15,4680,4895,4625,4810,52019,47138.0,4900000.0
2016-12-16,4860,4860,4700,4785,14495,46893.0,4900000.0
2016-12-19,4790,4790,4635,4700,24265,46060.0,4900000.0
2016-12-20,4700,4795,4695,4710,13086,46158.0,4900000.0
2016-12-21,4670,4755,4665,4755,10411,46599.0,4900000.0
2016-12-22,4775,4775,4650,4740,11092,46452.0,4900000.0
2016-12-23,4745,4765,4675,4735,8350,46403.0,4900000.0
2016-12-26,4735,4750,4615,4650,10362,45570.0,4900000.0
2016-12-27,4655,5950,4655,5300,1154400,51940.0,4900000.0
2016-12-28,5250,5300,5125,5250,180782,51450.0,4900000.0
2016-12-29,5250,5250,5050,5125,108013,50225.0,4900000.0
2017-01-02,5125,6050,5050,5700,703476,55860.0,4900000.0
2017-01-03,5700,6225,5600,5825,395718,57085.0,4900000.0
2017-01-04,5875,6125,5700,5775,110107,56595.0,4900000.0
2017-01-05,5800,5850,5725,5800,54210,56840.0,4900000.0
2017-01-06,5775,5900,5750,5850,48875,57330.0,4900000.0
2017-01-09,5825,5850,5625,5675,52477,55615.0,4900000.0
2017-01-10,5625,5725,5600,5700,19247,55860.0,4900000.0
2017-01-11,5750,5750,5625,5700,20705,55860.0,4900000.0
2017-01-12,5650,5775,5525,5525,44785,54145.0,4900000.0
2017-01-13,5500,5700,5500,5550,25863,54390.0,4900000.0
2017-01-16,5650,5650,5475,5625,18946,55125.0,4900000.0
2017-01-17,5550,5625,5400,5475,36002,53655.0,4900000.0
2017-01-18,5575,5625,5300,5575,39318,54635.0,4900000.0
2017-01-19,5575,5575,5350,5450,20338,53410.0,4900000.0
2017-01-20,5400,5450,5225,5350,29781,52430.0,4900000.0
2017-01-23,5300,5500,5225,5325,35455,52185.0,4900000.0
2017-01-24,5250,5300,5125,5125,32818,50225.0,4900000.0
2017-01-25,5150,5250,5000,5025,17723,49245.0,4900000.0
2017-01-26,5100,5375,5050,5250,13540,51450.0,4900000.0
2017-01-31,5250,5250,5100,5225,11277,51205.0,4900000.0
2017-02-01,5225,5500,5225,5375,14081,52675.0,4900000.0
2017-02-02,5350,5350,5225,5275,11309,51695.0,4900000.0
2017-02-03,5325,5325,5100,5150,13738,50470.0,4900000.0
2017-02-06,5150,5300,5025,5125,11520,50225.0,4900000.0
2017-02-07,5125,5125,4980,5025,13179,49245.0,4900000.0
2017-02-08,5050,5150,4980,5000,8485,49000.0,4900000.0
2017-02-09,5025,5125,5000,5100,8477,49980.0,4900000.0
2017-02-10,5125,5175,5000,5050,10066,49490.0,4900000.0
2017-02-13,4965,5050,4965,5025,14257,49245.0,4900000.0
2017-02-14,5200,5200,4975,5000,8245,49000.0,4900000.0
2017-02-15,5025,5125,5025,5100,13608,49980.0,4900000.0
2017-02-16,5125,5525,5100,5275,60472,51695.0,4900000.0
2017-02-17,5400,5450,5175,5200,42895,50960.0,4900000.0
2017-02-20,5275,5375,5250,5275,48269,51695.0,4900000.0
2017-02-21,5450,5600,5325,5375,103373,52675.0,4900000.0
2017-02-22,5400,5400,5250,5275,44203,51695.0,4900000.0
2017-02-23,5275,5400,5275,5275,17588,51695.0,4900000.0
2017-02-24,5300,5500,5275,5400,37883,52920.0,4900000.0
2017-02-27,5450,5575,5375,5525,36417,54145.0,4900000.0
2017-02-28,5525,5575,5375,5400,19786,52920.0,4900000.0
2017-03-02,5375,5500,5275,5275,23685,51695.0,4900000.0
2017-03-03,5275,5275,5100,5200,33386,50960.0,4900000.0
2017-03-06,5125,5150,5075,5100,16444,49980.0,4900000.0
2017-03-07,5100,5200,5075,5100,12751,49980.0,4900000.0
2017-03-08,5150,5150,5000,5075,16925,49735.0,4900000.0
2017-03-09,5050,5150,5050,5075,10613,49735.0,4900000.0
2017-03-10,5100,5175,5050,5150,14122,50470.0,4900000.0
2017-03-13,5150,5225,5100,5125,16518,50225.0,4900000.0
2017-03-14,5150,5250,5075,5175,32515,50715.0,4900000.0
2017-03-15,5175,5325,5150,5200,22864,50960.0,4900000.0
2017-03-16,5250,5250,5150,5200,16464,50960.0,4900000.0
2017-03-17,5200,6275,5200,5475,789469,53655.0,4900000.0
2017-03-20,5624,7075,5600,6650,2278089,65170.0,4900000.0
2017-03-21,6550,6775,6400,6700,558237,65660.0,4900000.0
2017-03-22,6600,6750,6500,6700,233159,65660.0,4900000.0
2017-03-23,6700,6800,6400,6575,244430,64435.0,4900000.0
2017-03-24,6625,6649,6150,6225,200015,61005.0,4900000.0
2017-03-27,6200,6349,6125,6275,105253,61495.0,4900000.0
2017-03-28,6300,6549,6175,6375,130266,62475.0,4900000.0
2017-03-29,6375,6500,6275,6275,42009,61495.0,4900000.0
2017-03-30,6225,6300,6150,6225,43268,61005.0,4900000.0
2017-03-31,6225,6500,6200,6375,93851,62475.0,4900000.0
2017-04-03,6325,6450,6250,6400,38817,62720.0,4900000.0
2017-04-04,6400,6625,6274,6550,103149,64190.0,4900000.0
2017-04-05,6500,6600,6400,6450,51323,63210.0,4900000.0
2017-04-06,6525,6525,6325,6400,30154,62720.0,4900000.0
2017-04-07,6375,6450,6325,6400,34479,62720.0,4900000.0
2017-04-10,6400,6500,6150,6225,49715,61005.0,4900000.0
2017-04-11,6300,6425,6200,6300,71668,61740.0,4900000.0
2017-04-12,6300,6350,6125,6350,28420,62230.0,4900000.0
2017-04-13,6350,7624,6250,6850,1412952,67130.0,4900000.0
2017-04-14,6800,7150,6500,6550,347335,64190.0,4900000.0
2017-04-17,6625,7175,6400,6925,291359,67865.0,4900000.0
2017-04-18,6875,7075,6800,6925,110267,67865.0,4900000.0
2017-04-19,6925,7125,6749,6775,131045,66395.0,4900000.0
2017-04-20,6800,7149,6725,6775,120502,66395.0,4900000.0
2017-04-21,6825,6850,6675,6700,42056,65660.0,4900000.0
2017-04-24,6775,6775,6500,6525,39275,63945.0,4900000.0
2017-04-25,6625,6650,6575,6575,17475,64435.0,4900000.0
2017-04-26,6600,7350,6600,6900,413565,67620.0,4900000.0
2017-04-27,6875,6875,6625,6625,110120,64925.0,4900000.0
2017-04-28,6700,6874,6600,6750,82869,66150.0,4900000.0
2017-05-02,6775,7075,6775,6850,108377,67130.0,4900000.0
2017-05-04,6850,7024,6775,6850,52127,67130.0,4900000.0
2017-05-08,6950,6975,6800,6800,58592,66640.0,4900000.0
2017-05-10,6750,7200,6700,7150,121962,70070.0,4900000.0
2017-05-11,7100,7300,6975,7000,80650,68600.0,4900000.0
2017-05-12,7000,7350,6875,7200,113514,70560.0,4900000.0
2017-05-15,7150,7575,7100,7425,174970,72765.0,4900000.0
2017-05-16,7424,7675,7300,7650,123191,74970.0,4900000.0
2017-05-17,7675,7675,7375,7425,92778,72765.0,4900000.0
2017-05-18,7200,7325,7175,7275,39481,71295.0,4900000.0
2017-05-19,7225,7400,7174,7350,26607,72030.0,4900000.0
2017-05-22,7300,7350,7050,7100,42905,69580.0,4900000.0
2017-05-23,7150,7225,6975,7200,45374,70560.0,4900000.0
2017-05-24,7125,7274,7025,7150,37299,70070.0,4900000.0
2017-05-25,7125,7175,6675,6675,67902,65415.0,4900000.0
2017-05-26,6674,6974,6600,6950,72541,68110.0,4900000.0
2017-05-29,7150,7425,7025,7150,90100,70070.0,4900000.0
2017-05-30,7075,7375,7075,7225,46477,70805.0,4900000.0
2017-05-31,7300,7300,7100,7100,27165,69580.0,4900000.0
2017-06-01,7149,7175,6900,7075,29942,69335.0,4900000.0
2017-06-02,7149,7149,6875,6875,51449,67375.0,4900000.0
2017-06-05,6975,6975,6724,6850,28387,67130.0,4900000.0
2017-06-07,6875,7100,6825,7100,43248,69580.0,4900000.0
2017-06-08,7000,7200,6950,7025,40646,68845.0,4900000.0
2017-06-09,7050,7950,7025,7350,356408,72030.0,4900000.0
2017-06-12,7324,7450,7150,7450,57232,73010.0,4900000.0
2017-06-13,7450,7500,7350,7450,31489,73010.0,4900000.0
2017-06-14,7450,7875,7400,7650,138782,74970.0,4900000.0
2017-06-15,7650,8825,7575,8325,456942,81585.0,4900000.0
2017-06-16,8275,8775,8200,8225,179749,80605.0,4900000.0
2017-06-19,8400,8524,8050,8100,84114,79380.0,4900000.0
2017-06-20,8100,8175,7725,7825,68623,76685.0,4900000.0
2017-06-21,8000,8225,7875,8100,61060,79380.0,4900000.0
2017-06-22,7975,8050,7624,7650,65471,74970.0,4900000.0
2017-06-23,7675,7800,7600,7675,16156,75215.0,4900000.0
2017-06-26,7675,8350,7675,8025,90372,78645.0,4900000.0
2017-06-27,8050,8300,8000,8200,39329,80360.0,4900000.0
2017-06-28,8075,8300,7900,7900,35549,77420.0,4900000.0
2017-06-29,8000,8150,7900,8150,35024,79870.0,4900000.0
2017-06-30,8100,8100,7900,8000,24040,78400.0,4900000.0
2017-07-03,7974,8000,7474,7550,43367,73990.0,4900000.0
2017-07-04,7575,7625,7249,7325,41543,71785.0,4900000.0
2017-07-05,7349,7575,7325,7575,27346,74235.0,4900000.0
2017-07-06,7600,7600,7450,7550,12581,73990.0,4900000.0
2017-07-07,7475,7600,7375,7500,19523,73500.0,4900000.0
2017-07-10,7500,7649,7200,7325,32397,71785.0,4900000.0
2017-07-11,7400,7724,7300,7650,62955,74970.0,4900000.0
2017-07-12,7625,8250,7550,7550,227662,73990.0,4900000.0
2017-07-13,7650,7700,7450,7575,64028,74235.0,4900000.0
2017-07-14,7575,7724,7375,7650,42969,74970.0,4900000.0
2017-07-17,7800,7950,7724,7850,61769,76930.0,4900000.0
2017-07-18,7950,8050,7600,7700,82537,75460.0,4900000.0
2017-07-19,7625,7725,7475,7625,34907,74725.0,4900000.0
2017-07-20,7675,9125,7525,8275,1117962,81095.0,4900000.0
2017-07-21,8625,10075,8600,9750,2946078,95550.0,4900000.0
2017-07-24,10075,10150,9650,9850,730081,96530.0,4900000.0
2017-07-25,9925,10275,9700,10000,625875,98000.0,4900000.0
2017-07-26,9925,10025,9075,9200,457631,90160.0,4900000.0
2017-07-27,9325,9525,9025,9425,250377,92365.0,4900000.0
2017-07-28,9350,9625,9100,9600,208246,94080.0,4900000.0
2017-07-31,9325,10350,9300,10075,592123,98735.0,4900000.0
2017-08-01,10025,11025,9875,10775,589610,105595.0,4900000.0
2017-08-02,10875,13100,10675,11725,1864304,114905.0,4900000.0
2017-08-03,12000,12274,11225,11800,492626,115640.0,4900000.0
2017-08-04,11725,12549,11550,12225,426413,119805.0,4900000.0
2017-08-07,12250,12475,11050,11050,402732,108290.0,4900000.0
2017-08-08,11250,11550,10875,11550,310564,113190.0,4900000.0
2017-08-09,11375,11675,10200,10425,633208,102165.0,4900000.0
2017-08-10,10350,10525,9825,10000,524357,98000.0,4900000.0
2017-08-11,9775,10425,9600,10125,468060,99225.0,4900000.0
2017-08-14,10325,10500,9675,9675,361635,94815.0,4900000.0
2017-08-16,9625,10500,9350,10300,348391,100940.0,4900000.0
2017-08-17,10325,10950,10175,10925,285692,107065.0,4900000.0
2017-08-18,10750,11750,10650,11600,356584,113680.0,4900000.0
2017-08-21,11700,12000,11425,11525,257102,112945.0,4900000.0
2017-08-22,11525,11925,11200,11500,183613,112700.0,4900000.0
