코오롱티슈진(950160),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-08-14,35350,35850,35100,35500,93761,,
2018-08-16,35000,35050,33800,34700,167304,,
2018-08-17,34700,36650,34700,36650,179170,,
2018-08-20,36700,37350,36500,36700,124860,,
2018-08-21,36850,38200,36700,38150,217252,,
2018-08-22,38200,38200,37600,37700,83976,,
2018-08-23,37800,38200,37250,37700,88174,,
2018-08-24,37700,38500,37300,38300,175329,,
2018-08-27,38650,39300,38400,38900,160102,,
2018-08-28,39250,39250,38350,38400,104929,,
2018-08-29,38400,38600,37800,38100,105437,,
2018-08-30,38100,38750,38100,38400,83709,,
2018-08-31,38150,41500,38150,41350,750080,,
2018-09-03,41350,43100,41350,42800,629138,,
2018-09-04,43300,46600,42850,45950,1228416,,
2018-09-05,46500,48300,44650,45350,1398492,,
2018-09-06,45650,47000,44350,47000,642833,,
2018-09-07,46000,48700,45100,45450,919613,,
2018-09-10,44800,44850,42650,43950,953251,,
2018-09-11,43600,44700,43000,43550,386943,,
2018-09-12,44000,46550,43650,45850,691030,,
2018-09-13,46300,47600,45100,45700,567184,,
2018-09-14,46150,46500,44700,46000,356401,,
2018-09-17,46400,47700,45700,46450,496185,,
2018-09-18,46450,49800,46400,49650,1085862,,
2018-09-19,50000,50000,48350,49050,577451,,
2018-09-20,49050,52000,46650,47550,1379953,,
2018-09-21,47950,49400,47350,49000,405659,,
2018-09-27,49400,51000,49350,49900,402221,,
2018-09-28,49900,50500,47950,48900,408542,,
2018-10-01,49000,49150,46800,47400,355086,,
2018-10-02,47000,47600,43800,44700,529419,,
2018-10-04,44900,46150,43300,45750,386451,,
2018-10-05,45150,45800,43700,44000,277926,,
2018-10-08,43400,45350,43050,43850,202498,,
2018-10-10,43900,44450,42100,42800,251087,,
2018-10-11,40500,41650,39600,40000,431684,,
2018-10-12,40000,42800,39700,42800,339060,,
2018-10-15,42900,43800,41750,41750,215670,,
2018-10-16,42300,44200,42300,43600,245575,,
2018-10-17,44700,44800,43550,43900,199446,,
2018-10-18,44250,44400,42700,42750,155216,,
2018-10-19,42050,43850,41000,43800,189089,,
2018-10-22,43800,45800,43050,45700,257425,,
2018-10-23,45300,45450,43200,44050,260891,,
2018-10-24,44650,44900,41750,42050,233079,,
2018-10-25,40400,41400,39150,40200,406417,,
2018-10-26,41000,41050,37400,37500,398194,,
2018-10-29,36500,38100,33950,33950,536111,,
2018-10-30,33300,34900,32300,34700,632096,,
2018-10-31,35000,35150,33900,34000,291225,,
2018-11-01,34800,37300,34400,36950,501273,,
2018-11-02,37700,40700,37500,40200,516681,,
2018-11-05,40250,42700,40200,42400,502831,,
2018-11-06,43100,43350,39050,40750,641861,,
2018-11-07,41300,41750,39500,40400,308218,,
2018-11-08,41400,41800,40550,40600,218350,,
2018-11-09,40700,40900,38300,38800,346692,,
2018-11-12,37000,37450,35500,35600,434660,,
2018-11-13,35100,37300,34900,37300,424970,,
2018-11-14,37000,39200,36500,37500,335247,,
2018-11-15,37800,38450,37000,37950,175024,,
2018-11-16,38000,40350,37900,39750,351249,,
2018-11-19,40250,49450,40200,47000,5612828,,
2018-11-20,46000,47600,44000,44000,1460354,,
2018-11-21,43100,46700,42100,44000,1877910,,
2018-11-22,44400,45600,43050,43050,662434,,
2018-11-23,42750,43700,41450,41900,473046,,
2018-11-26,41700,43850,41700,42550,373507,,
2018-11-27,43300,44450,43000,43900,454516,,
2018-11-28,44000,44200,41800,42000,435703,,
2018-11-29,42850,43500,41250,41300,417621,,
2018-11-30,41500,42300,41100,41900,273542,,
2018-12-03,42450,42700,42100,42500,214819,,
2018-12-04,42300,42850,41800,41950,224531,,
2018-12-05,40650,41250,40250,41050,292387,,
2018-12-06,41050,41950,39300,40050,326542,,
2018-12-07,40850,40900,39950,40100,182622,,
2018-12-10,39200,39750,38250,38400,317022,,
2018-12-11,39000,39450,37800,37850,201093,,
2018-12-12,37800,38750,37800,38750,149494,,
2018-12-13,38900,39100,38200,38650,145302,,
2018-12-14,38300,38500,36700,37350,259713,,
2018-12-17,37150,38650,36000,38550,248965,,
2018-12-18,37900,39750,37600,38500,238207,,
2018-12-19,38800,39500,38550,39450,212745,,
2018-12-20,39000,39700,38400,38450,225202,,
2018-12-21,38350,39500,38100,39450,231282,,
2018-12-24,39450,41700,38900,41250,521790,,
2018-12-26,40200,41000,39700,41000,387479,,
2018-12-27,42400,42450,40750,40950,373400,,
2018-12-28,41600,43300,41100,43150,558855,,
2019-01-02,43850,44650,43100,43400,593724,,
2019-01-03,43650,43800,41250,41450,530487,,
2019-01-04,41150,43400,40450,43050,373916,,
2019-01-07,44050,44200,41850,41850,420363,,
2019-01-08,41950,42450,41000,41000,255056,,
2019-01-09,41300,41600,39750,40950,291313,,
2019-01-10,40850,41300,40300,40900,146773,,
2019-01-11,41100,41150,40150,40400,174638,,
2019-01-14,39900,40300,38750,38800,399904,,
2019-01-15,39200,39500,38750,39000,194197,,
2019-01-16,39250,39250,38050,38100,272258,,
2019-01-17,38100,39300,37850,38100,294233,,
2019-01-18,38600,39100,38300,39000,177387,,
2019-01-21,39250,39250,37650,38200,178470,,
2019-01-22,38250,38850,38250,38550,122170,,
2019-01-23,38400,38850,38100,38400,109521,,
2019-01-24,38400,38900,38000,38900,158817,,
2019-01-25,38800,39300,38650,39050,150202,,
2019-01-28,39100,39800,39100,39400,186309,,
2019-01-29,39300,39750,38700,38850,118649,,
2019-01-30,39000,39150,38700,38750,97054,,
2019-01-31,39100,39500,39000,39200,181248,,
2019-02-01,39450,39500,38800,38850,95162,,
2019-02-07,39000,39400,38200,39150,164901,,
2019-02-08,39150,40050,38800,39300,177073,,
2019-02-11,39650,40200,39350,40200,201384,,
2019-02-12,40500,40500,39400,40250,164055,,
2019-02-13,39950,40000,38150,39100,332098,,
2019-02-14,39200,39600,38900,39000,130511,,
2019-02-15,39000,39600,38800,39100,138663,,
2019-02-18,39250,39500,39100,39150,127220,,
2019-02-19,39400,40300,39000,40150,275905,,
2019-02-20,40300,40500,39800,39850,146940,,
2019-02-21,40000,40050,39350,39550,119232,,
2019-02-22,39550,39700,39000,39100,121396,,
2019-02-25,39200,39950,39000,39800,153216,,
2019-02-26,40000,41150,39900,40750,406870,,
2019-02-27,40950,41900,40650,41500,400178,,
2019-02-28,41850,42500,39500,40300,464160,,
2019-03-04,41300,41850,41050,41500,302835,,
2019-03-05,41700,42850,41500,41900,427895,,
2019-03-06,41900,41950,40550,40600,207878,,
2019-03-07,40300,41350,39650,39900,202521,,
2019-03-08,39550,40100,38950,39200,233021,,
2019-03-11,39100,39250,38250,38950,150612,,
2019-03-12,39350,39600,38950,39450,232146,,
2019-03-13,39600,40200,38850,39050,272246,,
2019-03-14,39450,39500,39050,39200,146680,,
2019-03-15,39100,39350,38400,38650,195129,,
2019-03-18,38700,39050,37950,38100,261599,,
2019-03-19,38050,38500,37600,37600,193535,,
2019-03-20,37900,37950,36750,37100,212587,,
2019-03-21,36800,37300,36800,36900,158216,,
2019-03-22,37100,37650,37000,37200,105927,,
2019-03-25,36900,36900,36050,36050,159318,,
2019-03-26,36350,36450,35900,35900,130861,,
2019-03-27,35900,36150,35100,35350,136107,,
2019-03-28,35000,35500,34950,35000,121168,,
2019-03-29,34800,35200,34000,34450,254623,,
2019-04-01,24150,24150,24150,24150,253054,,
2019-04-02,20800,21200,19100,19700,7517633,,
2019-04-03,19750,21350,19750,20550,4555535,,
2019-04-04,20050,20400,19600,19850,2010229,,
2019-04-05,19650,19700,18200,18750,2541143,,
2019-04-08,18550,19450,18150,18800,1673002,,
2019-04-09,18150,18400,17100,17450,2844192,,
2019-04-10,17150,18400,16500,17500,3848997,,
2019-04-11,18100,20900,17650,19200,8065818,,
2019-04-12,19200,20050,18550,19300,3616935,,
2019-04-15,18750,24200,17250,19750,17875243,,
2019-04-16,18100,19400,17350,18100,3916624,,
2019-04-17,17600,18000,16800,17000,3178060,,
2019-04-18,17000,17950,17000,17150,1355179,,
2019-04-19,17300,17650,17000,17300,903279,,
2019-04-22,17200,17450,16850,16850,744124,,
2019-04-23,17050,17850,16750,17200,1140886,,
2019-04-24,17200,17200,16550,16750,828583,,
2019-04-25,16800,17100,16550,16600,472044,,
2019-04-26,16650,17100,16450,16650,523508,,
2019-04-29,16600,16700,15500,16650,610785,,
2019-04-30,16700,16700,16050,16250,350533,,
2019-05-02,16000,16750,15750,16350,585835,,
2019-05-03,16500,16500,15900,16150,367173,,
2019-05-07,11400,11900,11350,11350,2472272,,
2019-05-08,10700,12400,10500,10900,4818164,,
2019-05-09,10950,12300,10800,11250,3202483,,
2019-05-10,11200,12050,11150,11600,1527287,,
2019-05-13,11500,11900,10900,10900,708303,,
2019-05-14,10700,11400,10650,11050,789313,,
2019-05-15,9400,10400,9390,10200,2601274,,
2019-05-16,10400,10450,9890,10000,798662,,
2019-05-17,10000,12000,9980,10900,3403305,,
2019-05-20,10650,10850,10150,10400,919899,,
2019-05-21,10050,11200,9920,10200,2301581,,
2019-05-22,10300,10600,9940,10050,850035,,
2019-05-23,10050,10100,9020,9060,1179638,,
2019-05-24,9000,10650,8980,9260,2806512,,
2019-05-27,9200,10100,9020,9540,2378822,,
2019-05-28,9400,10650,8010,8010,3856966,,
2019-05-29,0,0,0,8010,0,,
2019-05-30,0,0,0,8010,0,,
2019-05-31,0,0,0,8010,0,,
2019-06-03,0,0,0,8010,0,,
2019-06-04,0,0,0,8010,0,,
2019-06-05,0,0,0,8010,0,,
2019-06-07,0,0,0,8010,0,,
2019-06-10,0,0,0,8010,0,,
2019-06-11,0,0,0,8010,0,,
2019-06-12,0,0,0,8010,0,,
2019-06-13,0,0,0,8010,0,,
2019-06-14,0,0,0,8010,0,,
2019-06-17,0,0,0,8010,0,,
2019-06-18,0,0,0,8010,0,,
2019-06-19,0,0,0,8010,0,,
2019-06-20,0,0,0,8010,0,,
2019-06-21,0,0,0,8010,0,,
2019-06-24,0,0,0,8010,0,,
2019-06-25,0,0,0,8010,0,,
2019-06-26,0,0,0,8010,0,,
2019-06-27,0,0,0,8010,0,,
2019-06-28,0,0,0,8010,0,,
2019-07-01,0,0,0,8010,0,,
2019-07-02,0,0,0,8010,0,,
2019-07-03,0,0,0,8010,0,,
2019-07-04,0,0,0,8010,0,,
2019-07-05,0,0,0,8010,0,,
2019-07-08,0,0,0,8010,0,,
2019-07-09,0,0,0,8010,0,,
2019-07-10,0,0,0,8010,0,,
2019-07-11,0,0,0,8010,0,,
2019-07-12,0,0,0,8010,0,,
2019-07-15,0,0,0,8010,0,,
2019-07-16,0,0,0,8010,0,,
2019-07-17,0,0,0,8010,0,,
2019-07-18,0,0,0,8010,0,,
2019-07-19,0,0,0,8010,0,,
2019-07-22,0,0,0,8010,0,,
2019-07-23,0,0,0,8010,0,,
2019-07-24,0,0,0,8010,0,,
2019-07-25,0,0,0,8010,0,,
2019-07-26,0,0,0,8010,0,,
2019-07-29,0,0,0,8010,0,,
2019-07-30,0,0,0,8010,0,,
2019-07-31,0,0,0,8010,0,,
2019-08-01,0,0,0,8010,0,,
2019-08-02,0,0,0,8010,0,,
2019-08-05,0,0,0,8010,0,,
2019-08-06,0,0,0,8010,0,,
2019-08-07,0,0,0,8010,0,,
2019-08-08,0,0,0,8010,0,,
2019-08-09,0,0,0,8010,0,,
2019-08-12,0,0,0,8010,0,,
2019-08-13,0,0,0,8010,0,,
2019-08-14,0,0,0,8010,0,,
2019-08-16,0,0,0,8010,0,,
2019-08-19,0,0,0,8010,0,,
2019-08-20,0,0,0,8010,0,,
2019-08-21,0,0,0,8010,0,,
2019-08-22,0,0,0,8010,0,,
2019-08-23,0,0,0,8010,0,,
2019-08-26,0,0,0,8010,0,,
2019-08-27,0,0,0,8010,0,,
2019-08-28,0,0,0,8010,0,,
2019-08-29,0,0,0,8010,0,,
2019-08-30,0,0,0,8010,0,,
2019-09-02,0,0,0,8010,0,,
2019-09-03,0,0,0,8010,0,,
2019-09-04,0,0,0,8010,0,,
2019-09-05,0,0,0,8010,0,,
2019-09-06,0,0,0,8010,0,,
2019-09-09,0,0,0,8010,0,,
2019-09-10,0,0,0,8010,0,,
2019-09-11,0,0,0,8010,0,,
2019-09-16,0,0,0,8010,0,,
2019-09-17,0,0,0,8010,0,,
2019-09-18,0,0,0,8010,0,,
2019-09-19,0,0,0,8010,0,,
2019-09-20,0,0,0,8010,0,,
2019-09-23,0,0,0,8010,0,,
2019-09-24,0,0,0,8010,0,,
2019-09-25,0,0,0,8010,0,,
2019-09-26,0,0,0,8010,0,,
2019-09-27,0,0,0,8010,0,,
2019-09-30,0,0,0,8010,0,,
2019-10-01,0,0,0,8010,0,,
2019-10-02,0,0,0,8010,0,,
2019-10-04,0,0,0,8010,0,,
2019-10-07,0,0,0,8010,0,,
